Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
					890.20	CAD	890.20	CAD								
"PARKS, FORESTRY & RECREATION"	2376-3	02-13-2013	02-15-2013	ADANAC SECURITY   SPEC	153.68	CAD	153.68	CAD	4463	CONTRACTED SERVICES - LOCKING SYSTEMS	P07693	DON MONTGOMERY-PGM	5251	Hardware Stores	REPAIR TO COMBINATION DROP SAFE	
					153.68	CAD	153.68	CAD								
"PARKS, FORESTRY & RECREATION"	2362-2	02-04-2013	02-05-2013	NOFRILLS VITO'S #3936	53.28	CAD	53.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	"MOZZARELLA CHEESE,CHICKEN BREAST,SOYA,GREEN PEPPER"	
"PARKS, FORESTRY & RECREATION"	2363-1	02-04-2013	02-06-2013	CDN TIRE STORE #00280	16.88	CAD	16.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06063	GRANDRAVINE-SOC PGM	5200	Home Supply Warehouse	SUPPLIES FOR WINTER CREATIVE PLAYTIME SESSION	
"PARKS, FORESTRY & RECREATION"	2363-2	02-05-2013	02-06-2013	STICKERS   MORE WAREHO	40.62	CAD	40.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06063	GRANDRAVINE-SOC PGM	5947	"Card, Gift, Novelty, and Souvenir Shops"	STICKERS	
"PARKS, FORESTRY & RECREATION"	2370-1	02-11-2013	02-12-2013	NOFRILLS VITO'S #3936	25.47	CAD	25.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	"MILK, KRAFT CHEESE, LARGE EGGS, GROUND PORK"	
"PARKS, FORESTRY & RECREATION"	2370-2	02-11-2013	02-12-2013	NOFRILLS VITO'S #3936	5.64	CAD	5.64	CAD	2615	"DISHES, CUTLERY AND UTENSILS"	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	FOAM PLATE	
"PARKS, FORESTRY & RECREATION"	2387-1	02-24-2013	02-26-2013	CDN TIRE STORE #00280	22.58	CAD	22.58	CAD	2570	JANITORIAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VIS	5200	Home Supply Warehouse	"SCOUR PADS, CLEANING SUPPLIES"	
"PARKS, FORESTRY & RECREATION"	2387-2	02-25-2013	02-26-2013	NOFRILLS VITO'S #3936	32.57	CAD	32.57	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	"CHICKEN BREASTS, FRUIT JUICE, PASTA, BROCCOLI"	
					197.04	CAD	197.04	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2369-1	02-08-2013	02-11-2013	NOFRILLS ROB S  1397	4.99	CAD	4.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0075	HS-MH-EDU-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MILK FOR BIRTHDAY PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	2386-2	02-22-2013	02-25-2013	NOFRILLS ROB S  1397	4.99	CAD	4.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0075	HS-MH-EDU-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MILK FOR BIRTHDAY PROGRAMS	
					9.98	CAD	9.98	CAD								
"PARKS, FORESTRY & RECREATION"	2363-3	02-04-2013	02-06-2013	CURRY'S ART STORE	18.40	CAD	18.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10442	HOLY FAMILY CC-PGM S	5970	"Artist Supply Stores, Craft Shops"	ARTS & CRAFT SUPPLIES	
					18.40	CAD	18.40	CAD								
"PARKS, FORESTRY & RECREATION"	2390-1	02-26-2013	02-27-2013	PRINCESS AUTO #36	461.99	CAD	461.99	CAD	2710	GENERAL HARDWARE	P12856	RAVWTRMAINT	5085	Industrial Supplies Not Elsewhere Classi	GENERAL HARDWARE	
					461.99	CAD	461.99	CAD								
"PARKS, FORESTRY & RECREATION"	2362-3	02-04-2013	02-05-2013	STATEINDUSTRIAL  CA	351.43	CAD	351.43	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	*****	
"PARKS, FORESTRY & RECREATION"	2363-4	02-04-2013	02-06-2013	CUSTOM DOOR   LOCK SER	139.28	CAD	139.28	CAD	2730	LOCKS	P12017	SOUTH GENERAL-PKS TE	5533	"Automotive Parts, Accessories Stores"	LOCKS	
"PARKS, FORESTRY & RECREATION"	2363-5	02-05-2013	02-06-2013	ROMA FENCE LTD	209.55	CAD	209.55	CAD	4468	CONTR SRV - FENCING	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	"3/4"" SPRING,BOLT & PLATE WITH FRAME COLLAR"	
"PARKS, FORESTRY & RECREATION"	2367-2	02-06-2013	02-08-2013	THE HOME DEPOT #7080	6.49	CAD	6.49	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2370-3	02-11-2013	02-12-2013	ROMA FENCE LTD	57.80	CAD	57.80	CAD	4468	CONTR SRV - FENCING	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	"1/2"" SQUARE POST COLLAR"	
"PARKS, FORESTRY & RECREATION"	2383-1	02-19-2013	02-21-2013	PARTSOURCE STORE # 760	67.78	CAD	67.78	CAD	3080	M & E - HAND TOOLS	P12017	SOUTH GENERAL-PKS TE	5533	"Automotive Parts, Accessories Stores"	MAX WRENCH	
					832.33	CAD	832.33	CAD								
"PARKS, FORESTRY & RECREATION"	2370-4	02-11-2013	02-12-2013	TECHNICAL STANDARDS AN	800.61	CAD	800.61	CAD	4830	PERMIT & LICENSE FEES	P10910	CENTENNIAL SKI CTR-O	1799	"Contractors, Special Trade - Not Elsewhe"	SKI LIFT INSPECTION	
"PARKS, FORESTRY & RECREATION"	2373-1	02-12-2013	02-13-2013	BRAMPTON POWERSPORTS	101.68	CAD	101.68	CAD	2401	LUBRICANTS	P10910	CENTENNIAL SKI CTR-O	5511	"Automobile and Truck Dealers - Sales, Se"	OIL FOR SKI DOO	
"PARKS, FORESTRY & RECREATION"	2382-2	02-19-2013	02-20-2013	TECHNICAL STANDARDS AN	477.43	CAD	477.43	CAD	4830	PERMIT & LICENSE FEES	P10910	CENTENNIAL SKI CTR-O	1799	"Contractors, Special Trade - Not Elsewhe"	SKI LIFT INSPECTION	
"PARKS, FORESTRY & RECREATION"	2391-1	02-26-2013	02-28-2013	THE HOME DEPOT #7011	204.50	CAD	204.50	CAD	2575	ELECTRICAL SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
					"1,584.22"	CAD	"1,584.22"	CAD								
"PARKS, FORESTRY & RECREATION"	2362-4	02-04-2013	02-05-2013	WATER AND ICE NORTH AM	850.66	CAD	850.66	CAD	*****	GENERAL EQUIPMENT	P07697	CUMMER COMPLEX-OPERA	5996	Swimming Pools - Sales and Supplies	*****	
"PARKS, FORESTRY & RECREATION"	2365-2	02-05-2013	02-07-2013	FABCO PLASTICS WHOLESA	279.73	CAD	279.73	CAD	2710	GENERAL HARDWARE	P07697	CUMMER COMPLEX-OPERA	7399	Business Services - Not Elsewhere Classi	PVC FITTINGS & GLUE	
"PARKS, FORESTRY & RECREATION"	2373-2	02-11-2013	02-13-2013	SCP	252.27	CAD	252.27	CAD	2710	GENERAL HARDWARE	P07696	ANTIBES CC-OPERATION	5996	Swimming Pools - Sales and Supplies	"VAC HOSE,POLES & VAC HEAD"	
"PARKS, FORESTRY & RECREATION"	2378-2	02-15-2013	02-18-2013	THE HOME DEPOT #7078	36.17	CAD	36.17	CAD	2710	GENERAL HARDWARE	P03034	JOHN BOOTH-OPS	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2386-3	02-22-2013	02-25-2013	WATER AND ICE NORTH AM	577.20	CAD	577.20	CAD	2535	PLUMBING SUPPLIES	P07697	CUMMER COMPLEX-OPERA	5996	Swimming Pools - Sales and Supplies	POLE FITTINGS	
					"1,996.03"	CAD	"1,996.03"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2367-3	02-06-2013	02-08-2013	CDN TIRE STORE #00654	221.12	CAD	221.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5200	Home Supply Warehouse	"TOASTERS,JARS,BATTERIES FOR SPECIAL EVENT"	
ECONOMIC DEVELOPMENT & CULTURE	2369-2	02-07-2013	02-11-2013	LOBLAWS 4.2	36.32	CAD	36.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	CURRANTS & ORANGES FOR SPECIAL EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2376-4	02-14-2013	02-15-2013	FRESHCO #9828	55.94	CAD	55.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	CITRUS FRUIT FOR SPECIAL EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2378-3	02-14-2013	02-18-2013	METRO #720	27.92	CAD	27.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	MANDARIN ORANGES & CHOCOLATE FOR SPECIAL EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2380-1	02-15-2013	02-19-2013	METRO #720	62.46	CAD	62.46	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"VANILLA,CHOCOLATE,BROWN SUGAR,BAKING PAN"	
ECONOMIC DEVELOPMENT & CULTURE	2383-2	02-19-2013	02-21-2013	CDN TIRE STORE #00654	176.81	CAD	176.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5200	Home Supply Warehouse	"MIXER BEATER,CUTTING BOARDS,PROPANE & JARS"	
ECONOMIC DEVELOPMENT & CULTURE	2386-4	02-20-2013	02-25-2013	NIKOLAOU RESTAURANT EQ	178.54	CAD	178.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5046	Commercial Equipment Not Elsewhere Class	BREW POTS & RAMEKINS FOR SPECIAL EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2386-5	02-21-2013	02-25-2013	METRO #720	104.91	CAD	104.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHIPPING & COFFEE CREAM FOR SPECIAL EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2387-3	02-22-2013	02-26-2013	METRO #720	51.08	CAD	51.08	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	ENGLISH MUFFINS & PLASTIC CUPS FOR SPECIAL EVENT	
					915.10	CAD	915.10	CAD								
"PARKS, FORESTRY & RECREATION"	2386-6	02-11-2013	02-25-2013	ATLAS BUSINESS MACHINE	22.60	CAD	22.60	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12527	RW-SH-PRS-OLYMPIUM	7399	Business Services - Not Elsewhere Classi	THERMAL PAPER ROLLS	
					22.60	CAD	22.60	CAD								
AFFORDABLE HOUSING OFFICE	2391-2	02-27-2013	02-28-2013	CHRA	604.55	CAD	604.55	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AHO - HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	REGISTRATION-CHRA	
					604.55	CAD	604.55	CAD								
FIRE SERVICES	2378-4	02-14-2013	02-18-2013	THE HOME DEPOT #7012	176.28	CAD	176.28	CAD	2710	GENERAL HARDWARE	FR0035	CBRNR	5200	Home Supply Warehouse	*****	
FIRE SERVICES	2380-2	02-15-2013	02-19-2013	CDN TIRE STORE #00030	225.95	CAD	225.95	CAD	2710	GENERAL HARDWARE	FR0035	CBRNR	5200	Home Supply Warehouse	FOLDING RESIN TABLES	
FIRE SERVICES	2391-3	02-26-2013	02-28-2013	CDN TIRE STORE #00654	50.78	CAD	50.78	CAD	2710	GENERAL HARDWARE	FR0035	CBRNR	5200	Home Supply Warehouse	DUCT TAPE	
					453.01	CAD	453.01	CAD								
TRANSPORTATION SERVICES 	2369-3	02-07-2013	02-11-2013	MOE - HWIN WEB	55.00	CAD	55.00	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0399	SIGNS/MKGS MGMT & OH	9399	Government Services - Not Elsewhere Clas	HWIN FEES	
					55.00	CAD	55.00	CAD								
"PARKS, FORESTRY & RECREATION"	2353-2	01-30-2013	02-01-2013	EAASIB PESTICIDES	270.00	CAD	270.00	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00152	C-WTRFRONT3-TURF&HOR	9399	Government Services - Not Elsewhere Clas		
					270.00	CAD	270.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2373-3	02-12-2013	02-13-2013	CINEQUIP WHITE	96.05	CAD	96.05	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RRP-LAKESHORE	7299	Other Services (Not Elsewhere Classified	SASH CORD - 1000 FT	
ECONOMIC DEVELOPMENT & CULTURE	2373-4	02-12-2013	02-13-2013	METAL SUPERMARKETS (ET	66.39	CAD	66.39	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RRP-LAKESHORE	5051	Metal Service Centers and Offices	ALLUMINUM TUBE 20 FT	
ECONOMIC DEVELOPMENT & CULTURE	2378-5	02-16-2013	02-18-2013	THE HOME DEPOT #7013	11.84	CAD	11.84	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RRP-LAKESHORE	5200	Home Supply Warehouse	BULB CHANGER	
ECONOMIC DEVELOPMENT & CULTURE	2386-7	02-22-2013	02-25-2013	THE BAY #1544	203.39	CAD	203.39	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RRP-LAKESHORE	5311	Department Stores	ROWENTA STEAMIUM IRON	
ECONOMIC DEVELOPMENT & CULTURE	2390-2	02-26-2013	02-27-2013	LONG   MCQUADE LIMITED	38.42	CAD	38.42	CAD	4590	RENTAL - OTHER	AH0129	AS-PR-RRP-LAKESHORE	7399	Business Services - Not Elsewhere Classi	RENTAL OF WIRELESS MICROPHONES	
ECONOMIC DEVELOPMENT & CULTURE	2391-4	02-27-2013	02-28-2013	PAYPAL *THNK MEDIA	260.00	CAD	260.00	CAD	4085	PROF & TECH-MGMT	AH0129	AS-PR-RRP-LAKESHORE	8999	Professional Services - Not Elsewhere Cl	GRAPHIC DESIGN	
					676.09	CAD	676.09	CAD								
"PARKS, FORESTRY & RECREATION"	2358-1	02-01-2013	02-04-2013	NOFRILLS DICKIES 752	16.45	CAD	16.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05508	DON MONTGOMERY-SOC	5411	"Grocery Stores, Supermarkets"	"PIZZA DOUGHS, 2 CANS PIZZA SAUCE,CHEESE,MUSHROOMS"	
"PARKS, FORESTRY & RECREATION"	2358-2	02-01-2013	02-04-2013	NOFRILLS DICKIES 752	4.77	CAD	4.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY-PGM	5411	"Grocery Stores, Supermarkets"	"BABY CARROTS, CUCUMBER, RANCH DIP"	
"PARKS, FORESTRY & RECREATION"	2358-3	02-01-2013	02-04-2013	NOFRILLS JOSE'S #3470	1.47	CAD	1.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05508	DON MONTGOMERY-SOC	5411	"Grocery Stores, Supermarkets"	YELLOW PEPPER	
"PARKS, FORESTRY & RECREATION"	2358-4	02-01-2013	02-04-2013	YOUR DOLLAR STORE WITH	1.13	CAD	1.13	CAD	2710	GENERAL HARDWARE	P07693	DON MONTGOMERY-PGM	5999	Miscellaneous and Specialty Retail Store	1 PACKAGE OF CHILD SAFETY PLUGS	
"PARKS, FORESTRY & RECREATION"	2358-5	02-01-2013	02-04-2013	YOUR DOLLAR STORE WITH	2.26	CAD	2.26	CAD	2570	JANITORIAL SUPPLIES	P05508	DON MONTGOMERY-SOC	5999	Miscellaneous and Specialty Retail Store	DISH SOAP	
"PARKS, FORESTRY & RECREATION"	2358-6	02-01-2013	02-04-2013	YOUR DOLLAR STORE WITH	2.26	CAD	2.26	CAD	2570	JANITORIAL SUPPLIES	P07693	DON MONTGOMERY-PGM	5999	Miscellaneous and Specialty Retail Store	DISH SOAP	
"PARKS, FORESTRY & RECREATION"	2358-7	02-01-2013	02-04-2013	YOUR DOLLAR STORE WITH	16.67	CAD	16.67	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY-PGM	5999	Miscellaneous and Specialty Retail Store	"EYE SHADOW & BLUSH,BRUSHES,MASCARAS-GIRLS CLUB"	
"PARKS, FORESTRY & RECREATION"	2358-8	01-31-2013	02-04-2013	JAMES WHITE   SONS FLO	16.95	CAD	16.95	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05508	DON MONTGOMERY-SOC	5992	Florists	CARNATION FLOWERS - SCIENCE FUN	
"PARKS, FORESTRY & RECREATION"	2362-5	02-03-2013	02-05-2013	YOUR DOLLAR STORE WITH	85.60	CAD	85.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05508	DON MONTGOMERY-SOC	5999	Miscellaneous and Specialty Retail Store	"FOAM STICKERS,BEADING BOARDS,ACRYLIC PAINT,BUTTONS"	
"PARKS, FORESTRY & RECREATION"	2367-4	02-07-2013	02-08-2013	NOFRILLS STEPHEN'S #34	2.31	CAD	2.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05508	DON MONTGOMERY-SOC	5411	"Grocery Stores, Supermarkets"	"FOOD COLOURING, CORN STARCH"	
"PARKS, FORESTRY & RECREATION"	2369-4	02-09-2013	02-11-2013	NOFRILLS STEPHEN'S #34	42.03	CAD	42.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05508	DON MONTGOMERY-SOC	5411	"Grocery Stores, Supermarkets"	"BUTTER,EGGS,BAKING POWDER,MILK,FROZEN BERRY BLEND"	
"PARKS, FORESTRY & RECREATION"	2378-6	02-15-2013	02-18-2013	NOFRILLS STEPHEN'S #34	9.24	CAD	9.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05508	DON MONTGOMERY-SOC	5411	"Grocery Stores, Supermarkets"	"STRAWBERRIES, EGGS,YOGURTS"	
"PARKS, FORESTRY & RECREATION"	2380-3	02-15-2013	02-19-2013	METRO #808	5.69	CAD	5.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05508	DON MONTGOMERY-SOC	5411	"Grocery Stores, Supermarkets"	GRANOLLA BARS	
"PARKS, FORESTRY & RECREATION"	2384-2	02-21-2013	02-22-2013	NOFRILLS STEPHEN'S #34	6.09	CAD	6.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05508	DON MONTGOMERY-SOC	5411	"Grocery Stores, Supermarkets"	LEMONADE & RAISINGS	
"PARKS, FORESTRY & RECREATION"	2384-3	02-21-2013	02-22-2013	NOFRILLS STEPHEN'S #34	7.26	CAD	7.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY-PGM	5411	"Grocery Stores, Supermarkets"	"FROSTING, EGGS, CAKE MIX"	
"PARKS, FORESTRY & RECREATION"	2386-8	02-22-2013	02-25-2013	NOFRILLS STEPHEN'S #34	25.85	CAD	25.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05508	DON MONTGOMERY-SOC	5411	"Grocery Stores, Supermarkets"	"NACHOS,MOZZARELLA CHEESE,OATMEAL,SALSA,BANANAS"	
					246.03	CAD	246.03	CAD								
"PARKS, FORESTRY & RECREATION"	2390-3	02-25-2013	02-27-2013	METRO #60	63.25	CAD	63.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12049	NEW TOR-COMM CTR-PGM	5411	"Grocery Stores, Supermarkets"	SNACK/CANDIES FOR BUS TRIP	
					63.25	CAD	63.25	CAD								
SOLID WASTE MANAGEMENT	2353-3	01-30-2013	02-01-2013	THE HOME DEPOT #7001	78.85	CAD	78.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	2363-6	02-04-2013	02-06-2013	THE HOME DEPOT #7129	234.21	CAD	234.21	CAD	2535	PLUMBING SUPPLIES	SW0830	SCARBOROUGH TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	2373-5	02-11-2013	02-13-2013	THE HOME DEPOT #7027	100.79	CAD	100.79	CAD	2535	PLUMBING SUPPLIES	SW0830	SCARBOROUGH TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	2374-1	02-13-2013	02-14-2013	GLOBAL RUBBER PRODUCTS	66.69	CAD	66.69	CAD	2120	PARTS - MACHINERY & EQUIPMENT	SW0830	SCARBOROUGH TS OPER	5111	"Stationery, Office Supplies, Printing an"	W/O-297739	
					480.54	CAD	480.54	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2353-4	01-30-2013	02-01-2013	THE HOME DEPOT #7134	204.66	CAD	204.66	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5200	Home Supply Warehouse	*****	
ECONOMIC DEVELOPMENT & CULTURE	2365-3	02-05-2013	02-07-2013	THE HOME DEPOT #7013	14.01	CAD	14.01	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5200	Home Supply Warehouse	2X4X10 P.T.	
ECONOMIC DEVELOPMENT & CULTURE	2378-7	02-15-2013	02-18-2013	WILTON EQUIPTMENT LTD	6.78	CAD	6.78	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5261	Lawn and Garden Supply Stores	4 SNOWBLOWER AUGER PINS	
					225.45	CAD	225.45	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2363-7	02-04-2013	02-06-2013	CURRY'S - MARKHAM	46.21	CAD	46.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0014	AS-PS-CDE-METRO HALL	5970	"Artist Supply Stores, Craft Shops"	MURAL SUPPLIES	
ECONOMIC DEVELOPMENT & CULTURE	2374-2	02-12-2013	02-14-2013	CURRY'S - MARKHAM	94.68	CAD	94.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0014	AS-PS-CDE-METRO HALL	5970	"Artist Supply Stores, Craft Shops"	MURAL SUPPLIES	
ECONOMIC DEVELOPMENT & CULTURE	2387-4	02-25-2013	02-26-2013	LA PREP	343.52	CAD	343.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0014	AS-PS-CDE-METRO HALL	5812	"Eating Places, Restaurants"	FOOD FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2387-5	02-25-2013	02-26-2013	STAPLES STORE #263	9.02	CAD	9.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0014	AS-PS-CDE-METRO HALL	5943	"Office, School Supply, and Stationery St"	NAME TAGS	
					493.43	CAD	493.43	CAD								
TORONTO WATER	2362-6	02-04-2013	02-05-2013	TECHNICAL STANDARDS AN	100.00	CAD	100.00	CAD	4830	PERMIT & LICENSE FEES	WW1060	HCTP PLANT ADMIN SUP	1799	"Contractors, Special Trade - Not Elsewhe"	FUELS SAFETY LICENSE RENEWAL	
