Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5321-1	2019-08-13	2019-08-14	WATER AND ICE NORTH AM	683.65	CAD	683.65	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	PROBES
"PARKS, FORESTRY & RECREATION"	5328-1	2019-08-22	2019-08-23	JJ DOWNS INDUSTRIAL	39.02	CAD	39.02	CAD	2710	GENERAL HARDWARE	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5085	Industrial Supplies Not Elsewhere Classi	POOL PLUGS
					"1,638.74"	CAD	"1,638.74"	CAD							
"PARKS, FORESTRY & RECREATION"	5313-2	2019-08-02	2019-08-05	LONG & MCQUADE	207.90	CAD	207.90	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5733	"Music Stores - Musical Instruments, Pian"	BLUETOOTH RECEIVER
"PARKS, FORESTRY & RECREATION"	5313-3	2019-08-05	2019-08-05	LONG & MCQUADE	72.32	CAD	72.32	CAD	4590	RENTAL - OTHER	P13495	YORK CC - PRGM SUPPORT CR	5733	"Music Stores - Musical Instruments, Pian"	SPEAKER RENTAL
"PARKS, FORESTRY & RECREATION"	5318-1	2019-08-08	2019-08-09	SAM'S NO FRILLS #3663	5.05	CAD	5.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	SKITTLES
"PARKS, FORESTRY & RECREATION"	5320-1	2019-08-12	2019-08-13	SAM'S NO FRILLS #3663	27.50	CAD	27.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS
"PARKS, FORESTRY & RECREATION"	5321-2	2019-08-13	2019-08-14	PARTY CITY #2801	97.00	CAD	97.00	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5999	Miscellaneous and Specialty Retail Store	DECORATIONS FOR SPECIAL EVENT
"PARKS, FORESTRY & RECREATION"	5324-2	2019-08-16	2019-08-19	LONG & MCQUADE	28.24	CAD	28.24	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5733	"Music Stores - Musical Instruments, Pian"	REPLACEMENT POWERT SUPPLY
"PARKS, FORESTRY & RECREATION"	5324-3	2019-08-16	2019-08-19	LONG & MCQUADE	-51.96	CAD	-51.96	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5733	"Music Stores - Musical Instruments, Pian"	REFUND
"PARKS, FORESTRY & RECREATION"	5325-1	2019-08-19	2019-08-20	SAM'S NO FRILLS #3663	21.51	CAD	21.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS
"PARKS, FORESTRY & RECREATION"	5329-2	2019-08-23	2019-08-26	MANHATTAN TROPHIES LIM	569.52	CAD	569.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5941	Sporting Goods Stores	TROPHIES FOR BASKETBALL LEAGUE
"PARKS, FORESTRY & RECREATION"	5331-1	2019-08-27	2019-08-28	SAM'S NO FRILLS #3663	125.84	CAD	125.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	JUICE
"PARKS, FORESTRY & RECREATION"	5331-2	2019-08-27	2019-08-28	COSTCO WHOLESALE W535	164.12	CAD	164.12	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5300	Wholesale Clubs	FOOD FOR SPECIAL EVENT
"PARKS, FORESTRY & RECREATION"	5331-3	2019-08-27	2019-08-28	STAPLES STORE #39	266.13	CAD	266.13	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5943	"Office, School Supply, and Stationery St"	SUPPLIES FOR SPECIAL EVENT
"PARKS, FORESTRY & RECREATION"	5331-4	2019-08-27	2019-08-28	PARTY CITY #2801	209.81	CAD	209.81	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5999	 	DECORATIONS FOR SPECIAL EVENT
"PARKS, FORESTRY & RECREATION"	5331-5	2019-08-27	2019-08-28	LONG & MCQUADE	103.92	CAD	103.92	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5733	"Music Stores - Musical Instruments, Pian"	P.A. CABLES
"PARKS, FORESTRY & RECREATION"	5333-1	2019-08-29	2019-08-30	LONG & MCQUADE	54.24	CAD	54.24	CAD	4590	RENTAL - OTHER	P13495	YORK CC - PRGM SUPPORT CR	5733	"Music Stores - Musical Instruments, Pian"	SPEAKER RENTAL
					"1,901.14"	CAD	"1,901.14"	CAD							
FLEET SERVICES	5329-3	2019-08-24	2019-08-26	SOLID WASTE ASSOCIA	304.83	CAD	223.00	USD	4760	MEMBERSHIP FEES	FL4001	FLEET SAFETY & TRAINING	8398	"Organizations, Charitable and Social Ser"	P8 MEMBERSHIP
					304.83	CAD	223.00	USD							
"PARKS, FORESTRY & RECREATION"	5323-1	2019-08-15	2019-08-16	PAUL WOLF ELECTRIC & L	324.32	CAD	324.32	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	MARRETTE WIRE CONNECTORS
"PARKS, FORESTRY & RECREATION"	5327-2	2019-08-21	2019-08-22	PAUL WOLF ELECTRIC & L	171.39	CAD	171.39	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	PVC CONDUIT-CEMENT
					495.71	CAD	495.71	CAD							
TORONTO WATER	5313-4	2019-08-01	2019-08-05	BRADY	189.09	CAD	189.09	CAD	2710	GENERAL HARDWARE	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5099	Durable Goods Not Elsewhere Classified	TO COVER THE COST OF WHITE RIGID SIGN BLANKS FOR TAGGING HIGH VALUE INVENTORY STORAGE
TORONTO WATER	5313-5	2019-08-02	2019-08-05	WASP BARCODE TECHNOLOG	175.48	CAD	129.07	USD	3099	GENERAL EQUIPMENT	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5065	Electrical Parts and Equipment	COST OF WAX RIBBON AND PAPER LABEL TO BE USE FOR TAGGING HIGH VALVE INVENTORY ITEMS AT ABTP
TORONTO WATER	5317-1	2019-08-06	2019-08-08	THE HOME DEPOT #7249	40.51	CAD	40.51	CAD	2710	GENERAL HARDWARE	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5200	Home Supply Warehouse	3M COMMAND MDWR & MED PIC HNG STR FOR ADMIN USE IN ABTP
TORONTO WATER	5329-4	2019-08-22	2019-08-26	CDN TIRE STORE #00654	14.66	CAD	14.66	CAD	2710	GENERAL HARDWARE	TW4036	WW TREATMT:ASHBRIDGES BAY TP-SOLIDS	5200	Home Supply Warehouse	1/4 X 25 AUGER TO BE USED BY WA6 PER ANAND
					419.74	CAD	244.26	CAD							
							129.07	USD							
"PARKS, FORESTRY & RECREATION"	5321-3	2019-08-12	2019-08-14	THE HOME DEPOT #7107	41.21	CAD	41.21	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	10'X12' BOARD
"PARKS, FORESTRY & RECREATION"	5322-2	2019-08-14	2019-08-15	SILVER MILE HARDWARE	61.01	CAD	61.01	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5072	Hardware Equipment and Supplies	CHAINSAW CHAIN
"PARKS, FORESTRY & RECREATION"	5329-5	2019-08-22	2019-08-26	THE HOME DEPOT #7107	297.34	CAD	297.34	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	"GARDEN FORKS, SHOVELS"
					399.56	CAD	399.56	CAD							
FACILITIES MANAGEMENT	5313-6	2019-08-02	2019-08-05	PAUL WOLF ELECTRIC & L	164.77	CAD	164.77	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61532030	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	DISCONNECT SWITCHES
FACILITIES MANAGEMENT	5315-3	2019-08-02	2019-08-07	THE MASTER GROUP CRANF	103.73	CAD	103.73	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61534304	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5318-2	2019-08-08	2019-08-09	RONA # 55140	698.19	CAD	698.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61531602	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	PORTABLE AC UNIT
FACILITIES MANAGEMENT	5318-3	2019-08-08	2019-08-09	RONA # 55140	667.46	CAD	667.46	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61531600	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	PORTABLE AC
FACILITIES MANAGEMENT	5319-1	2019-08-09	2019-08-12	PARKDALE HM HDW 1350-8	44.92	CAD	44.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61531600	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	"5"" FLEX DUCT"
FACILITIES MANAGEMENT	5321-4	2019-08-13	2019-08-14	LENNOX CANADA INC	837.24	CAD	837.24	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61531877	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5965	Direct Marketing - Combination Catalog a	PARTS RECEIPT
FACILITIES MANAGEMENT	5322-3	2019-08-14	2019-08-15	NOBLE 1017	119.31	CAD	119.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61528071	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	RELIEF VALVE 1
FACILITIES MANAGEMENT	5323-3	2019-08-13	2019-08-16	UNITED REFRIGERATION	98.13	CAD	98.13	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61533862	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	BELTS/COIL CLEANER
FACILITIES MANAGEMENT	5323-4	2019-08-14	2019-08-16	PAUL WOLF ELECTRIC & L	713.75	CAD	713.75	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61529617	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	BACK ORDER CONTACTORS PAY AND PICKUP
FACILITIES MANAGEMENT	5324-4	2019-08-16	2019-08-19	THE MASTER GROUP CRANF	337.21	CAD	337.21	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61536164	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	THERMOSTAT AND SENSOR
FACILITIES MANAGEMENT	5324-5	2019-08-16	2019-08-19	NOBLE 1017	150.97	CAD	150.97	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61528071	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	RELIEF VALVE 2
FACILITIES MANAGEMENT	5327-3	2019-08-21	2019-08-22	THE MASTER GROUP CRANF	206.20	CAD	206.20	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61536846	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5327-4	2019-08-21	2019-08-22	THE MASTER GROUP CRANF	328.13	CAD	328.13	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61536687	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5327-5	2019-08-21	2019-08-22	THE MASTER GROUP CRANF	"1,160.43"	CAD	"1,160.43"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61536771	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5329-6	2019-08-23	2019-08-26	THE MASTER GROUP CRANF	68.06	CAD	68.06	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61536771	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	MOTOR HARNESS
FACILITIES MANAGEMENT	5330-1	2019-08-26	2019-08-27	THE MASTER GROUP CRANF	23.05	CAD	23.05	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61537403	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	FILTERS
FACILITIES MANAGEMENT	5331-6	2019-08-27	2019-08-28	NOBLE 1017	217.43	CAD	217.43	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61536704	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	FLOW SWITCH
					"5,938.98"	CAD	"5,938.98"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5321-5	2019-08-13	2019-08-14	ABOVEGROUND ENTERPRISE	41.19	CAD	41.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	7333	"Commercial Art, Graphics, Photography"	M & D SCRATCHBOARD
ECONOMIC DEVELOPMENT & CULTURE	5333-2	2019-08-29	2019-08-30	ABOVEGROUND ENTERPRISE	319.39	CAD	319.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	7333	"Commercial Art, Graphics, Photography"	"GELLI PLATE, POURING MEDIUM"
					360.58	CAD	360.58	CAD							
TORONTO WATER	5313-7	2019-08-01	2019-08-05	THE HOME DEPOT #7073	190.92	CAD	190.92	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	"VACCUM & DUST BUY, MUFFLER"
					190.92	CAD	190.92	CAD							
FIRE SERVICES	5312-2	2019-07-31	2019-08-02	MTO RUS-SO NORTH YORK	7.00	CAD	7.00	CAD	4830	PERMIT & LICENSE FEES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	REPLACEMENT STICKER FOR TFS UNIT #20394
FIRE SERVICES	5319-2	2019-08-09	2019-08-12	DON VALLEY NORTH LEXUS	274.59	CAD	274.59	CAD	4424	CONTRACTED SERVICES - GENERAL	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5511	"Automobile and Truck Dealers - Sales, Se"	REPAIRS TO TFS UNIT #20493
FIRE SERVICES	5320-2	2019-08-12	2019-08-13	WIETZES MOTORS LTD	79.61	CAD	79.61	CAD	4424	CONTRACTED SERVICES - GENERAL	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5511	"Automobile and Truck Dealers - Sales, Se"	REPAIRS TO TFS UNIT #20432
FIRE SERVICES	5322-4	2019-08-14	2019-08-15	AIR CAN  00145080369499	703.15	CAD	703.15	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	FR0012	ADMIN-HEADQUARTERS	3009	Air Canada	FLIGHT FOR FDNY
FIRE SERVICES	5322-5	2019-08-14	2019-08-15	AIR CAN  00145080370000	703.15	CAD	703.15	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	FR0012	ADMIN-HEADQUARTERS	3009	Air Canada	FLIGHT FOR FDNY
FIRE SERVICES	5323-5	2019-08-15	2019-08-16	AIR CAN  00145080370000	31.50	CAD	31.50	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	FR0012	ADMIN-HEADQUARTERS	3009	Air Canada	BAGGAGE CHECK
FIRE SERVICES	5324-6	2019-08-18	2019-08-19	NJT NY PENN STA   5093	35.53	CAD	26.00	USD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	FR0012	ADMIN-HEADQUARTERS	4111	Transportation - Suburban and Local Comm	AIRPORT TRANSPORT IN NY
FIRE SERVICES	5325-2	2019-08-18	2019-08-20	THE LEX HOTEL NYC	670.10	CAD	491.26	USD	4210	BUSINESS TRAV - ACCOMMODATION	FR0012	ADMIN-HEADQUARTERS	7011	"Lodging - Hotels, Motels, Resorts - Not"	HOTEL FOR FDNY BRONTO DEMONSTRATION
FIRE SERVICES	5325-3	2019-08-18	2019-08-20	THE LEX HOTEL NYC	670.10	CAD	491.26	USD	4210	BUSINESS TRAV - ACCOMMODATION	FR0012	ADMIN-HEADQUARTERS	7011	"Lodging - Hotels, Motels, Resorts - Not"	HOTEL FOR FDNY BRONTO DEMONSTRATION
FIRE SERVICES	5329-7	2019-08-23	2019-08-26	WIRLESS +	11.30	CAD	11.30	CAD	3020	M & E - COMMUNICATIONS	FR0013	EMERGENCY COMMUNICATIONS	4812	Telecommunication Equipment Including Te	COT IPHONE 8 SCREEN PROTECTOR
FIRE SERVICES	5333-3	2019-08-29	2019-08-30	THE UPS STORE #3	19.15	CAD	19.15	CAD	4815	COURIER SERVICES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	7399	Business Services - Not Elsewhere Classi	**MORE**  COURIER TO BRONTO SKYLIFT
					"3,205.18"	CAD	"1,829.45"	CAD							
							"1,008.52"	USD							
"PARKS, FORESTRY & RECREATION"	5311-2	2019-07-30	2019-08-01	WAL-MART #1139	218.96	CAD	218.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P02062	AFTERSCHOOL REC CARE - ADMINISTRATION	5411	"Grocery Stores, Supermarkets"	"CAKE MIX, CAKE FROSTING"
"PARKS, FORESTRY & RECREATION"	5325-4	2019-08-19	2019-08-20	COSTCO WHOLESALE W1316	305.07	CAD	305.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13592	AFTERSCHOOL RECREATION CARE 2	5300	Wholesale Clubs	SHELVES
"PARKS, FORESTRY & RECREATION"	5329-8	2019-08-25	2019-08-26	AMAZON.CA MO1ZI9VD2	209.64	CAD	209.64	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	SCIENCE KITS
"PARKS, FORESTRY & RECREATION"	5329-9	2019-08-25	2019-08-26	AMAZON.CA MO99P9P91	419.28	CAD	419.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	SCIENCE KITS
"PARKS, FORESTRY & RECREATION"	5329-10	2019-08-25	2019-08-26	AMAZON.CA MO9942PV1	419.28	CAD	419.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	SCIENCE KITS
"PARKS, FORESTRY & RECREATION"	5330-2	2019-08-26	2019-08-27	AMZN MKTP CA MO2FS1MY2	344.60	CAD	344.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	SOLAR SYSTEM KITS
"PARKS, FORESTRY & RECREATION"	5330-3	2019-08-26	2019-08-27	AMAZON.CA MO0Z79ZT0	64.32	CAD	64.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	STEAM KITS
"PARKS, FORESTRY & RECREATION"	5330-4	2019-08-26	2019-08-27	AMAZON.CA MO2VP5532	451.80	CAD	451.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	SMARTLAB TOYS
"PARKS, FORESTRY & RECREATION"	5330-5	2019-08-26	2019-08-27	AMAZON.CA MO4NF6XD1	225.90	CAD	225.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	SMARTLAB TOYS
					"2,658.85"	CAD	"2,658.85"	CAD							
"PARKS, FORESTRY & RECREATION"	5320-3	2019-08-12	2019-08-13	CENTENNIAL PLUMBING SU	102.89	CAD	102.89	CAD	2535	PLUMBING SUPPLIES	P00405	N-CENTRAL1-TURF&HORT	1711	"Air Conditioning, Heating, and Plumbing"	COMPRESSION VALVS
"PARKS, FORESTRY & RECREATION"	5323-6	2019-08-15	2019-08-16	NOBLE 1038	498.93	CAD	498.93	CAD	2535	PLUMBING SUPPLIES	P06685	EARL BALES CC-OPERATIONS	5251	Hardware Stores	SYMMONS
"PARKS, FORESTRY & RECREATION"	5331-7	2019-08-27	2019-08-28	NOBLE 1038	736.51	CAD	736.51	CAD	2535	PLUMBING SUPPLIES	P01183	LEDBURY PARK-OPERATIONS	5251	Hardware Stores	POWER HANDLES
"PARKS, FORESTRY & RECREATION"	5333-4	2019-08-29	2019-08-30	CENTENNIAL PLUMBING SU	118.13	CAD	118.13	CAD	2535	PLUMBING SUPPLIES	P06685	EARL BALES CC-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	"PVC PIPE, FITTINGS"
					"1,456.46"	CAD	"1,456.46"	CAD							
MUNICIPAL LICENSING & STANDARDS	5311-3	2019-07-30	2019-08-01	IMPERIAL ENGRAVERS	28.25	CAD	28.25	CAD	4199	OTHER PROFESSIONAL AND TECHNICAL SERVICE	MS1000	OFF. OF THE EXECUTIVE DIRECTOR	5999	Miscellaneous and Specialty Retail Store	BADGE ENGRAVING
MUNICIPAL LICENSING & STANDARDS	5326-2	2019-08-20	2019-08-21	PANERA 5103	465.84	CAD	465.84	CAD	4820	BUSINESS MEETING EXPENSES	MS1000	OFF. OF THE EXECUTIVE DIRECTOR	5812	"Eating Places, Restaurants"	REFRESHMENT FOR SMT/NEW HIRE ORIENTATION
MUNICIPAL LICENSING & STANDARDS	5329-11	2019-08-26	2019-08-26	AMZN MKTP CA MO6WJ4GB1	74.45	CAD	74.45	CAD	3410	COMPUTERS - HARDWARE	MS1010	POLICY & PLANNING SERVICES	4816	Computer Network/Information Services	SMARTBOARD CABLES
					568.54	CAD	568.54	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5322-6	2019-08-14	2019-08-15	LIBERTY VILLAGE HOME H	29.57	CAD	29.57	CAD	2710	GENERAL HARDWARE	AH0059	MH CUR 98 AA ADMINISTRATION	5251	Hardware Stores	"GLUE STICKS, ADHESIVE HOOK, BATTERIES"
ECONOMIC DEVELOPMENT & CULTURE	5324-7	2019-08-15	2019-08-19	PAYPAL  APPRAISALAS	"1,083.25"	CAD	"1,083.25"	CAD	4085	PROF & TECH-MGMT	AH0059	MH CUR 98 AA ADMINISTRATION	7311	Advertising Services	4 APPRAISALS FOR DONATIONS
					"1,112.82"	CAD	"1,112.82"	CAD							
"PARKS, FORESTRY & RECREATION"	5321-6	2019-08-14	2019-08-14	ULINE	257.73	CAD	257.73	CAD	3310	FURNISHINGS	P06663	BIRKDALE-PRGM SUPPORT	5964	Direct Marketing - Catalog Merchants	**MORE**  3X8 NAVY WATERHOG MAT
					257.73	CAD	257.73	CAD							
FACILITIES MANAGEMENT	5313-9	2019-08-02	2019-08-05	ROYAL HM HWRE #1274-8	18.62	CAD	18.62	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61531865	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	COCKING
FACILITIES MANAGEMENT	5326-3	2019-08-20	2019-08-21	APPLEBY LOCK	141.25	CAD	141.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61531855	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	SUPPLY KEYS
FACILITIES MANAGEMENT	5326-4	2019-08-20	2019-08-21	APPLEBY LOCK	129.95	CAD	129.95	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61536134	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7399	Business Services - Not Elsewhere Classi	REKEY LOCK
