Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	Expense Type	Funds Center	Cost Desc	Merchant Type	Merchant Type Description	Purpose
SOLID WASTE MANAGEMENT	5465-2	2020-02-20	2020-02-24	PETROCAN	49.54	CAD	49.54	CAD	2280	2280	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
					49.54	CAD	49.54	CAD							
FIRE SERVICES	5463-1	2020-02-19	2020-02-20	HUSKY KINGSTON TC 4458	300.00	CAD	300.00	CAD	4230	4230	FR0026	HUSAR-PROVINCE	5541	Service Stations (with or without Ancill	FUEL FOR COVID-19 EVENT - CORNWALL
FIRE SERVICES	5464-1	2020-02-19	2020-02-21	10 ACRE TRUCKSTOP	234.15	CAD	234.15	CAD	4230	4230	FR0026	HUSAR-PROVINCE	5541	Service Stations (with or without Ancill	FUEL FOR COVID-19 EVENT - CORNWALL
					534.15	CAD	534.15	CAD							
SOLID WASTE MANAGEMENT	5463-2	2020-02-18	2020-02-20	PETROCAN	71.73	CAD	71.73	CAD	2260	2260	CSW930-03-01	KEELE VALLEY SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE-CITY USE
					71.73	CAD	71.73	CAD							
"PARKS, FORESTRY & RECREATION"	5453-2	2020-02-04	2020-02-06	THE HOME DEPOT #7080	14.61	CAD	14.61	CAD	2710	2710	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5200	Home Supply Warehouse	**MORE**  KNIFE SET
"PARKS, FORESTRY & RECREATION"	5454-1	2020-02-06	2020-02-07	WATER AND ICE NORTH AM	343.41	CAD	343.41	CAD	2535	2535	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	CO2 FLOW METER
"PARKS, FORESTRY & RECREATION"	5457-2	2020-02-11	2020-02-12	WATER AND ICE NORTH AM	344.54	CAD	344.54	CAD	2535	2535	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	CO2
"PARKS, FORESTRY & RECREATION"	5457-3	2020-02-11	2020-02-12	WATER AND ICE NORTH AM	371.77	CAD	371.77	CAD	2535	2535	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	FLOATING WEIRS
					"1,074.33"	CAD	"1,074.33"	CAD							
"PARKS, FORESTRY & RECREATION"	5449-2	2020-01-31	2020-02-03	SAM'S NO FRILLS #3663	24.90	CAD	24.90	CAD	2750	2750	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"CELERY, RED ONIONS, GRND BEEF"
"PARKS, FORESTRY & RECREATION"	5450-2	2020-02-03	2020-02-04	SAM'S NO FRILLS #3663	26.49	CAD	26.49	CAD	2750	2750	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"BROCCOLI, GINGER, RED PEPPERS"
"PARKS, FORESTRY & RECREATION"	5451-1	2020-02-04	2020-02-05	SAM'S NO FRILLS #3663	360.10	CAD	360.10	CAD	2750	2750	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"QUAKER OATS, CHEDDAR CHEESE, LETTUCE"
"PARKS, FORESTRY & RECREATION"	5451-2	2020-02-04	2020-02-05	SAM'S NO FRILLS #3663	24.72	CAD	24.72	CAD	2750	2750	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"MOUNTAIN DEW, HYGROGEN PEROXIDE"
"PARKS, FORESTRY & RECREATION"	5456-1	2020-02-10	2020-02-11	SAM'S NO FRILLS #3663	233.55	CAD	233.55	CAD	2750	2750	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"RICE CAKES, BAKING SODA, GRAPES"
"PARKS, FORESTRY & RECREATION"	5457-4	2020-02-11	2020-02-12	MICHAELS #3983	11.28	CAD	11.28	CAD	2999	2999	P13495	YORK CC - PRGM SUPPORT CR	5945	"Game, Toy, and Hobby Shops"	MARBLES
"PARKS, FORESTRY & RECREATION"	5457-5	2020-02-11	2020-02-12	HOBBY WORLD	6.23	CAD	6.23	CAD	2999	2999	P13495	YORK CC - PRGM SUPPORT CR	5970	"Artist Supply Stores, Craft Shops"	COLOURED TOUNGES
"PARKS, FORESTRY & RECREATION"	5457-6	2020-02-11	2020-02-12	APPLE STORE #R120	113.00	CAD	113.00	CAD	2999	2999	P13495	YORK CC - PRGM SUPPORT CR	5732	Electronic Sales	LIGHTING CABLES
"PARKS, FORESTRY & RECREATION"	5461-1	2020-02-18	2020-02-18	APPLE.COM/BILL	11.29	CAD	11.29	CAD	2999	2999	P13495	YORK CC - PRGM SUPPORT CR	5735	Record Shops	GUARTDIAN OF THE GALAXY VOL 1
"PARKS, FORESTRY & RECREATION"	5461-2	2020-02-18	2020-02-18	APPLE.COM/BILL	7.90	CAD	7.90	CAD	2999	2999	P13495	YORK CC - PRGM SUPPORT CR	5735	Record Shops	GUARTDIAN OF THE GALAXY VOL 2
"PARKS, FORESTRY & RECREATION"	5462-1	2020-02-18	2020-02-19	SAM'S NO FRILLS #3663	12.54	CAD	12.54	CAD	2750	2750	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"WEINERS, HOT DOG BUNS"
"PARKS, FORESTRY & RECREATION"	5463-3	2020-02-19	2020-02-20	SAM'S NO FRILLS #3663	492.17	CAD	492.17	CAD	2750	2750	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"CRANBERRY JUICE, SUGAR, SOUR CREAM"
"PARKS, FORESTRY & RECREATION"	5466-2	2020-02-24	2020-02-25	SAM'S NO FRILLS #3663	272.69	CAD	272.69	CAD	2750	2750	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"CAESAR DRESSING, VANILLA, EGGS"
					"1,596.86"	CAD	"1,596.86"	CAD							
SOLID WASTE MANAGEMENT	5465-3	2020-02-21	2020-02-24	RECYCLING MARKETS LIMI	618.78	CAD	455.00	USD	2020	2020	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	7399	Business Services - Not Elsewhere Classi	ONE YEAR SUBSCRPTION TO MARKET INDEX
					618.78	CAD	455.00	USD							
FLEET SERVICES	5464-2	2020-02-19	2020-02-21	LEVITT SAFETY LIMITED	"6,185.19"	CAD	"6,185.19"	CAD	3099	3099	FL4001	FLEET SAFETY & TRAINING	7394	"Equipment Rental and Leasing Services, F"	P2 MTO APPROVED EYE TEST STATION-CHARGE BACK TO TORONTO FIRE. REQUIRED FOR DCP PROGRAM PER MTO
					"6,185.19"	CAD	"6,185.19"	CAD							
TORONTO WATER	5459-1	2020-02-12	2020-02-14	PAYPAL  WEAO	98.31	CAD	98.31	CAD	4760	4760	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	8641	"Associations - Civic, Social, and Frater"	MEMBERSHIP 
TORONTO WATER	5459-2	2020-02-12	2020-02-14	PAYPAL  WEAO	98.31	CAD	98.31	CAD	4760	4760	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	8641	"Associations - Civic, Social, and Frater"	MEMBERSHIP 
TORONTO WATER	5459-3	2020-02-12	2020-02-14	PAYPAL  WEAO	-98.31	CAD	-98.31	CAD	4760	4760	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	8641	"Associations - Civic, Social, and Frater"	MEMBERSHIP 
TORONTO WATER	5460-1	2020-02-14	2020-02-17	SMS-SGS/RADIO/8157368	246.29	CAD	246.29	CAD	4830	4830	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	9399	Government Services - Not Elsewhere Clas	REMOTE CRANE CONTROLS RADIO
TORONTO WATER	5468-1	2020-02-25	2020-02-27	CDN TIRE STORE #00654	270.16	CAD	270.16	CAD	2710	2710	TW4036	WW TREATMT:ASHBRIDGES BAY TP-SOLIDS	5200	Home Supply Warehouse	LD AND SMALL FRIDGE
TORONTO WATER	5469-2	2020-02-28	2020-02-28	GUNNEBO CANADA	349.16	CAD	349.16	CAD	4403	4403	TW4036	WW TREATMT:ASHBRIDGES BAY TP-SOLIDS	7393	"Detective Agencies, Protective Agencies,"	SERVICING LOCK CYLINDER
					963.92	CAD	963.92	CAD							
TRANSPORTATION SERVICES	5449-3	2020-02-01	2020-02-03	INSTORAGE #3021	592.08	CAD	592.08	CAD	4416	4416	TP0100	"ROADWAY SURFACE REPAIR-D1,A1"	5999	Miscellaneous and Specialty Retail Store	STORAGE FOR LABOUR DISRUPTION
					592.08	CAD	592.08	CAD							
"PARKS, FORESTRY & RECREATION"	5449-4	2020-01-30	2020-02-03	THE HOME DEPOT #7107	125.11	CAD	125.11	CAD	2710	2710	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  VARATHANE
"PARKS, FORESTRY & RECREATION"	5454-2	2020-02-05	2020-02-07	THE HOME DEPOT #7107	31.72	CAD	31.72	CAD	2710	2710	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	"**MORE**  1/2"" BIT"
"PARKS, FORESTRY & RECREATION"	5456-2	2020-02-10	2020-02-11	PRINCESS AUTO 36	54.18	CAD	54.18	CAD	2999	2999	P00272	E-SOUTH2-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	SNOW PLOW SHOES
"PARKS, FORESTRY & RECREATION"	5457-7	2020-02-11	2020-02-12	CENTRAL FAIRBANK LUMBE	558.38	CAD	558.38	CAD	2531	2531	P00272	E-SOUTH2-TURF&HORT	5211	"Building Materials, Lumber Stores"	LUMBER
"PARKS, FORESTRY & RECREATION"	5468-2	2020-02-25	2020-02-27	CTF SUPPLY (08)	108.23	CAD	108.23	CAD	3080	3080	P00272	E-SOUTH2-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	WRENCHES
					877.62	CAD	877.62	CAD							
FACILITIES MANAGEMENT	5449-5	2020-01-31	2020-02-03	THE HOME DEPOT #7080	10.11	CAD	10.11	CAD	2530	2530	FA0522	953 GERRARD ST -OP-S(PAPE AVE REC CENTRE	5200	Home Supply Warehouse	**MORE**  SCREW
FACILITIES MANAGEMENT	5450-3	2020-02-03	2020-02-04	THE MASTER GROUP CRANF	272.06	CAD	272.06	CAD	2530	2530	FA0295	111 WELLESLEY E-OPS-S	5074	Plumbing and Heating Equipment	REFRIGERANT NEEDED
FACILITIES MANAGEMENT	5451-3	2020-02-04	2020-02-05	PAUL WOLF ELECTRIC & L	12.07	CAD	12.07	CAD	2530	2530	FA1420	1076 PAPE AVE.-LSNG	5065	Electrical Parts and Equipment	NEW FAN ASSEMBLY
FACILITIES MANAGEMENT	5451-4	2020-02-04	2020-02-05	CAPTIVE AIRE SYSTEMS I	230.52	CAD	230.52	CAD	2530	2530	FA1420	1076 PAPE AVE.-LSNG	1711	"Air Conditioning, Heating, and Plumbing"	PARTS RECEIPT
FACILITIES MANAGEMENT	5455-1	2020-02-05	2020-02-10	ELITE PLUMBING & HEATI	263.02	CAD	263.02	CAD	2530	2530	FA0522	953 GERRARD ST -OP-S(PAPE AVE REC CENTRE	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5455-2	2020-02-07	2020-02-10	CAPTIVE AIRE SYSTEMS I	366.73	CAD	366.73	CAD	2530	2530	FA1420	1076 PAPE AVE.-LSNG	1711	"Air Conditioning, Heating, and Plumbing"	FLAME RODS
FACILITIES MANAGEMENT	5455-3	2020-02-07	2020-02-10	NOBLE 1007	24.89	CAD	24.89	CAD	2530	2530	FA0261	180 WESTMORELAND-OP-S(DOVERCOURT B&G CLB	5251	Hardware Stores	NUTS AND BOLTS
FACILITIES MANAGEMENT	5455-4	2020-02-07	2020-02-10	NOBLE 1017	43.75	CAD	43.75	CAD	2530	2530	FA0261	180 WESTMORELAND-OP-S(DOVERCOURT B&G CLB	5251	Hardware Stores	GASKETS
FACILITIES MANAGEMENT	5455-5	2020-02-07	2020-02-10	AIR HEAT SUPPLIES #3	30.31	CAD	30.31	CAD	2530	2530	FA0494	66 SHERIDAN AVE-OP-S(MCCORMICK REC CENTR	5074	Plumbing and Heating Equipment	FILTERS
FACILITIES MANAGEMENT	5456-3	2020-02-10	2020-02-11	NOBLE 1007	184.02	CAD	184.02	CAD	2530	2530	FA0503	750 BLOOR ST W-OP-S(CHRISTIE PITS)	5251	Hardware Stores	LOW WATER CUT OFF
FACILITIES MANAGEMENT	5458-1	2020-02-11	2020-02-13	ELITE PLUMBING & HEATI	244.36	CAD	244.36	CAD	2530	2530	FA0503	750 BLOOR ST W-OP-S(CHRISTIE PITS)	5074	Plumbing and Heating Equipment	PUMP SEAL ASSEMBLY
FACILITIES MANAGEMENT	5459-4	2020-02-13	2020-02-14	PAUL WOLF ELECTRIC & L	78.34	CAD	78.34	CAD	2530	2530	FA0293	OTHER LOCATIONS-EDCT-OPS-SOUTH	5065	Electrical Parts and Equipment	PARTS RECEIPT 1
FACILITIES MANAGEMENT	5459-5	2020-02-13	2020-02-14	NOBLE 1017	44.13	CAD	44.13	CAD	2530	2530	FA0293	OTHER LOCATIONS-EDCT-OPS-SOUTH	5251	Hardware Stores	PARTS RECEIPT 2
FACILITIES MANAGEMENT	5460-2	2020-02-14	2020-02-17	HYDRONIC PARTS GROUP L	302.16	CAD	302.16	CAD	2530	2530	FA0494	66 SHERIDAN AVE-OP-S(MCCORMICK REC CENTR	7399	Business Services - Not Elsewhere Classi	HOT SURFACE IGNITERS
FACILITIES MANAGEMENT	5460-3	2020-02-14	2020-02-17	HYDRONIC PARTS GROUP L	180.80	CAD	180.80	CAD	2530	2530	FA0378	1260 DUFFERIN S-OP-S(WALLACE-EMERSON COM	7399	Business Services - Not Elsewhere Classi	HI LIMIT CONTROL
FACILITIES MANAGEMENT	5460-4	2020-02-14	2020-02-17	NOBLE 1007	6.22	CAD	6.22	CAD	2530	2530	FA0378	1260 DUFFERIN S-OP-S(WALLACE-EMERSON COM	5251	Hardware Stores	PIPE CAPS
FACILITIES MANAGEMENT	5465-4	2020-02-20	2020-02-24	AIR HEAT SUPPLIES #3	150.65	CAD	150.65	CAD	2530	2530	FA0306	1116 KING W-OP-S	5074	Plumbing and Heating Equipment	BURNER PARTS
FACILITIES MANAGEMENT	5465-5	2020-02-21	2020-02-24	ENGINEERED AIR	"1,175.20"	CAD	"1,175.20"	CAD	2530	2530	FA2395	245 MAIN ST-OPS-S-MAIN SQ COMM CENTRE	1711	"Air Conditioning, Heating, and Plumbing"	BURNER PARTS
FACILITIES MANAGEMENT	5465-6	2020-02-21	2020-02-24	ENGINEERED AIR	452.00	CAD	452.00	CAD	2530	2530	FA0235	707 DUNDAS ST.W-OP-S (SCADDING COURT COM	1711	"Air Conditioning, Heating, and Plumbing"	BURNER PARTS
FACILITIES MANAGEMENT	5465-7	2020-02-21	2020-02-24	WWG / TOTALINE	45.20	CAD	45.20	CAD	2530	2530	FA0288	895 EASTERN-OPS-S (FIRE ACADEMY)	5085	Industrial Supplies Not Elsewhere Classi	TRANSFORMER
FACILITIES MANAGEMENT	5466-3	2020-02-24	2020-02-25	NOBLE 1017	893.99	CAD	893.99	CAD	2530	2530	FA2395	245 MAIN ST-OPS-S-MAIN SQ COMM CENTRE	5251	Hardware Stores	POWER VENTING
FACILITIES MANAGEMENT	5466-4	2020-02-24	2020-02-25	NOBLE 1017	427.38	CAD	427.38	CAD	2530	2530	FA2394	1081 1/2 PAPE-OPS-S (E YORK COMM RECR)	5251	Hardware Stores	MISCELLANEOUS PIPING
FACILITIES MANAGEMENT	5468-3	2020-02-26	2020-02-27	MCKAY BOILER SUPPLIES	"1,562.70"	CAD	"1,562.70"	CAD	2530	2530	FA0262	843 PALMERSTON-OPS-S(ST.ALBANS B&G CLUB)	5999	Miscellaneous and Specialty Retail Store	PARTS RECEIPT
FACILITIES MANAGEMENT	5468-4	2020-02-18	2020-02-27	APPLIED INDUSTRIAL TEC	55.42	CAD	55.42	CAD	2530	2530	FA0235	707 DUNDAS ST.W-OP-S (SCADDING COURT COM	5085	Industrial Supplies Not Elsewhere Classi	BELTS
FACILITIES MANAGEMENT	5468-5	2020-02-26	2020-02-27	ONTARIO HEATING PINE	21.87	CAD	21.87	CAD	2530	2530	FA2395	245 MAIN ST-OPS-S-MAIN SQ COMM CENTRE	1711	"Air Conditioning, Heating, and Plumbing"	VENTING PARTS
FACILITIES MANAGEMENT	5468-6	2020-02-26	2020-02-27	ONTARIO VALVE REPAIR	"1,093.20"	CAD	"1,093.20"	CAD	2530	2530	FA2394	1081 1/2 PAPE-OPS-S (E YORK COMM RECR)	7699	Miscellaneous Repair Shops and Related S	ACTUATOR VALVE
					"8,171.10"	CAD	"8,171.10"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5457-8	2020-02-12	2020-02-12	THE POTTERY SUPPLY HOU	105.09	CAD	105.09	CAD	2600	2600	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5970	"Artist Supply Stores, Craft Shops"	"SOFT LARGE RUBBER KIDNEY, SOFT SMALL RUBBER"
					105.09	CAD	105.09	CAD							
TORONTO WATER	5449-6	2020-01-30	2020-02-03	THE HOME DEPOT #7013	261.26	CAD	261.26	CAD	2120	2120	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	GR30 CHAIN
TORONTO WATER	5449-7	2020-01-31	2020-02-03	MGCS-SO TORONTO	63.00	CAD	63.00	CAD	2099	2099	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	9399	Government Services - Not Elsewhere Clas	TRAFFIC CONTROL BOOK
TORONTO WATER	5465-8	2020-02-21	2020-02-24	NEXT SUPPLY	11.32	CAD	11.32	CAD	2120	2120	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5251	Hardware Stores	BRASS NIPPLE
					335.58	CAD	335.58	CAD							
FIRE SERVICES	5453-3	2020-02-04	2020-02-06	THE HOME DEPOT #7011	589.39	CAD	589.39	CAD	2710	2710	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5200	Home Supply Warehouse	**MORE**  2X6X16 SPF.
FIRE SERVICES	5454-3	2020-02-05	2020-02-07	MTO RUS-SO NORTH YORK	59.00	CAD	59.00	CAD	4830	4830	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	REPLACEMENT LICENCE PLATE FOR UNIT 27043
FIRE SERVICES	5458-2	2020-02-10	2020-02-13	ACKLANDS GRAINGER INC	148.93	CAD	148.93	CAD	3080	3080	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5085	Industrial Supplies Not Elsewhere Classi	WR PIPE 18 ALUM
FIRE SERVICES	5460-5	2020-02-13	2020-02-17	MTO RUS-SO NORTH YORK	131.00	CAD	131.00	CAD	4830	4830	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	PLATE RENEWAL UNIT 25057 - LICENCE PLATE UNIT 40019
FIRE SERVICES	5464-3	2020-02-18	2020-02-21	ACKLANDS GRAINGER INC	"3,753.14"	CAD	"3,753.14"	CAD	3080	3080	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5085	Industrial Supplies Not Elsewhere Classi	WR PIPE 18 ALUM
FIRE SERVICES	5465-9	2020-02-20	2020-02-24	ACKLANDS GRAINGER INC	268.08	CAD	268.08	CAD	3080	3080	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5085	Industrial Supplies Not Elsewhere Classi	WR PIPE 18 ALUM
FIRE SERVICES	5465-10	2020-02-21	2020-02-24	MTO RUS-SO NORTH YORK	59.00	CAD	59.00	CAD	4830	4830	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	REPLACEMENT LICENCE PLATE UNIT 27035
					"5,008.54"	CAD	"5,008.54"	CAD							
"PARKS, FORESTRY & RECREATION"	5449-8	2020-02-02	2020-02-03	AMZN MKTP CA CI4FC4JQ3	121.02	CAD	121.02	CAD	2600	2600	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	PYLON CONES
"PARKS, FORESTRY & RECREATION"	5453-4	2020-02-05	2020-02-06	AMZN MKTP CA 6X9DV00Y3	49.26	CAD	49.26	CAD	2600	2600	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	MINI HOCKEY STE
"PARKS, FORESTRY & RECREATION"	5455-6	2020-02-07	2020-02-10	AMZN MKTP CA R192P9J33	533.25	CAD	533.25	CAD	2600	2600	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	PHOTO PRINTERS AND BALL PUMPS
"PARKS, FORESTRY & RECREATION"	5455-7	2020-02-09	2020-02-10	AMZN MKTP CA AA81P3Y93	72.31	CAD	72.31	CAD	2600	2600	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	STORAGE CASES
"PARKS, FORESTRY & RECREATION"	5455-8	2020-02-10	2020-02-10	AMZN MKTP CA C798Q0KC3	111.75	CAD	111.75	CAD	2600	2600	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	PYLONS
"PARKS, FORESTRY & RECREATION"	5455-9	2020-02-09	2020-02-10	AMZN MKTP CA ME8OU11N2	290.68	CAD	290.68	CAD	2600	2600	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	BADMINTON BIRDIES AND FLAG FOOTBALL
"PARKS, FORESTRY & RECREATION"	5455-10	2020-02-09	2020-02-10	AMZN MKTP CA 8Z0641PD3	107.34	CAD	107.34	CAD	2600	2600	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	PYLONS
"PARKS, FORESTRY & RECREATION"	5458-3	2020-02-12	2020-02-13	METRO #719 WEB	311.53	CAD	311.53	CAD	2750	2750	P13592	AFTERSCHOOL RECREATION CARE 2	5411	"Grocery Stores, Supermarkets"	"MARSHMALLOWS, ZIPLOC BAGS, SHAVING CREAM, FLOUR"
"PARKS, FORESTRY & RECREATION"	5464-4	2020-02-20	2020-02-21	MICHAELS #3933	421.82	CAD	421.82	CAD	2600	2600	P13592	AFTERSCHOOL RECREATION CARE 2	5945	"Game, Toy, and Hobby Shops"	"CROCHET NEEDLES, YARN, WATERCOLORS"
"PARKS, FORESTRY & RECREATION"	5465-11	2020-02-21	2020-02-24	TIM HORTONS #0627	44.05	CAD	44.05	CAD	2750	2750	P13592	AFTERSCHOOL RECREATION CARE 2	5814	Quick Payment Service - Fast-Food Restau	COFFEE
"PARKS, FORESTRY & RECREATION"	5468-7	2020-02-26	2020-02-27	INSTITUTE OF CANADIAN	282.50	CAD	282.50	CAD	2600	2600	P13592	AFTERSCHOOL RECREATION CARE 2	8299	Educational Services	ROBOTICS WORKSHOP FOR SITES
					"2,345.51"	CAD	"2,345.51"	CAD							
"PARKS, FORESTRY & RECREATION"	5450-4	2020-02-03	2020-02-04	NOBLE 1038	408.42	CAD	408.42	CAD	2535	2535	P07726	NORTH TORONTO-OPERATIONS	5251	Hardware Stores	COPPER FITTINGS
"PARKS, FORESTRY & RECREATION"	5451-5	2020-02-04	2020-02-05	CENTENNIAL PLUMBING SU	56.39	CAD	56.39	CAD	2535	2535	P07707	RODING CC-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	DRAIN OPENER
"PARKS, FORESTRY & RECREATION"	5454-4	2020-02-06	2020-02-07	NOBLE 1038	178.12	CAD	178.12	CAD	2535	2535	P07726	NORTH TORONTO-OPERATIONS	5251	Hardware Stores	WASHING MACHINE HOSE
"PARKS, FORESTRY & RECREATION"	5457-9	2020-02-11	2020-02-12	NOBLE 1038	554.28	CAD	554.28	CAD	2535	2535	P00415	N-WEST3-TURF&HORT	5251	Hardware Stores	EYE WASH MIXING VALVE
"PARKS, FORESTRY & RECREATION"	5461-3	2020-02-14	2020-02-18	CDN TIRE STORE #00192	33.06	CAD	33.06	CAD	2535	2535	P13486	PARKWAY FOREST- OPERATIONS	5200	Home Supply Warehouse	"WAX, BOLT, GLUE"
"PARKS, FORESTRY & RECREATION"	5462-2	2020-02-18	2020-02-19	NOBLE 1038	72.30	CAD	72.30	CAD	2535	2535	P06688	LAWRENCE HGTS CC-OPERATIONS	5251	Hardware Stores	PIPES
"PARKS, FORESTRY & RECREATION"	5463-4	2020-02-19	2020-02-20	CENTENNIAL PLUMBING SU	63.54	CAD	63.54	CAD	2535	2535	P07696	ANTIBES CC-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	TRAP
"PARKS, FORESTRY & RECREATION"	5464-5	2020-02-19	2020-02-21	THE HOME DEPOT #7078	11.14	CAD	11.14	CAD	2535	2535	P07696	ANTIBES CC-OPERATIONS	5200	Home Supply Warehouse	**MORE**  1-1/2 PL DSH
					"1,377.25"	CAD	"1,377.25"	CAD							
LOBBYIST REGISTRAR	5467-1	2020-02-25	2020-02-26	INSTITUTE OF PUBLIC	150.00	CAD	150.00	CAD	4256	4256	LR0001	LOBBYIST REGISTRAR	8398	"Organizations, Charitable and Social Ser"	 PUBLIC SECTOR ETHICS CONFERENCE 2020 - BUILDING TRUST IN GOVT - MAY 21 - 22
					150.00	CAD	150.00	CAD							
MUNICIPAL LICENSING & STANDARDS	5466-5	2020-02-24	2020-02-25	ART FRAME N COPY CO.	197.75	CAD	197.75	CAD	2791	2791	MS1000	OFF. OF THE EXECUTIVE DIRECTOR	5946	Camera and Photographic Supply Stores	CERTIFICATE OF RECOGNITION
