Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre /  WBS Element / Order No.	Cost Centre /  WBS Element / Order No. Decription	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3624-1	2015-08-07	2015-08-10	ROB'S NO FRILLS STORE	27.27	CAD	27.27	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"COOKING SUPPLIES-STRAWBERRIES,BANANAS,BLUEBERRIES"	
"PARKS, FORESTRY & RECREATION"	3624-2	2015-08-07	2015-08-10	METRO #808	90.31	CAD	90.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"PIZZA PARTY-HOT DOUBLE PIZZAS, MILK, CONE"	
"PARKS, FORESTRY & RECREATION"	3624-3	2015-08-08	2015-08-10	YOUR DOLLAR STORE WITH	54.24	CAD	54.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	"CAMP SUPPLIES- LYSOL WIPES, PRIZES FOR CAMP LUAL"	
"PARKS, FORESTRY & RECREATION"	3627-1	2015-08-11	2015-08-12	NOFRILLS DICKIES 752	25.98	CAD	25.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"COOKING SUPPLIES- PUDDING, FLOUR, BABY OIL"	
"PARKS, FORESTRY & RECREATION"	3628-2	2015-08-11	2015-08-13	YOUR DOLLAR STORE WITH	33.90	CAD	33.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	"PRIZES AND GENERAL SUPPLIES- STATIONERY, PARTY SUP"	
"PARKS, FORESTRY & RECREATION"	3631-1	2015-08-14	2015-08-17	ROB'S NO FRILLS STORE	57.23	CAD	57.23	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"FOOD FOR LAUA EVENT-KETCHUP,MILK,CHIPS,HOTDOG BUNS"	
"PARKS, FORESTRY & RECREATION"	3632-2	2015-08-17	2015-08-18	DOLLAR TREE #40209	57.91	CAD	57.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5331	Variety Stores	"COSTUMES FOR AREA DAY-PAINTS,RIBBONS,POMPOMS"	
"PARKS, FORESTRY & RECREATION"	3632-3	2015-08-17	2015-08-18	SOUVENIR PLUS	22.60	CAD	22.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5691	Men's and Women's Clothing Stores	CIT T-SHIRTS	
"PARKS, FORESTRY & RECREATION"	3634-1	2015-08-17	2015-08-19	YOUR DOLLAR STORE WITH	50.29	CAD	50.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	SQUAD PRIZES AND LOLLIPOPS FOR END OF WEEK CAMP	
"PARKS, FORESTRY & RECREATION"	3634-2	2015-08-18	2015-08-19	PARTY CITY #2027	297.48	CAD	297.48	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5947	"Card, Gift, Novelty, and Souvenir Shops"	"PRIZES FOR AREA DAY-JUMP ROPES,SKATEBOARDS,BALLS"	
"PARKS, FORESTRY & RECREATION"	3635-1	2015-08-18	2015-08-20	WAL-MART #3159	22.33	CAD	22.33	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	2 AUTOMATIC AIR FRESHENERS	
"PARKS, FORESTRY & RECREATION"	3639-2	2015-08-21	2015-08-24	METRO #808	200.69	CAD	200.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"PIZZA PARTY-HOT DOUBLE PIZZAS X6,JUICE,CHIPS"	
"PARKS, FORESTRY & RECREATION"	3648-2	2015-08-28	2015-08-31	FAMOUS PLAYER 7404QPS	15.00	CAD	15.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	7832	Motion Picture Theaters	POPCORN FOR 3 PARTICIPANTS-MOVIE DAY	
"PARKS, FORESTRY & RECREATION"	3648-3	2015-08-28	2015-08-31	FAMOUS PLAYER 7404QPS	555.25	CAD	555.25	CAD	4118	TICKETS AND ADMISSION FEES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	7832	Motion Picture Theaters	MOVIE TICKETS AND POPCORN FOR CAMP	
					"1,658.25"	CAD	"1,658.25"	CAD								
"PARKS, FORESTRY & RECREATION"	3624-4	2015-08-06	2015-08-10	GATEWAY GRAPHICS   RUB	203.41	CAD	203.41	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	INFORMATIONAL SIGNAGE	
"PARKS, FORESTRY & RECREATION"	3632-4	2015-08-13	2015-08-18	ADVENTUREMANIA INFLATA	158.20	CAD	158.20	CAD	4590	RENTAL - OTHER	P13335	WARDEN CC - PRGM SUPPORT	7299	Other Services (Not Elsewhere Classified	INFLATABLE BOUNCY CASTLE	
					361.61	CAD	361.61	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3618-2	2015-08-05	2015-08-06	BMV BOOK STORE	8.39	CAD	8.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5942	Book Stores	BOOK ON HISTORY OF HALLMARK CARDS	
ECONOMIC DEVELOPMENT & CULTURE	3621-3	2015-08-06	2015-08-07	ROB'S NO FRILLS STORE	7.08	CAD	7.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	SALT	
ECONOMIC DEVELOPMENT & CULTURE	3626-1	2015-08-09	2015-08-11	CDN TIRE STORE #00600	47.45	CAD	47.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5200	Home Supply Warehouse	FIVE GALLON THERMOS	
ECONOMIC DEVELOPMENT & CULTURE	3629-1	2015-08-12	2015-08-14	THE PRINTING HOUSE #76	14.63	CAD	14.63	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	2741	Miscellaneous Publishing and Printing	LABELS	
ECONOMIC DEVELOPMENT & CULTURE	3634-3	2015-08-18	2015-08-19	ROB'S NO FRILLS STORE	19.48	CAD	19.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"SUGAR, CLUB SODA, CHOCOLATE, GINGER, GRAHAM,ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3637-1	2015-08-20	2015-08-21	ROB'S NO FRILLS STORE	4.80	CAD	4.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	LEMONS	
ECONOMIC DEVELOPMENT & CULTURE	3637-2	2015-08-20	2015-08-21	SOBEYS 718        QPS	6.77	CAD	6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	LAUNDRY DETERGENT	
ECONOMIC DEVELOPMENT & CULTURE	3648-4	2015-08-29	2015-08-31	PHARMA PLUS DRUGMARTS	1.56	CAD	1.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5912	"Drug Stores, Pharmacies"	BEACH BALLS	
					110.16	CAD	110.16	CAD								
PUBLIC HEALTH	3611-2	2015-07-31	2015-08-03	FACEBK *SQGDJ8AJM2	806.32	CAD	806.32	CAD	4414	ADVERTISING & PROMOTION	PH3521	HL - SEXUAL HEALTH PROMOTION	7311	Advertising Services	FACEBOOK ADS	
					806.32	CAD	806.32	CAD								
"PARKS, FORESTRY & RECREATION"	3618-3	2015-08-05	2015-08-06	TORONTO ZOOADMISSIONS	879.00	CAD	879.00	CAD	4118	TICKETS AND ADMISSION FEES	P06753	MAIN SQ CC-PRGM SUPPORT	7996	"Amusement Parks, Carnivals, Circuses, Fo"	"STAN WADLOW,SELWYN AND GEORGE WEBSTER CAMP"	
"PARKS, FORESTRY & RECREATION"	3627-2	2015-08-11	2015-08-12	ACT*VARIETY VILLAGE	150.00	CAD	150.00	CAD	4118	TICKETS AND ADMISSION FEES	P06753	MAIN SQ CC-PRGM SUPPORT	7399	Business Services - Not Elsewhere Classi	SECORD YOUTH CAMP ADMISSION TICKETS	
"PARKS, FORESTRY & RECREATION"	3635-2	2015-08-19	2015-08-20	THE ROYAL ONTARIO MUSE	256.00	CAD	256.00	CAD	4118	TICKETS AND ADMISSION FEES	P06753	MAIN SQ CC-PRGM SUPPORT	7991	Tourist Attractions and Exhibits	SECORD YOUTH CAMP ADMISSION TICKETS	
"PARKS, FORESTRY & RECREATION"	3642-1	2015-08-25	2015-08-26	ONTARIO SCIENCE CENTRE	84.00	CAD	84.00	CAD	4118	TICKETS AND ADMISSION FEES	P06753	MAIN SQ CC-PRGM SUPPORT	7991	Tourist Attractions and Exhibits	SECORD YOUTH CAMP ADMISSION TICKETS	
					"1,369.00"	CAD	"1,369.00"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3611-3	2015-07-31	2015-08-03	METRO #720	107.51	CAD	107.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"NAPKINS, PLATES, PLASTIC GLASSES, CURRANTS, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3616-2	2015-08-03	2015-08-05	METRO #37	9.03	CAD	9.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	COFFEE CREAM	
ECONOMIC DEVELOPMENT & CULTURE	3626-2	2015-08-10	2015-08-11	FRESHCO #9781	30.33	CAD	30.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"SAGE, CELERY SALT, PORK CHOPS, DISH SOAP, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3628-3	2015-08-12	2015-08-13	LOBLAWS 4.2	17.88	CAD	17.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BAKERS CHOCOLATE, SWEET POTATOES, CHEESE"	
ECONOMIC DEVELOPMENT & CULTURE	3631-2	2015-08-14	2015-08-17	METRO #720	36.21	CAD	36.21	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"VEGETABLE BROTH, RICE, FLOUR, CURRANTS, CARROTS"	
ECONOMIC DEVELOPMENT & CULTURE	3631-3	2015-08-14	2015-08-17	KITCHEN STUFF PLUS #12	138.74	CAD	138.74	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	"BAKING PANS, SCISSORS, KITCHEN SCALE"	
ECONOMIC DEVELOPMENT & CULTURE	3632-5	2015-08-17	2015-08-18	METRO #720	48.30	CAD	48.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"COCONUT PASTE, SWEET POTATOES, WALNUTS, CHEESE"	
					388.00	CAD	388.00	CAD								
"PARKS, FORESTRY & RECREATION"	3635-3	2015-08-18	2015-08-20	WAL-MART # 3031	66.33	CAD	66.33	CAD	2570	JANITORIAL SUPPLIES	P07745	OLYMPIUM-PRGM SUPPORT	5310	Discount Stores	CLEANING SUPPLIES	
					66.33	CAD	66.33	CAD								
TRANSPORTATION SERVICES 	3637-3	2015-08-20	2015-08-21	PAYPAL *TWEETYMAIL	6.76	CAD	6.76	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3637-4	2015-08-20	2015-08-21	PAYPAL *TWEETYMAIL	6.76	CAD	6.76	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3637-5	2015-08-20	2015-08-21	PAYPAL *TWEETYMAIL	6.76	CAD	6.76	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3637-6	2015-08-20	2015-08-21	PAYPAL *TWEETYMAIL	6.76	CAD	6.76	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					27.04	CAD	27.04	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3624-5	2015-08-06	2015-08-10	PIZZAIOLO	71.69	CAD	71.69	CAD	4820	BUSINESS MEETING EXPENSES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5814	Quick Payment Service - Fast-Food Restau	FOOD FOR MEETING	
ECONOMIC DEVELOPMENT & CULTURE	3635-4	2015-08-20	2015-08-20	AMAZON.CA	27.40	CAD	27.40	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	4816	Computer Network/Information Services	FELT PADS FOR GENIE LIFT	
ECONOMIC DEVELOPMENT & CULTURE	3637-7	2015-08-20	2015-08-21	AMAZON.CA	26.31	CAD	26.31	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	4816	Computer Network/Information Services	VELCRO THIN TIES	
ECONOMIC DEVELOPMENT & CULTURE	3637-8	2015-08-20	2015-08-21	HARVEY S PAINT	88.12	CAD	88.12	CAD	2715	PAINT SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5251	Hardware Stores	PAINT	
ECONOMIC DEVELOPMENT & CULTURE	3644-1	2015-08-26	2015-08-27	PAUL WOLF ELECTRIC   L	278.45	CAD	278.45	CAD	2575	ELECTRICAL SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5065	Electrical Parts and Equipment	"NON-CONTRACT SPECIAL LIGHT BALLASTS, LIGHTS"	
ECONOMIC DEVELOPMENT & CULTURE	3644-2	2015-08-26	2015-08-27	LOWES #03096*	81.78	CAD	81.78	CAD	2575	ELECTRICAL SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5200	Home Supply Warehouse	**MORE**  ZC PET STAIN   ODOR REMOVER 946ML	
ECONOMIC DEVELOPMENT & CULTURE	3646-1	2015-08-27	2015-08-28	DRAPE MASTER	"1,671.27"	CAD	"1,671.27"	CAD	4471	CONTRACTED SERVICES - BLINDS & DRAPERIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	7216	Dry Cleaners	CLEANING AND FIRE RETARDANT OF THEATRE DRAPES	
					"2,245.02"	CAD	"2,245.02"	CAD								
TORONTO WATER	3616-3	2015-08-04	2015-08-05	MARSHALL ENVIRONMENTAL	242.12	CAD	180.00	USD	2792	"BANNERS, FLAGS & SIGNS"	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	7392	"Consulting, Management, and Public Relat"	POSTER	
TORONTO WATER	3621-4	2015-08-06	2015-08-07	TETRA TECH	631.48	CAD	470.20	USD	2792	"BANNERS, FLAGS & SIGNS"	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	7392	"Consulting, Management, and Public Relat"	charts	
					873.60	CAD	650.20	USD								
ECONOMIC DEVELOPMENT & CULTURE	3621-5	2015-08-05	2015-08-07	GOODHEALTH   SAFETY	275.70	CAD	275.70	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5085	Industrial Supplies Not Elsewhere Classi	STODDARD SOLVENT	
ECONOMIC DEVELOPMENT & CULTURE	3621-6	2015-08-05	2015-08-07	GOODHEALTH   SAFETY	286.91	CAD	286.91	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5085	Industrial Supplies Not Elsewhere Classi	STODDARD SOLVENT	
ECONOMIC DEVELOPMENT & CULTURE	3621-7	2015-08-05	2015-08-07	GOODHEALTH   SAFETY	-275.70	CAD	-275.70	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5085	Industrial Supplies Not Elsewhere Classi	CREDIT FOR STODDARD SOLVENT	
ECONOMIC DEVELOPMENT & CULTURE	3627-3	2015-08-11	2015-08-12	LEE VALLEY - DOWNTOWN	26.56	CAD	26.56	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5072	Hardware Equipment and Supplies	BOSHIELD T-9 LUBRICANT	
ECONOMIC DEVELOPMENT & CULTURE	3641-1	2015-08-21	2015-08-25	CDN TIRE STORE #00150	53.52	CAD	53.52	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	BATTERIES	
ECONOMIC DEVELOPMENT & CULTURE	3641-2	2015-08-24	2015-08-25	LEE VALLEY - DOWNTOWN	106.90	CAD	106.90	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5072	Hardware Equipment and Supplies	"DRILLBIT, DOWEL, SCREWDRIVERS"	
ECONOMIC DEVELOPMENT & CULTURE	3648-5	2015-08-28	2015-08-31	DESERRES	23.02	CAD	23.02	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5970	"Artist Supply Stores, Craft Shops"	ACRYLIC PANTS	
ECONOMIC DEVELOPMENT & CULTURE	3648-6	2015-08-28	2015-08-31	THE HOME DEPOT #7001	59.42	CAD	59.42	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	**MORE**  FELT PADS	
					556.33	CAD	556.33	CAD								
LONG TERM CARE HOMES & SERVICES	3626-3	2015-08-10	2015-08-11	DOMINION REGALIA LTD	124.30	CAD	124.30	CAD	4414	ADVERTISING & PROMOTION	D3K011	LAKESHORE LODGE-PA-OA	7333	"Commercial Art, Graphics, Photography"	BANNER FOR PRIDE DAY	
LONG TERM CARE HOMES & SERVICES	3628-4	2015-08-11	2015-08-13	AMAZING PARTY   COSTUM	185.79	CAD	185.79	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5947	"Card, Gift, Novelty, and Souvenir Shops"	DECORATION FOR 25TH ANNIVERSARY	
					310.09	CAD	310.09	CAD								
"PARKS, FORESTRY & RECREATION"	3616-4	2015-08-04	2015-08-05	BELL TV	74.35	CAD	74.35	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	SATTELITE SERVICE	
"PARKS, FORESTRY & RECREATION"	3618-4	2015-08-05	2015-08-06	COSTCO WHOLESALE W545	153.44	CAD	153.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07689	HERON PARK-PRGM SUPPORT	5300	Wholesale Clubs	SUPPLIES FOR KABOOM BUILD - BEVERAGES	
"PARKS, FORESTRY & RECREATION"	3621-8	2015-08-06	2015-08-07	SUBWAY  10001	175.15	CAD	175.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07689	HERON PARK-PRGM SUPPORT	5814	Quick Payment Service - Fast-Food Restau	SUPPLIES FOR KABOOM VOLUNTEER LUNCH DAY 1	
"PARKS, FORESTRY & RECREATION"	3624-6	2015-08-08	2015-08-10	M M MEAT SHOPS #041	200.00	CAD	200.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07689	HERON PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR KABOOM VOLUNTEER LUNCH DAY 3	
"PARKS, FORESTRY & RECREATION"	3634-4	2015-08-18	2015-08-19	NATIONAL SPORTS #24	158.18	CAD	158.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	5655	"Sports Apparel, Riding Apparel Stores"	HELMETS FOR RINK ATTENDANT STAFF	
					761.12	CAD	761.12	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3641-3	2015-08-24	2015-08-25	EXPOGRAPHIQ	101.70	CAD	101.70	CAD	4085	PROF & TECH-MGMT	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	2741	Miscellaneous Publishing and Printing	COPY GRAPHIC FILES	
					101.70	CAD	101.70	CAD								
"PARKS, FORESTRY & RECREATION"	3618-5	2015-08-05	2015-08-06	J  J CRAFTS	399.79	CAD	399.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04600	GOULDING CC-SPORTS CAMPS	5970	"Artist Supply Stores, Craft Shops"	"CRAFTS FOR SUMMER CAMP-GLUE,SCISSORS,GLOSS PODGE"	
"PARKS, FORESTRY & RECREATION"	3621-9	2015-08-05	2015-08-07	SHOPPERSDRUGMART1338	9.03	CAD	9.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04600	GOULDING CC-SPORTS CAMPS	5912	"Drug Stores, Pharmacies"	GROCERY - FLOUR	
"PARKS, FORESTRY & RECREATION"	3624-7	2015-08-06	2015-08-10	CDN TIRE STORE #00126	330.39	CAD	330.39	CAD	3050	M & E - KITCHEN	P04600	GOULDING CC-SPORTS CAMPS	5200	Home Supply Warehouse	"FRIDGE, ICE CIBE TRAYS, GRASS SEED"	
"PARKS, FORESTRY & RECREATION"	3624-8	2015-08-06	2015-08-10	WAL-MART ECOMM #8514	338.97	CAD	338.97	CAD	3050	M & E - KITCHEN	P04600	GOULDING CC-SPORTS CAMPS	5310	Discount Stores	FREEZER AND ICE PACKS	
"PARKS, FORESTRY & RECREATION"	3628-5	2015-08-11	2015-08-13	WAL-MART #5831	11.30	CAD	11.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04600	GOULDING CC-SPORTS CAMPS	5411	"Grocery Stores, Supermarkets"	AUX CABLE	
"PARKS, FORESTRY & RECREATION"	3628-6	2015-08-12	2015-08-13	J  J CRAFTS	44.04	CAD	44.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04600	GOULDING CC-SPORTS CAMPS	5970	"Artist Supply Stores, Craft Shops"	CRAFTS SUPPLIES FOR SUMMER CAMP	
