Division	Batch-Transaction ID	Transaction Date	Card Posting Date	Merchant Name	Transaction Amount	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type (MCC)	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5032-37	2018-07-17	2018-07-17	WATER AND ICE NORTH AM	914.68	CAD	914.68	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5034-104	2018-07-19	2018-07-19	WATER AND ICE NORTH AM	792.58	CAD	792.58	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
					"2,938.74"	CAD	"2,938.74"	CAD							
"PARKS, FORESTRY & RECREATION"	5025-25	2018-07-08	2018-07-08	MICHAELS #3983	119.87	CAD	119.87	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12838	RS- WELLES-COMM CTRE-PROGRAM SUPPORT	5945	"Game, Toy, and Hobby Shops"	WELLESLEY CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION"	5025-26	2018-07-06	2018-07-06	WAL-MART # 1151	204.78	CAD	204.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5310	Discount Stores	"FREEZIES, ICE TEA"
"PARKS, FORESTRY & RECREATION"	5027-49	2018-07-10	2018-07-10	DOLLARAMA # 874	59.04	CAD	59.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12838	RS- WELLES-COMM CTRE-PROGRAM SUPPORT	5310	Discount Stores	"SPRING BULBS, ICE CUBE TRAYS"
"PARKS, FORESTRY & RECREATION"	5027-50	2018-07-10	2018-07-10	SHERBOURNE FRESHCO 968	19.89	CAD	19.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"FLOUR, SALT, VINEGAR, BAKING SODA"
"PARKS, FORESTRY & RECREATION"	5028-51	2018-07-11	2018-07-11	SHOPPER S DRUG MART #1	18.98	CAD	18.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12838	RS- WELLES-COMM CTRE-PROGRAM SUPPORT	5912	"Drug Stores, Pharmacies"	"DISH SOAP, DISH CLOTH"
"PARKS, FORESTRY & RECREATION"	5029-103	2018-07-12	2018-07-12	FRESHCO #9686	163.41	CAD	163.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04894	REGENT PARK-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"MOZZ CHEESE, CHIPS, POPCORN, ENG MUFFINS"
"PARKS, FORESTRY & RECREATION"	5031-30	2018-07-16	2018-07-16	SHOPPER S DRUG MART #1	23.72	CAD	23.72	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P04894	REGENT PARK-SUMMER CAMPS	5912	"Drug Stores, Pharmacies"	EAR PLUGS
"PARKS, FORESTRY & RECREATION"	5036-38	2018-07-23	2018-07-23	DOLLARAMA # 874	55.48	CAD	55.48	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10452	REGENT PARK-PRGM SUPPORT	5310	Discount Stores	"CANVAS BOARDS, TABLE COVERS, FOIL"
"PARKS, FORESTRY & RECREATION"	5036-39	2018-07-23	2018-07-23	FRESHCO #9686	177.32	CAD	177.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04894	REGENT PARK-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"COOKIES, CHIP, POPCORN, FROSTING"
"PARKS, FORESTRY & RECREATION"	5037-50	2018-07-24	2018-07-24	DOLLARAMA # 874	14.18	CAD	14.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12838	RS- WELLES-COMM CTRE-PROGRAM SUPPORT	5310	Discount Stores	MASKING TAPES
"PARKS, FORESTRY & RECREATION"	5038-60	2018-07-25	2018-07-25	FRESHCO #9686	11.29	CAD	11.29	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION"	5039-105	2018-07-27	2018-07-27	COSTCO WHOLESALE W547	422.67	CAD	422.67	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12838	RS- WELLES-COMM CTRE-PROGRAM SUPPORT	5300	Wholesale Clubs	"PORTABLE BBQ, PROPANE"
"PARKS, FORESTRY & RECREATION"	5039-106	2018-07-27	2018-07-27	COSTCO WHOLESALE W535	88.07	CAD	88.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5300	Wholesale Clubs	FREEZIES
"PARKS, FORESTRY & RECREATION"	5039-107	2018-07-27	2018-07-27	COSTCO WHOLESALE W535	318.91	CAD	318.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10452	REGENT PARK-PRGM SUPPORT	5300	Wholesale Clubs	"CROISSANTS, LEMONADES, CRACKERS, JUICE"
"PARKS, FORESTRY & RECREATION"	5039-108	2018-07-27	2018-07-27	MICHAELS #3983	28.25	CAD	28.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10452	REGENT PARK-PRGM SUPPORT	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	5039-109	2018-07-27	2018-07-27	FOOD BASICS #875	83.97	CAD	83.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10452	REGENT PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"FRUITS, CAKE MIX"
"PARKS, FORESTRY & RECREATION"	5039-110	2018-07-26	2018-07-26	DOLLARAMA # 874	85.77	CAD	85.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10452	REGENT PARK-PRGM SUPPORT	5310	Discount Stores	"TABLE CLOTHS, SPONGES, DISH SOAP, ROAST PANS"
"PARKS, FORESTRY & RECREATION"	5040-27	2018-07-27	2018-07-27	ABSOLUTE DOLLAR	18.08	CAD	18.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10452	REGENT PARK-PRGM SUPPORT	5310	Discount Stores	BALLOONS
"PARKS, FORESTRY & RECREATION"	5040-28	2018-07-27	2018-07-27	WALMART #1150	39.52	CAD	39.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10452	REGENT PARK-PRGM SUPPORT	5310	Discount Stores	HELIUM TANK
					"1,953.20"	CAD	"1,953.20"	CAD							
SOLID WASTE MANAGEMENT	5034-105	2018-07-20	2018-07-20	THE COMPOSTING COUNCIL	678.35	CAD	678.35	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	8699	"Organizations, Membership - Not Elsewher"	COMPOST COUNCIL CONFERENCE
					678.35	CAD	678.35	CAD							
"PARKS, FORESTRY & RECREATION"	5020-37	2018-06-29	2018-07-02	WAL-MART # 3111	15.76	CAD	15.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12520	RE-SP-CANADA DAY-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS FOR CANADA DAY PARADE
"PARKS, FORESTRY & RECREATION"	5021-23	2018-07-01	2018-07-03	WAL-MART #3635	49.39	CAD	49.39	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12520	RE-SP-CANADA DAY-E CENTRAL	5310	Discount Stores	FOOD ITEMS/SUPPLIES FOR SCARBOROUGH CANADA DAY PARADE
					65.15	CAD	65.15	CAD							
"PARKS, FORESTRY & RECREATION"	5021-24	2018-07-03	2018-07-03	THE SECOND CITY	250.00	CAD	250.00	CAD	4118	TICKETS AND ADMISSION FEES	P06748	FAIRMOUNT PARK CC-PRGM SUPPORT	5734	Computer Software Stores	CAMP TRIP ADMISSION
"PARKS, FORESTRY & RECREATION"	5021-25	2018-07-03	2018-07-03	THE SECOND CITY	450.00	CAD	450.00	CAD	4118	TICKETS AND ADMISSION FEES	P06748	FAIRMOUNT PARK CC-PRGM SUPPORT	5734	Computer Software Stores	CAMP TRIP ADMISSION
"PARKS, FORESTRY & RECREATION"	5023-51	2018-07-04	2018-07-04	THE ROYAL ONTARIO MUSE	120.00	CAD	120.00	CAD	4118	TICKETS AND ADMISSION FEES	P06748	FAIRMOUNT PARK CC-PRGM SUPPORT	7991	Tourist Attractions and Exhibits	CAMP TRIP ADMISSION
"PARKS, FORESTRY & RECREATION"	5024-115	2018-07-04	2018-07-05	CITY TOR. FERRY DOCKS-	89.65	CAD	89.65	CAD	4118	TICKETS AND ADMISSION FEES	P06748	FAIRMOUNT PARK CC-PRGM SUPPORT	9399	Government Services - Not Elsewhere Clas	CAMP TRIP ADMISISSION FEES
"PARKS, FORESTRY & RECREATION"	5024-116	2018-07-05	2018-07-05	THE ROYAL ONTARIO MUSE	304.00	CAD	304.00	CAD	4118	TICKETS AND ADMISSION FEES	P06748	FAIRMOUNT PARK CC-PRGM SUPPORT	7991	Tourist Attractions and Exhibits	ADMISSION FEES
					"1,213.65"	CAD	"1,213.65"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5020-53	2018-06-29	2018-07-02	UPAKNEE EMAIL	271.20	CAD	271.20	CAD	4995	OTHER EXPENSES	ED0150	PS MKG EDC MKTG TACTICS	7392	"Consulting, Management, and Public Relat"	NEWSLETTER DISTRIBUTION
ECONOMIC DEVELOPMENT & CULTURE	5020-54	2018-06-30	2018-07-02	TWITTER ONLINE ADS	263.80	CAD	263.80	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	INDIGENOUS ARTS FESTIVAL ADVERTISING
ECONOMIC DEVELOPMENT & CULTURE	5024-155	2018-07-05	2018-07-05	TWITTER ONLINE ADS	8.50	CAD	8.50	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ADVERTISING - BIKE CITY
ECONOMIC DEVELOPMENT & CULTURE	5028-79	2018-07-11	2018-07-11	TWITTER ONLINE ADS	51.00	CAD	51.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ADVERTISING - BIKE CITY
ECONOMIC DEVELOPMENT & CULTURE	5030-49	2018-07-14	2018-07-14	TWITTER ONLINE ADS	5.00	CAD	5.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ADVERTISING - OUTLANDER MEETS MACKENZIE
ECONOMIC DEVELOPMENT & CULTURE	5033-77	2018-07-18	2018-07-18	TWITTER ONLINE ADS	51.00	CAD	51.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ADVERTISING - BIKE CITY
ECONOMIC DEVELOPMENT & CULTURE	5033-78	2018-07-18	2018-07-18	HOO*HOOTSUITE INC	15.34	CAD	11.29	USD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA ANALYTICS
ECONOMIC DEVELOPMENT & CULTURE	5034-141	2018-07-20	2018-07-20	TWITTER ONLINE ADS	31.59	CAD	31.59	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ADVERTISING - OUTLANDER MEETS MACKENZIE
ECONOMIC DEVELOPMENT & CULTURE	5036-59	2018-07-23	2018-07-23	PAYPAL *ABALEADESIG	"1,819.30"	CAD	"1,819.30"	CAD	4085	PROF & TECH-MGMT	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7333	"Commercial Art, Graphics, Photography"	BIKE CITY DESIGN CONCEPTS
ECONOMIC DEVELOPMENT & CULTURE	5037-70	2018-07-24	2018-07-24	TWITTER ONLINE ADS	53.69	CAD	53.69	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ADVERTISING - BIKE CITY
ECONOMIC DEVELOPMENT & CULTURE	5038-88	2018-07-25	2018-07-25	PARKING AUTHORITYOFTOR	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0152	PS MKG EDC MKTG ADMIN	9399	Government Services - Not Elsewhere Clas	PARKING - CITY HALL TO DESIGN HOBSON MEETING
ECONOMIC DEVELOPMENT & CULTURE	5038-89	2018-07-25	2018-07-25	PARKING AUTHORITYOFTOR	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0152	PS MKG EDC MKTG ADMIN	9399	Government Services - Not Elsewhere Clas	PARKING - DESIGN HOBSON TO CITY HALL MEETING
ECONOMIC DEVELOPMENT & CULTURE	5039-148	2018-07-27	2018-07-27	TWITTER ONLINE ADS	35.00	CAD	35.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ADVERTISING - OUTLANDER MEETS MACKENZIE
ECONOMIC DEVELOPMENT & CULTURE	5041-45	2018-07-30	2018-07-30	TWITTER ONLINE ADS	51.00	CAD	51.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ADVERTISING - BIKE CITY
ECONOMIC DEVELOPMENT & CULTURE	5041-46	2018-07-29	2018-07-30	UPAKNEE EMAIL	271.20	CAD	271.20	CAD	4414	ADVERTISING & PROMOTION	ED0150	PS MKG EDC MKTG TACTICS	7392	"Consulting, Management, and Public Relat"	EMAIL DISTRIBUTION ADVERTISING
					"2,962.62"	CAD	"2,947.28"	CAD							
							11.29	USD							
"PARKS, FORESTRY & RECREATION"	5023-72	2018-07-04	2018-07-04	CRAVINS CARIBBEAN GRIL	194.93	CAD	194.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12901	YOUTH LOUNGE- CW	5812	"Eating Places, Restaurants"	"YOUTH INITIATIVE PROGRAM -  JERK CHICKEN, RICE, SALAD"
"PARKS, FORESTRY & RECREATION"	5029-143	2018-07-12	2018-07-12	ALLCARGOS	60.74	CAD	60.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	7394	"Equipment Rental and Leasing Services, F"	PODIUM RENTAL
"PARKS, FORESTRY & RECREATION"	5029-144	2018-07-13	2018-07-13	ALLCARGOS	182.21	CAD	182.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	7394	"Equipment Rental and Leasing Services, F"	PODIUM RENTAL
"PARKS, FORESTRY & RECREATION"	5032-53	2018-07-17	2018-07-17	REAL CANADIAN WHOLESAL	143.08	CAD	143.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12901	YOUTH LOUNGE- CW	5411	"Grocery Stores, Supermarkets"	FOOD
"PARKS, FORESTRY & RECREATION"	5032-54	2018-07-17	2018-07-17	PARTY CITY #2001	169.73	CAD	169.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5947	"Card, Gift, Novelty, and Souvenir Shops"	"BALLONS, TABLE CLOTH"
"PARKS, FORESTRY & RECREATION"	5033-79	2018-07-18	2018-07-18	PARTY CITY #2001	12.97	CAD	12.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5947	"Card, Gift, Novelty, and Souvenir Shops"	PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	5033-80	2018-07-18	2018-07-18	COSTCO WHOLESALE W537	242.22	CAD	242.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12901	YOUTH LOUNGE- CW	5300	Wholesale Clubs	FOOD
"PARKS, FORESTRY & RECREATION"	5033-81	2018-07-18	2018-07-18	DOLLARAMA #1165	13.00	CAD	13.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5310	Discount Stores	PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	5034-142	2018-07-18	2018-07-19	PAYPAL *OISHIIISWEE	112.50	CAD	112.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12901	YOUTH LOUNGE- CW	8999	Professional Services - Not Elsewhere Cl	PASTRIES
					"1,131.38"	CAD	"1,131.38"	CAD							
FLEET SERVICES	5031-42	2018-07-17	2018-07-17	EQUIPMENT TRAINING RES	"5,892.34"	CAD	"4,367.77"	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	FL4001	FLEET SAFETY & TRAINING	5192	"Books, Periodicals, and Newspapers"	7-BOOKS FOR LOADER TRAINING
FLEET SERVICES	5039-149	2018-07-27	2018-07-27	SOI*SBS ROCHESTER HILL	"3,217.34"	CAD	"2,400.00"	USD	3420	COMPUTERS - SOFTWARE	FL4001	FLEET SAFETY & TRAINING	5013	Motor Vehicle Supplies and New Parts	7-SOFTWARE 1YR LICENSE
					"9,109.68"	CAD	"6,767.77"	USD							
"PARKS, FORESTRY & RECREATION"	5024-156	2018-07-06	2018-07-06	PAUL WOLF ELECTRIC & L	598.73	CAD	598.73	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	150 WATT LAMPS
"PARKS, FORESTRY & RECREATION"	5031-43	2018-07-16	2018-07-16	PAUL WOLF ELECTRIC & L	295.33	CAD	295.33	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	HEAT SHRINK-PVC COUPLINGS
"PARKS, FORESTRY & RECREATION"	5034-143	2018-07-19	2018-07-19	PAUL WOLF ELECTRIC & L	406.82	CAD	406.82	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	STRUT CLAMPS-NIPPLES-SCREWS
					"1,300.88"	CAD	"1,300.88"	CAD							
TORONTO WATER	5023-73	2018-07-04	2018-07-04	SHOPPERS DRUG MART #12	12.20	CAD	12.20	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	7399	Business Services - Not Elsewhere Classi	REGISTERED LETTER
TORONTO WATER	5033-82	2018-07-18	2018-07-18	TCD*THOMSONREUTERCARSW	173.76	CAD	173.76	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	7399	Business Services - Not Elsewhere Classi	ONTARIO OH&S ACT&REGS CONS 2018
TORONTO WATER	5033-83	2018-07-17	2018-07-18	CDN TIRE STORE #00654	30.36	CAD	30.36	CAD	3080	M & E - HAND TOOLS	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5200	Home Supply Warehouse	"TAPE MEASURE, SPONGES"
TORONTO WATER	5033-84	2018-07-17	2018-07-18	#540 MARK S	238.94	CAD	238.94	CAD	2670	UNIFORMS	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5651	Family Clothing Stores	UNIFORM PANTS
TORONTO WATER	5034-144	2018-07-19	2018-07-19	#540 MARK S	562.87	CAD	562.87	CAD	2670	UNIFORMS	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5651	Family Clothing Stores	UNIFORM JACKET AND T-SHIRTS
					"1,018.13"	CAD	"1,018.13"	CAD							
SOLID WASTE MANAGEMENT	5036-60	2018-07-23	2018-07-23	TECHNICAL STANDARDS AN	100.00	CAD	100.00	CAD	4830	PERMIT & LICENSE FEES	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	1799	"Contractors, Special Trade - Not Elsewhe"	IMT RECERTIFICATION
SOLID WASTE MANAGEMENT	5039-150	2018-07-25	2018-07-26	MISTER SAFETY SHOES IN	187.00	CAD	187.00	CAD	2660	FOOTWEAR	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5661	Shoe Stores	SAFETY BOOTS
SOLID WASTE MANAGEMENT	5039-151	2018-07-25	2018-07-26	MISTER SAFETY SHOES IN	187.00	CAD	187.00	CAD	2660	FOOTWEAR	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5661	Shoe Stores	SAFETY SHOES
SOLID WASTE MANAGEMENT	5042-63	2018-07-31	2018-07-31	GREENBANK IND INC	223.51	CAD	223.51	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	SW0856	VICTORIA PARK TS SITE MAINTENANCE	5251	Hardware Stores	REPAIR PUMP TRUCK
					697.51	CAD	697.51	CAD							
"PARKS, FORESTRY & RECREATION"	5031-44	2018-07-16	2018-07-16	LOWES #02633*	33.89	CAD	33.89	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	I/O 3800 SQ FT GEAR DRIVE STRGHT
"PARKS, FORESTRY & RECREATION"	5031-45	2018-07-16	2018-07-16	RONA # 55140	58.75	CAD	58.75	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00272	E-SOUTH2-TURF&HORT	5251	Hardware Stores	HOSE 100'
"PARKS, FORESTRY & RECREATION"	5031-46	2018-07-16	2018-07-16	RONA # 55140	-58.75	CAD	-58.75	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00272	E-SOUTH2-TURF&HORT	5251	Hardware Stores	HOSE 100'
"PARKS, FORESTRY & RECREATION"	5032-55	2018-07-16	2018-07-17	THE HOME DEPOT #7107	94.78	CAD	94.78	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	GEJAPTRAP
