Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5018-39	2018-06-27	2018-06-27	COSTCO BUSINESS CENTER	140.04	CAD	140.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5300	Wholesale Clubs	"SPRAY BOTTLES, BEVERAGE COOLERS"
"PARKS, FORESTRY & RECREATION"	5018-40	2018-06-27	2018-06-27	COSTCO BUSINESS CENTER	82.46	CAD	82.46	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5300	Wholesale Clubs	BEVERAGE COOLERS
"PARKS, FORESTRY & RECREATION"	5019-97	2018-06-28	2018-06-28	WAL-MART # 3111	119.98	CAD	119.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12520	RE-SP-CANADA DAY-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS FOR 2018 SCARBOROUGH CANADA DAY PARADE
"PARKS, FORESTRY & RECREATION"	5020-37	2018-06-29	2018-07-02	WAL-MART # 3111	15.76	CAD	15.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12520	RE-SP-CANADA DAY-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS FOR CANADA DAY PARADE
					"1,007.33"	CAD	"1,007.33"	CAD							
"PARKS, FORESTRY & RECREATION"	5001-27	2018-06-04	2018-06-04	LOBLAWS #1021	71.79	CAD	71.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CKNG SUPPLIES
"PARKS, FORESTRY & RECREATION"	5002-38	2018-06-05	2018-06-05	DOMINOS PIZZA #10374	40.89	CAD	40.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06748	FAIRMOUNT PARK CC-PRGM SUPPORT	5814	Quick Payment Service - Fast-Food Restau	PIZZA
"PARKS, FORESTRY & RECREATION"	5002-39	2018-06-05	2018-06-05	LOBLAWS #1021	32.70	CAD	32.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06748	FAIRMOUNT PARK CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"FREEZIES, ICE"
"PARKS, FORESTRY & RECREATION"	5006-25	2018-06-11	2018-06-11	LOBLAWS #1021	6.78	CAD	6.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06748	FAIRMOUNT PARK CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	TABLE SALT
					152.16	CAD	152.16	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5004-128	2018-06-08	2018-06-08	GAWCK	"1,440.12"	CAD	"1,440.12"	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7333	"Commercial Art, Graphics, Photography"	OUTDOOR SIGNAGE
ECONOMIC DEVELOPMENT & CULTURE	5005-34	2018-06-09	2018-06-09	TWITTER ONLINE ADS	41.00	CAD	41.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7311	Advertising Services	INDIGENOUS ARTS FESTIVAL ADVERTISIN
ECONOMIC DEVELOPMENT & CULTURE	5010-31	2018-06-16	2018-06-16	TWITTER ONLINE ADS	287.00	CAD	287.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7311	Advertising Services	INDIGENOUS ARTS FESTIVAL ADVERTISING
ECONOMIC DEVELOPMENT & CULTURE	5011-34	2018-06-18	2018-06-18	HOO*HOOTSUITE INC	15.31	CAD	11.29	USD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA
ECONOMIC DEVELOPMENT & CULTURE	5013-73	2018-06-20	2018-06-20	WWW.ISTOCK.COM	287.20	CAD	287.20	CAD	4082	PHOTO/VIDEO SERVICES	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7333	"Commercial Art, Graphics, Photography"	photos
ECONOMIC DEVELOPMENT & CULTURE	5013-74	2018-06-20	2018-06-20	HOO*HOOTSUITE INC	89.41	CAD	65.54	USD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA
ECONOMIC DEVELOPMENT & CULTURE	5013-75	2018-06-20	2018-06-20	INNOVATIVE RESPONSE MA	"2,522.75"	CAD	"2,522.75"	CAD	4995	OTHER EXPENSES	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	2741	Miscellaneous Publishing and Printing	MAGAZINE DISTRIBUTION
ECONOMIC DEVELOPMENT & CULTURE	5014-114	2018-06-22	2018-06-22	GAWCK	"2,559.86"	CAD	"2,559.86"	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7333	"Commercial Art, Graphics, Photography"	OUTDOOR SIGNAGE
ECONOMIC DEVELOPMENT & CULTURE	5014-115	2018-06-22	2018-06-22	GAWCK	992.19	CAD	992.19	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7333	"Commercial Art, Graphics, Photography"	OUTDOOR SIGNAGE
ECONOMIC DEVELOPMENT & CULTURE	5014-116	2018-06-22	2018-06-22	GAWCK	"2,239.87"	CAD	"2,239.87"	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7333	"Commercial Art, Graphics, Photography"	OUTDOOR SIGNAGE
ECONOMIC DEVELOPMENT & CULTURE	5014-117	2018-06-22	2018-06-22	GAWCK	221.62	CAD	221.62	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7333	"Commercial Art, Graphics, Photography"	OUTDOOR SIGNAGE
ECONOMIC DEVELOPMENT & CULTURE	5014-118	2018-06-22	2018-06-22	GAWCK	990.04	CAD	990.04	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7333	"Commercial Art, Graphics, Photography"	OUTDOOR SIGNAGE
ECONOMIC DEVELOPMENT & CULTURE	5015-37	2018-06-23	2018-06-23	TWITTER ONLINE ADS	287.00	CAD	287.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7311	Advertising Services	INDIGENOUS ARTS FESTIVAL ADVERTISIN
ECONOMIC DEVELOPMENT & CULTURE	5017-52	2018-06-26	2018-06-26	HOO*HOOTSUITE INC	-85.17	CAD	-65.54	USD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA - REFUND
ECONOMIC DEVELOPMENT & CULTURE	5020-53	2018-06-29	2018-07-02	UPAKNEE EMAIL	271.20	CAD	271.20	CAD	4995	OTHER EXPENSES	ED0150	EDC MARKETING TACTICS	7392	"Consulting, Management, and Public Relat"	NEWSLETTER DISTRIBUTION
ECONOMIC DEVELOPMENT & CULTURE	5020-54	2018-06-30	2018-07-02	TWITTER ONLINE ADS	263.80	CAD	263.80	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7311	Advertising Services	INDIGENOUS ARTS FESTIVAL ADVERTISIN
					"12,423.20"	CAD	"12,403.65"	CAD							
							11.29	USD							
"PARKS, FORESTRY & RECREATION"	5014-119	2018-06-21	2018-06-21	LOBLAWS #1010	124.70	CAD	124.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12901	TORONTO REHAB FITNESS PILOT PROJECT	5411	"Grocery Stores, Supermarkets"	"JUICE, CHCKEN, FRUIT PLATTER, SALAD"
					124.70	CAD	124.70	CAD							
FLEET SERVICES	5001-41	2018-06-04	2018-06-04	ONTARIO TRUCKING ASSOC	"1,383.12"	CAD	"1,383.12"	CAD	4760	MEMBERSHIP FEES	FL4001	FLEET SAFETY & TRAINING	8699	"Organizations, Membership - Not Elsewher"	ONTARIO TRUCKING ASSOCIATION
					"1,383.12"	CAD	"1,383.12"	CAD							
"PARKS, FORESTRY & RECREATION"	5004-129	2018-06-08	2018-06-08	PAUL WOLF ELECTRIC & L	329.49	CAD	329.49	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	TEW WIRE-175 WATT LAMPS
"PARKS, FORESTRY & RECREATION"	5011-35	2018-06-18	2018-06-18	PAUL WOLF ELECTRIC & L	129.86	CAD	129.86	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	"200 AMP FUSES, CAUTION TAPE"
"PARKS, FORESTRY & RECREATION"	5013-76	2018-06-20	2018-06-20	PAUL WOLF ELECTRIC & L	824.28	CAD	824.28	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	CH BREAKERS
					"1,283.63"	CAD	"1,283.63"	CAD							
TORONTO WATER	5009-113	2018-06-14	2018-06-14	SHOPPERS DRUG MART #12	11.30	CAD	11.30	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	7399	Business Services - Not Elsewhere Classi	REGISTERED LETTER
TORONTO WATER	5014-120	2018-06-21	2018-06-21	CDN TIRE STORE #00654	451.99	CAD	451.99	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	TW4036	WW TREATMT:ASHBRIDGES BAY TP-SOLIDS	5200	Home Supply Warehouse	PORTABLE AC UNIT
TORONTO WATER	5014-121	2018-06-22	2018-06-22	SHOPPERS DRUG MART #12	14.57	CAD	14.57	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	7399	Business Services - Not Elsewhere Classi	COURIER FOR DEFECTIVE PARTS
TORONTO WATER	5016-32	2018-06-22	2018-06-25	CDN TIRE STORE #00654	112.94	CAD	112.94	CAD	2710	GENERAL HARDWARE	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	5200	Home Supply Warehouse	TARPS
					590.80	CAD	590.80	CAD							
SOLID WASTE MANAGEMENT	5003-78	2018-06-06	2018-06-06	CLASSIC FIRE PROTECTIO	542.40	CAD	542.40	CAD	2590	EMERGENCY SERVICES SUPPLIES	SW0851	COMMISSIONERS TS SITE MAINTENANCE	8911	"Architectural, Engineering, and Surveyin"	FIRE EXTINGUISHER REFILLS
SOLID WASTE MANAGEMENT	5008-62	2018-06-13	2018-06-13	DARCO SALES AND SERVIC	"2,587.42"	CAD	"2,587.42"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	SW0860	BERMONDSEY YARD SITE MAINTENANCE	5046	Commercial Equipment Not Elsewhere Class	PARTS AND LABOUR FOR POWERWASH REPAIR
SOLID WASTE MANAGEMENT	5016-33	2018-06-25	2018-06-25	TECHNICAL STANDARDS AN	100.00	CAD	100.00	CAD	4830	PERMIT & LICENSE FEES	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	1799	"Contractors, Special Trade - Not Elsewhe"	FUELS SAFETY TECHNICIAN CERTIFICATE  278056
SOLID WASTE MANAGEMENT	5016-34	2018-06-25	2018-06-25	TECHNICAL STANDARDS AN	100.00	CAD	100.00	CAD	4830	PERMIT & LICENSE FEES	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	1799	"Contractors, Special Trade - Not Elsewhe"	FUELS SAFETY TECHNICIAN CERTIFICATE  268270
					"3,329.82"	CAD	"3,329.82"	CAD							
"PARKS, FORESTRY & RECREATION"	5003-79	2018-06-05	2018-06-06	THE HOME DEPOT #7107	28.23	CAD	28.23	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	MILSTRSCISS
"PARKS, FORESTRY & RECREATION"	5004-130	2018-06-07	2018-06-07	LOWES #02633*	84.73	CAD	84.73	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  KOBALT 14IN BOLT CUTTER
"PARKS, FORESTRY & RECREATION"	5004-131	2018-06-06	2018-06-07	THE HOME DEPOT #7107	22.58	CAD	22.58	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	PISTOL
"PARKS, FORESTRY & RECREATION"	5007-51	2018-06-12	2018-06-12	VANDERMEER NURSERY	45.19	CAD	45.19	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5193	"Florists Supplies, Nursery Stock, and Fl"	BANANA PLANT
"PARKS, FORESTRY & RECREATION"	5009-114	2018-06-14	2018-06-14	LOWES #03201*	49.71	CAD	49.71	CAD	2730	LOCKS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	ML KEY SAFE PUSH BUT (-291020)
"PARKS, FORESTRY & RECREATION"	5014-125	2018-06-21	2018-06-21	PRINCESS AUTO #36	18.28	CAD	18.28	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	LOCKING PINS
"PARKS, FORESTRY & RECREATION"	5016-35	2018-06-26	2018-06-26	ULINE	981.97	CAD	981.97	CAD	3025	M & E - JANITORIAL	P00272	E-SOUTH2-TURF&HORT	5964	Direct Marketing - Catalog Merchants	**MORE**  DELUXE SDS COMPLIANCE CENTER
"PARKS, FORESTRY & RECREATION"	5018-61	2018-06-27	2018-06-27	LOWES #03201*	54.18	CAD	54.18	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	GARDEN HELPER PLUS KNEEPAD
"PARKS, FORESTRY & RECREATION"	5019-130	2018-06-27	2018-06-28	THE HOME DEPOT #7107	101.53	CAD	101.53	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	PROMIX BX3.8
					"1,386.40"	CAD	"1,386.40"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4998-119	2018-06-01	2018-06-01	PICKLE BARREL CATERING	266.62	CAD	266.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5811	Caterers	"SANDWICHES, VEGGIE"
ECONOMIC DEVELOPMENT & CULTURE	5001-42	2018-06-04	2018-06-04	A AND H PRINTING INC	73.45	CAD	73.45	CAD	4414	ADVERTISING & PROMOTION	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	2741	Miscellaneous Publishing and Printing	POSTCARDS
ECONOMIC DEVELOPMENT & CULTURE	5002-60	2018-06-05	2018-06-05	COSTCO WHOLESALE W159	196.50	CAD	196.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5300	Wholesale Clubs	"FREEZIES, CHIPS"
ECONOMIC DEVELOPMENT & CULTURE	5004-132	2018-06-07	2018-06-07	METRO CRESTING COMPANY	433.50	CAD	433.50	CAD	2670	UNIFORMS	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	2741	Miscellaneous Publishing and Printing	T-SHIRTS (DEPOSIT)
ECONOMIC DEVELOPMENT & CULTURE	5006-43	2018-06-12	2018-06-12	ULINE	328.72	CAD	328.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5964	Direct Marketing - Catalog Merchants	24X24  GRAY WORK PLATFORM
ECONOMIC DEVELOPMENT & CULTURE	5008-63	2018-06-13	2018-06-13	MICHAELS #3982	18.06	CAD	18.06	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5945	"Game, Toy, and Hobby Shops"	MATS
ECONOMIC DEVELOPMENT & CULTURE	5009-115	2018-06-14	2018-06-14	A AND H PRINTING INC	55.37	CAD	55.37	CAD	4414	ADVERTISING & PROMOTION	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	2741	Miscellaneous Publishing and Printing	POSTERS
ECONOMIC DEVELOPMENT & CULTURE	5009-116	2018-06-15	2018-06-15	A AND H PRINTING INC	55.37	CAD	55.37	CAD	4414	ADVERTISING & PROMOTION	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	2741	Miscellaneous Publishing and Printing	PSTERS
ECONOMIC DEVELOPMENT & CULTURE	5009-117	2018-06-13	2018-06-14	WAL-MART # 1152	22.27	CAD	22.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5310	Discount Stores	"PLASTIC BAGGIES, WINDEX"
ECONOMIC DEVELOPMENT & CULTURE	5010-32	2018-06-15	2018-06-15	WMT SUPRCTR #1117	110.33	CAD	110.33	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5411	"Grocery Stores, Supermarkets"	COMMAND HOOKS
ECONOMIC DEVELOPMENT & CULTURE	5011-36	2018-06-18	2018-06-18	METRO CRESTING COMPANY	482.37	CAD	482.37	CAD	2670	UNIFORMS	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	2741	Miscellaneous Publishing and Printing	REMAINING PAYMENT FOR T-SHIRTS
ECONOMIC DEVELOPMENT & CULTURE	5011-37	2018-06-18	2018-06-18	PICKLE BARREL CATERING	310.68	CAD	310.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5811	Caterers	FOOD FOR PROGRAM
ECONOMIC DEVELOPMENT & CULTURE	5013-77	2018-06-20	2018-06-20	DESERRES	135.07	CAD	135.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5970	"Artist Supply Stores, Craft Shops"	"MODEL MAGIC, FOAM SHEETS"
ECONOMIC DEVELOPMENT & CULTURE	5014-126	2018-06-22	2018-06-22	DOLLARAMA # 555	29.72	CAD	29.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5310	Discount Stores	MODELLING CLAY
ECONOMIC DEVELOPMENT & CULTURE	5014-127	2018-06-22	2018-06-22	TUCKERS POTTERY SUPPLI	"3,017.21"	CAD	"3,017.21"	CAD	*****	GIFT SHOP ITEMS FOR RESALE	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5970	"Artist Supply Stores, Craft Shops"	"RESALE ITEMS CLAY TOOLS, UNDERGLAZE"
ECONOMIC DEVELOPMENT & CULTURE	5014-128	2018-06-22	2018-06-22	TUCKERS POTTERY SUPPLI	39.10	CAD	39.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5970	"Artist Supply Stores, Craft Shops"	GLAZE INGREDIENTS
					"5,574.34"	CAD	"5,574.34"	CAD							
"PARKS, FORESTRY & RECREATION"	5004-133	2018-06-07	2018-06-07	CDN TIRE STORE #00119	25.98	CAD	25.98	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5200	Home Supply Warehouse	CARTRIDGE
"PARKS, FORESTRY & RECREATION"	5004-134	2018-06-07	2018-06-07	KOOY BROS LAWN	211.20	CAD	211.20	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00531	S-WEST 2-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	LINE
"PARKS, FORESTRY & RECREATION"	5005-35	2018-06-08	2018-06-08	THE HOME DEPOT #7013	193.37	CAD	193.37	CAD	2715	PAINT SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  TRMCLD 340G
"PARKS, FORESTRY & RECREATION"	5008-64	2018-06-12	2018-06-13	THE HOME DEPOT #7013	44.00	CAD	44.00	CAD	2710	GENERAL HARDWARE	P00531	S-WEST 2-PRGM SUPPORT	5200	Home Supply Warehouse	BRASS Y
