Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre /  WBS Element	Cost Centre /  WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2468-1	04-22-2013	04-24-2013	CDN TIRE STORE #00280	146.24	CAD	146.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10315	GRANDRAVINE-PGM SUPP	5200	Home Supply Warehouse	MISC REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2475-1	04-29-2013	04-30-2013	NOFRILLS VITO'S #3936	69.76	CAD	69.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR PGRM	
					351.29	CAD	351.29	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2443-2	04-05-2013	04-08-2013	NOFRILLS ROB S  1397	16.63	CAD	16.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"MILK, VINEGAR & KITCHEN SUPPLIES-SPONGE,SCRUBBER"	
ECONOMIC DEVELOPMENT & CULTURE	2456-2	04-15-2013	04-16-2013	NOFRILLS ROB S  1397	3.97	CAD	3.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MILK FOR SCHOOL PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	2461-1	04-17-2013	04-18-2013	LOBLAWS #1010	4.39	CAD	4.39	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MILK FOR SCHOOL PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	2473-3	04-27-2013	04-29-2013	NOFRILLS ROB S  1397	11.97	CAD	11.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MILK & LEMONS FOR SCHOOL PROGRAM	
					36.96	CAD	36.96	CAD								
"PARKS, FORESTRY & RECREATION"	2441-2	04-04-2013	04-05-2013	REMENYI MUSIC   BOOKS	64.26	CAD	64.26	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P12971	ARTS-PRKDALE	5733	"Music Stores - Musical Instruments, Pian"	PIANO BOOKS FOR PARKDALE CC	
"PARKS, FORESTRY & RECREATION"	2476-1	04-30-2013	05-01-2013	F.G.BRADLEY'S # 514	24.86	CAD	24.86	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10446	MASARYK COWAN-PGM SU	5945	"Game, Toy, and Hobby Shops"	CHALK FOR GAME ROOM POOL TABLES	
					89.12	CAD	89.12	CAD								
"PARKS, FORESTRY & RECREATION"	2455-3	04-11-2013	04-15-2013	CDN TIRE STORE #00160	83.12	CAD	83.12	CAD	2710	GENERAL HARDWARE	P12856	RAVWTRMAINT	5200	Home Supply Warehouse	"SPONGE, TEA TOWELS,"	
"PARKS, FORESTRY & RECREATION"	2459-1	04-15-2013	04-17-2013	CDN TIRE STORE #00264	221.42	CAD	221.42	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12856	RAVWTRMAINT	5200	Home Supply Warehouse	STORAGE BINS	
"PARKS, FORESTRY & RECREATION"	2462-3	04-18-2013	04-19-2013	VERMEER CANADA INC	283.84	CAD	283.84	CAD	3080	M & E - HAND TOOLS	P12856	RAVWTRMAINT	7394	"Equipment Rental and Leasing Services, F"	"CURVED PONY SAW, NO SPILL CARB"	
"PARKS, FORESTRY & RECREATION"	2465-1	04-19-2013	04-22-2013	THE HOME DEPOT #7001	85.48	CAD	85.48	CAD	2710	GENERAL HARDWARE	P12856	RAVWTRMAINT	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2479-2	04-30-2013	05-02-2013	THE HOME DEPOT #7001	15.00	CAD	15.00	CAD	2710	GENERAL HARDWARE	P12856	RAVWTRMAINT	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2481-2	05-01-2013	05-03-2013	AGO INDUSTRIES INC.	623.65	CAD	623.65	CAD	2665	PROTECTIVE CLOTHING	P12856	RAVWTRMAINT	5137	"Mens, Womens, and Childrens Uniforms and"	COTTON SAFETY WEAR	
					"1,312.51"	CAD	"1,312.51"	CAD								
"PARKS, FORESTRY & RECREATION"	2443-3	04-05-2013	04-08-2013	STAPLES STORE #214	132.76	CAD	132.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12006	LASTMAN SQ-AIRS-PGM	5943	"Office, School Supply, and Stationery St"	PLAQUE MOUNTING FOR BACK STAGE	
"PARKS, FORESTRY & RECREATION"	2479-3	05-01-2013	05-02-2013	THE SOURCE 5114	159.85	CAD	159.85	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P13307	HOLIDYCAMP-SENECAVLG	5732	Electronic Sales	STEREO EQUIPMENT FOR DANCE PRGM	
					292.61	CAD	292.61	CAD								
"PARKS, FORESTRY & RECREATION"	2443-4	04-04-2013	04-08-2013	MR METAL(ETOBICOKE) IN	51.29	CAD	51.29	CAD	2532	STEEL	P12081	S-GEN-SPECIALIZED MA	5051	Metal Service Centers and Offices	HSST SQ 2.500 X 2.500 X 1.88	
"PARKS, FORESTRY & RECREATION"	2449-2	04-09-2013	04-11-2013	MR METAL(ETOBICOKE) IN	37.29	CAD	37.29	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STEEL	
"PARKS, FORESTRY & RECREATION"	2456-3	04-15-2013	04-16-2013	ASA ALLOYS	346.91	CAD	346.91	CAD	2532	STEEL	P12081	S-GEN-SPECIALIZED MA	5051	Metal Service Centers and Offices	STAINLESS ANGLES	
"PARKS, FORESTRY & RECREATION"	2462-4	04-17-2013	04-19-2013	MR METAL(ETOBICOKE) IN	97.59	CAD	97.59	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	SS ANGLE	
"PARKS, FORESTRY & RECREATION"	2465-2	04-15-2013	04-22-2013	GERARD DANIEL WORLD WI	201.87	CAD	201.87	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"	"SST304 WLEDER 2""X2""0.18775 48 X 96"	
"PARKS, FORESTRY & RECREATION"	2465-3	04-17-2013	04-22-2013	PRAXAIR #756	59.89	CAD	59.89	CAD	3080	M & E - HAND TOOLS	P12017	SOUTH GENERAL-PKS TE	7692	Welding Repair	DRIVE ROLL	
"PARKS, FORESTRY & RECREATION"	2465-4	04-19-2013	04-22-2013	MISSISSAUGA STEEL MART	490.99	CAD	490.99	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5499	Miscellaneous Food Stores - Convenience	REBAR	
"PARKS, FORESTRY & RECREATION"	2467-2	04-22-2013	04-23-2013	PRINCESS AUTO	25.98	CAD	25.98	CAD	2110	PARTS - FURNITURE & FIXTURES	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	CASTER	
"PARKS, FORESTRY & RECREATION"	2469-1	04-23-2013	04-25-2013	LINDE CANADA - ETOBICO	68.25	CAD	68.25	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5072	Hardware Equipment and Supplies	ELECTRODE	
"PARKS, FORESTRY & RECREATION"	2475-2	04-26-2013	04-30-2013	MR METAL(ETOBICOKE) IN	369.07	CAD	369.07	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR PLATE .375 & HSST SQUARE	
					"1,749.13"	CAD	"1,749.13"	CAD								
"PARKS, FORESTRY & RECREATION"	2443-5	04-04-2013	04-08-2013	THE HOME DEPOT #7011	79.15	CAD	79.15	CAD	*****	BLDG REPAIRS & RENOVATION SUPPLIES	P10960	CENTENNIAL STADIUM-O	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2443-6	04-04-2013	04-08-2013	PAYPAL *JUSTATHLETI	604.55	CAD	604.55	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10960	CENTENNIAL STADIUM-O	8999	Professional Services - Not Elsewhere Cl	STARTING BLOCKS	
"PARKS, FORESTRY & RECREATION"	2447-2	04-09-2013	04-10-2013	TECHNICAL STANDARDS AN	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	P10910	CENTENNIAL SKI CTR-O	1799	"Contractors, Special Trade - Not Elsewhe"	ELEVATING DEVICES CERTIFICATE RENEWAL - 2 YEARS	
"PARKS, FORESTRY & RECREATION"	2447-3	04-09-2013	04-10-2013	TECHNICAL STANDARDS AN	80.80	CAD	80.80	CAD	4830	PERMIT & LICENSE FEES	P10910	CENTENNIAL SKI CTR-O	1799	"Contractors, Special Trade - Not Elsewhe"	SKI LIFT INSPECTION	
"PARKS, FORESTRY & RECREATION"	2449-3	04-10-2013	04-11-2013	ISLINGTON NURSERIES LI	152.55	CAD	152.55	CAD	2785	SAND	P10960	CENTENNIAL STADIUM-O	5261	Lawn and Garden Supply Stores	BRICK SAND	
"PARKS, FORESTRY & RECREATION"	2461-2	04-17-2013	04-18-2013	ISLINGTON NURSERIES LI	141.25	CAD	141.25	CAD	2770	GRAVEL	P00656	CENTENNIAL PK-PGM SU	5261	Lawn and Garden Supply Stores	"3/4"" CRUSHER RUN - SMALL LOADS"	
"PARKS, FORESTRY & RECREATION"	2461-3	04-17-2013	04-18-2013	ISLINGTON NURSERIES LI	141.25	CAD	141.25	CAD	2770	GRAVEL	P00656	CENTENNIAL PK-PGM SU	5261	Lawn and Garden Supply Stores	"3/4"" CRUSHER RUN - SMALL LOADS"	
"PARKS, FORESTRY & RECREATION"	2465-5	04-18-2013	04-22-2013	CDN TIRE STORE #00070	66.38	CAD	66.38	CAD	2570	JANITORIAL SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	OSKAR ANGLE BROOMS	
"PARKS, FORESTRY & RECREATION"	2465-6	04-18-2013	04-22-2013	THE HOME DEPOT #7011	23.11	CAD	23.11	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2465-7	04-19-2013	04-22-2013	LOWES #03096*	40.63	CAD	40.63	CAD	2575	ELECTRICAL SUPPLIES	P10960	CENTENNIAL STADIUM-O	5200	Home Supply Warehouse	23W TWIST BRIGHT WHITE 6 PK	
"PARKS, FORESTRY & RECREATION"	2468-2	04-22-2013	04-24-2013	N.A. YORKE MACHINERY C	508.50	CAD	508.50	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P00656	CENTENNIAL PK-PGM SU	7699	Miscellaneous Repair Shops and Related S	CONTRACTED SRVS-MACHINERY STEEL HINGES FABRICATED	
"PARKS, FORESTRY & RECREATION"	2469-2	04-23-2013	04-25-2013	THE HOME DEPOT #7011	25.85	CAD	25.85	CAD	2130	PARTS - MOBILE EQUIPMENT	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2470-1	04-24-2013	04-26-2013	BRAFASCO / MISSISSAUGA	37.64	CAD	37.64	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PK-PGM SU	5085	Industrial Supplies Not Elsewhere Classi	BOLT WASHERS	
"PARKS, FORESTRY & RECREATION"	2470-2	04-24-2013	04-26-2013	THE HOME DEPOT #7011	53.81	CAD	53.81	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2473-4	04-26-2013	04-29-2013	BRAFASCO / MISSISSAUGA	42.83	CAD	42.83	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PK-PGM SU	5085	Industrial Supplies Not Elsewhere Classi	GALVANIZEDS BOLTS FOR PARK SIGNS	
"PARKS, FORESTRY & RECREATION"	2473-5	04-26-2013	04-29-2013	GORDON BANNERMAN LTD	800.16	CAD	800.16	CAD	2130	PARTS - MOBILE EQUIPMENT	P00656	CENTENNIAL PK-PGM SU	5261	Lawn and Garden Supply Stores	PARTS FOR BALL DIAMOND GROOMER	
"PARKS, FORESTRY & RECREATION"	2481-3	05-02-2013	05-03-2013	LAKESHORE LUMBER	174.07	CAD	174.07	CAD	2780	CONCRETE	P00656	CENTENNIAL PK-PGM SU	5251	Hardware Stores	RAPID POST CONCRETE MIX	
					"3,047.53"	CAD	"3,047.53"	CAD								
"PARKS, FORESTRY & RECREATION"	2437-1	04-02-2013	04-04-2013	THE HOME DEPOT #7134	67.79	CAD	67.79	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5200	Home Supply Warehouse	PUMP	
"PARKS, FORESTRY & RECREATION"	2447-4	04-09-2013	04-10-2013	CONVAL EQUIPMENT	522.06	CAD	522.06	CAD	2535	PLUMBING SUPPLIES	P07697	CUMMER COMPLEX-OPERA	5085	Industrial Supplies Not Elsewhere Classi	SOLENOID VALVES	
"PARKS, FORESTRY & RECREATION"	2451-2	04-10-2013	04-12-2013	SP S COMM SWIMMING POO	665.57	CAD	665.57	CAD	2535	PLUMBING SUPPLIES	P07697	CUMMER COMPLEX-OPERA	5996	Swimming Pools - Sales and Supplies	SENSOR ORP POOL SENSORS	
"PARKS, FORESTRY & RECREATION"	2455-4	04-11-2013	04-15-2013	THE HOME DEPOT #7078	42.92	CAD	42.92	CAD	2535	PLUMBING SUPPLIES	P07696	ANTIBES CC-OPERATION	5200	Home Supply Warehouse	2-PLY TIRE	
"PARKS, FORESTRY & RECREATION"	2455-5	04-11-2013	04-15-2013	SP S COMM SWIMMING POO	597.77	CAD	597.77	CAD	2535	PLUMBING SUPPLIES	P07697	CUMMER COMPLEX-OPERA	5996	Swimming Pools - Sales and Supplies	PERISTALTIC PUMP	
"PARKS, FORESTRY & RECREATION"	2455-6	04-12-2013	04-15-2013	SP S COMM SWIMMING POO	218.80	CAD	218.80	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P07659	DOUGLAS SNOW-OPERATI	5996	Swimming Pools - Sales and Supplies	"CAT REPAIR, TESTED"	
"PARKS, FORESTRY & RECREATION"	2462-5	04-15-2013	04-19-2013	SCP	86.83	CAD	86.83	CAD	2710	GENERAL HARDWARE	P07696	ANTIBES CC-OPERATION	5996	Swimming Pools - Sales and Supplies	LADDER TREADS	
"PARKS, FORESTRY & RECREATION"	2465-8	04-18-2013	04-22-2013	HART PUMP SERVICE (198	446.63	CAD	446.63	CAD	2535	PLUMBING SUPPLIES	P07702	GRANDRAVINE CC-OPERA	1711	"Air Conditioning, Heating, and Plumbing"	BARNES PUMP	
					"2,648.37"	CAD	"2,648.37"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2441-3	04-04-2013	04-05-2013	LOBLAWS 4.2	48.79	CAD	48.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MACE, CURRANTS & CARAWAY"	
ECONOMIC DEVELOPMENT & CULTURE	2449-4	04-09-2013	04-11-2013	METRO #720	66.14	CAD	66.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"PEARS,APPLES AND CURRANTS"	
ECONOMIC DEVELOPMENT & CULTURE	2459-2	04-15-2013	04-17-2013	TORONTO CASH   CARRY	44.90	CAD	44.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHOLE GINGER & NUTMEG	
ECONOMIC DEVELOPMENT & CULTURE	2467-3	04-19-2013	04-23-2013	METRO #720	54.00	CAD	54.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"ORANGE & APPLE JUICE,MILK & JAM"	
ECONOMIC DEVELOPMENT & CULTURE	2469-3	04-24-2013	04-25-2013	BULK BARN	47.41	CAD	47.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHOLE ALMONDS	
ECONOMIC DEVELOPMENT & CULTURE	2469-4	04-24-2013	04-25-2013	NELLA CUTLERY	"2,678.10"	CAD	"2,678.10"	CAD	3050	M & E - KITCHEN	AH0101	HS-MH-PUB-FORT YORK	5719	Miscellaneous House Furnishing Specialty	REPLACEMENT REACH IN COOLER	
ECONOMIC DEVELOPMENT & CULTURE	2473-6	04-25-2013	04-29-2013	METALWORKS PRODUCTIONS	875.75	CAD	875.75	CAD	4590	RENTAL - OTHER	AH0052	HS-MH-BOA-METRO HALL	8249	"Schools, Trade and Vocational"	WHEEL CHAIR RAMP FOR BATTLE OF YORK COMMEMORATION	
ECONOMIC DEVELOPMENT & CULTURE	2475-3	04-28-2013	04-30-2013	CDN TIRE STORE #00273	33.89	CAD	33.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5200	Home Supply Warehouse	TEA KETTLE	
ECONOMIC DEVELOPMENT & CULTURE	2476-2	04-27-2013	05-01-2013	METRO #720	81.99	CAD	81.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0052	HS-MH-BOA-METRO HALL	5411	"Grocery Stores, Supermarkets"	CHEESE & FRUIT TRAY FOR BATTLE OF YORK COMMEMORATI	
ECONOMIC DEVELOPMENT & CULTURE	2476-3	04-27-2013	05-01-2013	METRO #720	3.98	CAD	3.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0052	HS-MH-BOA-METRO HALL	5411	"Grocery Stores, Supermarkets"	CRACKERS FOR BATTLE OF YORK COMMEMORATION	
ECONOMIC DEVELOPMENT & CULTURE	2479-4	04-30-2013	05-02-2013	METRO #720	90.61	CAD	90.61	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0117	HS-MH-RET-FORT YORK	5411	"Grocery Stores, Supermarkets"	"HAMBURGERS, BUNS & CONDIMENTS FOR STUDENT LUNCH"	
					"4,025.56"	CAD	"4,025.56"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2481-4	05-02-2013	05-03-2013	LINENTABLECLOTH.COM	187.75	CAD	180.91	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0096	HS-MH-PUB-GIBSON HOU	5719	Miscellaneous House Furnishing Specialty	*****	
					187.75	CAD	180.91	USD								
AFFORDABLE HOUSING OFFICE	2470-3	04-25-2013	04-26-2013	ISTOCK *INTERNATIONAL	109.05	CAD	109.05	CAD	2090	GRAPHIC DESIGN SUPPLIES	H20001	AHO - HSG DEV ADM E	5971	Art Dealers and Galleries	PAY AS YOU GO CREDITS FOR ORDERING PHOTOS	
					109.05	CAD	109.05	CAD								
"PARKS, FORESTRY & RECREATION"	2437-2	04-03-2013	04-04-2013	TIMM ENTERPRISES LTD.	787.21	CAD	787.21	CAD	3080	M & E - HAND TOOLS	P00152	C-WTRFRONT3-TURF&HOR	5046	Commercial Equipment Not Elsewhere Class	"POLE PRUNER, EROSION CONTROL MATTING,SOD STAPLES"	
"PARKS, FORESTRY & RECREATION"	2479-5	05-01-2013	05-02-2013	HAWKEX SALES	831.23	CAD	831.23	CAD	3015	M & E - GROUNDS	P00152	C-WTRFRONT3-TURF&HOR	5699	Accessory  and Apparel Stores - Miscella	REPLACEMENT BAGS FOR LITTER LICKER	
					"1,618.44"	CAD	"1,618.44"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2441-4	04-04-2013	04-05-2013	SOBEYS #741        QPS	79.07	CAD	79.07	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5411	"Grocery Stores, Supermarkets"	FLOWERS	
ECONOMIC DEVELOPMENT & CULTURE	2465-9	04-18-2013	04-22-2013	MODERN LAUNDRY	27.12	CAD	27.12	CAD	4995	OTHER EXPENSES	AH0129	AS-PR-RRP-LAKESHORE	7216	Dry Cleaners	TABLECLOTHS FOR CLIENT BOOKING-WASH/DRY/IRON	
ECONOMIC DEVELOPMENT & CULTURE	2468-3	04-23-2013	04-24-2013	FRESHCO #9775	9.02	CAD	9.02	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5411	"Grocery Stores, Supermarkets"	FACIAL TISSUE FOR AH	
ECONOMIC DEVELOPMENT & CULTURE	2473-7	04-25-2013	04-29-2013	DUSLAN BATTERIES	67.02	CAD	64.07	USD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RRP-LAKESHORE	5732	Electronic Sales	RECHARGEABLE MOTOROLA BATTERIES FOR WALKIES	
ECONOMIC DEVELOPMENT & CULTURE	2473-8	04-26-2013	04-29-2013	RABBA #177	17.94	CAD	17.94	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RRP-LAKESHORE	5411	"Grocery Stores, Supermarkets"	MILK & CREAM FOR SNACK BAR	
ECONOMIC DEVELOPMENT & CULTURE	2475-4	04-29-2013	04-30-2013	FRESHCO #9775	52.17	CAD	52.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RRP-LAKESHORE	5411	"Grocery Stores, Supermarkets"	"BROWNIES,CRACKERS,CHEESE FOR PROGRAM"	
					252.34	CAD	185.32	CAD								
							64.07	USD								
"PARKS, FORESTRY & RECREATION"	2441-5	04-04-2013	04-05-2013	NOFRILLS DICKIES 752	1.59	CAD	1.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05508	DON MONTGOMERY-SOC	5411	"Grocery Stores, Supermarkets"	SCIENCE FUN SUPPLIES	
