Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	2795-4	2013-12-12	2013-12-16	THE HOME DEPOT #7011	482.57	CAD	482.57	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PARK-PARKS MAINT/RPRS	5200	Home Supply Warehouse	**MORE**  SNTF CLOSURE
					639.39	CAD	639.39	CAD							
"PARKS, FORESTRY & RECREATION"	2787-3	2013-12-09	2013-12-10	WATER AND ICE NORTH AM	227.70	CAD	227.70	CAD	2535	PLUMBING SUPPLIES	P07726	NORTH TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	PUMP PARTS
"PARKS, FORESTRY & RECREATION"	2795-5	2013-12-13	2013-12-16	CONVAL EQUIPMENT	203.40	CAD	203.40	CAD	2535	PLUMBING SUPPLIES	P06684	DRIFTWOOD CC-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	PLASTOMATIC VALVE
					431.10	CAD	431.10	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2773-2	2013-11-28	2013-12-02	CDN TIRE STORE #00654	101.60	CAD	101.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5200	Home Supply Warehouse	STORAGE CONTAINERS
ECONOMIC DEVELOPMENT & CULTURE	2773-3	2013-11-30	2013-12-02	BULK BARN	104.46	CAD	104.46	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"STORAGE CONTAINER, CURRANTS, RAISINS, ALMONDS, NUT"
ECONOMIC DEVELOPMENT & CULTURE	2773-4	2013-12-01	2013-12-02	LOBLAWS 4.2	77.49	CAD	77.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHIPPING CREAM, PEARS, APRICOTS, DATES"
ECONOMIC DEVELOPMENT & CULTURE	2774-3	2013-12-02	2013-12-03	FRIES INC	140.61	CAD	140.61	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7623	Air Conditioning and Refrigeration Repai	REPAIR ICE MACHINE
ECONOMIC DEVELOPMENT & CULTURE	2776-4	2013-12-03	2013-12-04	BULK BARN	53.80	CAD	53.80	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"ALMONDS, CURRANTS & STORAGE JAR"
ECONOMIC DEVELOPMENT & CULTURE	2780-3	2013-12-04	2013-12-05	FRIES INC	223.18	CAD	223.18	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7623	Air Conditioning and Refrigeration Repai	REPAIRS TO ICE MACHINE
ECONOMIC DEVELOPMENT & CULTURE	2781-1	2013-12-04	2013-12-06	METRO #720	66.29	CAD	66.29	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHIPPING CREAM, CURRANTS, SPICE BOX, CONTAINERS"
ECONOMIC DEVELOPMENT & CULTURE	2800-2	2013-12-17	2013-12-19	METRO #720	19.16	CAD	19.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CARROTS, TURNIPS, PARSNIPS, BROTH"
					786.59	CAD	786.59	CAD							
AFFORDABLE HOUSING OFFICE	2776-5	2013-12-03	2013-12-04	OUT OF THIS WORLD CAFE	741.51	CAD	741.51	CAD	4820	BUSINESS MEETING EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5812	"Eating Places, Restaurants"	LUNCH-BUS TRAVEL
AFFORDABLE HOUSING OFFICE	2798-2	2013-12-16	2013-12-18	DUNN'S FAMOUS	170.86	CAD	170.86	CAD	4820	BUSINESS MEETING EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5812	"Eating Places, Restaurants"	BUSINESS MEETING LUNCH
					912.37	CAD	912.37	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2780-4	2013-12-03	2013-12-05	DUAL AUDIO SERVICES	79.10	CAD	79.10	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7394	"Equipment Rental and Leasing Services, F"	WIRELESS HEADSET & RECEIVER RENTAL
ECONOMIC DEVELOPMENT & CULTURE	2780-5	2013-12-03	2013-12-05	DUAL AUDIO SERVICES	140.30	CAD	140.30	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7394	"Equipment Rental and Leasing Services, F"	PRO INTERCOM EAR CUSHIONS FOR TALKBACK
ECONOMIC DEVELOPMENT & CULTURE	2780-6	2013-12-04	2013-12-05	NOFRILLS PETER'S 3926	8.00	CAD	8.00	CAD	4116	CATERING SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7999	Recreation Services (Not Elsewhere Class	COOKIES FOR VOLUNTEERS
ECONOMIC DEVELOPMENT & CULTURE	2785-4	2013-12-03	2013-12-09	MODERN LAUNDRY	67.80	CAD	67.80	CAD	4419	LAUNDRY SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7216	Dry Cleaners	"WASH, DRY, IRON & FOLD TABLECLOTHES"
ECONOMIC DEVELOPMENT & CULTURE	2787-4	2013-12-09	2013-12-10	TIGERDIRECT.CA	253.50	CAD	253.50	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5964	Direct Marketing - Catalog Merchants	MOTOROLA WALKIE TALKIES
ECONOMIC DEVELOPMENT & CULTURE	2791-1	2013-12-11	2013-12-12	LAKESHORE LUMBER #1427	197.75	CAD	197.75	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5251	Hardware Stores	"SAW BLADE, FLOOR TILES, SCREWS, CLAMPS"
ECONOMIC DEVELOPMENT & CULTURE	2795-6	2013-12-10	2013-12-16	MODERN LAUNDRY	90.40	CAD	90.40	CAD	4419	LAUNDRY SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7216	Dry Cleaners	"WASH, DRY, IRON & FOLD TABLECLOTHES"
ECONOMIC DEVELOPMENT & CULTURE	2798-3	2013-12-17	2013-12-18	ABOVEGROUND ENTERPRISE	249.22	CAD	249.22	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7333	"Commercial Art, Graphics, Photography"	"SKETCHPADS, CRAYONS, PAINT FOR PRIZES"
ECONOMIC DEVELOPMENT & CULTURE	2800-3	2013-12-17	2013-12-19	RONA ISLINGTON  55410	20.10	CAD	20.10	CAD	2570	JANITORIAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5251	Hardware Stores	SALT FOR ICE
ECONOMIC DEVELOPMENT & CULTURE	2806-3	2013-12-23	2013-12-24	FRESHCO #9775	9.95	CAD	9.95	CAD	4116	CATERING SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	COOKIES FOR VOLUNTEERS
ECONOMIC DEVELOPMENT & CULTURE	2810-4	2013-12-27	2013-12-30	PAYPAL *MCHARDY VAC	80.20	CAD	80.20	CAD	2570	JANITORIAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5722	Household Appliance Stores	VACUUM BAGS
ECONOMIC DEVELOPMENT & CULTURE	2810-5	2013-12-27	2013-12-30	DUAL AUDIO SERVICES	"1,192.15"	CAD	"1,192.15"	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7394	"Equipment Rental and Leasing Services, F"	SHURE MICROPHONE & ROLAND PORTABLE PA SYSTEM
ECONOMIC DEVELOPMENT & CULTURE	2810-6	2013-12-27	2013-12-30	CHRISTIE LITE SALES LT	"1,628.25"	CAD	"1,628.25"	CAD	2575	ELECTRICAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5046	Commercial Equipment Not Elsewhere Class	"THEATRE BULBS, GELS & TAPE"
ECONOMIC DEVELOPMENT & CULTURE	2812-1	2013-12-30	2013-12-31	IKEA ETOBICOKE	107.21	CAD	107.21	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5712	"Equipment, Furniture, and Home Furnishin"	CANDLES & DESKTOP LAMPS
ECONOMIC DEVELOPMENT & CULTURE	2812-2	2013-12-30	2013-12-31	TIGERDIRECT.CA	59.60	CAD	59.60	CAD	2650	COMPUTER AND PRINTER SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5734	Computer Software Stores	PORTABLE COMPUTER SPEAKERS
ECONOMIC DEVELOPMENT & CULTURE	2812-3	2013-12-30	2013-12-31	DUAL AUDIO SERVICES	"1,048.64"	CAD	"1,048.64"	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7394	"Equipment Rental and Leasing Services, F"	"SHURE MIC GRILLS, DIGITAL CABLES, CLEAR-COM SETS &"
ECONOMIC DEVELOPMENT & CULTURE	2812-4	2013-12-30	2013-12-31	BEST BUY CANADA #938	34.74	CAD	34.74	CAD	2650	COMPUTER AND PRINTER SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5732	Electronic Sales	PORTABLE COMPUTER SPEAKERS
ECONOMIC DEVELOPMENT & CULTURE	2812-5	2013-12-30	2013-12-31	PAUL WOLF ELECTRIC   L	421.92	CAD	421.92	CAD	2575	ELECTRICAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5065	Electrical Parts and Equipment	BULBS (NON-CONTRACT ITEM)
					"5,688.83"	CAD	"5,688.83"	CAD							
SOLID WASTE MANAGEMENT	2773-5	2013-11-29	2013-12-02	THE HOME DEPOT #7027	147.05	CAD	147.05	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0830	SCARBOROUGH TS OPERATIONS	5200	Home Supply Warehouse	**MORE**  BLADES
SOLID WASTE MANAGEMENT	2776-6	2013-12-02	2013-12-04	THE HOME DEPOT #7012	191.23	CAD	191.23	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	UNASSIGNED	5200	Home Supply Warehouse	"**MORE**  2 REC 6"""
SOLID WASTE MANAGEMENT	2776-7	2013-12-03	2013-12-04	LOWES #02640*	161.40	CAD	161.40	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	UNASSIGNED	5200	Home Supply Warehouse	**MORE**  ULTRA/FLEX 2 KER 115GRAY 50#
SOLID WASTE MANAGEMENT	2785-5	2013-12-06	2013-12-09	PARLIAMENT BUILDING SU	11.82	CAD	11.82	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0835	COMMISSIONER TS OPERATIONS	5211	"Building Materials, Lumber Stores"	W/O-300893
SOLID WASTE MANAGEMENT	2785-6	2013-12-07	2013-12-09	LOWES #02640*	161.64	CAD	161.64	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0835	COMMISSIONER TS OPERATIONS	5200	Home Supply Warehouse	12X12 CONCRETE ANTHRACITE TILE
SOLID WASTE MANAGEMENT	2789-3	2013-12-10	2013-12-11	ONTARIO ACOUSTIC SUPPL	352.56	CAD	352.56	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0810	INGRAM TS OPERATIONS	5039	Construction Materials Not Elsewhere Cla	W/O-301096
SOLID WASTE MANAGEMENT	2795-7	2013-12-12	2013-12-16	THE HOME DEPOT #7012	76.12	CAD	76.12	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	UNASSIGNED	5200	Home Supply Warehouse	**MORE**  ALEX PLUS
SOLID WASTE MANAGEMENT	2796-2	2013-12-16	2013-12-17	LOWES #02640*	22.59	CAD	22.59	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0835	COMMISSIONER TS OPERATIONS	5200	Home Supply Warehouse	KERCLR S FLGROUT CHARCOAL 10#
SOLID WASTE MANAGEMENT	2798-4	2013-12-17	2013-12-18	EMPIRE HARDWARE LTD	107.97	CAD	107.97	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0835	COMMISSIONER TS OPERATIONS	5072	Hardware Equipment and Supplies	W/O-300893
					"1,232.38"	CAD	"1,232.38"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2773-6	2013-11-29	2013-12-02	THE HOME DEPOT #7073	43.96	CAD	43.96	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5200	Home Supply Warehouse	3/4 PINE PLY
ECONOMIC DEVELOPMENT & CULTURE	2776-8	2013-12-03	2013-12-04	DAYVAN	33.13	CAD	33.13	CAD	2710	GENERAL HARDWARE	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5251	Hardware Stores	"BOX 8X1-3/4"" SCREWS, BOX 8X1"" SCREWS"
					77.09	CAD	77.09	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2776-9	2013-12-03	2013-12-04	IKEA NORTH YORK	141.14	CAD	141.14	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5712	"Equipment, Furniture, and Home Furnishin"	FRAMES FOR EXHIBIT
ECONOMIC DEVELOPMENT & CULTURE	2801-2	2013-12-19	2013-12-20	ACE AWARDS INC	120.91	CAD	120.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5947	"Card, Gift, Novelty, and Souvenir Shops"	MEDALS FOR EXHIBIT
					262.05	CAD	262.05	CAD							
TORONTO WATER	2800-4	2013-12-18	2013-12-19	UPS*000000823928247	41.23	CAD	41.23	CAD	4815	COURIER SERVICES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	4214	"Motor Freight Carriers, Trucking - Local"	COURIER
TORONTO WATER	2801-3	2013-12-19	2013-12-20	UPS*000000E40R20503	96.62	CAD	96.62	CAD	4815	COURIER SERVICES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	4214	"Motor Freight Carriers, Trucking - Local"	COURIER
					137.85	CAD	137.85	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2789-4	2013-12-09	2013-12-11	TIM HORTONS #3667# QPS	73.19	CAD	73.19	CAD	4116	CATERING SERVICES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5814	Quick Payment Service - Fast-Food Restau	CATERING FOR CONSULTATION
					73.19	CAD	73.19	CAD							
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	2776-10	2013-12-02	2013-12-04	TDSB  PERMITS	62.24	CAD	62.24	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	CWW421-05	BASEMENT FLOODING RELIEF	8398	"Organizations, Charitable and Social Ser"	ROOM RENTAL - BSMT FLOODING
					62.24	CAD	62.24	CAD							
LONG TERM CARE HOMES	2776-11	2013-12-03	2013-12-04	PATTERSON MEDICAL	407.08	CAD	407.08	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3K083	LAKESHORE LODGE-PS-PS	5047	Laboratory/Medical/Dental/Ophthalmic Hos	PARAFIN WAX
LONG TERM CARE HOMES	2798-5	2013-12-17	2013-12-18	ONTARIO PILLOW SUPPLY	"-1,305.69"	CAD	"-1,305.69"	CAD	2690	BEDDING	D3K144	LAKESHORE LODGE-NS-NA	5099	Durable Goods Not Elsewhere Classified	INCORRECTLY CHARGED FOR PILLOWA
					-898.61	CAD	-898.61	CAD							
"PARKS, FORESTRY & RECREATION"	2785-7	2013-12-05	2013-12-09	THE SOURCE #51130	22.59	CAD	22.59	CAD	2710	GENERAL HARDWARE	P07689	HERON PARK-PRGM SUPPORT	5732	Electronic Sales	ETENSION CORD
"PARKS, FORESTRY & RECREATION"	2801-4	2013-12-19	2013-12-20	NATIONAL SPORTS #24	225.88	CAD	225.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13327	YOUTH OUTREACH WORKER - CR-SC-9	5655	"Sports Apparel, Riding Apparel Stores"	YOUTH BASKETBALL TOURNAMENT PRIZES
"PARKS, FORESTRY & RECREATION"	2804-1	2013-12-19	2013-12-23	FOOD BASICS #653	26.86	CAD	26.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13327	YOUTH OUTREACH WORKER - CR-SC-9	5411	"Grocery Stores, Supermarkets"	QUAKER CHEWY BARS
"PARKS, FORESTRY & RECREATION"	2804-2	2013-12-19	2013-12-23	SEARS CANADA DIRECT	531.03	CAD	531.03	CAD	3050	M & E - KITCHEN	P07689	HERON PARK-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	NEW STOVE FOR HP KITCHEN
					806.36	CAD	806.36	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2773-7	2013-11-28	2013-12-02	CDN TIRE STORE #00600	17.59	CAD	17.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	5200	Home Supply Warehouse	SOLVENT & STRING FOR PRINTSHOP
