Division,Batch-Transaction ID,Transaction Date,Card Posting Dt,Merchant Name,Transaction Amt.,Trx.Currency,Original Amount,Original Currency,G/L Account,Exp Type Desc,Cost Center / WBS Element / Order,Cost Center / WBS Element / Order Description,Merchant Type,Merchant Type Description,Purpose
CITY CLERKS OFFICE,5757-5,2021-03-18,2021-03-18,AMCTO,372.90,CAD,372.90,CAD,4256,CONFERENCES/SEMINARS - REGISTRATION FEES,GV0009,FIN. & STRATEGIC PLANNING & EXECUTIVE,8699,"Organizations, Membership - Not Elsewher","2021 MUNICIPAL LEADERS FORUM APRIL 27, 2021 REGISTRATION"
,,,,,372.90,CAD,372.90,CAD,,,,,,,
MUNICIPAL LICENSING & STANDARDS,5743-5,2021-02-26,2021-03-01,WWW.IKEA.CA,72.20,CAD,72.20,CAD,2620,ANIMAL CARE SUPPLIES,MS5039,TAS PARTNERSHIPS & MARKETING,5712,"Equipment, Furniture, and Home Furnishin",SUPPLIES FOR CAT HOARDING SCENARIOS
MUNICIPAL LICENSING & STANDARDS,5752-5,2021-03-10,2021-03-11,BEST BUY #631,157.06,CAD,157.06,CAD,3099,GENERAL EQUIPMENT,MS5048,TAS EMRU,5732,Electronic Sales,GARMIN GPS
MUNICIPAL LICENSING & STANDARDS,5752-6,2021-03-10,2021-03-11,BEST BUY.CA # 899,471.18,CAD,471.18,CAD,3099,GENERAL EQUIPMENT,MS5048,TAS EMRU,5732,Electronic Sales,GARMIN GPS
MUNICIPAL LICENSING & STANDARDS,5752-7,2021-03-10,2021-03-11,BEST BUY CANADA #926,157.06,CAD,157.06,CAD,3099,GENERAL EQUIPMENT,MS5048,TAS EMRU,5732,Electronic Sales,GARMIN GPS
MUNICIPAL LICENSING & STANDARDS,5752-8,2021-03-10,2021-03-11,BEST BUY CANADA #930,157.06,CAD,157.06,CAD,3099,GENERAL EQUIPMENT,MS5048,TAS EMRU,5732,Electronic Sales,GARMIN GPS
MUNICIPAL LICENSING & STANDARDS,5765-1,2021-03-29,2021-03-30,HERITAGE TREE CARE ...,282.50,CAD,282.50,CAD,4424,CONTRACTED SERVICES - GENERAL,MS5048,TAS EMRU,0780,Horticultural and Landscaping Services,CAT RESCUE FROM TREE
,,,,,"1,297.06",CAD,"1,297.06",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5744-3,2021-03-01,2021-03-02,KHAPCO AUTO PARTS,802.79,CAD,802.79,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00483,TEY-TECH-SMALL-ENGINES,5533,"Automotive Parts, Accessories Stores","OIL FILTERS, SPRAYER, THREAD CHASER"
"PARKS, FORESTRY & RECREATION",5748-5,2021-03-04,2021-03-05,KHAPCO AUTO PARTS,327.78,CAD,327.78,CAD,3080,M & E - HAND TOOLS,P00483,TEY-TECH-SMALL-ENGINES,5533,"Automotive Parts, Accessories Stores","INJECTOR PULLER, STUD EXTRACTOR"
"PARKS, FORESTRY & RECREATION",5750-2,2021-03-08,2021-03-09,KHAPCO AUTO PARTS,398.72,CAD,398.72,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00483,TEY-TECH-SMALL-ENGINES,5533,"Automotive Parts, Accessories Stores","BLOCK HEATER, MASS AIR"
"PARKS, FORESTRY & RECREATION",5753-4,2021-03-11,2021-03-12,MR METAL(ETOBICOKE) IN,169.73,CAD,169.73,CAD,2532,STEEL,P00483,TEY-TECH-SMALL-ENGINES,5051,Metal Service Centers and Offices,STEEL
"PARKS, FORESTRY & RECREATION",5754-9,2021-03-12,2021-03-15,KHAPCO AUTO PARTS,144.01,CAD,144.01,CAD,2401,LUBRICANTS,P00483,TEY-TECH-SMALL-ENGINES,5533,"Automotive Parts, Accessories Stores",GREEN 100% CLEANER
"PARKS, FORESTRY & RECREATION",5755-4,2021-03-10,2021-03-16,AUTO CARRERA,135.60,CAD,135.60,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P01191,S-CENTRAL AIRS-OPERATIONS,7538,Automotive Service Shops,ALTERNATOR REBUILD
"PARKS, FORESTRY & RECREATION",5755-5,2021-03-15,2021-03-16,KHAPCO AUTO PARTS,100.85,CAD,100.85,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00790,S-EAST-PRGM SUPPORT,5533,"Automotive Parts, Accessories Stores",BATTERY
"PARKS, FORESTRY & RECREATION",5756-7,2021-03-16,2021-03-17,MR METAL(ETOBICOKE) IN,110.36,CAD,110.36,CAD,2532,STEEL,P00483,TEY-TECH-SMALL-ENGINES,5051,Metal Service Centers and Offices,VARIOUS FLAT BAR STEEL
"PARKS, FORESTRY & RECREATION",5757-6,2021-03-17,2021-03-18,STEPHENSON'S RENTAL SE,813.37,CAD,813.37,CAD,2665,PROTECTIVE CLOTHING,P00483,TEY-TECH-SMALL-ENGINES,7394,"Equipment Rental and Leasing Services, F",5 POINT HARNESS
"PARKS, FORESTRY & RECREATION",5757-7,2021-03-17,2021-03-18,KHAPCO AUTO PARTS,290.90,CAD,290.90,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00869,WATERFRONT / CENTRAL FLEET,5533,"Automotive Parts, Accessories Stores",BATTERIES
"PARKS, FORESTRY & RECREATION",5758-6,2021-03-18,2021-03-19,STEPHENSON'S RENTAL SE,610.03,CAD,610.03,CAD,2665,PROTECTIVE CLOTHING,P00483,TEY-TECH-SMALL-ENGINES,7394,"Equipment Rental and Leasing Services, F",5 POINT HARNESS
"PARKS, FORESTRY & RECREATION",5758-7,2021-03-17,2021-03-19,CDN TIRE STORE #00697,45.15,CAD,45.15,CAD,2401,LUBRICANTS,P00483,TEY-TECH-SMALL-ENGINES,5200,Home Supply Warehouse,FUEL STABILIZERS
"PARKS, FORESTRY & RECREATION",5760-1,2021-03-22,2021-03-23,KHAPCO AUTO PARTS,161.08,CAD,161.08,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00483,TEY-TECH-SMALL-ENGINES,5533,"Automotive Parts, Accessories Stores","TEST TANK, BRAKE DUST SHIELD, BREAK LEVER KIT"
"PARKS, FORESTRY & RECREATION",5763-2,2021-03-24,2021-03-26,CDN TIRE STORE #00087,22.58,CAD,22.58,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00483,TEY-TECH-SMALL-ENGINES,5200,Home Supply Warehouse,EXHAUST SEALANT
