Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
FIRE SERVICES	5270-2	2019-06-05	2019-06-05	SPEEDWAY 05546 153	73.43	CAD	53.42	USD	4230	BUSINESS TRAV - OTHER EXPENSES	FR0026	HUSAR-PROVINCE	5541	Service Stations (with or without Ancill	FUEL - FEMA SESSION
FIRE SERVICES	5270-3	2019-06-04	2019-06-05	CASEYS NORTH VERNON	18.63	CAD	13.55	USD	4230	BUSINESS TRAV - OTHER EXPENSES	FR0026	HUSAR-PROVINCE	5541	Service Stations (with or without Ancill	FUEL - FEMA SESSION
FIRE SERVICES	5272-4	2019-06-06	2019-06-06	LASSUS  565   45010162	60.27	CAD	43.99	USD	4230	BUSINESS TRAV - OTHER EXPENSES	FR0026	HUSAR-PROVINCE	5542	"Fuel Dispenser, Automated"	FUEL - FEMA SESSION
FIRE SERVICES	5272-5	2019-06-06	2019-06-06	ONROUTE #01160	48.01	CAD	48.01	CAD	4230	BUSINESS TRAV - OTHER EXPENSES	FR0026	HUSAR-PROVINCE	5542	"Fuel Dispenser, Automated"	FUEL - FEMA SESSION
					324.19	CAD	124.60	CAD							
							144.96	USD							
SOLID WASTE MANAGEMENT	5277-1	2019-06-13	2019-06-13	PETROCAN	57.52	CAD	57.52	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5287-2	2019-06-27	2019-06-27	PETROCAN	63.20	CAD	63.20	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE CITY USE
					120.72	CAD	120.72	CAD							
"PARKS, FORESTRY & RECREATION"	5270-4	2019-06-03	2019-06-05	PACIFIC FASTENERS (198	58.56	CAD	58.56	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5251	Hardware Stores	FASTENERS
"PARKS, FORESTRY & RECREATION"	5273-1	2019-06-07	2019-06-07	THE HOME DEPOT #7011	566.06	CAD	566.06	CAD	3080	M & E - HAND TOOLS	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5200	Home Supply Warehouse	**MORE**  M18BL2KIT
"PARKS, FORESTRY & RECREATION"	5273-2	2019-06-07	2019-06-07	THE HOME DEPOT #7080	20.27	CAD	20.27	CAD	2710	GENERAL HARDWARE	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5200	Home Supply Warehouse	**MORE**  5MIN. EPOXY
"PARKS, FORESTRY & RECREATION"	5274-1	2019-06-10	2019-06-10	JJ DOWNS INDUSTRIAL	"1,051.28"	CAD	"1,051.28"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	POLY TANK
"PARKS, FORESTRY & RECREATION"	5274-2	2019-06-10	2019-06-10	JJ DOWNS INDUSTRIAL	49.47	CAD	49.47	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	PIPE AND FITTINGS
"PARKS, FORESTRY & RECREATION"	5275-1	2019-06-11	2019-06-11	WATER AND ICE NORTH AM	971.53	CAD	971.53	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	PUMP
"PARKS, FORESTRY & RECREATION"	5276-1	2019-06-11	2019-06-12	THE HOME DEPOT #7011	-190.97	CAD	-190.97	CAD	3080	M & E - HAND TOOLS	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5200	Home Supply Warehouse	M18TRUHPFLD
"PARKS, FORESTRY & RECREATION"	5278-1	2019-06-13	2019-06-14	PACIFIC FASTENERS (198	16.20	CAD	16.20	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5251	Hardware Stores	FASTENES
"PARKS, FORESTRY & RECREATION"	5280-2	2019-06-18	2019-06-18	WATER AND ICE NORTH AM	"1,248.65"	CAD	"1,248.65"	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	MURATIC ACID
"PARKS, FORESTRY & RECREATION"	5280-3	2019-06-17	2019-06-18	CDN TIRE STORE #00070	44.04	CAD	44.04	CAD	3080	M & E - HAND TOOLS	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5200	Home Supply Warehouse	GREASE GUN AND SUNDRIES
"PARKS, FORESTRY & RECREATION"	5282-1	2019-06-20	2019-06-20	WATER AND ICE NORTH AM	135.74	CAD	135.74	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	IF BALL
"PARKS, FORESTRY & RECREATION"	5287-3	2019-06-27	2019-06-27	WATER AND ICE NORTH AM	891.57	CAD	891.57	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	TRIMMER PLATE
					"4,862.40"	CAD	"4,862.40"	CAD							
"PARKS, FORESTRY & RECREATION"	5269-1	2019-06-04	2019-06-04	COSTCO WHOLESALE W547	627.31	CAD	627.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5300	Wholesale Clubs	"EVENT SUPPLIES - CUTLERY, SODA, JUICE, HYDRAFRUITS, CRACKERS"
"PARKS, FORESTRY & RECREATION"	5269-2	2019-06-04	2019-06-04	COSTCO WHOLESALE W547	460.07	CAD	460.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5300	Wholesale Clubs	"EVENT SUPPLIES - BURGERS, CKN BREAST, KETCHUP"
"PARKS, FORESTRY & RECREATION"	5269-3	2019-06-04	2019-06-04	COSTCO WHOLESALE W547	817.79	CAD	817.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5300	Wholesale Clubs	"EVENT SUPPLIES - CRACKERS, CREAMERS, MILK, JUICE"
"PARKS, FORESTRY & RECREATION"	5272-6	2019-06-07	2019-06-07	PARTY CITY #2801	539.71	CAD	539.71	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5999	Miscellaneous and Specialty Retail Store	SPECIAL EVENT SUPPLIES
"PARKS, FORESTRY & RECREATION"	5272-7	2019-06-07	2019-06-07	STAPLES STORE #39	140.46	CAD	140.46	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5943	"Office, School Supply, and Stationery St"	SPECIAL EVENT MATERIALS
"PARKS, FORESTRY & RECREATION"	5273-3	2019-06-08	2019-06-08	DOLLARAMA # 523	36.78	CAD	36.78	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5310	Discount Stores	SPECIAL EVENT SUPPLIES
"PARKS, FORESTRY & RECREATION"	5273-4	2019-06-07	2019-06-07	MANHATTAN TROPHIES LIM	64.35	CAD	64.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5941	Sporting Goods Stores	PLAQUES FOR SPECIAL EVENT
"PARKS, FORESTRY & RECREATION"	5273-5	2019-06-08	2019-06-08	PIZZA PIZZA # 29	297.61	CAD	297.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5814	Quick Payment Service - Fast-Food Restau	FOOD FOR SPECIAL EVENT
"PARKS, FORESTRY & RECREATION"	5284-1	2019-06-24	2019-06-24	SQ *SQ *MICHAEL A. AMO	289.38	CAD	289.38	CAD	4102	ENTERTAINER AND BAND FEES	P13495	YORK CC - PRGM SUPPORT CR	7299	Other Services (Not Elsewhere Classified	SPEAKER FOR YOUTH EVENT
"PARKS, FORESTRY & RECREATION"	5285-1	2019-06-25	2019-06-25	METRO #493	52.16	CAD	52.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES
					"3,325.62"	CAD	"3,325.62"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5277-2	2019-06-13	2019-06-13	PAYPAL *ABALEADESIG	904.00	CAD	904.00	CAD	4085	PROF & TECH-MGMT	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7333	"Commercial Art, Graphics, Photography"	DESIGN FOR TORONTO'S TABLE AND GATSBY GARDEN PARTY
ECONOMIC DEVELOPMENT & CULTURE	5282-2	2019-06-20	2019-06-20	ISTOCK.COM	305.15	CAD	305.15	CAD	4082	PHOTO/VIDEO SERVICES	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7333	"Commercial Art, Graphics, Photography"	PHOTOS FOR MARKETING
					"1,209.15"	CAD	"1,209.15"	CAD							
FLEET SERVICES	5275-2	2019-06-11	2019-06-11	DANATEC.COM	"2,354.92"	CAD	"2,354.92"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	FL4001	FLEET SAFETY & TRAINING	5734	Computer Software Stores	P6 TDG COURSES
FLEET SERVICES	5276-2	2019-06-11	2019-06-12	MTO RUS PRIS	5.00	CAD	5.00	CAD	4991	PAYMENTS TO PROVINCE	FL4001	FLEET SAFETY & TRAINING	9399	Government Services - Not Elsewhere Clas	P6 ABSTRACT ORDER
FLEET SERVICES	5279-1	2019-06-17	2019-06-17	ONTARIO TRUCKING ASSOC	733.15	CAD	733.15	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	FL4001	FLEET SAFETY & TRAINING	8699	"Organizations, Membership - Not Elsewher"	P6 AIRBRAKE COURSES
FLEET SERVICES	5283-1	2019-06-23	2019-06-23	BROOKLIN HOME HARDWARE	55.19	CAD	55.19	CAD	2715	PAINT SUPPLIES	FL4001	FLEET SAFETY & TRAINING	5251	Hardware Stores	P6 PAVEMENT SPRAY PAINT
FLEET SERVICES	5286-1	2019-06-26	2019-06-26	INFRASTRUCTURE H&S ASS	474.60	CAD	474.60	CAD	4760	MEMBERSHIP FEES	FL4001	FLEET SAFETY & TRAINING	5942	Book Stores	P6 FLEET SA CERTIFICATION
FLEET SERVICES	5286-2	2019-06-26	2019-06-26	SHOPPERS DRUG MART #13	25.02	CAD	25.02	CAD	4805	POSTAGE	FL4001	FLEET SAFETY & TRAINING	5912	"Drug Stores, Pharmacies"	P6 COURIER
					"3,647.88"	CAD	"3,647.88"	CAD							
TORONTO WATER	5268-2	2019-06-03	2019-06-03	SHOPPERS DRUG MART #12	12.88	CAD	12.88	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	7399	Business Services - Not Elsewhere Classi	REGISTERED MAIL TO MOL
TORONTO WATER	5279-2	2019-06-17	2019-06-17	SHOPPERS DRUG MART #12	12.88	CAD	12.88	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	7399	Business Services - Not Elsewhere Classi	MAIL
					25.76	CAD	25.76	CAD							
SOLID WASTE MANAGEMENT	5284-3	2019-06-24	2019-06-24	CANADA COMPUTERS #16	135.59	CAD	135.59	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	SW0855	SCARBOROUGH TS SITE MAINTENANCE	5734	Computer Software Stores	NETWORK VIDEO RECORDER
					135.59	CAD	135.59	CAD							
"PARKS, FORESTRY & RECREATION"	5272-9	2019-06-06	2019-06-06	THE HOME DEPOT #7107	73.17	CAD	73.17	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  BOLTS
"PARKS, FORESTRY & RECREATION"	5272-10	2019-06-06	2019-06-06	THE HOME DEPOT #7107	-73.17	CAD	-73.17	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  BOLTS
"PARKS, FORESTRY & RECREATION"	5272-11	2019-06-06	2019-06-06	THE HOME DEPOT #7107	58.62	CAD	58.62	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  BOLT
"PARKS, FORESTRY & RECREATION"	5273-7	2019-06-07	2019-06-07	THE HOME DEPOT #7107	28.23	CAD	28.23	CAD	2665	PROTECTIVE CLOTHING	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	HEAD FACE
"PARKS, FORESTRY & RECREATION"	5284-4	2019-06-24	2019-06-24	VALLEYVIEW GARDENS	54.24	CAD	54.24	CAD	2470	FERTILIZERS	P00272	E-SOUTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	CORN GLUTEN
"PARKS, FORESTRY & RECREATION"	5287-4	2019-06-28	2019-06-28	LOWES #02633*	91.45	CAD	91.45	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  BIG GRIP GARDEN KNIFE
					232.54	CAD	232.54	CAD							
FACILITIES MANAGEMENT	5268-4	2019-06-03	2019-06-03	NOBLE 1017	304.15	CAD	304.15	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61510968	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	PARTS RECEIPT
FACILITIES MANAGEMENT	5272-12	2019-06-07	2019-06-07	APPLIED INDUSTRIAL TEC	65.63	CAD	65.63	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61522226	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	BELTS
FACILITIES MANAGEMENT	5272-13	2019-06-07	2019-06-07	TRANE CANADA ULC/MISSI	105.56	CAD	105.56	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61522226	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	IDLER PULLEY
FACILITIES MANAGEMENT	5272-14	2019-06-06	2019-06-06	APPLIANCE PARTS #36	71.31	CAD	71.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61519061	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	DRYER HI LIMIT SWITCH KIT
FACILITIES MANAGEMENT	5272-15	2019-06-06	2019-06-06	NOBLE 1017	94.43	CAD	94.43	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61510968	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	PIPING
FACILITIES MANAGEMENT	5272-16	2019-06-06	2019-06-06	NOBLE 1017	161.53	CAD	161.53	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61522076	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	PARTS RECEIPT
FACILITIES MANAGEMENT	5274-3	2019-06-10	2019-06-10	THE MASTER GROUP CRANF	34.19	CAD	34.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61522602	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5276-3	2019-06-12	2019-06-12	NOBLE 1017	163.04	CAD	163.04	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61503194	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	PARTS RECEIPT 2
FACILITIES MANAGEMENT	5277-3	2019-06-14	2019-06-14	THE MASTER GROUP CRANF	94.94	CAD	94.94	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61518244	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5277-4	2019-06-14	2019-06-14	THE MASTER GROUP CRANF	152.13	CAD	152.13	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61523196	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5282-3	2019-06-20	2019-06-20	WWG / TOTALINE	654.27	CAD	654.27	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61523196	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	REFRIGERANT R22
FACILITIES MANAGEMENT	5282-4	2019-06-20	2019-06-20	WWG / TOTALINE	254.25	CAD	254.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61522602	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	REFRIGERANT 410A
FACILITIES MANAGEMENT	5282-5	2019-06-20	2019-06-20	NOBLE 1017	39.00	CAD	39.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61522076	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	PARTS 2
FACILITIES MANAGEMENT	5286-3	2019-06-26	2019-06-26	PAUL WOLF ELECTRIC & L	48.54	CAD	48.54	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61524473	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	FUSES
					"2,242.97"	CAD	"2,242.97"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5268-5	2019-06-03	2019-06-03	AMAZON.CA*M67S34FK2	168.37	CAD	168.37	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	4816	Computer Network/Information Services	DEWALT LASER LEVEL
ECONOMIC DEVELOPMENT & CULTURE	5269-4	2019-06-04	2019-06-04	NOFRILLS JOSEPH S 3919	17.65	CAD	17.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5411	"Grocery Stores, Supermarkets"	"COOKIES, CUPS"
ECONOMIC DEVELOPMENT & CULTURE	5272-17	2019-06-07	2019-06-07	GIUST GALLERY	546.20	CAD	398.68	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5971	Art Dealers and Galleries	PLASTER CASTS
ECONOMIC DEVELOPMENT & CULTURE	5272-18	2019-06-07	2019-06-07	PLANES OF THE HEAD	107.33	CAD	78.34	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5970	"Artist Supply Stores, Craft Shops"	EXOTIC HEAD CAST
ECONOMIC DEVELOPMENT & CULTURE	5272-19	2019-06-06	2019-06-06	KID ICARUS	73.45	CAD	73.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5947	"Card, Gift, Novelty, and Souvenir Shops"	SCREEN EXPOSURE
ECONOMIC DEVELOPMENT & CULTURE	5274-4	2019-06-10	2019-06-10	JUNIERSHOP	21.90	CAD	16.09	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5691	Men's and Women's Clothing Stores	PLASTER CAST HEAD
ECONOMIC DEVELOPMENT & CULTURE	5274-5	2019-06-10	2019-06-10	AMAZON.CA*M619825A1	296.05	CAD	296.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	4816	Computer Network/Information Services	RUBBERMAID CART
ECONOMIC DEVELOPMENT & CULTURE	5280-5	2019-06-18	2019-06-18	METRO CRESTING COMPANY	"1,092.71"	CAD	"1,092.71"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	2741	Miscellaneous Publishing and Printing	T-SHIRTS
ECONOMIC DEVELOPMENT & CULTURE	5282-6	2019-06-20	2019-06-20	CAMILLA VALLEY FARM WE	-108.42	CAD	-108.42	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5949	"Fabric, Needlework, Piece Goods, and Sew"	REFUND OF RETURNED ITEM (SWIFT)
ECONOMIC DEVELOPMENT & CULTURE	5282-7	2019-06-21	2019-06-21	DOLLARAMA # 861	14.18	CAD	14.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5310	Discount Stores	TABLECLOTHS
ECONOMIC DEVELOPMENT & CULTURE	5282-8	2019-06-21	2019-06-21	MICHAELS #4930	58.03	CAD	58.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5945	"Game, Toy, and Hobby Shops"	PIPE CLEANERS
ECONOMIC DEVELOPMENT & CULTURE	5282-9	2019-06-21	2019-06-21	TUCKERS POTTERY SUPPLI	48.14	CAD	48.14	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5970	"Artist Supply Stores, Craft Shops"	UNDERGLAZE
ECONOMIC DEVELOPMENT & CULTURE	5283-3	2019-06-21	2019-06-21	WAL-MART # 3113	25.39	CAD	25.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5310	Discount Stores	WHITEBOARD
ECONOMIC DEVELOPMENT & CULTURE	5285-3	2019-06-25	2019-06-25	DOLLARAMA # 555	19.27	CAD	19.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5310	Discount Stores	"TABLECLOTHS, PLASTIC FORKS"
ECONOMIC DEVELOPMENT & CULTURE	5287-5	2019-06-28	2019-06-28	AMZN MKTP CA*MH8P40TF1	109.36	CAD	109.36	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	4816	Computer Network/Information Services	SHRINK FILM
ECONOMIC DEVELOPMENT & CULTURE	5287-6	2019-06-28	2019-06-28	DOLLARAMA # 896	101.19	CAD	101.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5310	Discount Stores	"FRISBEE, NOODLE, SPONGE HULA HOOP"
ECONOMIC DEVELOPMENT & CULTURE	5287-7	2019-06-28	2019-06-28	DOLLARAMA # 896	296.40	CAD	296.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5310	Discount Stores	"LACE, WATER GUN, ROCKS, SKEWERS, FOIL"
ECONOMIC DEVELOPMENT & CULTURE	5287-8	2019-06-28	2019-06-28	THE POTTERY SUPPLY HOU	463.34	CAD	463.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5970	"Artist Supply Stores, Craft Shops"	POTTERY TOOL KITS
					"3,350.54"	CAD	"2,675.11"	CAD							
							493.11	USD							
TORONTO WATER	5294-1	2019-06-18	2019-06-19	THE HOME DEPOT #7013	12.41	CAD	12.41	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	SPRAYER
					12.41	CAD	12.41	CAD							
FIRE SERVICES	5284-5	2019-06-21	2019-06-24	CDN TIRE STORE #00485	152.54	CAD	152.54	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5200	Home Supply Warehouse	VEHICLE BATTERY BOOSTER
					152.54	CAD	152.54	CAD							
"PARKS, FORESTRY & RECREATION"	5282-10	2019-06-21	2019-06-21	AMZN MKTP CA*M634G5K92	93.02	CAD	93.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13592	AFTERSCHOOL RECREATION CARE 2	4816	Computer Network/Information Services	BRAIN GAME BOOKS FOR KIDS
