Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3250-1	2014-11-14	2014-11-17	ROB'S NO FRILLS STORE	44.06	CAD	44.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"BAKING CHOCOLATE, PECANS"	
ECONOMIC DEVELOPMENT & CULTURE	3250-2	2014-11-15	2014-11-17	METRO #742	66.60	CAD	66.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	BUTTER FOR CHRISTMAS BAKIN	
ECONOMIC DEVELOPMENT & CULTURE	3256-2	2014-11-19	2014-11-20	MICHAELS #4910	71.78	CAD	71.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5945	"Game, Toy, and Hobby Shops"	WIRE PADDLES FOR CHRISTMAS WORKSHOPS	
ECONOMIC DEVELOPMENT & CULTURE	3260-1	2014-11-20	2014-11-24	METRO #742	39.96	CAD	39.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	BUTTER FOR CHRISTMAS BAKING	
ECONOMIC DEVELOPMENT & CULTURE	3260-2	2014-11-22	2014-11-24	ROB'S NO FRILLS STORE	26.98	CAD	26.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0075	HS-MH-EDUCATION/OUTRCH-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MOLASSES AND BUTTER FOR BAKING	
ECONOMIC DEVELOPMENT & CULTURE	3264-1	2014-11-25	2014-11-26	ROB'S NO FRILLS STORE	14.23	CAD	14.23	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MOLASSES	
					279.55	CAD	279.55	CAD								
"PARKS, FORESTRY & RECREATION"	3243-1	2014-11-09	2014-11-12	PAPERBOY CARDS  GIFTS	36.15	CAD	36.15	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10446	MASARYK COWAN-PRGM SUPPORT	5947	"Card, Gift, Novelty, and Souvenir Shops"	2015 DAY PLANNER	
					36.15	CAD	36.15	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3237-3	2014-11-04	2014-11-06	TORONTO CASH   CARRY	63.84	CAD	63.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHOLE GINER, NUTMEG"	
ECONOMIC DEVELOPMENT & CULTURE	3240-1	2014-11-05	2014-11-07	CDN TIRE STORE #00273	45.14	CAD	45.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5200	Home Supply Warehouse	CANNING JARS FOR JAM	
ECONOMIC DEVELOPMENT & CULTURE	3242-3	2014-11-07	2014-11-10	SOBEYS 938        QPS	53.21	CAD	53.21	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BREAD, MILK, BUTTER AND SANITIZING CLEANER"	
ECONOMIC DEVELOPMENT & CULTURE	3243-2	2014-11-10	2014-11-12	METRO #720	61.82	CAD	61.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CREAM, MILK, APPLES AND NAPKINS"	
ECONOMIC DEVELOPMENT & CULTURE	3243-3	2014-11-11	2014-11-12	TIM HORTONS 4275 QTH	248.49	CAD	248.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5814	Quick Payment Service - Fast-Food Restau	COOKIES AND DOUGHNUTS FOR REMEMBRANCE DAY	
ECONOMIC DEVELOPMENT & CULTURE	3243-4	2014-11-10	2014-11-12	CDN TIRE STORE #00273	73.13	CAD	73.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5200	Home Supply Warehouse	STORAGE BINS	
ECONOMIC DEVELOPMENT & CULTURE	3248-1	2014-11-13	2014-11-14	FRIES INC	126.22	CAD	126.22	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7623	Air Conditioning and Refrigeration Repai	INSPECTON OF REFRIGERATOR AND CANTEEN FOR REPAIR	
ECONOMIC DEVELOPMENT & CULTURE	3250-3	2014-11-14	2014-11-17	METRO #720	122.50	CAD	122.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"ORANGE JUICE, COFFEE, BUTTER, MILK, MADE AND BREAD"	
ECONOMIC DEVELOPMENT & CULTURE	3256-3	2014-11-19	2014-11-20	KITCHEN STUFF PLUS #12	50.82	CAD	50.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	SCISSORS AND MIXING BOWLS FOR KITCHEN	
ECONOMIC DEVELOPMENT & CULTURE	3256-4	2014-11-19	2014-11-20	BULK BARN	66.28	CAD	66.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CURRANTS, ALMONDS, COLOURED SUGAR, MAPLE SYRUP"	
ECONOMIC DEVELOPMENT & CULTURE	3260-3	2014-11-21	2014-11-24	METRO #720	152.31	CAD	152.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"ORANGE JUICE, COFFEE, BUTTER, MILK, EGG WHITES"	
ECONOMIC DEVELOPMENT & CULTURE	3264-2	2014-11-25	2014-11-26	FRESHCO 9841	34.57	CAD	34.57	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"EGG WHITES, STORAGE CONTAINERS"	
					"1,098.33"	CAD	"1,098.33"	CAD								
AFFORDABLE HOUSING OFFICE	3229-3	2014-11-03	2014-11-04	LORD ELGIN HOTEL	444.16	CAD	444.16	CAD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	7011	"Lodging - Hotels, Motels, Resorts - Not"	HOTEL ACCOMODATION	
AFFORDABLE HOUSING OFFICE	3243-5	2014-11-07	2014-11-12	PORTER AI	219.22	CAD	219.22	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	4511	"Air Carriers, Airlines - Not Elsewhere C"	TRAVEL FOR CONFERENCE	
AFFORDABLE HOUSING OFFICE	3253-2	2014-11-17	2014-11-19	LORD ELGIN HOTEL	-444.16	CAD	-444.16	CAD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	7011	"Lodging - Hotels, Motels, Resorts - Not"	ERROR IN CHARGES	
AFFORDABLE HOUSING OFFICE	3253-3	2014-11-17	2014-11-19	LORD ELGIN HOTEL	444.16	CAD	444.16	CAD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	7011	"Lodging - Hotels, Motels, Resorts - Not"	ERROR IN CHARGES	
AFFORDABLE HOUSING OFFICE	3265-2	2014-11-25	2014-11-27	ONTARIO NON-PROFIT HOU	56.50	CAD	56.50	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	BANQUET TICKET-ONPHA CONFERENCE	
					719.88	CAD	719.88	CAD								
TRANSPORTATION SERVICES 	3246-1	2014-11-12	2014-11-13	INTERNATIONAL MUNICIPA	87.08	CAD	75.00	USD	4760	MEMBERSHIP FEES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	8299	Educational Services	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3257-1	2014-11-20	2014-11-21	PAYPAL *TWEETYMAIL	5.84	CAD	5.84	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3257-2	2014-11-20	2014-11-21	PAYPAL *TWEETYMAIL	5.84	CAD	5.84	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3257-3	2014-11-20	2014-11-21	PAYPAL *TWEETYMAIL	5.84	CAD	5.84	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3257-4	2014-11-20	2014-11-21	PAYPAL *TWEETYMAIL	5.84	CAD	5.84	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					110.44	CAD	23.36	CAD								
							75.00	USD								
ECONOMIC DEVELOPMENT & CULTURE	3237-4	2014-11-05	2014-11-06	IKEA ETOBICOKE	40.59	CAD	40.59	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5712	"Equipment, Furniture, and Home Furnishin"	COAT HANGERS AND STORAGE BOXES	
ECONOMIC DEVELOPMENT & CULTURE	3246-2	2014-11-12	2014-11-13	PAYPAL *ISRAELBOOKG	53.25	CAD	53.25	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5942	Book Stores	"CHANNUKA TABLE DECORATION, MENORAH, DREIDEL"	
ECONOMIC DEVELOPMENT & CULTURE	3250-4	2014-11-14	2014-11-17	SETON	185.26	CAD	185.26	CAD	2665	PROTECTIVE CLOTHING	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5099	Durable Goods Not Elsewhere Classified	SAFETY HARNESS FOR GENIE FIT	
ECONOMIC DEVELOPMENT & CULTURE	3269-3	2014-11-26	2014-11-28	PIZZAIOLO	70.76	CAD	70.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5814	Quick Payment Service - Fast-Food Restau	PIZZA FOR PROGRAMS	
					349.86	CAD	349.86	CAD								
PUBLIC HEALTH	3237-5	2014-11-05	2014-11-06	HILTON HOTELS	-318.69	CAD	-272.66	USD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	PH3614	SCHOOL AGED CHILDREN	3504	Hilton Hotels	CONFERENCES/SEMINARS - ACCOMMODATION	
PUBLIC HEALTH	3248-2	2014-11-13	2014-11-14	AEROPORTTAXI  LIMOUSIN	42.90	CAD	42.90	CAD	4254	CONFERENCES/SEMINARS - GROUND TRANSPT	PH3614	SCHOOL AGED CHILDREN	4121	Limousines and Taxicabs	CONFERENCES/SEMINARS - GROUND TRANSP	
PUBLIC HEALTH	3250-5	2014-11-13	2014-11-17	AMERICAN 0010275561594	25.00	CAD	25.00	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	PH3614	SCHOOL AGED CHILDREN	3001	American Airlines	CONFERENCES/SEMINARS - AIR/RAIL/BUS	
PUBLIC HEALTH	3250-6	2014-11-13	2014-11-17	AMERICAN 0010657024982	1.25	CAD	1.25	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	PH3614	SCHOOL AGED CHILDREN	3001	American Airlines	CONFERENCES/SEMINARS - AIR/RAIL/BUS	
PUBLIC HEALTH	3250-7	2014-11-14	2014-11-17	N.O. ELITE 1485	42.24	CAD	36.30	USD	4254	CONFERENCES/SEMINARS - GROUND TRANSPT	PH3614	SCHOOL AGED CHILDREN	4121	Limousines and Taxicabs	**MORE**  MERCHANDISE	
PUBLIC HEALTH	3250-8	2014-11-14	2014-11-17	HILTON HOTELS	212.62	CAD	183.72	USD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	PH3614	SCHOOL AGED CHILDREN	3504	Hilton Hotels	CONFERENCES/SEMINARS - ACCOMMODATION	
PUBLIC HEALTH	3250-9	2014-11-16	2014-11-17	APHA ANNUAL MEETING	28.93	CAD	25.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3614	SCHOOL AGED CHILDREN	8641	"Associations - Civic, Social, and Frater"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3257-5	2014-11-19	2014-11-21	HILTON HOTELS	"1,262.20"	CAD	"1,090.64"	USD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	PH3614	SCHOOL AGED CHILDREN	3504	Hilton Hotels	CONFERENCES/SEMINARS - ACCOMMODATION	
PUBLIC HEALTH	3257-6	2014-11-19	2014-11-21	AIR CAN	28.93	CAD	25.00	USD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	PH3614	SCHOOL AGED CHILDREN	3009	Air Canada	CONFERENCES/SEMINARS - AIR/RAIL/BUS	
PUBLIC HEALTH	3260-4	2014-11-22	2014-11-24	HILTON HOTELS	-211.79	CAD	-183.72	USD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	PH3614	SCHOOL AGED CHILDREN	3504	Hilton Hotels	CONFERENCES/SEMINARS - ACCOMMODATION	
					"1,113.59"	CAD	69.15	CAD								
							904.28	USD								
"PARKS, FORESTRY & RECREATION"	3243-6	2014-11-11	2014-11-12	JILL JENSEN BOTANICAL	439.34	CAD	439.34	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00114	CENTENNIAL-PLANT PRODUCTION	5193	"Florists Supplies, Nursery Stock, and Fl"	6 TRAYS OF CELL PACK 72 (GREEN ENGLISH)	
					439.34	CAD	439.34	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3237-6	2014-11-05	2014-11-06	PARAGON INDUSTRIAL PHO	42.94	CAD	42.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	7221	Photographic Studios	LASER COLOR PHOTO PRINTING	
ECONOMIC DEVELOPMENT & CULTURE	3243-7	2014-11-09	2014-11-12	THE HOME DEPOT #7107	10.34	CAD	10.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5200	Home Supply Warehouse	"**MORE**  HDX 2"" FOAM"	
					53.28	CAD	53.28	CAD								
TORONTO WATER	3228-2	2014-10-30	2014-11-03	MOE-HWIN WEB	31.32	CAD	31.32	CAD	4830	PERMIT & LICENSE FEES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	9399	Government Services - Not Elsewhere Clas		
					31.32	CAD	31.32	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3229-4	2014-11-03	2014-11-04	LEE VALLEY TOOLS 800-2	32.72	CAD	32.72	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	"HACK SAW, MEASURES"	
ECONOMIC DEVELOPMENT & CULTURE	3260-5	2014-11-21	2014-11-24	TORONTO IMAGE WORKS	131.40	CAD	131.40	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5970	"Artist Supply Stores, Craft Shops"	PRINTS AND SCANS	
ECONOMIC DEVELOPMENT & CULTURE	3262-1	2014-11-24	2014-11-25	TENAQUIP LIMITEE	199.60	CAD	199.60	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5085	Industrial Supplies Not Elsewhere Classi	PARADE GLOVES	
					363.72	CAD	363.72	CAD								
"PARKS, FORESTRY & RECREATION"	3240-2	2014-11-06	2014-11-07	CANADA CURLING STONE C	195.66	CAD	195.66	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12542	EAST YORK CURLING-SPEC FACILITIES-OPS	5941	Sporting Goods Stores	HACK PINS - ICE KING RESURFACER	
"PARKS, FORESTRY & RECREATION"	3256-5	2014-11-18	2014-11-20	THE HOME DEPOT #7012	48.86	CAD	48.86	CAD	3420	COMPUTERS - SOFTWARE	P12542	EAST YORK CURLING-SPEC FACILITIES-OPS	5200	Home Supply Warehouse	**MORE**  ENTRY BALLPB	
					244.52	CAD	244.52	CAD								
EMERGENCY MEDICAL SERVICES	3252-1	2014-11-18	2014-11-18	ALLIED ELECTRONICS INC	116.77	CAD	116.77	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5969	Direct Marketing - Other Direct Marketer	**MORE**  VWKP012D	
					116.77	CAD	116.77	CAD								
"PARKS, FORESTRY & RECREATION"	3257-7	2014-11-19	2014-11-21	MISTER SAFETY SHOES IN	50.75	CAD	50.75	CAD	2665	PROTECTIVE CLOTHING	P00170	PARKS SUPP - SC	5661	Shoe Stores	SAFETY GLOVES	
					50.75	CAD	50.75	CAD								
TRANSPORTATION SERVICES 	3228-3	2014-10-31	2014-11-03	STAPLES STORE #127	"1,069.43"	CAD	"1,069.43"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0219	ROADWAY MANAGEMENT & OVERHEAD-D4	5943	"Office, School Supply, and Stationery St"	OFFICE SUPPLIES FOR STAFF WINTER TRAINING	
TRANSPORTATION SERVICES 	3257-8	2014-11-20	2014-11-21	PROJECTOR LAMPS CANADA	605.76	CAD	605.76	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0219	ROADWAY MANAGEMENT & OVERHEAD-D4	5044	"Office, Photographic, Photocopy, and Mic"	OFFICE SUPPLIES FOR TRAINING	
					"1,675.19"	CAD	"1,675.19"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3260-6	2014-11-22	2014-11-24	CAPRIS.COM 905-507-815	"1,661.08"	CAD	"1,661.08"	CAD	4085	PROF & TECH-MGMT	AH0088	HS-MH-PROGRAM SUPPORT-METRO HALL	8999	Professional Services - Not Elsewhere Cl	ANNUAL WEBSITE HOSTING	
					"1,661.08"	CAD	"1,661.08"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3250-10	2014-11-13	2014-11-17	CDN TIRE STORE #00654	69.04	CAD	69.04	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	AH0093	HS-MH-PROGRAM SUPPORT-COLBORNE L	5200	Home Supply Warehouse	STORAGE BOXES	
					69.04	CAD	69.04	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3269-4	2014-11-16	2014-11-28	ROYAL AGRICULTURAL WIN	52.37	CAD	52.37	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0070	HS-MH-EDUCATION/OUTRCH-GIBSON HOU	8398	"Organizations, Charitable and Social Ser"	WOOL FLEECE	
					52.37	CAD	52.37	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3236-1	2014-11-04	2014-11-05	CHART COMMUNICATIONS I	"4,520.00"	CAD	"4,520.00"	CAD	4414	ADVERTISING & PROMOTION	ED0150	EDC MARKETING TACTICS	7338	"Quick Copy, Reproduction, and Blueprinti"	ADVERTISING	
ECONOMIC DEVELOPMENT & CULTURE	3240-3	2014-11-06	2014-11-07	ECONOMIC DEVELOPERS	158.20	CAD	158.20	CAD	4414	ADVERTISING & PROMOTION	ED0150	EDC MARKETING TACTICS	8699	"Organizations, Membership - Not Elsewher"	MARKETING AWARD SUBMISSION	
ECONOMIC DEVELOPMENT & CULTURE	3242-4	2014-11-06	2014-11-10	ECONOMIC DEVELOPERS	79.10	CAD	79.10	CAD	4414	ADVERTISING & PROMOTION	ED0150	EDC MARKETING TACTICS	8699	"Organizations, Membership - Not Elsewher"	MARKETING AWARD SUBMISSION	
ECONOMIC DEVELOPMENT & CULTURE	3243-8	2014-11-10	2014-11-12	BIG MAGAZINES LP	"2,542.50"	CAD	"2,542.50"	CAD	4414	ADVERTISING & PROMOTION	ED0150	EDC MARKETING TACTICS	2741	Miscellaneous Publishing and Printing	ADVERTISING	
ECONOMIC DEVELOPMENT & CULTURE	3243-9	2014-11-10	2014-11-12	BIG MAGAZINES LP	"6,602.04"	CAD	"6,602.04"	CAD	4414	ADVERTISING & PROMOTION	ED0150	EDC MARKETING TACTICS	2741	Miscellaneous Publishing and Printing	ADVERTISING	
					"13,901.84"	CAD	"13,901.84"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3257-9	2014-11-20	2014-11-21	LOBLAWS #1212	78.66	CAD	78.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5411	"Grocery Stores, Supermarkets"	"FLOUR, MINCE MEAT, ICING SUGAR, SPRINKLES, ETC."	
					78.66	CAD	78.66	CAD								
"PARKS, FORESTRY & RECREATION"	3248-3	2014-11-12	2014-11-14	CDN TIRE STORE #00192	72.31	CAD	72.31	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	SPACE HEATER	
"PARKS, FORESTRY & RECREATION"	3265-3	2014-11-24	2014-11-27	THE PRINTING DEPOT	674.61	CAD	674.61	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	P07646	DON VALLEY-OPERATIONS	7338	"Quick Copy, Reproduction, and Blueprinti"	TROPHY NAME PLATE	
					746.92	CAD	746.92	CAD								
LONG TERM CARE HOMES	3236-2	2014-11-04	2014-11-05	COMPEX VISUAL COMMUNIC	452.17	CAD	452.17	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A031	BENDALE ACRES-FN-OA	7338	"Quick Copy, Reproduction, and Blueprinti"	MENU BOARDS	
