Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2933-1	2014-03-27	2014-03-28	LOBLAWS #1001	19.96	CAD	19.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROG	
					652.50	CAD	652.50	CAD								
"PARKS, FORESTRY & RECREATION"	2900-1	2014-02-26	2014-03-03	CTF SUPPLY (11)	44.07	CAD	44.07	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5085	Industrial Supplies Not Elsewhere Classi	"WASHERS, NUTS"	
"PARKS, FORESTRY & RECREATION"	2900-2	2014-02-26	2014-03-03	WOLSELEY MECHANICAL	28.35	CAD	28.35	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	1711	"Air Conditioning, Heating, and Plumbing"	TOP BEAM CLAMPS	
"PARKS, FORESTRY & RECREATION"	2905-2	2014-03-03	2014-03-05	MR METAL(ETOBICOKE) IN	118.47	CAD	118.47	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	PIPES	
"PARKS, FORESTRY & RECREATION"	2905-3	2014-03-03	2014-03-05	MR METAL(ETOBICOKE) IN	15.14	CAD	15.14	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	HR ANGLE	
"PARKS, FORESTRY & RECREATION"	2910-4	2014-03-06	2014-03-10	PRAXAIR #756	87.80	CAD	87.80	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	7692	Welding Repair	CABLE CONNECTOR	
"PARKS, FORESTRY & RECREATION"	2925-2	2014-03-19	2014-03-21	THE HOME DEPOT #7080	72.73	CAD	72.73	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  GALVAN SPRY	
"PARKS, FORESTRY & RECREATION"	2928-1	2014-03-21	2014-03-25	MR METAL(ETOBICOKE) IN	163.13	CAD	163.13	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	PIPING	
"PARKS, FORESTRY & RECREATION"	2931-1	2014-03-25	2014-03-26	ATLAS MACHINERY SUPPLY	79.94	CAD	79.94	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5251	Hardware Stores	DRILLING HAMMER	
"PARKS, FORESTRY & RECREATION"	2936-1	2014-03-24	2014-03-31	PACIFIC FASTENERS (198	50.62	CAD	50.62	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5251	Hardware Stores	"BOLTS, HOSE CLAMP"	
					660.25	CAD	660.25	CAD								
"PARKS, FORESTRY & RECREATION"	2925-3	2014-03-19	2014-03-21	SCP	159.90	CAD	159.90	CAD	2535	PLUMBING SUPPLIES	P07698	FLEMINGDON RC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	CYCOLAC LADDER TREAD	
"PARKS, FORESTRY & RECREATION"	2932-2	2014-03-25	2014-03-27	SP S COMM SWIMMING POO	967.73	CAD	967.73	CAD	2535	PLUMBING SUPPLIES	P07659	DOUGLAS SNOW-OPERATIONS	5996	Swimming Pools - Sales and Supplies	CHEMICAL TANK & PUMP	
"PARKS, FORESTRY & RECREATION"	2932-3	2014-03-25	2014-03-27	SP S COMM SWIMMING POO	967.73	CAD	967.73	CAD	2535	PLUMBING SUPPLIES	P07659	DOUGLAS SNOW-OPERATIONS	5996	Swimming Pools - Sales and Supplies	CHEMICAL TANK & PUMP	
"PARKS, FORESTRY & RECREATION"	2932-4	2014-03-25	2014-03-27	SP S COMM SWIMMING POO	503.98	CAD	503.98	CAD	2535	PLUMBING SUPPLIES	P07659	DOUGLAS SNOW-OPERATIONS	5996	Swimming Pools - Sales and Supplies	CONTAINMENT TANK	
					"2,599.34"	CAD	"2,599.34"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2912-1	2014-03-10	2014-03-11	NOFRILLS ROCCA'S #3931	14.77	CAD	14.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"RAISINS, BROWN SUGAR, ALMONDS"	
ECONOMIC DEVELOPMENT & CULTURE	2913-5	2014-03-10	2014-03-12	TORONTO CASH   CARRY	37.90	CAD	37.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHOLE GINGER, NUTMEG, ALLSPICE, CUMIN, CINNAMON"	
ECONOMIC DEVELOPMENT & CULTURE	2924-1	2014-03-19	2014-03-20	PLACEWARES	566.13	CAD	566.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5719	Miscellaneous House Furnishing Specialty	"PUDDING BASINS, MIXING BOWLS, SKEWERS, DIGITAL THE"	
ECONOMIC DEVELOPMENT & CULTURE	2924-2	2014-03-19	2014-03-20	ST. LAWRENCE UPPERCUT	101.00	CAD	101.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5422	"Freezer, Locker Meat Provisioners"	"PORK ROAST, ROAST BEEF, LAMB CHOPS"	
ECONOMIC DEVELOPMENT & CULTURE	2924-3	2014-03-19	2014-03-20	FRESHCO #9841	23.81	CAD	23.81	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"GARLIC, SHALLOTS / PLASTIC CONTAINERS"	
					743.61	CAD	743.61	CAD								
AFFORDABLE HOUSING OFFICE	2900-3	2014-02-27	2014-03-03	CHRA	703.50	CAD	703.50	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	CHRA REGISTRATION	
AFFORDABLE HOUSING OFFICE	2900-4	2014-02-27	2014-03-03	CHRA	624.75	CAD	624.75	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	CHRA REGISTRATION	
AFFORDABLE HOUSING OFFICE	2907-3	2014-03-04	2014-03-06	YMCA GREATER -JOHN ST	31.64	CAD	31.64	CAD	4995	OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"		
AFFORDABLE HOUSING OFFICE	2917-2	2014-03-13	2014-03-14	CHRA	420.00	CAD	420.00	CAD	4995	OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"		
AFFORDABLE HOUSING OFFICE	2918-1	2014-03-14	2014-03-17	TRANS CANADA STAMP INC	35.82	CAD	35.82	CAD	4995	OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5972	Stamp and Coin Stores - Philatelic and N		
AFFORDABLE HOUSING OFFICE	2924-4	2014-03-18	2014-03-20	YMCA GREATER -JOHN ST	33.85	CAD	33.85	CAD	4995	OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"		
AFFORDABLE HOUSING OFFICE	2931-2	2014-03-25	2014-03-26	GES CANADA - EDMONTON	259.88	CAD	259.88	CAD	4995	OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	7399	Business Services - Not Elsewhere Classi	BUSINESS SERVICES - NOT ELSEWHERE CLASSI	
AFFORDABLE HOUSING OFFICE	2932-5	2014-03-25	2014-03-27	YMCA GREATER -JOHN ST	32.15	CAD	32.15	CAD	4995	OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"		
					"2,141.59"	CAD	"2,141.59"	CAD								
TRANSPORTATION SERVICES 	2918-2	2014-03-11	2014-03-17	GILMORE	459.41	CAD	459.41	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TP0204	TRANSPORTATION SIGN SHOP OPERATION	2741	Miscellaneous Publishing and Printing	Q	
TRANSPORTATION SERVICES 	2927-2	2014-03-20	2014-03-24	PAYPAL *TWEETYMAIL	5.78	CAD	5.78	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	PAYPAL PAYMENT FOR TWITTER ACCOUNT OWNED BY UTCS	
TRANSPORTATION SERVICES 	2927-3	2014-03-20	2014-03-24	PAYPAL *TWEETYMAIL	5.78	CAD	5.78	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	PAYPAL PAYMENT FOR TWITTER ACCOUNT OWNED BY UTCS	
TRANSPORTATION SERVICES 	2927-4	2014-03-20	2014-03-24	PAYPAL *TWEETYMAIL	5.78	CAD	5.78	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	PAYPAL PAYMENT FOR TWITTER ACCOUNT OWNED BY UTCS	
TRANSPORTATION SERVICES 	2927-5	2014-03-20	2014-03-24	PAYPAL *TWEETYMAIL	5.78	CAD	5.78	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	PAYPAL PAYMENT FOR TWITTER ACCOUNT OWNED BY UTCS	
					482.53	CAD	482.53	CAD								
"PARKS, FORESTRY & RECREATION"	2925-4	2014-03-20	2014-03-21	GLOBALINDUSTRIALCANDA	594.72	CAD	594.72	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	BIKE RACKS & ANCHORS	
"PARKS, FORESTRY & RECREATION"	2931-3	2014-03-25	2014-03-26	GLOBALINDUSTRIALCANDA	311.80	CAD	311.80	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5085	Industrial Supplies Not Elsewhere Classi	LOBBY BROOM	
"PARKS, FORESTRY & RECREATION"	2933-2	2014-03-26	2014-03-28	RONA # 55140	69.18	CAD	69.18	CAD	2715	PAINT SUPPLIES	P00152	C-WATERFRONT3-TURF&HORT	5251	Hardware Stores	PAINT	
					975.70	CAD	975.70	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2910-5	2014-03-05	2014-03-10	MODERN LAUNDRY	90.40	CAD	90.40	CAD	4419	LAUNDRY SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7216	Dry Cleaners	WASH & FOLD TABLECLOTHS	
ECONOMIC DEVELOPMENT & CULTURE	2910-6	2014-03-07	2014-03-10	WHITES DIGITAL SALES A	76.84	CAD	76.84	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7394	"Equipment Rental and Leasing Services, F"	SHURE MICROPHONE CLIPS	
ECONOMIC DEVELOPMENT & CULTURE	2912-2	2014-03-10	2014-03-11	ABOVEGROUND ENTERPRISE	122.99	CAD	122.99	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7333	"Commercial Art, Graphics, Photography"	SILK SCREENING EQUIPMENT AND PAINT	
ECONOMIC DEVELOPMENT & CULTURE	2912-3	2014-03-10	2014-03-11	TIGERDIRECT.CA	38.58	CAD	38.58	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5964	Direct Marketing - Catalog Merchants	FLASHLIGHT & ADAPTER	
ECONOMIC DEVELOPMENT & CULTURE	2913-6	2014-03-11	2014-03-12	TIGERDIRECT.CA	38.88	CAD	38.88	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5964	Direct Marketing - Catalog Merchants	VIDEO & AUDIO ADAPTERS	
ECONOMIC DEVELOPMENT & CULTURE	2916-2	2014-03-11	2014-03-13	PAYPAL *HENRYS	39.48	CAD	39.48	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5946	Camera and Photographic Supply Stores	LAPTOP CASE	
ECONOMIC DEVELOPMENT & CULTURE	2918-3	2014-03-14	2014-03-17	CREATIVE BAG TORONTO	87.58	CAD	87.58	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5970	"Artist Supply Stores, Craft Shops"	CLOTH TOTE BAGS	
ECONOMIC DEVELOPMENT & CULTURE	2932-6	2014-03-26	2014-03-27	LOBLAWS 154 3	11.04	CAD	11.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	COOKIES	
ECONOMIC DEVELOPMENT & CULTURE	2936-2	2014-03-28	2014-03-31	FLOWERS AND MORE	44.14	CAD	44.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5992	Florists	BRITISH COOKIES & PRODUCTS	
					549.93	CAD	549.93	CAD								
"PARKS, FORESTRY & RECREATION"	2916-3	2014-03-11	2014-03-13	SHOPPERSDRUGMART0959	101.00	CAD	101.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P04944	OURLAND CC-HOLIDAY CAMPS	5912	"Drug Stores, Pharmacies"	TTC TICKETS	
"PARKS, FORESTRY & RECREATION"	2916-4	2014-03-11	2014-03-13	SHOPPERSDRUGMART0959	24.00	CAD	24.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P04944	OURLAND CC-HOLIDAY CAMPS	5912	"Drug Stores, Pharmacies"	TTC TICKETS	
"PARKS, FORESTRY & RECREATION"	2916-5	2014-03-11	2014-03-13	SHOPPERSDRUGMART0959	-74.00	CAD	-74.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P04944	OURLAND CC-HOLIDAY CAMPS	5912	"Drug Stores, Pharmacies"	TTC TICKETS RET'D FOR CREDIT	
					51.00	CAD	51.00	CAD								
SOLID WASTE MANAGEMENT	2908-3	2014-03-05	2014-03-07	THE HOME DEPOT #7114	137.28	CAD	137.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	**MORE**  BLADES	
SOLID WASTE MANAGEMENT	2918-4	2014-03-13	2014-03-17	THE HOME DEPOT #7114	32.68	CAD	32.68	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	**MORE**  17L BUCKET	
SOLID WASTE MANAGEMENT	2918-5	2014-03-15	2014-03-17	THE HOME DEPOT #7114	15.81	CAD	15.81	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	7LB GROUT	
SOLID WASTE MANAGEMENT	2924-5	2014-03-18	2014-03-20	THE HOME DEPOT #7078	21.08	CAD	21.08	CAD	2535	PLUMBING SUPPLIES	SW0825	DUFFERIN TS OPERATIONS	5200	Home Supply Warehouse	11KG S/R 20	
SOLID WASTE MANAGEMENT	2925-5	2014-03-19	2014-03-21	THE HOME DEPOT #7078	32.03	CAD	32.03	CAD	2535	PLUMBING SUPPLIES	SW0825	DUFFERIN TS OPERATIONS	5200	Home Supply Warehouse	**MORE**  PVA PRIMR 1G	
SOLID WASTE MANAGEMENT	2927-6	2014-03-21	2014-03-24	THE HOME DEPOT #7078	76.79	CAD	76.79	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0825	DUFFERIN TS OPERATIONS	5200	Home Supply Warehouse	**MORE**  17L BUCKET	
SOLID WASTE MANAGEMENT	2931-4	2014-03-24	2014-03-26	THE HOME DEPOT #7078	260.35	CAD	260.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	UNASSIGNED	5200	Home Supply Warehouse	CEILRAN933	
SOLID WASTE MANAGEMENT	2931-5	2014-03-24	2014-03-26	THE HOME DEPOT #7078	195.26	CAD	195.26	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	CEILRAN933	
SOLID WASTE MANAGEMENT	2936-3	2014-03-27	2014-03-31	THE HOME DEPOT #7129	260.35	CAD	260.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	CEILRAN933	
					"1,031.63"	CAD	"1,031.63"	CAD								
"PARKS, FORESTRY & RECREATION"	2900-5	2014-02-28	2014-03-03	SHERIDAN NURSERIES-MIS	38.11	CAD	38.11	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00113	ALLAN GDNS CONS-PLANT PRODUCTION	5261	Lawn and Garden Supply Stores	PLANT MATERIAL	
					38.11	CAD	38.11	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2907-4	2014-03-04	2014-03-06	THE HOME DEPOT #7073	61.61	CAD	61.61	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5200	Home Supply Warehouse	**MORE**  2057ADH946	
ECONOMIC DEVELOPMENT & CULTURE	2908-4	2014-03-06	2014-03-07	LOWES #02640*	70.88	CAD	70.88	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5200	Home Supply Warehouse	"**MORE**  6"" SMOOTH SEAM ROLLER"	
ECONOMIC DEVELOPMENT & CULTURE	2924-6	2014-03-18	2014-03-20	THE HOME DEPOT #7134	34.92	CAD	34.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5200	Home Supply Warehouse	**MORE**  2057ADH946	
ECONOMIC DEVELOPMENT & CULTURE	2932-7	2014-03-25	2014-03-27	THE HOME DEPOT #7134	84.19	CAD	84.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5200	Home Supply Warehouse	**MORE**  2X6X10 SPF	
ECONOMIC DEVELOPMENT & CULTURE	2932-8	2014-03-25	2014-03-27	THE HOME DEPOT #7134	-11.62	CAD	-11.62	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5200	Home Supply Warehouse	2057ADH946	
					239.98	CAD	239.98	CAD								
TORONTO WATER	2931-6	2014-03-24	2014-03-26	BUSINESS DEPOT DIRECT	79.08	CAD	79.08	CAD	4808	NETWORK EQUIPMENT INCLUDING CABLING	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	NETWORK CABLE	
TORONTO WATER	2932-9	2014-03-25	2014-03-27	BUSINESS DEPOT DIRECT	44.93	CAD	44.93	CAD	4808	NETWORK EQUIPMENT INCLUDING CABLING	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	NETWORK CABLE	
					124.01	CAD	124.01	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2907-5	2014-03-04	2014-03-06	TIM HORTONS #2490# QTH	44.70	CAD	44.70	CAD	4116	CATERING SERVICES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5814	Quick Payment Service - Fast-Food Restau	CATERING FOR EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	2910-7	2014-03-06	2014-03-10	ARTIK	347.48	CAD	347.48	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5699	Accessory  and Apparel Stores - Miscella	PROMOTIONAL BUTTONS	
