Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	 G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3302-2	2014-12-19	2014-12-22	AVRON FOODS	935.39	CAD	935.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5199	Nondurable Goods Not Elsewhere Classifie	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3302-3	2014-12-19	2014-12-22	GLOBALINDUSTRIALCANDA	320.99	CAD	320.99	CAD	3320	FIXTURES	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5085	Industrial Supplies Not Elsewhere Classi	PODIUMS	
					"4,733.09"	CAD	"4,733.09"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3285-1	2014-12-08	2014-12-10	JONG YOUNG MARKET	45.20	CAD	45.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	FLORAL FOAM	
ECONOMIC DEVELOPMENT & CULTURE	3288-1	2014-12-10	2014-12-11	ROB'S NO FRILLS STORE	21.08	CAD	21.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	LEMONS AND WALNUTS	
ECONOMIC DEVELOPMENT & CULTURE	3292-1	2014-12-12	2014-12-15	TAP PHONG TRADING CO.	47.12	CAD	47.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5046	Commercial Equipment Not Elsewhere Class	GLASS BOWLS	
ECONOMIC DEVELOPMENT & CULTURE	3292-2	2014-12-13	2014-12-15	LOBLAWS STORE #179	12.34	CAD	12.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	LIDS FOR CANNING JARS	
					125.74	CAD	125.74	CAD								
"PARKS, FORESTRY & RECREATION"	3280-1	2014-12-04	2014-12-05	STAPLES STORE #26	147.69	CAD	147.69	CAD	2650	COMPUTER AND PRINTER SUPPLIES	P10446	MASARYK COWAN-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	ERGONOMIC KEYBOARD AND MOUSE	
"PARKS, FORESTRY & RECREATION"	3294-3	2014-12-15	2014-12-16	PARKDALE HM HDW 1350-8	16.88	CAD	16.88	CAD	2730	LOCKS	P10442	HOLY FAMILY CC-PRGM SUPPORT	5251	Hardware Stores	KEYS	
"PARKS, FORESTRY & RECREATION"	3302-4	2014-12-20	2014-12-22	PARKDALE HM HDW 1350-8	7.88	CAD	7.88	CAD	2710	GENERAL HARDWARE	P10446	MASARYK COWAN-PRGM SUPPORT	5251	Hardware Stores	BATTERIES FOR OFFICE STAPLER/CLOCKS	
"PARKS, FORESTRY & RECREATION"	3302-5	2014-12-21	2014-12-22	MICHAELS #3990	32.75	CAD	32.75	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01896	MASARYK COWAN-ARTS-VISL/PERF	5945	"Game, Toy, and Hobby Shops"	WATERCOLOUR PAPER FOR PAINTING CLASS	
					205.20	CAD	205.20	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3271-3	2014-11-28	2014-12-01	METRO #720	22.29	CAD	22.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BROTH, APPLE AND ORANGE JUICE, BREAD"	
ECONOMIC DEVELOPMENT & CULTURE	3276-1	2014-12-03	2014-12-04	BULK BARN	80.16	CAD	80.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	CURRANTS AND WHOLE ALMONDS	
ECONOMIC DEVELOPMENT & CULTURE	3281-1	2014-12-05	2014-12-08	FRESHCO 9841	26.27	CAD	26.27	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	MOLASSES	
ECONOMIC DEVELOPMENT & CULTURE	3288-2	2014-12-09	2014-12-11	CDN TIRE STORE #00273	32.75	CAD	32.75	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5200	Home Supply Warehouse	DROP SHEETS AND TAPE FOR BUNKER KITCHEN	
ECONOMIC DEVELOPMENT & CULTURE	3290-1	2014-12-11	2014-12-12	LOBLAWS 4.2	5.98	CAD	5.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHOLE WHEAT BREAD	
ECONOMIC DEVELOPMENT & CULTURE	3300-3	2014-12-17	2014-12-19	METRO #720	69.60	CAD	69.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MUSTARD, WINE VINEGAR, MOLLASES, BROTH, ETC."	
					237.05	CAD	237.05	CAD								
FIRE SERVICES	3290-2	2014-12-11	2014-12-12	"IN *20/20 GENESYSTEMS,"	"3,038.81"	CAD	"2,567.00"	USD	2082	HEALTH & SAFETY SUPPLIES	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	8734	Testing Laboratories (Non-Medical)	BIOCHECK POWDER SCREENING TEST KIT	
					"3,038.81"	CAD	"2,567.00"	USD								
TRANSPORTATION SERVICES 	3302-6	2014-12-20	2014-12-22	PAYPAL *TWEETYMAIL	5.97	CAD	5.97	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3302-7	2014-12-20	2014-12-22	PAYPAL *TWEETYMAIL	5.97	CAD	5.97	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3302-8	2014-12-20	2014-12-22	PAYPAL *TWEETYMAIL	5.97	CAD	5.97	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3302-9	2014-12-20	2014-12-22	PAYPAL *TWEETYMAIL	5.97	CAD	5.97	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					23.88	CAD	23.88	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3275-3	2014-12-03	2014-12-03	AMAZON *MARKETPLCE CA	65.62	CAD	65.62	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	"COMMAND HOOKS AND CLIPS, DFI-VGA CABLE, EARPIECE"	
ECONOMIC DEVELOPMENT & CULTURE	3275-4	2014-12-03	2014-12-03	AMAZON.CA	4.25	CAD	4.25	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	COMMAND HOOKS	
ECONOMIC DEVELOPMENT & CULTURE	3283-1	2014-12-08	2014-12-09	LAKESHORE LUMBER	50.76	CAD	50.76	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5251	Hardware Stores	"BRACKET, HOOKS, LIGHTER, DRAINO, DRYWALL, FILTER"	
ECONOMIC DEVELOPMENT & CULTURE	3290-3	2014-12-11	2014-12-12	ABOVEGROUND ENTERPRISE	80.67	CAD	80.67	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7333	"Commercial Art, Graphics, Photography"	HARDCOVER SKETCHBOOKS	
ECONOMIC DEVELOPMENT & CULTURE	3292-3	2014-12-13	2014-12-15	ABOVEGROUND ENTERPRISE	172.47	CAD	172.47	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7333	"Commercial Art, Graphics, Photography"	"DRAWING KITS, ARTIST PENCIL CRAYONS, FACE PAINT"	
ECONOMIC DEVELOPMENT & CULTURE	3292-4	2014-12-13	2014-12-15	AMAZON *MARKETPLCE CA	108.33	CAD	108.33	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	"MICROPHONE ADAPTER CABLE, PHANTOM POWER SUPPLY,ETC"	
ECONOMIC DEVELOPMENT & CULTURE	3292-5	2014-12-14	2014-12-15	AMAZON *MARKETPLCE CA	36.62	CAD	36.62	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	MINI K CAM CLEAT	
ECONOMIC DEVELOPMENT & CULTURE	3296-1	2014-12-15	2014-12-17	PAYPAL *L.A. MUSIC	294.93	CAD	294.93	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5733	"Music Stores - Musical Instruments, Pian"	SHURE MICROPHONE	
ECONOMIC DEVELOPMENT & CULTURE	3296-2	2014-12-15	2014-12-17	SHOPPERSDRUGMART1281	7.96	CAD	7.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5912	"Drug Stores, Pharmacies"	COOKIES	
ECONOMIC DEVELOPMENT & CULTURE	3296-3	2014-12-16	2014-12-17	FRESHCO #9852	13.14	CAD	13.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	COOKIES AND DISHWASHER LIQUID	
ECONOMIC DEVELOPMENT & CULTURE	3300-4	2014-12-17	2014-12-19	CHRISTIE LITES LTD	"2,480.92"	CAD	"2,480.92"	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5719	Miscellaneous House Furnishing Specialty	"I-CUE MIRROR LIGHTS, CABLES, CONNECTORS, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3300-5	2014-12-18	2014-12-19	TIGERDIRECT.CA	103.78	CAD	103.78	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5964	Direct Marketing - Catalog Merchants	TONE GENERATOR AND PROBLE	
ECONOMIC DEVELOPMENT & CULTURE	3300-6	2014-12-18	2014-12-19	PAUL WOLF ELECTRIC   L	412.05	CAD	412.05	CAD	2575	ELECTRICAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5065	Electrical Parts and Equipment	VARIOUS THEATRE LIGHT BULBS	
ECONOMIC DEVELOPMENT & CULTURE	3302-10	2014-12-15	2014-12-22	MODERN LAUNDRY	103.96	CAD	103.96	CAD	4419	LAUNDRY SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7216	Dry Cleaners	WASH AND FOLD TABLECLOTHS	
ECONOMIC DEVELOPMENT & CULTURE	3304-1	2014-12-22	2014-12-23	LOWES #03096*	359.23	CAD	359.23	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5200	Home Supply Warehouse	"**MORE**  10PK 4"" YELLOW STRP FABRIC ROLLER"	
ECONOMIC DEVELOPMENT & CULTURE	3308-1	2014-12-23	2014-12-29	KELCOM	301.71	CAD	301.71	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4814	Telecommunication Service Including Loca	EARPIECE AND HEADSET FOR WALKIE TALKIES	
					"4,596.40"	CAD	"4,596.40"	CAD								
"PARKS, FORESTRY & RECREATION"	3294-4	2014-12-15	2014-12-16	WINNERS 277	75.60	CAD	75.60	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P12049	NEW TORONTO-COMM CTR-PRGM SUPPORT	5651	Family Clothing Stores	YOGA BLOCKS	
					75.60	CAD	75.60	CAD								
TORONTO WATER	3273-1	2014-12-02	2014-12-02	SUBWAY CATERING WEBSTO	223.18	CAD	223.18	CAD	4820	BUSINESS MEETING EXPENSES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5812	"Eating Places, Restaurants"	FOOD FOR MEETING	
TORONTO WATER	3275-5	2014-12-02	2014-12-03	TIM HORTONS 1621 QTH	33.78	CAD	33.78	CAD	4820	BUSINESS MEETING EXPENSES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5814	Quick Payment Service - Fast-Food Restau	FOOD FOR MEETING	
TORONTO WATER	3275-6	2014-12-02	2014-12-03	TIM HORTONS 1621 QTH	17.80	CAD	17.80	CAD	4820	BUSINESS MEETING EXPENSES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5814	Quick Payment Service - Fast-Food Restau	FOOD FOR MEETING	
					274.76	CAD	274.76	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3300-7	2014-12-18	2014-12-19	PAYPAL *OLIVERBONAC	198.34	CAD	198.34	CAD	4118	TICKETS AND ADMISSION FEES	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	5921	"Package Stores, Beer, Wine, Liquor"	TICKETS FOR EVENT	
					198.34	CAD	198.34	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3271-4	2014-11-29	2014-12-01	ABOVEGROUND ENTERPRISE	60.27	CAD	60.27	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	7333	"Commercial Art, Graphics, Photography"	COLOUR SHAPERS	
ECONOMIC DEVELOPMENT & CULTURE	3273-2	2014-12-01	2014-12-02	LEE VALLEY TOOLS 800-2	50.85	CAD	50.85	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	LEATHER PUNCH	
					111.12	CAD	111.12	CAD								
LONG TERM CARE HOMES	3271-5	2014-11-28	2014-12-01	HUNTS HEALTHCARE INC	60.00	CAD	60.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3K083	LAKESHORE LODGE-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	VENTOPEDIC PREMIUM PALM PROTECTOR	
					60.00	CAD	60.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3285-2	2014-12-08	2014-12-10	CDN TIRE STORE #00600	11.15	CAD	11.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	5200	Home Supply Warehouse	STRING FOR PRINTSHOP	
ECONOMIC DEVELOPMENT & CULTURE	3290-4	2014-12-10	2014-12-12	METRO #759	29.31	CAD	29.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	5411	"Grocery Stores, Supermarkets"	"LEMONS, BUTTER"	
ECONOMIC DEVELOPMENT & CULTURE	3292-6	2014-12-11	2014-12-15	METRO #759	38.40	CAD	38.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	5411	"Grocery Stores, Supermarkets"	"FLOUR, ALMONDS, SUGAR, ORANGES, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3306-1	2014-12-22	2014-12-24	METRO #759	62.31	CAD	62.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	5411	"Grocery Stores, Supermarkets"	"CRISCO, SUGAR, LEMONS, BUTTER, PIE, ETC."	
					141.17	CAD	141.17	CAD								
"PARKS, FORESTRY & RECREATION"	3300-8	2014-12-16	2014-12-19	CANADA CURLING STONE C	344.64	CAD	344.64	CAD	3099	GENERAL EQUIPMENT	P12542	EAST YORK CURLING-SPEC FACILITIES-OPS	5941	Sporting Goods Stores	BEAVERTAIL PEBBLE HEAD	
					344.64	CAD	344.64	CAD								
EMERGENCY MEDICAL SERVICES	3285-3	2014-12-09	2014-12-10	BRADFORD RENTAL SALES	457.65	CAD	457.65	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	7394	"Equipment Rental and Leasing Services, F"	BATTERY BOSTER PACK / LOOM	
EMERGENCY MEDICAL SERVICES	3306-2	2014-12-23	2014-12-24	AMC - AFTERMARKET CONN	604.55	CAD	604.55	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	7399	Business Services - Not Elsewhere Classi	AMP CONNECTORS PINS	
					"1,062.20"	CAD	"1,062.20"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3292-7	2014-12-13	2014-12-15	THE HOME DEPOT #7080	199.97	CAD	199.97	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5200	Home Supply Warehouse	**MORE**  TRANSPLANTER	
ECONOMIC DEVELOPMENT & CULTURE	3294-5	2014-12-15	2014-12-16	CDN WATER WHSE	190.72	CAD	190.72	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0093	HS-MH-PROGRAM SUPPORT-COLBORNE L	4900	"Utilities - Electric, Gas, Sanitary, Wat"	WATER FILTERS AND FILTERS FOR KITCHEN	
ECONOMIC DEVELOPMENT & CULTURE	3306-3	2014-12-23	2014-12-24	LOBLAWS 4.2	52.46	CAD	52.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	SUGAR AND MOLASSES	
ECONOMIC DEVELOPMENT & CULTURE	3308-2	2014-12-23	2014-12-29	CDN TIRE STORE #00654	80.77	CAD	80.77	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0093	HS-MH-PROGRAM SUPPORT-COLBORNE L	5200	Home Supply Warehouse	DOOR MAT AND STORAGE BINS	
ECONOMIC DEVELOPMENT & CULTURE	3308-3	2014-12-23	2014-12-29	EVERGREEN GARDENS	38.42	CAD	38.42	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5261	Lawn and Garden Supply Stores	GARDEN TUBS	
ECONOMIC DEVELOPMENT & CULTURE	3308-4	2014-12-23	2014-12-29	CDN TIRE STORE #00459	225.99	CAD	225.99	CAD	3099	GENERAL EQUIPMENT	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5200	Home Supply Warehouse	LAWN MOWER FOR GARDEN PROGRAM	
					788.33	CAD	788.33	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3292-8	2014-12-11	2014-12-15	B   L DEPARTMENT CENTR	34.96	CAD	34.96	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0086	HS-MH-PROGRAM SUPPORT-ZION SCHOO	5331	Variety Stores	PAPER LANTERNS AND DECORATIONS	
ECONOMIC DEVELOPMENT & CULTURE	3298-1	2014-12-16	2014-12-18	THE WOOL HOUSE	237.87	CAD	237.87	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0070	HS-MH-EDUCATION/OUTRCH-GIBSON HOU	5949	"Fabric, Needlework, Piece Goods, and Sew"	FABRIC FOR COSTUME	
ECONOMIC DEVELOPMENT & CULTURE	3300-9	2014-12-18	2014-12-19	B  J TRADING CO  QPS	23.73	CAD	23.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0086	HS-MH-PROGRAM SUPPORT-ZION SCHOO	5947	"Card, Gift, Novelty, and Souvenir Shops"	ARTIFICIAL/PLASTIC FRUIT DISPLAY	
ECONOMIC DEVELOPMENT & CULTURE	3310-1	2014-12-29	2014-12-30	KING TEXTILES	326.59	CAD	326.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0096	HS-MH-PUBLIC/COMMUNITY-GIBSON HOU	5949	"Fabric, Needlework, Piece Goods, and Sew"	TABLE CLOTH FABRIC	
					623.15	CAD	623.15	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3292-9	2014-12-12	2014-12-15	BIG MAGAZINES LP	"6,096.36"	CAD	"6,096.36"	CAD	4414	ADVERTISING & PROMOTION	ED0150	EDC MARKETING TACTICS	2741	Miscellaneous Publishing and Printing	**MORE**  ADVERTISING - CANADIANPLANT.COM	
					"6,096.36"	CAD	"6,096.36"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3275-7	2014-12-01	2014-12-03	SHOPPERSDRUGMART1281	18.20	CAD	18.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5912	"Drug Stores, Pharmacies"	"MILK, BUTTER, DISH SOAP FOR BAKING AND CLEANING"	
ECONOMIC DEVELOPMENT & CULTURE	3281-2	2014-12-04	2014-12-08	SHOPPERSDRUGMART1281	25.92	CAD	25.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5912	"Drug Stores, Pharmacies"	BUTTER	
ECONOMIC DEVELOPMENT & CULTURE	3285-4	2014-12-09	2014-12-10	NUSSO TEXTILES	"1,405.77"	CAD	"1,405.77"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0136	HS-MH-BD COMM SUPP-SPADINA	5719	Miscellaneous House Furnishing Specialty	TABLE CLOTHS	
ECONOMIC DEVELOPMENT & CULTURE	3290-5	2014-12-10	2014-12-12	SHOPPERS DRUG MART0836	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5912	"Drug Stores, Pharmacies"	BUTTER	
					"1,461.85"	CAD	"1,461.85"	CAD								
"PARKS, FORESTRY & RECREATION"	3298-2	2014-12-17	2014-12-18	TURF CANADA	842.65	CAD	842.65	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P07646	DON VALLEY-OPERATIONS	5998	Tent & Awning Shops	LAWN MIXTURE	
					842.65	CAD	842.65	CAD								
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3275-8	2014-12-02	2014-12-03	SQ *TWIST CATERING SER	452.00	CAD	452.00	CAD	2741	FOOD COSTS	F01521	BIRKDALE RES - PROGRAM DELIVERY	7399	Business Services - Not Elsewhere Classi	STAFF-HEALTH&SAFETY DAY CATERING	
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3308-5	2014-12-23	2014-12-29	THE HOME DEPOT CANADA	224.87	CAD	224.87	CAD	2610	KITCHEN SUPPLIES	F01530	BIRKDAEL RES CHILDREN'S PROG EXP	5200	Home Supply Warehouse	CLIENT: SMALL FRIDGE FOR DOWNSVIEW DELLS SITE	
					676.87	CAD	676.87	CAD								
LONG TERM CARE HOMES	3271-6	2014-11-28	2014-12-01	MR PRINTER	97.41	CAD	97.41	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	7338	"Quick Copy, Reproduction, and Blueprinti"	RESIDENT ACTIVITY CALENDARS	
LONG TERM CARE HOMES	3302-11	2014-12-19	2014-12-22	THE HOME DEPOT #7107	535.62	CAD	535.62	CAD	2610	KITCHEN SUPPLIES	D3A031	BENDALE ACRES-FN-OA	5200	Home Supply Warehouse	WET VACS	
