Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Work Order Number	Cost Centre/WBS Element/Work Order Number Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2887-1	2014-02-20	2014-02-21	SHOPPER'S DRUG MART #1	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTER	
					44.74	CAD	44.74	CAD								
"PARKS, FORESTRY & RECREATION"	2881-3	2014-02-14	2014-02-17	F.G BRADLEY'S #506	19.49	CAD	19.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01986	FRANKLAND-SPEC INTEREST	5945	"Game, Toy, and Hobby Shops"	CUE TIPS	
					19.49	CAD	19.49	CAD								
"PARKS, FORESTRY & RECREATION"	2881-4	2014-02-13	2014-02-17	HITCH CITY	158.12	CAD	158.12	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12856	RAVINE & WATERCOURSE MAINTENANCE	5533	"Automotive Parts, Accessories Stores"	LIGHT BAR	
					158.12	CAD	158.12	CAD								
"PARKS, FORESTRY & RECREATION"	2869-1	2014-02-05	2014-02-07	METRO #853	29.03	CAD	29.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"MILK, CHEESE, MUSHROOMS, BELL PEPPERS"	
"PARKS, FORESTRY & RECREATION"	2887-2	2014-02-19	2014-02-21	METRO #853	35.37	CAD	35.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CAKE MIX, ICING, EGGS, BANANAS, GRAPES"	
"PARKS, FORESTRY & RECREATION"	2893-3	2014-02-21	2014-02-25	METRO #853	71.40	CAD	71.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"FROZEN FRUITS, ICE CREAM, MILK, CUTLERY"	
"PARKS, FORESTRY & RECREATION"	2897-2	2014-02-26	2014-02-28	METRO #853	44.89	CAD	44.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CRACKERS, PILLSBURY BREAD,MILK, BAKING PAN"	
					180.69	CAD	180.69	CAD								
"PARKS, FORESTRY & RECREATION"	2871-1	2014-02-05	2014-02-10	PRAXAIR #756	64.15	CAD	64.15	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	7692	Welding Repair	GROUND CLAMPS	
"PARKS, FORESTRY & RECREATION"	2881-5	2014-02-13	2014-02-17	MR METAL(ETOBICOKE) IN	79.02	CAD	79.02	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	"PIPE, TREAD PLATE"	
"PARKS, FORESTRY & RECREATION"	2886-2	2014-02-14	2014-02-20	STINSON EQUIPMENT LIMI	75.66	CAD	75.66	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5039	Construction Materials Not Elsewhere Cla	DETENT BUTTON	
"PARKS, FORESTRY & RECREATION"	2893-4	2014-02-24	2014-02-25	LINDE CANADA - ETOBICO	111.52	CAD	111.52	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5072	Hardware Equipment and Supplies	WIRE	
"PARKS, FORESTRY & RECREATION"	2896-1	2014-02-26	2014-02-27	NOBLE - DON PARK 1041	320.23	CAD	320.23	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	1711	"Air Conditioning, Heating, and Plumbing"	"PIPING,VENT,FOIL TAPE,COUPLING"	
					650.58	CAD	650.58	CAD								
"PARKS, FORESTRY & RECREATION"	2859-1	2014-01-30	2014-02-03	CONVAL EQUIPMENT	169.50	CAD	169.50	CAD	2535	PLUMBING SUPPLIES	P07726	NORTH TORONTO-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	SOLENOID VALVE	
"PARKS, FORESTRY & RECREATION"	2860-1	2014-02-03	2014-02-04	APPLIED INDUSTRIAL TEC	60.16	CAD	60.16	CAD	2535	PLUMBING SUPPLIES	P03029	DON MILLS-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	V BELTS	
"PARKS, FORESTRY & RECREATION"	2865-1	2014-02-03	2014-02-05	BRAFASCO / VAUGHAN	58.97	CAD	58.97	CAD	2710	GENERAL HARDWARE	P07726	NORTH TORONTO-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	HARDWARE MIX	
"PARKS, FORESTRY & RECREATION"	2877-1	2014-02-11	2014-02-13	SP S COMM SWIMMING POO	407.32	CAD	407.32	CAD	4412	CONTR SRV - PLUMBING	P07726	NORTH TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	CAT 2000 REPAIR	
"PARKS, FORESTRY & RECREATION"	2880-1	2014-02-12	2014-02-14	SP S COMM SWIMMING POO	530.31	CAD	530.31	CAD	2535	PLUMBING SUPPLIES	P07698	FLEMINGDON RC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	INJECTOR ANTI SYPHON VALVE	
"PARKS, FORESTRY & RECREATION"	2881-6	2014-02-12	2014-02-17	JJ DOWNS INDUSTRIAL	97.86	CAD	97.86	CAD	2535	PLUMBING SUPPLIES	P07659	DOUGLAS SNOW-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	MALE CONNECTOR	
"PARKS, FORESTRY & RECREATION"	2881-7	2014-02-13	2014-02-17	BRAFASCO / VAUGHAN	169.15	CAD	169.15	CAD	2710	GENERAL HARDWARE	P07726	NORTH TORONTO-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	"BOLT WASHER, DRILL"	
"PARKS, FORESTRY & RECREATION"	2881-8	2014-02-13	2014-02-17	SP S COMM SWIMMING POO	373.31	CAD	373.31	CAD	2535	PLUMBING SUPPLIES	P07697	CUMMER COMPLEX-OPERATIONS	5996	Swimming Pools - Sales and Supplies	HAYWARD STOP COCK VALVE	
"PARKS, FORESTRY & RECREATION"	2881-9	2014-02-14	2014-02-17	CENTENNIAL PLUMBING	75.22	CAD	75.22	CAD	2535	PLUMBING SUPPLIES	P03029	DON MILLS-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	HARDWARE	
"PARKS, FORESTRY & RECREATION"	2897-3	2014-02-27	2014-02-28	CENTENNIAL PLUMBING	144.08	CAD	144.08	CAD	2535	PLUMBING SUPPLIES	P03029	DON MILLS-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	HARDWARE	
					"2,085.88"	CAD	"2,085.88"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2860-2	2014-01-31	2014-02-04	METRO #720	13.07	CAD	13.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"ORANGE JUICE, ONIONS"	
ECONOMIC DEVELOPMENT & CULTURE	2860-3	2014-02-03	2014-02-04	LOBLAWS 4.2	20.94	CAD	20.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	LEMONS	
ECONOMIC DEVELOPMENT & CULTURE	2866-2	2014-02-04	2014-02-06	METRO #720	66.03	CAD	66.03	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"TURNIP,OIL,BROTH,HERBS,WHIPPING CREAM,PARCHMENT PA"	
ECONOMIC DEVELOPMENT & CULTURE	2866-3	2014-02-05	2014-02-06	LOBLAWS 4.2	66.52	CAD	66.52	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"OLIVES,CHICKEN,GRAPES,GARLIC,PARSLEY,LEMONS,BAGS"	
ECONOMIC DEVELOPMENT & CULTURE	2869-2	2014-02-06	2014-02-07	FRESHCO #9841	14.66	CAD	14.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"LIMES,APPLES"	
ECONOMIC DEVELOPMENT & CULTURE	2880-2	2014-02-13	2014-02-14	FRESHCO #9841	37.24	CAD	37.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"RAISINS,BROWN SUGAR,LIMES,CRANBERRIES,YOGURT,APPLE"	
ECONOMIC DEVELOPMENT & CULTURE	2881-10	2014-02-13	2014-02-17	CDN TIRE STORE #00654	169.25	CAD	169.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5200	Home Supply Warehouse	"CHEESECLOTH,SPOON,BAMBOO STICKS,CARVING BOARDS,STO"	
ECONOMIC DEVELOPMENT & CULTURE	2881-11	2014-02-14	2014-02-17	FRESHCO #9841	43.07	CAD	43.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MILK,WHIPPING CREAM,CANOLA OIL"	
ECONOMIC DEVELOPMENT & CULTURE	2883-1	2014-02-14	2014-02-18	METRO #720	38.52	CAD	38.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	APPLES	
ECONOMIC DEVELOPMENT & CULTURE	2885-1	2014-02-18	2014-02-19	NELLA CUTLERY	"1,920.07"	CAD	"1,920.07"	CAD	3050	M & E - KITCHEN	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5719	Miscellaneous House Furnishing Specialty	REPLACEMENT OF REACH-IN COOLER FOR SERVERY	
ECONOMIC DEVELOPMENT & CULTURE	2886-3	2014-02-19	2014-02-20	LOBLAWS 4.2	33.05	CAD	33.05	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	SURFACE CLEANER AND PASTRY	
ECONOMIC DEVELOPMENT & CULTURE	2886-4	2014-02-19	2014-02-20	FRESHCO #9841	33.45	CAD	33.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	ORANGES & LEMONS	
ECONOMIC DEVELOPMENT & CULTURE	2887-3	2014-02-20	2014-02-21	NELLA CUTLERY	113.00	CAD	113.00	CAD	4995	OTHER EXPENSES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5719	Miscellaneous House Furnishing Specialty	REMOVAL OF OLD COOLER	
ECONOMIC DEVELOPMENT & CULTURE	2890-1	2014-02-20	2014-02-24	CDN TIRE STORE #00654	89.15	CAD	89.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5200	Home Supply Warehouse	"JARS,SPATULAS,BASTING BRUSHES"	
ECONOMIC DEVELOPMENT & CULTURE	2896-2	2014-02-26	2014-02-27	SOBEYS #938        QPS	29.54	CAD	29.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"APPLE JUICE,CARROTS & MILK"	
					"2,687.56"	CAD	"2,687.56"	CAD								
AFFORDABLE HOUSING OFFICE	2859-2	2014-01-31	2014-02-03	BB-BLANC	"1,028.30"	CAD	"1,028.30"	CAD	4995	OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	7299	Other Services (Not Elsewhere Classified		
AFFORDABLE HOUSING OFFICE	2875-1	2014-02-10	2014-02-12	MGS ONTARIO PUBLICATIO	214.03	CAD	214.03	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	9399	Government Services - Not Elsewhere Clas	2012 BUILDING CODE BINDER	
AFFORDABLE HOUSING OFFICE	2875-2	2014-02-11	2014-02-12	MANHATTAN TROPHIES LIM	50.85	CAD	50.85	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5941	Sporting Goods Stores	PLAQUE CHARGE	
AFFORDABLE HOUSING OFFICE	2875-3	2014-02-11	2014-02-12	MANHATTAN TROPHIES LIM	67.80	CAD	67.80	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5941	Sporting Goods Stores	PLAQUE CHARGES	
AFFORDABLE HOUSING OFFICE	2894-1	2014-02-25	2014-02-26	CHRA	262.50	CAD	262.50	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	CHRA REGISTRATION	
AFFORDABLE HOUSING OFFICE	2896-3	2014-02-25	2014-02-27	WESTJET  8382196369416	684.19	CAD	684.19	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	3180	WestJet Airlines	ROUND TRIP NATIONAL CONGRESS ON HOUSING	
AFFORDABLE HOUSING OFFICE	2896-4	2014-02-25	2014-02-27	WESTJET  8382196371742	684.19	CAD	684.19	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	3180	WestJet Airlines	**MORE**  HOUSING CONFERENCE	
AFFORDABLE HOUSING OFFICE	2896-5	2014-02-25	2014-02-27	WESTJET  8382196371776	855.08	CAD	855.08	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	3180	WestJet Airlines	**MORE**  HOUSING CONFERENCE	
					"3,846.94"	CAD	"3,846.94"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2871-2	2014-02-07	2014-02-10	MODERN LAUNDRY	90.40	CAD	90.40	CAD	4419	LAUNDRY SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7216	Dry Cleaners	WASH & FOLD TABLECLOTHS	
ECONOMIC DEVELOPMENT & CULTURE	2887-4	2014-02-20	2014-02-21	VALUMART LAKESHORE 265	205.72	CAD	205.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	"SODA, COOKIES, CHEESE, VEGGIES, BREAD"	
ECONOMIC DEVELOPMENT & CULTURE	2890-2	2014-02-20	2014-02-24	SHOPPERS DRUG MART #09	10.14	CAD	10.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5912	"Drug Stores, Pharmacies"	TWIZZLERS	
ECONOMIC DEVELOPMENT & CULTURE	2894-2	2014-02-25	2014-02-26	RABBA #177	11.96	CAD	11.96	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	MILK & CREAM	
ECONOMIC DEVELOPMENT & CULTURE	2896-6	2014-02-26	2014-02-27	LOBLAWS 154 3	21.23	CAD	21.23	CAD	2570	JANITORIAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	DISHWASHER DETERGENT	
					339.45	CAD	339.45	CAD								
SOLID WASTE MANAGEMENT	2866-4	2014-02-04	2014-02-06	THE HOME DEPOT #7114	234.90	CAD	234.90	CAD	2535	PLUMBING SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	**MORE**  OLFA L-1/BB	
SOLID WASTE MANAGEMENT	2875-4	2014-02-10	2014-02-12	THE HOME DEPOT #7114	22.40	CAD	22.40	CAD	2535	PLUMBING SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5200	Home Supply Warehouse	**MORE**  7KG COMPND	
SOLID WASTE MANAGEMENT	2881-12	2014-02-13	2014-02-17	THE HOME DEPOT #7114	140.40	CAD	140.40	CAD	2535	PLUMBING SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	**MORE**  SPRYTXTW/B	
SOLID WASTE MANAGEMENT	2881-13	2014-02-14	2014-02-17	DAYVAN	118.67	CAD	118.67	CAD	2535	PLUMBING SUPPLIES	SW0805	DISCO TS OPERATIONS	5251	Hardware Stores	W/O 301508	
SOLID WASTE MANAGEMENT	2886-5	2014-02-18	2014-02-20	THE HOME DEPOT #7114	38.43	CAD	38.43	CAD	2535	PLUMBING SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	"**MORE**  WBASE 4"" BUL"	
SOLID WASTE MANAGEMENT	2887-5	2014-02-19	2014-02-21	THE HOME DEPOT #7114	52.88	CAD	52.88	CAD	2535	PLUMBING SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	**MORE**  10113TROWEL	
SOLID WASTE MANAGEMENT	2896-7	2014-02-25	2014-02-27	THE HOME DEPOT #7114	35.41	CAD	35.41	CAD	2535	PLUMBING SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	**MORE**  GROUT	
SOLID WASTE MANAGEMENT	2896-8	2014-02-25	2014-02-27	THE HOME DEPOT #7114	15.81	CAD	15.81	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	GROUT	
					658.90	CAD	658.90	CAD								
"PARKS, FORESTRY & RECREATION"	2896-9	2014-02-26	2014-02-27	SHERIDAN NURSERIES #26	149.07	CAD	149.07	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00113	ALLAN GDNS CONS-PLANT PRODUCTION	5261	Lawn and Garden Supply Stores	PLANT MATERIAL	
					149.07	CAD	149.07	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2875-5	2014-02-10	2014-02-12	CDN TIRE STORE #00175	10.14	CAD	10.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FACILITY MGMT-METRO HALL	5200	Home Supply Warehouse	3 PACKS OF LEAD SHEILDS	
ECONOMIC DEVELOPMENT & CULTURE	2890-3	2014-02-21	2014-02-24	LOWES #02640*	2.46	CAD	2.46	CAD	2535	PLUMBING SUPPLIES	AH0156	CD-AM-FACILITY MGMT-98 ATLANTIC AVE	5200	Home Supply Warehouse	1/4X21/2 BRAS PIPE NIP A-743	
					12.60	CAD	12.60	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2897-4	2014-02-26	2014-02-28	PAYPAL *CUI	135.00	CAD	135.00	CAD	4760	MEMBERSHIP FEES	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	8398	"Organizations, Charitable and Social Ser"	MEMBERSHIP RENEWAL	
					135.00	CAD	135.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2871-3	2014-02-07	2014-02-10	LEE VALLEY TOOLS 800-2	21.75	CAD	21.75	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	"WOOD DOWELS, STAINLESS STEEL CLOTHPEGS"	
ECONOMIC DEVELOPMENT & CULTURE	2887-6	2014-02-20	2014-02-21	WORLD SEWING MACHINE	65.49	CAD	65.49	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5949	"Fabric, Needlework, Piece Goods, and Sew"	"EXHIBIT FABRIC, SEW MACHINE NEEDLES, COTTON TWILL"	
ECONOMIC DEVELOPMENT & CULTURE	2890-4	2014-02-22	2014-02-24	THE HOME DEPOT #7001	15.78	CAD	15.78	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	F GLASS SCRN	
					103.02	CAD	103.02	CAD								
LONG TERM CARE HOMES	2893-5	2014-02-24	2014-02-25	4IMPRINT	208.77	CAD	208.77	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5969	Direct Marketing - Other Direct Marketer	PENS MARDI GRAS HEX ( VOLUNTEERS)	
					208.77	CAD	208.77	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2865-2	2014-02-04	2014-02-05	GRAPHIC CHEMICAL   INK	137.10	CAD	120.61	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	2741	Miscellaneous Publishing and Printing	LETTERPRESS INK FOR PRINTSHOP	
ECONOMIC DEVELOPMENT & CULTURE	2885-2	2014-02-18	2014-02-19	GRAPHIC CHEMICAL   INK	34.79	CAD	30.78	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	2741	Miscellaneous Publishing and Printing	LETTERPRESS INK FOR PRINTSHOP	
					171.89	CAD	151.39	USD								
"PARKS, FORESTRY & RECREATION"	2859-3	2014-01-28	2014-02-03	VAC 'S' MART INC	28.25	CAD	28.25	CAD	2570	JANITORIAL SUPPLIES	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	5722	Household Appliance Stores	VACUUM BAGS	
"PARKS, FORESTRY & RECREATION"	2859-4	2014-01-31	2014-02-03	VAC 'S' MART INC	508.50	CAD	508.50	CAD	3025	M & E - JANITORIAL	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	5722	Household Appliance Stores	VACUUM CLEANER & BAGS	
"PARKS, FORESTRY & RECREATION"	2860-4	2014-02-01	2014-02-04	CDN TIRE STORE #00459	-54.22	CAD	-54.22	CAD	2110	PARTS - FURNITURE & FIXTURES	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	5200	Home Supply Warehouse	TOOL KIT - REFUND	
"PARKS, FORESTRY & RECREATION"	2875-6	2014-02-11	2014-02-12	LOOK SIGNS	565.00	CAD	565.00	CAD	2792	"BANNERS, FLAGS & SIGNS"	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	7394	"Equipment Rental and Leasing Services, F"	TEMPORARY EXTERIOR SIGNS	
					"1,047.53"	CAD	"1,047.53"	CAD								
"PARKS, FORESTRY & RECREATION"	2875-7	2014-02-10	2014-02-12	CDN TIRE STORE #00273	116.16	CAD	116.16	CAD	2590	EMERGENCY SERVICES SUPPLIES	P12542	EAST YORK CURLING-SPEC FACILITIES-OPS	5200	Home Supply Warehouse	C02 DETECTORS	
					116.16	CAD	116.16	CAD								
"PARKS, FORESTRY & RECREATION"	2865-3	2014-02-03	2014-02-05	D   G VACUUM REPAIR SE	169.22	CAD	169.22	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P07704	MITCHELL FIELD-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	VACUUM FUSE REPAIR	
"PARKS, FORESTRY & RECREATION"	2865-4	2014-02-03	2014-02-05	D   G VACUUM REPAIR SE	558.21	CAD	558.21	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P06686	EDITHVALE CC-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	EQUIPMENT REPAIR	
					727.43	CAD	727.43	CAD								
"PARKS, FORESTRY & RECREATION"	2865-5	2014-02-03	2014-02-05	TARGET CANADA T3609	115.19	CAD	115.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04600	GOULDING CC-SPORTS CAMPS	5310	Discount Stores	FACILITY SUPPLIES	
