Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3095-1	2014-07-23	2014-07-25	FOOD BASICS #692	231.81	CAD	231.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3095-2	2014-07-23	2014-07-25	FOOD BASICS #692	15.22	CAD	15.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3095-3	2014-07-23	2014-07-25	FOOD BASICS #692	26.54	CAD	26.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3100-1	2014-07-25	2014-07-29	FOOD BASICS #692	29.85	CAD	29.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3100-2	2014-07-25	2014-07-29	FOOD BASICS #692	89.02	CAD	89.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3102-1	2014-07-28	2014-07-30	FOOD BASICS #692	7.58	CAD	7.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3102-2	2014-07-28	2014-07-30	FOOD BASICS #692	110.00	CAD	110.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3102-3	2014-07-28	2014-07-30	FOOD BASICS #692	136.69	CAD	136.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3102-4	2014-07-28	2014-07-30	FOOD BASICS #692	80.66	CAD	80.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
					"3,513.93"	CAD	"3,513.93"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3060-3	2014-06-30	2014-07-03	FOOD BASICS #930	16.00	CAD	16.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	LEMONS	
ECONOMIC DEVELOPMENT & CULTURE	3065-2	2014-07-06	2014-07-07	CARLTON CARDS 5753	13.49	CAD	13.49	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5947	"Card, Gift, Novelty, and Souvenir Shops"	CARDS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	3072-1	2014-07-07	2014-07-09	FOOD BASICS #930	17.07	CAD	17.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"FRUITS, VEGGGIES, CREAM FOR SUMMER CAMP"	
ECONOMIC DEVELOPMENT & CULTURE	3074-7	2014-07-09	2014-07-10	NOFRILLS NICHOLSONS	29.42	CAD	29.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"FRUITS, VEGGGIES, DRINKS, EGGS, COOKIES FOR CAMP"	
ECONOMIC DEVELOPMENT & CULTURE	3076-2	2014-07-10	2014-07-11	NOFRILLS NICHOLSONS	49.29	CAD	49.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"VEGGGIES, DRINKS, BISCUITS, GRANOLA BARS FOR CAMP"	
ECONOMIC DEVELOPMENT & CULTURE	3083-2	2014-07-15	2014-07-17	FOOD BASICS #930	36.09	CAD	36.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"FRUITS, VEGGGIES FOR SUMMER CAMP"	
ECONOMIC DEVELOPMENT & CULTURE	3085-1	2014-07-17	2014-07-18	NOFRILLS NICHOLSONS	35.22	CAD	35.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"FRUITS, VEGGGIES, DRINKS, MOLASSES, BUSCUITS, SHOR"	
ECONOMIC DEVELOPMENT & CULTURE	3087-3	2014-07-19	2014-07-21	NOFRILLS NICHOLSONS	51.91	CAD	51.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"FRUITS, VEGGGIES, DRINKS, BUTTER"	
ECONOMIC DEVELOPMENT & CULTURE	3097-1	2014-07-26	2014-07-28	NOFRILLS PETER'S 3926	12.00	CAD	12.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	7999	Recreation Services (Not Elsewhere Class	SUGAR	
ECONOMIC DEVELOPMENT & CULTURE	3097-2	2014-07-26	2014-07-28	NOFRILLS PETER'S 3926	60.31	CAD	60.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	7999	Recreation Services (Not Elsewhere Class	"FRUITS, VEGGGIES, DRINKS, EGGS, MILK, FLOUR"	
					320.80	CAD	320.80	CAD								
"PARKS, FORESTRY & RECREATION"	3059-4	2014-06-30	2014-07-02	CDN TIRE STORE #00070	15.39	CAD	15.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06437	MASARYK COWAN-SPORTS	5200	Home Supply Warehouse	"ZIPLOC BAGS, MASKING TAPE FOR CAMP"	
"PARKS, FORESTRY & RECREATION"	3065-3	2014-07-04	2014-07-07	NOFRILLS PETER'S 3926	13.54	CAD	13.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04893	PARKDALE CC-SUMMER CAMPS	7999	Recreation Services (Not Elsewhere Class	FREEZIES FOR CAMP	
"PARKS, FORESTRY & RECREATION"	3078-2	2014-07-11	2014-07-14	WAL-MART # 3106	8.97	CAD	8.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10446	MASARYK COWAN-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	POPCORN FOR MOVIE DAY-MASARYK CAMP	
"PARKS, FORESTRY & RECREATION"	3085-2	2014-07-17	2014-07-18	PARKDALE HM HDW 1350-8	13.29	CAD	13.29	CAD	2730	LOCKS	P10446	MASARYK COWAN-PRGM SUPPORT	5251	Hardware Stores	KEYS CUT FOR GREEN BOXES	
					51.19	CAD	51.19	CAD								
"PARKS, FORESTRY & RECREATION"	3061-1	2014-07-03	2014-07-04	CHAIN SAW CLINIC	109.59	CAD	109.59	CAD	3080	M & E - HAND TOOLS	P12856	RAVINE & WATERCOURSE MAINTENANCE	5261	Lawn and Garden Supply Stores	CHAIN SHARPENERS	
"PARKS, FORESTRY & RECREATION"	3072-2	2014-07-08	2014-07-09	PRINCESS AUTO #36	-16.94	CAD	-16.94	CAD	3080	M & E - HAND TOOLS	P12856	RAVINE & WATERCOURSE MAINTENANCE	5085	Industrial Supplies Not Elsewhere Classi	"PATCHING, STRAPS"	
"PARKS, FORESTRY & RECREATION"	3072-3	2014-07-08	2014-07-09	PRINCESS AUTO #36	136.65	CAD	136.65	CAD	3080	M & E - HAND TOOLS	P12856	RAVINE & WATERCOURSE MAINTENANCE	5085	Industrial Supplies Not Elsewhere Classi	"PATCHING, STRAPS"	
"PARKS, FORESTRY & RECREATION"	3078-3	2014-07-10	2014-07-14	CTS CARGO TIE DOWN SPE	212.36	CAD	212.36	CAD	3080	M & E - HAND TOOLS	P12856	RAVINE & WATERCOURSE MAINTENANCE	5085	Industrial Supplies Not Elsewhere Classi	"PATCHING, STRAPS"	
"PARKS, FORESTRY & RECREATION"	3087-4	2014-07-18	2014-07-21	PRINCESS AUTO #36	169.41	CAD	169.41	CAD	3080	M & E - HAND TOOLS	P12856	RAVINE & WATERCOURSE MAINTENANCE	5085	Industrial Supplies Not Elsewhere Classi	"PATCHING, STRAPS"	
					611.07	CAD	611.07	CAD								
"PARKS, FORESTRY & RECREATION"	3067-3	2014-07-04	2014-07-08	MR METAL(ETOBICOKE) IN	560.44	CAD	560.44	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	3072-4	2014-07-08	2014-07-09	CHAUNCEY BUILDERS SUPP	91.63	CAD	91.63	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"		
"PARKS, FORESTRY & RECREATION"	3074-8	2014-07-09	2014-07-10	LINDE CANADA  ETOBICOK	48.14	CAD	48.14	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5072	Hardware Equipment and Supplies		
"PARKS, FORESTRY & RECREATION"	3076-3	2014-07-09	2014-07-11	MR METAL(ETOBICOKE) IN	376.80	CAD	376.80	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	3078-4	2014-07-09	2014-07-14	SPEED FASTENING SYSTEM	79.10	CAD	79.10	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5712	"Equipment, Furniture, and Home Furnishin"		
"PARKS, FORESTRY & RECREATION"	3081-3	2014-07-14	2014-07-16	MR METAL(ETOBICOKE) IN	297.52	CAD	297.52	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	3087-5	2014-07-18	2014-07-21	PACIFIC FASTENERS (198	169.50	CAD	169.50	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5251	Hardware Stores		
"PARKS, FORESTRY & RECREATION"	3089-1	2014-07-18	2014-07-22	FASTENAL CANADA02ONTO1	208.27	CAD	208.27	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	3097-3	2014-07-24	2014-07-28	MR METAL(ETOBICOKE) IN	88.28	CAD	88.28	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	3097-4	2014-07-25	2014-07-28	METAL SUPERMARKETS (ET	337.33	CAD	337.33	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	3100-3	2014-07-25	2014-07-29	MR METAL(ETOBICOKE) IN	159.42	CAD	159.42	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	3102-5	2014-07-28	2014-07-30	THE HOME DEPOT #7080	33.80	CAD	33.80	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	PAINT	
					"2,450.23"	CAD	"2,450.23"	CAD								
"PARKS, FORESTRY & RECREATION"	3076-4	2014-07-10	2014-07-11	LAKESHORE LUMBER	632.80	CAD	632.80	CAD	2775	ASPHALT	P00656	CENTENNIAL PARK-PRGM SUPPORT	5251	Hardware Stores	ASPHALT PATCH FOR PARKING LOTS	
"PARKS, FORESTRY & RECREATION"	3087-6	2014-07-18	2014-07-21	THE HOME DEPOT #7011	255.18	CAD	255.18	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PARK-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  DEM. BLADE	
"PARKS, FORESTRY & RECREATION"	3093-3	2014-07-23	2014-07-24	DULUX PAINTS #142	153.80	CAD	153.80	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5231	"Glass, Paint, Wallpaper Stores"	PAINT FOR PICNIC TABLES	
"PARKS, FORESTRY & RECREATION"	3095-4	2014-07-23	2014-07-25	LEE VALLEY TOOLS 800-2	725.41	CAD	725.41	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00656	CENTENNIAL PARK-PRGM SUPPORT	5251	Hardware Stores	PRUNING TOOLS	
"PARKS, FORESTRY & RECREATION"	3095-5	2014-07-24	2014-07-25	LOWES #03096*	35.00	CAD	35.00	CAD	2775	ASPHALT	P00656	CENTENNIAL PARK-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  SPEED FILL ELASTIC CRACK FILLER	
"PARKS, FORESTRY & RECREATION"	3097-5	2014-07-24	2014-07-28	THE HOME DEPOT #7011	41.20	CAD	41.20	CAD	3080	M & E - HAND TOOLS	P00656	CENTENNIAL PARK-PRGM SUPPORT	5200	Home Supply Warehouse	"**MORE**  9""HD CKG GUN"	
"PARKS, FORESTRY & RECREATION"	3097-6	2014-07-25	2014-07-28	LOWES #03096*	136.58	CAD	136.58	CAD	2775	ASPHALT	P00656	CENTENNIAL PARK-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  SPEED FILL 946ML CRACK-STOP FILLR	
					"1,979.97"	CAD	"1,979.97"	CAD								
"PARKS, FORESTRY & RECREATION"	3079-1	2014-07-14	2014-07-15	WATER AND ICE NORTH AM	439.57	CAD	439.57	CAD	2535	PLUMBING SUPPLIES	P02381	LEASIDE PK OUTDR POOL-L/PBLC-OUTDR	5996	Swimming Pools - Sales and Supplies	"9""X9"" FRAME & GRATE"	
"PARKS, FORESTRY & RECREATION"	3081-4	2014-07-14	2014-07-16	SP S COMM SWIMMING POO	531.69	CAD	531.69	CAD	2535	PLUMBING SUPPLIES	P07698	FLEMINGDON RC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	PUMP TUBE ASSEMBLY	
"PARKS, FORESTRY & RECREATION"	3081-5	2014-07-14	2014-07-16	SP S COMM SWIMMING POO	550.42	CAD	550.42	CAD	2535	PLUMBING SUPPLIES	P01183	LEDBURY PARK-OPERATIONS	5996	Swimming Pools - Sales and Supplies	FLOW INDICATOR	
"PARKS, FORESTRY & RECREATION"	3081-6	2014-07-14	2014-07-16	SP S COMM SWIMMING POO	533.79	CAD	533.79	CAD	2535	PLUMBING SUPPLIES	P02381	LEASIDE PK OUTDR POOL-L/PBLC-OUTDR	5996	Swimming Pools - Sales and Supplies	"9""X9"" FRAME & GRATE"	
"PARKS, FORESTRY & RECREATION"	3087-7	2014-07-17	2014-07-21	BRAFASCO / VAUGHAN	127.53	CAD	127.53	CAD	2535	PLUMBING SUPPLIES	P07726	NORTH TORONTO-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	NUT BOLT WASHER	
"PARKS, FORESTRY & RECREATION"	3087-8	2014-07-17	2014-07-21	FABCO PLASTICS WHOLESA	312.00	CAD	312.00	CAD	2535	PLUMBING SUPPLIES	P03027	BAYCREST-OPERATIONS	7399	Business Services - Not Elsewhere Classi	PVC FITTINGS	
"PARKS, FORESTRY & RECREATION"	3089-2	2014-07-21	2014-07-22	CENTENNIAL PLUMBING SU	25.99	CAD	25.99	CAD	2535	PLUMBING SUPPLIES	P12005	LASTMAN SQ-AIRS-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	HOSE CLAMP	
"PARKS, FORESTRY & RECREATION"	3089-3	2014-07-21	2014-07-22	CENTENNIAL PLUMBING SU	166.00	CAD	166.00	CAD	2535	PLUMBING SUPPLIES	P12005	LASTMAN SQ-AIRS-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	"5/8 HOSE, 3/4 ELBOW BRASS"	
"PARKS, FORESTRY & RECREATION"	3093-4	2014-07-22	2014-07-24	SP S COMM SWIMMING POO	149.73	CAD	149.73	CAD	2535	PLUMBING SUPPLIES	P07701	GOULDING CC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	"7"" WHEELS"	
"PARKS, FORESTRY & RECREATION"	3093-5	2014-07-22	2014-07-24	SP S COMM SWIMMING POO	151.73	CAD	151.73	CAD	2535	PLUMBING SUPPLIES	P07726	NORTH TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	STENNEL TUBE	
"PARKS, FORESTRY & RECREATION"	3093-6	2014-07-22	2014-07-24	SP S COMM SWIMMING POO	648.62	CAD	648.62	CAD	2535	PLUMBING SUPPLIES	P07726	NORTH TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	ORP/PH SENSOR	
"PARKS, FORESTRY & RECREATION"	3093-7	2014-07-23	2014-07-24	SCP	119.12	CAD	119.12	CAD	2535	PLUMBING SUPPLIES	P07707	RODING CC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	TELESCOPIC POLE	
"PARKS, FORESTRY & RECREATION"	3095-6	2014-07-23	2014-07-25	THE HOME DEPOT #7078	45.18	CAD	45.18	CAD	2135	PARTS - TIRES/TUBES	P07703	IW HAPLEY CC-OPERATIONS	5200	Home Supply Warehouse	2-PLY TIRE	
"PARKS, FORESTRY & RECREATION"	3104-1	2014-07-29	2014-07-31	ANGELO'S ELECTRIC LTD	47.46	CAD	47.46	CAD	4410	CONTRACTED SERVICES - ELECTRICAL	P00853	ALNESS YD-TRADES	7629	"Appliance Repair Shops, Electrical and S"	TOOL REPAIR	
					"3,848.83"	CAD	"3,848.83"	CAD								
