Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element /Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3033-1	2014-06-10	2014-06-11	LOWES #03096*	90.35	CAD	90.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00608	"TURF, HORT, SPORT & GS - EY2"	5200	Home Supply Warehouse	**MORE**  17L DRIVEWAY SEALER-ULTRAMAX 1000	
"PARKS, FORESTRY & RECREATION"	3035-1	2014-06-10	2014-06-12	THE HOME DEPOT #7011	156.17	CAD	156.17	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  HOSE REPAIR	
"PARKS, FORESTRY & RECREATION"	3043-4	2014-06-16	2014-06-18	VARSITY TENT   EVENT R	593.25	CAD	593.25	CAD	4590	RENTAL - OTHER	P10960	CENTENNIAL STADIUM-OPERATIONS	7394	"Equipment Rental and Leasing Services, F"	TENTS FOR CANADA DAY CITIZENSHIP CEREMONY	
"PARKS, FORESTRY & RECREATION"	3046-6	2014-06-18	2014-06-19	HANFORD LUMBER LIMITED	762.07	CAD	762.07	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5211	"Building Materials, Lumber Stores"	LUMBER TO REPAIR PARK AMENITIES	
"PARKS, FORESTRY & RECREATION"	3047-2	2014-06-18	2014-06-20	THE HOME DEPOT #7011	127.73	CAD	127.73	CAD	2535	PLUMBING SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5200	Home Supply Warehouse	HOSE REPAIR	
"PARKS, FORESTRY & RECREATION"	3049-3	2014-06-18	2014-06-23	JJ DOWNS INDUSTRIAL	312.14	CAD	312.14	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	CAPS FOR WATER LINES ON SKI HILL	
"PARKS, FORESTRY & RECREATION"	3049-4	2014-06-20	2014-06-23	LEE VALLEY TOOLS 800-2	478.04	CAD	478.04	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5251	Hardware Stores	"WATERING CANS, PRUNERS"	
"PARKS, FORESTRY & RECREATION"	3053-3	2014-06-24	2014-06-25	VANDEN BUSSCHE IRRIGAT	468.43	CAD	468.43	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PARK-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	SPRINKLER HEADS	
"PARKS, FORESTRY & RECREATION"	3054-4	2014-06-25	2014-06-26	AUTOMOTIVE TOOLS	404.54	CAD	404.54	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PARK-PRGM SUPPORT	5533	"Automotive Parts, Accessories Stores"	BATTERIES & CHARGES FOR CORDLESS TOOLS	
"PARKS, FORESTRY & RECREATION"	3055-3	2014-06-26	2014-06-27	W.E. ENTERPRISES LTD	293.80	CAD	293.80	CAD	3010	M & E - AGRICULTURAL & BOTANICAL	P00656	CENTENNIAL PARK-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	DEFLECTOR KIT FOR TRACTOR MOUNTED FERTILIZER SPREA	
					"5,612.23"	CAD	"5,612.23"	CAD								
"PARKS, FORESTRY & RECREATION"	3029-5	2014-06-05	2014-06-09	SP S COMM SWIMMING POO	266.54	CAD	266.54	CAD	2535	PLUMBING SUPPLIES	P07705	ORIOLE CC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	LIFEGUARD CHAIR WHEELS	
"PARKS, FORESTRY & RECREATION"	3029-6	2014-06-06	2014-06-09	WATER AND ICE NORTH AM	415.84	CAD	415.84	CAD	2535	PLUMBING SUPPLIES	P07702	GRANDRAVINE CC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	SKIMMER LIDS	
"PARKS, FORESTRY & RECREATION"	3029-7	2014-06-06	2014-06-09	WATER AND ICE NORTH AM	698.34	CAD	698.34	CAD	2535	PLUMBING SUPPLIES	P07700	GLEN LONG CC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	FRAMES & GRATES	
"PARKS, FORESTRY & RECREATION"	3035-2	2014-06-11	2014-06-12	WATER AND ICE NORTH AM	103.96	CAD	103.96	CAD	2535	PLUMBING SUPPLIES	P06684	DRIFTWOOD CC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	STARGUARD MAIN DRAIN	
"PARKS, FORESTRY & RECREATION"	3049-5	2014-06-20	2014-06-23	WATER AND ICE NORTH AM	541.27	CAD	541.27	CAD	2535	PLUMBING SUPPLIES	P12302	RW-OU-OPERATIONS OUT POOL-FAIRBANK	5996	Swimming Pools - Sales and Supplies	SENSORS	
"PARKS, FORESTRY & RECREATION"	3057-5	2014-06-26	2014-06-30	SP S COMM SWIMMING POO	138.92	CAD	138.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P06682	BRDLANDS CC-OPERATIONS	5996	Swimming Pools - Sales and Supplies	LIFEGUARD CHAIR WHEELS	
"PARKS, FORESTRY & RECREATION"	3057-6	2014-06-27	2014-06-30	WATER AND ICE NORTH AM	788.74	CAD	788.74	CAD	2710	GENERAL HARDWARE	P07726	NORTH TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	LADDER STEPS	
					"2,953.61"	CAD	"2,953.61"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3020-3	2014-06-02	2014-06-03	BULK BARN	44.45	CAD	44.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	PRESERVED GINGER	
ECONOMIC DEVELOPMENT & CULTURE	3031-3	2014-06-09	2014-06-10	FRIES INC	271.63	CAD	271.63	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7623	Air Conditioning and Refrigeration Repai	REPAIR ICE MACHINE	
ECONOMIC DEVELOPMENT & CULTURE	3043-5	2014-06-17	2014-06-18	SOBEYS 938        QPS	25.87	CAD	25.87	CAD	2570	JANITORIAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	SURFACE CLEANER AND LAUNDRY SOAP	
ECONOMIC DEVELOPMENT & CULTURE	3047-3	2014-06-19	2014-06-20	SOBEYS 938        QPS	14.74	CAD	14.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CRACKERS, TOMATOES, MILK"	
					356.69	CAD	356.69	CAD								
AFFORDABLE HOUSING OFFICE	3043-6	2014-06-17	2014-06-18	PORTER AI	196.90	CAD	196.90	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	4511	"Air Carriers, Airlines - Not Elsewhere C"	HOUSING MEETING - OTTAWA	
					196.90	CAD	196.90	CAD								
FIRE SERVICES	3046-7	2014-06-17	2014-06-19	CDN TIRE STORE #00654	67.66	CAD	67.66	CAD	2710	GENERAL HARDWARE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	DUCT TAPE	
					67.66	CAD	67.66	CAD								
TRANSPORTATION SERVICES 	3018-2	2014-05-29	2014-06-02	MGS SO PUBL ONTARIO PR	"1,174.36"	CAD	"1,174.36"	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	9399	Government Services - Not Elsewhere Clas	OTM BOOK 7 TEMP COND FIELD EDITIONS	
TRANSPORTATION SERVICES 	3042-1	2014-06-16	2014-06-17	PSHSA	119.14	CAD	119.14	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	8398	"Organizations, Charitable and Social Ser"	HANDBOOKS FOR MUNICIPAL TRAFFIC CONTROL PERSONS	
TRANSPORTATION SERVICES 	3049-6	2014-06-19	2014-06-23	MGS SO PUBL ONTARIO PR	132.83	CAD	132.83	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	9399	Government Services - Not Elsewhere Clas	OTM BOOK 7 TEMP COND FIELD ED (OFFICE EDITION)	
TRANSPORTATION SERVICES 	3049-7	2014-06-20	2014-06-23	PAYPAL *TWEETYMAIL	5.56	CAD	5.56	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3049-8	2014-06-20	2014-06-23	PAYPAL *TWEETYMAIL	5.56	CAD	5.56	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3049-9	2014-06-20	2014-06-23	PAYPAL *TWEETYMAIL	5.56	CAD	5.56	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3049-10	2014-06-20	2014-06-23	PAYPAL *TWEETYMAIL	5.56	CAD	5.56	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					"1,448.57"	CAD	"1,448.57"	CAD								
"PARKS, FORESTRY & RECREATION"	3021-1	2014-06-03	2014-06-04	MICHAELS #3982	60.97	CAD	60.97	CAD	2715	PAINT SUPPLIES	P00152	C-WATERFRONT3-TURF&HORT	5945	"Game, Toy, and Hobby Shops"	FLORAL PAINT	
"PARKS, FORESTRY & RECREATION"	3025-2	2014-06-04	2014-06-05	LOBLAWS #1021	271.11	CAD	271.11	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00152	C-WATERFRONT3-TURF&HORT	5411	"Grocery Stores, Supermarkets"	SHRIMP PLANT STANDARD FOR CITY HALL VASES	
"PARKS, FORESTRY & RECREATION"	3031-4	2014-06-09	2014-06-10	BEST BUY #977	215.52	CAD	215.52	CAD	3032	M & E - PHOTOGRAPHIC	P00152	C-WATERFRONT3-TURF&HORT	5732	Electronic Sales	CAMERAS FOR DOC SPORSTFIELD USE BY PERMIT HOLDERS	
"PARKS, FORESTRY & RECREATION"	3035-3	2014-06-11	2014-06-12	LOWES #02633*	880.52	CAD	880.52	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	1GALLON CORDYLINE	
"PARKS, FORESTRY & RECREATION"	3037-2	2014-06-11	2014-06-13	CDN TIRE STORE #00273	29.90	CAD	29.90	CAD	2710	GENERAL HARDWARE	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	UBOLTS FOR HANGING BASKETS AT EYCC	
"PARKS, FORESTRY & RECREATION"	3046-8	2014-06-18	2014-06-19	ROCK VALLEY NATURAL ST	966.15	CAD	966.15	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00152	C-WATERFRONT3-TURF&HORT	5261	Lawn and Garden Supply Stores	BEACH PEBBLES FOR LANDSCAPING	
					"2,424.17"	CAD	"2,424.17"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3018-3	2014-05-30	2014-06-02	XEROX CANADA LTD -A/R	50.27	CAD	50.27	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7399	Business Services - Not Elsewhere Classi	STAPLE CARTRIDGE	
ECONOMIC DEVELOPMENT & CULTURE	3018-4	2014-05-30	2014-06-02	GIANT CONTAINER SERVIC	406.80	CAD	406.80	CAD	4590	RENTAL - OTHER	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5046	Commercial Equipment Not Elsewhere Class	RENTAL OF STORAGE CONTAINER	
ECONOMIC DEVELOPMENT & CULTURE	3027-2	2014-06-05	2014-06-06	MODERN AIR FILTER	-12.65	CAD	-12.65	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	AH0132	CD-AM-FAC MGMT-LAKESHORE A.H	5085	Industrial Supplies Not Elsewhere Classi	REFUND - OVERCHARGE OF AIR HANDLER FILTERS	
ECONOMIC DEVELOPMENT & CULTURE	3029-8	2014-06-08	2014-06-09	AMAZON.CA	293.78	CAD	293.78	CAD	3032	M & E - PHOTOGRAPHIC	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	4816	Computer Network/Information Services	PHOTOGRAPHY2 LACIE RUGGED 1 TB PORTABLE HARD DRIVE	
ECONOMIC DEVELOPMENT & CULTURE	3031-5	2014-06-09	2014-06-10	AMAZON *MARKETPLCE CA	637.12	CAD	637.12	CAD	3032	M & E - PHOTOGRAPHIC	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	4816	Computer Network/Information Services	PHOTOGRAPHY 22 SANDISK 32GB SDHC MEMORY CARD	
ECONOMIC DEVELOPMENT & CULTURE	3037-3	2014-06-12	2014-06-13	HENRY'S COMMERCIAL	576.87	CAD	576.87	CAD	3032	M & E - PHOTOGRAPHIC	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5946	Camera and Photographic Supply Stores	7 COMPACT DSLR BAG & 22 TRANSCEND 32GB JETFLASH	
ECONOMIC DEVELOPMENT & CULTURE	3039-1	2014-06-14	2014-06-16	AMAZON *MARKETPLCE CA	169.44	CAD	169.44	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	4816	Computer Network/Information Services	10 PACK OF FUJIFILM FP-100 C FILM	
ECONOMIC DEVELOPMENT & CULTURE	3042-2	2014-06-16	2014-06-17	NOFRILLS TIM SUES 1352	9.52	CAD	9.52	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	MILK & CREAM FOR SNACK BAR	
ECONOMIC DEVELOPMENT & CULTURE	3043-7	2014-06-17	2014-06-18	SOBEYS 741        QPS	100.00	CAD	100.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	GIFT CARDS FOR AWARD	
ECONOMIC DEVELOPMENT & CULTURE	3043-8	2014-06-17	2014-06-18	NUTHOUSE	6.99	CAD	6.99	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5441	"Candy, Nut, Confectionery Stores"	FIELD ROAST V FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	3051-4	2014-06-23	2014-06-24	LAKESHORE LUMBER	39.67	CAD	39.67	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5251	Hardware Stores	"WRENCH, CALIPER, BRUSH, PLUNGER"	
