Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	1938-2	04-04-2012	04-09-2012	BRAFASCO / MISSISSAUGA	86.91	CAD	86.91	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1940-3	04-05-2012	04-10-2012	BRAFASCO / MISSISSAUGA	55.01	CAD	55.01	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1946-1	04-11-2012	04-13-2012	BRAFASCO / MISSISSAUGA	320.36	CAD	320.36	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1946-2	04-12-2012	04-13-2012	ISLINGTON NURSERIES LI	113.00	CAD	113.00	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5261	Lawn and Garden Supply Stores		
"PARKS, FORESTRY & RECREATION"	1948-3	04-13-2012	04-16-2012	LOWES #03096*	31.73	CAD	31.73	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5200	Home Supply Warehouse	CLASSIC METAL PISTOL NOZZLE	
"PARKS, FORESTRY & RECREATION"	1948-4	04-13-2012	04-16-2012	W E  ENTERPRISES	235.04	CAD	235.04	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5261	Lawn and Garden Supply Stores		
"PARKS, FORESTRY & RECREATION"	1949-2	04-12-2012	04-17-2012	CDN TIRE STORE #00152	328.77	CAD	328.77	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1949-3	04-13-2012	04-17-2012	CDN TIRE STORE #00070	105.94	CAD	105.94	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1949-4	04-12-2012	04-17-2012	CDN TIRE STORE #00070	124.29	CAD	124.29	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1961-2	04-25-2012	04-26-2012	THE SOURCE 5186	62.13	CAD	62.13	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5732	Electronic Sales		
"PARKS, FORESTRY & RECREATION"	1965-2	04-26-2012	04-30-2012	JACK WATSON  11680	536.42	CAD	536.42	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5941	Sporting Goods Stores		
					"2,194.49"	CAD	"2,194.49"	CAD								
"PARKS, FORESTRY & RECREATION"	1928-2	03-30-2012	04-02-2012	RTA ELECTRIC MOTOR COR	528.84	CAD	528.84	CAD	3099	GENERAL EQUIPMENT	P00859	ALNESS YD-YD OPERN	7538	Automotive Service Shops	MOTOR FOR MIXER	
"PARKS, FORESTRY & RECREATION"	1942-1	04-10-2012	04-11-2012	CONCORD HARDWARE LIMIT	43.30	CAD	43.30	CAD	3080	M & E - HAND TOOLS	P07696	ANTIBES CC-OPERATION	5251	Hardware Stores	CHISELS	
"PARKS, FORESTRY & RECREATION"	1949-5	04-16-2012	04-17-2012	FABCO PLASTICS WHOLESA	969.54	CAD	969.54	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	7399	Business Services - Not Elsewhere Classi	PLASTIC TANK	
					"1,541.68"	CAD	"1,541.68"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1934-1	04-03-2012	04-04-2012	PRICE CHOPPER #7938QPS	57.99	CAD	57.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	"JUICE,ONIONS,POTATOES FOIL FOR LHP"	
ECONOMIC DEVELOPMENT & CULTURE	1946-3	04-12-2012	04-13-2012	PRICE CHOPPER #7938QPS	195.78	CAD	195.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	"POTATOES, CARROTS, CEREAL, BEEF, BUNS FOR LHP"	
ECONOMIC DEVELOPMENT & CULTURE	1950-1	04-17-2012	04-18-2012	LAKESHORE LUMBER	271.20	CAD	271.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5251	Hardware Stores	TRIPLE MIX SOIL FOR HERITAGE KITCHEN GARDEN	
ECONOMIC DEVELOPMENT & CULTURE	1954-1	04-19-2012	04-20-2012	METRO #720	13.47	CAD	13.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	EGGS FOR KITCHEN PROGRAMMES	
ECONOMIC DEVELOPMENT & CULTURE	1954-2	04-19-2012	04-20-2012	PRICE CHOPPER #7938QPS	49.92	CAD	49.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BUTTER, CURRANTS, HOT CHOCOLATE FOR LHP"	
ECONOMIC DEVELOPMENT & CULTURE	1956-2	04-22-2012	04-23-2012	PRICE CHOPPER #7869QPS	5.38	CAD	5.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	EGGS FOR KITCHEN PROGRAMMES	
ECONOMIC DEVELOPMENT & CULTURE	1961-3	04-25-2012	04-26-2012	WHITEHOUSE MEA	150.00	CAD	150.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5422	"Freezer, Locker Meat Provisioners"	STEWING BEEF FOR LHP	
ECONOMIC DEVELOPMENT & CULTURE	1961-4	04-25-2012	04-26-2012	PRICE CHOPPER #7938QPS	69.43	CAD	69.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CREAM, JUICE, TEA, ONIONS, BROTH, POTATOES FOR LHP"	
ECONOMIC DEVELOPMENT & CULTURE	1961-5	04-25-2012	04-26-2012	PLACEWARES	92.66	CAD	92.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5719	Miscellaneous House Furnishing Specialty	CAKE PANS AND SPATULAS FOR KITCHEN	
ECONOMIC DEVELOPMENT & CULTURE	1962-3	04-26-2012	04-27-2012	PRICE CHOPPER #7869QPS	16.14	CAD	16.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	CARROTS AND EGGS FOR LHP	
					921.97	CAD	921.97	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1962-4	04-25-2012	04-27-2012	TORONTO PUBLIC HEALTH	80.89	CAD	80.89	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	AH0087	HS-MH-PRS-GIBSON HOU	9399	Government Services - Not Elsewhere Clas	FOOD HANDLER TRAINING & CERTIFICATION FOR STAFF	
					80.89	CAD	80.89	CAD								
AFFORDABLE HOUSING OFFICE	1954-3	04-18-2012	04-20-2012	SOCIAL HOUSING SERVICE	452.00	CAD	452.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AHO - HSG DEV ADM E	7399	Business Services - Not Elsewhere Classi	REGISTRATION-HSC REGENERATION FORUM	
AFFORDABLE HOUSING OFFICE	1954-4	04-18-2012	04-20-2012	SOCIAL HOUSING SERVICE	452.00	CAD	452.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AHO - HSG DEV ADM E	7399	Business Services - Not Elsewhere Classi	REGISTRATION-HSC REGENERATION FORUM	
AFFORDABLE HOUSING OFFICE	1960-2	04-24-2012	04-25-2012	GRAND   TOY # 1080	60.96	CAD	60.96	CAD	2010	STATIONERY AND OFFICE SUPPLIES	H20001	AHO - HSG DEV ADM E	5943	"Office, School Supply, and Stationery St"	DIVIDERS	
					964.96	CAD	964.96	CAD								
FIRE SERVICES	1954-5	04-18-2012	04-20-2012	CDN TIRE STORE #00654	55.84	CAD	55.84	CAD	2710	GENERAL HARDWARE	FR0035	CBRNR	5200	Home Supply Warehouse	DUCT TAPE FOR TRAINING EXERCISE	
					55.84	CAD	55.84	CAD								
TRANSPORTATION SERVICES 	1948-5	04-13-2012	04-16-2012	CITE	480.25	CAD	480.25	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0399	SIGNS/MKGS MGMT & OH	7311	Advertising Services	ONLINE JOB POSTING ON BEHALF OF TMC (UTCS)	
					480.25	CAD	480.25	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1961-6	04-25-2012	04-26-2012	NEDCO CTRL DIV. WESTBU	24.44	CAD	24.44	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RRP-LAKESHORE	5065	Electrical Parts and Equipment	15 IN 1 MULTI BIT SCREWDRIVER	
ECONOMIC DEVELOPMENT & CULTURE	1961-7	04-25-2012	04-26-2012	LAKESHORE LUMBER	401.60	CAD	401.60	CAD	2110	PARTS - FURNITURE & FIXTURES	AH0129	AS-PR-RRP-LAKESHORE	5251	Hardware Stores	PARTS FOR CONSTRUCTION OF TABLES FOR ASSEMBLY HALL	
ECONOMIC DEVELOPMENT & CULTURE	1961-8	04-25-2012	04-26-2012	LAKESHORE LUMBER	178.24	CAD	178.24	CAD	2110	PARTS - FURNITURE & FIXTURES	AH0129	AS-PR-RRP-LAKESHORE	5251	Hardware Stores	PARTS FOR CONSTRUCTION OF TABLES FOR ASSEMBLY HALL	
					604.28	CAD	604.28	CAD								
PUBLIC HEALTH	1944-1	04-10-2012	04-12-2012	PAYPAL *SHANNONMCCA	295.00	CAD	295.00	CAD	4760	MEMBERSHIP FEES	PH3614	SCHOOL AGED CHILDREN	8999	Professional Services - Not Elsewhere Cl	MEMBERSHIP-ISHN-OGRANIZATION 2012	
PUBLIC HEALTH	1946-4	04-12-2012	04-13-2012	KARELO.COM 6046082774	200.00	CAD	200.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3614	SCHOOL AGED CHILDREN	7372	"Computer Programming, Integrated Systems"	OHSC FORUM 2012	
PUBLIC HEALTH	1954-6	04-19-2012	04-20-2012	BEST WESTERN PREMIER C	124.30	CAD	124.30	CAD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	PH3614	SCHOOL AGED CHILDREN	3502	Best Western Hotels		
PUBLIC HEALTH	1962-5	04-25-2012	04-27-2012	THE HOSPITAL FOR SICK	500.00	CAD	500.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3614	SCHOOL AGED CHILDREN	8062	Hospitals	HSC-3RD NATIONAL SYMPOSIUM ON & YOUTH MENTAL HLTH	
					"1,119.30"	CAD	"1,119.30"	CAD								
SOLID WASTE MANAGEMENT	1938-3	04-04-2012	04-09-2012	THE HOME DEPOT #7012	16.89	CAD	16.89	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW358-11-05	BUILDING AMENDITIES AND UPGRADES	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1938-4	04-05-2012	04-09-2012	EMPIRE HARDWARE LTD	37.43	CAD	37.43	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW358-11-05	BUILDING AMENDITIES AND UPGRADES	5072	Hardware Equipment and Supplies	"CT 45-1-36"" ALUM"	
SOLID WASTE MANAGEMENT	1948-6	04-12-2012	04-16-2012	THE HOME DEPOT #7129	47.93	CAD	47.93	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0810	INGRAM TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1950-2	04-16-2012	04-18-2012	THE HOME DEPOT #7134	79.68	CAD	79.68	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0810	INGRAM TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1954-7	04-18-2012	04-20-2012	THE HOME DEPOT #7078	16.35	CAD	16.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0810	INGRAM TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1960-3	04-23-2012	04-25-2012	THE HOME DEPOT #7134	14.47	CAD	14.47	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW358-11-05	BUILDING AMENDITIES AND UPGRADES	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1961-9	04-24-2012	04-26-2012	THE HOME DEPOT #7129	114.72	CAD	114.72	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW358-11-05	BUILDING AMENDITIES AND UPGRADES	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1965-3	04-27-2012	04-30-2012	THE HOME DEPOT #7078	34.19	CAD	34.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0810	INGRAM TS OPER	5200	Home Supply Warehouse	*****	
					361.66	CAD	361.66	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1953-4	04-17-2012	04-19-2012	THE HOME DEPOT #7073	11.62	CAD	11.62	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5200	Home Supply Warehouse	BRACE WIRE	
ECONOMIC DEVELOPMENT & CULTURE	1953-5	04-17-2012	04-19-2012	CENTURY MILL LUMBER	79.67	CAD	79.67	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5211	"Building Materials, Lumber Stores"	6 CEDAR POSTS	
ECONOMIC DEVELOPMENT & CULTURE	1954-8	04-18-2012	04-20-2012	THE HOME DEPOT #7073	11.62	CAD	11.62	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5200	Home Supply Warehouse	BRACE WIRE	
ECONOMIC DEVELOPMENT & CULTURE	1956-3	04-20-2012	04-23-2012	THE HOME DEPOT #7011	28.00	CAD	28.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5200	Home Supply Warehouse	*****	
					130.91	CAD	130.91	CAD								
TORONTO WATER	1948-7	04-13-2012	04-16-2012	TIGERDIRECT.CA	232.97	CAD	232.97	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	WW1081	HCTP SOLIDS TRT WA1	5964	Direct Marketing - Catalog Merchants	TONER	
TORONTO WATER	1950-3	04-18-2012	04-18-2012	BELL EXPRESSVU	105.24	CAD	105.24	CAD	4441	CONTRACTED SERVICES - CABLE TV	WW1060	HCTP PLANT ADMIN SUP	4899	Cable and Other Pay Television Services	PROGRAMMING SYSTEM	
					338.21	CAD	338.21	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1962-6	04-26-2012	04-27-2012	GEMINI FIBRES	149.16	CAD	149.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUB-CEDAR RIDG	5949	"Fabric, Needlework, Piece Goods, and Sew"	PROGRAM SUPPLIES-LOOM BEATER BUMPERS FOR WEAVING	
					149.16	CAD	149.16	CAD								
PPFA	1949-6	04-13-2012	04-17-2012	TPL ROOM BOOKINGS	56.50	CAD	56.50	CAD	4590	RENTAL - OTHER	CWW421-05	2006 BASEMENT FLOODING RELIEF	9399	Government Services - Not Elsewhere Clas	TPL - BASEMENT FLOODING MEETING	
PPFA	1949-7	04-13-2012	04-17-2012	TPL ROOM BOOKINGS	113.00	CAD	113.00	CAD	4590	RENTAL - OTHER	CWW421-05	2006 BASEMENT FLOODING RELIEF	9399	Government Services - Not Elsewhere Clas	TPL - BASEMENT FLOODING MEETING	
					169.50	CAD	169.50	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1953-6	04-17-2012	04-19-2012	CDN TIRE STORE #00126	14.68	CAD	14.68	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5200	Home Supply Warehouse	PEST CONTROL	
ECONOMIC DEVELOPMENT & CULTURE	1954-9	04-19-2012	04-20-2012	NOFRILLS JOSEPHS 730	26.92	CAD	26.92	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5411	"Grocery Stores, Supermarkets"	Q-TIPS	
ECONOMIC DEVELOPMENT & CULTURE	1960-4	04-24-2012	04-25-2012	HENRY'S DOWNTOWN TORON	15.24	CAD	15.24	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5946	Camera and Photographic Supply Stores	HANGER BARS	
					56.84	CAD	56.84	CAD								
SOLID WASTE MANAGEMENT	1934-2	04-03-2012	04-04-2012	DAV*DAVIS INSTRUMENTS	127.75	CAD	125.00	USD	2575	ELECTRICAL SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5969	Direct Marketing - Other Direct Marketer	2 PVC S40 FIP ADAPTER 35141	
					127.75	CAD	125.00	USD								
ECONOMIC DEVELOPMENT & CULTURE	1965-4	04-27-2012	04-30-2012	DOMTAR DISTRIBUTION GR	274.48	CAD	274.48	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0102	HS-MH-PUB-MACKENZIE	5943	"Office, School Supply, and Stationery St"	SPECIALTY PAPER FOR SPECIALTY PRINTING	
					274.48	CAD	274.48	CAD								
"PARKS, FORESTRY & RECREATION"	1934-3	04-02-2012	04-04-2012	LCBO/RAO #0164	575.19	CAD	575.19	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	BAR ITEMS FOR RESALE	
"PARKS, FORESTRY & RECREATION"	1944-2	04-10-2012	04-12-2012	LCBO/RAO #804	952.51	CAD	952.51	CAD	2760	ALCOHOLIC BEVERAGES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	RE STOCK BAR SUPPLIES FOR RE SALE	
"PARKS, FORESTRY & RECREATION"	1944-3	04-11-2012	04-12-2012	LOBLAWS #092 REDWAY RD	32.36	CAD	32.36	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	P12183	LEASIDE CURLING-SPEC	5411	"Grocery Stores, Supermarkets"	BAR ITEMS FOR RESALE	
"PARKS, FORESTRY & RECREATION"	1946-5	04-11-2012	04-13-2012	LCBO/RAO #804	-69.93	CAD	-69.93	CAD	2760	ALCOHOLIC BEVERAGES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	REFUND	
"PARKS, FORESTRY & RECREATION"	1948-8	04-12-2012	04-16-2012	R.G. HENDERSON   SON L	447.39	CAD	447.39	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P12182	LEASIDE CURLING-SPEC	5712	"Equipment, Furniture, and Home Furnishin"	REPAIRS TO DRAFT BEER FRIDGE	
"PARKS, FORESTRY & RECREATION"	1948-9	04-12-2012	04-16-2012	LCBO/RAO #0164	163.66	CAD	163.66	CAD	2760	ALCOHOLIC BEVERAGES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	RE STOCK BAR SUPPLIES FOR RE SALE	
"PARKS, FORESTRY & RECREATION"	1960-5	04-23-2012	04-25-2012	R.G. HENDERSON   SON L	255.95	CAD	255.95	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P12183	LEASIDE CURLING-SPEC	5712	"Equipment, Furniture, and Home Furnishin"	REPAIRS TO DRAFT BEER FRIDGE	
"PARKS, FORESTRY & RECREATION"	1960-6	04-24-2012	04-25-2012	CARSWELL	30.13	CAD	30.13	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P12220	LEASIDE CURL-REC P S	7338	"Quick Copy, Reproduction, and Blueprinti"	HEALTH & SAFETY REGULATIONS	
					"2,387.26"	CAD	"2,387.26"	CAD								
"PARKS, FORESTRY & RECREATION"	1938-5	04-04-2012	04-09-2012	LCBO/RAO #804	"1,090.89"	CAD	"1,090.89"	CAD	2760	ALCOHOLIC BEVERAGES	P12543	EAST YK CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	ALCOHOL FOR RESALE AT BAR	
"PARKS, FORESTRY & RECREATION"	1950-4	04-16-2012	04-18-2012	LCBO/RAO #804	700.59	CAD	700.59	CAD	2760	ALCOHOLIC BEVERAGES	P12543	EAST YK CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	ALCOHOL FOR RESALE AT BAR	
