Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	1816-3	01-12-2012	01-16-2012	TECHNICAL STANDARDS AN	60.00	CAD	60.00	CAD	2181	PARTS - VEHICLES	P10910	CENTENNIAL SKI CTR-O	1799	"Contractors, Special Trade - Not Elsewhe"	LICENSE PLATE	
"PARKS, FORESTRY & RECREATION"	1820-1	01-17-2012	01-18-2012	IKEA ETOBICOKE	202.27	CAD	202.27	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P10910	CENTENNIAL SKI CTR-O	5712	"Equipment, Furniture, and Home Furnishin"	OFFICE CHAIR	
"PARKS, FORESTRY & RECREATION"	1820-2	01-17-2012	01-18-2012	LOWES #03096*	36.50	CAD	36.50	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1822-1	01-17-2012	01-19-2012	THE HOME DEPOT #7011	111.67	CAD	111.67	CAD	2570	JANITORIAL SUPPLIES	*****	MULTIPLE COST CENTRES ASSIGNED	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1830-2	01-24-2012	01-25-2012	TORBRAM ELECTRIC SUPPL	148.91	CAD	148.91	CAD	2575	ELECTRICAL SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5065	Electrical Parts and Equipment	HEATING CABLE	
"PARKS, FORESTRY & RECREATION"	1832-3	01-25-2012	01-26-2012	TORBRAM ELECTRIC SUPPL	51.19	CAD	51.19	CAD	2575	ELECTRICAL SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5065	Electrical Parts and Equipment	VOLTAGE DETECTOR	
"PARKS, FORESTRY & RECREATION"	1833-2	01-25-2012	01-27-2012	MISSISSAUGA HARDWARE C	111.87	CAD	111.87	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00656	CENTENNIAL PK-PGM SU	5072	Hardware Equipment and Supplies	CIRCULAR SAW BLADE	
"PARKS, FORESTRY & RECREATION"	1837-2	01-30-2012	01-31-2012	LOWES #03096*	415.99	CAD	415.99	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
					"3,841.41"	CAD	"3,841.41"	CAD								
"PARKS, FORESTRY & RECREATION"	1813-3	01-11-2012	01-13-2012	RONA NOBLE TRADE 52010	144.10	CAD	144.10	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00859	ALNESS YD-YD OPERN	5251	Hardware Stores	HEATING CABLE	
"PARKS, FORESTRY & RECREATION"	1835-3	01-27-2012	01-30-2012	THE HOME DEPOT #7078	207.63	CAD	207.63	CAD	3080	M & E - HAND TOOLS	P00859	ALNESS YD-YD OPERN	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1835-4	01-29-2012	01-30-2012	WATER AND ICE NORTH AM	437.31	CAD	437.31	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	FLOW SENSOR	
"PARKS, FORESTRY & RECREATION"	1835-5	01-29-2012	01-30-2012	WATER AND ICE NORTH AM	200.01	CAD	200.01	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	"6"" STRAINER LID"	
"PARKS, FORESTRY & RECREATION"	1835-6	01-29-2012	01-30-2012	WATER AND ICE NORTH AM	57.63	CAD	57.63	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	"4"" PRESSURE GAUGES"	
					"1,046.68"	CAD	"1,046.68"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1809-4	01-10-2012	01-11-2012	METRO #720	91.03	CAD	91.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"RECIPE TESTING, MUSHRMS, TURNIPS, SPICES QC BALL"	
ECONOMIC DEVELOPMENT & CULTURE	1813-4	01-12-2012	01-13-2012	PRICE CHOPPER #7938QPS	18.95	CAD	18.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"RECIPE TESTING, SPINACH, APPLES, ROAST FOR QC BALL"	
ECONOMIC DEVELOPMENT & CULTURE	1816-4	01-13-2012	01-16-2012	PRICE CHOPPER #7869QPS	7.98	CAD	7.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"RECIPE TESTING, VEG BROTH FOR QUEEN CHAR BALL"	
ECONOMIC DEVELOPMENT & CULTURE	1818-2	01-16-2012	01-17-2012	PRICE CHOPPER #7938QPS	64.21	CAD	64.21	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	*****	MULTIPLE COST CENTRES ASSIGNED	5411	"Grocery Stores, Supermarkets"	*****	
ECONOMIC DEVELOPMENT & CULTURE	1822-2	01-17-2012	01-19-2012	IMPERIAL COFFEE AND SE	185.32	CAD	185.32	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0091	HS-MH-PRS-FORT YORK	5111	"Stationery, Office Supplies, Printing an"	LIDS AND JACKETS FOR COFFEE SERVICE IN GIFT SHOP	
ECONOMIC DEVELOPMENT & CULTURE	1823-3	01-18-2012	01-20-2012	LCBO/RAO #0217	460.34	CAD	460.34	CAD	2760	ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5921	"Package Stores, Beer, Wine, Liquor"	ALCOHOL FOR QUEEN CHARLOTTE'S BALL	
ECONOMIC DEVELOPMENT & CULTURE	1823-4	01-19-2012	01-20-2012	METRO #720	77.79	CAD	77.79	CAD	2601	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	*****	
ECONOMIC DEVELOPMENT & CULTURE	1826-1	01-20-2012	01-23-2012	LOBLAWS 4.2	4.99	CAD	4.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	CIDER FOR QUEEN CHARLOTTE'S BALL	
ECONOMIC DEVELOPMENT & CULTURE	1835-7	01-27-2012	01-30-2012	PRICE CHOPPER #7938QPS	33.92	CAD	33.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CARROTS, HOT CHOC. FOR LIVING HISTORY PROGRAMME"	
					944.53	CAD	944.53	CAD								
AfFFORDABLE HOUSING OFFICE	1823-5	01-18-2012	01-20-2012	CHRA	282.50	CAD	282.50	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AHO - HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	"REGISTRATION - MAY2 TO MAY4, 2012"	
					282.50	CAD	282.50	CAD								
EMERGENCY MEDICAL SERVICES	1795-1	01-03-2012	01-04-2012	AWASH SYSTEM CORP.	366.41	CAD	366.41	CAD	4233	PCARD RECOVERIES	B25000	MATERIALS MGT-STORES	5046	Commercial Equipment Not Elsewhere Class	DISPUTED	
					366.41	CAD	366.41	CAD								
"PARKS, FORESTRY & RECREATION"	1794-2	12-29-2011	01-03-2012	CDN TIRE STORE #00654	264.68	CAD	264.68	CAD	2710	GENERAL HARDWARE	P00152	C-WTRFRONT3-TURF&HOR	5200	Home Supply Warehouse	"CORDS,TARPS"	
"PARKS, FORESTRY & RECREATION"	1820-3	01-17-2012	01-18-2012	ROTBLOTT'S DISCOUNT WH	147.93	CAD	147.93	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00152	C-WTRFRONT3-TURF&HOR	5251	Hardware Stores	"SALT PAILS, ZIP TIES FOR LITTER BAG REPAIR"	
"PARKS, FORESTRY & RECREATION"	1835-8	01-26-2012	01-30-2012	CDN TIRE STORE #00654	48.33	CAD	48.33	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00152	C-WTRFRONT3-TURF&HOR	5200	Home Supply Warehouse	"FLASH LIGHTS, STORAGE BOX"	
					460.94	CAD	460.94	CAD								
LONG TERM CARE HOMES	1835-9	01-27-2012	01-30-2012	BROTHER INT'L CORP LTD	126.54	CAD	126.54	CAD	2010	STATIONERY AND OFFICE SUPPLIES	D3L083	WESBURN-PS-PS	5949	"Fabric, Needlework, Piece Goods, and Sew"	INK CARTRIDGES	
					126.54	CAD	126.54	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1813-5	01-12-2012	01-13-2012	HARVEY'S PAINT   WALLP	127.61	CAD	127.61	CAD	2715	PAINT SUPPLIES	AH0108	HS-MH-REN-FORT YORK	5231	"Glass, Paint, Wallpaper Stores"	PAINT AND PAINTING SUPPLIES FOR ASSEMBLY HALL	
ECONOMIC DEVELOPMENT & CULTURE	1813-6	01-12-2012	01-13-2012	TORONTO PARKING AUTHOR	0.50	CAD	0.50	CAD	4770	PARKING EXPENSES (INTOWN)	AH0108	HS-MH-REN-FORT YORK	7523	Automobile Parking Lots and Garages	PARKING TO PICK UP PAINT AND PAINTING SUPPLIES	
ECONOMIC DEVELOPMENT & CULTURE	1818-3	01-16-2012	01-17-2012	HARVEY'S PAINT   WALLP	11.77	CAD	11.77	CAD	2715	PAINT SUPPLIES	AH0108	HS-MH-REN-FORT YORK	5231	"Glass, Paint, Wallpaper Stores"	PAINT AND PAINTING SUPPLIES FOR ASSEMBLY HALL	
ECONOMIC DEVELOPMENT & CULTURE	1818-4	01-16-2012	01-17-2012	LAKESHORE LUMBER	66.53	CAD	66.53	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0108	HS-MH-REN-FORT YORK	5251	Hardware Stores	BUILDING SUPPLIES FOR ASSEMBLY HALL REPAIRS	
ECONOMIC DEVELOPMENT & CULTURE	1835-10	01-25-2012	01-30-2012	MTCC	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0108	HS-MH-REN-FORT YORK	7523	Automobile Parking Lots and Garages	PARKING ATTENDANCE TRADE SHOW EVENT	
ECONOMIC DEVELOPMENT & CULTURE	1835-11	01-26-2012	01-30-2012	MTCC	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0108	HS-MH-REN-FORT YORK	7523	Automobile Parking Lots and Garages	PARKING ATTENDANCE TRADE SHOW EVENT	
					246.41	CAD	246.41	CAD								
SOLID WASTE MANAGEMENT	1808-2	01-09-2012	01-10-2012	ARBOR TOOLS LTD	23.14	CAD	23.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5085	Industrial Supplies Not Elsewhere Classi	14X108	
SOLID WASTE MANAGEMENT	1809-5	01-09-2012	01-11-2012	THE HOME DEPOT #7012	137.45	CAD	137.45	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1812-3	01-10-2012	01-12-2012	THE HOME DEPOT #7078	194.86	CAD	194.86	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1813-7	01-11-2012	01-13-2012	THE HOME DEPOT #7012	26.84	CAD	26.84	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1816-5	01-12-2012	01-16-2012	THE HOME DEPOT #7012	47.28	CAD	47.28	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	MULTIPLE COST CENTRES ASSIGNED	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1816-6	01-13-2012	01-16-2012	THE HOME DEPOT #7078	75.55	CAD	75.55	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1822-3	01-17-2012	01-19-2012	THE HOME DEPOT #7012	28.54	CAD	28.54	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1822-4	01-17-2012	01-19-2012	DUFFERIN TILE	346.04	CAD	346.04	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0805	DISCO TS OPER	5200	Home Supply Warehouse	TYPE2WALLGLUE-RUSTICA IVORY-LINEN UNSANDED	
SOLID WASTE MANAGEMENT	1830-3	01-23-2012	01-25-2012	DUFFERIN TILE	65.19	CAD	65.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5200	Home Supply Warehouse	TYPE2WALLGLUE-	
SOLID WASTE MANAGEMENT	1832-4	01-24-2012	01-26-2012	RONA # 55100	90.39	CAD	90.39	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5251	Hardware Stores	"SAW TILE 7"""	
SOLID WASTE MANAGEMENT	1835-12	01-27-2012	01-30-2012	THE HOME DEPOT #7078	185.79	CAD	185.79	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	*****	
					"1,221.07"	CAD	"1,221.07"	CAD								
"PARKS, FORESTRY & RECREATION"	1822-5	01-17-2012	01-19-2012	CHAIN SAW CLINIC LTD	379.68	CAD	379.68	CAD	2665	PROTECTIVE CLOTHING	P00271	E-SOUTH1-TURF&HORT	5722	Household Appliance Stores	CHAPS - PROTECTIVE CLOTHING	
					379.68	CAD	379.68	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1806-2	01-06-2012	01-09-2012	THE HOME DEPOT #7013	28.22	CAD	28.22	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0152	CD-AM-FAC-COLBORNE L	5200	Home Supply Warehouse	*****	
ECONOMIC DEVELOPMENT & CULTURE	1835-13	01-27-2012	01-30-2012	THE HOME DEPOT #7073	14.53	CAD	14.53	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5200	Home Supply Warehouse	*****	
					42.75	CAD	42.75	CAD								
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	1823-6	01-18-2012	01-20-2012	STEVE S MUSIC STORE IN	123.17	CAD	123.17	CAD	3030	M & E - OFFICE	WE0007	COMMUNICATIONS	5733	"Music Stores - Musical Instruments, Pian"	ROLLING STORAGE CASE FOR PA SYSTEM	
					123.17	CAD	123.17	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1813-8	01-12-2012	01-13-2012	LARSON JUHL #1	111.76	CAD	111.76	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5970	"Artist Supply Stores, Craft Shops"	FRAMING ACRYLIC AND SPACER	
					111.76	CAD	111.76	CAD								
LONG TERM CARE HOMES	1833-3	01-26-2012	01-27-2012	TELINKS CANADA LTD.	293.80	CAD	293.80	CAD	4810	TELEPHONE	D3K011	LAKESHR LDGE-PA-OA	4812	Telecommunication Equipment Including Te	PHONES FOR THE OFFICE	
					293.80	CAD	293.80	CAD								
SOLID WASTE MANAGEMENT	1795-2	01-03-2012	01-04-2012	ANDEX METAL PRODUCTS	796.99	CAD	796.99	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	1761	"Roofing and Siding, Sheet Metal Work Con"	SIDING FOR 75 VANLEY	
SOLID WASTE MANAGEMENT	1801-2	01-04-2012	01-05-2012	CANADA COMPUTERS #12	375.14	CAD	375.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	MULTIPLE COST CENTRES ASSIGNED	5734	Computer Software Stores	WIDESCREEN MONITOR	
SOLID WASTE MANAGEMENT	1808-3	01-06-2012	01-10-2012	ACTIVE	129.33	CAD	129.33	CAD	2535	PLUMBING SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5732	Electronic Sales	CEP2	
SOLID WASTE MANAGEMENT	1837-3	01-30-2012	01-31-2012	WOLSELEY FRONTIER	51.40	CAD	51.40	CAD	2575	ELECTRICAL SUPPLIES	SW0800	BERMONDSEY TS OPER	7623	Air Conditioning and Refrigeration Repai	"CONTACTOR 20FLA,2PO;E"	
					"1,352.86"	CAD	"1,352.86"	CAD								
"PARKS, FORESTRY & RECREATION"	1822-6	01-19-2012	01-19-2012	BELL EXPRESSVU	61.73	CAD	61.73	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PGM SUPP	4899	Cable and Other Pay Television Services	YOUTH LOUNGW TV & ARENA SIGNBOARD TV'S	
					61.73	CAD	61.73	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1813-9	01-12-2012	01-13-2012	METRO#759	27.61	CAD	27.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0102	HS-MH-PUB-MACKENZIE	5411	"Grocery Stores, Supermarkets"	*****	
ECONOMIC DEVELOPMENT & CULTURE	1823-7	01-19-2012	01-20-2012	METRO#759	9.73	CAD	9.73	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0102	HS-MH-PUB-MACKENZIE	5411	"Grocery Stores, Supermarkets"	*****	
					37.34	CAD	37.34	CAD								
"PARKS, FORESTRY & RECREATION"	1802-2	01-04-2012	01-06-2012	LCBO #804	981.12	CAD	981.12	CAD	2760	ALCOHOLIC BEVERAGES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	BAR SUPPLIES FOR RESALE	
"PARKS, FORESTRY & RECREATION"	1816-7	01-12-2012	01-16-2012	LCBO #804	741.33	CAD	741.33	CAD	2760	ALCOHOLIC BEVERAGES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	BAR SUPPLIES FOR RESALE	
"PARKS, FORESTRY & RECREATION"	1835-14	01-26-2012	01-30-2012	LCBO #804	960.59	CAD	960.59	CAD	2760	ALCOHOLIC BEVERAGES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	BAR SUPPLIES FOR RESALE	
"PARKS, FORESTRY & RECREATION"	1835-15	01-27-2012	01-30-2012	VAC 'S' MART INC	96.05	CAD	96.05	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12182	LEASIDE CURLING-SPEC	5722	Household Appliance Stores	VACUUM CLEANER PARTS	
"PARKS, FORESTRY & RECREATION"	1835-16	01-27-2012	01-30-2012	VAC 'S' MART INC	28.25	CAD	28.25	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12182	LEASIDE CURLING-SPEC	5722	Household Appliance Stores	VACUUM CLEANER PARTS	
"PARKS, FORESTRY & RECREATION"	1835-17	01-27-2012	01-30-2012	VAC 'S' MART INC	-28.25	CAD	-28.25	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12182	LEASIDE CURLING-SPEC	5722	Household Appliance Stores	REFUND	
"PARKS, FORESTRY & RECREATION"	1837-4	01-27-2012	01-31-2012	CDN TIRE STORE #00459	19.19	CAD	19.19	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	P12183	LEASIDE CURLING-SPEC	5200	Home Supply Warehouse	BAR TOWELS	
					"2,798.28"	CAD	"2,798.28"	CAD								
