Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order #	Cost Center / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
SOLID WASTE MANAGEMENT	4987-10	2018-05-14	2018-05-15	PETROCAN	81.93	CAD	81.93	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE	
					124.48	CAD	124.48	CAD								
SOLID WASTE MANAGEMENT	4989-66	2018-05-16	2018-05-17	SHELL	425.00	CAD	425.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL	
SOLID WASTE MANAGEMENT	4993-57	2018-05-24	2018-05-24	SHELL	480.02	CAD	480.02	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL	
SOLID WASTE MANAGEMENT	4993-58	2018-05-22	2018-05-24	SHELL	410.00	CAD	410.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL	
SOLID WASTE MANAGEMENT	4996-46	2018-05-27	2018-05-29	SHELL	500.00	CAD	500.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL	
SOLID WASTE MANAGEMENT	4998-58	2018-05-30	2018-05-31	SHELL	-30.00	CAD	-30.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL - PREPAY ADJUSTMENT	
SOLID WASTE MANAGEMENT	4998-59	2018-05-30	2018-05-31	SHELL	500.00	CAD	500.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL	
SOLID WASTE MANAGEMENT	5001-22	2018-05-31	2018-06-04	SHELL	500.00	CAD	500.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL	
					"2,785.02"	CAD	"2,785.02"	CAD								
SOLID WASTE MANAGEMENT	4991-21	2018-05-19	2018-05-22	ESSO	359.89	CAD	359.89	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5541	Service Stations (with or without Ancill	DIESEL	
					359.89	CAD	359.89	CAD								
SOLID WASTE MANAGEMENT	4987-36	2018-05-14	2018-05-15	PETROCAN	69.89	CAD	69.89	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE CITY USE	
SOLID WASTE MANAGEMENT	4998-81	2018-05-31	2018-05-31	PETROCAN	77.65	CAD	77.65	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE	
					147.54	CAD	147.54	CAD								
SOLID WASTE MANAGEMENT	4984-90	2018-05-10	2018-05-10	PETROCAN	62.72	CAD	62.72	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE	
					62.72	CAD	62.72	CAD								
"PARKS, FORESTRY & RECREATION"	4993-89	2018-05-25	2018-05-25	JJ DOWNS INDUSTRIAL	226.06	CAD	226.06	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	IRRIGATION SUPPLIES	
					226.06	CAD	226.06	CAD								
SOLID WASTE MANAGEMENT	4978-94	2018-05-03	2018-05-03	WAYFAIR*WAYFAIR.CA	700.58	CAD	700.58	CAD	3310	FURNISHINGS	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	5965	Direct Marketing - Combination Catalog a	Display Cabinets	
SOLID WASTE MANAGEMENT	4993-90	2018-05-24	2018-05-24	CPIA/ACIP	107.35	CAD	107.35	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	8699	"Organizations, Membership - Not Elsewher"	RESOURCE RECOVERY PARTNERSHIP CONFERENCE 2018	
SOLID WASTE MANAGEMENT	4993-91	2018-05-24	2018-05-24	CPIA/ACIP	107.35	CAD	107.35	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	8699	"Organizations, Membership - Not Elsewher"	RESOURCE RECOVERY PARTNERSHIP CONFERENCE 2018	
SOLID WASTE MANAGEMENT	4993-92	2018-05-24	2018-05-24	DANATEC.COM	78.99	CAD	78.99	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	5734	Computer Software Stores	TRANSPORTATION OF DANGEROUS GOODS ONLINE TRAINING	
					994.27	CAD	994.27	CAD								
"PARKS, FORESTRY & RECREATION"	4977-36	2018-05-02	2018-05-02	LOBLAWS #1021	29.58	CAD	29.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CKNG PRGM	
"PARKS, FORESTRY & RECREATION"	4977-37	2018-05-02	2018-05-02	DESERRES	57.44	CAD	57.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01886	BALMY BEACH-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	CANVAS BOARDS	
"PARKS, FORESTRY & RECREATION"	4978-95	2018-05-02	2018-05-03	EAGLE BEAVER SPORTS LT	722.96	CAD	722.96	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12126	FAIRMOUNT PK CC-SPORTS	5941	Sporting Goods Stores	"SOCCER BALLS, PINNIES, PUMP"	
"PARKS, FORESTRY & RECREATION"	4978-96	2018-05-02	2018-05-03	EAGLE BEAVER SPORTS LT	198.79	CAD	198.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09910	ADAM BECK-INSTRL	5941	Sporting Goods Stores	"BASKETBALLS, PUMP HOSE"	
"PARKS, FORESTRY & RECREATION"	4978-97	2018-05-03	2018-05-03	LOBLAWS #1021	58.48	CAD	58.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CKNG PRGM	
"PARKS, FORESTRY & RECREATION"	4981-25	2018-05-07	2018-05-07	LOBLAWS #1021	31.87	CAD	31.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK - COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4983-37	2018-05-09	2018-05-09	LOBLAWS #1021	45.90	CAD	45.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK - COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4983-38	2018-05-07	2018-05-09	EAGLE BEAVER SPORTS LT	105.77	CAD	105.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09912	BALMY BEACH-INSTRL	5941	Sporting Goods Stores	PICKLEBALLS	
"PARKS, FORESTRY & RECREATION"	4983-39	2018-05-09	2018-05-09	DESERRES	64.27	CAD	64.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01886	BALMY BEACH-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	ART SUPPLIES FOR BALMY BEACH SRT CLASS	
"PARKS, FORESTRY & RECREATION"	4984-91	2018-05-10	2018-05-10	LOBLAWS #1021	9.37	CAD	9.37	CAD	2610	KITCHEN SUPPLIES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PASTRY BRUSH	
"PARKS, FORESTRY & RECREATION"	4986-29	2018-05-14	2018-05-14	LOBLAWS #1021	24.60	CAD	24.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4988-33	2018-05-16	2018-05-16	LOBLAWS #1021	49.26	CAD	49.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4991-34	2018-05-22	2018-05-22	LOBLAWS #1021	82.98	CAD	82.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4992-54	2018-05-23	2018-05-23	LOBLAWS #1021	28.16	CAD	28.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4995-37	2018-05-28	2018-05-28	LOBLAWS #1021	30.53	CAD	30.53	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CKNG SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4996-58	2018-05-29	2018-05-29	LOBLAWS #1021	43.29	CAD	43.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CKNG SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4996-59	2018-05-29	2018-05-29	DESERRES	39.49	CAD	39.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01886	BALMY BEACH-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	CLAY FOR ART CLASS	
"PARKS, FORESTRY & RECREATION"	4997-39	2018-05-30	2018-05-30	LOBLAWS #1021	68.37	CAD	68.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	POP AND WATER FOR ABCC DANCE	
"PARKS, FORESTRY & RECREATION"	4997-40	2018-05-30	2018-05-30	LOBLAWS #1021	108.40	CAD	108.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CANDIES, CHCIPS FOR ABCC DANCE"	
					"1,799.51"	CAD	"1,799.51"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4992-55	2018-05-23	2018-05-23	PARKING AUTHORITYOFTOR	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0117	BD-RET-BUS ASSNS&PARTNER-CENTRAL	9399	Government Services - Not Elsewhere Clas	PARKING- EDO INTERVIEWS.	
					20.00	CAD	20.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4987-60	2018-05-15	2018-05-15	PAYPAL *ABALEADESIG	226.00	CAD	226.00	CAD	4085	PROF & TECH-MGMT	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7333	"Commercial Art, Graphics, Photography"	GRAPHIC DESIGN FOR MAGAZINE	
ECONOMIC DEVELOPMENT & CULTURE	4989-136	2018-05-18	2018-05-18	HOO*HOOTSUITE INC	14.94	CAD	11.29	USD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	5968	Direct Marketing - Continuity/Subscripti	ADVERTIZING.	
ECONOMIC DEVELOPMENT & CULTURE	4993-128	2018-05-24	2018-05-24	WWW.ISTOCK.COM	127.00	CAD	127.00	CAD	4082	PHOTO/VIDEO SERVICES	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7333	"Commercial Art, Graphics, Photography"	12 CREDIT(S)	
ECONOMIC DEVELOPMENT & CULTURE	4997-58	2018-05-29	2018-05-30	UPAKNEE EMAIL	271.20	CAD	271.20	CAD	4414	ADVERTISING & PROMOTION	ED0150	EDC MARKETING TACTICS	7392	"Consulting, Management, and Public Relat"	ADVERTIZING	
					639.14	CAD	624.20	CAD								
							11.29	USD								
"PARKS, FORESTRY & RECREATION"	4977-54	2018-05-02	2018-05-02	DOLLARAMA # 560	23.22	CAD	23.22	CAD	2610	KITCHEN SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5310	Discount Stores	"TRAYS, CUPS, WATER PITCHER"	
"PARKS, FORESTRY & RECREATION"	4977-55	2018-05-02	2018-05-02	THE SOURCE #51670	67.79	CAD	67.79	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5732	Electronic Sales	HEADPHONES	
"PARKS, FORESTRY & RECREATION"	4977-56	2018-05-02	2018-05-02	METRO #780	113.63	CAD	113.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5411	"Grocery Stores, Supermarkets"	"MUFFINS, FRUIT TRAY, JUICE"	
"PARKS, FORESTRY & RECREATION"	4977-57	2018-05-02	2018-05-02	SUBWAY 15226	189.84	CAD	189.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5814	Quick Payment Service - Fast-Food Restau	SANDWICHES	
"PARKS, FORESTRY & RECREATION"	4978-137	2018-05-04	2018-05-04	METRO #759	67.88	CAD	67.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5411	"Grocery Stores, Supermarkets"	"FRUITS, ICE, COOLER"	
"PARKS, FORESTRY & RECREATION"	4980-35	2018-05-04	2018-05-04	PIZZA PIZZA # 63	68.86	CAD	68.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5814	Quick Payment Service - Fast-Food Restau	PIZZA	
"PARKS, FORESTRY & RECREATION"	4980-36	2018-05-04	2018-05-04	THE HOME DEPOT #7027	17.79	CAD	17.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5200	Home Supply Warehouse	24 TIE NAT10	
"PARKS, FORESTRY & RECREATION"	4993-129	2018-05-24	2018-05-24	PRINT THREE #28	519.80	CAD	519.80	CAD	2792	"BANNERS, FLAGS & SIGNS"	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	2741	Miscellaneous Publishing and Printing	YOUTH WEEK BANNER	
"PARKS, FORESTRY & RECREATION"	4993-130	2018-05-24	2018-05-24	PRINT THREE #28	663.31	CAD	663.31	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	2741	Miscellaneous Publishing and Printing	PRINTING OF TABLE CLOTH	
"PARKS, FORESTRY & RECREATION"	4996-76	2018-05-28	2018-05-29	WAL-MART # 3111	20.19	CAD	20.19	CAD	2710	GENERAL HARDWARE	P13574	YOUTH LOUNGE - EAST METRO YOUTH SERVICES	5411	"Grocery Stores, Supermarkets"	BATTERIES	
"PARKS, FORESTRY & RECREATION"	4997-59	2018-05-30	2018-05-30	BEST BUY CANADA #943	759.33	CAD	759.33	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P13574	YOUTH LOUNGE - EAST METRO YOUTH SERVICES	5732	Electronic Sales	"TV, WALL BRACKET"	
"PARKS, FORESTRY & RECREATION"	4998-112	2018-05-30	2018-05-31	WAL-MART #3635	105.29	CAD	105.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12494	RE-YO-SPORTS YOUTH-GB LITTLE	5310	Discount Stores	"FRUITS, CANDIES, FONDUE"	
"PARKS, FORESTRY & RECREATION"	4998-113	2018-05-30	2018-05-31	WAL-MART #3635	32.13	CAD	32.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13574	YOUTH LOUNGE - EAST METRO YOUTH SERVICES	5310	Discount Stores	"FRUITS, SNACKS"	
					"2,649.06"	CAD	"2,649.06"	CAD								
FLEET SERVICES	4983-58	2018-05-08	2018-05-09	MTO RUS PRIS	5.00	CAD	5.00	CAD	4991	PAYMENTS TO PROVINCE	FL4001	FLEET SAFETY & TRAINING	9399	Government Services - Not Elsewhere Clas	MTO CVOR REPORT	
FLEET SERVICES	4998-114	2018-05-31	2018-05-31	"IDENTIFIX, INC."	"1,824.00"	CAD	"1,824.00"	CAD	4760	MEMBERSHIP FEES	FL4001	FLEET SAFETY & TRAINING	5969	Direct Marketing - Other Direct Marketer	INDENTIFIX MEMBERSHIP	
					"1,829.00"	CAD	"1,829.00"	CAD								
"PARKS, FORESTRY & RECREATION"	4977-58	2018-05-02	2018-05-02	PAUL WOLF ELECTRIC & L	231.03	CAD	231.03	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	250 WATT MATAL HALIDE LAMPS	
"PARKS, FORESTRY & RECREATION"	4992-74	2018-05-23	2018-05-23	CITY ELECTRIC SUPPLY	172.66	CAD	172.66	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	DC RELAYS 14 PIN	
					403.69	CAD	403.69	CAD								
TORONTO WATER	4978-138	2018-05-04	2018-05-04	CANADA COMPUTERS #16	365.63	CAD	365.63	CAD	3410	COMPUTERS - HARDWARE	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	5734	Computer Software Stores	"COMPUTER CABLES, KEYBOARD & MOUSE"	
TORONTO WATER	4982-56	2018-05-07	2018-05-08	CDN TIRE STORE #00654	57.00	CAD	57.00	CAD	2570	JANITORIAL SUPPLIES	TW4022	WW TREATMT:ASHBRIDGES BAY TP-LIQUIDS	5200	Home Supply Warehouse	"SUNLIGHT DISH SOAP, CLEANING CLOTHS"	
TORONTO WATER	4993-131	2018-05-24	2018-05-24	CDN TIRE STORE #00654	49.10	CAD	49.10	CAD	2710	GENERAL HARDWARE	TW4022	WW TREATMT:ASHBRIDGES BAY TP-LIQUIDS	5200	Home Supply Warehouse	"WIRE HOOKS, BATTERIES"	
TORONTO WATER	4993-132	2018-05-25	2018-05-25	G & G ELECTRONICS	856.54	CAD	856.54	CAD	3410	COMPUTERS - HARDWARE	TW4015	WW TREATMT: ASHBRIDGES BAY TP - ADMINIST	7629	"Appliance Repair Shops, Electrical and S"	CLICKSHARE BUTTON	
					"1,328.27"	CAD	"1,328.27"	CAD								
SOLID WASTE MANAGEMENT	4978-141	2018-05-03	2018-05-03	THE HOME DEPOT #7078	86.40	CAD	86.40	CAD	2715	PAINT SUPPLIES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	5200	Home Supply Warehouse	**MORE**  HDX3PK BRUSH	
SOLID WASTE MANAGEMENT	4982-57	2018-05-09	2018-05-09	ONTARIO COLLEGE OF TRA	135.60	CAD	135.60	CAD	4760	MEMBERSHIP FEES	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	9399	Government Services - Not Elsewhere Clas	ANNUAL MEMBERSHIP FEES	
SOLID WASTE MANAGEMENT	4987-61	2018-05-14	2018-05-15	THE HOME DEPOT #7078	33.49	CAD	33.49	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0852	DISCO TS SITE MAINTENANCE	5200	Home Supply Warehouse	ALEX PLUS	
					255.49	CAD	255.49	CAD								
"PARKS, FORESTRY & RECREATION"	4984-131	2018-05-11	2018-05-11	HARDWARE AGENCIES	573.31	CAD	573.31	CAD	2730	LOCKS	P00264	E-CENTRAL2-TURF&HORT	5251	Hardware Stores	TUBULAR DEADBOALT LOCKS	
"PARKS, FORESTRY & RECREATION"	4989-138	2018-05-16	2018-05-17	THE HOME DEPOT #7107	338.49	CAD	338.49	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	2X10X12 SPF.	
"PARKS, FORESTRY & RECREATION"	4998-116	2018-05-31	2018-05-31	THE HOME DEPOT #7107	270.75	CAD	270.75	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	PROMIX BX3.8	
"PARKS, FORESTRY & RECREATION"	4998-117	2018-05-31	2018-05-31	THE HOME DEPOT #7107	210.67	CAD	210.67	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  PROMIX BX3.8	
"PARKS, FORESTRY & RECREATION"	4998-118	2018-05-31	2018-05-31	VANDERMEER NURSERY	121.99	CAD	121.99	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5193	"Florists Supplies, Nursery Stock, and Fl"	AGRO MIX	
					"1,515.21"	CAD	"1,515.21"	CAD								
FACILITIES MANAGEMENT DIVISON	4976-120	2018-05-01	2018-05-01	PAUL WOLF ELECTRIC & L	27.48	CAD	27.48	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61441264	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	PARTS RECEIPT	
FACILITIES MANAGEMENT DIVISON	4978-142	2018-05-03	2018-05-03	THE MASTER GROUP CRANF	208.02	CAD	208.02	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61443594	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT	
					235.50	CAD	235.50	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4982-58	2018-05-08	2018-05-08	ABOVEGROUND ENTERPRISE	109.60	CAD	109.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	7333	"Commercial Art, Graphics, Photography"	"CONTE, PAPER"	
ECONOMIC DEVELOPMENT & CULTURE	4987-62	2018-05-15	2018-05-15	A AND H PRINTING INC	169.50	CAD	169.50	CAD	4414	ADVERTISING & PROMOTION	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	2741	Miscellaneous Publishing and Printing	POSTCARDS	
ECONOMIC DEVELOPMENT & CULTURE	4991-47	2018-05-22	2018-05-22	ABOVEGROUND ENTERPRISE	49.70	CAD	49.70	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	7333	"Commercial Art, Graphics, Photography"	CONTE PORTRAIT SET	
ECONOMIC DEVELOPMENT & CULTURE	4992-75	2018-05-23	2018-05-23	EJ BAGS   BOXES INC.	113.70	CAD	113.70	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	2741	Miscellaneous Publishing and Printing	DRY CLEANING BAGS	
ECONOMIC DEVELOPMENT & CULTURE	4998-120	2018-05-31	2018-05-31	METRO #808	151.09	CAD	151.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0018	AS-PS-PUBLIC/COMMUNITY-CEDAR RIDG	5411	"Grocery Stores, Supermarkets"	"POP, SUSHI, JUICE, CAKE"	
					593.59	CAD	593.59	CAD								
TORONTO WATER	4988-51	2018-05-15	2018-05-16	CDN TIRE STORE #00030	23.32	CAD	23.32	CAD	3080	M & E - HAND TOOLS	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5200	Home Supply Warehouse	PRY BAR	
TORONTO WATER	4996-77	2018-05-29	2018-05-29	NOBLE 1007	131.98	CAD	131.98	CAD	2535	PLUMBING SUPPLIES	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5251	Hardware Stores	"6"" BLANK FLANGE"	
					155.30	CAD	155.30	CAD								
FIRE SERVICES	4976-122	2018-05-02	2018-05-02	ONTARIO COLLEGE OF TRA	135.60	CAD	135.60	CAD	4830	PERMIT & LICENSE FEES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	ANNUAL TRADES CERTIFICATION	
