Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBLS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
SOLID WASTE MANAGEMENT	4904-3	2018-02-01	2018-02-01	SHELL	500.00	CAD	500.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	FUEL FOR TRACTOR
SOLID WASTE MANAGEMENT	4904-4	2018-02-01	2018-02-01	SHELL	-99.93	CAD	-99.93	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	FUEL FOR TRACTOR
					400.07	CAD	400.07	CAD							
SOLID WASTE MANAGEMENT	4919-1	2018-02-16	2018-02-19	SHELL	324.98	CAD	324.98	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	FUEL PURCHASE FOR TRACTOR 206083
					324.98	CAD	324.98	CAD							
SOLID WASTE MANAGEMENT	4907-3	2018-02-02	2018-02-02	PETROCAN	25.32	CAD	25.32	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
					25.32	CAD	25.32	CAD							
SOLID WASTE MANAGEMENT	4916-1	2018-02-13	2018-02-14	PETROCAN	63.32	CAD	63.32	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					63.32	CAD	63.32	CAD							
"PARKS, FORESTRY & RECREATION"	4904-5	2018-02-02	2018-02-02	LOBLAWS #1021	10.60	CAD	10.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG PRGM
"PARKS, FORESTRY & RECREATION"	4907-4	2018-02-03	2018-02-03	LOBLAWS #1021	16.93	CAD	16.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG PRGM
"PARKS, FORESTRY & RECREATION"	4908-2	2018-02-05	2018-02-05	LOBLAWS #1021	113.05	CAD	113.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG PRGM SUPPLIES
"PARKS, FORESTRY & RECREATION"	4909-3	2018-02-06	2018-02-06	DESERRES	96.84	CAD	96.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12125	FAIRMOUNT PK CC-ARTS-VISL-PERF	5970	"Artist Supply Stores, Craft Shops"	ART SUPPLIES FOR FAIRMOUNT
"PARKS, FORESTRY & RECREATION"	4910-2	2018-02-07	2018-02-07	LOBLAWS #1021	23.65	CAD	23.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BCK CKNG SUPPLIES
"PARKS, FORESTRY & RECREATION"	4911-4	2018-02-09	2018-02-09	DOLLARAMA # 230	22.88	CAD	22.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01956	ADAM BECK-SOCIAL PRGM	5310	Discount Stores	DANCE SUPPLIES
"PARKS, FORESTRY & RECREATION"	4911-5	2018-02-08	2018-02-08	LOBLAWS #1021	9.92	CAD	9.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GIRLS CLUB SUPPLIES
"PARKS, FORESTRY & RECREATION"	4911-6	2018-02-09	2018-02-09	LOBLAWS #1021	99.87	CAD	99.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	POPCORN FOR ADAM BECK DANCE
"PARKS, FORESTRY & RECREATION"	4911-7	2018-02-09	2018-02-09	METRO #37	72.23	CAD	72.23	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK DANCE - SNACKS
"PARKS, FORESTRY & RECREATION"	4914-1	2018-02-12	2018-02-12	LOBLAWS #1021	110.69	CAD	110.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG SUPPLIES
"PARKS, FORESTRY & RECREATION"	4915-4	2018-02-13	2018-02-13	TUCKERS POTTERY SUPPLI	231.65	CAD	231.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01886	BALMY BEACH-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	CLAY FOR  ART PRGM
"PARKS, FORESTRY & RECREATION"	4916-2	2018-02-14	2018-02-14	LOBLAWS #1021	47.21	CAD	47.21	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01886	BALMY BEACH-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG SUPPLIES
"PARKS, FORESTRY & RECREATION"	4917-5	2018-02-16	2018-02-16	LOBLAWS #1021	13.27	CAD	13.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12125	FAIRMOUNT PK CC-ARTS-VISL-PERF	5411	"Grocery Stores, Supermarkets"	FAIRMOUNT PRESCHOOL SUPPLIES
"PARKS, FORESTRY & RECREATION"	4917-6	2018-02-16	2018-02-16	MICHAELS OF CANADA #49	19.39	CAD	19.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01886	BALMY BEACH-ARTS-VISL/PERF	5945	"Game, Toy, and Hobby Shops"	BALMY BEACH - PLASTIC LACE
"PARKS, FORESTRY & RECREATION"	4920-2	2018-02-20	2018-02-20	LOBLAWS #1021	65.87	CAD	65.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG SUPPLIES
"PARKS, FORESTRY & RECREATION"	4921-2	2018-02-21	2018-02-21	LOBLAWS #1021	30.78	CAD	30.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG SUPPLIES
"PARKS, FORESTRY & RECREATION"	4924-1	2018-02-26	2018-02-26	LOBLAWS #1021	39.63	CAD	39.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG SUPPLIES
"PARKS, FORESTRY & RECREATION"	4926-1	2018-02-28	2018-02-28	LOBLAWS #1021	29.72	CAD	29.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK CKNG SUPPLIES
"PARKS, FORESTRY & RECREATION"	4926-2	2018-02-28	2018-02-28	LOBLAWS #1021	31.62	CAD	31.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01886	BALMY BEACH-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	ART SHOW - SNACKS
"PARKS, FORESTRY & RECREATION"	4926-3	2018-02-28	2018-02-28	LOBLAWS #1021	10.97	CAD	10.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01886	BALMY BEACH-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	ART CLASS SHOW - SNACKS
					"1,096.77"	CAD	"1,096.77"	CAD							
FACILITIES MANAGEMENT DIVISON	4917-7	2018-02-15	2018-02-15	MOE-HWIN WEB	60.06	CAD	60.06	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-8	2018-02-15	2018-02-15	MOE-HWIN WEB	65.27	CAD	65.27	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-9	2018-02-15	2018-02-15	MOE-HWIN WEB	65.48	CAD	65.48	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-10	2018-02-15	2018-02-15	MOE-HWIN WEB	70.30	CAD	70.30	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-11	2018-02-15	2018-02-15	MOE-HWIN WEB	70.36	CAD	70.36	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-12	2018-02-15	2018-02-15	MOE-HWIN WEB	75.69	CAD	75.69	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-13	2018-02-15	2018-02-15	MOE-HWIN WEB	76.47	CAD	76.47	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-14	2018-02-15	2018-02-15	MOE-HWIN WEB	86.26	CAD	86.26	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-15	2018-02-15	2018-02-15	MOE-HWIN WEB	91.03	CAD	91.03	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-16	2018-02-15	2018-02-15	MOE-HWIN WEB	92.34	CAD	92.34	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-17	2018-02-15	2018-02-15	MOE-HWIN WEB	93.36	CAD	93.36	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-18	2018-02-15	2018-02-15	MOE-HWIN WEB	101.25	CAD	101.25	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-19	2018-02-15	2018-02-15	MOE-HWIN WEB	103.24	CAD	103.24	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-20	2018-02-15	2018-02-15	MOE-HWIN WEB	106.47	CAD	106.47	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-21	2018-02-15	2018-02-15	MOE-HWIN WEB	106.65	CAD	106.65	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-22	2018-02-15	2018-02-15	MOE-HWIN WEB	106.71	CAD	106.71	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-23	2018-02-15	2018-02-15	MOE-HWIN WEB	108.14	CAD	108.14	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-24	2018-02-15	2018-02-15	MOE-HWIN WEB	108.21	CAD	108.21	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-25	2018-02-15	2018-02-15	MOE-HWIN WEB	112.49	CAD	112.49	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-26	2018-02-15	2018-02-15	MOE-HWIN WEB	117.91	CAD	117.91	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-27	2018-02-15	2018-02-15	MOE-HWIN WEB	137.55	CAD	137.55	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-28	2018-02-15	2018-02-15	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-29	2018-02-15	2018-02-15	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-30	2018-02-15	2018-02-15	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-31	2018-02-15	2018-02-15	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-32	2018-02-15	2018-02-15	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-33	2018-02-15	2018-02-15	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-34	2018-02-15	2018-02-15	MOE-HWIN WEB	55.00	CAD	55.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4917-35	2018-02-15	2018-02-15	MOE-HWIN WEB	55.12	CAD	55.12	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4921-3	2018-02-20	2018-02-21	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4921-4	2018-02-20	2018-02-21	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4921-5	2018-02-20	2018-02-21	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4921-6	2018-02-20	2018-02-21	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4921-7	2018-02-20	2018-02-21	MOE-HWIN WEB	55.06	CAD	55.06	CAD	4830	PERMIT & LICENSE FEES	FA0241	ADMIN-CAPITAL CONSTRUCTION-241	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4921-8	2018-02-20	2018-02-21	MOE-HWIN WEB	60.10	CAD	60.10	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
FACILITIES MANAGEMENT DIVISON	4921-9	2018-02-20	2018-02-21	MOE-HWIN WEB	267.13	CAD	267.13	CAD	4830	PERMIT & LICENSE FEES	CCA245-04	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT-2017"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWALS
					"2,947.65"	CAD	"2,947.65"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4909-4	2018-02-06	2018-02-06	NEXT WAVE EVENTS INC	762.75	CAD	762.75	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	ED0117	BD-RET-BUS ASSNS&PARTNER-CENTRAL	7399	Business Services - Not Elsewhere Classi	REGISTRATION TO CONFERENCE.
					762.75	CAD	762.75	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4904-6	2018-02-02	2018-02-02	TWITTER ONLINE ADS	11.00	CAD	11.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7311	Advertising Services	FORT YORK - HUNGRY FOR COMFORT
