Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
SOLID WASTE MANAGEMENT	4973-25	2018-04-26	2018-04-26	FLYING M TRUCK STOP	113.71	CAD	113.71	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE	
					216.46	CAD	216.46	CAD								
SOLID WASTE MANAGEMENT	4973-77	2018-04-25	2018-04-26	PETROCAN	45.21	CAD	45.21	CAD	2260	GASOLINE	CSW312-18-03	BROCK WEST LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE	
SOLID WASTE MANAGEMENT	4976-75	2018-04-26	2018-04-30	ESSO	98.14	CAD	98.14	CAD	2260	GASOLINE	CSW312-18-03	BROCK WEST LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE	
					143.35	CAD	143.35	CAD								
SOLID WASTE MANAGEMENT	4951-6	2018-04-02	2018-04-02	METRO #205	31.46	CAD	31.46	CAD	2610	KITCHEN SUPPLIES	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	5411	"Grocery Stores, Supermarkets"	COFFEE POD FOR TRIAL	
SOLID WASTE MANAGEMENT	4965-74	2018-04-19	2018-04-19	PAC PACKAGING CONSORTI	223.74	CAD	223.74	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	8699	"Organizations, Membership - Not Elsewher"	PEEL MRF TOUR	
					255.20	CAD	255.20	CAD								
"PARKS, FORESTRY & RECREATION"	4957-27	2018-04-09	2018-04-09	LOBLAWS #1021	29.10	CAD	29.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR ADAM BECK CKNG PRGM	
"PARKS, FORESTRY & RECREATION"	4959-41	2018-04-11	2018-04-11	LOBLAWS #1021	49.60	CAD	49.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK - FOOD ITEMS	
"PARKS, FORESTRY & RECREATION"	4959-42	2018-04-11	2018-04-11	STAPLES STORE #159	19.49	CAD	19.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01886	BALMY BEACH-ARTS-VISL/PERF	5943	"Office, School Supply, and Stationery St"	MARKERS	
"PARKS, FORESTRY & RECREATION"	4962-23	2018-04-16	2018-04-16	LOBLAWS #1021	88.74	CAD	88.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK - GROCERIES FOR CKNG PRGM	
"PARKS, FORESTRY & RECREATION"	4964-47	2018-04-18	2018-04-18	LOBLAWS #1021	66.91	CAD	66.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	ADAM BECK - CKNG PRGM	
"PARKS, FORESTRY & RECREATION"	4964-48	2018-04-18	2018-04-18	DESERRES	68.85	CAD	68.85	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12125	FAIRMOUNT PK CC-ARTS-VISL-PERF	5970	"Artist Supply Stores, Craft Shops"	FAIRMOUNT - ART SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4965-75	2018-04-20	2018-04-20	TUCKERS POTTERY SUPPLI	466.41	CAD	466.41	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01886	BALMY BEACH-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	CLAY	
"PARKS, FORESTRY & RECREATION"	4967-30	2018-04-23	2018-04-23	LOBLAWS #1021	54.13	CAD	54.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CKNG PRGM	
"PARKS, FORESTRY & RECREATION"	4972-49	2018-04-25	2018-04-25	LOBLAWS #1021	53.76	CAD	53.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CKNG PRGM	
"PARKS, FORESTRY & RECREATION"	4976-76	2018-04-30	2018-04-30	LOBLAWS #1021	30.49	CAD	30.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01956	ADAM BECK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	CKNG PRGM	
					927.48	CAD	927.48	CAD								
FACILITIES MANAGEMENT DIVISON	4964-49	2018-04-17	2018-04-18	MOE-HWIN WEB	55.00	CAD	55.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4964-50	2018-04-17	2018-04-18	MOE-HWIN WEB	55.06	CAD	55.06	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4964-51	2018-04-17	2018-04-18	MOE-HWIN WEB	60.67	CAD	60.67	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4964-52	2018-04-17	2018-04-18	MOE-HWIN WEB	66.14	CAD	66.14	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-55	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-56	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-57	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-58	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-59	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-60	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-61	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-62	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-63	2018-04-23	2018-04-24	MOE-HWIN WEB	55.03	CAD	55.03	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-64	2018-04-23	2018-04-24	MOE-HWIN WEB	60.03	CAD	60.03	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-65	2018-04-23	2018-04-24	MOE-HWIN WEB	60.03	CAD	60.03	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-66	2018-04-23	2018-04-24	MOE-HWIN WEB	65.18	CAD	65.18	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-67	2018-04-23	2018-04-24	MOE-HWIN WEB	65.27	CAD	65.27	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-68	2018-04-23	2018-04-24	MOE-HWIN WEB	65.36	CAD	65.36	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-69	2018-04-23	2018-04-24	MOE-HWIN WEB	70.00	CAD	70.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-70	2018-04-23	2018-04-24	MOE-HWIN WEB	70.09	CAD	70.09	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-71	2018-04-23	2018-04-24	MOE-HWIN WEB	70.12	CAD	70.12	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-72	2018-04-23	2018-04-24	MOE-HWIN WEB	70.14	CAD	70.14	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-73	2018-04-23	2018-04-24	MOE-HWIN WEB	70.14	CAD	70.14	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-74	2018-04-23	2018-04-24	MOE-HWIN WEB	70.18	CAD	70.18	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-75	2018-04-23	2018-04-24	MOE-HWIN WEB	70.24	CAD	70.24	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-76	2018-04-23	2018-04-24	MOE-HWIN WEB	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-77	2018-04-23	2018-04-24	MOE-HWIN WEB	75.81	CAD	75.81	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-78	2018-04-23	2018-04-24	MOE-HWIN WEB	76.20	CAD	76.20	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-79	2018-04-23	2018-04-24	MOE-HWIN WEB	80.00	CAD	80.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-80	2018-04-23	2018-04-24	MOE-HWIN WEB	80.66	CAD	80.66	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-81	2018-04-23	2018-04-24	MOE-HWIN WEB	80.75	CAD	80.75	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-82	2018-04-23	2018-04-24	MOE-HWIN WEB	87.98	CAD	87.98	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-83	2018-04-23	2018-04-24	MOE-HWIN WEB	92.62	CAD	92.62	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-84	2018-04-23	2018-04-24	MOE-HWIN WEB	102.20	CAD	102.20	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-85	2018-04-23	2018-04-24	MOE-HWIN WEB	107.06	CAD	107.06	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-86	2018-04-23	2018-04-24	MOE-HWIN WEB	450.61	CAD	450.61	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-87	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-88	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
FACILITIES MANAGEMENT DIVISON	4968-89	2018-04-23	2018-04-24	MOE-HWIN WEB	50.00	CAD	50.00	CAD	4830	PERMIT & LICENSE FEES	CCA245-05	"SUBS & ENVIRON SURVEY,SAMPLE & ABAT"	9399	Government Services - Not Elsewhere Clas	HWIN RENEWAL	
					"2,957.57"	CAD	"2,957.57"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4972-50	2018-04-25	2018-04-25	PARKING AUTHORITYOFTOR	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0117	BD-RET-BUS ASSNS&PARTNER-CENTRAL	9399	Government Services - Not Elsewhere Clas	PARKING FOR BUSINESS MEETING	
ECONOMIC DEVELOPMENT & CULTURE	4973-78	2018-04-27	2018-04-27	PARKING AUTHORITYOFTOR	20.00	CAD	20.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0117	BD-RET-BUS ASSNS&PARTNER-CENTRAL	9399	Government Services - Not Elsewhere Clas	PARKING FOR BUSINESS MEETING.	
					40.00	CAD	40.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4951-12	2018-04-02	2018-04-02	UPAKNEE EMAIL	-7.35	CAD	-7.35	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7392	"Consulting, Management, and Public Relat"	REFUND OF PARTIAL HST	
ECONOMIC DEVELOPMENT & CULTURE	4955-98	2018-04-04	2018-04-05	PAYPAL *ABALEADESIG	"1,017.00"	CAD	"1,017.00"	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7333	"Commercial Art, Graphics, Photography"	PROMOTIONAL SUPPLIES	
ECONOMIC DEVELOPMENT & CULTURE	4964-70	2018-04-18	2018-04-18	UPAKNEE EMAIL	74.81	CAD	74.81	CAD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	7392	"Consulting, Management, and Public Relat"	ADVERTIZING	
ECONOMIC DEVELOPMENT & CULTURE	4964-71	2018-04-18	2018-04-18	HOO*HOOTSUITE INC	14.64	CAD	11.29	USD	4414	ADVERTISING & PROMOTION	AH0068	HS-MH-COMMUNICATION/MKT-METRO HALL	5968	Direct Marketing - Continuity/Subscripti	ADVERTIZING	
ECONOMIC DEVELOPMENT & CULTURE	4976-114	2018-04-29	2018-04-30	UPAKNEE EMAIL	271.20	CAD	271.20	CAD	4414	ADVERTISING & PROMOTION	ED0150	EDC MARKETING TACTICS	7392	"Consulting, Management, and Public Relat"	ADVERTIZING	
					"1,370.30"	CAD	"1,355.66"	CAD								
							11.29	USD								
"PARKS, FORESTRY & RECREATION"	4956-31	2018-04-07	2018-04-07	WRISTBAND GIANT	62.12	CAD	62.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5999	Miscellaneous and Specialty Retail Store	COLOURED WRISTBANDS	
"PARKS, FORESTRY & RECREATION"	4963-48	2018-04-17	2018-04-17	THE SOURCE #51810	179.38	CAD	179.38	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5732	Electronic Sales	"GOOGLE HOME, BEATS HEADPHONE"	
"PARKS, FORESTRY & RECREATION"	4963-49	2018-04-17	2018-04-17	BESTOFSIGNSCOM	495.93	CAD	495.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	2741	Miscellaneous Publishing and Printing	ERROR	
"PARKS, FORESTRY & RECREATION"	4964-72	2018-04-17	2018-04-18	LUSH EATON CENTRE	85.76	CAD	85.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5977	Cosmetic Stores	BATH BOMBS	
"PARKS, FORESTRY & RECREATION"	4965-127	2018-04-19	2018-04-19	COSTCO WHOLESALE W159	181.79	CAD	181.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5300	Wholesale Clubs	"CANDIES, SNACK BARS"	
"PARKS, FORESTRY & RECREATION"	4966-27	2018-04-20	2018-04-20	WAL-MART #3001	184.52	CAD	184.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5411	"Grocery Stores, Supermarkets"	"MUFFINS, JUICE, COOKIES"	
"PARKS, FORESTRY & RECREATION"	4966-28	2018-04-22	2018-04-22	TORONTO SPORTS CENTRE	135.60	CAD	135.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5941	Sporting Goods Stores	JERSEY	
"PARKS, FORESTRY & RECREATION"	4966-29	2018-04-22	2018-04-22	CREATIVE BAG PICKERING	27.67	CAD	27.67	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5999	Miscellaneous and Specialty Retail Store	"GIFT BOXES, COLOURED PAPERS"	
"PARKS, FORESTRY & RECREATION"	4967-42	2018-04-22	2018-04-23	#362 SPORT CHEK	36.66	CAD	36.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5941	Sporting Goods Stores	WHISTLES	
"PARKS, FORESTRY & RECREATION"	4968-103	2018-04-24	2018-04-24	MILL STREET BREW PUB	305.38	CAD	305.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5812	"Eating Places, Restaurants"	"FRUIT PLATTER, DESSERT TRAY, SANDWICHES"	
"PARKS, FORESTRY & RECREATION"	4972-67	2018-04-25	2018-04-25	PARTY CITY #2007	38.39	CAD	38.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5947	"Card, Gift, Novelty, and Souvenir Shops"	"WRISTBANDS, CELO WRAPS"	
"PARKS, FORESTRY & RECREATION"	4972-68	2018-04-25	2018-04-25	COSTCO WHOLESALE W537	102.05	CAD	102.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5300	Wholesale Clubs	"CHIPS, JUICE,"	
"PARKS, FORESTRY & RECREATION"	4972-69	2018-04-25	2018-04-25	DOLLARAMA #0986	8.53	CAD	8.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5310	Discount Stores	SKEWERS	
"PARKS, FORESTRY & RECREATION"	4972-70	2018-04-25	2018-04-25	SOCAN	39.55	CAD	39.55	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	8398	"Organizations, Charitable and Social Ser"	MUSIC FEE	
"PARKS, FORESTRY & RECREATION"	4973-116	2018-04-27	2018-04-27	PARTY CITY #2027	82.32	CAD	82.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5947	"Card, Gift, Novelty, and Souvenir Shops"	"BALLOON BOUQUET, TABLE COVERINGS"	
"PARKS, FORESTRY & RECREATION"	4973-117	2018-04-26	2018-04-26	BESTOFSIGNSCOM	-495.93	CAD	-495.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	2741	Miscellaneous Publishing and Printing	REFUND ON ERROR	
"PARKS, FORESTRY & RECREATION"	4974-36	2018-04-28	2018-04-28	ALLCARGOS	389.85	CAD	389.85	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	7394	"Equipment Rental and Leasing Services, F"	SANDBAGS	
"PARKS, FORESTRY & RECREATION"	4976-115	2018-04-29	2018-04-30	LONGO S AJAX	67.78	CAD	67.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5411	"Grocery Stores, Supermarkets"	SANDWICHES	
"PARKS, FORESTRY & RECREATION"	4976-116	2018-04-29	2018-04-30	THE HOME DEPOT #7109	17.79	CAD	17.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5200	Home Supply Warehouse	24 TIE NAT10	
"PARKS, FORESTRY & RECREATION"	4976-117	2018-04-29	2018-04-30	WAL-MART #3001	38.39	CAD	38.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03391	SPECIAL EVENTS - CITY WIDE YOUTH	5411	"Grocery Stores, Supermarkets"	"MARKING CONES, PUMP"	
