Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	4697-6	2017-08-16	2017-08-17	FRESHCO 9750      QPS	1.97 	CAD	1.97 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12930	LOCATION SUPPORT - D.D.SUMMERVILLE POOL	5411	"Grocery Stores, Supermarkets"	BOTTLED WATER	
"PARKS, FORESTRY & RECREATION"	4698-5	2017-08-16	2017-08-18	WAL-MART #3159	14.85 	CAD	14.85 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12930	LOCATION SUPPORT - D.D.SUMMERVILLE POOL	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR END OF SUMMER CAMP FUN DAY	
"PARKS, FORESTRY & RECREATION"	4703-2	2017-08-21	2017-08-22	SHOPPERS DRUG MART #08	45.20 	CAD	45.20 	CAD	4805	POSTAGE	P12956	AQUATICS SUPPORT - TEY DISTRICT AREA 2	9402	Postal Services - Government Only	REGISTERED MAIL	
"PARKS, FORESTRY & RECREATION"	4710-2	2017-08-28	2017-08-29	MICHAELS OF CANADA #49	37.56 	CAD	37.56 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02689	FRANKLAND-INSTRL-INDR	5945	"Game, Toy, and Hobby Shops"	SUPPLIES FOR END OF SUMMER CAMP FUN DAY	
"PARKS, FORESTRY & RECREATION"	4710-3	2017-08-28	2017-08-29	DOLLAR TREE CANADA STO	48.03 	CAD	48.03 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02689	FRANKLAND-INSTRL-INDR	5331	Variety Stores	FRANKLAND/GREENWOOD CAMP FUN DAY	
"PARKS, FORESTRY & RECREATION"	4710-4	2017-08-28	2017-08-29	DOLLAR TREE CANADA STO	4.24 	CAD	4.24 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02689	FRANKLAND-INSTRL-INDR	5331	Variety Stores	FRANKLAND/GREENWOOD CAMP FUN DAY	
"PARKS, FORESTRY & RECREATION"	4710-5	2017-08-28	2017-08-29	PARTY CITY #2027	106.16 	CAD	106.16 	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02689	FRANKLAND-INSTRL-INDR	5947	"Card, Gift, Novelty, and Souvenir Shops"	FRANKLAND/GREENWOOD CAMP FUN DAY	
					313.10 	CAD	313.10 	CAD								
MUNICIPAL LICENSING & STANDARDS	4676-1	2017-08-03	2017-08-04	KEATING CHANNEL PUB	141.25 	CAD	141.25 	CAD	4820	BUSINESS MEETING EXPENSES	MS1300	DIRECTOR BY-LAW ENFORCEMENT	5812	"Eating Places, Restaurants"	CATERING FOR ALL DAY MANAGEMENT MEETING	
MUNICIPAL LICENSING & STANDARDS	4707-2	2017-08-23	2017-08-25	MD CHARLTON CO LTD	76.48 	CAD	76.48 	CAD	2670	UNIFORMS	MS1300	DIRECTOR BY-LAW ENFORCEMENT	5941	Sporting Goods Stores	UNIFORM SAMPLE PIECES	
MUNICIPAL LICENSING & STANDARDS	4707-3	2017-08-23	2017-08-25	MD CHARLTON CO LTD	147.86 	CAD	147.86 	CAD	2670	UNIFORMS	MS1300	DIRECTOR BY-LAW ENFORCEMENT	5941	Sporting Goods Stores	UNIFORM SAMPLE PIECES	
					365.59 	CAD	365.59 	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4671-4	2017-07-31	2017-08-01	LOBLAWS #1212	20.71 	CAD	20.71 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0076	HS-MH-EDUCATION/OUTRCH-SPADINA	5411	"Grocery Stores, Supermarkets"	"CHOCOLATE CHIPS, EGGS, BUTTER"	
ECONOMIC DEVELOPMENT & CULTURE	4673-3	2017-07-27	2017-08-02	LOBLAWS #1212	24.74 	CAD	24.74 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0076	HS-MH-EDUCATION/OUTRCH-SPADINA	5411	"Grocery Stores, Supermarkets"	"PRETZELS, TREATS, STYRO CUPS"	
ECONOMIC DEVELOPMENT & CULTURE	4708-2	2017-08-25	2017-08-28	LOBLAWS #1212	90.46 	CAD	90.46 	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0076	HS-MH-EDUCATION/OUTRCH-SPADINA	5411	"Grocery Stores, Supermarkets"	"PRETZELS, CUP CAKES, FLOUR, SUGAR, BUTTER, EGGS"	
					135.91 	CAD	135.91 	CAD								
