Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	4748-1	2017-09-22	2017-09-25	IMPACT CANOPIES CANADA	783.70	CAD	783.70	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5998	Tent & Awning Shops	OUTDOOR CANOPY	
ECONOMIC DEVELOPMENT & CULTURE	4752-1	2017-09-25	2017-09-27	THE PRINTING HOUSE #76	39.12	CAD	39.12	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	2741	Miscellaneous Publishing and Printing	PRINTING	
					"1,929.60"	CAD	"1,929.60"	CAD								
"PARKS, FORESTRY & RECREATION"	4748-2	2017-09-22	2017-09-25	PETSMART INC. 2172	27.10	CAD	27.10	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5995	Pet Shops - Pet Food and Supplies	FOOD FOR TURTLES	
					27.10	CAD	27.10	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4742-2	2017-09-19	2017-09-20	GAWCK	"2,442.83"	CAD	"2,442.83"	CAD	4414	ADVERTISING & PROMOTION	ED0150	EDC MARKETING TACTICS	7333	"Commercial Art, Graphics, Photography"	ADVERTISING	
					"2,442.83"	CAD	"2,442.83"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4715-3	2017-08-31	2017-09-01	FRESHCO #9781	21.89	CAD	21.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WALNUTS, SPINACH, STRAWBERRIES, CUCUMBER"	
ECONOMIC DEVELOPMENT & CULTURE	4723-3	2017-09-06	2017-09-07	METRO #720	18.08	CAD	18.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"OATMEAL, LEMONS"	
ECONOMIC DEVELOPMENT & CULTURE	4727-2	2017-09-08	2017-09-11	KITCHEN STUFF PLUS #12	85.83	CAD	85.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	"THERMOMETERS, SCALES, SALAD SPINNER"	
ECONOMIC DEVELOPMENT & CULTURE	4727-3	2017-09-08	2017-09-11	METRO #720	42.02	CAD	42.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"EGGS, WHIPPING CREAM, MILK"	
ECONOMIC DEVELOPMENT & CULTURE	4735-1	2017-09-13	2017-09-14	FRESHCO #9780	11.69	CAD	11.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	APPLES	
ECONOMIC DEVELOPMENT & CULTURE	4735-2	2017-09-13	2017-09-14	FRESHCO #9781	80.77	CAD	80.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"EGGS, LEMONS, FLOUR, ORANGES, PINK WATER"	
ECONOMIC DEVELOPMENT & CULTURE	4738-1	2017-09-16	2017-09-18	SOBEYS 938        QPS	106.32	CAD	106.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MAPLE SYRUP, MILK, EGGS, APPLES, PORK ROAST, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4738-2	2017-09-17	2017-09-18	FRESHCO #9781	42.63	CAD	42.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"EGGS, BUTTER"	
ECONOMIC DEVELOPMENT & CULTURE	4738-3	2017-09-14	2017-09-18	GROCERY GATEWAY	197.11	CAD	197.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5411	"Grocery Stores, Supermarkets"	"APPLES, MILK, SUGAR, DELIVERY CHARGE"	
ECONOMIC DEVELOPMENT & CULTURE	4738-4	2017-09-16	2017-09-18	LOBLAWS 4.2	69.06	CAD	69.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"GRANOLA BAR, MAPLE SYRUP"	
ECONOMIC DEVELOPMENT & CULTURE	4744-1	2017-09-19	2017-09-21	EVENT RENTAL GROUP	69.50	CAD	69.50	CAD	4590	RENTAL - OTHER	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	7394	"Equipment Rental and Leasing Services, F"	RENTAL OF CHAFING DISHES	
					744.90	CAD	744.90	CAD								
FIRE SERVICES	4748-3	2017-09-22	2017-09-25	STAPLES STORE #32	108.68	CAD	108.68	CAD	2010	STATIONERY AND OFFICE SUPPLIES	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5943	"Office, School Supply, and Stationery St"	BINDERS	
					108.68	CAD	108.68	CAD								
TRANSPORTATION SERVICES 	4744-2	2017-09-20	2017-09-21	PAYPAL *TWEETYMAIL	6.34	CAD	6.34	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4744-3	2017-09-20	2017-09-21	PAYPAL *TWEETYMAIL	6.34	CAD	6.34	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4744-4	2017-09-20	2017-09-21	PAYPAL *TWEETYMAIL	6.34	CAD	6.34	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4744-5	2017-09-20	2017-09-21	PAYPAL *TWEETYMAIL	6.34	CAD	6.34	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					25.36	CAD	25.36	CAD								
TORONTO PARAMEDIC SERVICES	4745-2	2017-09-21	2017-09-22	GOPARK MNGMT (ONTARIO)	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46753	OPS - SERVICE DISTRICT 1	7523	Automobile Parking Lots and Garages	PARKING	
					15.00	CAD	15.00	CAD								
TORONTO PARAMEDIC SERVICES	4748-4	2017-09-22	2017-09-25	WAL-MART # 1151	72.45	CAD	72.45	CAD	*****	KITCHEN SUPPLIES	B46753	OPS - SERVICE DISTRICT 1	5310	Discount Stores	**MORE**  COFFEE-BUS MEETING	
TORONTO PARAMEDIC SERVICES	4748-5	2017-09-23	2017-09-25	WAL-MART # 3064	112.91	CAD	112.91	CAD	2610	KITCHEN SUPPLIES	B46753	OPS - SERVICE DISTRICT 1	5411	"Grocery Stores, Supermarkets"	KITCHEN SUPPLIES	
TORONTO PARAMEDIC SERVICES	4750-1	2017-09-22	2017-09-26	CDN TIRE STORE #00237	"1,002.34"	CAD	"1,002.34"	CAD	*****	BUSINESS MEETING EXPENSES	B46753	OPS - SERVICE DISTRICT 1	5200	Home Supply Warehouse	**MORE**  KITCHEN SUPPLIES	
TORONTO PARAMEDIC SERVICES	4755-3	2017-09-28	2017-09-29	BBYMARKETPLA*9284-8068	300.55	CAD	300.55	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	B46753	OPS - SERVICE DISTRICT 1	5732	Electronic Sales	TV WALL MOUNT	
					"1,488.25"	CAD	"1,488.25"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4736-2	2017-09-13	2017-09-15	EMBASSY OF VIETNAM IN	191.16	CAD	154.50	USD	4230	BUSINESS TRAV - OTHER EXPENSES	ED0154	BUSINESS ALLIANCES	9399	Government Services - Not Elsewhere Clas	VISA FOR VIETNAM MISSION.	
					191.16	CAD	154.50	USD								
"PARKS, FORESTRY & RECREATION"	4733-2	2017-09-12	2017-09-13	DOLLARAMA # 500	13.00	CAD	13.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	SNACKS FOR BUS TRIP	
"PARKS, FORESTRY & RECREATION"	4744-6	2017-09-20	2017-09-21	NO FRILL'S #1306	32.89	CAD	32.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS	
"PARKS, FORESTRY & RECREATION"	4745-3	2017-09-20	2017-09-22	WAL-MART # 3031	108.60	CAD	108.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	FOOD ITEMS	
"PARKS, FORESTRY & RECREATION"	4745-4	2017-09-21	2017-09-22	FORTINOS HWY 7   ANSLE	89.70	CAD	89.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	CORN FOR CORN ROAST EVENT	
"PARKS, FORESTRY & RECREATION"	4745-5	2017-09-21	2017-09-22	NO FRILL'S #1306	53.31	CAD	53.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS - CORN ROAST EVENT	
"PARKS, FORESTRY & RECREATION"	4745-6	2017-09-21	2017-09-22	COSTCO WHOLESALE W524	244.60	CAD	244.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5300	Wholesale Clubs	FOOD ITEMS - CORN ROAST EVENT	
"PARKS, FORESTRY & RECREATION"	4745-7	2017-09-21	2017-09-22	DOLLARAMA #0939	47.74	CAD	47.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	CORN ROAST EVENT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4745-8	2017-09-21	2017-09-22	DOLLAR TREE CANADA STO	53.68	CAD	53.68	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5331	Variety Stores	CORN ROAST EVENT - PRIZES	
"PARKS, FORESTRY & RECREATION"	4754-1	2017-09-27	2017-09-28	WINNERS 278	63.21	CAD	63.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12053	HORNER-FITNESS-INSTRL OLDER ADULTS	5651	Family Clothing Stores	BLOCKS AND ROLLERS FOR PILATES	
"PARKS, FORESTRY & RECREATION"	4754-2	2017-09-27	2017-09-28	WINNERS 376	22.59	CAD	22.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12053	HORNER-FITNESS-INSTRL OLDER ADULTS	5651	Family Clothing Stores	ROLLER FOR PILATES	
					729.32	CAD	729.32	CAD								
TORONTO WATER	4729-2	2017-09-08	2017-09-12	CDN TIRE STORE #00399	57.30	CAD	57.30	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	VEHICLE PARTS	
TORONTO WATER	4742-3	2017-09-18	2017-09-20	CDN TIRE STORE #00399	21.33	CAD	21.33	CAD	3080	M & E - HAND TOOLS	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	TOOL	
TORONTO WATER	4750-2	2017-09-25	2017-09-26	PRINCESS AUTO	24.85	CAD	24.85	CAD	2665	PROTECTIVE CLOTHING	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5085	Industrial Supplies Not Elsewhere Classi	FACE SHIELD	
TORONTO WATER	4752-2	2017-09-25	2017-09-27	THE HOME DEPOT #7004	26.41	CAD	26.41	CAD	2710	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	DISC	
TORONTO WATER	4755-4	2017-09-27	2017-09-29	CDN TIRE STORE #00399	45.19	CAD	45.19	CAD	3080	M & E - HAND TOOLS	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	TOOL KIT	
					175.08	CAD	175.08	CAD								
EMPLOYMENT & SOCIAL SERVICES	4742-4	2017-09-19	2017-09-20	TIM HORTONS 4106 QTH	31.01	CAD	31.01	CAD	4820	BUSINESS MEETING EXPENSES	C01233	APPLICATION CENTRE	5814	Quick Payment Service - Fast-Food Restau	SNACKS-CUSTOMER SERV REP MEETING SEPT19/17	
					31.01	CAD	31.01	CAD								
TORONTO WATER	4724-2	2017-09-06	2017-09-08	STAPLES.CA	404.54	CAD	404.54	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	BASKETS	
TORONTO WATER	4744-7	2017-09-20	2017-09-21	STAPLES STORE #127	131.08	CAD	131.08	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	IPHONE CHARGERS	
					535.62	CAD	535.62	CAD								
EMPLOYMENT & SOCIAL SERVICES	4727-4	2017-09-10	2017-09-11	COSTCO WHOLESALE W1169	99.39	CAD	99.39	CAD	4820	BUSINESS MEETING EXPENSES	C01214	HIGH PARK/PARKDALE-ADMIN	5300	Wholesale Clubs	BREAKFAST-TPS WEEK KICKOFF SEPT 11/17	
EMPLOYMENT & SOCIAL SERVICES	4736-3	2017-09-14	2017-09-15	NOFRILLS JOSEPHS 730	11.04	CAD	11.04	CAD	4995	OTHER EXPENSES	C01214	HIGH PARK/PARKDALE-ADMIN	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR TPS WEEK SEPT 11-15	
EMPLOYMENT & SOCIAL SERVICES	4736-4	2017-09-14	2017-09-15	COSTCO WHOLESALE W524	41.32	CAD	41.32	CAD	4820	BUSINESS MEETING EXPENSES	C01214	HIGH PARK/PARKDALE-ADMIN	5300	Wholesale Clubs	TPS WEEK CLOSING CEREMONIES SEPT15/2017	
EMPLOYMENT & SOCIAL SERVICES	4738-5	2017-09-14	2017-09-18	TIM HORTONS 2967 QTH	20.00	CAD	20.00	CAD	4995	OTHER EXPENSES	C01214	HIGH PARK/PARKDALE-ADMIN	5814	Quick Payment Service - Fast-Food Restau	2-$10.00 GIFT CARDS - TPS WEEK WRAP UP SEPT 15/17	
EMPLOYMENT & SOCIAL SERVICES	4738-6	2017-09-15	2017-09-18	PAYPAL *TORONTOHOST	90.00	CAD	90.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	C01214	HIGH PARK/PARKDALE-ADMIN	8398	"Organizations, Charitable and Social Ser"	REG FEES-ADVANCED CASE MANAGEMENT FEB.8/2018	
EMPLOYMENT & SOCIAL SERVICES	4738-7	2017-09-15	2017-09-18	PIZZA NOVA 075	77.23	CAD	77.23	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01214	HIGH PARK/PARKDALE-ADMIN	5814	Quick Payment Service - Fast-Food Restau	PIZZA-PAYE WORKSHOP SEPT 15/2017	
EMPLOYMENT & SOCIAL SERVICES	4750-3	2017-09-25	2017-09-26	PIZZA NOVA 075	69.17	CAD	69.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01214	HIGH PARK/PARKDALE-ADMIN	5814	Quick Payment Service - Fast-Food Restau	PIZZA-COMMUNITY CONNECTIONS AGENCY NETWORKING	
EMPLOYMENT & SOCIAL SERVICES	4754-3	2017-09-27	2017-09-28	COSTCO WHOLESALE W524	54.84	CAD	54.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01214	HIGH PARK/PARKDALE-ADMIN	5300	Wholesale Clubs	EC OPN HOUSE EVENT	
EMPLOYMENT & SOCIAL SERVICES	4754-4	2017-09-27	2017-09-28	STARBUCKS 04720	22.60	CAD	22.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	C01214	HIGH PARK/PARKDALE-ADMIN	5814	Quick Payment Service - Fast-Food Restau	EC OPN HOUSE EVENT	
					485.59	CAD	485.59	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4738-8	2017-09-15	2017-09-18	LARSON JUHL #1	205.21	CAD	205.21	CAD	2090	GRAPHIC DESIGN SUPPLIES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5970	"Artist Supply Stores, Craft Shops"	FRAME AND ACRYLIC FOR REPRO	
					205.21	CAD	205.21	CAD								
LONG TERM CARE HOMES & SERVICES	4755-5	2017-09-28	2017-09-29	TREASURE HUNT	156.27	CAD	156.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5310	Discount Stores	CHRISTMAS/FALL DECOR FOR RESIDENT AREAS	
					156.27	CAD	156.27	CAD								
"PARKS, FORESTRY & RECREATION"	4721-1	2017-09-05	2017-09-06	BELL TV	81.13	CAD	81.13	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	SATELLITE TV FOR MAIN HALLWAY	
"PARKS, FORESTRY & RECREATION"	4754-5	2017-09-27	2017-09-28	TDSB - PURCHASING	194.43	CAD	194.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	8299	Educational Services	"KLEENEX, PURELL"	
					275.56	CAD	275.56	CAD								
"PARKS, FORESTRY & RECREATION"	4735-3	2017-09-12	2017-09-14	CDN TIRE STORE #00209	508.48	CAD	508.48	CAD	3025	M & E - JANITORIAL	P07677	AGINCOURT-OPERATIONS	5200	Home Supply Warehouse	"VACUUM, POWER WASHER"	
"PARKS, FORESTRY & RECREATION"	4736-5	2017-09-13	2017-09-15	THE HOME DEPOT #7107	74.73	CAD	74.73	CAD	2710	GENERAL HARDWARE	P07677	AGINCOURT-OPERATIONS	5200	Home Supply Warehouse	**MORE**  HUSKYHDXL	
"PARKS, FORESTRY & RECREATION"	4738-9	2017-09-14	2017-09-18	THE HOME DEPOT #7107	40.51	CAD	40.51	CAD	2710	GENERAL HARDWARE	P07680	HERON PARK-OPERATIONS	5200	Home Supply Warehouse	GS G C 2PK	
"PARKS, FORESTRY & RECREATION"	4744-8	2017-09-19	2017-09-21	THE HOME DEPOT #7107	75.25	CAD	75.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07684	DON MONTGOMERY CRC-OPERATIONS	5200	Home Supply Warehouse	**MORE**  3/16/1 3/4HE	
"PARKS, FORESTRY & RECREATION"	4754-6	2017-09-26	2017-09-28	THE HOME DEPOT #7107	111.80	CAD	111.80	CAD	2710	GENERAL HARDWARE	P07683	MCGREGOR PARK-OPERATIONS	5200	Home Supply Warehouse	**MORE**  2GAL HDX	
					810.77	CAD	810.77	CAD								
TORONTO PARAMEDIC SERVICES	4742-5	2017-09-18	2017-09-20	MOD-TRONIC INSTRUMENTS	118.20	CAD	118.20	CAD	2575	ELECTRICAL SUPPLIES	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5965	Direct Marketing - Combination Catalog a	CURRENT SWITCH	
TORONTO PARAMEDIC SERVICES	4744-9	2017-09-19	2017-09-21	GRAYBAR CANADA	141.16	CAD	141.16	CAD	2710	GENERAL HARDWARE	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5065	Electrical Parts and Equipment	MOD PLUG	
TORONTO PARAMEDIC SERVICES	4744-10	2017-09-19	2017-09-21	GRAYBAR CANADA	839.48	CAD	839.48	CAD	2710	GENERAL HARDWARE	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5065	Electrical Parts and Equipment	DEG MALE	
					"1,098.84"	CAD	"1,098.84"	CAD								
"PARKS, FORESTRY & RECREATION"	4735-4	2017-09-13	2017-09-14	SUN WA BOOKSTORE	45.20	CAD	45.20	CAD	4805	POSTAGE	P12956	AQUATICS SUPPORT - TEY DISTRICT AREA 2	5942	Book Stores	REGISTERED MAIL	
"PARKS, FORESTRY & RECREATION"	4748-6	2017-09-23	2017-09-25	THE HOME DEPOT #7080	23.72	CAD	23.72	CAD	2730	LOCKS	P12930	LOCATION SUPPORT - D.D.SUMMERVILLE POOL	5200	Home Supply Warehouse	DISC LOCK	
					68.92	CAD	68.92	CAD								
MUNICIPAL LICENSING & STANDARDS	4723-4	2017-09-06	2017-09-07	CARSWELL	277.13	CAD	277.13	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	MS1300	DIRECTOR BY-LAW ENFORCEMENT	7338	"Quick Copy, Reproduction, and Blueprinti"	PURCHASE OF LEGAL BOOKS	
MUNICIPAL LICENSING & STANDARDS	4740-1	2017-09-18	2017-09-19	TIM HORTONS 1723 QTH	59.83	CAD	59.83	CAD	4820	BUSINESS MEETING EXPENSES	MS1300	DIRECTOR BY-LAW ENFORCEMENT	5814	Quick Payment Service - Fast-Food Restau	MANAGEMENT MEETING CATERING	
					336.96	CAD	336.96	CAD								
SOLID WASTE MANAGEMENT	4755-6	2017-09-28	2017-09-29	STAPLES STORE #25	117.07	CAD	117.07	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	SW0706	EXECUTIVE OFFICE	5943	"Office, School Supply, and Stationery St"	"SUPPLIES FOR TGP MEETING OCT.6, 2017"	
					117.07	CAD	117.07	CAD								
