Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
FIRE SERVICES	4634-2	2017-07-06	2017-07-07	ROYAL DISTRIBUTING	$632.64	CAD	$632.64	CAD	2665	PROTECTIVE CLOTHING	FR0028	PROFDEV/TRAINING-EMERGENCY PLNG/RES	5598	Snowmobile Dealers	UTV HELMETS	
FIRE SERVICES	4646-1	2017-07-12	2017-07-14	ESSO	$19.98	CAD	$19.98	CAD	2741	FOOD COSTS	FR0028	PROFDEV/TRAINING-EMERGENCY PLNG/RES	5541	Service Stations (with or without Ancill	ICE	
FIRE SERVICES	4646-2	2017-07-13	2017-07-14	TOWN MOTO	$57.46	CAD	$57.46	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	FR0028	PROFDEV/TRAINING-EMERGENCY PLNG/RES	5945	"Game, Toy, and Hobby Shops"	HELMET CLEANER	
					$758.97	CAD	$758.97	CAD								
"PARKS, FORESTRY & RECREATION"	4629-1	2017-06-30	2017-07-04	DOLLARAMA # 270	$66.39	CAD	$66.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5310	Discount Stores	PONCHOS/PACKING TAPE/PRINTED TAPE	
"PARKS, FORESTRY & RECREATION"	4662-2	2017-07-25	2017-07-26	KENNEDY BOWL	$513.00	CAD	$513.00	CAD	4118	TICKETS AND ADMISSION FEES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	7933	Bowling Alleys	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	4665-2	2017-07-27	2017-07-28	KIDS FUN CITY	$510.20	CAD	$510.20	CAD	4118	TICKETS AND ADMISSION FEES	P04101	OAKRIDGE CRC-SUMMER CAMPS	5912	"Drug Stores, Pharmacies"	CAMP TRIP	
					"$1,089.59"	CAD	"$1,089.59"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4631-2	2017-07-04	2017-07-05	METRO CIGAR	$39.55	CAD	$39.55	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5993	Cigar Stores and Stands	SACRED TOBACCO	
ECONOMIC DEVELOPMENT & CULTURE	4634-3	2017-07-05	2017-07-07	THE PRINTING HOUSE #76	$160.15	CAD	$160.15	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	2741	Miscellaneous Publishing and Printing	EXHIBITION SIGNAGE	
ECONOMIC DEVELOPMENT & CULTURE	4636-3	2017-07-06	2017-07-10	SOBEYS 718        QPS	$33.92	CAD	$33.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	SUMMER CAMP FOOD SUPPLIES	
ECONOMIC DEVELOPMENT & CULTURE	4636-4	2017-07-06	2017-07-10	CDN TIRE STORE #00150	$227.58	CAD	$227.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5200	Home Supply Warehouse	CAMP SUPPLIES	
ECONOMIC DEVELOPMENT & CULTURE	4646-3	2017-07-13	2017-07-14	IMPACT CANOPIES CANADA	$740.13	CAD	$740.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0047	HS-MH-BOARD & COMMITTEE-MONTGOMERY	5998	Tent & Awning Shops	OUTDOOR CANOPY	
ECONOMIC DEVELOPMENT & CULTURE	4650-1	2017-07-14	2017-07-17	SOBEYS 718        QPS	$45.52	CAD	$45.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5411	"Grocery Stores, Supermarkets"	STRAWBERRIES AND FLOWERS	
ECONOMIC DEVELOPMENT & CULTURE	4653-2	2017-07-18	2017-07-19	LEADER FRAMES	$530.42	CAD	$530.42	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5199	Nondurable Goods Not Elsewhere Classifie	PICTURE FRAMES	
ECONOMIC DEVELOPMENT & CULTURE	4662-3	2017-07-25	2017-07-26	ROB'S NO FRILLS STORE	$8.04	CAD	$8.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	LEMONS FOR CAMP PROGRAMME	
ECONOMIC DEVELOPMENT & CULTURE	4664-1	2017-07-26	2017-07-27	IMPACT CANOPIES CANADA	$42.68	CAD	$42.68	CAD	4815	COURIER SERVICES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5998	Tent & Awning Shops	FREIGHT CHARGES FOR TENT	
ECONOMIC DEVELOPMENT & CULTURE	4669-1	2017-07-27	2017-07-31	CDN TIRE STORE #00150	$30.50	CAD	$30.50	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5200	Home Supply Warehouse	GARDEN HOSE	
					"$1,858.49"	CAD	"$1,858.49"	CAD								
"PARKS, FORESTRY & RECREATION"	4629-2	2017-06-30	2017-07-04	DOLLARAMA # 391	$68.93	CAD	$68.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5310	Discount Stores	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4629-3	2017-06-30	2017-07-04	DOLLARAMA # 855	$27.12	CAD	$27.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5310	Discount Stores	CANADA DAY SUPPLIES- CAMPS	
"PARKS, FORESTRY & RECREATION"	4629-4	2017-06-30	2017-07-04	RINX ENTERTAINMENT CEN	$150.00	CAD	$150.00	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7941	"Athletic Fields, Commercial Sports, Prof"	CAMP FIELD TRIP-DEPOSIT	
"PARKS, FORESTRY & RECREATION"	4629-5	2017-06-30	2017-07-04	STARKMAN SURGICAL SUPP	$197.42	CAD	$197.42	CAD	2590	EMERGENCY SERVICES SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	8071	Dental and Medical Laboratories	FIRST AID KIT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4631-3	2017-07-04	2017-07-05	LOBLAWS #1212	$73.92	CAD	$73.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	COOKING CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4631-4	2017-07-04	2017-07-05	COSTCO WHOLESALE W545	$105.33	CAD	$105.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	5300	Wholesale Clubs	COOKING CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4634-4	2017-07-06	2017-07-07	THE SECOND CITY	$263.29	CAD	$263.29	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	5734	Computer Software Stores	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	4634-5	2017-07-06	2017-07-07	LOBLAWS #1212	$74.17	CAD	$74.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	COOKING CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4634-6	2017-07-06	2017-07-07	LOBLAWS #1212	$230.52	CAD	$230.52	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	COOKING CLASS ADMISSION	
"PARKS, FORESTRY & RECREATION"	4645-2	2017-07-12	2017-07-13	BATHURST BOWLERAMA	$316.40	CAD	$316.40	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7933	Bowling Alleys	CAMP TRIP ADMISSION	
"PARKS, FORESTRY & RECREATION"	4658-2	2017-07-21	2017-07-24	GLOBAL  PET FOODS	$18.05	CAD	$18.05	CAD	2620	ANIMAL CARE SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5995	Pet Shops - Pet Food and Supplies	TURTLE FOOD	
"PARKS, FORESTRY & RECREATION"	4658-3	2017-07-21	2017-07-24	DOLLARAMA # 855	$73.13	CAD	$73.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5310	Discount Stores	ARTS AND CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4662-4	2017-07-25	2017-07-26	FOOD BASICS #631	$7.94	CAD	$7.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	SCIENCE CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4664-2	2017-07-26	2017-07-27	DOLLARAMA # 911	$18.36	CAD	$18.36	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5310	Discount Stores	ARTS SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4664-3	2017-07-26	2017-07-27	TORONTO ZOOADMISSIONS	$629.25	CAD	$629.25	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7996	"Amusement Parks, Carnivals, Circuses, Fo"	CAMP TRIP ADMISSION	
"PARKS, FORESTRY & RECREATION"	4665-3	2017-07-26	2017-07-28	PETSMART INC. 2172	$74.54	CAD	$74.54	CAD	2620	ANIMAL CARE SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5995	Pet Shops - Pet Food and Supplies	TURTLE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4669-2	2017-07-28	2017-07-31	STAPLES STORE #25	$45.71	CAD	$45.71	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	GOLD & CLEAR LABELS FOR MEDALS	
					"$2,374.08"	CAD	"$2,374.08"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4643-6	2017-07-11	2017-07-12	GAWCK	$879.11	CAD	$879.11	CAD	4414	ADVERTISING & PROMOTION	ED0180	SUMMER & WINTERLICIOUS	7333	"Commercial Art, Graphics, Photography"	SUMMERLICIOUS BANNER STANDS & SIGNAGE	
					$879.11	CAD	$879.11	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4629-6	2017-06-30	2017-07-04	FRESHCO #9781	$20.51	CAD	$20.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"DATES, STRAWBERRIES, CURRANTS"	
ECONOMIC DEVELOPMENT & CULTURE	4634-7	2017-07-05	2017-07-07	METRO #720	$68.60	CAD	$68.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"VINEGAR, ALLSPICE, ONIONS, APPLES, GARLIC, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4636-5	2017-07-07	2017-07-10	METRO #720	$71.41	CAD	$71.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CLOVES, LEMONS, STRAWBERRIES, EGGS, WHIPPING CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	4650-2	2017-07-14	2017-07-17	METRO #37	$45.83	CAD	$45.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"PINEAPPLE, WHIPPING CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	4650-3	2017-07-14	2017-07-17	FRESHCO #9781	$12.02	CAD	$12.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	RASPBERRIES	
					$218.37	CAD	$218.37	CAD								
FIRE SERVICES	4646-4	2017-07-13	2017-07-14	NOFRILLS DICKIES 752	$14.48	CAD	$14.48	CAD	2082	HEALTH & SAFETY SUPPLIES	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5411	"Grocery Stores, Supermarkets"	AIR MONITORING TRAINING MATERIALS	
FIRE SERVICES	4650-4	2017-07-13	2017-07-17	CDN TIRE STORE #00030	$105.49	CAD	$105.49	CAD	2082	HEALTH & SAFETY SUPPLIES	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	AIR MONITORING TRAINING MATERIALS	
					$119.97	CAD	$119.97	CAD								
TRANSPORTATION SERVICES 	4655-1	2017-07-20	2017-07-21	PAYPAL *TWEETYMAIL	$6.52	CAD	$6.52	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4655-2	2017-07-20	2017-07-21	PAYPAL *TWEETYMAIL	$6.52	CAD	$6.52	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4655-3	2017-07-20	2017-07-21	PAYPAL *TWEETYMAIL	$6.52	CAD	$6.52	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4655-4	2017-07-20	2017-07-21	PAYPAL *TWEETYMAIL	$6.52	CAD	$6.52	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					$26.08	CAD	$26.08	CAD								
PUBLIC HEALTH	4633-1	2017-07-06	2017-07-06	PHE CANADA	$423.75	CAD	$423.75	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3515	SUBSTANCE MISUSE PREVENTION	8398	"Organizations, Charitable and Social Ser"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	4658-4	2017-07-21	2017-07-24	WESTJET  8382127807536	$260.18	CAD	$260.18	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	PH3515	SUBSTANCE MISUSE PREVENTION	3180	WestJet Airlines	BUSINESS TRAV - AIR TRANSPORTATION	
					$683.93	CAD	$683.93	CAD								
"PARKS, FORESTRY & RECREATION"	4631-5	2017-07-04	2017-07-05	NO FRILL'S #1306	$32.24	CAD	$32.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"GINGER ALE, WATERMELON"	
"PARKS, FORESTRY & RECREATION"	4633-2	2017-07-05	2017-07-06	NO FRILL'S #1306	$16.89	CAD	$16.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"LETTUCE,BURGERS, CHIPS"	
"PARKS, FORESTRY & RECREATION"	4643-7	2017-07-11	2017-07-12	WEST END MEAT PACKERS	$40.00	CAD	$40.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	MEAT	
"PARKS, FORESTRY & RECREATION"	4653-3	2017-07-18	2017-07-19	NO FRILL'S #1306	$6.46	CAD	$6.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"TOMATOES , KAISER"	
"PARKS, FORESTRY & RECREATION"	4653-4	2017-07-18	2017-07-19	NO FRILL'S #1306	$140.09	CAD	$140.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"POTATOES, SOUR CREAM, CHEDDAR"	
"PARKS, FORESTRY & RECREATION"	4653-5	2017-07-18	2017-07-19	DOLLARAMA #0939	$10.17	CAD	$10.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	TREATS FOR BUS TRIP - WERTHERS CANDY	
"PARKS, FORESTRY & RECREATION"	4664-4	2017-07-25	2017-07-27	WAL-MART # 3031	$92.05	CAD	$92.05	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P10539	S-REC SUPER1-PRGM SUPPORT	5310	Discount Stores	RADIO FOR FITNESS CLASS	
					$337.90	CAD	$337.90	CAD								
TORONTO WATER	4653-6	2017-07-17	2017-07-19	THE HOME DEPOT #7107	$37.13	CAD	$37.13	CAD	2710	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	**MORE**  50FT ROPE	
TORONTO WATER	4660-2	2017-07-21	2017-07-25	CDN TIRE STORE #00175	$33.82	CAD	$33.82	CAD	2710	GENERAL HARDWARE	TW7072	WTR TREAT & SUPPLY: TRANSMISSION - EAST	5200	Home Supply Warehouse	UTILITY KNIVES	
					$70.95	CAD	$70.95	CAD								
EMPLOYMENT & SOCIAL SERVICES	4629-7	2017-06-30	2017-07-04	CORPORATE EXPRESS	$50.70	CAD	$50.70	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	C01204	KENNEDY -ADMIN	5943	"Office, School Supply, and Stationery St"	"OFFICE SUPPLIES-DESK ORGANIZER,HANGING FOLD. FRAME"	
EMPLOYMENT & SOCIAL SERVICES	4629-8	2017-07-01	2017-07-04	ULINE	$162.35	CAD	$162.35	CAD	*****	OTHER EXPENSES	C01204	KENNEDY -ADMIN	5964	Direct Marketing - Catalog Merchants	DYMO LBLWRITER 450 PRINTER	
EMPLOYMENT & SOCIAL SERVICES	4646-5	2017-07-13	2017-07-14	CORPORATE EXPRESS	$111.76	CAD	$111.76	CAD	2010	STATIONERY AND OFFICE SUPPLIES	C01204	KENNEDY -ADMIN	5943	"Office, School Supply, and Stationery St"	OFFICE SUPPLIES FOR CHERYL LUCAS	
EMPLOYMENT & SOCIAL SERVICES	4665-4	2017-07-27	2017-07-28	METRO #35	$41.32	CAD	$41.32	CAD	4820	BUSINESS MEETING EXPENSES	C01204	KENNEDY -ADMIN	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS DORSET PARK YOUTH EVENT JULY 27/17	
					$366.13	CAD	$366.13	CAD								
TORONTO WATER	4655-5	2017-07-19	2017-07-21	STAPLES.CA	$63.83	CAD	$63.83	CAD	3410	COMPUTERS - HARDWARE	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5943	"Office, School Supply, and Stationery St"	STARTECH.COM BLACK SUPERSPEED USB 3.0 HUB 4 PORT	
					$63.83	CAD	$63.83	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4636-6	2017-07-08	2017-07-10	FABRICLAND DISTRIBUTOR	$24.32	CAD	$24.32	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5949	"Fabric, Needlework, Piece Goods, and Sew"	COTTON THREADS	
ECONOMIC DEVELOPMENT & CULTURE	4636-7	2017-07-08	2017-07-10	THE HOME DEPOT #7001	$19.19	CAD	$19.19	CAD	2575	ELECTRICAL SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	LED100WA192P	
ECONOMIC DEVELOPMENT & CULTURE	4636-8	2017-07-09	2017-07-10	BED BATH   BEYOND 2032	$11.29	CAD	$11.29	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5200	Home Supply Warehouse	OVER-DOOR HOOK	
ECONOMIC DEVELOPMENT & CULTURE	4643-8	2017-07-10	2017-07-12	HUDSON'S BAY #1560	$99.44	CAD	$99.44	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5311	Department Stores	T-SHIRTS FOR JERSEYS ON MANNEQUINS	
					$154.24	CAD	$154.24	CAD								
LONG TERM CARE HOMES & SERVICES	4643-9	2017-07-11	2017-07-12	SHOPPERSDRUGMART0906	$132.02	CAD	$132.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5912	"Drug Stores, Pharmacies"	SUPPLIES FOR RESIDENTS' NAIL CARE PROGRAM	
					$132.02	CAD	$132.02	CAD								
