Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Decription	Cost Centre /WBS Element	Cost Centre /WBS Element Description	Merchant Type	Merchant type description	Purpose
"PARKS, FORESTRY & RECREATION"	1304-96	01-31-2011	02-01-2011	STAPLES STORE #266	60.28	CAD	60.28	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P10935	LMOREAUX TENNIS CTR-	5943	"Office, School Supply, and Stationery St"	
"PARKS, FORESTRY & RECREATION"	1314-116	02-04-2011	02-07-2011	WAL-MART SUPERCENTE	147.47	CAD	147.47	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13394	TOR NEWCOMER INITIAV	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1316-91	02-07-2011	02-08-2011	T T SUPERMARKET INC.	40.47	CAD	40.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07890	LAMOREAUX CC-SOC PGM	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1318-66	02-07-2011	02-09-2011	ZELLERS #453	111.10	CAD	111.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13394	TOR NEWCOMER INITIAV	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1320-87	02-09-2011	02-10-2011	NOFRILLS MICHAELS 1315	68.73	CAD	68.73	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13394	TOR NEWCOMER INITIAV	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1320-88	02-09-2011	02-10-2011	STAPLES STORE #159	74.84	CAD	74.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13394	TOR NEWCOMER INITIAV	5943	"Office, School Supply, and Stationery St"	
"PARKS, FORESTRY & RECREATION"	1327-86	02-11-2011	02-15-2011	ZELLERS #453	9.02	CAD	9.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10935	LMOREAUX TENNIS CTR-	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1333-90	02-17-2011	02-18-2011	STAPLES STORE #175	5.55	CAD	5.55	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P10935	LMOREAUX TENNIS CTR-	5943	"Office, School Supply, and Stationery St"	
"PARKS, FORESTRY & RECREATION"	1334-119	02-17-2011	02-21-2011	WAL-MART            30	33.83	CAD	33.83	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P10935	LMOREAUX TENNIS CTR-	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1334-120	02-18-2011	02-21-2011	NOFRILLS NICK'S #1399	25.32	CAD	25.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13394	TOR NEWCOMER INITIAV	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1334-121	02-18-2011	02-21-2011	WAL-MART            30	39.61	CAD	39.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13394	TOR NEWCOMER INITIAV	5310	Discount Stores	
					616.22	CAD	616.22	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1314-118	02-04-2011	02-07-2011	TORONTO PARKING AUTHOR	29.00	CAD	29.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	9399	Government Services - Not Elsewhere Clas	PARKING - EDCO CONFERENCE - CITY HALL
ECONOMIC DEVELOPMENT & CULTURE	1320-90	02-09-2011	02-10-2011	TORONTO PARKING AUTHOR	9.50	CAD	9.50	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING - BR&E STAFF MTG - NYCC
ECONOMIC DEVELOPMENT & CULTURE	1343-93	02-23-2011	02-25-2011	TORONTO PARKING AUTHOR	14.00	CAD	14.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	9399	Government Services - Not Elsewhere Clas	PARKING - MTG W/ - 77 ELIZABETH ST
ECONOMIC DEVELOPMENT & CULTURE	1344-125	02-25-2011	02-28-2011	TORONTO PARKING AUTHOR	14.00	CAD	14.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	9399	Government Services - Not Elsewhere Clas	PARKING - DEALING W/ ISSUE -77 ELIZABETH ST
					66.50	CAD	66.50	CAD							
CITY MANAGER	1314-58	02-04-2011	02-07-2011	OOHNA	67.80	CAD	67.80	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	CM0401	EMPL HLTH REHAB&EAPH	8699	"Organizations, Membership - Not Elsewher"	Webinar
					67.80	CAD	67.80	CAD							
LONG TERM CARE HOMES	1314-8	02-04-2011	02-07-2011	MR PRINTER	164.89	CAD	164.89	CAD	2010	STATIONERY AND OFFICE SUPPLIES	D3G011	TRU DAVIDSN A-PA-OA	7338	"Quick Copy, Reproduction, and Blueprinti"	ACTIVITY POSTER CALENDARS
LONG TERM CARE HOMES	1314-9	02-04-2011	02-07-2011	DARLING FLOWERS	265.55	CAD	265.55	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3G011	TRU DAVIDSN A-PA-OA	5992	Florists	FLOWERS FOR PASTORAL SERVICE
LONG TERM CARE HOMES	1314-10	02-04-2011	02-07-2011	SENTIMENTAL PRODUCTS	111.80	CAD	110.00	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3G083	TRU DAVIDSN A-PS-PS	7829	Motion Picture and Video Tape Production	RECREATION DVDs
LONG TERM CARE HOMES	1316-7	02-04-2011	02-08-2011	THE PRINTING HOUSE (BR	439.57	CAD	439.57	CAD	2010	STATIONERY AND OFFICE SUPPLIES	D3G011	TRU DAVIDSN A-PA-OA	2741	Miscellaneous Publishing and Printing	ACTIVITY POSTER CALENDARS
LONG TERM CARE HOMES	1327-2	02-14-2011	02-15-2011	METRO #37          QPS	20.99	CAD	20.99	CAD	2741	FOOD COSTS	D3G083	TRU DAVIDSN A-PS-PS	5411	"Grocery Stores, Supermarkets"	VALENTINE CAKE
					"1,002.80"	CAD	891.00	CAD							
							110.00	USD							
"PARKS, FORESTRY & RECREATION"	1325-171	02-11-2011	02-14-2011	SPEED FASTENING SYSTEM	67.25	CAD	67.25	CAD	2710	GENERAL HARDWARE	P12081	S-GEN-SPECIALIZED MA	5712	"Equipment, Furniture, and Home Furnishin"	
					67.25	CAD	67.25	CAD							
TORONTO WATER	1306-93	01-31-2011	02-02-2011	FLAME-TAMER FIRE   SAF	270.64	CAD	270.64	CAD	2230	NATURAL GAS	PW1001	RC HARRIS PROC WA1	7393	"Detective Agencies, Protective Agencies,"	Filling of air cylinders
TORONTO WATER	1308-84	02-01-2011	02-03-2011	CDN TIRE STORE #00654	69.55	CAD	69.55	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1002	RC HARRIS SRVCS WA2	5200	Home Supply Warehouse	Flex gear wrench and EZ plugs
TORONTO WATER	1314-157	02-05-2011	02-07-2011	THE HOME DEPOT #7249	147.94	CAD	147.94	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1002	RC HARRIS SRVCS WA2	5200	Home Supply Warehouse	STUDSENSOR A
TORONTO WATER	1316-101	02-06-2011	02-08-2011	THE HOME DEPOT #7249	-79.07	CAD	-79.07	CAD	4443	CONTRACTED SERVICE - DOORS &DOOR CLOSURE	PW1002	RC HARRIS SRVCS WA2	5200	Home Supply Warehouse	PATIO HNDL-REFUND
TORONTO WATER	1318-84	02-08-2011	02-09-2011	PRODUITS CHEMIQUES ACP	541.33	CAD	541.33	CAD	2499	OTHER CHEMICALS	PW1002	RC HARRIS SRVCS WA2	5169	Chemicals and Allied Products Not Elsewh	Buffer solution/4 sodium acetate
					950.39	CAD	950.39	CAD							
"PARKS, FORESTRY & RECREATION"	1316-132	02-04-2011	02-08-2011	TECHSMITH CORPORATION	310.39	CAD	305.95	USD	3420	COMPUTERS - SOFTWARE	P12598	RC-OW-THISTLETOWN	5732	Electronic Sales	
					310.39	CAD	305.95	USD							
TORONTO WATER	1339-111	02-22-2011	02-23-2011	ACKLANDS-GRAINGER INC	713.18	CAD	713.18	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1017	WS EAST WORK AREA	5085	Industrial Supplies Not Elsewhere Classi	"epoxy putty, torque multiplier"
TORONTO WATER	1339-112	02-22-2011	02-23-2011	ACKLANDS-GRAINGER INC	13.56	CAD	13.56	CAD	2570	JANITORIAL SUPPLIES	PW1017	WS EAST WORK AREA	5085	Industrial Supplies Not Elsewhere Classi	latex gloves
TORONTO WATER	1343-163	02-23-2011	02-25-2011	CDN TIRE STORE #00209	8.14	CAD	8.14	CAD	2710	GENERAL HARDWARE	PW1017	WS EAST WORK AREA	5200	Home Supply Warehouse	assorted screws
					734.88	CAD	734.88	CAD							
"PARKS, FORESTRY & RECREATION"	1308-4	02-02-2011	02-03-2011	METAL SUPERMARKETS (NO	81.36	CAD	81.36	CAD	2532	STEEL	P12081	S-GEN-SPECIALIZED MA	5051	Metal Service Centers and Offices	
"PARKS, FORESTRY & RECREATION"	1314-2	02-03-2011	02-07-2011	SOLWAY METAL SALES	253.12	CAD	253.12	CAD	2532	STEEL	P12081	S-GEN-SPECIALIZED MA	1761	"Roofing and Siding, Sheet Metal Work Con"	
"PARKS, FORESTRY & RECREATION"	1314-3	02-03-2011	02-07-2011	SOLWAY METAL SALES	106.22	CAD	106.22	CAD	2532	STEEL	P12081	S-GEN-SPECIALIZED MA	1761	"Roofing and Siding, Sheet Metal Work Con"	
"PARKS, FORESTRY & RECREATION"	1318-2	02-07-2011	02-09-2011	THE HOME DEPOT #7013	62.14	CAD	62.14	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	SDS MAX BIT
"PARKS, FORESTRY & RECREATION"	1325-3	02-09-2011	02-14-2011	GERARD DANIEL WORLD WI	208.84	CAD	208.84	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"	
"PARKS, FORESTRY & RECREATION"	1331-2	02-16-2011	02-17-2011	METAL SUPERMARKETS (NO	89.27	CAD	89.27	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	
"PARKS, FORESTRY & RECREATION"	1331-3	02-15-2011	02-17-2011	SOLWAY METAL SALES	186.45	CAD	186.45	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"	
"PARKS, FORESTRY & RECREATION"	1333-2	02-17-2011	02-18-2011	CHAUNCEY BUILDERS SUPP	892.59	CAD	892.59	CAD	3080	M & E - HAND TOOLS	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	
"PARKS, FORESTRY & RECREATION"	1341-1	02-22-2011	02-24-2011	SOLWAY METAL SALES	42.94	CAD	42.94	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"	
"PARKS, FORESTRY & RECREATION"	1341-2	02-23-2011	02-24-2011	METAL SUPERMARKETS (NO	166.11	CAD	166.11	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	
"PARKS, FORESTRY & RECREATION"	1343-2	02-24-2011	02-25-2011	LINDE CANADA - ETOBICO	57.91	CAD	57.91	CAD	3080	M & E - HAND TOOLS	P12017	SOUTH GENERAL-PKS TE	5072	Hardware Equipment and Supplies	
					"2,146.95"	CAD	"2,146.95"	CAD							
FIRE SERVICES	1316-95	02-06-2011	02-08-2011	PETROCAN	59.00	CAD	59.00	CAD	2260	GASOLINE	FR0025	MECH MAINT-VEH MAINT	5541	Service Stations (with or without Ancill	FUEL FOR VEH 20305
					59.00	CAD	59.00	CAD							
"PARKS, FORESTRY & RECREATION"	1325-8	02-10-2011	02-14-2011	WAL-MART	54.04	CAD	54.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10911	CENTENNIAL SKI CTR-P	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1325-9	02-12-2011	02-14-2011	NOFRILLS JIM'S 753	75.28	CAD	75.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10911	CENTENNIAL SKI CTR-P	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1334-8	02-17-2011	02-21-2011	ZELLERS #437	192.09	CAD	192.09	CAD	3050	M & E - KITCHEN	P10914	CENTENNIAL SKI CTR-P	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1334-9	02-18-2011	02-21-2011	SHOPPERSDRUGMART0867	6.78	CAD	6.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10915	CENTENNIAL SKI CTR-S	5912	"Drug Stores, Pharmacies"	
					328.19	CAD	328.19	CAD							
PUBLIC HEALTH	1308-30	02-01-2011	02-03-2011	ONTARIO HOSPITAL ASSO	"1,034.80"	CAD	"1,034.80"	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH4011	CD-DIR OFFICE	8699	"Organizations, Membership - Not Elsewher"	 Mar4/11 Superbug Under Microscope
					"1,034.80"	CAD	"1,034.80"	CAD							
LEGAL SERVICES	1306-110	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-111	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-112	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	4.50	CAD	4.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-113	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-114	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-115	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-116	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-117	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1306-118	02-01-2011	02-02-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1308-93	02-02-2011	02-03-2011	TERANET TORONTO ROSCO	12.00	CAD	12.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1308-94	02-02-2011	02-03-2011	TERANET TORONTO ROSCO	0.50	CAD	0.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1308-95	02-02-2011	02-03-2011	TERANET TORONTO ROSCO	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1308-96	02-02-2011	02-03-2011	TERANET TORONTO ROSCO	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1308-97	02-02-2011	02-03-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1314-174	02-04-2011	02-07-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1320-124	02-09-2011	02-10-2011	TERANET TORONTO ROSCO	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1333-119	02-17-2011	02-18-2011	TERANET TORONTO ROSCO	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1333-120	02-17-2011	02-18-2011	TERANET TORONTO ROSCO	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
LEGAL SERVICES	1344-155	02-25-2011	02-28-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services	
					105.50	CAD	105.50	CAD							
EMERGENCY MEDICAL SERVICES	1323-57	02-10-2011	02-11-2011	APPLE ONLINE STORE	90.00	CAD	90.00	CAD	2650	COMPUTER AND PRINTER SUPPLIES	B22060	PROG MANAG & ADMIN	5734	Computer Software Stores	DISPUTE - DID NOT MAKE PURCHASE CARD IS CANCELLED
EMERGENCY MEDICAL SERVICES	1334-76	02-18-2011	02-21-2011	NIXON INC	643.12	CAD	643.12	CAD	2650	COMPUTER AND PRINTER SUPPLIES	B22060	PROG MANAG & ADMIN	5691	Men's and Women's Clothing Stores	DISPUTE - DID NOT MAKE PURCHASE CARD IS CANCELLED
EMERGENCY MEDICAL SERVICES	1344-78	02-27-2011	02-28-2011	BUY HP DIRECT	"2,050.62"	CAD	"2,050.62"	CAD	2650	COMPUTER AND PRINTER SUPPLIES	B22060	PROG MANAG & ADMIN	5969	Direct Marketing - Other Direct Marketer	DISPUTE - DID NOT MAKE PURCHASE CARD IS CANCELLED
					"2,783.74"	CAD	"2,783.74"	CAD							
"PARKS, FORESTRY & RECREATION"	1304-5	01-31-2011	02-01-2011	ANARON INTERNATIONAL C	736.77	CAD	736.77	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5941	Sporting Goods Stores	
"PARKS, FORESTRY & RECREATION"	1318-4	02-08-2011	02-09-2011	VR2 DISTRIBUTION INC.	172.64	CAD	172.64	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5699	Accessory  and Apparel Stores - Miscella	
"PARKS, FORESTRY & RECREATION"	1320-3	02-09-2011	02-10-2011	VISUALIZER	211.90	CAD	211.90	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12527	RW-SH-PRS-OLYMPIUM	5044	"Office, Photographic, Photocopy, and Mic"	
"PARKS, FORESTRY & RECREATION"	1320-4	02-09-2011	02-10-2011	ANARON INTERNATIONAL C	582.87	CAD	582.87	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5941	Sporting Goods Stores	
"PARKS, FORESTRY & RECREATION"	1323-3	02-09-2011	02-11-2011	THE HILSINGER COMPANY	782.01	CAD	782.01	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5655	"Sports Apparel, Riding Apparel Stores"	
"PARKS, FORESTRY & RECREATION"	1329-5	02-15-2011	02-16-2011	SBC CLOTHING INC	709.87	CAD	709.87	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5691	Men's and Women's Clothing Stores	
"PARKS, FORESTRY & RECREATION"	1333-4	02-16-2011	02-18-2011	POSITIVE IDENTITY SPOR	406.80	CAD	406.80	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5969	Direct Marketing - Other Direct Marketer	
"PARKS, FORESTRY & RECREATION"	1339-3	02-22-2011	02-23-2011	AQUAM	733.14	CAD	733.14	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5996	Swimming Pools - Sales and Supplies	
					"4,336.00"	CAD	"4,336.00"	CAD							
"PARKS, FORESTRY & RECREATION"	1314-36	02-04-2011	02-07-2011	PUROLATOR 10519700	74.07	CAD	74.07	CAD	4815	COURIER SERVICES	P10912	NY SKI CTR-PGMS	4215	"Courier Services - Air & Ground, Freight"	
"PARKS, FORESTRY & RECREATION"	1327-16	02-14-2011	02-15-2011	HEAD CANADA INC.	41.25	CAD	41.25	CAD	4590	RENTAL - OTHER	P10913	NY SKI CTR-SKI RENTA	5941	Sporting Goods Stores	
"PARKS, FORESTRY & RECREATION"	1329-16	02-15-2011	02-16-2011	NOFRILLS PATS 1330	70.59	CAD	70.59	CAD	2570	JANITORIAL SUPPLIES	P10913	NY SKI CTR-SKI RENTA	5411	"Grocery Stores, Supermarkets"	
