Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre/WBS Element	Cost Centre/WBS Element Description	Merchant Type	Merchant type description	Purpose
"PARKS, FORESTRY & RECREATION"	1561-5	07-22-2011	07-25-2011	STAPLES STORE #214	81.60	CAD	81.60	CAD	2010	GENERAL HARDWARE	P12006	LASTMAN SQ-AIRS-PGM	5943	"Office, School Supply, and Stationery St"	"pens, tags"
					81.60	CAD	81.60	CAD							
"PARKS, FORESTRY & RECREATION"	1531-1	07-04-2011	07-05-2011	METAL SUPERMARKETS (NO	48.59	CAD	48.59	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	steel
"PARKS, FORESTRY & RECREATION"	1543-1	07-11-2011	07-12-2011	METAL SUPERMARKETS (NO	74.58	CAD	74.58	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	steel
"PARKS, FORESTRY & RECREATION"	1544-2	07-12-2011	07-13-2011	METAL SUPERMARKETS (NO	80.23	CAD	80.23	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	steel
"PARKS, FORESTRY & RECREATION"	1549-1	07-13-2011	07-15-2011	COLVILLE FASTENERS LTD	55.03	CAD	55.03	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	nylon nuts
"PARKS, FORESTRY & RECREATION"	1555-2	07-19-2011	07-20-2011	CHAUNCEY BUILDERS SUPP	56.30	CAD	56.30	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	sleeve anchors
"PARKS, FORESTRY & RECREATION"	1557-3	07-19-2011	07-21-2011	CDN TIRE STORE #00654	38.36	CAD	38.36	CAD	2715	PAINT SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	tremclad paint
"PARKS, FORESTRY & RECREATION"	1567-3	07-26-2011	07-28-2011	CENTRAL CANADA METALS	452.00	CAD	452.00	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"	steel pipes
					805.09	CAD	805.09	CAD							
"PARKS, FORESTRY & RECREATION"	1535-4	07-06-2011	07-07-2011	STAPLES STORE #2	133.97	CAD	133.97	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	P00656	CENTENNIAL PK-PGM SU	5943	"Office, School Supply, and Stationery St"	printer cartridges
"PARKS, FORESTRY & RECREATION"	1561-6	07-21-2011	07-25-2011	JACK WATSON  11269	495.88	CAD	495.88	CAD	3080	M & E - HAND TOOLS	P10960	CENTENNIAL STADIUM-O	5941	Sporting Goods Stores	water remover roller - ball diamond equip
"PARKS, FORESTRY & RECREATION"	1561-7	07-21-2011	07-25-2011	CDN TIRE STORE #00070	81.33	CAD	81.33	CAD	2499	OTHER CHEMICALS	P00608	PARKS OPERATIONS - E	5200	Home Supply Warehouse	insect spray
"PARKS, FORESTRY & RECREATION"	1565-1	07-26-2011	07-27-2011	DULUX PAINTS #142	225.05	CAD	225.05	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5231	"Glass, Paint, Wallpaper Stores"	paint for c. pitches
"PARKS, FORESTRY & RECREATION"	1567-4	07-26-2011	07-28-2011	CDN TIRE STORE #00152	131.19	CAD	131.19	CAD	2570	JANITORIAL SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	cleaning supplies
"PARKS, FORESTRY & RECREATION"	1568-2	07-27-2011	07-29-2011	THE HOME DEPOT #7114	98.06	CAD	98.06	CAD	3080	M & E - HAND TOOLS	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	3/16/1 3/4HE
					"1,165.48"	CAD	"1,165.48"	CAD							
CITY MANAGER	1568-3	07-28-2011	07-29-2011	TIM HORTONS #1769# QTH	274.03	CAD	274.03	CAD	4820	BUSINESS MEETING EXPENSES	CM0010	TOWER RENEWAL OFFICE	5814	Quick Payment Service - Fast-Food Restau	Catering-Mabelle Community Design Charette
					274.03	CAD	274.03	CAD							
"PARKS, FORESTRY & RECREATION"	1541-4	07-10-2011	07-11-2011	WATER AND ICE NORTH AM	813.60	CAD	813.60	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	pool ladder
"PARKS, FORESTRY & RECREATION"	1541-5	07-10-2011	07-11-2011	WATER AND ICE NORTH AM	661.05	CAD	661.05	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	flowmeters
"PARKS, FORESTRY & RECREATION"	1541-6	07-10-2011	07-11-2011	WATER AND ICE NORTH AM	367.25	CAD	367.25	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	pressure gauges test kits
"PARKS, FORESTRY & RECREATION"	1541-7	07-10-2011	07-11-2011	WATER AND ICE NORTH AM	149.16	CAD	149.16	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	pressure gauges stock
"PARKS, FORESTRY & RECREATION"	1543-2	07-11-2011	07-12-2011	NOAH'S	149.22	CAD	149.22	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5211	"Building Materials, Lumber Stores"	caulking gel coat
"PARKS, FORESTRY & RECREATION"	1551-2	07-17-2011	07-18-2011	WATER AND ICE NORTH AM	210.18	CAD	210.18	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	pump head stock
"PARKS, FORESTRY & RECREATION"	1551-3	07-17-2011	07-18-2011	WATER AND ICE NORTH AM	572.91	CAD	572.91	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	"pump head, skimmer"
"PARKS, FORESTRY & RECREATION"	1561-8	07-22-2011	07-25-2011	SCP DISTRIBUTORS INC.	51.36	CAD	51.36	CAD	2535	PLUMBING SUPPLIES	P07696	ANTIBES CC-OPERATION	5996	Swimming Pools - Sales and Supplies	vac hose
					"2,974.73"	CAD	"2,974.73"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1535-5	07-05-2011	07-07-2011	NELLA CUTLERY   FOOD E	27.12	CAD	27.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5722	Household Appliance Stores	Knife sharpening for kitchen programs.
ECONOMIC DEVELOPMENT & CULTURE	1549-2	07-14-2011	07-15-2011	DISTRIBUTION SIGNATURE	103.93	CAD	103.93	CAD	2990	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0117	HS-MH-RET-FORT YORK	5111	"Stationery, Office Supplies, Printing an"	bags and tissue for resale
ECONOMIC DEVELOPMENT & CULTURE	1551-4	07-15-2011	07-18-2011	METRO #720	23.60	CAD	23.60	CAD	2750	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	currants for food programming
ECONOMIC DEVELOPMENT & CULTURE	1555-3	07-18-2011	07-20-2011	CDN TIRE STORE #00273	34.76	CAD	34.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5200	Home Supply Warehouse	Preserving jars for jams to be sold in museum shop
ECONOMIC DEVELOPMENT & CULTURE	1558-2	07-21-2011	07-22-2011	METRO #720	34.95	CAD	34.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	food supplies for animation in historical kitchen
					224.36	CAD	224.36	CAD							
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1567-5	07-28-2011	07-28-2011	WEBEX  *WEBEX.COM	456.21	CAD	468.00	USD	3420	COMPUTERS - SOFTWARE	FH5105	SH HEAD OFFICE	7399	Business Services - Not Elsewhere Classi	Membership renewal for Cisco Webex
					456.21	CAD	468.00	USD							
"PARKS, FORESTRY & RECREATION"	1543-3	07-11-2011	07-12-2011	STAPLES STORE #11	24.55	CAD	24.55	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12527	RW-SH-PRS-OLYMPIUM	5943	"Office, School Supply, and Stationery St"	envelopes for pro shop
"PARKS, FORESTRY & RECREATION"	1563-1	07-25-2011	07-26-2011	BRINK'S CANADA LIMITED	44.35	CAD	44.35	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07745	OLYMPIUM-PGM SUPP	7393	"Detective Agencies, Protective Agencies,"	"coin cartridge tube, quarter"
"PARKS, FORESTRY & RECREATION"	1568-4	07-28-2011	07-29-2011	STAPLES STORE #11	38.85	CAD	38.85	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12527	RW-SH-PRS-OLYMPIUM	5943	"Office, School Supply, and Stationery St"	"shipping tage,self ink stamp-supplies for pro shop"
					107.75	CAD	107.75	CAD							
FIRE SERVICES	1565-2	07-26-2011	07-27-2011	RCSS 1077	49.66	CAD	49.66	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	FR0035	CBRNR	5411	"Grocery Stores, Supermarkets"	DECONTAMINATION SUPPLIES - WET WIPES & SOAP
					49.66	CAD	49.66	CAD							
EMERGENCY MEDICAL SERVICES	1529-2	07-01-2011	07-04-2011	SETON	"-1,065.76"	CAD	"-1,065.76"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B46700	ALS OPERATIONS	5965	Direct Marketing - Combination Catalog a	REFUND - LABELS OPS/CACC ENVELOPES
EMERGENCY MEDICAL SERVICES	1535-6	07-06-2011	07-07-2011	SHOPPERSDRUGMART0922	94.00	CAD	94.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	B45103	TORONTO INDY	5912	"Drug Stores, Pharmacies"	"JUICE, WATER - INDY"
EMERGENCY MEDICAL SERVICES	1544-3	07-11-2011	07-13-2011	THE HOME DEPOT #7078	20.33	CAD	20.33	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B43300	EQUIPMENT RETRIEVAL	5200	Home Supply Warehouse	DHANDLENOZ
EMERGENCY MEDICAL SERVICES	1544-4	07-11-2011	07-13-2011	CDN TIRE STORE #00019	26.01	CAD	26.01	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	B43300	EQUIPMENT RETRIEVAL	5200	Home Supply Warehouse	HOSE NOZZLE
EMERGENCY MEDICAL SERVICES	1547-5	07-13-2011	07-14-2011	STOKES INTERNATIONAL	186.45	CAD	186.45	CAD	2670	UNIFORMS	B15020	DIVISIONAL CHARGES	5331	Variety Stores	CROWN BULLION
EMERGENCY MEDICAL SERVICES	1561-9	07-21-2011	07-25-2011	NOBLE CUSTOM CLEANERS	131.88	CAD	131.88	CAD	4419	LAUNDRY SERVICES	B25000	MATERIALS MGT-STORES	7216	Dry Cleaners	DRY CLEANING
					-607.09	CAD	-607.09	CAD							
TRANPORTATION 	1541-8	07-08-2011	07-11-2011	ACKLANDS-GRAINGER INC	352.56	CAD	352.56	CAD	2082	HEALTH & SAFETY SUPPLIES	TP0399	SIGNS/MKGS MGMT & OH	5085	Industrial Supplies Not Elsewhere Classi	Digi-day screenboard on the job safety
TRANPORTATION 	1541-9	07-10-2011	07-11-2011	STAPLES STORE #203	130.30	CAD	130.30	CAD	2010	STATIONERY AND OFFICE SUPPLIES	TP0399	SIGNS/MKGS MGMT & OH	5943	"Office, School Supply, and Stationery St"	Brother 575 Fax machine & ribbon
TRANPORTATION 	1541-10	07-08-2011	07-11-2011	ACKLANDS-GRAINGER INC	-352.56	CAD	-352.56	CAD	2710	GENERAL HARDWARE	TP0399	SIGNS/MKGS MGMT & OH	5085	Industrial Supplies Not Elsewhere Classi	Digi-day screenboard on the job safety REFUND
TRANPORTATION 	1541-11	07-08-2011	07-11-2011	ACKLANDS-GRAINGER INC	-352.56	CAD	-352.56	CAD	2082	HEALTH & SAFETY SUPPLIES	TP0204	TRANSP SIGN SHOP	5085	Industrial Supplies Not Elsewhere Classi	Digi-day screenboard on the job safety REFUND
					-222.26	CAD	-222.26	CAD							
"PARKS, FORESTRY & RECREATION"	1547-6	07-11-2011	07-14-2011	PLANT WORLD LIMITED	522.50	CAD	522.50	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00152	C-WTRFRONT3-TURF&HOR	5261	Lawn and Garden Supply Stores	plants for ryan russel park dedication
"PARKS, FORESTRY & RECREATION"	1549-3	07-14-2011	07-15-2011	LEE VALLEY TOOLS 800-2	635.06	CAD	635.06	CAD	3080	M & E - HAND TOOLS	P00152	C-WTRFRONT3-TURF&HOR	5251	Hardware Stores	weeding tools
					"1,157.56"	CAD	"1,157.56"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1529-3	06-30-2011	07-04-2011	WESTBURY NATIONAL SHOW	"2,135.70"	CAD	"2,135.70"	CAD	4085	PROF & TECH-MGMT	AH0101	HS-MH-PUB-FORT YORK	7394	"Equipment Rental and Leasing Services, F"	audio sound system for Canada Day at Fort York
ECONOMIC DEVELOPMENT & CULTURE	1529-4	06-30-2011	07-04-2011	WAL-MART #3635	2.24	CAD	2.24	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	AH0101	HS-MH-PUB-FORT YORK	5310	Discount Stores	badge clips for Fort York Canada Day Volunteers
ECONOMIC DEVELOPMENT & CULTURE	1529-5	07-01-2011	07-04-2011	FACEBOOK.COM*3VH7322C2	49.49	CAD	50.00	USD	4414	ADVERTISING & PROMOTION	AH0101	HS-MH-PUB-FORT YORK	7311	Advertising Services	Online Advertising for Canada Day at Fort York
ECONOMIC DEVELOPMENT & CULTURE	1529-6	07-02-2011	07-04-2011	FACEBOOK.COM*TLK7322C2	49.49	CAD	50.00	USD	4414	ADVERTISING & PROMOTION	AH0101	HS-MH-PUB-FORT YORK	7311	Advertising Services	Online Advertising for Canada Day at Fort York
ECONOMIC DEVELOPMENT & CULTURE	1533-1	07-04-2011	07-06-2011	PAYPAL *MASYDASY	400.00	CAD	400.00	CAD	4102	ENTERTAINER AND BAND FEES	AH0101	HS-MH-PUB-FORT YORK	8999	Professional Services - Not Elsewhere Cl	Abnoriginal shadow puppetry performance-Canada Day
ECONOMIC DEVELOPMENT & CULTURE	1541-12	07-07-2011	07-11-2011	PAYPAL *NICKKOZAK	500.00	CAD	500.00	CAD	4082	PHOTO/VIDEO SERVICES	AH0101	HS-MH-PUB-FORT YORK	8999	Professional Services - Not Elsewhere Cl	Professional photography-Canada Day at Fort York
ECONOMIC DEVELOPMENT & CULTURE	1553-2	07-15-2011	07-19-2011	CDN TIRE STORE #00654	-36.14	CAD	-36.14	CAD	2545	PLASTICS & RUBBER SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5200	Home Supply Warehouse	Refund plastic hand washing containers
ECONOMIC DEVELOPMENT & CULTURE	1558-3	07-21-2011	07-22-2011	LONG   MCQUADE LIMITED	105.66	CAD	105.66	CAD	3020	M & E - COMMUNICATIONS	AH0101	HS-MH-PUB-FORT YORK	7399	Business Services - Not Elsewhere Classi	Art power distr.system w/AFI(for use with P/A syst
					"3,206.44"	CAD	"3,107.46"	CAD							
							100.00	USD							
LONG TERM CARE HOMES	1529-7	06-30-2011	07-04-2011	MR PRINTER	117.29	CAD	117.29	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3G011	TRU DAVIDSN A-PA-OA	7338	"Quick Copy, Reproduction, and Blueprinti"	ACTIVITY CALENDARS
LONG TERM CARE HOMES	1529-8	06-30-2011	07-04-2011	IT'S MY PARTY	70.63	CAD	70.63	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3G083	TRU DAVIDSN A-PS-PS	5947	"Card, Gift, Novelty, and Souvenir Shops"	BALLOONS FOR RESIDENT FUNCTION
LONG TERM CARE HOMES	1529-9	06-30-2011	07-04-2011	METRO #37	45.19	CAD	45.19	CAD	2741	FOOD COSTS	D3G083	TRU DAVIDSN A-PS-PS	5411	"Grocery Stores, Supermarkets"	SANDWICH TRAY FOR PRIDE PARADE OUTING
LONG TERM CARE HOMES	1541-13	07-08-2011	07-11-2011	THE SOURCE 5103	27.10	CAD	27.10	CAD	2010	STATIONERY AND OFFICE SUPPLIES	D3G011	TRU DAVIDSN A-PA-OA	5732	Electronic Sales	2 USB MEMORY STICKS
LONG TERM CARE HOMES	1541-14	07-08-2011	07-11-2011	STAPLES STORE #159	7.96	CAD	7.96	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3G083	TRU DAVIDSN A-PS-PS	5943	"Office, School Supply, and Stationery St"	REPORT COVERS FOR RESIDENT CHOIR BOOKS
LONG TERM CARE HOMES	1541-15	07-08-2011	07-11-2011	SENTIMENTAL PRODUCTS	109.36	CAD	110.00	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3G083	TRU DAVIDSN A-PS-PS	7829	Motion Picture and Video Tape Production	MUSIC DVD's FOR RESIDENTS CHOIR
LONG TERM CARE HOMES	1567-6	07-27-2011	07-28-2011	BROUGHTON'S	28.19	CAD	28.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3G083	TRU DAVIDSN A-PS-PS	5942	Book Stores	PALMS FOR PALM SUNDAY SERVICE
					405.72	CAD	296.36	CAD							
							110.00	USD							
SOLID WASTE MANAGEMENT	1541-16	07-08-2011	07-11-2011	THE HOME DEPOT #7078	19.39	CAD	19.39	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	Recip Blade
SOLID WASTE MANAGEMENT	1541-17	07-08-2011	07-11-2011	THE HOME DEPOT #7078	16.92	CAD	16.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	MONO ULTRA
SOLID WASTE MANAGEMENT	1541-18	07-08-2011	07-11-2011	THE HOME DEPOT #7078	7.54	CAD	7.54	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	DRIP FLASH
SOLID WASTE MANAGEMENT	1549-4	07-13-2011	07-15-2011	THE HOME DEPOT #7078	42.51	CAD	42.51	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	SCREWS
SOLID WASTE MANAGEMENT	1551-5	07-14-2011	07-18-2011	THE HOME DEPOT #7078	64.40	CAD	64.40	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	PAPERBEAD
SOLID WASTE MANAGEMENT	1551-6	07-14-2011	07-18-2011	THE HOME DEPOT #7078	7.54	CAD	7.54	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	DRIP FLASH
SOLID WASTE MANAGEMENT	1551-7	07-14-2011	07-18-2011	THE HOME DEPOT #7078	7.42	CAD	7.42	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	DRIP FLASH
