Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre/WBS Element	Cost Centre/WBS Element Description	Merchant Type	Merchant type description	Purpose
"PARKS, FORESTRY & RECREATION"	1393-1	03-31-2011	04-01-2011	XS CARGO SCARBOROUGH	451.94	CAD	451.94	CAD	3020	M & E - COMMUNICATIONS	P12856	RAVWTRMAINT	5331	Variety Stores	GPS
"PARKS, FORESTRY & RECREATION"	1420-4	04-18-2011	04-19-2011	PRINCESS AUTO	177.21	CAD	177.21	CAD	2110	PARTS - FURNITURE & FIXTURES	P12856	RAVWTRMAINT	5085	Industrial Supplies Not Elsewhere Classi	"rigging parts:straps,brush prts,hooks,blocks"
					629.15	CAD	629.15	CAD							
"PARKS, FORESTRY & RECREATION"	1404-1	04-06-2011	04-07-2011	IKEA NORTH YORK	210.09	CAD	210.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01050	SPCEVNT-MEL LASTMAN	5712	"Equipment, Furniture, and Home Furnishin"	 decoration lights for volunteer event
"PARKS, FORESTRY & RECREATION"	1432-2	04-27-2011	04-28-2011	IKEA NORTH YORK	122.74	CAD	122.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01050	SPCEVNT-MEL LASTMAN	5712	"Equipment, Furniture, and Home Furnishin"	"lanterns,vase,candles-volunteer event"
					332.83	CAD	332.83	CAD							
"PARKS, FORESTRY & RECREATION"	1393-2	03-30-2011	04-01-2011	SOLWAY METAL SALES	54.24	CAD	54.24	CAD	2532	STEEL	P12081	S-GEN-SPECIALIZED MA	1761	"Roofing and Siding, Sheet Metal Work Con"	HR FLAT X 20'
"PARKS, FORESTRY & RECREATION"	1393-3	03-31-2011	04-01-2011	METAL SUPERMARKETS (NO	67.80	CAD	67.80	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR FLAT .188X 4.000
"PARKS, FORESTRY & RECREATION"	1396-2	03-31-2011	04-04-2011	SOLWAY METAL SALES	-54.24	CAD	-54.24	CAD	2532	STEEL	P12081	S-GEN-SPECIALIZED MA	1761	"Roofing and Siding, Sheet Metal Work Con"	STEEL
"PARKS, FORESTRY & RECREATION"	1398-2	04-01-2011	04-05-2011	CDN TIRE STORE #00070	12.86	CAD	12.86	CAD	2715	PAINT SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	BRUSH
"PARKS, FORESTRY & RECREATION"	1400-3	04-01-2011	04-06-2011	FINCHAM AUTOMOTIVE	6.64	CAD	6.64	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5511	"Automobile and Truck Dealers - Sales, Se"	"GASKET, SILICONE"
"PARKS, FORESTRY & RECREATION"	1400-4	04-05-2011	04-06-2011	WOLSELEY MECHANICAL	19.30	CAD	19.30	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12017	SOUTH GENERAL-PKS TE	1711	"Air Conditioning, Heating, and Plumbing"	AIR PIPES
"PARKS, FORESTRY & RECREATION"	1406-2	04-04-2011	04-08-2011	WILCOX BODIES LTD	85.88	CAD	85.88	CAD	2730	LOCKS	P12017	SOUTH GENERAL-PKS TE	7538	Automotive Service Shops	SLAM STYLE LOCK
"PARKS, FORESTRY & RECREATION"	1413-1	04-13-2011	04-14-2011	METAL SUPERMARKETS (NO	440.70	CAD	440.70	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STEEL
"PARKS, FORESTRY & RECREATION"	1432-3	04-27-2011	04-28-2011	PRINCESS AUTO	75.20	CAD	75.20	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	SANDING DISC BACKING PADS
					708.38	CAD	708.38	CAD							
"PARKS, FORESTRY & RECREATION"	1406-3	04-07-2011	04-08-2011	ICI PAINTS 142	263.02	CAD	263.02	CAD	2715	PAINT SUPPLIES	P10960	CENTENNIAL STADIUM-O	5231	"Glass, Paint, Wallpaper Stores"	paint for stadium
"PARKS, FORESTRY & RECREATION"	1408-5	04-08-2011	04-11-2011	TECH STAND   SAFETY AU	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	P10910	CENTENNIAL SKI CTR-O	7399	Business Services - Not Elsewhere Classi	elevating devices certificate renewal
"PARKS, FORESTRY & RECREATION"	1410-2	04-11-2011	04-12-2011	TORBRAM ELECTRIC SUPPL	15.03	CAD	15.03	CAD	2575	ELECTRICAL SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5065	Electrical Parts and Equipment	straps for pumphouse
"PARKS, FORESTRY & RECREATION"	1423-2	04-19-2011	04-20-2011	TORBRAM ELECTRIC SUPPL	458.89	CAD	458.89	CAD	2575	ELECTRICAL SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5065	Electrical Parts and Equipment	switch for ski lift
"PARKS, FORESTRY & RECREATION"	1435-1	04-28-2011	04-29-2011	ICI PAINTS 142	334.12	CAD	334.12	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5231	"Glass, Paint, Wallpaper Stores"	paint for stadium
					"1,146.06"	CAD	"1,146.06"	CAD							
"PARKS, FORESTRY & RECREATION"	1423-3	04-19-2011	04-20-2011	BELCO SAFETY PRODUCTS	200.00	CAD	200.00	CAD	2665	PROTECTIVE CLOTHING	P00069	S-EAST-PRUNING/REMOV	8043	"Opticians, Eyeglasses"	safety glasses-item not on City' existing contract
					200.00	CAD	200.00	CAD							
EMERGENCY MEDICAL SERVICES	1432-4	04-26-2011	04-28-2011	"TPA/GREEN ""P""      QPL"	16.25	CAD	16.25	CAD	4770	PARKING EXPENSES (INTOWN)	B46700	ALS OPERATIONS	7523	Automobile Parking Lots and Garages	PARKING - CITY HALL
					16.25	CAD	16.25	CAD							
"PARKS, FORESTRY & RECREATION"	1396-3	03-31-2011	04-04-2011	TORONTO BEARINGS AND B	45.56	CAD	45.56	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P03034	JOHN BOOTH-OPS	5046	Commercial Equipment Not Elsewhere Class	parts:v-belts
"PARKS, FORESTRY & RECREATION"	1406-4	04-06-2011	04-08-2011	THE HOME DEPOT #7129	15.51	CAD	15.51	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	REDUC ADAPT
"PARKS, FORESTRY & RECREATION"	1406-5	04-07-2011	04-08-2011	RTA ELECTRIC MOTOR COR	305.10	CAD	305.10	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P00859	ALNESS YD-YD OPERN	7538	Automotive Service Shops	motor repair to pool pump
"PARKS, FORESTRY & RECREATION"	1413-2	04-12-2011	04-14-2011	THE HOME DEPOT #7002	42.77	CAD	42.77	CAD	3080	M & E - HAND TOOLS	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	HEAT GUN
"PARKS, FORESTRY & RECREATION"	1413-3	04-11-2011	04-14-2011	SUPERIOR POOL SPA   LE	98.28	CAD	98.28	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	pool filter lateral assembly
"PARKS, FORESTRY & RECREATION"	1435-2	04-28-2011	04-29-2011	CENTENNIAL PLUMBING SU	63.82	CAD	63.82	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	1711	"Air Conditioning, Heating, and Plumbing"	plumbing pvc nipples
					571.04	CAD	571.04	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1396-4	04-01-2011	04-04-2011	METRO #720         QPS	19.74	CAD	19.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	Milk for overnight programme
ECONOMIC DEVELOPMENT & CULTURE	1404-2	04-06-2011	04-07-2011	PRICE CHOPPER #7869QPS	5.38	CAD	5.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	Sugar for education programmes
ECONOMIC DEVELOPMENT & CULTURE	1406-6	04-07-2011	04-08-2011	NELLA CUTLERY   FOOD E	13.56	CAD	13.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDU-FORT YORK	5722	Household Appliance Stores	Sharpened knives for education programme
ECONOMIC DEVELOPMENT & CULTURE	1408-6	04-08-2011	04-11-2011	NELLA CUTLERY(TORONTO)	"2,034.00"	CAD	"2,034.00"	CAD	3050	M & E - KITCHEN	AH0101	HS-MH-PUB-FORT YORK	5949	"Fabric, Needlework, Piece Goods, and Sew"	Replacement for reach in freezer
ECONOMIC DEVELOPMENT & CULTURE	1412-2	04-11-2011	04-13-2011	IMPERIAL COFFEE AND SE	153.29	CAD	153.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5111	"Stationery, Office Supplies, Printing an"	Coffee and cream for overnight programme
					"2,225.97"	CAD	"2,225.97"	CAD							
ACCOUNTING SERVICES	1393-4	03-30-2011	04-01-2011	MUNICIPAL FINANCE OFFI	593.25	CAD	593.25	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FS0034	FIN RPTG-GL&FINCL RP	8299	Educational Services	MFOA Seminar registration 
ACCOUNTING SERVICES	1393-5	03-30-2011	04-01-2011	MUNICIPAL FINANCE OFFI	593.25	CAD	593.25	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FS0034	FIN RPTG-GL&FINCL RP	8299	Educational Services	MFOA Seminar registration 
					"1,186.50"	CAD	"1,186.50"	CAD							
"PARKS, FORESTRY & RECREATION"	1410-3	04-08-2011	04-12-2011	RMP ATHLETIC - WHOLESA	854.85	CAD	854.85	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5655	"Sports Apparel, Riding Apparel Stores"	SPORTSWEAR
"PARKS, FORESTRY & RECREATION"	1410-4	04-11-2011	04-12-2011	ATRIPCO DELIVERY SERVI	21.87	CAD	21.87	CAD	4815	COURIER SERVICES	P12527	RW-SH-PRS-OLYMPIUM	4215	"Courier Services - Air & Ground, Freight"	COURIER SERVICE (RESALE)
"PARKS, FORESTRY & RECREATION"	1417-1	04-14-2011	04-15-2011	STAPLES STORE #11	43.38	CAD	43.38	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12527	RW-SH-PRS-OLYMPIUM	5943	"Office, School Supply, and Stationery St"	OFFICE SUPPLIES
"PARKS, FORESTRY & RECREATION"	1420-5	04-14-2011	04-19-2011	ATLAS BUSINESS MACHINE	55.37	CAD	55.37	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12527	RW-SH-PRS-OLYMPIUM	7399	Business Services - Not Elsewhere Classi	PAPER
"PARKS, FORESTRY & RECREATION"	1423-4	04-18-2011	04-20-2011	RMP ATHLETIC - WHOLESA	618.46	CAD	618.46	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5655	"Sports Apparel, Riding Apparel Stores"	SPORTSWEAR
"PARKS, FORESTRY & RECREATION"	1423-5	04-19-2011	04-20-2011	BIG STAR SANDY SHOES I	395.62	CAD	395.62	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5661	Shoe Stores	GYMNASTIC SLIPPERS
"PARKS, FORESTRY & RECREATION"	1432-5	04-26-2011	04-28-2011	THE HILSINGER COMPANY	317.03	CAD	317.03	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5655	"Sports Apparel, Riding Apparel Stores"	SWIMWEAR
					"2,306.58"	CAD	"2,306.58"	CAD							
"PARKS, FORESTRY & RECREATION"	1420-6	04-15-2011	04-19-2011	DESERRES	94.58	CAD	94.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12154	STAN WADLOW-MULTI-P	5970	"Artist Supply Stores, Craft Shops"	MODELLING CLAY
					94.58	CAD	94.58	CAD							
FIRE SERVICES	1420-7	04-15-2011	04-19-2011	LEVITT SAFETY LIMITED	507.26	CAD	507.26	CAD	2590	EMERGENCY SERVICES SUPPLIES	FR0035	CBRNR	7394	"Equipment Rental and Leasing Services, F"	MSA ADAPTERS/ACCESSORIES
FIRE SERVICES	1435-3	04-27-2011	04-29-2011	CDN TIRE STORE #00654	16.90	CAD	16.90	CAD	2590	EMERGENCY SERVICES SUPPLIES	FR0035	CBRNR	5200	Home Supply Warehouse	TRAINING SUPPLIES - ISOPROPYNOL
FIRE SERVICES	1435-4	04-27-2011	04-29-2011	SHOPPER'SDRUGMART#1255	30.35	CAD	30.35	CAD	2590	EMERGENCY SERVICES SUPPLIES	FR0035	CBRNR	5912	"Drug Stores, Pharmacies"	TRAINING SUPPLIES - ACETONE
					554.51	CAD	554.51	CAD							
EMERGENCY MEDICAL SERVICES	1393-6	03-31-2011	04-01-2011	GRANT EMBLEMS	232.89	CAD	232.89	CAD	2670	UNIFORMS	B46700	ALS OPERATIONS	1799	"Contractors, Special Trade - Not Elsewhe"	UNIFORM CRESTING
EMERGENCY MEDICAL SERVICES	1400-5	04-05-2011	04-06-2011	WIRELESS COMMUNICAION	28.19	CAD	28.19	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	B25000	MATERIALS MGT-STORES	5732	Electronic Sales	SANYO PLASTIC SWIVEL HOLSTER
EMERGENCY MEDICAL SERVICES	1417-2	04-14-2011	04-15-2011	STAPLES STORE #26	813.20	CAD	813.20	CAD	2010	OTHER OFFICE MATERIAL &MINOR FURNISHING	B25000	MATERIALS MGT-STORES	5943	"Office, School Supply, and Stationery St"	"BROTHER LABEL, OFFICE SUPPLIES"
EMERGENCY MEDICAL SERVICES	1417-3	04-14-2011	04-15-2011	FERNO CANADA INC	"1,428.84"	CAD	"1,428.84"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B43300	EQUIPMENT RETRIEVAL	8099	"Health Practitioners, Medical Services -"	"BALL BEARING, DRILLED SHANK"
EMERGENCY MEDICAL SERVICES	1424-1	04-19-2011	04-21-2011	CDN TIRE STORE #00119	167.18	CAD	167.18	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B43300	EQUIPMENT RETRIEVAL	5200	Home Supply Warehouse	"ROLLER, BOOSTER PA"
EMERGENCY MEDICAL SERVICES	1431-2	04-26-2011	04-27-2011	SETON	"1,065.76"	CAD	"1,065.76"	CAD	2999	GST MUSH REBATE RECEIVABLE-AUTOMATIC POS	B46700	ALS OPERATIONS	5965	Direct Marketing - Combination Catalog a	LABELS
EMERGENCY MEDICAL SERVICES	1431-3	04-26-2011	04-27-2011	FERNO CANADA INC	300.89	CAD	300.89	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B25000	MATERIALS MGT-STORES	8099	"Health Practitioners, Medical Services -"	BALL BEARING
EMERGENCY MEDICAL SERVICES	1431-4	04-26-2011	04-27-2011	FERNO CANADA INC	300.00	CAD	300.00	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B25000	MATERIALS MGT-STORES	8099	"Health Practitioners, Medical Services -"	BALL BEARING
EMERGENCY MEDICAL SERVICES	1432-6	04-27-2011	04-28-2011	STAPLES STORE #228	175.27	CAD	175.27	CAD	2010	STATIONERY AND OFFICE SUPPLIES	B25000	MATERIALS MGT-STORES	5943	"Office, School Supply, and Stationery St"	"MARKER, FILE, TABS"
EMERGENCY MEDICAL SERVICES	1432-7	04-27-2011	04-28-2011	JOE DROUIN ENTREPRISES	322.44	CAD	322.44	CAD	2670	GST MUSH REBATE RECEIVABLE-AUTOMATIC POS	B46700	ALS OPERATIONS	5699	Accessory  and Apparel Stores - Miscella	"EMS BARS, UNDRESS RIBBONS"
EMERGENCY MEDICAL SERVICES	1435-5	04-28-2011	04-29-2011	STAPLES STORE #228	-25.98	CAD	-25.98	CAD	2010	STATIONERY AND OFFICE SUPPLIES	B25000	MATERIALS MGT-STORES	5943	"Office, School Supply, and Stationery St"	CREDIT
					"4,808.68"	CAD	"4,808.68"	CAD							
TRANPORTATION 	1419-3	04-15-2011	04-18-2011	BELL EXPRESSVU	77.80	CAD	77.80	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0399	SIGNS/MKGS MGMT & OH	4899	Cable and Other Pay Television Services	Bell Expressvu TV service for stby command ctr
					77.80	CAD	77.80	CAD							
"PARKS, FORESTRY & RECREATION"	1425-2	04-21-2011	04-25-2011	FEDEX OFFICE CANADA	60.70	CAD	60.70	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	P12844	PS - PARKS RENASCENC	7338	"Quick Copy, Reproduction, and Blueprinti"	COLOUR COPIES
"PARKS, FORESTRY & RECREATION"	1429-3	04-15-2011	04-26-2011	WASTE CONTAINER SERVIC	403.61	CAD	403.61	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	P00152	C-WTRFRONT3-TURF&HOR	7394	"Equipment Rental and Leasing Services, F"	REMOVAL OF CITY COMPOST
"PARKS, FORESTRY & RECREATION"	1429-4	04-25-2011	04-26-2011	LOWES #02633*	33.88	CAD	33.88	CAD	2575	ELECTRICAL SUPPLIES	P00152	C-WTRFRONT3-TURF&HOR	5200	Home Supply Warehouse	SOCKET SENSE SURGE PROTECTOR 6FT
					498.19	CAD	498.19	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1424-2	04-20-2011	04-21-2011	TORONTO PARKING AUTHOR	3.75	CAD	3.75	CAD	4770	PARKING EXPENSES (INTOWN)	AH0091	HS-MH-PRS-FORT YORK	7523	Automobile Parking Lots and Garages	Fort York Summer Camps meeting  Harborfront Centre
ECONOMIC DEVELOPMENT & CULTURE	1431-5	04-26-2011	04-27-2011	METRO #720	50.43	CAD	50.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	refreshments/FortYork Citizenship Ceremony Apr.27
ECONOMIC DEVELOPMENT & CULTURE	1432-8	04-27-2011	04-28-2011	METRO #720	-17.93	CAD	-17.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	refund refreshments for Citizenship Ceremony Apr27
					36.25	CAD	36.25	CAD							
PUBLIC HEALTH	1432-9	04-21-2011	04-28-2011	SUDBURY   DISTRICT HEA	200.00	CAD	200.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3614	SCHOOL AGED CHILDREN	8734	Testing Laboratories (Non-Medical)	"TDSB Futures Conference - May 2, 2011"
PUBLIC HEALTH	1432-10	04-21-2011	04-28-2011	SUDBURY   DISTRICT HEA	200.00	CAD	200.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3614	SCHOOL AGED CHILDREN	8734	Testing Laboratories (Non-Medical)	Health Schools - Sudbury Health Unit
					400.00	CAD	400.00	CAD							
LONG TERM CARE HOMES	1393-7	03-30-2011	04-01-2011	DIGNITY TRANSPORTATION	237.16	CAD	237.16	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3G083	TRU DAVIDSN A-PS-PS	4789	Transportation Services-Not Elsewhere Cl	RESIDENT BUS OUTING
LONG TERM CARE HOMES	1396-5	04-01-2011	04-04-2011	NOFRILLS TOMS 775  QPS	13.05	CAD	13.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3G083	TRU DAVIDSN A-PS-PS	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR FAMILY SUPPORT
LONG TERM CARE HOMES	1396-6	04-01-2011	04-04-2011	MR PRINTER	127.78	CAD	127.78	CAD	2010	STATIONERY AND OFFICE SUPPLIES	D3G011	TRU DAVIDSN A-PA-OA	7338	"Quick Copy, Reproduction, and Blueprinti"	ACTIVITY CALENDARS
LONG TERM CARE HOMES	1410-5	04-10-2011	04-12-2011	CDN TIRE STORE #00273	96.82	CAD	96.82	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3G011	TRU DAVIDSN A-PA-OA	5200	Home Supply Warehouse	DOOR STOP AND RADIO CD FOR ACTIVITY
LONG TERM CARE HOMES	1431-6	04-26-2011	04-27-2011	ELECTRO LAB LTD	"1,351.37"	CAD	"1,351.37"	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	D3G083	TRU DAVIDSN A-PS-PS	5045	"Computers, Computer Peripheral Equipment"	NURSING RESOURCES
