Division 	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	Cost Centre / WBS Element 	Cost Centre/WBS Element Description 	G/L Account	G/L Account Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	1484-1	2011-05-31	2011-06-02	SPORTS EQUIPMENT OF TO	57.49	CAD	57.49	CAD	P05845	BARBARA FRUM-ARTS-VI	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5941	Sporting Goods Stores	tennis balls for prgm
"PARKS, FORESTRY & RECREATION"	1492-1	2011-06-06	2011-06-07	NOFRILLS VITO'S #3936	57.28	CAD	57.28	CAD	P05845	BARBARA FRUM-ARTS-VI	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	Cooking prog. supplies
"PARKS, FORESTRY & RECREATION"	1515-1	2011-06-20	2011-06-22	CDN TIRE STORE #00087	22.59	CAD	22.59	CAD	P05845	BARBARA FRUM-ARTS-VI	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5200	Home Supply Warehouse	Pool - Summer kinder camp
"PARKS, FORESTRY & RECREATION"	1515-2	2011-06-20	2011-06-22	CDN TIRE STORE #00280	22.59	CAD	22.59	CAD	P05845	BARBARA FRUM-ARTS-VI	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5200	Home Supply Warehouse	Pool - Summer kinder camp
"PARKS, FORESTRY & RECREATION"	1516-2	2011-06-22	2011-06-23	NOFRILLS VITO'S #3936	29.22	CAD	29.22	CAD	P05845	BARBARA FRUM-ARTS-VI	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	Food/refreshments - Camp info night
"PARKS, FORESTRY & RECREATION"	1524-1	2011-06-28	2011-06-29	ADMITEC	208.95	CAD	208.95	CAD	P05845	BARBARA FRUM-ARTS-VI	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	8999	Professional Services - Not Elsewhere Cl	wrist bands for summer camp ID
					398.12	CAD	398.12	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1482-1	2011-05-31	2011-06-01	NOFRILLS ROB S  1397	24.08	CAD	24.08	CAD	AH0103	HS-MH-PUB-COLBORNE L	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	3crown tea & Lemons
ECONOMIC DEVELOPMENT & CULTURE	1497-1	2011-06-08	2011-06-09	NOFRILLS ROB S  1397	13.19	CAD	13.19	CAD	AH0103	HS-MH-PUB-COLBORNE L	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	kitchen supplies for reception
ECONOMIC DEVELOPMENT & CULTURE	1501-1	2011-06-12	2011-06-13	GOODWILL BLOOR #0375	9.09	CAD	9.09	CAD	AH0103	HS-MH-PUB-COLBORNE L	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5931	"Second Hand Stores, Used Merchandise Sto"	Tray for programming
ECONOMIC DEVELOPMENT & CULTURE	1509-1	2011-06-16	2011-06-17	NOFRILLS ROB S  1397	41.50	CAD	41.50	CAD	AH0103	HS-MH-PUB-COLBORNE L	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	food for summer camp
ECONOMIC DEVELOPMENT & CULTURE	1509-2	2011-06-16	2011-06-17	SHOPPER'S DRUG MART #1	13.16	CAD	13.16	CAD	AH0103	HS-MH-PUB-COLBORNE L	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5912	"Drug Stores, Pharmacies"	Butter for kitchen programme
ECONOMIC DEVELOPMENT & CULTURE	1509-3	2011-06-16	2011-06-17	SHOPPER'S DRUG MART #1	13.16	CAD	13.16	CAD	AH0103	HS-MH-PUB-COLBORNE L	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5912	"Drug Stores, Pharmacies"	Butter for kitchen programme
ECONOMIC DEVELOPMENT & CULTURE	1516-3	2011-06-22	2011-06-23	NOFRILLS NICHOLSONS	43.71	CAD	43.71	CAD	AH0103	HS-MH-PUB-COLBORNE L	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	food for summer camp-fruitopia frz
ECONOMIC DEVELOPMENT & CULTURE	1519-1	2011-06-23	2011-06-24	NOFRILLS ROB S  1397	34.40	CAD	34.40	CAD	AH0103	HS-MH-PUB-COLBORNE L	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	food for summer camp-fruitopia frz
ECONOMIC DEVELOPMENT & CULTURE	1527-2	2011-06-29	2011-06-30	NOFRILLS ROB S  1397	30.86	CAD	30.86	CAD	AH0103	HS-MH-PUB-COLBORNE L	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	"food for summer camp-rice cake, carrots, apple"
					223.15	CAD	223.15	CAD							
"PARKS, FORESTRY & RECREATION"	1499-2	2011-06-08	2011-06-10	CDN TIRE STORE #00273	88.11	CAD	88.11	CAD	P06753	MAIN SQ CC-PGM SUPP	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5200	Home Supply Warehouse	oscilating fans for the centre
"PARKS, FORESTRY & RECREATION"	1515-3	2011-06-21	2011-06-22	J   J CRAFTS	611.45	CAD	611.45	CAD	P12113	MAIN SQ CC-SUMMER CA	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5970	"Artist Supply Stores, Craft Shops"	craft supplies for all camps
"PARKS, FORESTRY & RECREATION"	1524-2	2011-06-27	2011-06-29	LOUISE KOOL   GAULT	50.84	CAD	50.84	CAD	P12113	MAIN SQ CC-SUMMER CA	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5945	"Game, Toy, and Hobby Shops"	balls for camp
					750.40	CAD	750.40	CAD							
CITY CLERK'S OFFICE	1482-2	2011-05-31	2011-06-01	INSTITUTE OF PUBLIC	155.00	CAD	155.00	CAD	GV0009	POLICY & COMPLIANCE	4760	MEMBERSHIP FEES	8398	"Organizations, Charitable and Social Ser"	April 1/11-March 31/12 membership
					155.00	CAD	155.00	CAD							
"PARKS, FORESTRY & RECREATION"	1482-3	2011-05-31	2011-06-01	BASS PRO SHOPS OUTDOOR	39.54	CAD	39.54	CAD	P12856	RAVWTRMAINT	2710	GENERAL HARDWARE	5941	Sporting Goods Stores	GRAPNEL ANCHOR KIT
"PARKS, FORESTRY & RECREATION"	1492-2	2011-06-03	2011-06-07	WEST MARINE 3903	24.85	CAD	24.85	CAD	P12856	RAVWTRMAINT	3080	M & E - HAND TOOLS	4468	"Marinas, Marine Service/Supplies"	Anchor-grapnel
"PARKS, FORESTRY & RECREATION"	1499-3	2011-06-09	2011-06-10	CANADIAN MAINTENANCE	209.50	CAD	209.50	CAD	P12856	RAVWTRMAINT	2665	PROTECTIVE CLOTHING	7349	"Cleaning and Maintenance, Janitorial Ser"	safety supplies
"PARKS, FORESTRY & RECREATION"	1511-4	2011-06-16	2011-06-20	WAL-MART # 3105	67.80	CAD	67.80	CAD	P12856	RAVWTRMAINT	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5310	Discount Stores	Insect repellent
					341.69	CAD	341.69	CAD							
"PARKS, FORESTRY & RECREATION"	1485-1	2011-06-02	2011-06-03	METAL SUPERMARKETS (ET	21.47	CAD	21.47	CAD	P12017	SOUTH GENERAL-PKS TE	2532	STEEL	5051	Metal Service Centers and Offices	hr plate .250
"PARKS, FORESTRY & RECREATION"	1488-2	2011-06-03	2011-06-06	CENTRAL CANADA METALS	433.92	CAD	433.92	CAD	P12017	SOUTH GENERAL-PKS TE	2532	STEEL	1761	"Roofing and Siding, Sheet Metal Work Con"	hs rnd tube
"PARKS, FORESTRY & RECREATION"	1492-3	2011-06-03	2011-06-07	RONA NOBLE TRADE 52010	101.78	CAD	101.78	CAD	P12017	SOUTH GENERAL-PKS TE	2532	STEEL	5251	Hardware Stores	"3""std weld cap"
"PARKS, FORESTRY & RECREATION"	1492-4	2011-06-06	2011-06-07	METAL SUPERMARKETS (ET	26.39	CAD	26.39	CAD	P12017	SOUTH GENERAL-PKS TE	2532	STEEL	5051	Metal Service Centers and Offices	cr flat 1018
"PARKS, FORESTRY & RECREATION"	1492-5	2011-06-06	2011-06-07	METAL SUPERMARKETS (ET	171.49	CAD	171.49	CAD	P12017	SOUTH GENERAL-PKS TE	2535	PLUMBING SUPPLIES	5051	Metal Service Centers and Offices	cr round 1018 .625 dia
"PARKS, FORESTRY & RECREATION"	1497-2	2011-06-08	2011-06-09	METAL SUPERMARKETS (ET	42.66	CAD	42.66	CAD	P12017	SOUTH GENERAL-PKS TE	2532	STEEL	5051	Metal Service Centers and Offices	hr flat .250x4.0
					797.71	CAD	797.71	CAD							
"PARKS, FORESTRY & RECREATION"	1519-2	2011-06-23	2011-06-24	LEE VALLEY TOOLS 800-2	692.24	CAD	692.24	CAD	P00656	CENTENNIAL PK-PGM SU	3080	M & E - HAND TOOLS	5251	Hardware Stores	horticulture tools
"PARKS, FORESTRY & RECREATION"	1523-1	2011-06-24	2011-06-28	VANDEN BUSSCHE IRRIGAT	917.74	CAD	917.74	CAD	P00656	CENTENNIAL PK-PGM SU	2535	PLUMBING SUPPLIES	5712	"Equipment, Furniture, and Home Furnishin"	irrigation parts
"PARKS, FORESTRY & RECREATION"	1523-2	2011-06-27	2011-06-28	TORBRAM ELECTRIC SUPPL	6.07	CAD	6.07	CAD	P10960	CENTENNIAL STADIUM-O	2575	ELECTRICAL SUPPLIES	5065	Electrical Parts and Equipment	electrical switch
"PARKS, FORESTRY & RECREATION"	1527-3	2011-06-28	2011-06-30	THE HOME DEPOT #7011	203.33	CAD	203.33	CAD	P00656	CENTENNIAL PK-PGM SU	2535	PLUMBING SUPPLIES	5200	Home Supply Warehouse	BR MANIF
					"1,819.38"	CAD	"1,819.38"	CAD							
"PARKS, FORESTRY & RECREATION"	1485-2	2011-06-02	2011-06-03	DOWNTOWN TOWING   STOR	56.50	CAD	56.50	CAD	P00069	S-EAST-PRUNING/REMOV	4416	"TRANSFER, HAULAGE AND STORAGE"	7549	Towing Services	EMERGENCY TOW
					56.50	CAD	56.50	CAD							
"PARKS, FORESTRY & RECREATION"	1501-2	2011-06-12	2011-06-13	WATER AND ICE NORTH AM	813.60	CAD	813.60	CAD	P00859	ALNESS YD-YD OPERN	3040	M & E - RECREATIONAL & EDUCATIONAL	5996	Swimming Pools - Sales and Supplies	pool ladder
"PARKS, FORESTRY & RECREATION"	1509-4	2011-06-15	2011-06-17	SP S COMM SWIMMING POO	709.64	CAD	709.64	CAD	P07726	N TORONTO-OPERATIONS	4699	REPAIRS AND MAINTENANCE - OTHER	5996	Swimming Pools - Sales and Supplies	controller repairs
"PARKS, FORESTRY & RECREATION"	1509-5	2011-06-16	2011-06-17	NOAH'S	99.53	CAD	99.53	CAD	P00859	ALNESS YD-YD OPERN	2710	GENERAL HARDWARE	5211	"Building Materials, Lumber Stores"	caulking
"PARKS, FORESTRY & RECREATION"	1524-3	2011-06-24	2011-06-29	RONA NOBLE TRADE 52010	39.87	CAD	39.87	CAD	P00859	ALNESS YD-YD OPERN	2710	GENERAL HARDWARE	5251	Hardware Stores	"rambit, test plug"
"PARKS, FORESTRY & RECREATION"	1524-4	2011-06-27	2011-06-29	SP S COMM SWIMMING POO	716.99	CAD	716.99	CAD	P00859	ALNESS YD-YD OPERN	2710	GENERAL HARDWARE	5996	Swimming Pools - Sales and Supplies	probes
"PARKS, FORESTRY & RECREATION"	1527-4	2011-06-28	2011-06-30	RONA NOBLE TRADE 52010	356.37	CAD	356.37	CAD	P00859	ALNESS YD-YD OPERN	2710	GENERAL HARDWARE	5251	Hardware Stores	"wing nut, ball oatey"
"PARKS, FORESTRY & RECREATION"	1527-5	2011-06-29	2011-06-30	WATER AND ICE NORTH AM	894.96	CAD	894.96	CAD	P00859	ALNESS YD-YD OPERN	3040	M & E - RECREATIONAL & EDUCATIONAL	5996	Swimming Pools - Sales and Supplies	"pool: telescopic pole, basket"
					"3,630.96"	CAD	"3,630.96"	CAD							
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1492-6	2011-06-06	2011-06-07	LYNDA.COM	25.04	CAD	25.00	USD	FH5601	PARTNERSHIP DEV	2020	BOOK & MAGAZINE SUBSCRIPTIONS	4816	Computer Network/Information Services	Online tutorial subscription for unit staff.
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1499-4	2011-06-09	2011-06-10	LYNDA.COM	225.86	CAD	225.00	USD	FH5601	PARTNERSHIP DEV	2020	BOOK & MAGAZINE SUBSCRIPTIONS	4816	Computer Network/Information Services	Online tutorial subscription for unit staff.
					250.90	CAD	250.00	USD							
ECONOMIC DEVELOPMENT & CULTURE	1485-3	2011-06-02	2011-06-03	NELLA CUTLERY   FOOD E	13.56	CAD	13.56	CAD	AH0101	HS-MH-PUB-FORT YORK	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5722	Household Appliance Stores	knife sharpening for kitchen programmes
ECONOMIC DEVELOPMENT & CULTURE	1505-1	2011-06-14	2011-06-15	METRO #720	24.84	CAD	24.84	CAD	AH0101	HS-MH-PUB-FORT YORK	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	food for public program
ECONOMIC DEVELOPMENT & CULTURE	1509-6	2011-06-15	2011-06-17	IMPERIAL COFFEE AND SE	265.47	CAD	265.47	CAD	AH0101	HS-MH-PUB-FORT YORK	2750	RECREATIONAL & EDUCATIONAL SUPPLIES	5111	"Stationery, Office Supplies, Printing an"	Coffee for public programmes
ECONOMIC DEVELOPMENT & CULTURE	1509-7	2011-06-15	2011-06-17	IMPERIAL COFFEE AND SE	160.00	CAD	160.00	CAD	AH0117	HS-MH-RET-FORT YORK	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	5111	"Stationery, Office Supplies, Printing an"	Coffee for resale in Museum Store
ECONOMIC DEVELOPMENT & CULTURE	1515-4	2011-06-21	2011-06-22	METRO #720	73.84	CAD	73.84	CAD	AH0101	HS-MH-PUB-FORT YORK	2750	FOOD & NON-ALCOHOLIC BEVERAGES	5411	"Grocery Stores, Supermarkets"	food for aboriginal day
ECONOMIC DEVELOPMENT & CULTURE	1519-3	2011-06-23	2011-06-24	METRO #720	74.68	CAD	74.68	CAD	AH0101	HS-MH-PUB-FORT YORK	2750	RECREATIONAL & EDUCATIONAL SUPPLIES	5411	"Grocery Stores, Supermarkets"	food for Canada Day/Garlic Festival recipe testing
ECONOMIC DEVELOPMENT & CULTURE	1524-5	2011-06-27	2011-06-29	CDN TIRE STORE #00273	19.39	CAD	19.39	CAD	AH0101	HS-MH-PUB-FORT YORK	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5200	Home Supply Warehouse	lids for preserving for programming
					631.78	CAD	631.78	CAD							
ACCOUNTING SERVICES	1484-2	2011-06-01	2011-06-02	CGA OF ONTARIO	875.75	CAD	875.75	CAD	FS0034	FIN RPTG-GL&FINCL RP	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	CGA Membership fees 
ACCOUNTING SERVICES	1484-3	2011-06-01	2011-06-02	CGA OF ONTARIO	875.75	CAD	875.75	CAD	FS0034	FIN RPTG-GL&FINCL RP	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	CGA Membership fees 
ACCOUNTING SERVICES	1484-4	2011-06-01	2011-06-02	CGA OF ONTARIO	875.75	CAD	875.75	CAD	FS0034	FIN RPTG-GL&FINCL RP	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	(CGA membership fee 
ACCOUNTING SERVICES	1484-5	2011-06-01	2011-06-02	CGA OF ONTARIO	875.75	CAD	875.75	CAD	FS0034	FIN RPTG-GL&FINCL RP	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	CGA Membership fees 
ACCOUNTING SERVICES	1484-6	2011-06-01	2011-06-02	CMA ONTARIO	961.63	CAD	961.63	CAD	FS0036	FIN RPTG-TX COMPLIAN	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	CMA Membership renewal fee
ACCOUNTING SERVICES	1485-4	2011-06-02	2011-06-03	CGA OF ONTARIO	"1,333.40"	CAD	"1,333.40"	CAD	FS0034	FIN RPTG-GL&FINCL RP	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	CGA Course fee for 
ACCOUNTING SERVICES	1485-5	2011-06-02	2011-06-03	CGA OF ONTARIO	875.75	CAD	875.75	CAD	FS0034	FIN RPTG-GL&FINCL RP	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	CGA Membership fees 
ACCOUNTING SERVICES	1492-7	2011-06-06	2011-06-07	CMA ONTARIO	961.63	CAD	961.63	CAD	FS0036	FIN RPTG-TX COMPLIAN	4760	MEMBERSHIP FEES	8699	"Organizations, Membership - Not Elsewher"	MA Membership renewal fee 
					"7,635.41"	CAD	"7,635.41"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1485-6	2011-06-01	2011-06-03	ARTIK	555.79	CAD	555.79	CAD	AH0096	HS-MH-PUB-GIBSON HOU	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	5699	Accessory  and Apparel Stores - Miscella	staff/volunteer camp T shirts for 2011-13
					555.79	CAD	555.79	CAD							
FIRE SERVICES	1484-7	2011-05-31	2011-06-02	ESSO	36.52	CAD	36.52	CAD	FR0025	MECH MAINT-VEH MAINT	2260	GASOLINE	5542	"Fuel Dispenser, Automated"	FUEL FOR PROVINCIAL CBRNE EXERCISE
					36.52	CAD	36.52	CAD							
EMERGENCY MEDICAL SERVICES	1482-4	2011-05-31	2011-06-01	SUPERMART # 304 / TREN	308.15	CAD	308.15	CAD	B25000	MATERIALS MGT-STORES	2792	PRESENTATION/PROMOTIONAL ITEMS	9399	Government Services - Not Elsewhere Clas	"FLAGS,BANNER"
EMERGENCY MEDICAL SERVICES	1484-8	2011-06-01	2011-06-02	FERNO CANADA INC	158.48	CAD	158.48	CAD	B43300	EQUIPMENT RETRIEVAL	2120	PARTS - MACHINERY & EQUIPMENT	8099	"Health Practitioners, Medical Services -"	STRETCHER PARTS
EMERGENCY MEDICAL SERVICES	1488-3	2011-06-03	2011-06-06	WAL-MART # 3105	562.38	CAD	562.38	CAD	B25000	MATERIALS MGT-STORES	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5310	Discount Stores	FANS
EMERGENCY MEDICAL SERVICES	1494-2	2011-06-07	2011-06-08	AVENUE ROAD ADVERTISIN	81.36	CAD	81.36	CAD	B25000	MATERIALS MGT-STORES	2999	MISCELLANEOUS MATERIALS & SUPPLIES	7311	Advertising Services	FRAMES FOR BAG SIGNS
EMERGENCY MEDICAL SERVICES	1494-3	2011-06-07	2011-06-08	STAPLES STORE #266	73.08	CAD	73.08	CAD	B25000	MATERIALS MGT-STORES	2010	STATIONERY AND OFFICE SUPPLIES	5943	"Office, School Supply, and Stationery St"	"CONERSTACK, TAPE, PENS"
EMERGENCY MEDICAL SERVICES	1497-3	2011-06-07	2011-06-09	WAL-MART # 3031	316.22	CAD	316.22	CAD	B25000	MATERIALS MGT-STORES	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5310	Discount Stores	OFFICE FANS
EMERGENCY MEDICAL SERVICES	1499-5	2011-06-09	2011-06-10	STAPLES STORE #1	403.86	CAD	403.86	CAD	B25000	MATERIALS MGT-STORES	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	5943	"Office, School Supply, and Stationery St"	PRINTER INK
EMERGENCY MEDICAL SERVICES	1501-3	2011-06-12	2011-06-13	STAPLES STORE #228	28.17	CAD	28.17	CAD	B25000	MATERIALS MGT-STORES	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	5943	"Office, School Supply, and Stationery St"	EQS
EMERGENCY MEDICAL SERVICES	1501-4	2011-06-10	2011-06-13	THE HOME DEPOT #7073	489.82	CAD	489.82	CAD	B43300	EQUIPMENT RETRIEVAL	2710	GENERAL HARDWARE	5200	Home Supply Warehouse	HEXSET
EMERGENCY MEDICAL SERVICES	1501-5	2011-06-11	2011-06-13	METRO #493	42.02	CAD	42.02	CAD	B25000	MATERIALS MGT-STORES	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5411	"Grocery Stores, Supermarkets"	FREEZER BAGS
EMERGENCY MEDICAL SERVICES	1501-6	2011-06-11	2011-06-13	STAPLES STORE #228	255.46	CAD	255.46	CAD	B25000	MATERIALS MGT-STORES	2010	STATIONERY AND OFFICE SUPPLIES	5943	"Office, School Supply, and Stationery St"	"POUCH, PAPER, ENVELOPE"
EMERGENCY MEDICAL SERVICES	1501-7	2011-06-11	2011-06-13	THE HOME DEPOT #7129	180.46	CAD	180.46	CAD	B25000	MATERIALS MGT-STORES	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5200	Home Supply Warehouse	SCREWDRIVER
EMERGENCY MEDICAL SERVICES	1511-5	2011-06-18	2011-06-20	HOLIDAY INN TORONTO YO	157.07	CAD	157.07	CAD	B46700	ALS OPERATIONS	4995	OTHER EXPENSES	7011	"Lodging - Hotels, Motels, Resorts - Not"	ACCOMMO OPS/CACC MNGT
EMERGENCY MEDICAL SERVICES	1513-1	2011-06-20	2011-06-21	ZOLL MEDICAL CANADA	574.13	CAD	574.13	CAD	B43300	EQUIPMENT RETRIEVAL	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5047	Laboratory/Medical/Dental/Ophthalmic Hos	STORAGE BAG SETS
EMERGENCY MEDICAL SERVICES	1519-4	2011-06-22	2011-06-24	SHOPPERSDRUGMART0922	11.15	CAD	11.15	CAD	B25000	MATERIALS MGT-STORES	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5912	"Drug Stores, Pharmacies"	HOOKS
EMERGENCY MEDICAL SERVICES	1519-5	2011-06-23	2011-06-24	TREVOR OWEN LIMITED	975.42	CAD	975.42	CAD	B25000	MATERIALS MGT-STORES	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	5999	Miscellaneous and Specialty Retail Store	REPAIR LARGE OXYGEN BAGS
EMERGENCY MEDICAL SERVICES	1519-6	2011-06-23	2011-06-24	BLISSFUL TRIBUTE INC	"2,515.38"	CAD	"2,515.38"	CAD	B25000	MATERIALS MGT-STORES	2999	MISCELLANEOUS MATERIALS & SUPPLIES	7261	Funeral Service and Crematories	LAUNDRY BINS
					"7,132.61"	CAD	"7,132.61"	CAD							
TRANSPORTATION SERVICES 	1488-4	2011-06-03	2011-06-06	ACKLANDS-GRAINGER INC	352.56	CAD	352.56	CAD	TP0399	SIGNS/MKGS MGMT & OH	2710	GENERAL HARDWARE	5085	Industrial Supplies Not Elsewhere Classi	Digi-day screenboard on the job safety
					352.56	CAD	352.56	CAD							
LONG TERM CARE HOMES	1488-5	2011-06-02	2011-06-06	WAL-MART # 3031	72.46	CAD	72.46	CAD	D3L083	WESBURN-PS-PS	2999	MISCELLANEOUS MATERIALS & SUPPLIES	5310	Discount Stores	Pampering supplies for 2nd & 4th floors
					72.46	CAD	72.46	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1492-8	2011-06-06	2011-06-07	TORONTO PARKING AUTHOR	9.50	CAD	9.50	CAD	AH0091	HS-MH-PRS-FORT YORK	4770	PARKING EXPENSES (INTOWN)	7523	Automobile Parking Lots and Garages	"parking at EDC Town Hall, North York Civic Centre"
ECONOMIC DEVELOPMENT & CULTURE	1519-7	2011-06-22	2011-06-24	PAYPAL *MASYDASY	500.00	CAD	500.00	CAD	AH0101	HS-MH-PUB-FORT YORK	4102	ENTERTAINER AND BAND FEES	8999	Professional Services - Not Elsewhere Cl	Aboriginal Dance Performance forNatinal Aboriginal
ECONOMIC DEVELOPMENT & CULTURE	1521-1	2011-06-27	2011-06-27	FACEBOOK.COM*ADS	51.37	CAD	50.59	USD	AH0101	HS-MH-PUB-FORT YORK	4414	ADVERTISING & PROMOTION	7311	Advertising Services	Online Advertising for Canada Day at Fort York
ECONOMIC DEVELOPMENT & CULTURE	1523-3	2011-06-28	2011-06-28	FACEBOOK.COM*V5D7322C2	50.65	CAD	50.00	USD	AH0101	HS-MH-PUB-FORT YORK	4414	ADVERTISING & PROMOTION	7311	Advertising Services	Online Advertising for Canada Day at Fort York
ECONOMIC DEVELOPMENT & CULTURE	1524-6	2011-06-27	2011-06-29	CDN TIRE STORE #00324	36.14	CAD	36.14	CAD	AH0101	HS-MH-PUB-FORT YORK	2545	PLASTICS & RUBBER SUPPLIES	5200	Home Supply Warehouse	plastic hand washing containers for hitoric cooks
ECONOMIC DEVELOPMENT & CULTURE	1524-7	2011-06-27	2011-06-29	WAL-MART #3186	24.77	CAD	24.77	CAD	AH0101	HS-MH-PUB-FORT YORK	2545	PLASTICS & RUBBER SUPPLIES	5411	"Grocery Stores, Supermarkets"	plastic hand washing containers for historic cooks
