Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre/WBS Element	Cost Centre/WBS Element Discriprion	Merchant Type	Merchant type description	Purpose
PUBLIC HEALTH	1348-1	02-28-2011	03-02-2011	PAYPAL *MOUNTSINAIH	20.00	CAD	20.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH3092	MENTAL HEALTH	8398	"Organizations, Charitable and Social Ser"	" 2011/Mar/8, 'Violence Against Women'"
PUBLIC HEALTH	1349-1	03-02-2011	03-03-2011	WHITE RIBBON CAMPAIGN	60.00	CAD	60.00	CAD	4820	BUSINESS MEETING EXPENSES	PH3092	MENTAL HEALTH	8398	"Organizations, Charitable and Social Ser"	Woman Abuse Ribbons'for training mtgs.
PUBLIC HEALTH	1361-1	03-07-2011	03-09-2011	KINETIC INC	466.97	CAD	466.97	CAD	4995	OTHER EXPENSES	PH3092	MENTAL HEALTH	8299	Educational Services	
PUBLIC HEALTH	1361-2	03-08-2011	03-09-2011	THE HINKCKS-DELLCREST	600.00	CAD	600.00	CAD	4995	OTHER EXPENSES	PH3092	MENTAL HEALTH	8398	"Organizations, Charitable and Social Ser"	
PUBLIC HEALTH	1363-1	03-08-2011	03-10-2011	THE HINKCKS-DELLCREST	280.00	CAD	280.00	CAD	4995	OTHER EXPENSES	PH3092	MENTAL HEALTH	8398	"Organizations, Charitable and Social Ser"	
					"1,426.97"	CAD	"1,426.97"	CAD							
"PARKS, FORESTRY & RECREATION"	1346-2	02-28-2011	03-01-2011	NOFRILLS VITO'S #3936	28.19	CAD	28.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06063	GRANDRAVINE-SOC PGM	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1356-2	03-07-2011	03-08-2011	NOFRILLS VITO'S #3936	57.84	CAD	57.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06063	GRANDRAVINE-SOC PGM	5411	"Grocery Stores, Supermarkets"	cooking progs supplies
"PARKS, FORESTRY & RECREATION"	1369-1	03-14-2011	03-15-2011	NOFRILLS VITO'S #3936	25.24	CAD	25.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06063	GRANDRAVINE-SOC PGM	5411	"Grocery Stores, Supermarkets"	cooking progs supplies
"PARKS, FORESTRY & RECREATION"	1369-2	03-14-2011	03-15-2011	NOFRILLS VITO'S #3936	57.97	CAD	57.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1388-1	03-28-2011	03-29-2011	NOFRILLS VITO'S #3936	41.55	CAD	41.55	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06063	GRANDRAVINE-SOC PGM	5411	"Grocery Stores, Supermarkets"	cooking progs supplies
					210.79	CAD	210.79	CAD							
EMERGENCY MEDICAL SERVICES	1373-1	03-16-2011	03-17-2011	AMAZON.CA	46.34	CAD	46.34	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	B33118	CACC - TRG. UNIT	4816	Computer Network/Information Services	CUSTOMER SERVICE BOOKS FOR CACC LIBRARY
EMERGENCY MEDICAL SERVICES	1392-1	03-29-2011	03-31-2011	LASER SPEED INC	634.18	CAD	634.18	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	B33118	CACC - TRG. UNIT	7372	"Computer Programming, Integrated Systems"	PRINTER CARTRIDGE
					680.52	CAD	680.52	CAD							
PUBLIC HEALTH	1348-2	03-01-2011	03-02-2011	ST JOHN AMBULANCE	80.00	CAD	80.00	CAD	4995	OTHER EXPENSES	PH3515	IP/SAP	8398	"Organizations, Charitable and Social Ser"	
					80.00	CAD	80.00	CAD							
PUBLIC HEALTH	1361-3	03-08-2011	03-09-2011	HEALTH NEXUS	662.27	CAD	662.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3089	HBHC PROGRAM SUPPORT	7392	"Consulting, Management, and Public Relat"	"Inv#2271 Resource manuals,36each:#E26E,E30E,K15E"
					662.27	CAD	662.27	CAD							
"PARKS, FORESTRY & RECREATION"	1351-1	03-03-2011	03-04-2011	J   J CRAFTS	283.66	CAD	283.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P03463	MAIN SQ-HOLIDAY CAMP	5970	"Artist Supply Stores, Craft Shops"	craft supplies for MB camp
"PARKS, FORESTRY & RECREATION"	1373-2	03-16-2011	03-17-2011	THE ROYAL ONTARIO MUSE	248.00	CAD	248.00	CAD	4118	TICKETS AND ADMISSION FEES	P03463	MAIN SQ-HOLIDAY CAMP	7991	Tourist Attractions and Exhibits	MB camp trip
					531.66	CAD	531.66	CAD							
LONG TERM CARE HOMES	1351-2	03-03-2011	03-04-2011	LOBLAWS #1021	126.80	CAD	126.80	CAD	2741	FOOD COSTS	D3G032	TRU DAVIDSN A-FN-RF	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLY
LONG TERM CARE HOMES	1356-3	03-07-2011	03-08-2011	METRO #37	62.63	CAD	62.63	CAD	2741	FOOD COSTS	D3G032	TRU DAVIDSN A-FN-RF	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLY
LONG TERM CARE HOMES	1381-1	03-22-2011	03-23-2011	METRO #37	51.45	CAD	51.45	CAD	2741	FOOD COSTS	D3G032	TRU DAVIDSN A-FN-RF	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLY
LONG TERM CARE HOMES	1386-1	03-25-2011	03-28-2011	LOBLAWS #1021	84.85	CAD	84.85	CAD	2741	FOOD COSTS	D3G032	TRU DAVIDSN A-FN-RF	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLY
LONG TERM CARE HOMES	1390-2	03-28-2011	03-30-2011	ZELLERS #453	51.96	CAD	51.96	CAD	2741	FOOD COSTS	D3G032	TRU DAVIDSN A-FN-RF	5310	Discount Stores	SMALL WARES
					377.69	CAD	377.69	CAD							
"PARKS, FORESTRY & RECREATION"	1361-4	03-07-2011	03-09-2011	WAL-MART            30	93.61	CAD	93.61	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12856	RAVWTRMAINT	5310	Discount Stores	"rope, power bar"
"PARKS, FORESTRY & RECREATION"	1390-3	03-28-2011	03-30-2011	THE HOME DEPOT #7001	38.50	CAD	38.50	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12856	RAVWTRMAINT	5200	Home Supply Warehouse	SPRINGLINK
"PARKS, FORESTRY & RECREATION"	1390-4	03-29-2011	03-30-2011	SHEPHERD'S UTILITY EQU	776.87	CAD	776.87	CAD	3099	GENERAL EQUIPMENT	P12856	RAVWTRMAINT	5072	Hardware Equipment and Supplies	"braid rope, blue rope"
					908.98	CAD	908.98	CAD							
"PARKS, FORESTRY & RECREATION"	1367-1	03-11-2011	03-14-2011	MICHAELS #3983	357.25	CAD	357.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01050	SPCEVNT-MEL LASTMAN	5945	"Game, Toy, and Hobby Shops"	"craft supplies, foam, markers"
"PARKS, FORESTRY & RECREATION"	1379-3	03-21-2011	03-22-2011	METRO#853          QPS	14.78	CAD	14.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01050	SPCEVNT-MEL LASTMAN	5411	"Grocery Stores, Supermarkets"	"cookies, juice"
"PARKS, FORESTRY & RECREATION"	1392-2	03-29-2011	03-31-2011	BOOKCITY #3	53.78	CAD	53.78	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P01584	SENECA VILLAGE CC-AR	5942	Book Stores	books for childrens program
					425.81	CAD	425.81	CAD							
"PARKS, FORESTRY & RECREATION"	1346-3	02-28-2011	03-01-2011	METAL SUPERMARKETS (NO	73.45	CAD	73.45	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	
"PARKS, FORESTRY & RECREATION"	1351-3	03-03-2011	03-04-2011	CPT CANADA POWER TECHN	9.21	CAD	9.21	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12017	SOUTH GENERAL-PKS TE	7531	Automotive Body and Repair Shops	oil filter
"PARKS, FORESTRY & RECREATION"	1356-4	03-07-2011	03-08-2011	METAL SUPERMARKETS (NO	96.05	CAD	96.05	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	hr flat 188x6.000
"PARKS, FORESTRY & RECREATION"	1361-5	03-08-2011	03-09-2011	LINDE CANADA - ETOBICO	51.27	CAD	51.27	CAD	2575	ELECTRICAL SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5072	Hardware Equipment and Supplies	electrode
"PARKS, FORESTRY & RECREATION"	1365-1	03-09-2011	03-11-2011	CDN TIRE STORE #00654	15.68	CAD	15.68	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	tremclad FBLK
"PARKS, FORESTRY & RECREATION"	1365-2	03-10-2011	03-11-2011	METAL SUPERMARKETS (NO	108.48	CAD	108.48	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	BSP pipe SCH 40.500
"PARKS, FORESTRY & RECREATION"	1371-2	03-14-2011	03-16-2011	CDN TIRE STORE #00654	33.34	CAD	33.34	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	tremclad FBLK
"PARKS, FORESTRY & RECREATION"	1373-3	03-15-2011	03-17-2011	PARTSOURCE STORE # 760	67.78	CAD	67.78	CAD	2181	PARTS - VEHICLES	P12017	SOUTH GENERAL-PKS TE	5533	"Automotive Parts, Accessories Stores"	
"PARKS, FORESTRY & RECREATION"	1373-4	03-16-2011	03-17-2011	LINDE CANADA - ETOBICO	83.59	CAD	83.59	CAD	2082	HEALTH & SAFETY SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5072	Hardware Equipment and Supplies	respirator
"PARKS, FORESTRY & RECREATION"	1381-2	03-22-2011	03-23-2011	METAL SUPERMARKETS (NO	45.20	CAD	45.20	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR plate.750
"PARKS, FORESTRY & RECREATION"	1383-1	03-21-2011	03-24-2011	FINCHAM AUTOMOTIVE	21.20	CAD	21.20	CAD	2401	LUBRICANTS	P12017	SOUTH GENERAL-PKS TE	5511	"Automobile and Truck Dealers - Sales, Se"	lubricant
"PARKS, FORESTRY & RECREATION"	1384-1	03-24-2011	03-25-2011	METAL SUPERMARKETS (NO	189.84	CAD	189.84	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HSST SQ 4.000X4.000X.188
"PARKS, FORESTRY & RECREATION"	1388-2	03-28-2011	03-29-2011	METAL SUPERMARKETS (NO	19.21	CAD	19.21	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	SS ROUND 304 .625
"PARKS, FORESTRY & RECREATION"	1390-5	03-28-2011	03-30-2011	SOLWAY METAL SALES	124.30	CAD	124.30	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"	360 BRASS FBX 12'
"PARKS, FORESTRY & RECREATION"	1390-6	03-29-2011	03-30-2011	METAL SUPERMARKETS (ET	14.69	CAD	14.69	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	tread plate
"PARKS, FORESTRY & RECREATION"	1392-3	03-29-2011	03-31-2011	SOLWAY METAL SALES	11.53	CAD	11.53	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"	"11 GA M.S. SHEET X8"" X23-3/4"
"PARKS, FORESTRY & RECREATION"	1392-4	03-30-2011	03-31-2011	METAL SUPERMARKETS (ET	24.86	CAD	24.86	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	hr flat .500x5.000
					989.68	CAD	989.68	CAD							
CITY MANAGER	1377-3	03-18-2011	03-21-2011	ACFI OF CANADA	915.30	CAD	915.30	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	CM0007	INTERNAL AUDIT	8641	"Associations - Civic, Social, and Frater"	"Registration - May 2-3, 2011"
					915.30	CAD	915.30	CAD							
"PARKS, FORESTRY & RECREATION"	1348-3	03-01-2011	03-02-2011	UNIVERSAL FIELD SUPPLI	959.60	CAD	959.60	CAD	2199	MISCELLANEOUS PARTS	P00069	S-EAST-PRUNING/REMOV	5137	"Mens, Womens, and Childrens Uniforms and"	
"PARKS, FORESTRY & RECREATION"	1361-6	03-08-2011	03-09-2011	INFRASTRUCTURE H S ASS	790.45	CAD	790.45	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P00069	S-EAST-PRUNING/REMOV	5942	Book Stores	EUSA SAFETY BOOKS
"PARKS, FORESTRY & RECREATION"	1365-3	03-10-2011	03-11-2011	NATIONAL HOSE AND EQUI	26.62	CAD	26.62	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00069	S-EAST-PRUNING/REMOV	5046	Commercial Equipment Not Elsewhere Class	HYDRAULIC CONNECTIONS
"PARKS, FORESTRY & RECREATION"	1365-4	03-10-2011	03-11-2011	ATLAS POLAR	58.85	CAD	58.85	CAD	2130	PARTS - MOBILE EQUIPMENT	P00069	S-EAST-PRUNING/REMOV	5065	Electrical Parts and Equipment	ADAPTER- HIAB TRUCK
"PARKS, FORESTRY & RECREATION"	1383-2	03-23-2011	03-24-2011	ATLAS POLAR	28.49	CAD	28.49	CAD	2575	ELECTRICAL SUPPLIES	P00069	S-EAST-PRUNING/REMOV	5065	Electrical Parts and Equipment	CHARGER- BOOM REMOTE
"PARKS, FORESTRY & RECREATION"	1386-2	03-24-2011	03-28-2011	ONEIDA EQUIPMENT LTD	424.45	CAD	424.45	CAD	2401	LUBRICANTS	P00069	S-EAST-PRUNING/REMOV	5712	"Equipment, Furniture, and Home Furnishin"	CHAIN OIL + GLOVES
"PARKS, FORESTRY & RECREATION"	1390-7	03-28-2011	03-30-2011	CDN TIRE STORE #00654	26.14	CAD	26.14	CAD	2401	LUBRICANTS	P00069	S-EAST-PRUNING/REMOV	5200	Home Supply Warehouse	SPRAY LUBRICANT
					"2,314.60"	CAD	"2,314.60"	CAD							
EMERGENCY MEDICAL SERVICES	1369-3	03-13-2011	03-15-2011	TORONTO PARKING AUTHOR	6.00	CAD	6.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46700	ALS OPERATIONS	9399	Government Services - Not Elsewhere Clas	PARKING
					6.00	CAD	6.00	CAD							
"PARKS, FORESTRY & RECREATION"	1346-4	02-28-2011	03-01-2011	RTA ELECTRIC MOTOR COR	433.92	CAD	433.92	CAD	4410	CONTRACTED SERVICES - HEATING & AIR COND	P00859	ALNESS YD-YD OPERN	7538	Automotive Service Shops	
"PARKS, FORESTRY & RECREATION"	1346-5	02-28-2011	03-01-2011	RTA ELECTRIC MOTOR COR	549.18	CAD	549.18	CAD	4410	CONTRACTED SERVICES - HEATING & AIR COND	P00859	ALNESS YD-YD OPERN	7538	Automotive Service Shops	
"PARKS, FORESTRY & RECREATION"	1354-1	03-06-2011	03-07-2011	WATER AND ICE NORTH AM	897.22	CAD	897.22	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	5996	Swimming Pools - Sales and Supplies	
"PARKS, FORESTRY & RECREATION"	1354-2	03-06-2011	03-07-2011	WATER AND ICE NORTH AM	284.76	CAD	284.76	CAD	2535	PLUMBING SUPPLIES	P07696	ANTIBES CC-OPERATION	5996	Swimming Pools - Sales and Supplies	
"PARKS, FORESTRY & RECREATION"	1365-5	03-09-2011	03-11-2011	BRAFASCO / NORTH YORK	39.54	CAD	39.54	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	5085	Industrial Supplies Not Elsewhere Classi	
"PARKS, FORESTRY & RECREATION"	1367-2	03-08-2011	03-14-2011	FABCO PLASTICS WHOLESA	114.28	CAD	114.28	CAD	2535	PLUMBING SUPPLIES	P07659	DOUGLAS SNOW-OPERATI	7399	Business Services - Not Elsewhere Classi	
"PARKS, FORESTRY & RECREATION"	1375-1	03-17-2011	03-18-2011	LOWES #02640*	294.84	CAD	294.84	CAD	2575	ELECTRICAL SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	15M 50' YJ LIT SINGLE OUTLET 12/3
"PARKS, FORESTRY & RECREATION"	1377-4	03-20-2011	03-21-2011	WATER AND ICE NORTH AM	522.06	CAD	522.06	CAD	2535	PLUMBING SUPPLIES	P00853	ALNESS YD-TRADES	5996	Swimming Pools - Sales and Supplies	
"PARKS, FORESTRY & RECREATION"	1377-5	03-20-2011	03-21-2011	WATER AND ICE NORTH AM	487.03	CAD	487.03	CAD	2535	PLUMBING SUPPLIES	P07696	ANTIBES CC-OPERATION	5996	Swimming Pools - Sales and Supplies	
"PARKS, FORESTRY & RECREATION"	1381-3	03-21-2011	03-23-2011	SCP DISTRIBUTORS INC.	96.73	CAD	96.73	CAD	2535	PLUMBING SUPPLIES	P07696	ANTIBES CC-OPERATION	5996	Swimming Pools - Sales and Supplies	
					"3,719.56"	CAD	"3,719.56"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1349-2	03-02-2011	03-03-2011	NELLA CUTLERY   FOOD E	13.56	CAD	13.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDU-FORT YORK	5722	Household Appliance Stores	knives for program
ECONOMIC DEVELOPMENT & CULTURE	1361-7	03-08-2011	03-09-2011	LOBLAWS 4.2        QPS	17.46	CAD	17.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	food for programming
ECONOMIC DEVELOPMENT & CULTURE	1392-5	03-30-2011	03-31-2011	METRO #720         QPS	23.03	CAD	23.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	food for programming - milk for LHP
					54.05	CAD	54.05	CAD							
"PARKS, FORESTRY & RECREATION"	1367-3	03-11-2011	03-14-2011	CHRISTINA AM 5075379	253.32	CAD	253.32	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5699	Accessory  and Apparel Stores - Miscella	FOR RESALE- SWIMWEAR
"PARKS, FORESTRY & RECREATION"	1369-4	03-11-2011	03-15-2011	MONDOR LTEE	207.01	CAD	207.01	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5631	Women's Accessory and Specialty Stores	
"PARKS, FORESTRY & RECREATION"	1369-5	03-14-2011	03-15-2011	SECURITY HOUSE	657.30	CAD	657.30	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	7399	Business Services - Not Elsewhere Classi	FOR RESALE- COMBINATION LOCKS
"PARKS, FORESTRY & RECREATION"	1371-3	03-14-2011	03-16-2011	ATRIPCO DELIVERY SERVI	37.32	CAD	37.32	CAD	4815	COURIER SERVICES	P12527	RW-SH-PRS-OLYMPIUM	4215	"Courier Services - Air & Ground, Freight"	COURIER SERVICE
"PARKS, FORESTRY & RECREATION"	1371-4	03-15-2011	03-16-2011	FOX 40 INTERNATIONAL I	509.18	CAD	509.18	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5941	Sporting Goods Stores	FOR RESALE- WHISTLES
"PARKS, FORESTRY & RECREATION"	1373-5	03-16-2011	03-17-2011	AQUAM	145.77	CAD	145.77	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5996	Swimming Pools - Sales and Supplies	FOR RESALE- SWIM ACCESS.
"PARKS, FORESTRY & RECREATION"	1375-2	03-16-2011	03-18-2011	RMP ATHLETIC - WHOLESA	616.28	CAD	616.28	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5655	"Sports Apparel, Riding Apparel Stores"	FOR RESALE- SPORTSWEAR
"PARKS, FORESTRY & RECREATION"	1377-6	03-17-2011	03-21-2011	ATRIPCO DELIVERY SERVI	14.25	CAD	14.25	CAD	4815	COURIER SERVICES	P12527	RW-SH-PRS-OLYMPIUM	4215	"Courier Services - Air & Ground, Freight"	COURIER SERVICE
"PARKS, FORESTRY & RECREATION"	1386-3	03-21-2011	03-28-2011	ATRIPCO DELIVERY SERVI	14.50	CAD	14.50	CAD	4815	COURIER SERVICES	P12527	RW-SH-PRS-OLYMPIUM	4215	"Courier Services - Air & Ground, Freight"	COURIER SERVICE
					"2,454.93"	CAD	"2,454.93"	CAD							
"PARKS, FORESTRY & RECREATION"	1354-3	03-05-2011	03-07-2011	ANIXIX FLOWER   GIFT	5.65	CAD	5.65	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P12154	STAN WADLOW-MULTI-P	5992	Florists	FLOWERS
"PARKS, FORESTRY & RECREATION"	1373-6	03-16-2011	03-17-2011	THE SOURCE 5110	85.18	CAD	85.18	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P12154	STAN WADLOW-MULTI-P	5732	Electronic Sales	CD PLAYER- FOR LEISURE SKATE
					90.83	CAD	90.83	CAD							
FIRE SERVICES	1367-4	03-10-2011	03-14-2011	THE HOME DEPOT #7135	97.52	CAD	97.52	CAD	2710	GENERAL HARDWARE	FR0035	CBRNR	5200	Home Supply Warehouse	FUL 1/4 X4
					97.52	CAD	97.52	CAD							
EMERGENCY MEDICAL SERVICES	1351-4	03-02-2011	03-04-2011	CDN TIRE STORE #00119	564.94	CAD	564.94	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B25000	MATERIALS MGT-STORES	5200	Home Supply Warehouse	BACK UP CAME
EMERGENCY MEDICAL SERVICES	1351-5	03-02-2011	03-04-2011	CDN TIRE STORE #00119	124.19	CAD	124.19	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B25000	MATERIALS MGT-STORES	5200	Home Supply Warehouse	SEALED BEAM
EMERGENCY MEDICAL SERVICES	1354-4	03-03-2011	03-07-2011	TUXEDO JUNCTION (2007)	403.35	CAD	403.35	CAD	2670	UNIFORMS	B46776	MANGERS - HUB ADMIN	7296	"Clothing Rental - Costumes, Uniforms and"	UNIFORMS
EMERGENCY MEDICAL SERVICES	1356-5	03-07-2011	03-08-2011	STOKES INTERNATIONAL	282.50	CAD	282.50	CAD	2670	UNIFORMS	B46700	ALS OPERATIONS	5331	Variety Stores	MAPLE LEAFWITH STEM GOLD
EMERGENCY MEDICAL SERVICES	1356-6	03-07-2011	03-08-2011	STOKES INTERNATIONAL	31.02	CAD	31.02	CAD	2670	UNIFORMS	B46700	ALS OPERATIONS	5331	Variety Stores	GOLD NAME BAR FOR UNIFORM
EMERGENCY MEDICAL SERVICES	1361-8	03-05-2011	03-09-2011	TUXEDO JUNCTION (2007)	33.88	CAD	33.88	CAD	2670	UNIFORMS	B25000	MATERIALS MGT-STORES	7296	"Clothing Rental - Costumes, Uniforms and"	BLACK BOWS FOR UNIFORMS
EMERGENCY MEDICAL SERVICES	1375-3	03-17-2011	03-18-2011	EMS CHIEFS OF CANADA.	131.25	CAD	131.25	CAD	4760	MEMBERSHIP FEES	B25000	MATERIALS MGT-STORES	8699	"Organizations, Membership - Not Elsewher"	ANNUAL MEMBERSHIP
EMERGENCY MEDICAL SERVICES	1377-7	03-17-2011	03-21-2011	ARROW FURNITURE	803.00	CAD	803.00	CAD	3310	FURNISHINGS	B46776	MANGERS - HUB ADMIN	5712	"Equipment, Furniture, and Home Furnishin"	TABLE AND END TABLES
EMERGENCY MEDICAL SERVICES	1379-4	03-18-2011	03-22-2011	ARROW FURNITURE	"1,469.00"	CAD	"1,469.00"	CAD	3310	FURNISHINGS	B33100	COMM CTR OPERATIONS	5712	"Equipment, Furniture, and Home Furnishin"	CLUB CHAIRS
EMERGENCY MEDICAL SERVICES	1381-4	03-22-2011	03-23-2011	STOKES INTERNATIONAL	254.25	CAD	254.25	CAD	2670	UNIFORMS	B25000	MATERIALS MGT-STORES	5331	Variety Stores	UNIFORMS
EMERGENCY MEDICAL SERVICES	1381-5	03-22-2011	03-23-2011	JOE DROUIN ENTREPRISES	128.71	CAD	128.71	CAD	2670	UNIFORMS	B24100	QUALITY REVIEW  SVCS	5699	Accessory  and Apparel Stores - Miscella	"RIBBONS, TRILLIUM DEVICES"
EMERGENCY MEDICAL SERVICES	1386-4	03-25-2011	03-28-2011	BROWNS SHOES INC. #24	962.44	CAD	962.44	CAD	2660	FOOTWEAR	B33100	COMM CTR OPERATIONS	5661	Shoe Stores	SHOES - DEPUTY WRIGHT
