Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	1277-136	01-10-2011	01-12-2011	THE HOME DEPOT #7001	9.41	CAD	9.41	CAD	2710	GENERAL HARDWARE	P10935	LMOREAUX TENNIS CTR-	5200	Home Supply Warehouse	SCREWS	
"PARKS, FORESTRY & RECREATION"	1286-102	01-17-2011	01-19-2011	WAL-MART SUPERCENTE	188.78	CAD	188.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07890	LAMOREAUX CC-SOC PGM	5310	Discount Stores		
"PARKS, FORESTRY & RECREATION"	1288-89	01-19-2011	01-20-2011	LOBLAWS #1021      QPS	41.88	CAD	41.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13394	TOR NEWCOMER INITIAV	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1297-80	01-26-2011	01-27-2011	METRO # 35         QPS	13.81	CAD	13.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13394	TOR NEWCOMER INITIAV	5411	"Grocery Stores, Supermarkets"		
					"1,405.33"	CAD	"1,405.33"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1269-66	01-05-2011	01-06-2011	TORONTO PARKING AUTHOR	4.50	CAD	4.50	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING - MTG @ CENTRAL BR&E OFFICE - NYCC	
ECONOMIC DEVELOPMENT & CULTURE	1279-109	01-12-2011	01-13-2011	TORONTO PARKING AUTHOR	9.50	CAD	9.50	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING - BR&E SR.'S MEETING - NYCC	
ECONOMIC DEVELOPMENT & CULTURE	1292-112	01-20-2011	01-24-2011	TORONTO PARKING AUTHOR	13.50	CAD	13.50	CAD	4770	PARKING EXPENSES (INTOWN)	ED0116	BD-RET-CORP-CENTRAL	9399	Government Services - Not Elsewhere Clas	PARKING-PLANNING ISSUES DIAMONDCORP MTG-CITY HALL	
					27.50	CAD	27.50	CAD								
CITY MANAGER	1273-50	01-06-2011	01-10-2011	MOE - HWIN WEB	50.00	CAD	50.00	CAD	4760	MEMBERSHIP FEES	CM0401	EMPL HLTH REHAB&EAPH	9399	Government Services - Not Elsewhere Clas	 Renewal	
					50.00	CAD	50.00	CAD								
LONG TERM CARE HOMES	1281-7	01-13-2011	01-14-2011	MR PRINTER	75.76	CAD	75.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3G011	TRU DAVIDSN A-PA-OA	7338	"Quick Copy, Reproduction, and Blueprinti"	PRINTING OF SCHEDULES	
LONG TERM CARE HOMES	1283-4	01-14-2011	01-17-2011	WAL-MART SUPERCENTE	43.43	CAD	43.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3G011	TRU DAVIDSN A-PA-OA	5310	Discount Stores	DEVELOPING PHOTOS	
LONG TERM CARE HOMES	1283-5	01-14-2011	01-17-2011	WAL-MART SUPERCENTE	29.89	CAD	29.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3G083	TRU DAVIDSN A-PS-PS	5310	Discount Stores	REMOTE	
LONG TERM CARE HOMES	1294-5	01-21-2011	01-25-2011	MRS BRIDGES BRITISH BA	63.60	CAD	63.60	CAD	2741	FOOD COSTS	D3G083	TRU DAVIDSN A-PS-PS	5462	Bakeries	HAGGIS	
LONG TERM CARE HOMES	1300-5	01-21-2011	01-28-2011	MR PRINTER	127.78	CAD	127.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3G011	TRU DAVIDSN A-PA-OA	7338	"Quick Copy, Reproduction, and Blueprinti"	PRINTING OF SCHEDULES	
					340.46	CAD	340.46	CAD								
"PARKS, FORESTRY & RECREATION"	1263-70	12-31-2010	01-04-2011	PAUL WOLF ELECTRIC   L	94.33	CAD	94.33	CAD	2575	ELECTRICAL SUPPLIES	P06885	TECH TRADE SERV - 50	5065	Electrical Parts and Equipment		
"PARKS, FORESTRY & RECREATION"	1263-71	12-31-2010	01-04-2011	PAUL WOLF ELECTRIC   L	607.48	CAD	607.48	CAD	2575	ELECTRICAL SUPPLIES	P06885	TECH TRADE SERV - 50	5065	Electrical Parts and Equipment		
"PARKS, FORESTRY & RECREATION"	1296-107	01-24-2011	01-26-2011	PAUL WOLF ELECTRIC   L	70.09	CAD	70.09	CAD	2575	S-GEN-SPECIALIZED MA	P12081	S-GEN-SPECIALIZED MA	5065	Electrical Parts and Equipment		
					771.90	CAD	771.90	CAD								
TORONTO WATER	1263-61	12-31-2010	01-04-2011	DO ALL CANADA INC	96.05	CAD	96.05	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1002	RC HARRIS SRVCS WA2	5085	Industrial Supplies Not Elsewhere Classi	Supplies	
TORONTO WATER	1286-119	01-17-2011	01-19-2011	PUROLATOR 15979529	14.67	CAD	14.67	CAD	4815	COURIER SERVICES	PW1002	RC HARRIS SRVCS WA2	4215	"Courier Services - Air & Ground, Freight"	Courier service	
					110.72	CAD	110.72	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1275-12	01-10-2011	01-11-2011	LOBLAWS #1066      QPS	4.07	CAD	4.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RRP-LAKESHORE	5411	"Grocery Stores, Supermarkets"	food for program - AH advisory committee meeting	
ECONOMIC DEVELOPMENT & CULTURE	1281-27	01-13-2011	01-14-2011	LOBLAWS #1066      QPS	29.81	CAD	29.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0014	AS-PS-CDE-METRO HALL	5411	"Grocery Stores, Supermarkets"	food for youth program - Video/Mask project	
ECONOMIC DEVELOPMENT & CULTURE	1283-32	01-13-2011	01-17-2011	PIZZA DEPOT	27.11	CAD	27.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0014	AS-PS-CDE-METRO HALL	5812	"Eating Places, Restaurants"	food for youth program - Video/Mask project	
ECONOMIC DEVELOPMENT & CULTURE	1292-24	01-21-2011	01-24-2011	IMPARKMTROCTR0 0112 11	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0006	AS-PR-PRS-ETOBCC	7523	Automobile Parking Lots and Garages	parking.	
ECONOMIC DEVELOPMENT & CULTURE	1302-38	01-28-2011	01-31-2011	LOBLAWS #1066      QPS	3.00	CAD	3.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0011	AS-PS-CDE-ETOBCC	5411	"Grocery Stores, Supermarkets"	foof for program - tea for gallery function	
					79.99	CAD	79.99	CAD								
"PARKS, FORESTRY & RECREATION"	1281-163	01-13-2011	01-14-2011	PHARMA PLUS DRUGMARTS	27.10	CAD	27.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02854	C-GEN-YOUTH-SP NEEDS	5912	"Drug Stores, Pharmacies"		
"PARKS, FORESTRY & RECREATION"	1283-189	01-16-2011	01-17-2011	AMAZON.CA	168.48	CAD	168.48	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P12598	RC-OW-THISTLETOWN	4816	Computer Network/Information Services		
"PARKS, FORESTRY & RECREATION"	1286-140	01-18-2011	01-19-2011	UNIQUE INVENTIONS INC.	88.71	CAD	88.71	CAD	2710	C-GEN-YOUTH-SP NEEDS	P02854	C-GEN-YOUTH-SP NEEDS	5655	"Sports Apparel, Riding Apparel Stores"		
"PARKS, FORESTRY & RECREATION"	1292-180	01-21-2011	01-24-2011	THE SOURCE 5180	39.53	CAD	39.53	CAD	2650	COMPUTER AND PRINTER SUPPLIES	P12598	RC-OW-THISTLETOWN	5732	Electronic Sales		
					323.82	CAD	323.82	CAD								
TORONTO WATER	1290-143	01-19-2011	01-21-2011	CDN TIRE STORE #00654	131.63	CAD	131.63	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1017	WS EAST WORK AREA	5200	Home Supply Warehouse		
TORONTO WATER	1300-138	01-26-2011	01-28-2011	CDN TIRE STORE #00030	45.80	CAD	45.80	CAD	2401	LUBRICANTS	PW1017	WS EAST WORK AREA	5200	Home Supply Warehouse		
					177.43	CAD	177.43	CAD								
CITY CLERK'S OFFICE	1294-21	01-24-2011	01-25-2011	ISTOCK *INTERNATIONAL	97.18	CAD	97.18	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	GV0016	ELECTION OPERATIONS	5971	Art Dealers and Galleries	50 credits purchased	
					97.18	CAD	97.18	CAD								
"PARKS, FORESTRY & RECREATION"	1277-5	01-10-2011	01-12-2011	SOLWAY METAL SALES	15.01	CAD	15.01	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"		
"PARKS, FORESTRY & RECREATION"	1281-3	01-13-2011	01-14-2011	PRINCESS AUTO	474.39	CAD	474.39	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1283-2	01-14-2011	01-17-2011	AUTOMOTIVE TOOLS	224.87	CAD	224.87	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5533	"Automotive Parts, Accessories Stores"		
"PARKS, FORESTRY & RECREATION"	1285-2	01-17-2011	01-18-2011	METAL SUPERMARKETS (MI	252.88	CAD	252.88	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	1286-2	01-17-2011	01-19-2011	SOLWAY METAL SALES	11.30	CAD	11.30	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"		
"PARKS, FORESTRY & RECREATION"	1288-1	01-18-2011	01-20-2011	SOLWAY METAL SALES	11.30	CAD	11.30	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"		
"PARKS, FORESTRY & RECREATION"	1288-2	01-19-2011	01-20-2011	PRINCESS AUTO	64.39	CAD	64.39	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1294-4	01-24-2011	01-25-2011	METAL SUPERMARKETS (NO	71.19	CAD	71.19	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	1300-2	01-27-2011	01-28-2011	PRINCESS AUTO	106.04	CAD	106.04	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1302-1	01-27-2011	01-31-2011	SOLWAY METAL SALES	47.46	CAD	47.46	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"		
					"1,278.83"	CAD	"1,278.83"	CAD								
"PARKS, FORESTRY & RECREATION"	1277-74	01-06-2011	01-12-2011	CLASSIC DISPLAY	169.50	CAD	169.50	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00536	WATERFRONT	2741	Miscellaneous Publishing and Printing		
					169.50	CAD	169.50	CAD								
TORONTO WATER	1277-73	01-10-2011	01-12-2011	CDN TIRE STORE #00126	9.03	CAD	9.03	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5200	Home Supply Warehouse		
TORONTO WATER	1279-65	01-12-2011	01-13-2011	AQUARIUS SCUBA DIVING	81.36	CAD	81.36	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5941	Sporting Goods Stores		
TORONTO WATER	1283-68	01-14-2011	01-17-2011	LOWES #02633*	8.45	CAD	8.45	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5200	Home Supply Warehouse	"14W 15"" COOL WH FLUORESCENT"	
TORONTO WATER	1292-72	01-21-2011	01-24-2011	THE HOME DEPOT #7013	13.09	CAD	13.09	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5200	Home Supply Warehouse	"1/2"" BOILER"	
TORONTO WATER	1294-39	01-24-2011	01-25-2011	ACKLANDS-GRAINGER INC	32.58	CAD	32.58	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5085	Industrial Supplies Not Elsewhere Classi		
TORONTO WATER	1300-59	01-26-2011	01-28-2011	ITT W WW #30	596.64	CAD	596.64	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5211	"Building Materials, Lumber Stores"		
					741.15	CAD	741.15	CAD								
FIRE SERVICES	1281-106	01-11-2011	01-14-2011	WESTJET 0001722996715	473.34	CAD	473.34	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	FR0024	MECH MAINT-EQUIPMENT	3180	WestJet Airlines	OTHER AIRLINE FEES	
FIRE SERVICES	1283-136	01-13-2011	01-17-2011	DON VALLEY NORTH TOYOT	345.78	CAD	345.78	CAD	4404	CONTR SERVICES - LICENSED VEHICLES&EQUIP	FR0025	MECH MAINT-VEH MAINT	5511	"Automobile and Truck Dealers - Sales, Se"	WHEEL ALIGNMENT	
FIRE SERVICES	1283-137	01-14-2011	01-17-2011	FIRE DEPARTMENT SAFETY	506.18	CAD	495.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	FR0024	MECH MAINT-EQUIPMENT	8398	"Organizations, Charitable and Social Ser"	REGISTRATION FEE	
FIRE SERVICES	1285-95	01-14-2011	01-18-2011	MTO AGENT NORTH YORK	"1,184.00"	CAD	"1,184.00"	CAD	4830	PERMIT & LICENSE FEES	FR0025	MECH MAINT-VEH MAINT	9399	Government Services - Not Elsewhere Clas	2011 VEHICLE STICKERS	
FIRE SERVICES	1294-83	01-23-2011	01-25-2011	MEARS TRANS. AIRPORT	30.67	CAD	30.00	USD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	FR0024	MECH MAINT-EQUIPMENT	4131	Bus Lines	SHUTTLE BUS FOR BUSINESS TRAVEL	
FIRE SERVICES	1300-98	01-26-2011	01-28-2011	QUALITY INN PLZ CHICB	207.08	CAD	202.47	USD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	FR0024	MECH MAINT-EQUIPMENT	3508	Quality Inns	LODGING FOR BUSINESS TRAVEL	
					"2,747.05"	CAD	"2,003.12"	CAD								
							727.47	USD								
"PARKS, FORESTRY & RECREATION"	1263-4	01-02-2011	01-04-2011	THE HOME DEPOT #7011	5.64	CAD	5.64	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P10911	CENTENNIAL SKI CTR-P	5200	Home Supply Warehouse	PL PRM 300ML	
"PARKS, FORESTRY & RECREATION"	1275-6	01-10-2011	01-11-2011	LAMCO OFFICE PRODUCTS	709.30	CAD	709.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10914	CENTENNIAL SKI CTR-P	5943	"Office, School Supply, and Stationery St"		
					714.94	CAD	714.94	CAD								
LEGAL SERVICES	1277-189	01-11-2011	01-12-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1277-190	01-11-2011	01-12-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1277-191	01-11-2011	01-12-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1277-192	01-11-2011	01-12-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1283-168	01-14-2011	01-17-2011	TERANET TORONTO ROSCO	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1283-169	01-14-2011	01-17-2011	TERANET TORONTO ROSCO	8.00	CAD	8.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1283-170	01-14-2011	01-17-2011	TERANET TORONTO ROSCO	24.00	CAD	24.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1283-171	01-14-2011	01-17-2011	TERANET TORONTO ROSCO	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1286-123	01-18-2011	01-19-2011	TERANET TORONTO ROSCO	3.00	CAD	3.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1286-124	01-18-2011	01-19-2011	TERANET TORONTO ROSCO	16.00	CAD	16.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1286-125	01-18-2011	01-19-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1286-126	01-18-2011	01-19-2011	TERANET TORONTO ROSCO	9.00	CAD	9.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1286-127	01-18-2011	01-19-2011	TERANET TORONTO ROSCO	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1290-103	01-20-2011	01-21-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1290-104	01-20-2011	01-21-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1290-105	01-20-2011	01-21-2011	TERANET TORONTO ROSCO	2.00	CAD	2.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1290-106	01-20-2011	01-21-2011	TERANET TORONTO ROSCO	24.00	CAD	24.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1296-108	01-25-2011	01-26-2011	TERANET TORONTO ROSCO	6.00	CAD	6.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1296-109	01-25-2011	01-26-2011	TERANET TORONTO ROSCO	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1300-115	01-27-2011	01-28-2011	TERANET TORONTO ROSCO	6.00	CAD	6.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1300-116	01-27-2011	01-28-2011	TERANET TORONTO ROSCO	12.00	CAD	12.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1300-117	01-27-2011	01-28-2011	TERANET TORONTO ROSCO	10.00	CAD	10.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1300-118	01-27-2011	01-28-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1300-119	01-27-2011	01-28-2011	TERANET TORONTO ROSCO	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1300-120	01-27-2011	01-28-2011	TERANET TORONTO ROSCO	1.00	CAD	1.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1302-146	01-28-2011	01-31-2011	TERANET TORONTO ROSCO	3.00	CAD	3.00	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1302-147	01-28-2011	01-31-2011	TERANET TORONTO ROSCO	0.50	CAD	0.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
LEGAL SERVICES	1302-148	01-28-2011	01-31-2011	TERANET TORONTO ROSCO	1.50	CAD	1.50	CAD	4827	ONLINE SERVICES FEES	LL0005	REAL ESTATE-CITY HAL	7375	Information Retrieval Services		
					183.00	CAD	183.00	CAD								
EMERGENCY MEDICAL SERVICES	1290-52	01-20-2011	01-21-2011	ALMEX SECURITY PRODUCT	60.00	CAD	60.00	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	B22060	PROG MANAG & ADMIN	5732	Electronic Sales	PROX CARDS	
					60.00	CAD	60.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1275-95	01-08-2011	01-11-2011	CDN TIRE STORE #00459	54.99	CAD	54.99	CAD	2710	GENERAL HARDWARE	AH0090	HS-MH-PRS-98 ATLANTI	5200	Home Supply Warehouse	"boot tray, dusters, extension cord"	
ECONOMIC DEVELOPMENT & CULTURE	1277-201	01-10-2011	01-12-2011	PAYPAL *FAC COURSE	"2,000.00"	CAD	"2,000.00"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	AH0090	HS-MH-PRS-98 ATLANTI	8244	"Schools, Business and Secretarial"	firearms training course	
