Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx. Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose
ECONOMIC DEVELOPMENT & CULTURE	1751-1	11-29-2011	11-30-2011	NOFRILLS ROB S  1397	4.94	CAD	4.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	KITCHEN SUPPLIES FOR PROGRAMS-SUGAR
					37.15	CAD	37.15	CAD							
"PARKS, FORESTRY & RECREATION"	1751-2	11-28-2011	11-30-2011	MISTER SAFETY SHOES IN	142.32	CAD	142.32	CAD	2665	PROTECTIVE CLOTHING	P12856	RAVWTRMAINT	5661	Shoe Stores	HI-VIS JACKET
					142.32	CAD	142.32	CAD							
"PARKS, FORESTRY & RECREATION"	1710-1	10-31-2011	11-02-2011	WAL-MART # 3111	73.46	CAD	73.46	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13169	INSTSPRT-MCNICOLL	5411	"Grocery Stores, Supermarkets"	CLOCKS
"PARKS, FORESTRY & RECREATION"	1727-1	11-09-2011	11-14-2011	WAL-MART # 3111	96.65	CAD	96.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12969	ARTS-MCNICOLL	5411	"Grocery Stores, Supermarkets"	BOARD GAMES FOR WAITING AREA @ MCNICOLL
					170.11	CAD	170.11	CAD							
"PARKS, FORESTRY & RECREATION"	1709-2	10-31-2011	11-01-2011	LINDE CANADA - ETOBICO	30.80	CAD	30.80	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5072	Hardware Equipment and Supplies	CUT OFF WHEEL
"PARKS, FORESTRY & RECREATION"	1709-3	10-31-2011	11-01-2011	METAL SUPERMARKETS (ET	45.64	CAD	45.64	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	METAL
"PARKS, FORESTRY & RECREATION"	1709-4	10-31-2011	11-01-2011	METAL SUPERMARKETS (NO	149.16	CAD	149.16	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	METAL
"PARKS, FORESTRY & RECREATION"	1713-1	11-02-2011	11-03-2011	LINDE CANADA - ETOBICO	198.90	CAD	198.90	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5072	Hardware Equipment and Supplies	METAL
"PARKS, FORESTRY & RECREATION"	1715-1	11-03-2011	11-04-2011	METAL SUPERMARKETS (NO	139.50	CAD	139.50	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	BSP HR PIPI
"PARKS, FORESTRY & RECREATION"	1715-2	11-03-2011	11-04-2011	METAL SUPERMARKETS (NO	62.15	CAD	62.15	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	DOM TUBE
"PARKS, FORESTRY & RECREATION"	1717-2	11-04-2011	11-07-2011	METAL SUPERMARKETS (NO	517.54	CAD	517.54	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	BSP HR PIPI
"PARKS, FORESTRY & RECREATION"	1718-1	11-07-2011	11-08-2011	METAL SUPERMARKETS (ET	44.34	CAD	44.34	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR TREAD PLATE
"PARKS, FORESTRY & RECREATION"	1718-2	11-07-2011	11-08-2011	METAL SUPERMARKETS (ET	142.38	CAD	142.38	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	DOM TUBE
"PARKS, FORESTRY & RECREATION"	1727-2	11-08-2011	11-14-2011	WOLSELEY MECHANICAL	14.24	CAD	14.24	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1711	"Air Conditioning, Heating, and Plumbing"	STD  GALV NIPPLE
"PARKS, FORESTRY & RECREATION"	1728-2	11-14-2011	11-15-2011	LINDE CANADA - ETOBICO	42.60	CAD	42.60	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5072	Hardware Equipment and Supplies	ELECTRODE
"PARKS, FORESTRY & RECREATION"	1731-1	11-15-2011	11-16-2011	METAL SUPERMARKETS (NO	289.28	CAD	289.28	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HSS ROUND TUBE
"PARKS, FORESTRY & RECREATION"	1733-1	11-16-2011	11-17-2011	METAL SUPERMARKETS (NO	16.95	CAD	16.95	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR SHEET
"PARKS, FORESTRY & RECREATION"	1734-2	11-16-2011	11-18-2011	CDN TIRE STORE #00654	23.70	CAD	23.70	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	23W MINI SPIRAL
"PARKS, FORESTRY & RECREATION"	1737-3	11-18-2011	11-21-2011	METAL SUPERMARKETS (NO	245.21	CAD	245.21	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR ROUND 2.5
"PARKS, FORESTRY & RECREATION"	1748-3	11-28-2011	11-29-2011	METAL SUPERMARKETS (ET	130.39	CAD	130.39	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR ROUND .750
"PARKS, FORESTRY & RECREATION"	1751-3	11-28-2011	11-30-2011	PRODUCTO	44.75	CAD	44.75	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5999	Miscellaneous and Specialty Retail Store	SPRINGS
					"2,137.53"	CAD	"2,137.53"	CAD							
"PARKS, FORESTRY & RECREATION"	1709-5	10-28-2011	11-01-2011	BRAFASCO / MISSISSAUGA	86.74	CAD	86.74	CAD	2710	GENERAL HARDWARE	P00608	PARKS OPERATIONS - E	5085	Industrial Supplies Not Elsewhere Classi	NUTS & BOLTS
"PARKS, FORESTRY & RECREATION"	1717-3	11-04-2011	11-07-2011	DESCO PLUMBING   HEATI	967.47	CAD	967.47	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	1711	"Air Conditioning, Heating, and Plumbing"	PIPE FOR SKI HILL
"PARKS, FORESTRY & RECREATION"	1724-1	11-08-2011	11-10-2011	N.A. YORKE MACHINERY C	593.25	CAD	593.25	CAD	3099	GENERAL EQUIPMENT	P10910	CENTENNIAL SKI CTR-O	7699	Miscellaneous Repair Shops and Related S	SHAFT FOR SOUTH LIFT
"PARKS, FORESTRY & RECREATION"	1728-3	11-14-2011	11-15-2011	DESCO PLUMBING   HEATI	90.97	CAD	90.97	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	1711	"Air Conditioning, Heating, and Plumbing"	PARTS FOR SKI HILL
"PARKS, FORESTRY & RECREATION"	1731-2	11-15-2011	11-16-2011	TORBRAM ELECTRIC SUPPL	131.57	CAD	131.57	CAD	2575	ELECTRICAL SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5065	Electrical Parts and Equipment	ELECTRICAL CONDUIT
"PARKS, FORESTRY & RECREATION"	1734-3	11-16-2011	11-18-2011	THE HOME DEPOT #7011	68.31	CAD	68.31	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****
"PARKS, FORESTRY & RECREATION"	1734-4	11-16-2011	11-18-2011	CDN TIRE STORE #00070	94.90	CAD	94.90	CAD	2715	PAINT SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	PAINT FOR LOCKERS
"PARKS, FORESTRY & RECREATION"	1737-4	11-18-2011	11-21-2011	STAPLES STORE #2	33.86	CAD	33.86	CAD	2035	PRINTING SUPPLIES (TAXABLE)	P00656	CENTENNIAL PK-PGM SU	5943	"Office, School Supply, and Stationery St"	PRINTER INK
"PARKS, FORESTRY & RECREATION"	1739-2	11-21-2011	11-22-2011	DESCO PLUMBING   HEATI	895.67	CAD	895.67	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	1711	"Air Conditioning, Heating, and Plumbing"	WATER PIPE
"PARKS, FORESTRY & RECREATION"	1739-3	11-18-2011	11-22-2011	BRAFASCO / MISSISSAUGA	206.14	CAD	206.14	CAD	2710	GENERAL HARDWARE	P10910	CENTENNIAL SKI CTR-O	5085	Industrial Supplies Not Elsewhere Classi	NUTS & BOLTS
"PARKS, FORESTRY & RECREATION"	1740-1	11-22-2011	11-23-2011	DESCO PLUMBING   HEATI	377.70	CAD	377.70	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	1711	"Air Conditioning, Heating, and Plumbing"	SNOW MAKING PARTS
"PARKS, FORESTRY & RECREATION"	1740-2	11-22-2011	11-23-2011	DESCO PLUMBING   HEATI	-571.10	CAD	-571.10	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	1711	"Air Conditioning, Heating, and Plumbing"	REFUND
"PARKS, FORESTRY & RECREATION"	1743-1	11-22-2011	11-24-2011	BRAFASCO / MISSISSAUGA	213.34	CAD	213.34	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PK-PGM SU	5085	Industrial Supplies Not Elsewhere Classi	PIPE THREADER DIES
					"3,188.82"	CAD	"3,188.82"	CAD							
"PARKS, FORESTRY & RECREATION"	1727-3	11-11-2011	11-14-2011	WATER AND ICE NORTH AM	904.00	CAD	904.00	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	D E  ELEMENT COVERS
"PARKS, FORESTRY & RECREATION"	1727-4	11-11-2011	11-14-2011	WATER AND ICE NORTH AM	381.94	CAD	381.94	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	POOL FILTR SAND/VALVE
"PARKS, FORESTRY & RECREATION"	1737-5	11-18-2011	11-21-2011	NITRO INDUSTRIAL SALES	333.28	CAD	333.28	CAD	3080	M & E - HAND TOOLS	P00859	ALNESS YD-YD OPERN	5085	Industrial Supplies Not Elsewhere Classi	TOOLS
"PARKS, FORESTRY & RECREATION"	1751-4	11-29-2011	11-30-2011	RTA ELECTRIC MOTOR COR	209.05	CAD	209.05	CAD	4412	CONTR SRV - PLUMBING	P00859	ALNESS YD-YD OPERN	7538	Automotive Service Shops	MOTOR MIXER REPAIR
					"1,828.27"	CAD	"1,828.27"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1718-3	11-07-2011	11-08-2011	TAP PHONG TRADING CO.	255.58	CAD	255.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5046	Commercial Equipment Not Elsewhere Class	"COFFEE URN FOR REMEMBRANCE DAY,COOLING RACK"
ECONOMIC DEVELOPMENT & CULTURE	1718-4	11-07-2011	11-08-2011	PRICE CHOPPER #7869QPS	18.11	CAD	18.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	APPLES FOR KITCHEN PROGRAMMING
ECONOMIC DEVELOPMENT & CULTURE	1724-2	11-08-2011	11-10-2011	IMPERIAL COFFEE AND SE	104.70	CAD	104.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5111	"Stationery, Office Supplies, Printing an"	"COFFEE, MILK AND CREAM FOR EDUCATION PROGRAMMING"
ECONOMIC DEVELOPMENT & CULTURE	1724-3	11-08-2011	11-10-2011	IMPERIAL COFFEE AND SE	82.10	CAD	82.10	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0091	HS-MH-PRS-FORT YORK	5111	"Stationery, Office Supplies, Printing an"	COFFEE AND  CREAM FOR GIFT SHOP
ECONOMIC DEVELOPMENT & CULTURE	1727-5	11-10-2011	11-14-2011	PRICE CHOPPER #7869QPS	6.40	CAD	6.40	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0091	HS-MH-PRS-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD FOR RECIPE TESTING FOODWAYS PROGRAMME
ECONOMIC DEVELOPMENT & CULTURE	1734-5	11-17-2011	11-18-2011	METRO #720	111.09	CAD	111.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD FOR  RECIPE TESTING/FOODWAYS PROGRAM
ECONOMIC DEVELOPMENT & CULTURE	1737-6	11-18-2011	11-21-2011	PRICE CHOPPER #7938QPS	5.96	CAD	5.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD FOR LIVING HISTORY PROGRAMME
ECONOMIC DEVELOPMENT & CULTURE	1739-4	11-21-2011	11-22-2011	PRICE CHOPPER #7938QPS	27.28	CAD	27.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	APPLES FOR KITCHEN PROGRAMMING
ECONOMIC DEVELOPMENT & CULTURE	1743-2	11-22-2011	11-24-2011	IMPERIAL COFFEE AND SE	136.65	CAD	136.65	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0091	HS-MH-PRS-FORT YORK	5111	"Stationery, Office Supplies, Printing an"	*****
ECONOMIC DEVELOPMENT & CULTURE	1747-1	11-27-2011	11-28-2011	METRO #720	38.11	CAD	38.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD FOR TRAINING OF VOLUNTEER COOKS
ECONOMIC DEVELOPMENT & CULTURE	1748-4	11-28-2011	11-29-2011	LOBLAWS 4.2	13.18	CAD	13.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD FOR RETAIL
					799.16	CAD	799.16	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1715-3	11-03-2011	11-04-2011	FABRICLAND DISTRIBUTOR	46.10	CAD	46.10	CAD	2670	UNIFORMS	AH0087	HS-MH-PRS-GIBSON HOU	5949	"Fabric, Needlework, Piece Goods, and Sew"	FABRIC FOR COSTUME LINING
					46.10	CAD	46.10	CAD							
AfFFORDABLE HOUSING OFFICE	1717-4	11-04-2011	11-07-2011	ONTARIO MUNICIPAL SOCI	508.50	CAD	508.50	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AHO - HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	OMSSA 2011 POL&RESEARCH CONF-NOV17/18/11
					508.50	CAD	508.50	CAD							
"PARKS, FORESTRY & RECREATION"	1723-1	11-07-2011	11-09-2011	UNIVERSAL APPLIANCE PA	27.73	CAD	27.73	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12154	STAN WADLOW-MULTI-P	7629	"Appliance Repair Shops, Electrical and S"	FRIDGE HANDLE
					27.73	CAD	27.73	CAD							
FIRE SERVICES	1747-2	11-25-2011	11-28-2011	CONCEPT CONTROLS EASTE	254.25	CAD	254.25	CAD	2590	EMERGENCY SERVICES SUPPLIES	FR0035	CBRNR	5085	Industrial Supplies Not Elsewhere Classi	AIR MONITOR REPLACEMENT PARTS
					254.25	CAD	254.25	CAD							
EMERGENCY MEDICAL SERVICES	1709-6	10-28-2011	11-01-2011	THE BAY #1554	118.64	CAD	118.64	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	B43300	EQUIPMENT RETRIEVAL	5311	Department Stores	CASE
EMERGENCY MEDICAL SERVICES	1710-2	10-31-2011	11-02-2011	THE HOME DEPOT #7129	6.41	CAD	6.41	CAD	2710	GENERAL HARDWARE	B43300	EQUIPMENT RETRIEVAL	5200	Home Supply Warehouse	NAILS
EMERGENCY MEDICAL SERVICES	1713-2	11-02-2011	11-03-2011	STOKES INTERNATIONAL	565.00	CAD	565.00	CAD	2670	UNIFORMS	B46700	ALS OPERATIONS	5331	Variety Stores	UNIFORMS
EMERGENCY MEDICAL SERVICES	1715-4	11-03-2011	11-04-2011	FEDEX 598378253	36.32	CAD	36.32	CAD	4815	COURIER SERVICES	B25000	MATERIALS MGT-STORES	4215	"Courier Services - Air & Ground, Freight"	COURIER SERVICE
					726.37	CAD	726.37	CAD							
"PARKS, FORESTRY & RECREATION"	1731-3	11-15-2011	11-16-2011	STAPLES STORE #26	62.81	CAD	62.81	CAD	2035	PRINTING SUPPLIES (TAXABLE)	P00152	C-WTRFRONT3-TURF&HOR	5943	"Office, School Supply, and Stationery St"	TAGS & MARKERS FOR OCCUPY TORONTO REMOVAL AT ST JA
					62.81	CAD	62.81	CAD							
LONG TERM CARE HOMES	1734-6	11-16-2011	11-18-2011	EMPIRE MUSIC CO LTD	212.44	CAD	212.44	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3L083	WESBURN-PS-PS	5733	"Music Stores - Musical Instruments, Pian"	SUPPLY FOR MUSIC THERAPY
					212.44	CAD	212.44	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1737-7	11-17-2011	11-21-2011	IL PAESANO PIZZA LTD.	61.91	CAD	61.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0108	HS-MH-REN-FORT YORK	5812	"Eating Places, Restaurants"	TIS THE SEASON CHILDREN'S ART SHOW
					61.91	CAD	61.91	CAD							
SOLID WASTE MANAGEMENT	1710-3	10-31-2011	11-02-2011	THE HOME DEPOT #7078	11.27	CAD	11.27	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5200	Home Supply Warehouse	TUCK TAPE 60
SOLID WASTE MANAGEMENT	1717-5	11-03-2011	11-07-2011	THE HOME DEPOT #7134	54.33	CAD	54.33	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0820	VICTORIA PARK TS OPE	5200	Home Supply Warehouse	*****
SOLID WASTE MANAGEMENT	1737-8	11-18-2011	11-21-2011	THE HOME DEPOT #7078	14.52	CAD	14.52	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0825	DUFFERIN TS OPER	5200	Home Supply Warehouse	DOORSTOP
SOLID WASTE MANAGEMENT	1745-1	11-23-2011	11-25-2011	THE HOME DEPOT #7078	120.21	CAD	120.21	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0825	DUFFERIN TS OPER	5200	Home Supply Warehouse	*****
					200.33	CAD	200.33	CAD							
"PARKS, FORESTRY & RECREATION"	1733-2	11-16-2011	11-17-2011	STAPLES STORE #159	10.90	CAD	10.90	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P00271	E-SOUTH1-TURF&HORT	5943	"Office, School Supply, and Stationery St"	GRAPH PAPER PADS
"PARKS, FORESTRY & RECREATION"	1734-7	11-16-2011	11-18-2011	CDN TIRE STORE #00459	45.18	CAD	45.18	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00271	E-SOUTH1-TURF&HORT	5200	Home Supply Warehouse	2 WATERING CANS
"PARKS, FORESTRY & RECREATION"	1740-3	11-22-2011	11-23-2011	VALLEYVIEW GARDENS HK	50.85	CAD	50.85	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00271	E-SOUTH1-TURF&HORT	5261	Lawn and Garden Supply Stores	FOIL WRAP FOR POINSETTIAS
					106.93	CAD	106.93	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1715-5	11-03-2011	11-04-2011	LOWES #02633*	6.23	CAD	6.23	CAD	2710	GENERAL HARDWARE	AH0029	CD-AM-FAC-METRO HALL	5200	Home Supply Warehouse	*****
ECONOMIC DEVELOPMENT & CULTURE	1717-6	11-04-2011	11-07-2011	THE HOME DEPOT #7013	29.23	CAD	29.23	CAD	2715	PAINT SUPPLIES	AH0023	CD-AM-FAC-TODMORDEN	5200	Home Supply Warehouse	*****
ECONOMIC DEVELOPMENT & CULTURE	1718-5	11-07-2011	11-08-2011	METAL SUPERMARKETS (NO	17.52	CAD	17.52	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0026	CD-AM-FAC-ZION SCHOO	5051	Metal Service Centers and Offices	1 PIECE OF STEEL PIPE
ECONOMIC DEVELOPMENT & CULTURE	1727-6	11-09-2011	11-14-2011	THE HOME DEPOT #7134	8.09	CAD	8.09	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0026	CD-AM-FAC-ZION SCHOO	5200	Home Supply Warehouse	ANCHORS
ECONOMIC DEVELOPMENT & CULTURE	1734-8	11-16-2011	11-18-2011	THE HOME DEPOT #7134	70.85	CAD	70.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5200	Home Supply Warehouse	*****
ECONOMIC DEVELOPMENT & CULTURE	1737-9	11-18-2011	11-21-2011	LOWES #02640*	4.50	CAD	4.50	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5200	Home Supply Warehouse	18KG HILLVIEW GRAVEL
ECONOMIC DEVELOPMENT & CULTURE	1737-10	11-18-2011	11-21-2011	THE HOME DEPOT #7013	48.39	CAD	48.39	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5200	Home Supply Warehouse	*****
ECONOMIC DEVELOPMENT & CULTURE	1740-4	11-21-2011	11-23-2011	THE HOME DEPOT #7134	-13.53	CAD	-13.53	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5200	Home Supply Warehouse	SAKRETE CONCRETE
ECONOMIC DEVELOPMENT & CULTURE	1743-3	11-23-2011	11-24-2011	LOWES #02640*	7.86	CAD	7.86	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5200	Home Supply Warehouse	*****
					179.14	CAD	179.14	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1743-4	11-23-2011	11-24-2011	PRECISE PARKLINK INC	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0014	AS-PS-CDE-METRO HALL	7523	Automobile Parking Lots and Garages	PARKING FOR MEETING AT METRO HALL
ECONOMIC DEVELOPMENT & CULTURE	1747-3	11-23-2011	11-28-2011	PIZZA PIZZA 111	39.30	CAD	39.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0014	AS-PS-CDE-METRO HALL	5814	Quick Payment Service - Fast-Food Restau	YOUTH MEETING FOR 4 HOURS-FOOD FOR PROGRAM
ECONOMIC DEVELOPMENT & CULTURE	1751-5	11-29-2011	11-30-2011	PRECISE PARKLINK INC	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0014	AS-PS-CDE-METRO HALL	7523	Automobile Parking Lots and Garages	PARKING FOR MEETING AT METRO HALL
					71.30	CAD	71.30	CAD							
TORONTO WATER	1734-9	11-18-2011	11-18-2011	TIGERDIRECT.CA	334.53	CAD	334.53	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	WW1062	HCTP PLANT SRVCS WA3	5964	Direct Marketing - Catalog Merchants	TONER CARTRDGES
					334.53	CAD	334.53	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1710-4	11-01-2011	11-02-2011	PRECISE PARKLINK INC	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0018	AS-PS-PUB-CEDAR RIDG	7523	Automobile Parking Lots and Garages	PARKING AT METRO HALL FOR A YOUTH PROGRAM MEETING
ECONOMIC DEVELOPMENT & CULTURE	1751-6	11-29-2011	11-30-2011	PRECISE PARKLINK INC	16.00	CAD	16.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0018	AS-PS-PUB-CEDAR RIDG	7523	Automobile Parking Lots and Garages	PARKING AT METRO HALL FOR MEETING
					32.00	CAD	32.00	CAD							
