Division	Batch-Transaction ID	Transaction Date	Card Posting Date	Merchant Name	Transaction Amount	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type (MCC)	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5051-47	2018-08-08	2018-08-08	SHERBOURNE FRESHCO 968	59.75	CAD	59.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMP
"PARKS, FORESTRY & RECREATION"	5051-48	2018-08-08	2018-08-08	FRESHCO #9686	199.65	CAD	199.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04894	REGENT PARK-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMP
"PARKS, FORESTRY & RECREATION"	5057-98	2018-08-17	2018-08-17	SHERBOURNE FRESHCO 968	28.32	CAD	28.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD FOR CAMP
"PARKS, FORESTRY & RECREATION"	5057-99	2018-08-17	2018-08-17	SHERBOURNE FRESHCO 968	14.77	CAD	14.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION"	5057-100	2018-08-17	2018-08-17	SHERBOURNE FRESHCO 968	19.98	CAD	19.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION"	5058-17	2018-08-18	2018-08-18	THE HOME DEPOT #7129	36.07	CAD	36.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5200	Home Supply Warehouse	**MORE**  BIRD FOOD
"PARKS, FORESTRY & RECREATION"	5062-79	2018-08-23	2018-08-23	COSTCO WHOLESALE W547	294.33	CAD	294.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5300	Wholesale Clubs	CAMP EVENT
"PARKS, FORESTRY & RECREATION"	5062-80	2018-08-23	2018-08-23	COSTCO WHOLESALE W547	425.94	CAD	425.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04894	REGENT PARK-SUMMER CAMPS	5300	Wholesale Clubs	FOOD FOR CAMP
"PARKS, FORESTRY & RECREATION"	5062-81	2018-08-23	2018-08-23	COSTCO WHOLESALE W547	-34.76	CAD	-34.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04894	REGENT PARK-SUMMER CAMPS	5300	Wholesale Clubs	REFUND
"PARKS, FORESTRY & RECREATION"	5062-82	2018-08-24	2018-08-24	DOLLARAMA # 874	41.08	CAD	41.08	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5310	Discount Stores	CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION"	5062-83	2018-08-23	2018-08-23	SHERBOURNE FRESHCO 968	22.05	CAD	22.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12836	RS- WELLES-CAMPS-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES
					"1,107.18"	CAD	"1,107.18"	CAD							
SOLID WASTE MANAGEMENT	5045-114	2018-08-02	2018-08-02	WWW.OWMA.ORG	220.35	CAD	220.35	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	5734	Computer Software Stores	CANADIAN WASTE TO RESOURCE CONFERENCE-TOUR
SOLID WASTE MANAGEMENT	5045-115	2018-08-02	2018-08-02	WWW.OWMA.ORG	904.00	CAD	904.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	5734	Computer Software Stores	CANADIAN WASTE TO RESOURCE CONFERENCE
					"1,124.35"	CAD	"1,124.35"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5045-147	2018-08-02	2018-08-02	TWITTER ONLINE ADS	30.00	CAD	30.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ADVERTISING - OUTLANDER MEETS MACKENZIE
ECONOMIC DEVELOPMENT & CULTURE	5045-148	2018-08-02	2018-08-02	TWITTER ONLINE ADS	25.50	CAD	25.50	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	ADVERTISING - BIKE CITY
ECONOMIC DEVELOPMENT & CULTURE	5052-109	2018-08-09	2018-08-09	TWITTER ONLINE ADS	35.00	CAD	35.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	OUTLANDER MEETS MACKENZIE
ECONOMIC DEVELOPMENT & CULTURE	5052-110	2018-08-09	2018-08-09	TWITTER ONLINE ADS	59.50	CAD	59.50	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	"ADVERTISING, BIKE CITY, MARKET GALLERY"
ECONOMIC DEVELOPMENT & CULTURE	5054-43	2018-08-13	2018-08-13	CPC SCP/C167927954	"1,901.50"	CAD	"1,901.50"	CAD	4995	OTHER EXPENSES	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	4215	"Courier Services - Air & Ground, Freight"	MONTGOMERY INN FARMER'S MARKET DISTRIBUTION OF RACK CARD
ECONOMIC DEVELOPMENT & CULTURE	5056-84	2018-08-15	2018-08-15	GAWCK	"1,973.66"	CAD	"1,973.66"	CAD	2792	"BANNERS, FLAGS & SIGNS"	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7333	"Commercial Art, Graphics, Photography"	BANNERS
ECONOMIC DEVELOPMENT & CULTURE	5057-133	2018-08-16	2018-08-16	TWITTER ONLINE ADS	20.00	CAD	20.00	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	"ADVERTISING, OUTLANDER MEETS MACKENZIE"
ECONOMIC DEVELOPMENT & CULTURE	5058-28	2018-08-18	2018-08-18	HOO*HOOTSUITE INC	15.24	CAD	11.29	USD	4414	ADVERTISING & PROMOTION	ED0150	PS MKG EDC MKTG TACTICS	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA
ECONOMIC DEVELOPMENT & CULTURE	5067-80	2018-08-29	2018-08-30	UPAKNEE EMAIL	271.20	CAD	271.20	CAD	4414	ADVERTISING & PROMOTION	ED0150	PS MKG EDC MKTG TACTICS	7392	"Consulting, Management, and Public Relat"	E-NEWSLETTER DISTRIBUTION
					"4,331.60"	CAD	"4,316.36"	CAD							
							11.29	USD							
"PARKS, FORESTRY & RECREATION"	5057-134	2018-08-17	2018-08-17	TOYS  R  US #3519	227.02	CAD	227.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5945	"Game, Toy, and Hobby Shops"	TOYS
"PARKS, FORESTRY & RECREATION"	5060-55	2018-08-21	2018-08-21	BEST BUY CANADA #925	37.28	CAD	37.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5732	Electronic Sales	PHONE CHARGER
"PARKS, FORESTRY & RECREATION"	5060-56	2018-08-21	2018-08-21	OVR*CO/OVERSTOCK.COM	105.02	CAD	105.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5969	Direct Marketing - Other Direct Marketer	BASKETBALL NET
"PARKS, FORESTRY & RECREATION"	5062-137	2018-08-23	2018-08-23	TOYSRUS.CA	30.58	CAD	30.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5965	Direct Marketing - Combination Catalog a	NERF BALLS
"PARKS, FORESTRY & RECREATION"	5062-138	2018-08-23	2018-08-23	TOYSRUS.CA	45.15	CAD	45.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5965	Direct Marketing - Combination Catalog a	SOCCER BALLS
"PARKS, FORESTRY & RECREATION"	5062-139	2018-08-23	2018-08-23	TOYSRUS.CA	154.75	CAD	154.75	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5965	Direct Marketing - Combination Catalog a	"SAND BOX, SOCCER NET"
"PARKS, FORESTRY & RECREATION"	5062-140	2018-08-24	2018-08-24	TOYSRUS.CA	66.64	CAD	66.64	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5965	Direct Marketing - Combination Catalog a	BASEBALL KIT
"PARKS, FORESTRY & RECREATION"	5064-32	2018-08-27	2018-08-27	METRO #750	96.93	CAD	96.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12901	YOUTH LOUNGE- CW	5411	"Grocery Stores, Supermarkets"	"JUICE, FRUIT TRAY"
"PARKS, FORESTRY & RECREATION"	5064-33	2018-08-27	2018-08-27	METRO #750	7.90	CAD	7.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12901	YOUTH LOUNGE- CW	5411	"Grocery Stores, Supermarkets"	JUICE
"PARKS, FORESTRY & RECREATION"	5065-45	2018-08-28	2018-08-28	MR. SOUVLAKI       QPS	519.80	CAD	519.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12901	YOUTH LOUNGE- CW	5814	Quick Payment Service - Fast-Food Restau	FOOD FOR YOUTH TRAINING
"PARKS, FORESTRY & RECREATION"	5066-41	2018-08-29	2018-08-29	TOYSRUS.CA	45.18	CAD	45.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	5965	Direct Marketing - Combination Catalog a	SOCCER BALLS
					"1,336.25"	CAD	"1,336.25"	CAD							
FLEET SERVICES	5066-42	2018-08-29	2018-08-29	DANATEC.COM	"1,456.23"	CAD	"1,456.23"	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	FL4001	FLEET SAFETY & TRAINING	5734	Computer Software Stores	8-DANATEC TRAINING HANDBOOK
					"1,456.23"	CAD	"1,456.23"	CAD							
"PARKS, FORESTRY & RECREATION"	5060-57	2018-08-21	2018-08-21	PAUL WOLF ELECTRIC & L	33.59	CAD	33.59	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	WALL STAT-UTILITY BOX
"PARKS, FORESTRY & RECREATION"	5065-46	2018-08-27	2018-08-28	CTF SUPPLY (11)	179.42	CAD	179.42	CAD	3080	M & E - HAND TOOLS	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5085	Industrial Supplies Not Elsewhere Classi	HOLE SAW 5-8 DRILL
"PARKS, FORESTRY & RECREATION"	5067-82	2018-08-30	2018-08-30	PAUL WOLF ELECTRIC & L	92.32	CAD	92.32	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	PHOTO-CONTROL
					305.33	CAD	305.33	CAD							
TORONTO WATER	5044-60	2018-08-01	2018-08-01	NOBLE 1017	30.42	CAD	30.42	CAD	2535	PLUMBING SUPPLIES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5251	Hardware Stores	COMPRESSION FITTING VALVE FOR LUNCHROOM SINK
TORONTO WATER	5045-149	2018-08-01	2018-08-02	CDN TIRE STORE #00654	24.84	CAD	24.84	CAD	2535	PLUMBING SUPPLIES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5200	Home Supply Warehouse	NEEDLE VALVE FOR LUNCHROOM SINK
TORONTO WATER	5052-111	2018-08-08	2018-08-09	CDN TIRE STORE #00654	144.50	CAD	144.50	CAD	2730	LOCKS	TW4036	WW TREATMT:ASHBRIDGES BAY TP-SOLIDS	5200	Home Supply Warehouse	"LOCKS, DEADBOLT, KEYS"
TORONTO WATER	5057-135	2018-08-16	2018-08-16	CDN TIRE STORE #00654	477.94	CAD	477.94	CAD	3050	M & E - KITCHEN	TW4036	WW TREATMT:ASHBRIDGES BAY TP-SOLIDS	5200	Home Supply Warehouse	"KETTLE, MICROWAVE, FRIDGE"
TORONTO WATER	5057-136	2018-08-17	2018-08-17	ULINE	71.08	CAD	71.08	CAD	2010	STATIONERY AND OFFICE SUPPLIES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5964	Direct Marketing - Catalog Merchants	3X4 2MIL WB RECLOSABLE BAG 1M/CT
TORONTO WATER	5062-141	2018-08-25	2018-08-25	ULINE	48.38	CAD	48.38	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5964	Direct Marketing - Catalog Merchants	1  SPLIT KEY RINGS 100/BG
					797.16	CAD	797.16	CAD							
SOLID WASTE MANAGEMENT	5057-137	2018-08-16	2018-08-16	THE HOME DEPOT #7078	224.12	CAD	224.12	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	*****	BLK COUNC SAL&BEN-C OOTES	5200	Home Supply Warehouse	**MORE**  VAC FILTER
SOLID WASTE MANAGEMENT	5060-58	2018-08-21	2018-08-21	ATLAS OVERHEAD DOORS I	173.57	CAD	173.57	CAD	2120	PARTS - MACHINERY & EQUIPMENT	SW0854	INGRAM TS SITE MAINTENANCE	1799	"Contractors, Special Trade - Not Elsewhe"	8' ALUMINUM WEATHER STRIP FOR MECHANICAL DOOR
SOLID WASTE MANAGEMENT	5063-15	2018-08-24	2018-08-24	SEALTECH SUPPLY	100.23	CAD	100.23	CAD	2120	PARTS - MACHINERY & EQUIPMENT	SW0851	COMMISSIONERS TS SITE MAINTENANCE	5085	Industrial Supplies Not Elsewhere Classi	HYDRAULIC CYLINDER SEALS FOR COMPACTORS
SOLID WASTE MANAGEMENT	5063-16	2018-08-24	2018-08-24	INTERIOR CO-ORDINATORS	"1,244.13"	CAD	"1,244.13"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0860	BERMONDSEY YARD SITE MAINTENANCE	7399	Business Services - Not Elsewhere Classi	BATHROOM PILASTERS
					"1,742.05"	CAD	"1,742.05"	CAD							
"PARKS, FORESTRY & RECREATION"	5055-59	2018-08-14	2018-08-14	FAIRGREEN SOD FARMS	517.91	CAD	517.91	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	SOD
"PARKS, FORESTRY & RECREATION"	5056-85	2018-08-14	2018-08-15	THE HOME DEPOT #7107	79.08	CAD	79.08	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	GARDEN HOSE
"PARKS, FORESTRY & RECREATION"	5061-61	2018-08-22	2018-08-22	SHERIDAN NURSERIES UNI	11.74	CAD	11.74	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	PLANTS
"PARKS, FORESTRY & RECREATION"	5061-62	2018-08-22	2018-08-22	VALLEYVIEW GARDENS	94.69	CAD	94.69	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	PLANTS
"PARKS, FORESTRY & RECREATION"	5061-63	2018-08-22	2018-08-22	SHERIDAN NURSERIES SCA	553.98	CAD	553.98	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	PLANTS
					"1,257.40"	CAD	"1,257.40"	CAD							
FACILITIES MANAGEMENT	5044-61	2018-07-31	2018-08-01	THE HOME DEPOT #7080	220.92	CAD	220.92	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61458977	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  38X112 NIPP
FACILITIES MANAGEMENT	5045-150	2018-08-03	2018-08-03	PAUL WOLF ELECTRIC & L	256.59	CAD	256.59	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61438408	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	ELECTRICAL UNIT HEATERS
FACILITIES MANAGEMENT	5056-86	2018-08-14	2018-08-15	CTF SUPPLY (11)	86.93	CAD	86.93	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61438408	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	MISC MATERIALS NEEDED
FACILITIES MANAGEMENT	5057-138	2018-08-16	2018-08-16	THE HOME DEPOT #7080	39.21	CAD	39.21	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61462493	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  1X20 CLEAR
FACILITIES MANAGEMENT	5057-139	2018-08-17	2018-08-17	THE MASTER GROUP CRANF	98.15	CAD	98.15	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61462630	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	FILTERS AND BELTS
FACILITIES MANAGEMENT	5062-142	2018-08-24	2018-08-24	TORONTO PARKING AUTHOR	6.00	CAD	6.00	CAD	4770	PARKING EXPENSES (INTOWN)	61463520	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7523	Automobile Parking Lots and Garages	PARKING RECEIPT
FACILITIES MANAGEMENT	5067-84	2018-08-30	2018-08-30	THE MASTER GROUP CRANF	316.75	CAD	316.75	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61463734	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS
FACILITIES MANAGEMENT	5067-85	2018-08-30	2018-08-30	THE MASTER GROUP CRANF	84.00	CAD	84.00	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61464087	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
					"1,108.55"	CAD	"1,108.55"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5044-62	2018-08-01	2018-08-01	ABOVEGROUND ENTERPRISE	70.99	CAD	70.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	7333	"Commercial Art, Graphics, Photography"	"WIRE, BEESWAX, GOLD LEAF, PANEL"
ECONOMIC DEVELOPMENT & CULTURE	5052-112	2018-08-09	2018-08-09	TANJORE INDIAN CUISINE	124.16	CAD	124.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5812	"Eating Places, Restaurants"	FOOD FOR PROGRAM
ECONOMIC DEVELOPMENT & CULTURE	5056-87	2018-08-13	2018-08-15	PRINT PHUSION	"2,661.15"	CAD	"2,661.15"	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	2741	Miscellaneous Publishing and Printing	BROCHURE PRINTING
ECONOMIC DEVELOPMENT & CULTURE	5057-140	2018-08-17	2018-08-17	DOLLARAMA # 435	14.18	CAD	14.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5310	Discount Stores	TABLECLOTHS
ECONOMIC DEVELOPMENT & CULTURE	5057-141	2018-08-17	2018-08-17	DESERRES	104.23	CAD	104.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5970	"Artist Supply Stores, Craft Shops"	"GIMP, FOAM"
ECONOMIC DEVELOPMENT & CULTURE	5058-29	2018-08-17	2018-08-17	BULK BARN #530 WHITBY	7.78	CAD	7.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5499	Miscellaneous Food Stores - Convenience	FOOD COLORING
ECONOMIC DEVELOPMENT & CULTURE	5058-30	2018-08-17	2018-08-17	WAL-MART # 3113	159.89	CAD	159.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5310	Discount Stores	"CHIPS, BALLOONS, JARS"
					"3,142.38"	CAD	"3,142.38"	CAD							
"PARKS, FORESTRY & RECREATION"	5045-151	2018-08-02	2018-08-02	THE HOME DEPOT #7013	38.31	CAD	38.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5200	Home Supply Warehouse	RAPIDPOST
"PARKS, FORESTRY & RECREATION"	5045-152	2018-08-03	2018-08-03	NEW CANADIAN LUMBER	15.80	CAD	15.80	CAD	2710	GENERAL HARDWARE	P10959	LAMPORT STADIUM-PRGM SUPPORT	5251	Hardware Stores	WHITE DUCT TAPE
"PARKS, FORESTRY & RECREATION"	5052-113	2018-08-09	2018-08-09	STAPLES STORE #86	28.19	CAD	28.19	CAD	2710	GENERAL HARDWARE	P00531	S-WEST 2-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	MICRO USB CORD
"PARKS, FORESTRY & RECREATION"	5058-31	2018-08-17	2018-08-17	DOWNTOWN RENTAL & BLDG	90.40	CAD	90.40	CAD	2770	GRAVEL	P00531	S-WEST 2-PRGM SUPPORT	5251	Hardware Stores	LIMESTONE SCREENING
"PARKS, FORESTRY & RECREATION"	5064-34	2018-08-27	2018-08-27	EARLSCOURT MARKET GARD	33.83	CAD	33.83	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00531	S-WEST 2-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	SOD
					206.53	CAD	206.53	CAD							
FIRE SERVICES	5044-63	2018-07-31	2018-08-01	MTO RUS-SO NORTH YORK	35.00	CAD	35.00	CAD	4830	PERMIT & LICENSE FEES	FR0025	MECHANICAL MAINT-VEHICLE MAINT	9399	Government Services - Not Elsewhere Clas	PLATE STICKER RENEWAL
					35.00	CAD	35.00	CAD							
"PARKS, FORESTRY & RECREATION"	5052-173	2018-08-09	2018-08-09	NOBLE 1038	54.35	CAD	54.35	CAD	2535	PLUMBING SUPPLIES	P00408	N-EAST-TURF&HORT	5251	Hardware Stores	DRINKING FOUNTAIN VALVES
"PARKS, FORESTRY & RECREATION"	5057-219	2018-08-17	2018-08-17	CENTENNIAL PLUMBING SU	67.77	CAD	67.77	CAD	2535	PLUMBING SUPPLIES	P07696	ANTIBES CC-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	"2"" NIPPPLE AND CAP"
"PARKS, FORESTRY & RECREATION"	5067-132	2018-08-30	2018-08-30	NOBLE 1038	79.10	CAD	79.10	CAD	2535	PLUMBING SUPPLIES	P07705	ORIOLE CC-OPERATIONS	5251	Hardware Stores	CROME TRAP
					201.22	CAD	201.22	CAD							
