Division	Batch-Transaction ID	Transaction Date	Card Posting Date	Merchant Name	Transaction Amount	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type (MCC)	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5092-92	2018-10-03	2018-10-04	THE HOME DEPOT #7027	113.52	CAD	113.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  ETCHFILM
"PARKS, FORESTRY & RECREATION"	5098-29	2018-10-12	2018-10-12	WAL-MART # 3111	16.88	CAD	16.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPECIAL EVENTS - OAKDALE CC	5411	"Grocery Stores, Supermarkets"	KEY TAGS
					646.68	CAD	646.68	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5092-118	2018-10-05	2018-10-05	CPC SCP/C168079464	"2,470.01"	CAD	"2,470.01"	CAD	4995	OTHER EXPENSES	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	4215	"Courier Services - Air & Ground, Freight"	DISTRIBUTION - MARKET GALLERY POST CARD BIKE CITY
ECONOMIC DEVELOPMENT & CULTURE	5098-40	2018-10-12	2018-10-12	PAYPAL *ABALEADESIG	678.00	CAD	678.00	CAD	4085	PROF & TECH-MGMT	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7333	"Commercial Art, Graphics, Photography"	GRAHIC DESIGN - HAUNTED HALLOWEEN DIGITAL ADS
ECONOMIC DEVELOPMENT & CULTURE	5098-41	2018-10-12	2018-10-12	PAYPAL *ABALEADESIG	565.00	CAD	565.00	CAD	4085	PROF & TECH-MGMT	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7333	"Commercial Art, Graphics, Photography"	GRAPHIC DESIGN - BIKE CITY TRANSIT SHELTER BIKE SHARE
ECONOMIC DEVELOPMENT & CULTURE	5101-58	2018-10-16	2018-10-17	PAYPAL *BRENDANJAME	926.00	CAD	926.00	CAD	4082	PHOTO/VIDEO SERVICES	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	8999	Professional Services - Not Elsewhere Cl	PHOTOGRAPHY - FORT YORK CANADA'S TABLE
ECONOMIC DEVELOPMENT & CULTURE	5102-120	2018-10-18	2018-10-18	HOO*HOOTSUITE INC	15.11	CAD	11.29	USD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	5968	Direct Marketing - Continuity/Subscripti	SOCIAL MEDIA ANALYTICS
ECONOMIC DEVELOPMENT & CULTURE	5107-136	2018-10-26	2018-10-26	INNOVATIVE RESPONSE MA	"1,896.14"	CAD	"1,896.14"	CAD	4995	OTHER EXPENSES	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7311	Advertising Services	MUSEUM MAGAZINE DISTRIBUTION
ECONOMIC DEVELOPMENT & CULTURE	5110-53	2018-10-29	2018-10-30	UPAKNEE EMAIL	271.20	CAD	271.20	CAD	4414	ADVERTISING & PROMOTION	AH0068	MH OS PROGRAM DESIGN & DEVELOPMENT	7392	"Consulting, Management, and Public Relat"	E-NEWS
					"6,821.46"	CAD	"6,806.35"	CAD							
							11.29	USD							
"PARKS, FORESTRY & RECREATION"	5104-30	2018-10-19	2018-10-22	PRINT THREE #28	96.05	CAD	96.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12901	YOUTH LOUNGE- CW	2741	Miscellaneous Publishing and Printing	DECALS
					96.05	CAD	96.05	CAD							
FLEET SERVICES	5089-47	2018-10-01	2018-10-01	RESCUE 7 INC.	411.60	CAD	411.60	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	FL4001	FLEET SAFETY & TRAINING	8299	Educational Services	P9-RESCUE STUDENT MATERIALS
FLEET SERVICES	5101-59	2018-10-16	2018-10-17	MTO RUS DRIVER CERT PR	"3,540.00"	CAD	"3,540.00"	CAD	4830	PERMIT & LICENSE FEES	FL4001	FLEET SAFETY & TRAINING	9399	Government Services - Not Elsewhere Clas	10-DRIVER CERTIFICATION PROGRAM
FLEET SERVICES	5102-121	2018-10-19	2018-10-19	PAYMENTS.IMPARK.COM	85.00	CAD	85.00	CAD	4517	PROV OFFENCES FINES	FL4001	FLEET SAFETY & TRAINING	7523	Automobile Parking Lots and Garages	10-PARKING INFRACTION
					"4,036.60"	CAD	"4,036.60"	CAD							
"PARKS, FORESTRY & RECREATION"	5100-62	2018-10-16	2018-10-16	PAUL WOLF ELECTRIC & L	363.68	CAD	363.68	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	175 WATT MOGAL BASE LAMPS
"PARKS, FORESTRY & RECREATION"	5101-60	2018-10-17	2018-10-17	PAUL WOLF ELECTRIC & L	51.69	CAD	51.69	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	TIME DELAY FUSES
"PARKS, FORESTRY & RECREATION"	5102-122	2018-10-19	2018-10-19	PAUL WOLF ELECTRIC & L	49.29	CAD	49.29	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	"E BOX , 1 INCH NIPPLES"
					464.66	CAD	464.66	CAD							
TORONTO WATER	5089-48	2018-10-01	2018-10-01	SHOPPERS DRUG MART #12	22.23	CAD	22.23	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	7399	Business Services - Not Elsewhere Classi	COURIER TO USA
TORONTO WATER	5092-119	2018-10-04	2018-10-04	FEDEX-YBZ	107.00	CAD	107.00	CAD	*****	COURIER SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	4215	"Courier Services - Air & Ground, Freight"	SCANNER DUTIES
TORONTO WATER	5092-120	2018-10-05	2018-10-05	CANADIAN DYERS  CLEANE	520.40	CAD	520.40	CAD	4419	LAUNDRY SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	7216	Dry Cleaners	LAUNDRY SERVICES FOR ABTP STAFF
TORONTO WATER	5097-106	2018-10-11	2018-10-11	CDN TIRE STORE #00654	372.85	CAD	372.85	CAD	2610	KITCHEN SUPPLIES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5200	Home Supply Warehouse	KITCHEN APPLIANCES-ATBP WA2
TORONTO WATER	5097-107	2018-10-12	2018-10-12	CANADIAN DYERS  CLEANE	646.50	CAD	646.50	CAD	4419	LAUNDRY SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	7216	Dry Cleaners	LAUNDRY SERVICES FOR ABTP STAFF
TORONTO WATER	5102-123	2018-10-19	2018-10-19	CANADIAN DYERS  CLEANE	488.80	CAD	488.80	CAD	4419	LAUNDRY SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	7216	Dry Cleaners	LAUNDRY SERVICES FOR ABTP STAFF
					"2,157.78"	CAD	"2,157.78"	CAD							
SOLID WASTE MANAGEMENT	5091-64	2018-10-04	2018-10-04	TYSON TOOL COMPANY	444.97	CAD	444.97	CAD	2120	PARTS - MACHINERY & EQUIPMENT	SW0852	DISCO TS SITE MAINTENANCE	5251	Hardware Stores	PARTS AND TOOLS TO REPAIR FANS
SOLID WASTE MANAGEMENT	5111-50	2018-10-31	2018-10-31	WALECO INC	321.26	CAD	321.26	CAD	2120	PARTS - MACHINERY & EQUIPMENT	SW0850	BERMONDSEY TS SITE MAINTENANCE	7399	Business Services - Not Elsewhere Classi	AUTOMATIC NOZZLE
					766.23	CAD	766.23	CAD							
"PARKS, FORESTRY & RECREATION"	5091-65	2018-10-02	2018-10-03	THE HOME DEPOT #7107	433.22	CAD	433.22	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  HAMMER TAC
"PARKS, FORESTRY & RECREATION"	5091-66	2018-10-03	2018-10-03	VANDERMEER NURSERY	33.87	CAD	33.87	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5193	"Florists Supplies, Nursery Stock, and Fl"	CONTAINER SUPPLIES
"PARKS, FORESTRY & RECREATION"	5092-121	2018-10-04	2018-10-04	THE HOME DEPOT #7107	299.88	CAD	299.88	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	R12-15 CONT
"PARKS, FORESTRY & RECREATION"	5094-35	2018-10-05	2018-10-08	THE HOME DEPOT #7107	27.65	CAD	27.65	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	TARP 8X10
"PARKS, FORESTRY & RECREATION"	5102-124	2018-10-17	2018-10-18	THE HOME DEPOT #7107	223.74	CAD	223.74	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	M18-2KITCT
"PARKS, FORESTRY & RECREATION"	5106-53	2018-10-23	2018-10-24	THE HOME DEPOT #7107	-223.74	CAD	-223.74	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	M18-2KITCT
"PARKS, FORESTRY & RECREATION"	5111-51	2018-10-30	2018-10-31	THE HOME DEPOT #7107	104.91	CAD	104.91	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	**MORE**  STAPLE GUN
"PARKS, FORESTRY & RECREATION"	5111-52	2018-10-31	2018-10-31	RONA # 55140	169.47	CAD	169.47	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5251	Hardware Stores	WIRE MESH
					"1,069.00"	CAD	"1,069.00"	CAD							
FACILITIES MANAGEMENT	5089-49	2018-10-01	2018-10-01	ONTARIO HEATING ROGERS	113.25	CAD	113.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61467832	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	MOTORS
FACILITIES MANAGEMENT	5090-59	2018-10-02	2018-10-02	ENGINEERED AIR	485.90	CAD	485.90	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61471772	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	PARTS RECEIPT
FACILITIES MANAGEMENT	5090-60	2018-10-02	2018-10-02	ENGINEERED AIR	485.90	CAD	485.90	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61472327	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	MAKE UP AIR 2 PARTS
FACILITIES MANAGEMENT	5090-61	2018-10-02	2018-10-02	ENGINEERED AIR	386.46	CAD	386.46	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61472327	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	PARTS RECEIPT 2
FACILITIES MANAGEMENT	5090-62	2018-10-02	2018-10-02	THE MASTER GROUP CRANF	390.89	CAD	390.89	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61472287	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5090-63	2018-10-02	2018-10-02	THE MASTER GROUP CRANF	19.85	CAD	19.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61467832	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	MOTOR 3
FACILITIES MANAGEMENT	5095-38	2018-10-09	2018-10-09	PAUL WOLF ELECTRIC & L	49.17	CAD	49.17	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61472987	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5095-39	2018-10-09	2018-10-09	ONTARIO HEATING PINE	258.62	CAD	258.62	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61472763	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	PARTS RECEIPT
FACILITIES MANAGEMENT	5096-56	2018-10-10	2018-10-10	WWG / TOTALINE	481.27	CAD	481.27	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61472999	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	PARTS RECEIPT
FACILITIES MANAGEMENT	5099-44	2018-10-15	2018-10-15	PAUL WOLF ELECTRIC & L	64.85	CAD	64.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61463055	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	ELECTRICAL SUPPLIES
FACILITIES MANAGEMENT	5101-61	2018-10-17	2018-10-17	LENNOX CANADA INC	539.45	CAD	539.45	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61472452	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5965	Direct Marketing - Combination Catalog a	PARTS 1 RECEIPT - INVOICE IS ONE TOTAL BUT SEPARATE TRANSACTIONS
FACILITIES MANAGEMENT	5101-62	2018-10-17	2018-10-17	LENNOX CANADA INC	"1,978.49"	CAD	"1,978.49"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61472452	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5965	Direct Marketing - Combination Catalog a	PARTS 2 RECEIPT
FACILITIES MANAGEMENT	5101-63	2018-10-17	2018-10-17	LENNOX CANADA INC	216.51	CAD	216.51	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61472452	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5965	Direct Marketing - Combination Catalog a	PARTS 3 RECEIPT
FACILITIES MANAGEMENT	5102-125	2018-10-19	2018-10-19	ONTARIO HEATING PINE	44.70	CAD	44.70	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61474342	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	PARTS RECEIPT
FACILITIES MANAGEMENT	5102-126	2018-10-18	2018-10-18	WWG / TOTALINE	402.17	CAD	402.17	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61474057	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	PARTS RECEIPT
FACILITIES MANAGEMENT	5102-127	2018-10-18	2018-10-18	THE MASTER GROUP CRANF	354.21	CAD	354.21	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61474081	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5102-128	2018-10-18	2018-10-18	THE MASTER GROUP CRANF	126.66	CAD	126.66	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61473870	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5106-54	2018-10-24	2018-10-24	PAUL WOLF ELECTRIC & L	"1,051.74"	CAD	"1,051.74"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61474454	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	ELECTRIC HEATER
FACILITIES MANAGEMENT	5107-137	2018-10-26	2018-10-26	THE MASTER GROUP CRANF	186.77	CAD	186.77	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61475304	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS RECEIPT
FACILITIES MANAGEMENT	5107-138	2018-10-26	2018-10-26	THE MASTER GROUP CRANF	417.31	CAD	417.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61475398	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	TEMP CONTROLLER
FACILITIES MANAGEMENT	5109-44	2018-10-29	2018-10-29	APPLIED INDUSTRIAL TEC	248.70	CAD	248.70	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61475338	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	PARTS RECEIPT
FACILITIES MANAGEMENT	5109-45	2018-10-29	2018-10-29	APPLIED INDUSTRIAL TEC	26.43	CAD	26.43	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61474329	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5085	Industrial Supplies Not Elsewhere Classi	BELTS
FACILITIES MANAGEMENT	5111-53	2018-10-29	2018-10-31	UNITED REFRIGERATION	230.47	CAD	230.47	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61475338	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	FILTERS
					"8,559.77"	CAD	"8,559.77"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5089-50	2018-10-01	2018-10-01	TUCKERS POTTERY SUPPLI	"5,741.87"	CAD	"5,741.87"	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5970	"Artist Supply Stores, Craft Shops"	"CLAY TOOLS, POTTERY WHEEL, GLAZE INGREDIENTS"
ECONOMIC DEVELOPMENT & CULTURE	5089-51	2018-09-28	2018-10-01	CDN TIRE STORE #00175	298.17	CAD	298.17	CAD	3099	GENERAL EQUIPMENT	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5200	Home Supply Warehouse	"SPONGES, LIGHT"
ECONOMIC DEVELOPMENT & CULTURE	5089-52	2018-09-28	2018-10-01	CDN TIRE STORE #00175	361.55	CAD	361.55	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5200	Home Supply Warehouse	"FANS, LIGHTBULB"
ECONOMIC DEVELOPMENT & CULTURE	5090-64	2018-10-01	2018-10-02	THE HOME DEPOT #7238	77.85	CAD	77.85	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5200	Home Supply Warehouse	**MORE**  OOK50FT19G
