Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2597-3	07-23-2013	07-25-2013	METRO #853	6.29	CAD	6.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13346	SUMMERCAMP - WARDEN	5411	"Grocery Stores, Supermarkets"	ICE CREAM	
"PARKS, FORESTRY & RECREATION"	2597-4	07-24-2013	07-25-2013	DOLLAR GIANT #40100	72.04	CAD	72.04	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5331	Variety Stores	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2599-1	07-25-2013	07-26-2013	MICHAELS STORE #3621	210.86	CAD	210.86	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5945	"Game, Toy, and Hobby Shops"	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2601-1	07-25-2013	07-29-2013	YOUR DOLLAR STORE WITH	126.00	CAD	126.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5999	Miscellaneous and Specialty Retail Store	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2603-2	07-29-2013	07-30-2013	LOBLAWS #1001	66.86	CAD	66.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13346	SUMMERCAMP - WARDEN	5411	"Grocery Stores, Supermarkets"	"TURKEY PEPPERONI, RED ONION, MUSHROOMS,PEPPERS"	
"PARKS, FORESTRY & RECREATION"	2606-1	07-30-2013	07-31-2013	DOLLAR GIANT #40100	58.76	CAD	58.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5331	Variety Stores	CAMP SUPPLIES	
					"3,872.93"	CAD	"3,872.93"	CAD								
"PARKS, FORESTRY & RECREATION"	2560-1	06-28-2013	07-02-2013	NOFRILLS JOSE'S #3470	127.78	CAD	127.78	CAD	4820	BUSINESS MEETING EXPENSES	P12520	RE-SP-CAN-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD FOR STAFF & VOLUNTEERS	
"PARKS, FORESTRY & RECREATION"	2560-2	06-29-2013	07-02-2013	NOFRILLS DICKIES 752	41.73	CAD	41.73	CAD	4820	BUSINESS MEETING EXPENSES	P12520	RE-SP-CAN-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD FOR STAFF & VOLUNTEERS	
"PARKS, FORESTRY & RECREATION"	2560-3	06-30-2013	07-02-2013	RCSS SCARBOROUGH #2809	140.94	CAD	140.94	CAD	4820	BUSINESS MEETING EXPENSES	P12520	RE-SP-CAN-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD FOR STAFF & VOLUNTEERS	
"PARKS, FORESTRY & RECREATION"	2567-4	07-04-2013	07-05-2013	WILLIAMS TOWING SERVIC	169.50	CAD	169.50	CAD	4404	CONTR SERVICES - LICENSED VEHICLES&EQUIP	P12520	RE-SP-CAN-E CENTRAL	7549	Towing Services	TOWING OF TRUCK RE: BOUNCY CASTLE CDA DAY	
"PARKS, FORESTRY & RECREATION"	2597-5	07-24-2013	07-25-2013	STAPLES 263	79.94	CAD	79.94	CAD	2650	COMPUTER AND PRINTER SUPPLIES	P13335	WARDEN CC - PRGM SUP	5943	"Office, School Supply, and Stationery St"	LOGITECH MOUSE	
					559.89	CAD	559.89	CAD								
"PARKS, FORESTRY & RECREATION"	2567-5	07-03-2013	07-05-2013	WAL-MART # 3145	93.03	CAD	93.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	SUMMER CAMP REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2567-6	07-03-2013	07-05-2013	WMT SUPRCTR #1116	129.67	CAD	129.67	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	SUMMER CAMP REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2567-7	07-04-2013	07-05-2013	NOFRILLS VITO'S #3936	77.30	CAD	77.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	SUMMER CAMP FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2567-8	07-04-2013	07-05-2013	SHOPPERSDRUGMART0881	4.51	CAD	4.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5912	"Drug Stores, Pharmacies"	SUMMER CAMP FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2567-9	07-04-2013	07-05-2013	FAMOUS PLAYER #7406QPS	367.00	CAD	367.00	CAD	4118	TICKETS AND ADMISSION FEES	P04656	GRANDRAVINE-SUMR CAM	7832	Motion Picture Theaters	SUMMER CAMP ADMISSIONS	
"PARKS, FORESTRY & RECREATION"	2569-3	07-04-2013	07-08-2013	JACK WATSON SPORTS INC	361.15	CAD	361.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5941	Sporting Goods Stores	SUMMER CAMP REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2569-4	07-04-2013	07-08-2013	BARGAIN CLUB	5.52	CAD	5.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5310	Discount Stores	SUMMER CAMP REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2575-3	07-10-2013	07-11-2013	FESTIVAL XPRESS	824.90	CAD	824.90	CAD	4118	TICKETS AND ADMISSION FEES	P04656	GRANDRAVINE-SUMR CAM	7922	Theatrical Producers (except Motion Pict	SUMMER CAMP ADMISSIONS	
"PARKS, FORESTRY & RECREATION"	2577-2	07-11-2013	07-12-2013	NOFRILLS VITO'S #3936	85.08	CAD	85.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	SUMMER CAMP FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2579-5	07-12-2013	07-15-2013	NOFRILLS VITO'S #3936	85.34	CAD	85.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	SUMMER CAMP FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2579-6	07-12-2013	07-15-2013	BARGAIN CLUB	10.15	CAD	10.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5310	Discount Stores	SUMMER CAMP REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2596-4	07-23-2013	07-24-2013	LONG   MCQUADE #60	242.55	CAD	242.55	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VIS	5733	"Music Stores - Musical Instruments, Pian"	FALL PROGRAM REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2596-5	07-23-2013	07-24-2013	LONG   MCQUADE #60	80.80	CAD	80.80	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P05874	GRANDRAVINE-ARTS-VIS	5733	"Music Stores - Musical Instruments, Pian"	GUITAR REPAIR - LABOUR & MATERIALS	
"PARKS, FORESTRY & RECREATION"	2599-2	07-25-2013	07-26-2013	BATHURST BOWLERAMA	461.05	CAD	461.05	CAD	4118	TICKETS AND ADMISSION FEES	P04656	GRANDRAVINE-SUMR CAM	7933	Bowling Alleys	SUMMER CAMP ADMISSIONS	
"PARKS, FORESTRY & RECREATION"	2599-3	07-25-2013	07-26-2013	STAPLES #1	51.84	CAD	51.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5943	"Office, School Supply, and Stationery St"	SUMMER CAMP REC SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2603-3	07-29-2013	07-30-2013	NOFRILLS VITO'S #3936	63.12	CAD	63.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	SUMMER CAMP FOOD SUPPLIES	
					"2,943.01"	CAD	"2,943.01"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2569-5	07-05-2013	07-08-2013	NOFRILLS ROB S  1397	28.51	CAD	28.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	FRUITS & SNACKS FOR SUMMER CAMP	
ECONOMIC DEVELOPMENT & CULTURE	2573-1	07-09-2013	07-10-2013	HOMESENSE 086	90.38	CAD	90.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUB-COLBORNE L	5651	Family Clothing Stores	COPPER POTS FOR FOOD DEMONSTRATIONS	
ECONOMIC DEVELOPMENT & CULTURE	2577-3	07-11-2013	07-12-2013	NOFRILLS ROB S  1397	19.80	CAD	19.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	FRUITS & SNACKS FOR SUMMER CAMP	
ECONOMIC DEVELOPMENT & CULTURE	2583-1	07-16-2013	07-17-2013	NOFRILLS ROB S  1397	12.00	CAD	12.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	LEMONS FOR CAMP PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	2585-1	07-17-2013	07-18-2013	NOFRILLS NICHOLSONS	9.95	CAD	9.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	FRUITS & SNACKS FOR SUMMER CAMP	
ECONOMIC DEVELOPMENT & CULTURE	2601-2	07-28-2013	07-29-2013	NOFRILLS LUCIANO'S #34	9.50	CAD	9.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	FRUITS & SNACKS FOR SUMMER CAMP	
					170.14	CAD	170.14	CAD								
"PARKS, FORESTRY & RECREATION"	2580-1	07-15-2013	07-16-2013	PARKDALE HOME HDWRE 13	43.39	CAD	43.39	CAD	2710	GENERAL HARDWARE	P10446	MASARYK COWAN-PGM SU	5251	Hardware Stores	"HARDWARE, PAINT, SANDPAPER"	
"PARKS, FORESTRY & RECREATION"	2583-2	07-15-2013	07-17-2013	WAL-MART # 3106	92.28	CAD	92.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06437	MASARYK COWAN-SPORTS	5411	"Grocery Stores, Supermarkets"	CAMP PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2591-1	07-19-2013	07-22-2013	PARKDALE HOME HDWRE 13	7.90	CAD	7.90	CAD	2575	ELECTRICAL SUPPLIES	P10446	MASARYK COWAN-PGM SU	5251	Hardware Stores	POWERBAR EXTENSION CORD	
"PARKS, FORESTRY & RECREATION"	2599-4	07-25-2013	07-26-2013	NOFRILLS PETER'S 3926	8.32	CAD	8.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06437	MASARYK COWAN-SPORTS	7999	Recreation Services (Not Elsewhere Class	FOOD FOR PROGRAM	
					151.89	CAD	151.89	CAD								
"PARKS, FORESTRY & RECREATION"	2569-6	07-05-2013	07-08-2013	PRINCESS AUTO #36	201.09	CAD	201.09	CAD	2199	MISCELLANEOUS PARTS	P12856	RAVWTRMAINT	5085	Industrial Supplies Not Elsewhere Classi	*****	
"PARKS, FORESTRY & RECREATION"	2596-6	07-23-2013	07-24-2013	PRINCESS AUTO #36	128.75	CAD	128.75	CAD	2199	MISCELLANEOUS PARTS	P12856	RAVWTRMAINT	5085	Industrial Supplies Not Elsewhere Classi	"TARPS, STRAP TOW"	
"PARKS, FORESTRY & RECREATION"	2599-5	07-24-2013	07-26-2013	ONEIDA EQUIPMENT LTD	271.70	CAD	271.70	CAD	2199	MISCELLANEOUS PARTS	P12856	RAVWTRMAINT	5712	"Equipment, Furniture, and Home Furnishin"	"CHAIN, FILE KIT"	
					601.54	CAD	601.54	CAD								
"PARKS, FORESTRY & RECREATION"	2560-4	06-28-2013	07-02-2013	CDN TIRE STORE #00427	118.50	CAD	118.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13307	HOLIDYCAMP-SENECAVLG	5200	Home Supply Warehouse	"BADMINTON RACKETS, BIRDIES"	
"PARKS, FORESTRY & RECREATION"	2560-5	06-30-2013	07-02-2013	SEARS PICKERING TOWN C	677.99	CAD	677.99	CAD	3085	M & E - AIR CONDITIONING	P06052	EDITHVALE CC-SOC PGM	5999	Miscellaneous and Specialty Retail Store	PORTABLE AIR CONDITIONER	
"PARKS, FORESTRY & RECREATION"	2562-1	07-02-2013	07-03-2013	MICHAELS #4910	41.72	CAD	41.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13307	HOLIDYCAMP-SENECAVLG	5945	"Game, Toy, and Hobby Shops"	ART STENCILS FOR CAMP	
"PARKS, FORESTRY & RECREATION"	2573-2	07-09-2013	07-10-2013	MICHAELS #4910	-38.36	CAD	-38.36	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13307	HOLIDYCAMP-SENECAVLG	5945	"Game, Toy, and Hobby Shops"	RETURNED - ART STENCILS	
"PARKS, FORESTRY & RECREATION"	2573-3	07-09-2013	07-10-2013	MICHAELS #4910	43.70	CAD	43.70	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13307	HOLIDYCAMP-SENECAVLG	5945	"Game, Toy, and Hobby Shops"	BEAD BOARDS	
"PARKS, FORESTRY & RECREATION"	2596-7	07-23-2013	07-24-2013	LONG   MCQUADE MUSIC	259.90	CAD	259.90	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P12006	LASTMAN SQ-AIRS-PGM	5733	"Music Stores - Musical Instruments, Pian"	SPEAKER STANDS	
"PARKS, FORESTRY & RECREATION"	2599-6	07-24-2013	07-26-2013	WAL-MART # 3111	100.29	CAD	100.29	CAD	3032	M & E - PHOTOGRAPHIC	P12005	LASTMAN SQ-AIRS-OPS	5411	"Grocery Stores, Supermarkets"	CAMERA	
"PARKS, FORESTRY & RECREATION"	2599-7	07-25-2013	07-26-2013	FABRICLAND DISTRIBUTOR	254.25	CAD	254.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07197	CUMMER-FIT	5949	"Fabric, Needlework, Piece Goods, and Sew"	FABRIC	
					"1,457.99"	CAD	"1,457.99"	CAD								
"PARKS, FORESTRY & RECREATION"	2560-6	06-27-2013	07-02-2013	MR METAL(ETOBICOKE) IN	66.60	CAD	66.60	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	METAL	
"PARKS, FORESTRY & RECREATION"	2563-1	07-02-2013	07-04-2013	MR METAL(ETOBICOKE) IN	78.61	CAD	78.61	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STEEL	
"PARKS, FORESTRY & RECREATION"	2571-1	07-05-2013	07-09-2013	MR METAL(ETOBICOKE) IN	50.04	CAD	50.04	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STEEL	
"PARKS, FORESTRY & RECREATION"	2571-2	07-05-2013	07-09-2013	CDN TIRE STORE #00654	22.54	CAD	22.54	CAD	2715	PAINT SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	PRIMER - GREY	
"PARKS, FORESTRY & RECREATION"	2579-7	07-11-2013	07-15-2013	MR METAL(ETOBICOKE) IN	156.91	CAD	156.91	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STEEL	
"PARKS, FORESTRY & RECREATION"	2589-2	07-17-2013	07-19-2013	MR METAL(ETOBICOKE) IN	30.24	CAD	30.24	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STEEL	
"PARKS, FORESTRY & RECREATION"	2592-2	07-19-2013	07-23-2013	MR METAL(ETOBICOKE) IN	41.15	CAD	41.15	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STEEL	
"PARKS, FORESTRY & RECREATION"	2597-6	07-23-2013	07-25-2013	MR METAL(ETOBICOKE) IN	47.84	CAD	47.84	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STEEL	
"PARKS, FORESTRY & RECREATION"	2603-4	07-26-2013	07-30-2013	NOBLE 52010	39.24	CAD	39.24	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	4WELDCAP	
"PARKS, FORESTRY & RECREATION"	2606-2	07-29-2013	07-31-2013	MR METAL(ETOBICOKE) IN	86.87	CAD	86.87	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STEEL	
					620.04	CAD	620.04	CAD								
"PARKS, FORESTRY & RECREATION"	2560-7	06-28-2013	07-02-2013	LOWES #03096*	61.18	CAD	61.18	CAD	*****	ELECTRICAL SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2560-8	06-28-2013	07-02-2013	ISLINGTON NURSERIES LI	169.50	CAD	169.50	CAD	2770	GRAVEL	P00656	CENTENNIAL PK-PGM SU	5261	Lawn and Garden Supply Stores	3/4 CLEAR GRAVEL	
"PARKS, FORESTRY & RECREATION"	2585-2	07-16-2013	07-18-2013	N.A. YORKE MACHINERY C	847.50	CAD	847.50	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00656	CENTENNIAL PK-PGM SU	7699	Miscellaneous Repair Shops and Related S	PART FOR GRINDER BLADE	
"PARKS, FORESTRY & RECREATION"	2596-8	07-23-2013	07-24-2013	LOWES #03096*	121.48	CAD	121.48	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P10960	CENTENNIAL STADIUM-O	5200	Home Supply Warehouse	10HOT GALV SPIRAL SPIKES PC	
"PARKS, FORESTRY & RECREATION"	2597-7	07-24-2013	07-25-2013	MAR CO CLAY PRODUCT	213.19	CAD	213.19	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P10960	CENTENNIAL STADIUM-O	5193	"Florists Supplies, Nursery Stock, and Fl"	CLAY FOR CRICKET PITCHES	
"PARKS, FORESTRY & RECREATION"	2601-3	07-25-2013	07-29-2013	THE HOME DEPOT #7011	16.51	CAD	16.51	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2601-4	07-25-2013	07-29-2013	ETOBICOKE RENTAL   SMA	93.23	CAD	93.23	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P10960	CENTENNIAL STADIUM-O	7394	"Equipment Rental and Leasing Services, F"	RENTAL OF TAMPER FOR CRICKET WICKETS	
"PARKS, FORESTRY & RECREATION"	2606-3	07-26-2013	07-31-2013	JACK WATSON SPORTS INC	471.21	CAD	471.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10960	CENTENNIAL STADIUM-O	5941	Sporting Goods Stores	SOCCER NETS	
					"1,993.80"	CAD	"1,993.80"	CAD								
"PARKS, FORESTRY & RECREATION"	2573-4	07-08-2013	07-10-2013	SP S COMM SWIMMING POO	648.62	CAD	648.62	CAD	2535	PLUMBING SUPPLIES	P06682	BRDLANDS CC-OPERATIO	5996	Swimming Pools - Sales and Supplies	SENSOR	
"PARKS, FORESTRY & RECREATION"	2573-5	07-09-2013	07-10-2013	WATER AND ICE NORTH AM	802.30	CAD	802.30	CAD	2535	PLUMBING SUPPLIES	P12302	RW-OU-OPO-FAIRBANK	5996	Swimming Pools - Sales and Supplies	PUMP HEAD	
"PARKS, FORESTRY & RECREATION"	2575-4	07-09-2013	07-11-2013	SP S COMM SWIMMING POO	277.98	CAD	277.98	CAD	2535	PLUMBING SUPPLIES	P07696	ANTIBES CC-OPERATION	5996	Swimming Pools - Sales and Supplies	5 MICRON STRING WOUND	
"PARKS, FORESTRY & RECREATION"	2579-8	07-11-2013	07-15-2013	CONVAL EQUIPMENT	791.00	CAD	791.00	CAD	2535	PLUMBING SUPPLIES	P07706	PLEASANTVIEW CC-OPER	5085	Industrial Supplies Not Elsewhere Classi	PLASTOMATIC VALVE	
