Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2550-2	06-21-2013	06-24-2013	HOULT HELLEWELL	255.27	CAD	255.27	CAD	2791	"RIBBONS, MEDALS & TROPHIES"	P13347	GENINT&CLB - WARDEN	5999	Miscellaneous and Specialty Retail Store	MEDALS FOR BASKETBALL LEAGUE COMPETITION	
					255.27	CAD	255.27	CAD								
"PARKS, FORESTRY & RECREATION"	2554-1	06-25-2013	06-26-2013	NOFRILLS JOSE'S #3470	59.10	CAD	59.10	CAD	4820	BUSINESS MEETING EXPENSES	P12520	RE-SP-CAN-E CENTRAL	5411	"Grocery Stores, Supermarkets"	WATER FOR STAFF & VOLUNTEERS	
"PARKS, FORESTRY & RECREATION"	2560-1	06-28-2013	07-02-2013	NOFRILLS JOSE'S #3470	127.78	CAD	127.78	CAD	4820	BUSINESS MEETING EXPENSES	P12520	RE-SP-CAN-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD FOR STAFF & VOLUNTEERS	
"PARKS, FORESTRY & RECREATION"	2560-2	06-29-2013	07-02-2013	NOFRILLS DICKIES 752	41.73	CAD	41.73	CAD	4820	BUSINESS MEETING EXPENSES	P12520	RE-SP-CAN-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD FOR STAFF & VOLUNTEERS	
"PARKS, FORESTRY & RECREATION"	2560-3	06-30-2013	07-02-2013	RCSS SCARBOROUGH #2809	140.94	CAD	140.94	CAD	4820	BUSINESS MEETING EXPENSES	P12520	RE-SP-CAN-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD FOR STAFF & VOLUNTEERS	
					369.55	CAD	369.55	CAD								
"PARKS, FORESTRY & RECREATION"	2520-1	06-03-2013	06-04-2013	NOFRILLS VITO'S #3936	53.91	CAD	53.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	SPRING SESSION COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2535-2	06-11-2013	06-12-2013	J   J CRAFTS	407.60	CAD	407.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04677	RODING-SUMR CAMP	5970	"Artist Supply Stores, Craft Shops"	ART SUPPLIES FOR CAMP	
"PARKS, FORESTRY & RECREATION"	2535-3	06-11-2013	06-12-2013	MARCHANT'S SCHOOL SPOR	86.33	CAD	86.33	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09686	BARBARA FRUM-INSTRL	5941	Sporting Goods Stores	SOCCER BALLS	
"PARKS, FORESTRY & RECREATION"	2557-1	06-26-2013	06-28-2013	WAL-MART # 3145	56.50	CAD	56.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	BLUE POOLS	
					604.34	CAD	604.34	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2542-4	06-15-2013	06-17-2013	MARSHALLS 709	16.94	CAD	16.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUB-COLBORNE L	5651	Family Clothing Stores	BELL FOR PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	2552-1	06-24-2013	06-25-2013	NOFRILLS ROB S  1397	8.98	CAD	8.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	LEMONS & CORN FOR PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	2556-1	06-26-2013	06-27-2013	NOFRILLS ROB S  1397	82.33	CAD	82.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"BUTTER, CHEESE, CARROT, GRANOLA BAR FOR CAMP"	
ECONOMIC DEVELOPMENT & CULTURE	2557-2	06-27-2013	06-28-2013	NOFRILLS ROB S  1397	20.26	CAD	20.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"MOLASSES, GRAHAM, SODAS, GRANOLA BAR FOR CAMP"	
					128.51	CAD	128.51	CAD								
"PARKS, FORESTRY & RECREATION"	2535-4	06-10-2013	06-12-2013	WAL-MART # 3000	48.39	CAD	48.39	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12856	RAVWTRMAINT	5310	Discount Stores	ROPE	
"PARKS, FORESTRY & RECREATION"	2539-1	06-13-2013	06-14-2013	PRINCESS AUTO #36	170.54	CAD	170.54	CAD	2710	GENERAL HARDWARE	P12856	RAVWTRMAINT	5085	Industrial Supplies Not Elsewhere Classi	"TAPE MEASURE,TIE DOWNS,AXE, GENERAL HRDW"	
					218.93	CAD	218.93	CAD								
"PARKS, FORESTRY & RECREATION"	2537-1	06-11-2013	06-13-2013	WAL-MART # 3111	68.76	CAD	68.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01050	SPCEVNT-MEL LASTMAN	5411	"Grocery Stores, Supermarkets"	PING PONG EQUIPMENT	
"PARKS, FORESTRY & RECREATION"	2547-2	06-20-2013	06-21-2013	LOBLAWS #1001	40.68	CAD	40.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01050	SPCEVNT-MEL LASTMAN	5411	"Grocery Stores, Supermarkets"	WATER CONTAINERS	
"PARKS, FORESTRY & RECREATION"	2556-2	06-25-2013	06-27-2013	METRO #853	85.02	CAD	85.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01050	SPCEVNT-MEL LASTMAN	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2560-4	06-28-2013	07-02-2013	CDN TIRE STORE #00427	118.50	CAD	118.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13307	HOLIDYCAMP-SENECAVLG	5200	Home Supply Warehouse	"BADMINTON RACKETS, BIRDIES"	
"PARKS, FORESTRY & RECREATION"	2560-5	06-30-2013	07-02-2013	SEARS PICKERING TOWN C	677.99	CAD	677.99	CAD	3085	M & E - AIR CONDITIONING	P06052	EDITHVALE CC-SOC PGM	5999	Miscellaneous and Specialty Retail Store	PORTABLE AIR CONDITIONER	
"PARKS, FORESTRY & RECREATION"	2562-1	07-02-2013	07-03-2013	MICHAELS #4910	41.72	CAD	41.72	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13307	HOLIDYCAMP-SENECAVLG	5945	"Game, Toy, and Hobby Shops"	ART STENCILS FOR CAMP	
					"1,032.67"	CAD	"1,032.67"	CAD								
"PARKS, FORESTRY & RECREATION"	2529-2	06-05-2013	06-07-2013	CDN TIRE STORE #00654	34.96	CAD	34.96	CAD	2715	PAINT SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	RUST PAINT	
"PARKS, FORESTRY & RECREATION"	2535-5	06-10-2013	06-12-2013	MR METAL(ETOBICOKE) IN	24.02	CAD	24.02	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	METAL	
"PARKS, FORESTRY & RECREATION"	2537-2	06-11-2013	06-13-2013	BUNNING SPLICING   RIG	87.01	CAD	87.01	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	HOOKS	
"PARKS, FORESTRY & RECREATION"	2542-5	06-12-2013	06-17-2013	PACIFIC FASTENERS (198	120.77	CAD	120.77	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	HARDWARE	
"PARKS, FORESTRY & RECREATION"	2543-1	06-14-2013	06-18-2013	MR METAL(ETOBICOKE) IN	20.06	CAD	20.06	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	METAL	
"PARKS, FORESTRY & RECREATION"	2545-2	06-17-2013	06-19-2013	NOBLE 52010	89.39	CAD	89.39	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	CAPS	
"PARKS, FORESTRY & RECREATION"	2546-1	06-18-2013	06-20-2013	APPLIED INDUSTRIAL TEC	31.87	CAD	31.87	CAD	2401	LUBRICANTS	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	LUBE KIT	
"PARKS, FORESTRY & RECREATION"	2560-6	06-27-2013	07-02-2013	MR METAL(ETOBICOKE) IN	66.60	CAD	66.60	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	METAL	
					474.68	CAD	474.68	CAD								
"PARKS, FORESTRY & RECREATION"	2520-2	06-03-2013	06-04-2013	LOWES #03096*	159.17	CAD	159.17	CAD	*****	BLDG REPAIRS & RENOVATION SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2531-1	06-06-2013	06-10-2013	L A MUSIC	135.59	CAD	135.59	CAD	3020	M & E - COMMUNICATIONS	P10960	CENTENNIAL STADIUM-O	5733	"Music Stores - Musical Instruments, Pian"	CORDLESS MIC HEAD	
"PARKS, FORESTRY & RECREATION"	2531-2	06-06-2013	06-10-2013	THE HOME DEPOT #7011	488.64	CAD	488.64	CAD	3050	M & E - KITCHEN	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2535-6	06-11-2013	06-12-2013	VANDEN BUSSCHE IRRIGAT	800.04	CAD	800.04	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5712	"Equipment, Furniture, and Home Furnishin"	WATER HOSES	
"PARKS, FORESTRY & RECREATION"	2537-3	06-11-2013	06-13-2013	BRAFASCO / MISSISSAUGA	161.50	CAD	161.50	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PK-PGM SU	5085	Industrial Supplies Not Elsewhere Classi	NUTS & BOLTS	
"PARKS, FORESTRY & RECREATION"	2539-2	06-13-2013	06-14-2013	BUNZL CANADA INC #1	830.55	CAD	830.55	CAD	2570	JANITORIAL SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5111	"Stationery, Office Supplies, Printing an"	TOILET PAPER	
"PARKS, FORESTRY & RECREATION"	2542-6	06-13-2013	06-17-2013	VARSITY TENT   EVENT R	593.25	CAD	593.25	CAD	4590	RENTAL - OTHER	P00656	CENTENNIAL PK-PGM SU	7394	"Equipment Rental and Leasing Services, F"	TENT RENTALS	
"PARKS, FORESTRY & RECREATION"	2545-3	06-17-2013	06-19-2013	DESCO PLUMBING AND HEA	242.42	CAD	242.42	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5074	Plumbing and Heating Equipment	CLAMPS VIC COUPLING EHP LINER	
"PARKS, FORESTRY & RECREATION"	2546-2	06-18-2013	06-20-2013	TORONTO SALT CHEMICAL	650.88	CAD	650.88	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P10960	CENTENNIAL STADIUM-O	5131	"Piece Goods, Notions, and Other Dry Good"	CHALK FOR BALL DIAMOND LINES	
"PARKS, FORESTRY & RECREATION"	2547-3	06-17-2013	06-21-2013	BUNNING SPLICING   RIG	573.14	CAD	573.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5085	Industrial Supplies Not Elsewhere Classi	TOW CHAIN FOR TRUCKS	
"PARKS, FORESTRY & RECREATION"	2547-4	06-19-2013	06-21-2013	THE HOME DEPOT #7011	30.00	CAD	30.00	CAD	2535	PLUMBING SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2547-5	06-20-2013	06-21-2013	DULUX PAINTS #142	75.80	CAD	75.80	CAD	2715	PAINT SUPPLIES	P00608	PARKS OPERATIONS - E	5231	"Glass, Paint, Wallpaper Stores"	PAINT FOR BACKBOARD AT TENNIS COURT	
"PARKS, FORESTRY & RECREATION"	2554-2	06-25-2013	06-26-2013	ISLINGTON NURSERIES LI	909.65	CAD	909.65	CAD	2770	GRAVEL	P00656	CENTENNIAL PK-PGM SU	5261	Lawn and Garden Supply Stores	CRUSHER RUN & LIMESTONE SCREENINGS	
"PARKS, FORESTRY & RECREATION"	2554-3	06-24-2013	06-26-2013	NEXGEN MUNICIPAL INC.	942.79	CAD	942.79	CAD	*****	JANITORIAL SUPPLIES	P00656	CENTENNIAL PK-PGM SU	7399	Business Services - Not Elsewhere Classi	*****	
"PARKS, FORESTRY & RECREATION"	2556-3	06-25-2013	06-27-2013	THE HOME DEPOT #7011	136.27	CAD	136.27	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2556-4	06-26-2013	06-27-2013	VANDEN BUSSCHE IRRIGAT	533.36	CAD	533.36	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5712	"Equipment, Furniture, and Home Furnishin"	WATER HOSES	
"PARKS, FORESTRY & RECREATION"	2557-3	06-26-2013	06-28-2013	THE HOME DEPOT #7130	70.05	CAD	70.05	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2560-7	06-28-2013	07-02-2013	LOWES #03096*	61.18	CAD	61.18	CAD	*****	ELECTRICAL SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2560-8	06-28-2013	07-02-2013	ISLINGTON NURSERIES LI	169.50	CAD	169.50	CAD	2770	GRAVEL	P00656	CENTENNIAL PK-PGM SU	5261	Lawn and Garden Supply Stores	3/4 CLEAR GRAVEL	
					"7,563.78"	CAD	"7,563.78"	CAD								
"PARKS, FORESTRY & RECREATION"	2525-2	06-04-2013	06-05-2013	CONSTRUCTION DISTRIBUT	119.77	CAD	119.77	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07705	ORIOLE CC-OPERATIONS	5039	Construction Materials Not Elsewhere Cla	SIKA GROUT	
"PARKS, FORESTRY & RECREATION"	2525-3	06-04-2013	06-05-2013	NOAH'S	510.74	CAD	510.74	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12302	RW-OU-OPO-FAIRBANK	5211	"Building Materials, Lumber Stores"	CAULKING	
"PARKS, FORESTRY & RECREATION"	2525-4	06-04-2013	06-05-2013	WATER AND ICE NORTH AM	389.85	CAD	389.85	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	CHEM FEED PUMP	
"PARKS, FORESTRY & RECREATION"	2525-5	06-04-2013	06-05-2013	WATER AND ICE NORTH AM	314.14	CAD	314.14	CAD	2535	PLUMBING SUPPLIES	P07703	IW HAPLEY CC-OPERATI	5996	Swimming Pools - Sales and Supplies	SKIMMER LIOS	
"PARKS, FORESTRY & RECREATION"	2525-6	05-31-2013	06-05-2013	FABCO PLASTICS WHOLESA	387.66	CAD	387.66	CAD	2535	PLUMBING SUPPLIES	P07705	ORIOLE CC-OPERATIONS	7399	Business Services - Not Elsewhere Classi	"PRE FITTINGS,GLUE"	
"PARKS, FORESTRY & RECREATION"	2537-4	06-11-2013	06-13-2013	FABCO PLASTICS WHOLESA	390.97	CAD	390.97	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	7399	Business Services - Not Elsewhere Classi	PVC FITTINGS	
"PARKS, FORESTRY & RECREATION"	2542-7	06-15-2013	06-17-2013	WATER AND ICE NORTH AM	268.94	CAD	268.94	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07701	GOULDING CC-OPERATIO	5996	Swimming Pools - Sales and Supplies	VACUUM HOSE	
"PARKS, FORESTRY & RECREATION"	2543-2	06-17-2013	06-18-2013	LOWES #02632*	153.13	CAD	153.13	CAD	3080	M & E - HAND TOOLS	P00859	ALNESS YD-YD OPERN	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2545-4	06-17-2013	06-19-2013	SP S COMM SWIMMING POO	648.62	CAD	648.62	CAD	2535	PLUMBING SUPPLIES	P07702	GRANDRAVINE CC-OPERA	5996	Swimming Pools - Sales and Supplies	SENSORS	
"PARKS, FORESTRY & RECREATION"	2545-5	06-17-2013	06-19-2013	NOBLE 52380	180.63	CAD	180.63	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5251	Hardware Stores	THERMOMETER	
"PARKS, FORESTRY & RECREATION"	2547-6	06-20-2013	06-21-2013	WATER AND ICE NORTH AM	310.75	CAD	310.75	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	VACUUM CARTRIDGES	
"PARKS, FORESTRY & RECREATION"	2550-3	06-21-2013	06-24-2013	CENTENNIAL PLUMBING SU	144.28	CAD	144.28	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	"3/4 X 12 PVC, SOLVENT"	
					"3,819.48"	CAD	"3,819.48"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2531-3	06-09-2013	06-10-2013	LOBLAWS 4.2	77.84	CAD	77.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"DRIED & FRESH FRUITS,NUTS & JAM FOR FORT YORK FEST"	
ECONOMIC DEVELOPMENT & CULTURE	2535-7	06-09-2013	06-12-2013	METRO #37	50.37	CAD	50.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"JAM, FRUIT & NUTS"	
ECONOMIC DEVELOPMENT & CULTURE	2539-3	06-13-2013	06-14-2013	FRIES INC	603.01	CAD	603.01	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0101	HS-MH-PUB-FORT YORK	7623	Air Conditioning and Refrigeration Repai	REPAIR TO ICE MACHINE	
ECONOMIC DEVELOPMENT & CULTURE	2545-6	06-16-2013	06-19-2013	METRO #720	30.20	CAD	30.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"VEGETABLES, BREAD, CURRANTS"	
ECONOMIC DEVELOPMENT & CULTURE	2556-5	06-25-2013	06-27-2013	WESTBURY NATIONAL SHOW	"2,411.42"	CAD	"2,411.42"	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0052	HS-MH-BOA-METRO HALL	5200	Home Supply Warehouse	"RENTAL OF MICS, SPEAKERS, AMPS"	
ECONOMIC DEVELOPMENT & CULTURE	2556-6	06-26-2013	06-27-2013	BULK BARN	21.78	CAD	21.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	CURRANTS	
					"3,194.62"	CAD	"3,194.62"	CAD								
"PARKS, FORESTRY & RECREATION"	2535-8	06-11-2013	06-12-2013	VALLEYVIEW GARDENS HK	557.94	CAD	557.94	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00152	C-WTRFRONT3-TURF&HOR	5261	Lawn and Garden Supply Stores	ANNUALS FOR CITY HALL	
"PARKS, FORESTRY & RECREATION"	2537-5	06-12-2013	06-13-2013	ARMTEC #8200	593.25	CAD	593.25	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	P00152	C-WTRFRONT3-TURF&HOR	5039	Construction Materials Not Elsewhere Cla	CRANE RENTAL	
"PARKS, FORESTRY & RECREATION"	2542-8	06-13-2013	06-17-2013	CANADIAN SIGNCRAFTERS	999.80	CAD	999.80	CAD	2792	"BANNERS, FLAGS & SIGNS"	P00152	C-WTRFRONT3-TURF&HOR	7399	Business Services - Not Elsewhere Classi	U CHANNEL SIGN SUPPORTS FOR DON TRAIL SAFETY SIGN	
"PARKS, FORESTRY & RECREATION"	2550-4	06-22-2013	06-24-2013	AVENUE INDUSTRIAL SUPP	864.45	CAD	864.45	CAD	3099	GENERAL EQUIPMENT	P00152	C-WTRFRONT3-TURF&HOR	5969	Direct Marketing - Other Direct Marketer	FEUL CABINET FOR RAMSDEN PARK GARAGE	
					"3,015.44"	CAD	"3,015.44"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2531-4	06-07-2013	06-10-2013	LAKESHORE LUMBER	6.67	CAD	6.67	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RRP-LAKESHORE	5251	Hardware Stores	ROPE 10 FEET	
ECONOMIC DEVELOPMENT & CULTURE	2531-5	06-07-2013	06-10-2013	LAKESHORE LUMBER	44.96	CAD	44.96	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RRP-LAKESHORE	5251	Hardware Stores	INSECT SPRAY & ALUMINIUM POLES	
ECONOMIC DEVELOPMENT & CULTURE	2531-6	06-07-2013	06-10-2013	DUSLAN BATTERIES	58.57	CAD	55.98	USD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RRP-LAKESHORE	5732	Electronic Sales	RECHARGEABLE MOTOROLA BATTERIES FOR WALKIES	
ECONOMIC DEVELOPMENT & CULTURE	2542-9	06-15-2013	06-17-2013	LEE VALLEY TOOLS 800-2	72.55	CAD	72.55	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RRP-LAKESHORE	5251	Hardware Stores	"4"" SASH LIFTS FOR WINDOW SHUTTERS"	
ECONOMIC DEVELOPMENT & CULTURE	2543-3	06-17-2013	06-18-2013	LOWES #03096*	14.19	CAD	14.19	CAD	2575	ELECTRICAL SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5200	Home Supply Warehouse	20W T3 2-PIN G4 BASE HALOGEN CL 1	
ECONOMIC DEVELOPMENT & CULTURE	2545-7	06-18-2013	06-19-2013	TIGERDIRECT.CA	23.41	CAD	23.41	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RRP-LAKESHORE	5734	Computer Software Stores	STEREO SPEAKER SYSTEM	
ECONOMIC DEVELOPMENT & CULTURE	2546-3	06-19-2013	06-20-2013	RABBA #177	11.96	CAD	11.96	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RRP-LAKESHORE	5411	"Grocery Stores, Supermarkets"	MILK & CREAM FOR SNACK BAR	
					232.31	CAD	173.74	CAD								
							55.98	USD								
SOLID WASTE MANAGEMENT	2525-7	06-03-2013	06-05-2013	THE HOME DEPOT #7027	302.99	CAD	302.99	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	2527-1	06-04-2013	06-06-2013	THE HOME DEPOT #7078	20.99	CAD	20.99	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0830	SCARBOROUGH TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	2531-7	06-07-2013	06-10-2013	THE HOME DEPOT #7027	379.60	CAD	379.60	CAD	*****	BLDG REPAIRS & RENOVATION SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	2535-9	06-10-2013	06-12-2013	THE HOME DEPOT #7027	61.62	CAD	61.62	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0830	SCARBOROUGH TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	2547-7	06-19-2013	06-21-2013	THE HOME DEPOT #7027	23.19	CAD	23.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5200	Home Supply Warehouse	SAKRETE SAND	
