Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	4400-1	2017-01-27	2017-01-30	COSTCO.CA   *ONLINE	200.00	CAD	200.00	CAD	3310	FURNISHINGS	P10430	BOB ABATE CC-PRGM SUPPORT	5399	Miscellaneous General Merchandise	CABINET	
"PARKS, FORESTRY & RECREATION"	4400-2	2017-01-27	2017-01-30	LOWES #02640*	123.53	CAD	123.53	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5200	Home Supply Warehouse	"**MORE**  SWEEP 12.5"" WALL CLOCK, BLACK"	
"PARKS, FORESTRY & RECREATION"	4401-1	2017-01-30	2017-01-31	COSTCO.CA   *ONLINE	47.45	CAD	47.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01887	BOB ABATE CC-ARTS-VISL/PERF	5399	Miscellaneous General Merchandise	CARD STOCK	
					"1,173.04"	CAD	"1,173.04"	CAD								
LONG TERM CARE HOMES & SERVICES	4359-4	2016-12-29	2017-01-03	WAL-MART #3053	150.29	CAD	150.29	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5411	"Grocery Stores, Supermarkets"	BLUE RAY DVD	
LONG TERM CARE HOMES & SERVICES	4365-1	2017-01-03	2017-01-05	WALMART.CA	158.20	CAD	158.20	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5310	Discount Stores	WALL MOUNTS FOR TV'S	
LONG TERM CARE HOMES & SERVICES	4365-2	2017-01-03	2017-01-05	WALMART.CA	"1,440.75"	CAD	"1,440.75"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5310	Discount Stores	"SAMSUNG 58"" & SANYO 50"" TV'S"	
LONG TERM CARE HOMES & SERVICES	4369-1	2017-01-03	2017-01-09	HUNTS HEALTHCARE INC	155.94	CAD	155.94	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	THERA-BAND STABILITY TRAINERS	
LONG TERM CARE HOMES & SERVICES	4369-2	2017-01-07	2017-01-09	NOFRILLS LEO'S 701	26.21	CAD	26.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5411	"Grocery Stores, Supermarkets"	HOT CHOCOLATE & LIPTON GREEN TEA	
LONG TERM CARE HOMES & SERVICES	4379-1	2017-01-14	2017-01-16	WAL-MART #3053	158.91	CAD	158.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5411	"Grocery Stores, Supermarkets"	PARTY ITEMS FOR BINGO	
LONG TERM CARE HOMES & SERVICES	4381-1	2017-01-16	2017-01-17	NOFRILLS DACOSTA'S #71	17.89	CAD	17.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5411	"Grocery Stores, Supermarkets"	SCU RESIDENT PROGRAMS	
LONG TERM CARE HOMES & SERVICES	4383-1	2017-01-16	2017-01-18	WAL-MART #3053	138.99	CAD	138.99	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5411	"Grocery Stores, Supermarkets"	BLU-RAY DVD PLAYER & ENV FEE	
LONG TERM CARE HOMES & SERVICES	4390-1	2017-01-19	2017-01-24	HUNTS HEALTHCARE INC	670.00	CAD	670.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3C083	CUMMER LODGE-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	EQUIPMENT REPAIR	
LONG TERM CARE HOMES & SERVICES	4390-2	2017-01-22	2017-01-24	WAL-MART #3053	127.69	CAD	127.69	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5411	"Grocery Stores, Supermarkets"	BLU-RAY DVD PLAYER & ENV FEE	
LONG TERM CARE HOMES & SERVICES	4400-3	2017-01-25	2017-01-30	HUNTS HEALTHCARE INC	576.30	CAD	576.30	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	ANTI SLIP GRIP TAPE - NO SKIDDING	
LONG TERM CARE HOMES & SERVICES	4400-4	2017-01-26	2017-01-30	HUNTS HEALTHCARE INC	463.30	CAD	463.30	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	DRINKWARE AND CLEAR MUGS	
					"4,084.47"	CAD	"4,084.47"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4367-1	2017-01-05	2017-01-06	FRESHCO #9781	8.98	CAD	8.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	MILK AND WHIPPING CREAM	
ECONOMIC DEVELOPMENT & CULTURE	4371-1	2017-01-09	2017-01-10	FRESHCO #9781	14.31	CAD	14.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MILK, TEA"	
ECONOMIC DEVELOPMENT & CULTURE	4375-4	2017-01-11	2017-01-12	BULK BARN	134.31	CAD	134.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WAFERS, NUTMEG, GINGER, DRIED CHERRIES, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4379-2	2017-01-13	2017-01-16	LOBLAWS 4.2	59.41	CAD	59.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHIPPING CREAM, BREAD"	
ECONOMIC DEVELOPMENT & CULTURE	4386-3	2017-01-18	2017-01-19	METRO #720	102.56	CAD	102.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CURRANT JELLY, MACE, PAPER, CUPS, COFFEE, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4386-4	2017-01-18	2017-01-19	THE PANTRY	105.60	CAD	105.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5462	Bakeries	CHEESE	
ECONOMIC DEVELOPMENT & CULTURE	4387-4	2017-01-19	2017-01-20	LOBLAWS 4.2	35.55	CAD	35.55	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CURRANT JELLY, WHIPPING CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	4400-5	2017-01-27	2017-01-30	LOBLAWS 4.2	50.03	CAD	50.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MAPLE SYRUP, MILK, BREAD"	
ECONOMIC DEVELOPMENT & CULTURE	4400-6	2017-01-27	2017-01-30	WR DISPLAY   PKG-DUNWO	121.71	CAD	121.71	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5999	Miscellaneous and Specialty Retail Store	PLASTIC RISERS	
					632.46	CAD	632.46	CAD								
"PARKS, FORESTRY & RECREATION"	4387-5	2017-01-19	2017-01-20	SQ *BRAYMORE PIANO MOV	452.00	CAD	452.00	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P07745	OLYMPIUM-PRGM SUPPORT	7399	Business Services - Not Elsewhere Classi	OFFICE SAFE MOVE	
"PARKS, FORESTRY & RECREATION"	4389-2	2017-01-20	2017-01-23	WAL-MART # 3031	28.52	CAD	28.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07745	OLYMPIUM-PRGM SUPPORT	5310	Discount Stores	"STORAGE BOX, CLEANING POLISH"	
					480.52	CAD	480.52	CAD								
TRANSPORTATION SERVICES 	4360-1	2017-01-03	2017-01-04	CARSWELL	262.73	CAD	262.73	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	7338	"Quick Copy, Reproduction, and Blueprinti"	PUBLICATIONS-ONT HWY TRAFFIC ACT	
TRANSPORTATION SERVICES 	4387-6	2017-01-19	2017-01-20	INTERNATIONAL MUNICIPA	135.62	CAD	100.00	USD	4760	MEMBERSHIP FEES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	8299	Educational Services	ANNUAL MEMBERSHIP DUES	
TRANSPORTATION SERVICES 	4389-3	2017-01-20	2017-01-23	PAYPAL *TWEETYMAIL	6.87	CAD	6.87	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4389-4	2017-01-20	2017-01-23	PAYPAL *TWEETYMAIL	6.87	CAD	6.87	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4389-5	2017-01-20	2017-01-23	PAYPAL *TWEETYMAIL	6.87	CAD	6.87	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4389-6	2017-01-20	2017-01-23	PAYPAL *TWEETYMAIL	6.87	CAD	6.87	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					425.83	CAD	290.21	CAD								
							100.00	USD								
ECONOMIC DEVELOPMENT & CULTURE	4359-5	2016-12-30	2017-01-03	STAPLES STORE #11	150.22	CAD	150.22	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5943	"Office, School Supply, and Stationery St"	BACKUP BATTERY FOR USE WITH DIGITAL SIGN	
ECONOMIC DEVELOPMENT & CULTURE	4359-6	2016-12-30	2017-01-03	STEVE S MUSIC STORE IN	261.02	CAD	261.02	CAD	3099	GENERAL EQUIPMENT	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5733	"Music Stores - Musical Instruments, Pian"	PA RADIAL DI BOX AND PA GIGIFLEX DI BOX FOR AUDIO	
					411.24	CAD	411.24	CAD								
"PARKS, FORESTRY & RECREATION"	4386-5	2017-01-18	2017-01-19	WINNERS 277	22.59	CAD	22.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12053	HORNER-FITNESS-INSTRL OLDER ADULTS	5651	Family Clothing Stores	SUPPLIES FOR YOGA	
"PARKS, FORESTRY & RECREATION"	4386-6	2017-01-18	2017-01-19	DOLLAR TREE CANADA STO	73.45	CAD	73.45	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5331	Variety Stores	"WASHCLOTES, DISH LIQUID, BATH SPONGE"	
"PARKS, FORESTRY & RECREATION"	4389-7	2017-01-19	2017-01-23	WAL-MART # 3031	134.38	CAD	134.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	"JUICE , COOKIES, SALAD MIX"	
"PARKS, FORESTRY & RECREATION"	4389-8	2017-01-20	2017-01-23	NELLA ETOBICOKE	27.12	CAD	27.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	CREAMERS	
"PARKS, FORESTRY & RECREATION"	4389-9	2017-01-20	2017-01-23	MORE THAN PIES	300.00	CAD	300.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5462	Bakeries	BAKE SPEPHERD PIES	
					557.54	CAD	557.54	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4359-7	2016-12-31	2017-01-03	THE PAINT SPOT	680.57	CAD	680.57	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5970	"Artist Supply Stores, Craft Shops"	WATERCOLOUR SET	
ECONOMIC DEVELOPMENT & CULTURE	4375-5	2017-01-11	2017-01-12	WOOD ESSENCE DISTRIBUT	123.68	CAD	123.68	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5131	"Piece Goods, Notions, and Other Dry Good"	SET OF WOOD DYE ALCOHOL SOLUBLE	
ECONOMIC DEVELOPMENT & CULTURE	4377-2	2017-01-12	2017-01-13	LEE VALLEY - DOWNTOWN	14.13	CAD	14.13	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5072	Hardware Equipment and Supplies	WAX FILLER STICK	
ECONOMIC DEVELOPMENT & CULTURE	4383-2	2017-01-17	2017-01-18	LEE VALLEY - DOWNTOWN	42.38	CAD	42.38	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5072	Hardware Equipment and Supplies	WAX FILLER STICKS	
ECONOMIC DEVELOPMENT & CULTURE	4395-4	2017-01-24	2017-01-26	GOODHEALTH   SAFETY	363.18	CAD	363.18	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5085	Industrial Supplies Not Elsewhere Classi	ETHANOL DENATURED	
					"1,223.94"	CAD	"1,223.94"	CAD								
LONG TERM CARE HOMES & SERVICES	4371-2	2017-01-09	2017-01-10	ENTERTAINMENTDEALS.CA	24.01	CAD	24.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5947	"Card, Gift, Novelty, and Souvenir Shops"	MUSICAL DVD'S FOR RESIDENT'S PROGRAMS	
LONG TERM CARE HOMES & SERVICES	4375-6	2017-01-10	2017-01-12	BOMBAY   CO #936	239.28	CAD	239.28	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5719	Miscellaneous House Furnishing Specialty	CHRISTMAS DECOR FOR RESDIENT'S AREAS	
LONG TERM CARE HOMES & SERVICES	4375-7	2017-01-11	2017-01-12	SHERIDAN NURSERIES EST	94.86	CAD	94.86	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5261	Lawn and Garden Supply Stores	CHRISTMAS DECOR FOR RESDIENT'S AREAS	
LONG TERM CARE HOMES & SERVICES	4375-8	2017-01-11	2017-01-12	SHERIDAN NURSERIES EST	64.34	CAD	64.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5261	Lawn and Garden Supply Stores	CHRISTMAS DECOR FOR RESDIENT'S AREAS	
LONG TERM CARE HOMES & SERVICES	4389-10	2017-01-20	2017-01-23	THERMOPATCH	300.51	CAD	300.51	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K051	LAKESHORE LODGE-LY-OA	5085	Industrial Supplies Not Elsewhere Classi	LABELLING TAGS FOR RESIDENT'S CLOTHING	
LONG TERM CARE HOMES & SERVICES	4389-11	2017-01-21	2017-01-23	ULINE	88.52	CAD	88.52	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K041	LAKESHORE LODGE-HK-OA	5964	Direct Marketing - Catalog Merchants	CASTERS FOR INCONTINENCE BINS	
					811.52	CAD	811.52	CAD								
"PARKS, FORESTRY & RECREATION"	4360-2	2017-01-03	2017-01-04	BELL TV	77.74	CAD	77.74	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	#97645	
"PARKS, FORESTRY & RECREATION"	4395-5	2017-01-25	2017-01-26	MARCHANT'S SCHOOL SPOR	19.78	CAD	19.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	5941	Sporting Goods Stores	GYM SUPPLIES	
					97.52	CAD	97.52	CAD								
"PARKS, FORESTRY & RECREATION"	4365-3	2017-01-04	2017-01-05	LANDSCAPE ONTARIO	140.00	CAD	140.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	P07646	DON VALLEY-OPERATIONS	8699	"Organizations, Membership - Not Elsewher"	PESTICIDE SYMPSIUM- REG FEE	
"PARKS, FORESTRY & RECREATION"	4381-2	2017-01-16	2017-01-17	CSL COMPRESSOR SERVICE	"2,401.25"	CAD	"2,401.25"	CAD	3099	GENERAL EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5046	Commercial Equipment Not Elsewhere Class	AIR COMPRESSOR	
"PARKS, FORESTRY & RECREATION"	4386-7	2017-01-17	2017-01-19	CDN TIRE STORE #00192	22.58	CAD	22.58	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	FURNACE FILTERS	
"PARKS, FORESTRY & RECREATION"	4397-3	2017-01-26	2017-01-27	TURF CANADA	"1,898.63"	CAD	"1,898.63"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5998	Tent & Awning Shops	MOWER PARTS	
					"4,462.46"	CAD	"4,462.46"	CAD								
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	4369-3	2017-01-06	2017-01-09	TORONTO PLAZA HOTEL	"24,000.00"	CAD	"24,000.00"	CAD	4840	MOTEL/HOTEL RENT CHG	F01524	BIRKDALE RES - CLIENT SERVICES	7011	"Lodging - Hotels, Motels, Resorts - Not"	EMERGENCY SHELTER FOR HOMELESS	
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	4369-4	2017-01-06	2017-01-09	TORONTO PLAZA HOTEL	"24,000.00"	CAD	"24,000.00"	CAD	4840	MOTEL/HOTEL RENT CHG	F01524	BIRKDALE RES - CLIENT SERVICES	7011	"Lodging - Hotels, Motels, Resorts - Not"	EMERGENCY SHELTER FOR HOMELESS	
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	4369-5	2017-01-06	2017-01-09	TORONTO PLAZA HOTEL	"8,880.76"	CAD	"8,880.76"	CAD	4840	MOTEL/HOTEL RENT CHG	F01524	BIRKDALE RES - CLIENT SERVICES	7011	"Lodging - Hotels, Motels, Resorts - Not"	EMERGENCY SHELTER FOR HOMELESS	
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	4373-1	2017-01-09	2017-01-11	CASA LOMA	367.20	CAD	367.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	F01530	BIRKDAEL RES CHILDREN'S PROG EXP	5813	"Bars, Cocktail Lounges, Discotheques, Ni"	SHELTER RESIDENTS CHILDREN'S TRIP	
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	4386-8	2017-01-17	2017-01-19	TORONTO PLAZA HOTEL	"15,000.00"	CAD	"15,000.00"	CAD	4840	MOTEL/HOTEL RENT CHG	F01524	BIRKDALE RES - CLIENT SERVICES	7011	"Lodging - Hotels, Motels, Resorts - Not"	EMERGENCY SHELTER FOR HOMELESS	
					"72,247.96"	CAD	"72,247.96"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4383-3	2017-01-17	2017-01-18	"TPA/GREEN ""P""      QPL"	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0165	ER-INF-TECHNOLOGY SUPPORT-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING	
ECONOMIC DEVELOPMENT & CULTURE	4389-12	2017-01-19	2017-01-23	PARKING CHARGES-PARKSM	4.50	CAD	4.50	CAD	4770	PARKING EXPENSES (INTOWN)	ED0165	ER-INF-TECHNOLOGY SUPPORT-CENTRAL	5972	Stamp and Coin Stores - Philatelic and N	PARKING	
ECONOMIC DEVELOPMENT & CULTURE	4390-3	2017-01-23	2017-01-24	"TPA/GREEN ""P""      QPL"	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0165	ER-INF-TECHNOLOGY SUPPORT-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING	
					34.50	CAD	34.50	CAD								
"PARKS, FORESTRY & RECREATION"	4365-4	2017-01-05	2017-01-05	APPLIANCE PARTS #34	57.52	CAD	57.52	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5065	Electrical Parts and Equipment	LINT FILTE	
