Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	1988-1	05-11-2012	05-14-2012	NOFRILLS ROB S  1397	16.64	CAD	16.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5411	"Grocery Stores, Supermarkets"	*****	
ECONOMIC DEVELOPMENT & CULTURE	1988-2	05-11-2012	05-14-2012	SHOPPER'S DRUG MART #1	9.76	CAD	9.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	EGGS FOR VICTORIA DAY BAKING	
ECONOMIC DEVELOPMENT & CULTURE	2004-1	05-24-2012	05-25-2012	NOFRILLS ROB S  1397	8.78	CAD	8.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0075	HS-MH-EDU-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"PROGRAMMING FOOD SUPPLIES-HOMO,LEMON,WHOLE KERNEL"	
					41.86	CAD	41.86	CAD								
PUBLIC HEALTH	1977-3	05-04-2012	05-07-2012	STAPLES STORE #28	40.27	CAD	40.27	CAD	2010	STATIONERY AND OFFICE SUPPLIES	PH3614	SCHOOL AGED CHILDREN	5943	"Office, School Supply, and Stationery St"	STATIONARY SUPPLIES - SPECIAL BINDERS X 6	
					40.27	CAD	40.27	CAD								
"PARKS, FORESTRY & RECREATION"	1967-2	04-30-2012	05-01-2012	SHEPHERD'S UTILITY EQU	672.34	CAD	672.34	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12856	RAVWTRMAINT	5072	Hardware Equipment and Supplies	MACHINERY EQUIPMENT	
"PARKS, FORESTRY & RECREATION"	1977-4	05-04-2012	05-07-2012	PRINCESS AUTO LTD ONLI	238.35	CAD	238.35	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00497	S-CENTRAL1-PKS MAINT	5085	Industrial Supplies Not Elsewhere Classi		
					910.69	CAD	910.69	CAD								
"PARKS, FORESTRY & RECREATION"	1988-3	05-11-2012	05-14-2012	IKEA NORTH YORK	188.59	CAD	188.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12006	LASTMAN SQ-AIRS-PGM	5712	"Equipment, Furniture, and Home Furnishin"	SCREENS FOR GREEN ROOM	
"PARKS, FORESTRY & RECREATION"	1992-1	05-14-2012	05-16-2012	HMV #804	74.53	CAD	74.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12006	LASTMAN SQ-AIRS-PGM	5735	Record Shops	CD'S FOR MUSIC IN THE SQUARE	
					263.12	CAD	263.12	CAD								
"PARKS, FORESTRY & RECREATION"	1971-1	05-01-2012	05-03-2012	CTF SUPPLY (11)	23.73	CAD	23.73	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi		
"PARKS, FORESTRY & RECREATION"	1971-2	05-01-2012	05-03-2012	MR METAL(ETOBICOKE) IN	20.48	CAD	20.48	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	1977-5	05-04-2012	05-07-2012	ASA ALLOYS	220.35	CAD	220.35	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STAINLESS ROUND TUBE	
"PARKS, FORESTRY & RECREATION"	1979-2	05-04-2012	05-08-2012	MR METAL(ETOBICOKE) IN	135.60	CAD	135.60	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	EXPANDED SHEET #3 GRATING	
"PARKS, FORESTRY & RECREATION"	1980-1	05-07-2012	05-09-2012	CDN TIRE STORE #00654	46.69	CAD	46.69	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	AC RUST BRTBULE	
"PARKS, FORESTRY & RECREATION"	1988-4	05-11-2012	05-14-2012	COCO PAVING INC. - LEA	120.35	CAD	120.35	CAD	2775	ASPHALT	P12017	SOUTH GENERAL-PKS TE	5039	Construction Materials Not Elsewhere Cla	HL2	
"PARKS, FORESTRY & RECREATION"	1988-5	05-11-2012	05-14-2012	METAL SUPERMARKETS (ET	22.60	CAD	22.60	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	CR ROUND 1018.625DIA	
"PARKS, FORESTRY & RECREATION"	1992-2	05-15-2012	05-16-2012	CHAUNCEY BUILDERS SUPP	13.29	CAD	13.29	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	SLEEVE ANCHOR 3/8X1 7/8	
"PARKS, FORESTRY & RECREATION"	1994-1	05-15-2012	05-17-2012	MR METAL(ETOBICOKE) IN	30.15	CAD	30.15	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR PLATE .188	
"PARKS, FORESTRY & RECREATION"	1994-2	05-16-2012	05-17-2012	METAL SUPERMARKETS (ET	45.34	CAD	45.34	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	1998-1	05-17-2012	05-22-2012	MR METAL(ETOBICOKE) IN	84.75	CAD	84.75	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	"HR SQUARE X 3"""	
"PARKS, FORESTRY & RECREATION"	2000-1	05-18-2012	05-23-2012	MR METAL(ETOBICOKE) IN	183.64	CAD	183.64	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	DOM TUBE 2.500X.250	
"PARKS, FORESTRY & RECREATION"	2006-1	05-25-2012	05-28-2012	CHAUNCEY BUILDERS SUPP	32.25	CAD	32.25	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	"PARASLEEVE 5/8"" X3"""	
"PARKS, FORESTRY & RECREATION"	2008-2	05-25-2012	05-29-2012	PRAXAIR #756	152.27	CAD	152.27	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	7692	Welding Repair	"PLIERS LOCK, STEEL CLAMP"	
"PARKS, FORESTRY & RECREATION"	2010-1	05-29-2012	05-30-2012	METAL SUPERMARKETS (ET	42.80	CAD	42.80	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HPT188	
					"1,174.29"	CAD	"1,174.29"	CAD								
"PARKS, FORESTRY & RECREATION"	1968-1	05-01-2012	05-02-2012	CARQUEST REXDALE	135.04	CAD	135.04	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5533	"Automotive Parts, Accessories Stores"		
"PARKS, FORESTRY & RECREATION"	1971-3	05-01-2012	05-03-2012	CDN TIRE STORE #00070	108.31	CAD	108.31	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5200	Home Supply Warehouse		
"PARKS, FORESTRY & RECREATION"	1977-6	05-04-2012	05-07-2012	BUNNING SPLICING   RIG	330.19	CAD	330.19	CAD	3015	M & E - GROUNDS	P00656	CENTENNIAL PK-PGM SU	5085	Industrial Supplies Not Elsewhere Classi	TIE DOWN STRAPS	
"PARKS, FORESTRY & RECREATION"	1979-3	05-04-2012	05-08-2012	GORDON BANNERMAN LTD	516.82	CAD	516.82	CAD	3015	M & E - GROUNDS	P00656	CENTENNIAL PK-PGM SU	5261	Lawn and Garden Supply Stores	PARTS FOR TRU-PLAY	
"PARKS, FORESTRY & RECREATION"	1979-4	05-07-2012	05-08-2012	LOWES #03096*	99.20	CAD	99.20	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1980-2	05-08-2012	05-09-2012	DULUX PAINTS #142	37.49	CAD	37.49	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5231	"Glass, Paint, Wallpaper Stores"	PAINT FOR CHALET	
"PARKS, FORESTRY & RECREATION"	1980-3	05-08-2012	05-09-2012	DULUX PAINTS #142	336.00	CAD	336.00	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5231	"Glass, Paint, Wallpaper Stores"	PAINT FOR CHALET	
"PARKS, FORESTRY & RECREATION"	1980-4	05-08-2012	05-09-2012	W E  ENTERPRISES	235.04	CAD	235.04	CAD	3015	M & E - GROUNDS	P00656	CENTENNIAL PK-PGM SU	5261	Lawn and Garden Supply Stores	TRIMMER LINE	
"PARKS, FORESTRY & RECREATION"	1980-5	05-08-2012	05-09-2012	LOWES #03096*	36.41	CAD	36.41	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1992-3	05-15-2012	05-16-2012	DULUX PAINTS #142	199.67	CAD	199.67	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5231	"Glass, Paint, Wallpaper Stores"	PAINT FOR SOCCER NET	
"PARKS, FORESTRY & RECREATION"	1995-2	05-16-2012	05-18-2012	GORDON BANNERMAN LTD	845.33	CAD	845.33	CAD	3015	M & E - GROUNDS	P00656	CENTENNIAL PK-PGM SU	5261	Lawn and Garden Supply Stores	PARTS FOR TRU-PLAY	
"PARKS, FORESTRY & RECREATION"	1995-3	05-16-2012	05-18-2012	TELUS MOBILITY WEB 987	158.15	CAD	158.15	CAD	3020	M & E - COMMUNICATIONS	P00656	CENTENNIAL PK-PGM SU	4814	Telecommunication Service Including Loca	PARTS FRO MIKE RADIO	
"PARKS, FORESTRY & RECREATION"	1995-4	05-16-2012	05-18-2012	THE HOME DEPOT #7011	71.15	CAD	71.15	CAD	2575	ELECTRICAL SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	"32W T8 48""10"	
"PARKS, FORESTRY & RECREATION"	1998-2	05-17-2012	05-22-2012	TELUS MOBILITY WEB 987	-158.15	CAD	-158.15	CAD	3020	M & E - COMMUNICATIONS	P00656	CENTENNIAL PK-PGM SU	4814	Telecommunication Service Including Loca	PARTS FOR MIKE RADIO	
"PARKS, FORESTRY & RECREATION"	1998-3	05-17-2012	05-22-2012	GORDON BANNERMAN LTD	74.22	CAD	74.22	CAD	3015	M & E - GROUNDS	P00656	CENTENNIAL PK-PGM SU	5261	Lawn and Garden Supply Stores	BEARINGS: TRU-PLAY	
"PARKS, FORESTRY & RECREATION"	2000-2	05-18-2012	05-23-2012	SKIIS   BIKES	118.62	CAD	118.62	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00656	CENTENNIAL PK-PGM SU	5941	Sporting Goods Stores	BIKE SEAT FOR STADIUM	
"PARKS, FORESTRY & RECREATION"	2002-1	05-22-2012	05-24-2012	JACK WATSON  11719	334.65	CAD	334.65	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00656	CENTENNIAL PK-PGM SU	5941	Sporting Goods Stores	SOCCER NETS	
"PARKS, FORESTRY & RECREATION"	2008-3	05-25-2012	05-29-2012	BRAFASCO / MISSISSAUGA	66.49	CAD	66.49	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PK-PGM SU	5085	Industrial Supplies Not Elsewhere Classi	WASHERS	
"PARKS, FORESTRY & RECREATION"	2008-4	05-28-2012	05-29-2012	LOWES #03096*	335.67	CAD	335.67	CAD	2531	LUMBER	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2010-2	05-28-2012	05-30-2012	BRAFASCO / MISSISSAUGA	133.87	CAD	133.87	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PK-PGM SU	5085	Industrial Supplies Not Elsewhere Classi	WOOD SCREWS	
"PARKS, FORESTRY & RECREATION"	2012-1	05-30-2012	05-31-2012	TECHNICAL STANDARDS AN	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	P00656	CENTENNIAL PK-PGM SU	1799	"Contractors, Special Trade - Not Elsewhe"	SLM-T RENEWAL	
					"4,089.17"	CAD	"4,089.17"	CAD								
"PARKS, FORESTRY & RECREATION"	1968-2	05-01-2012	05-02-2012	FABCO PLASTICS WHOLESA	580.79	CAD	580.79	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	7399	Business Services - Not Elsewhere Classi	"4"" PVC FITTINGS"	
"PARKS, FORESTRY & RECREATION"	1988-6	05-10-2012	05-14-2012	SCP	72.82	CAD	72.82	CAD	2710	GENERAL HARDWARE	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	CUP ANCHOR & ROPE HOOK	
"PARKS, FORESTRY & RECREATION"	1998-4	05-20-2012	05-22-2012	WATER AND ICE NORTH AM	754.84	CAD	754.84	CAD	3099	GENERAL EQUIPMENT	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	HAWYWARD CHLORINATORS	
"PARKS, FORESTRY & RECREATION"	2002-2	05-19-2012	05-24-2012	RONA NOBLE TRADE 52010	151.40	CAD	151.40	CAD	2710	GENERAL HARDWARE	P00859	ALNESS YD-YD OPERN	5251	Hardware Stores	"HOSE, COULPING, TEST PLUG"	
"PARKS, FORESTRY & RECREATION"	2002-3	05-19-2012	05-24-2012	RONA NOBLE TRADE 52010	196.80	CAD	196.80	CAD	2710	GENERAL HARDWARE	P00859	ALNESS YD-YD OPERN	5251	Hardware Stores	HOSE & GEAR CLAMP	
"PARKS, FORESTRY & RECREATION"	2006-2	05-19-2012	05-28-2012	RONA NOBLE TRADE 52010	196.80	CAD	196.80	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00859	ALNESS YD-YD OPERN	5251	Hardware Stores	MISC. SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2006-3	05-27-2012	05-28-2012	WATER AND ICE NORTH AM	371.77	CAD	371.77	CAD	2785	SAND	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	POOL FILTER SAND	
"PARKS, FORESTRY & RECREATION"	2006-4	05-19-2012	05-28-2012	RONA NOBLE TRADE 52010	151.40	CAD	151.40	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00859	ALNESS YD-YD OPERN	5251	Hardware Stores	MISC. SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2008-5	05-19-2012	05-29-2012	RONA NOBLE TRADE 52010	-151.40	CAD	-151.40	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00859	ALNESS YD-YD OPERN	5251	Hardware Stores	MISC. SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2008-6	05-19-2012	05-29-2012	RONA NOBLE TRADE 52010	-196.80	CAD	-196.80	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00859	ALNESS YD-YD OPERN	5251	Hardware Stores	MISC. SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2012-2	05-29-2012	05-31-2012	RONA NOBLE TRADE 52010	29.14	CAD	29.14	CAD	2710	GENERAL HARDWARE	P00859	ALNESS YD-YD OPERN	5251	Hardware Stores	PVC BUSHING	
					"2,157.56"	CAD	"2,157.56"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1967-3	04-30-2012	05-01-2012	LOBLAWS 4.2	16.07	CAD	16.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	SUGAR AND FLOUR FOR KITCHEN PROGRAMMES	
ECONOMIC DEVELOPMENT & CULTURE	1968-3	05-01-2012	05-02-2012	PRICE CHOPPER #7869QPS	65.35	CAD	65.35	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	"JUICE, EGGS, MILK, FOIL FOR LHP"	
ECONOMIC DEVELOPMENT & CULTURE	1980-6	05-08-2012	05-09-2012	METRO #720	74.26	CAD	74.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	SALMON & GREENS FOR PUBLIC PROGRAMME	
ECONOMIC DEVELOPMENT & CULTURE	1980-7	05-08-2012	05-09-2012	PRICE CHOPPER #7989	81.37	CAD	81.37	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	"EGGS,BUTTER,FLOUR,MILK,VEGS FOR EDUCATION PROGRAM"	
ECONOMIC DEVELOPMENT & CULTURE	1986-2	05-10-2012	05-11-2012	PRICE CHOPPER #7869QPS	22.02	CAD	22.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	BUTTER FOR EDUCATION PROGRAMMES	
ECONOMIC DEVELOPMENT & CULTURE	1998-5	05-18-2012	05-22-2012	METRO #720	29.86	CAD	29.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MILK, WHIPPING CREAM AND GREENS FOR BATTLE OF YORK"	
ECONOMIC DEVELOPMENT & CULTURE	2006-5	05-25-2012	05-28-2012	METRO #720	31.87	CAD	31.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CURRANTS,MILK/WHIPPING CREAM FOR PUBLIC PROGRAMME"	
					320.80	CAD	320.80	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1986-3	05-10-2012	05-11-2012	FABRICLAND DISTRIBUTOR	17.85	CAD	17.85	CAD	2670	UNIFORMS	AH0087	HS-MH-PRS-GIBSON HOU	5949	"Fabric, Needlework, Piece Goods, and Sew"	BUTTONS FOR STAFF COSTUME	
					17.85	CAD	17.85	CAD								
"PARKS, FORESTRY & RECREATION"	1977-7	05-04-2012	05-07-2012	PHARMA PLUS DRUGMART	10.71	CAD	10.71	CAD	4805	POSTAGE	P12527	RW-SH-PRS-OLYMPIUM	9402	Postal Services - Government Only	POSTAGE	
"PARKS, FORESTRY & RECREATION"	1989-2	05-14-2012	05-15-2012	BIG STAR SANDY SHOES I	405.75	CAD	405.75	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5661	Shoe Stores	GYMNASTIC SLIPPERS	
"PARKS, FORESTRY & RECREATION"	1989-3	05-14-2012	05-15-2012	GRAUMAN PACKAGING	97.18	CAD	97.18	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	2741	Miscellaneous Publishing and Printing	STORE SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1992-4	05-14-2012	05-16-2012	THE POSTCARD FACTORY	305.90	CAD	305.90	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	7399	Business Services - Not Elsewhere Classi	CHARACTER NOVELTY ITEM	
"PARKS, FORESTRY & RECREATION"	1992-5	05-15-2012	05-16-2012	AQUAM	-10.17	CAD	-10.17	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5996	Swimming Pools - Sales and Supplies	REFUND ON ITEMS - INV# 22/02/111	
"PARKS, FORESTRY & RECREATION"	2002-4	05-22-2012	05-24-2012	KALSON MARKETING	299.45	CAD	299.45	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	5947	"Card, Gift, Novelty, and Souvenir Shops"	SPORTSWEAR	
"PARKS, FORESTRY & RECREATION"	2010-3	05-24-2012	05-30-2012	ATLAS BUSINESS MACHINE	55.37	CAD	55.37	CAD	2990	GIFT SHOP ITEMS FOR RESALE	P12527	RW-SH-PRS-OLYMPIUM	7399	Business Services - Not Elsewhere Classi	STORE SUPPLIES	
					"1,164.19"	CAD	"1,164.19"	CAD								
FIRE SERVICES	2004-2	05-23-2012	05-25-2012	"20/20 GENESYSTEMS, INC"	"2,700.03"	CAD	"2,560.00"	USD	2590	EMERGENCY SERVICES SUPPLIES	FR0035	CBRNR	7399	Business Services - Not Elsewhere Classi	BIOCHECK POWDER SCREENING TEST KIT	
FIRE SERVICES	2012-3	05-29-2012	05-31-2012	THE HOME DEPOT #7012	33.74	CAD	33.74	CAD	2710	GENERAL HARDWARE	FR0035	CBRNR	5200	Home Supply Warehouse	DT TAPE 2PK	
					"2,733.77"	CAD	33.74	CAD								
							"2,560.00"	USD								
"PARKS, FORESTRY & RECREATION"	1980-8	05-07-2012	05-09-2012	CDN TIRE STORE #00654	70.01	CAD	70.01	CAD	2710	GENERAL HARDWARE	P00152	C-WTRFRONT3-TURF&HOR	5200	Home Supply Warehouse	"MAILBOX,TARPS,BUNGEES"	
"PARKS, FORESTRY & RECREATION"	1986-4	05-10-2012	05-11-2012	VALLEYVIEW GARDENS HK	903.96	CAD	903.96	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00152	C-WTRFRONT3-TURF&HOR	5261	Lawn and Garden Supply Stores	ORNAMENTAL PLANTER	
"PARKS, FORESTRY & RECREATION"	2006-6	05-24-2012	05-28-2012	RONA # 55140	53.62	CAD	53.62	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00152	C-WTRFRONT3-TURF&HOR	5251	Hardware Stores	PLANT TIES	
"PARKS, FORESTRY & RECREATION"	2008-7	05-28-2012	05-29-2012	HAWKEX SALES	895.86	CAD	895.86	CAD	3099	GENERAL EQUIPMENT	P00152	C-WTRFRONT3-TURF&HOR	5699	Accessory  and Apparel Stores - Miscella	LITTER PICKERS WITH BAGS	
					"1,923.45"	CAD	"1,923.45"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1984-1	05-09-2012	05-10-2012	LAKESHORE LUMBER	90.25	CAD	90.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5251	Hardware Stores	"BUILDING/GALLERY SUPPLIES:TAPE,WIRE,LIGHTER,HOODS"	
ECONOMIC DEVELOPMENT & CULTURE	1986-5	05-09-2012	05-11-2012	PAYPAL *MUSICSTUDIO	100.00	CAD	100.00	CAD	4414	ADVERTISING & PROMOTION	AH0129	AS-PR-RRP-LAKESHORE	8244	"Schools, Business and Secretarial"	FULL PAGE COLOUR AD IN MUSIC STUDIO PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	1992-6	05-11-2012	05-16-2012	LOCK-UP SERVICES INC.	26.67	CAD	26.67	CAD	2730	LOCKS	AH0129	AS-PR-RRP-LAKESHORE	7393	"Detective Agencies, Protective Agencies,"	LOCKS WITH KEYS FOR ASSEMBLY HALL	
ECONOMIC DEVELOPMENT & CULTURE	1992-7	05-12-2012	05-16-2012	SMART SERVE ONTARIO	39.49	CAD	39.49	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	AH0129	AS-PR-RRP-LAKESHORE	8299	Educational Services	SMART SERVE ONLINE TRAINING PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	1992-8	05-15-2012	05-16-2012	PAUL WOLF ELECTRIC   L	248.62	CAD	248.62	CAD	2575	ELECTRICAL SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5065	Electrical Parts and Equipment	CFL AND INCANDESCENT BULBS FOR ASSEMBLY HALL	
ECONOMIC DEVELOPMENT & CULTURE	2002-5	05-23-2012	05-24-2012	PAUL WOLF ELECTRIC   L	93.17	CAD	93.17	CAD	2575	ELECTRICAL SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5065	Electrical Parts and Equipment	FLOURESCENT BULBS FOR ASSEMBLY HALL	
					598.20	CAD	598.20	CAD								
"PARKS, FORESTRY & RECREATION"	1995-5	05-16-2012	05-18-2012	CDN TIRE STORE #00264	95.86	CAD	95.86	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P02392	AGINCOURT POOL-PGM S	5200	Home Supply Warehouse	BOX FAN	
