Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Elelment	Cost Centre / WBS Elelment Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2087-3	07-20-2012	07-23-2012	LOBLAWS #1010	24.03	CAD	24.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13340	SPCEVNT - EDITHVALE	5411	"Grocery Stores, Supermarkets"	PIZZA DOUGH FOR PIZZA OVEN - EDITHVALE PRK	
"PARKS, FORESTRY & RECREATION"	2087-4	07-20-2012	07-23-2012	MICHAELS #3983	47.98	CAD	47.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13340	SPCEVNT - EDITHVALE	5945	"Game, Toy, and Hobby Shops"	FACE PAINTING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2087-5	07-20-2012	07-23-2012	METRO #712	23.88	CAD	23.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13340	SPCEVNT - EDITHVALE	5411	"Grocery Stores, Supermarkets"	PIZZA DOUGH FOR PIZZA OVEN - EDITHVALE PRK	
"PARKS, FORESTRY & RECREATION"	2087-6	07-20-2012	07-23-2012	THE HOME DEPOT #7129	50.82	CAD	50.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13340	SPCEVNT - EDITHVALE	5200	Home Supply Warehouse	*****	
					688.89	CAD	688.89	CAD								
"PARKS, FORESTRY & RECREATION"	2069-2	07-09-2012	07-10-2012	ACKLANDS-GRAINGER INC	200.35	CAD	200.35	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	"SOCEKT 1/2"" DR. PENTA CHROME"	
"PARKS, FORESTRY & RECREATION"	2071-6	07-10-2012	07-11-2012	CUSTOM DOOR   LOCK SER	142.17	CAD	142.17	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5533	"Automotive Parts, Accessories Stores"	SPRING LOADED HINGE	
"PARKS, FORESTRY & RECREATION"	2073-4	07-10-2012	07-12-2012	CDN TIRE STORE #00654	53.93	CAD	53.93	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	SOCKET	
"PARKS, FORESTRY & RECREATION"	2075-1	07-11-2012	07-13-2012	MR METAL(ETOBICOKE) IN	58.92	CAD	58.92	CAD	2532	STEEL	P12081	S-GEN-SPECIALIZED MA	5051	Metal Service Centers and Offices	HR ROUND.750	
"PARKS, FORESTRY & RECREATION"	2078-2	07-13-2012	07-17-2012	MR METAL(ETOBICOKE) IN	21.51	CAD	21.51	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR FLAT .250	
"PARKS, FORESTRY & RECREATION"	2085-3	07-18-2012	07-20-2012	N.A. YORKE MACHINERY C	113.00	CAD	113.00	CAD	3080	M & E - HAND TOOLS	P12017	SOUTH GENERAL-PKS TE	7699	Miscellaneous Repair Shops and Related S	6 STEEL CUSTOM WRENCHES	
"PARKS, FORESTRY & RECREATION"	2087-7	07-20-2012	07-23-2012	PARLIAMENT BUILDING SU	39.77	CAD	39.77	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	SONOTUBE	
"PARKS, FORESTRY & RECREATION"	2088-1	07-23-2012	07-24-2012	ATLAS MACHINERY SUPPLY	395.49	CAD	395.49	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	18V COMB	
"PARKS, FORESTRY & RECREATION"	2091-4	07-23-2012	07-25-2012	MR METAL(ETOBICOKE) IN	22.96	CAD	22.96	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	SS FLAT	
"PARKS, FORESTRY & RECREATION"	2097-4	07-26-2012	07-30-2012	SPEED FASTENING SYSTEM	120.06	CAD	120.06	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5712	"Equipment, Furniture, and Home Furnishin"	WAL ZIPCUT	
					"1,168.16"	CAD	"1,168.16"	CAD								
"PARKS, FORESTRY & RECREATION"	2065-2	07-05-2012	07-06-2012	DULUX PAINTS #142	767.98	CAD	767.98	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5231	"Glass, Paint, Wallpaper Stores"	PAINT	
"PARKS, FORESTRY & RECREATION"	2065-3	07-06-2012	07-06-2012	HILTI (CANADA) CORP	186.45	CAD	186.45	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P00656	CENTENNIAL PK-PGM SU	5251	Hardware Stores	JIGSAW REPAIRS	
"PARKS, FORESTRY & RECREATION"	2065-4	07-05-2012	07-06-2012	DULUX PAINTS #142	"-1,460.82"	CAD	"-1,460.82"	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5231	"Glass, Paint, Wallpaper Stores"	PAINT	
"PARKS, FORESTRY & RECREATION"	2065-5	07-05-2012	07-06-2012	DULUX PAINTS #142	"1,460.82"	CAD	"1,460.82"	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5231	"Glass, Paint, Wallpaper Stores"	PAINT	
"PARKS, FORESTRY & RECREATION"	2083-2	07-18-2012	07-19-2012	DULUX PAINTS #142	311.34	CAD	311.34	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5231	"Glass, Paint, Wallpaper Stores"	PAINT	
"PARKS, FORESTRY & RECREATION"	2087-8	07-19-2012	07-23-2012	CDN TIRE STORE #00070	101.59	CAD	101.59	CAD	2710	GENERAL HARDWARE	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	WASP SPRAY	
"PARKS, FORESTRY & RECREATION"	2088-2	07-19-2012	07-24-2012	JACK WATSON SPORTS INC	548.05	CAD	548.05	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00656	CENTENNIAL PK-PGM SU	5941	Sporting Goods Stores	TENNIS NETS	
"PARKS, FORESTRY & RECREATION"	2095-3	07-26-2012	07-27-2012	HANFORD LUMBER LIMITED	830.78	CAD	830.78	CAD	2531	LUMBER	P00656	CENTENNIAL PK-PGM SU	5211	"Building Materials, Lumber Stores"	WOOD	
"PARKS, FORESTRY & RECREATION"	2099-2	07-30-2012	07-31-2012	DULUX PAINTS #142	760.41	CAD	760.41	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5231	"Glass, Paint, Wallpaper Stores"	PAINT	
					"3,506.60"	CAD	"3,506.60"	CAD								
"PARKS, FORESTRY & RECREATION"	2063-4	07-03-2012	07-05-2012	THE HOME DEPOT #7078	42.92	CAD	42.92	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5200	Home Supply Warehouse	2-PLY TIRE	
"PARKS, FORESTRY & RECREATION"	2077-10	07-12-2012	07-16-2012	RONA NOBLE TRADE 52010	216.14	CAD	216.14	CAD	2535	PLUMBING SUPPLIES	P07659	DOUGLAS SNOW-OPERATI	5251	Hardware Stores	PVC BALL VALVES	
"PARKS, FORESTRY & RECREATION"	2087-9	07-18-2012	07-23-2012	J.J. DOWNS INDUSTRIAL	576.30	CAD	576.30	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	"ELECTRONIC FLOW METER 6"""	
"PARKS, FORESTRY & RECREATION"	2088-3	07-23-2012	07-24-2012	J.J. DOWNS INDUSTRIAL	463.30	CAD	463.30	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	"ELECTRONIC FLOW METER 8"""	
"PARKS, FORESTRY & RECREATION"	2091-5	07-24-2012	07-25-2012	WATER AND ICE NORTH AM	611.33	CAD	611.33	CAD	3099	GENERAL EQUIPMENT	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	LIFEGUARD CHAIR PLATFORM	
"PARKS, FORESTRY & RECREATION"	2095-4	07-25-2012	07-27-2012	SP S COMM SWIMMING POO	324.31	CAD	324.31	CAD	3099	GENERAL EQUIPMENT	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	PH SENSOR	
"PARKS, FORESTRY & RECREATION"	2095-5	07-25-2012	07-27-2012	SP S COMM SWIMMING POO	597.77	CAD	597.77	CAD	3099	GENERAL EQUIPMENT	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	PERISTAALTIC PUMP	
"PARKS, FORESTRY & RECREATION"	2095-6	07-26-2012	07-27-2012	POOLMASTER CANADA INC	90.36	CAD	90.36	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	POOL CLARIFIER	
					"2,922.43"	CAD	"2,922.43"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2083-3	07-17-2012	07-19-2012	CDN TIRE STORE #00654	46.84	CAD	46.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5200	Home Supply Warehouse	PRESERVING JARS FOR JAMS & MARMALADES FOR PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	2085-4	07-19-2012	07-20-2012	METRO #720	16.81	CAD	16.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	CURRANTS FOR BAKING PROGRAMMES	
					63.65	CAD	63.65	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2091-6	07-24-2012	07-25-2012	FABRICLAND DISTRIBUTOR	16.06	CAD	16.06	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0096	HS-MH-PUB-GIBSON HOU	5949	"Fabric, Needlework, Piece Goods, and Sew"	QUILT BATTING AND BELLS FOR PUBLIC PROGRAMS	
					16.06	CAD	16.06	CAD								
AFFORDABLE HOUSING OFFICE	2066-5	07-05-2012	07-09-2012	TORONTO PUBLIC LIBRARY	282.50	CAD	282.50	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	H20001	AHO - HSG DEV ADM E	7911	"Dance Halls, Schools, and Studios"	NOVELLA VIDEO ONLY PACKAGE	
AFFORDABLE HOUSING OFFICE	2073-5	07-10-2012	07-12-2012	TORONTO PUBLIC LIBRARY	84.75	CAD	84.75	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	H20001	AHO - HSG DEV ADM E	7911	"Dance Halls, Schools, and Studios"	RENTAL VISUAL EQUIPMENT	
AFFORDABLE HOUSING OFFICE	2077-11	07-12-2012	07-16-2012	TORONTO PUBLIC LIBRARY	169.50	CAD	169.50	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	H20001	AHO - HSG DEV ADM E	7911	"Dance Halls, Schools, and Studios"	FINAL PAYMENT-TORONTO PUBLIC LIBRARY-ROOM RENTAL	
AFFORDABLE HOUSING OFFICE	2078-3	07-13-2012	07-17-2012	CPC/SCP #0370401	206.79	CAD	206.79	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	H20001	AHO - HSG DEV ADM E	9402	Postal Services - Government Only	300 STAMPS FOR TCHC SURVEY REPLY ENVELOPES	
AFFORDABLE HOUSING OFFICE	2095-7	07-26-2012	07-27-2012	PHARMA PLUS DRUGMARTS	68.93	CAD	68.93	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	H20001	AHO - HSG DEV ADM E	5912	"Drug Stores, Pharmacies"	100 STAMPS FOR RRAP REPLY ENVELOPES	
AFFORDABLE HOUSING OFFICE	2099-3	07-30-2012	07-31-2012	PHARMA PLUS DRUGMARTS	34.47	CAD	34.47	CAD	4255	CONFERENCES/SEMINARS - OTHER EXPENSES	H20001	AHO - HSG DEV ADM E	5912	"Drug Stores, Pharmacies"	STAMPS FOR HASI REPLY ENVELOPES	
					846.94	CAD	846.94	CAD								
FIRE SERVICES	2066-6	07-06-2012	07-09-2012	THE HOME DEPOT #7012	49.68	CAD	49.68	CAD	2710	GENERAL HARDWARE	FR0035	CBRNR	5200	Home Supply Warehouse	12X16 TARP	
					49.68	CAD	49.68	CAD								
TRANSPORTATION SERVICES 	2075-2	07-12-2012	07-13-2012	ASTM FEES/PUBLICATIONS	54.22	CAD	51.98	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TP0399	SIGNS/MKGS MGMT & OH	7399	Business Services - Not Elsewhere Classi	WEB PUBLICATION	
TRANSPORTATION SERVICES 	2085-5	07-19-2012	07-20-2012	CDW CANADA	67.79	CAD	67.79	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0399	SIGNS/MKGS MGMT & OH	5734	Computer Software Stores	INFOCUS REMOTE CONTROL	
					122.01	CAD	67.79	CAD								
							51.98	USD								
"PARKS, FORESTRY & RECREATION"	2087-10	07-18-2012	07-23-2012	ZERO CHROMA	47.46	CAD	45.74	USD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00152	C-WTRFRONT3-TURF&HOR	5399	Miscellaneous General Merchandise	*****	
					47.46	CAD	45.74	USD								
ECONOMIC DEVELOPMENT & CULTURE	2060-1	07-03-2012	07-04-2012	SHOPPERSDRUGMART0903	2.67	CAD	2.67	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5912	"Drug Stores, Pharmacies"	FACIAL TISSUES	
