Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	1856-1	02-08-2012	02-10-2012	OMNIFLEX HOSE   EQUIPM	44.41	CAD	44.41	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	"3/8 COUPLER,3/8 PLUG"	
"PARKS, FORESTRY & RECREATION"	1866-2	02-16-2012	02-17-2012	ASA ALLOYS	346.91	CAD	346.91	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	"STAINLESS FLATS, STAINLESS SQ TUBE"	
"PARKS, FORESTRY & RECREATION"	1866-3	02-13-2012	02-17-2012	OMNIFLEX HOSE   EQUIPM	89.97	CAD	89.97	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	FEMALE COUPLER 38 HOSE	
"PARKS, FORESTRY & RECREATION"	1866-4	02-14-2012	02-17-2012	PRAXAIR #756	60.52	CAD	60.52	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	7692	Welding Repair	FLUX HANDY	
"PARKS, FORESTRY & RECREATION"	1873-1	02-21-2012	02-23-2012	MR METAL(ETOBICOKE) IN	44.08	CAD	44.08	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR SHEET	
"PARKS, FORESTRY & RECREATION"	1878-1	02-21-2012	02-27-2012	PACIFIC FASTENERS (198	46.78	CAD	46.78	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	BOLTS	
"PARKS, FORESTRY & RECREATION"	1880-1	02-24-2012	02-28-2012	PRAXAIR #757	316.87	CAD	316.87	CAD	3080	M & E - HAND TOOLS	P12017	SOUTH GENERAL-PKS TE	7692	Welding Repair	PLAS CUTTING KIT	
					"1,153.36"	CAD	"1,153.36"	CAD								
"PARKS, FORESTRY & RECREATION"	1841-2	02-01-2012	02-02-2012	LOWES #03096*	686.97	CAD	686.97	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1842-2	02-01-2012	02-03-2012	THE HOME DEPOT #7011	371.72	CAD	371.72	CAD	3080	M & E - HAND TOOLS	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1851-2	02-07-2012	02-08-2012	LOWES #03096*	270.01	CAD	270.01	CAD	2535	PLUMBING SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1854-3	02-07-2012	02-09-2012	THE HOME DEPOT #7011	456.64	CAD	456.64	CAD	3050	M & E - KITCHEN	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	FRIDGE	
"PARKS, FORESTRY & RECREATION"	1880-2	02-27-2012	02-28-2012	TORBRAM ELECTRIC SUPPL	85.95	CAD	85.95	CAD	2575	ELECTRICAL SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5065	Electrical Parts and Equipment	FAN-NORTH SKI LIFT	
"PARKS, FORESTRY & RECREATION"	1882-1	02-27-2012	02-29-2012	CDN TIRE STORE #00152	117.35	CAD	117.35	CAD	2401	LUBRICANTS	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	OIL-SNOWGROOMER	
					"1,988.64"	CAD	"1,988.64"	CAD								
"PARKS, FORESTRY & RECREATION"	1842-3	02-01-2012	02-03-2012	RONA NOBLE TRADE 52010	47.44	CAD	47.44	CAD	2535	PLUMBING SUPPLIES	P03029	DON MILLS-OPS	5251	Hardware Stores	"PRESSURE GAUGES, RING HANGER"	
"PARKS, FORESTRY & RECREATION"	1851-3	02-07-2012	02-08-2012	WATER AND ICE NORTH AM	200.01	CAD	200.01	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	"6"" STRAINER LID"	
"PARKS, FORESTRY & RECREATION"	1851-4	02-07-2012	02-08-2012	WATER AND ICE NORTH AM	109.61	CAD	109.61	CAD	2535	PLUMBING SUPPLIES	P07726	N TORONTO-OPERATIONS	5996	Swimming Pools - Sales and Supplies	VACUUM GAUGE/PRESS GAUGE	
"PARKS, FORESTRY & RECREATION"	1862-1	02-14-2012	02-15-2012	CENTENNIAL PLUMBING SU	93.88	CAD	93.88	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	1711	"Air Conditioning, Heating, and Plumbing"	GALV.BUSHING/NIPPLE/UNION	
"PARKS, FORESTRY & RECREATION"	1873-2	02-21-2012	02-23-2012	BAHNAIR OF CANADA	207.97	CAD	207.97	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5074	Plumbing and Heating Equipment	FRAME & FILTER PAD	
"PARKS, FORESTRY & RECREATION"	1878-2	02-23-2012	02-27-2012	RONA NOBLE TRADE 52010	77.09	CAD	77.09	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5251	Hardware Stores	PVC NIPPLES	
					736.00	CAD	736.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1839-3	01-31-2012	02-01-2012	PRICE CHOPPER #7938QPS	40.05	CAD	40.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CURRANTS, ORANGES, TEA BAGS FOR MAD FOR MARMALADE"	
ECONOMIC DEVELOPMENT & CULTURE	1841-3	02-01-2012	02-02-2012	PRICE CHOPPER #7938QPS	41.71	CAD	41.71	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"APPLE,MILK,WATER,SUGAR ICING FOR MAD FOR MARMALADE"	
ECONOMIC DEVELOPMENT & CULTURE	1848-2	02-03-2012	02-06-2012	PRICE CHOPPER #7938QPS	69.37	CAD	69.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	*****	
ECONOMIC DEVELOPMENT & CULTURE	1850-1	02-06-2012	02-07-2012	LOBLAWS 4.2	23.94	CAD	23.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	APPLE CIDER FOR WAR OF 1812 SYMPOSIUM	
ECONOMIC DEVELOPMENT & CULTURE	1856-2	02-09-2012	02-10-2012	PRICE CHOPPER #7938QPS	98.40	CAD	98.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	*****	
ECONOMIC DEVELOPMENT & CULTURE	1856-3	02-09-2012	02-10-2012	PRICE CHOPPER #7938QPS	8.91	CAD	8.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	YOGURT FOR BAKING FOR MAD FOR MARMALADE	
ECONOMIC DEVELOPMENT & CULTURE	1862-2	02-13-2012	02-15-2012	F.R.I.E.S	313.69	CAD	313.69	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0101	HS-MH-PUB-FORT YORK	7623	Air Conditioning and Refrigeration Repai	REPAIRS TO ICE MACHINE	
ECONOMIC DEVELOPMENT & CULTURE	1869-1	02-17-2012	02-20-2012	SUN VALLEY FINE FOODS	63.74	CAD	63.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	CLEMENTINES & SEVILLE ORANGES - MAD FOR MARMALADE	
ECONOMIC DEVELOPMENT & CULTURE	1872-2	02-21-2012	02-22-2012	PRICE CHOPPER #7938QPS	89.59	CAD	89.59	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	*****	
ECONOMIC DEVELOPMENT & CULTURE	1876-1	02-22-2012	02-24-2012	CDN TIRE STORE #00654	123.98	CAD	123.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5200	Home Supply Warehouse	ELECTRIC KETTLES AND CUTTING BOARDS FOR KITCHEN	
ECONOMIC DEVELOPMENT & CULTURE	1876-2	02-23-2012	02-24-2012	PRICE CHOPPER #7869QPS	28.04	CAD	28.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	ORANGES FOR MAD FOR MARMALADE	
ECONOMIC DEVELOPMENT & CULTURE	1878-3	02-25-2012	02-27-2012	SOBEYS #938        QPS	27.25	CAD	27.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	ORANGES AND TEA FOR MAD FOR MARMALADE	
					928.67	CAD	928.67	CAD								
FIRE SERVICES	1876-3	02-23-2012	02-24-2012	PATLON AIRCRAFT   INDU	250.86	CAD	250.86	CAD	2120	PARTS - MACHINERY & EQUIPMENT	FR0035	CBRNR	1799	"Contractors, Special Trade - Not Elsewhe"	DOSIMETER CALIBRATION	
					250.86	CAD	250.86	CAD								
TRANSPORTATION SERVICES 	1882-2	02-27-2012	02-29-2012	MOE - HWIN WEB	55.00	CAD	55.00	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0204	TRANSP SIGN SHOP	9399	Government Services - Not Elsewhere Clas	MINISTRY OF ENVIRONMENT MANIFEST FEES	
					55.00	CAD	55.00	CAD								
"PARKS, FORESTRY & RECREATION"	1841-4	02-01-2012	02-02-2012	ROTBLOTT'S DISCOUNT WH	48.44	CAD	48.44	CAD	2730	LOCKS	P00152	C-WTRFRONT3-TURF&HOR	5251	Hardware Stores	KEY CUTTING	
"PARKS, FORESTRY & RECREATION"	1850-2	02-04-2012	02-07-2012	CDN TIRE STORE #00427	29.97	CAD	29.97	CAD	2710	GENERAL HARDWARE	P00152	C-WTRFRONT3-TURF&HOR	5200	Home Supply Warehouse	"TARPS, BUNGEE CORDS"	
					78.41	CAD	78.41	CAD								
LONG TERM CARE HOMES	1866-5	02-16-2012	02-17-2012	SILVERT'S	297.05	CAD	297.05	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3L011	WESBURN-PA-OA	5621	Women's Ready to Wear Stores	TO REPLACE RESIDENT LOST CLOTHING	
					297.05	CAD	297.05	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1839-4	01-31-2012	02-01-2012	THE PRINCESS OF WALES	12.00	CAD	12.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0108	HS-MH-REN-FORT YORK	7399	Business Services - Not Elsewhere Classi	PARKING FOR MEETING AT METRO HALL	
ECONOMIC DEVELOPMENT & CULTURE	1850-3	02-06-2012	02-07-2012	LOWES #03096*	47.19	CAD	47.19	CAD	2575	ELECTRICAL SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5200	Home Supply Warehouse	PER METRE SJOOW 14/3 BLK	
ECONOMIC DEVELOPMENT & CULTURE	1854-4	02-08-2012	02-09-2012	TORONTO PARKING AUTHOR	2.25	CAD	2.25	CAD	4770	PARKING EXPENSES (INTOWN)	AH0129	AS-PR-RRP-LAKESHORE	7523	Automobile Parking Lots and Garages	PARKING FOR MEETING	
ECONOMIC DEVELOPMENT & CULTURE	1866-6	02-16-2012	02-17-2012	LOWES #03096*	47.90	CAD	47.90	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RRP-LAKESHORE	5200	Home Supply Warehouse	2.4M - 4.8M SHERLOCK POLE	
ECONOMIC DEVELOPMENT & CULTURE	1866-7	02-16-2012	02-17-2012	LAKESHORE LUMBER	52.34	CAD	52.34	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5251	Hardware Stores	MDF BOARD AND PAINTING SUPPLIES FOR CONSTRUCTION	
ECONOMIC DEVELOPMENT & CULTURE	1866-8	02-16-2012	02-17-2012	LAKESHORE LUMBER	52.24	CAD	52.24	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5251	Hardware Stores	MDF BOARD AND PAINTING SUPPLIES FOR CONSTRUCTION	
ECONOMIC DEVELOPMENT & CULTURE	1866-9	02-16-2012	02-17-2012	LAKESHORE LUMBER	-52.34	CAD	-52.34	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0129	AS-PR-RRP-LAKESHORE	5251	Hardware Stores	REFUND - MDF BOARD AND PAINTING SUPPLIES	
					161.58	CAD	161.58	CAD								
SOLID WASTE MANAGEMENT	1839-5	01-30-2012	02-01-2012	THE HOME DEPOT #7012	31.80	CAD	31.80	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1839-6	01-30-2012	02-01-2012	THE HOME DEPOT #7078	40.43	CAD	40.43	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0830	SCARBOROUGH TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1842-4	02-01-2012	02-03-2012	THE HOME DEPOT #7078	37.27	CAD	37.27	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1842-5	02-01-2012	02-03-2012	THE HOME DEPOT #7078	153.31	CAD	153.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1856-4	02-08-2012	02-10-2012	THE HOME DEPOT #7012	91.36	CAD	91.36	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1862-3	02-13-2012	02-15-2012	THE HOME DEPOT #7012	51.71	CAD	51.71	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1866-10	02-15-2012	02-17-2012	THE HOME DEPOT #7012	86.19	CAD	86.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1869-2	02-16-2012	02-20-2012	THE HOME DEPOT #7012	23.59	CAD	23.59	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1878-4	02-23-2012	02-27-2012	THE HOME DEPOT #7078	21.21	CAD	21.21	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0800	BERMONDSEY TS OPER	5200	Home Supply Warehouse	*****	
SOLID WASTE MANAGEMENT	1878-5	02-23-2012	02-27-2012	PLASTIC WORLD	33.90	CAD	33.90	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL&ELECTRICA	5085	Industrial Supplies Not Elsewhere Classi	CLEAR AC & PC CUT TO SIZE	
SOLID WASTE MANAGEMENT	1882-3	02-27-2012	02-29-2012	THE HOME DEPOT #7129	32.68	CAD	32.68	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW358-11-05	BUILDING AMENDITIES AND UPGRADES	5200	Home Supply Warehouse	*****	
					603.45	CAD	603.45	CAD								
"PARKS, FORESTRY & RECREATION"	1858-1	02-09-2012	02-13-2012	THE HOME DEPOT #7012	79.09	CAD	79.09	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00271	E-SOUTH1-TURF&HORT	5200	Home Supply Warehouse	GRINDER	
"PARKS, FORESTRY & RECREATION"	1878-6	02-24-2012	02-27-2012	THE HOME DEPOT #7012	53.00	CAD	53.00	CAD	2710	GENERAL HARDWARE	P00271	E-SOUTH1-TURF&HORT	5200	Home Supply Warehouse	*****	
					132.09	CAD	132.09	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1842-6	02-01-2012	02-03-2012	CDN TIRE STORE #00600	3.15	CAD	3.15	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0153	CD-AM-FAC-MCKENZIE H	5200	Home Supply Warehouse	1 TUB OF SPACLE DRYDEX (PAINTERS FILLER)	
ECONOMIC DEVELOPMENT & CULTURE	1856-5	02-08-2012	02-10-2012	THE HOME DEPOT #7134	19.20	CAD	19.20	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5200	Home Supply Warehouse	WOOD FILL	
ECONOMIC DEVELOPMENT & CULTURE	1858-2	02-10-2012	02-13-2012	THE HOME DEPOT #7073	576.57	CAD	576.57	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0154	CD-AM-FAC-FORT YORK	5200	Home Supply Warehouse	*****	
ECONOMIC DEVELOPMENT & CULTURE	1873-3	02-21-2012	02-23-2012	THE HOME DEPOT #7134	-29.31	CAD	-29.31	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0154	CD-AM-FAC-FORT YORK	5200	Home Supply Warehouse	POLYRTHN GRY	
ECONOMIC DEVELOPMENT & CULTURE	1876-4	02-22-2012	02-24-2012	THE HOME DEPOT #7073	27.83	CAD	27.83	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5200	Home Supply Warehouse	*****	
					597.44	CAD	597.44	CAD								
TORONTO WATER	1848-3	02-02-2012	02-06-2012	BELL EXPRESS VU COMMER	201.14	CAD	201.14	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	WW1060	HCTP PLANT ADMIN SUP	4899	Cable and Other Pay Television Services	INSTALLATION	
TORONTO WATER	1863-1	02-16-2012	02-16-2012	TIGERDIRECT.CA	144.28	CAD	144.28	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	WW1062	HCTP PLANT SRVCS WA3	5964	Direct Marketing - Catalog Merchants	CARTRIDGE	
					345.42	CAD	345.42	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1842-7	02-02-2012	02-03-2012	PHILLIPS COPY CENTRE	"2,542.50"	CAD	"2,542.50"	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0018	AS-PS-PUB-CEDAR RIDG	5044	"Office, Photographic, Photocopy, and Mic"	PRINTING CEDAR RIDGE PROGRAM BROCHURE	
ECONOMIC DEVELOPMENT & CULTURE	1848-4	02-02-2012	02-06-2012	TORONTO COMMUNITY NEWS	101.60	CAD	101.60	CAD	4414	ADVERTISING & PROMOTION	AH0018	AS-PS-PUB-CEDAR RIDG	2741	Miscellaneous Publishing and Printing	DISTRIBUTION OF CEDAR RIDGE CC BROCHURES	
ECONOMIC DEVELOPMENT & CULTURE	1848-5	02-02-2012	02-06-2012	TORONTO COMMUNITY NEWS	555.96	CAD	555.96	CAD	4414	ADVERTISING & PROMOTION	AH0018	AS-PS-PUB-CEDAR RIDG	2741	Miscellaneous Publishing and Printing	DISTRIBUTION OF CEDAR RIDGE CC BROCHURES	
ECONOMIC DEVELOPMENT & CULTURE	1854-5	02-07-2012	02-09-2012	PAYPAL *FOUNDART	485.90	CAD	485.90	CAD	4085	PROF & TECH-MGMT	AH0018	AS-PS-PUB-CEDAR RIDG	8999	Professional Services - Not Elsewhere Cl	DESIGN OF CEDAR RIDGE BROCHURE	
ECONOMIC DEVELOPMENT & CULTURE	1880-3	02-27-2012	02-28-2012	JOHN BEAD CORP LTD	710.65	CAD	710.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUB-CEDAR RIDG	5970	"Artist Supply Stores, Craft Shops"	MARCH BREAK CAMP SUPPLIES	
					"4,396.61"	CAD	"4,396.61"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1862-4	02-13-2012	02-15-2012	PAYPAL *CUI	135.00	CAD	135.00	CAD	4760	MEMBERSHIP FEES	ED0170	ECONOMIC DEVELOPMENT	8398	"Organizations, Charitable and Social Ser"	MEMBERSHIP RENEWAL	
					135.00	CAD	135.00	CAD								
TORONTO WATER	1876-5	02-23-2012	02-24-2012	HARBOUR FRONT COMMUNIT	121.50	CAD	121.50	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	CWW452-04	SEWER ASSET PLANNING	8641	"Associations - Civic, Social, and Frater"	MEETING VENUE - WATERFRONT SEWER MP	
					121.50	CAD	121.50	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1869-3	02-19-2012	02-20-2012	STAPLES STORE #26	39.46	CAD	39.46	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5943	"Office, School Supply, and Stationery St"	FILE BOXES	
ECONOMIC DEVELOPMENT & CULTURE	1882-4	02-28-2012	02-29-2012	STAPLES STORE #26	46.42	CAD	46.42	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5943	"Office, School Supply, and Stationery St"	FILE BOXES	
ECONOMIC DEVELOPMENT & CULTURE	1882-5	02-28-2012	02-29-2012	STAPLES STORE #26	-46.42	CAD	-46.42	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5943	"Office, School Supply, and Stationery St"	FILE BOXES - REFUND	
ECONOMIC DEVELOPMENT & CULTURE	1882-6	02-28-2012	02-29-2012	STAPLES STORE #26	-39.46	CAD	-39.46	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-CLM-98 ATLANTI	5943	"Office, School Supply, and Stationery St"	FILE BOXES - REFUND	
					0.00	CAD	0.00	CAD								
LONG TERM CARE HOMES	1854-6	02-09-2012	02-09-2012	XEROX CANADA LTD -A/R	148.80	CAD	148.80	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	D3K011	LAKESHR LDGE-PA-OA	7399	Business Services - Not Elsewhere Classi	PRINTING SUPPLIES	
LONG TERM CARE HOMES	1866-11	02-09-2012	02-17-2012	LOCK-UP SERVICES INC.	218.03	CAD	218.03	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K011	LAKESHR LDGE-PA-OA	7393	"Detective Agencies, Protective Agencies,"	REPAIR SAFE HANDLE AND LABOUR CHARGES	
					366.83	CAD	366.83	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1856-6	02-08-2012	02-10-2012	T R L	116.39	CAD	116.39	CAD	4082	PHOTO/VIDEO SERVICES	AH0092	HS-MH-PRS-MACKENZIE	9399	Government Services - Not Elsewhere Clas	EXHIBIT IMAGES	
ECONOMIC DEVELOPMENT & CULTURE	1856-7	02-09-2012	02-10-2012	SHOPPER'S DRUG MART #1	20.31	CAD	20.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0074	HS-MH-EDU-MACKENZIE	5912	"Drug Stores, Pharmacies"	CRAYOLA MARKERS	
					136.70	CAD	136.70	CAD								
