Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Original Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	"Cost Centre/
WBS Element"	Cost Centre/ WBS Element Descrption	"Merchant
 Type"	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	1922-1	03-26-2012	03-27-2012	NOFRILLS VITO'S #3936	45.84	CAD	45.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES
					860.91	CAD	860.91	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1901-5	03-09-2012	03-12-2012	NOFRILLS ROB S  1397	12.38	CAD	12.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"MILK, APPLES, ORANGES,SNACKS FOR MARCH BREAK CAMP"
ECONOMIC DEVELOPMENT & CULTURE	1917-3	03-22-2012	03-23-2012	SHOPPER'S DRUG MART #1	26.88	CAD	26.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	EGGS FOR EASTER TRADITIONS
ECONOMIC DEVELOPMENT & CULTURE	1917-4	03-22-2012	03-23-2012	NOFRILLS ROB S  1397	20.46	CAD	20.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	*****
					59.72	CAD	59.72	CAD							
"PARKS, FORESTRY & RECREATION"	1897-1	03-06-2012	03-08-2012	SOBEYS #939        QPS	8.75	CAD	8.75	CAD	2610	KITCHEN SUPPLIES	P12116	MAIN SQ CC-ARTS VISL	5411	"Grocery Stores, Supermarkets"	ICE TRAYS
"PARKS, FORESTRY & RECREATION"	1897-2	03-06-2012	03-08-2012	WAL-MART # 3106	5.65	CAD	5.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12116	MAIN SQ CC-ARTS VISL	5411	"Grocery Stores, Supermarkets"	PRESCHOOL CD
"PARKS, FORESTRY & RECREATION"	1910-1	03-16-2012	03-19-2012	NFB-MEDIATHEQUE-ONF	110.00	CAD	110.00	CAD	4118	TICKETS AND ADMISSION FEES	P12116	MAIN SQ CC-ARTS VISL	9399	Government Services - Not Elsewhere Clas	ADMISSION FEES - MARCH BREAK CAMP TRIP
					124.40	CAD	124.40	CAD							
"PARKS, FORESTRY & RECREATION"	1920-1	03-23-2012	03-26-2012	DRIVE PRODUCTS	12.42	CAD	12.42	CAD	2710	GENERAL HARDWARE	P12856	RAVWTRMAINT	5046	Commercial Equipment Not Elsewhere Class	TELESCOPIC 45 TINE R
"PARKS, FORESTRY & RECREATION"	1924-1	03-27-2012	03-29-2012	THE HOME DEPOT #7001	29.33	CAD	29.33	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12856	RAVWTRMAINT	5200	Home Supply Warehouse	*****
					41.75	CAD	41.75	CAD							
"PARKS, FORESTRY & RECREATION"	1902-3	03-12-2012	03-13-2012	METRO#853	116.47	CAD	116.47	CAD	****	MULTIPLE G/L ACCOUNTS USED	P01050	SPCEVNT-MEL LASTMAN	5411	"Grocery Stores, Supermarkets"	FOOD FOR 3 DIFFERENT BAKING/COOKING PROJECTS
					116.47	CAD	116.47	CAD							
"PARKS, FORESTRY & RECREATION"	1884-1	02-28-2012	03-01-2012	MR METAL(ETOBICOKE) IN	81.36	CAD	81.36	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	SS ANGLE 304
"PARKS, FORESTRY & RECREATION"	1884-2	02-29-2012	03-01-2012	ASA ALLOYS	186.45	CAD	186.45	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	ALUMINUM PLATE
"PARKS, FORESTRY & RECREATION"	1888-1	03-02-2012	03-05-2012	FASTENAL CANADA  CN84	33.58	CAD	33.58	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	7399	Business Services - Not Elsewhere Classi	TROD STEEL
"PARKS, FORESTRY & RECREATION"	1898-3	03-08-2012	03-09-2012	LINDE CANADA - ETOBICO	146.66	CAD	146.66	CAD	2082	HEALTH & SAFETY SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5072	Hardware Equipment and Supplies	DISPOSABLE RESPIRATOR
"PARKS, FORESTRY & RECREATION"	1901-6	03-08-2012	03-12-2012	MR METAL(ETOBICOKE) IN	38.57	CAD	38.57	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	SS FLAT STEEL
"PARKS, FORESTRY & RECREATION"	1901-7	03-08-2012	03-12-2012	FASTENAL CANADA  CN84	148.79	CAD	148.79	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	7399	Business Services - Not Elsewhere Classi	"120V SLID ANGLE GRINDER, JOBBERS"
"PARKS, FORESTRY & RECREATION"	1910-2	03-15-2012	03-19-2012	PACIFIC FASTENERS (198	203.13	CAD	203.13	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	"3"" PIANO HINGE"
"PARKS, FORESTRY & RECREATION"	1910-3	03-15-2012	03-19-2012	MR METAL(ETOBICOKE) IN	47.65	CAD	47.65	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	SS FLAT STEEL
"PARKS, FORESTRY & RECREATION"	1912-1	03-16-2012	03-20-2012	MR METAL(ETOBICOKE) IN	107.66	CAD	107.66	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR SHEET 11G
"PARKS, FORESTRY & RECREATION"	1914-1	03-19-2012	03-21-2012	MR METAL(ETOBICOKE) IN	55.58	CAD	55.58	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	EXPANDED SHEET
"PARKS, FORESTRY & RECREATION"	1917-5	03-21-2012	03-23-2012	FASTENAL CANADA  CN84	361.26	CAD	361.26	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	7399	Business Services - Not Elsewhere Classi	C-DISC
"PARKS, FORESTRY & RECREATION"	1922-2	03-23-2012	03-27-2012	PACIFIC FASTENERS (198	174.10	CAD	174.10	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	"3"" PIANO HINGE"
"PARKS, FORESTRY & RECREATION"	1925-1	03-27-2012	03-30-2012	GERARD DANIEL WORLD WI	602.60	CAD	602.60	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	1761	"Roofing and Siding, Sheet Metal Work Con"	"SST304 1/4"" RND"
"PARKS, FORESTRY & RECREATION"	1925-2	03-28-2012	03-30-2012	MR METAL(ETOBICOKE) IN	32.13	CAD	32.13	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR STANDARD
					"2,219.52"	CAD	"2,219.52"	CAD							
"PARKS, FORESTRY & RECREATION"	1885-1	02-29-2012	03-02-2012	CDN TIRE STORE #00070	218.56	CAD	218.56	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	FIBERGLASS REPAIR
"PARKS, FORESTRY & RECREATION"	1893-1	03-05-2012	03-06-2012	TECHNICAL STANDARDS AN	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	P10910	CENTENNIAL SKI CTR-O	1799	"Contractors, Special Trade - Not Elsewhe"	TSSA LICENCE RENEWAL
"PARKS, FORESTRY & RECREATION"	1904-1	03-13-2012	03-14-2012	TORBRAM ELECTRIC SUPPL	316.40	CAD	316.40	CAD	2575	ELECTRICAL SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5065	Electrical Parts and Equipment	MISC. ELECTRICAL SUPPLIES
"PARKS, FORESTRY & RECREATION"	1906-1	03-13-2012	03-15-2012	CDN TIRE STORE #00152	230.02	CAD	230.02	CAD	3080	M & E - HAND TOOLS	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	HAND TOOLS
"PARKS, FORESTRY & RECREATION"	1907-1	03-14-2012	03-16-2012	CDN TIRE STORE #00070	106.14	CAD	106.14	CAD	3080	M & E - HAND TOOLS	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	HAND TOOLS
"PARKS, FORESTRY & RECREATION"	1925-3	03-28-2012	03-30-2012	FRANKLIN EMPIRE INC	123.76	CAD	123.76	CAD	2575	ELECTRICAL SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5065	Electrical Parts and Equipment	ELECTRICAL BOX
"PARKS, FORESTRY & RECREATION"	1925-4	03-29-2012	03-30-2012	HUTCHINSON FARM SUPPLY	56.65	CAD	56.65	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5599	"Miscellaneous Automotive, Aircraft, and"	
					"1,126.53"	CAD	"1,126.53"	CAD							
"PARKS, FORESTRY & RECREATION"	1895-1	02-27-2012	03-07-2012	SUPERIOR POOL SPA   LE	189.84	CAD	189.84	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	ANTIFOAM
"PARKS, FORESTRY & RECREATION"	1901-8	03-11-2012	03-12-2012	WATER AND ICE NORTH AM	767.27	CAD	767.27	CAD	3099	GENERAL EQUIPMENT	P00859	ALNESS YD-YD OPERN	5996	Swimming Pools - Sales and Supplies	1 HP PUMP
"PARKS, FORESTRY & RECREATION"	1907-2	03-15-2012	03-16-2012	FABCO PLASTICS WHOLESA	160.95	CAD	160.95	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YD OPERN	7399	Business Services - Not Elsewhere Classi	PVC CEMENT/FITTINGS
					"1,118.06"	CAD	"1,118.06"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1895-2	03-06-2012	03-07-2012	PRICE CHOPPER #7938QPS	57.47	CAD	57.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	MILK AND CURRANTS FOR KITCHEN PROGRAMME
ECONOMIC DEVELOPMENT & CULTURE	1902-4	03-12-2012	03-13-2012	PRICE CHOPPER #7869QPS	6.73	CAD	6.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	PAPER BAGS FOR MARCH BREAK PROGRAMME
ECONOMIC DEVELOPMENT & CULTURE	1920-2	03-23-2012	03-26-2012	PRICE CHOPPER #7938QPS	5.58	CAD	5.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	MILK FOR LHP PROGRAMME
					69.78	CAD	69.78	CAD							
311 TORONTO	1910-4	03-16-2012	03-19-2012	FEDEX - YFH	108.54	CAD	108.54	CAD	****	MULTIPLE G/L ACCOUNTS USED	AH0087	HS-MH-PRS-GIBSON HOU	4215	"Courier Services - Air & Ground, Freight"	*****
					108.54	CAD	108.54	CAD							
TRANSPORTATION SERVICES 	1910-5	03-16-2012	03-19-2012	INTERNATIONAL MUNICIPA	71.30	CAD	70.00	USD	4760	MEMBERSHIP FEES	TP0399	SIGNS/MKGS MGMT & OH	8299	Educational Services	IMSA MEMBERSHIP DUES FOR 2012
TRANSPORTATION SERVICES 	1917-6	03-22-2012	03-23-2012	CARSWELL	232.51	CAD	232.51	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TP0399	SIGNS/MKGS MGMT & OH	7338	"Quick Copy, Reproduction, and Blueprinti"	2012 POCKET OH&S ACT & REGULATIONS BOOKS
					303.81	CAD	232.51	CAD							
						CAD	70.00	USD							
LONG TERM CARE HOMES	1898-4	03-08-2012	03-09-2012	WESTPORT MANUFACTURING	265.55	CAD	265.55	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3L041	WESBURN-HK-OA	5714	"Drapery, Upholstery, and Window Covering"	SNAP BACKS FOR DRAPES
					265.55	CAD	265.55	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1884-3	02-29-2012	03-01-2012	NO FRILLS MARIO   SELI	72.70	CAD	72.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RRP-LAKESHORE	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR INSIGHT YOUTH ART SHOW RECEPTION
ECONOMIC DEVELOPMENT & CULTURE	1884-4	02-29-2012	03-01-2012	NO FRILLS MARIO   SELI	82.41	CAD	82.41	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RRP-LAKESHORE	5411	"Grocery Stores, Supermarkets"	"SODA, JUICE AND COFFEE FOR RESALE AT SNACK BAR"
ECONOMIC DEVELOPMENT & CULTURE	1885-2	03-01-2012	03-02-2012	VALUMART LAKESHORE 265	139.06	CAD	139.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RRP-LAKESHORE	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR INSIGHT YOUTH ART SHOW RECEPTION
ECONOMIC DEVELOPMENT & CULTURE	1885-3	03-01-2012	03-02-2012	SOBEYS #741        QPS	22.28	CAD	22.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RRP-LAKESHORE	5411	"Grocery Stores, Supermarkets"	*****
					316.45	CAD	316.45	CAD							
"PARKS, FORESTRY & RECREATION"	1888-2	03-02-2012	03-05-2012	STAPLES STORE #11	41.68	CAD	41.68	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	P12049	NEW TOR-COMM CTR-PGM	5943	"Office, School Supply, and Stationery St"	FAX INK
					41.68	CAD	41.68	CAD							
SOLID WASTE MANAGEMENT	1888-3	03-01-2012	03-05-2012	THE HOME DEPOT #7012	32.04	CAD	32.04	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0825	DUFFERIN TS OPER	5200	Home Supply Warehouse	*****
SOLID WASTE MANAGEMENT	1902-5	03-09-2012	03-13-2012	DUFFERIN TILE	"1,257.97"	CAD	"1,257.97"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW358-11-05	BUILDING AMENDITIES AND UPGRADES	5713	Floor Covering Stores	MURANO NOCE-ULTRAFLEX-MOCHA SANDED
SOLID WASTE MANAGEMENT	1904-2	03-12-2012	03-14-2012	THE HOME DEPOT #7012	40.45	CAD	40.45	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW358-11-05	BUILDING AMENDITIES AND UPGRADES	5200	Home Supply Warehouse	*****
					"1,330.46"	CAD	"1,330.46"	CAD							
"PARKS, FORESTRY & RECREATION"	1884-5	02-29-2012	03-01-2012	STAPLES STORE #3	14.74	CAD	14.74	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P00271	E-SOUTH1-TURF&HORT	5943	"Office, School Supply, and Stationery St"	DRY MARKERS & ERASER
"PARKS, FORESTRY & RECREATION"	1893-2	03-05-2012	03-06-2012	VALLEYVIEW GARDENS HK	134.59	CAD	134.59	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00271	E-SOUTH1-TURF&HORT	5261	Lawn and Garden Supply Stores	EAST YORK DISPLAY PLANTS
					149.33	CAD	149.33	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1884-6	02-23-2012	03-01-2012	HOMESTEAD HOUSE COUNTR	22.59	CAD	22.59	CAD	2715	PAINT SUPPLIES	AH0153	CD-AM-FAC-MCKENZIE H	5231	"Glass, Paint, Wallpaper Stores"	1 QUART PAINT
ECONOMIC DEVELOPMENT & CULTURE	1884-7	02-28-2012	03-01-2012	THE HOME DEPOT #7013	12.55	CAD	12.55	CAD	2715	PAINT SUPPLIES	AH0151	CD-AM-FAC-SPADINA HS	5200	Home Supply Warehouse	*****
ECONOMIC DEVELOPMENT & CULTURE	1884-8	02-28-2012	03-01-2012	HOMESTEAD HOUSE COUNTR	46.00	CAD	46.00	CAD	2715	PAINT SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5231	"Glass, Paint, Wallpaper Stores"	ONE GALLON ALKOYD PRIMER
ECONOMIC DEVELOPMENT & CULTURE	1898-5	03-06-2012	03-09-2012	HOMESTEAD HOUSE COUNTR	22.79	CAD	22.79	CAD	2715	PAINT SUPPLIES	AH0153	CD-AM-FAC-MCKENZIE H	5231	"Glass, Paint, Wallpaper Stores"	*****
ECONOMIC DEVELOPMENT & CULTURE	1898-6	03-07-2012	03-09-2012	THE HOME DEPOT #7134	6.83	CAD	6.83	CAD	2715	PAINT SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5200	Home Supply Warehouse	*****
ECONOMIC DEVELOPMENT & CULTURE	1907-3	03-15-2012	03-16-2012	ATLAS MACHINERY SUPPLY	108.34	CAD	108.34	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0029	CD-AM-FAC-METRO HALL	5251	Hardware Stores	"1 SCALINGCHISEL, 1 FLUSHCUTTINGCARBIDE"
ECONOMIC DEVELOPMENT & CULTURE	1914-2	03-19-2012	03-21-2012	THE HOME DEPOT #7013	23.72	CAD	23.72	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0154	CD-AM-FAC-FORT YORK	5200	Home Supply Warehouse	50 LB.THINSE
					242.82	CAD	242.82	CAD							
TORONTO WATER	1898-7	03-07-2012	03-09-2012	MOE - HWIN WEB	758.08	CAD	758.08	CAD	4199	OTHER PROFESSIONAL AND TECHNICAL SERVICE	WW1060	HCTP PLANT ADMIN SUP	9399	Government Services - Not Elsewhere Clas	REGISTRATION
TORONTO WATER	1914-3	03-21-2012	03-21-2012	TIGERDIRECT.CA	"1,672.03"	CAD	"1,672.03"	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	WW1060	HCTP PLANT ADMIN SUP	5964	Direct Marketing - Catalog Merchants	TONNER
TORONTO WATER	1917-7	03-22-2012	03-23-2012	TECHNICAL STANDARDS AN	100.00	CAD	100.00	CAD	4760	MEMBERSHIP FEES	WW1062	HCTP PLANT SRVCS WA3	1799	"Contractors, Special Trade - Not Elsewhe"	LICENCE RENEWAL
TORONTO WATER	1917-8	03-23-2012	03-23-2012	TIGERDIRECT.CA	602.92	CAD	602.92	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	WW1060	HCTP PLANT ADMIN SUP	5964	Direct Marketing - Catalog Merchants	PRINTER SUPPLIES
					"3,133.03"	CAD	"3,133.03"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1895-3	03-05-2012	03-07-2012	DESERRES.CA	519.39	CAD	519.39	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUB-CEDAR RIDG	5970	"Artist Supply Stores, Craft Shops"	"PROGRAM SUPPLIES-PAINT, CRAFT SUPPLIES"
ECONOMIC DEVELOPMENT & CULTURE	1924-2	03-28-2012	03-29-2012	LEE VALLEY TOOLS 800-2	31.53	CAD	31.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AS-PS-PUB-CEDAR RIDG	5251	Hardware Stores	PROGRAM SUPPLIES-BUFFING WHEEL FOR GRINDER
					550.92	CAD	550.92	CAD							
"POLICY, PLANNING, FINANCE & ADMINISTRATION"	1902-6	03-09-2012	03-13-2012	STEVE S MUSIC STORE IN	200.00	CAD	200.00	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	WE0007	COMMUNICATIONS	5733	"Music Stores - Musical Instruments, Pian"	TWO HAND HELD MICROPHONES
					200.00	CAD	200.00	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1924-3	03-27-2012	03-29-2012	ERIC WARD INTERIOR DES	230.00	CAD	230.00	CAD	4085	PROF & TECH-MGMT	AH0056	HS-MH-CLM-98 ATLANTI	8999	Professional Services - Not Elsewhere Cl	CUSTOM LAMPSHADE
					230.00	CAD	230.00	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1914-4	03-19-2012	03-21-2012	MGS ARCHIVE OF ONT	27.60	CAD	27.60	CAD	4082	PHOTO/VIDEO SERVICES	AH0092	HS-MH-PRS-MACKENZIE	9399	Government Services - Not Elsewhere Clas	IMAGES FOR REBELLION & FY
ECONOMIC DEVELOPMENT & CULTURE	1923-1	03-26-2012	03-28-2012	CDN TIRE STORE #00600	15.00	CAD	15.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0102	HS-MH-PUB-MACKENZIE	5200	Home Supply Warehouse	PAINT THINNER & HAND CLEANER FOR PRINTSHOP
					42.60	CAD	42.60	CAD							
"PARKS, FORESTRY & RECREATION"	1895-4	03-05-2012	03-07-2012	LCBO/RAO #804	928.93	CAD	928.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	RESTOCK BAR SUPPLIES
"PARKS, FORESTRY & RECREATION"	1901-9	03-08-2012	03-12-2012	LCBO/RAO #0164	783.00	CAD	783.00	CAD	2760	ALCOHOLIC BEVERAGES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	RESTOCK BAR SUPPLIES
"PARKS, FORESTRY & RECREATION"	1902-7	03-09-2012	03-13-2012	DES-THE BEER STORE #55	166.79	CAD	166.79	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	DRAUGHT LINE CLEANING FOR BAR
"PARKS, FORESTRY & RECREATION"	1910-6	03-15-2012	03-19-2012	LCBO/RAO #804	890.13	CAD	890.13	CAD	2760	ALCOHOLIC BEVERAGES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	RESTOCK BAR SUPPLIES
"PARKS, FORESTRY & RECREATION"	1920-3	03-22-2012	03-26-2012	LCBO/RAO #804	466.55	CAD	466.55	CAD	2760	ALCOHOLIC BEVERAGES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	RESTOCK BAR SUPPLIES
"PARKS, FORESTRY & RECREATION"	1925-5	03-28-2012	03-30-2012	LCBO/RAO #0164	144.51	CAD	144.51	CAD	2760	ALCOHOLIC BEVERAGES	P12183	LEASIDE CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	RESTOCK BAR SUPPLIES
					"3,379.91"	CAD	"3,379.91"	CAD							
"PARKS, FORESTRY & RECREATION"	1906-2	03-13-2012	03-15-2012	LCBO/RAO #804	"1,357.51"	CAD	"1,357.51"	CAD	2760	ALCOHOLIC BEVERAGES	P12543	EAST YK CURLING-SPEC	5921	"Package Stores, Beer, Wine, Liquor"	RESTOCK BAR SUPPLIES
					"1,357.51"	CAD	"1,357.51"	CAD							
"PARKS, FORESTRY & RECREATION"	1914-5	03-19-2012	03-21-2012	D   G VACUUM REPAIR SE	185.55	CAD	185.55	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P07704	MITCHELL FIELD-OPERA	7699	Miscellaneous Repair Shops and Related S	EQUIPMENT REPAIR
"PARKS, FORESTRY & RECREATION"	1914-6	03-19-2012	03-21-2012	D   G VACUUM REPAIR SE	229.84	CAD	229.84	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P07701	GOULDING CC-OPERATIO	7699	Miscellaneous Repair Shops and Related S	EQUIPMENT REPAIR
"PARKS, FORESTRY & RECREATION"	1920-4	03-22-2012	03-26-2012	CDN TIRE STORE #00192	129.93	CAD	129.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06686	EDITHVALE CC-OPERATI	5200	Home Supply Warehouse	GENERAL HARDWARE
					545.32	CAD	545.32	CAD							
