Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	4143-1	2016-08-04	2016-08-05	FAMOUS PEOPLE PLAYERS	237.13	CAD	237.13	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7922	Theatrical Producers (except Motion Pict	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	4145-1	2016-08-04	2016-08-08	YOUR DOLLAR STORE WITH	55.43	CAD	55.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5310	Discount Stores	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4153-1	2016-08-10	2016-08-11	CIRQUE ABILITY	211.88	CAD	211.88	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7997	"Clubs - Country Clubs, Membership (Athle"	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	4153-2	2016-08-10	2016-08-11	FAMOUS PEOPLE PLAYERS	110.66	CAD	110.66	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7922	Theatrical Producers (except Motion Pict	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	4160-1	2016-08-16	2016-08-17	NOFRILLS PETER'S 3926	71.48	CAD	71.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	7999	Recreation Services (Not Elsewhere Class	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4164-1	2016-08-18	2016-08-19	PARTY CITY #2008	28.20	CAD	28.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5947	"Card, Gift, Novelty, and Souvenir Shops"	COSTUMES FOR DANCE CAMP	
"PARKS, FORESTRY & RECREATION"	4164-2	2016-08-18	2016-08-19	LOBLAWS #1212	244.08	CAD	244.08	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	COOKING CLASS	
"PARKS, FORESTRY & RECREATION"	4164-3	2016-08-18	2016-08-19	NOFRILLS PETER'S 3926	12.19	CAD	12.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	7999	Recreation Services (Not Elsewhere Class	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4166-2	2016-08-20	2016-08-22	PETSMART INC 2172	23.36	CAD	23.36	CAD	2620	ANIMAL CARE SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5995	Pet Shops - Pet Food and Supplies	FOOD AND WATER SOFTENER FOR TURTLE TANK	
"PARKS, FORESTRY & RECREATION"	4166-3	2016-08-19	2016-08-22	YOGA THERAPY TORONTO I	175.00	CAD	175.00	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7997	"Clubs - Country Clubs, Membership (Athle"	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	4168-1	2016-08-22	2016-08-23	CIRQUE ABILITY	70.62	CAD	70.62	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7997	"Clubs - Country Clubs, Membership (Athle"	CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	4168-2	2016-08-22	2016-08-23	NOFRILLS JOSEPHS 730	29.45	CAD	29.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4178-1	2016-08-30	2016-08-31	NOFRILLS RX #3926	104.99	CAD	104.99	CAD	2824	PRESCRIPTION DRUGS	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	EPI PEN (REPLACEMENT FOR CHILD)	
					"1,374.47"	CAD	"1,374.47"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4133-3	2016-07-29	2016-08-01	FRESHCO #9781	33.88	CAD	33.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"RASPBERRIES, CAYENNE PEPPER, BROCCOLI, ONIONS, ETC"	
ECONOMIC DEVELOPMENT & CULTURE	4135-2	2016-08-01	2016-08-02	METRO #720	39.16	CAD	39.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CHICKEN TIGHS, FOAM PLATES"	
ECONOMIC DEVELOPMENT & CULTURE	4135-3	2016-07-31	2016-08-02	SOBEYS 938        QPS	60.79	CAD	60.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHIPPING CREAM, RASPBERRIES"	
ECONOMIC DEVELOPMENT & CULTURE	4143-2	2016-08-04	2016-08-05	METRO #720	53.80	CAD	53.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CORNSTARCH, BAKING POWDER, BROWN SUGAR, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4153-3	2016-08-09	2016-08-11	SOBEYS 938        QPS	43.68	CAD	43.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MUSTARD, THYME, ROSEMARY, SAGE, BROWN SUGAR, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4154-2	2016-08-11	2016-08-12	FRESHCO #9781	16.35	CAD	16.35	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"GOLDEN SYRUP, LAUNDRY DETERGENT"	
ECONOMIC DEVELOPMENT & CULTURE	4160-2	2016-08-16	2016-08-17	METRO #720	25.22	CAD	25.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHIPPING CREAM	
ECONOMIC DEVELOPMENT & CULTURE	4160-3	2016-08-16	2016-08-17	LOBLAWS 4.2	69.58	CAD	69.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"VANILLA BEANS, CHOCOLATE, PEACHES, RASPBERRIES"	
ECONOMIC DEVELOPMENT & CULTURE	4162-2	2016-08-17	2016-08-18	METRO #720	100.84	CAD	100.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"ANCHOVIES, VEAL, STRAWBERRIES, BEETS, ONIONS, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4164-4	2016-08-18	2016-08-19	FRESHCO #9781	15.32	CAD	15.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHIPPING CREAM, SPINACH, RADISHES"	
ECONOMIC DEVELOPMENT & CULTURE	4164-5	2016-08-17	2016-08-19	TORONTO CASH   CARRY	36.93	CAD	36.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CORIANDER, CARDAMOM, CUMIN, NUTMEG"	
ECONOMIC DEVELOPMENT & CULTURE	4166-4	2016-08-18	2016-08-22	CDN TIRE STORE #00273	106.54	CAD	106.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	"BATTERIES, CLOCK, CANNING LIDS AND JARS, ETC."	
					602.09	CAD	602.09	CAD								
FIRE SERVICES	4166-5	2016-08-18	2016-08-22	CDN TIRE STORE #00030	132.46	CAD	132.46	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	PLASTIC TOTES FOR TRAINING EQUIPMENT	
FIRE SERVICES	4166-6	2016-08-20	2016-08-22	ULINE	"1,247.51"	CAD	"1,247.51"	CAD	3099	GENERAL EQUIPMENT	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5964	Direct Marketing - Catalog Merchants	**MORE**  2X60 SILVER DUCT TAPE 24/CT	
					"1,379.97"	CAD	"1,379.97"	CAD								
TRANSPORTATION SERVICES 	4133-4	2016-07-29	2016-08-01	GREENBANK IND INC	212.33	CAD	212.33	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	5251	Hardware Stores	REPAIRS TO PALLET TRUCK	
TRANSPORTATION SERVICES 	4154-3	2016-08-11	2016-08-12	AMAZON *MARKETPLCE CA	24.16	CAD	24.16	CAD	4804	WIRELESS DEVICES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	4816	Computer Network/Information Services	BLACKBERRY PASSPORT CASE	
TRANSPORTATION SERVICES 	4166-7	2016-08-20	2016-08-22	PAYPAL *TWEETYMAIL	6.61	CAD	6.61	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4166-8	2016-08-20	2016-08-22	PAYPAL *TWEETYMAIL	6.61	CAD	6.61	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4166-9	2016-08-20	2016-08-22	PAYPAL *TWEETYMAIL	6.61	CAD	6.61	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4166-10	2016-08-20	2016-08-22	PAYPAL *TWEETYMAIL	6.61	CAD	6.61	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					262.93	CAD	262.93	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4156-1	2016-08-12	2016-08-15	CINE-SOURCE TORONTO	180.80	CAD	180.80	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5946	Camera and Photographic Supply Stores	REPAIR TO STRAND PANEL	
ECONOMIC DEVELOPMENT & CULTURE	4164-6	2016-08-18	2016-08-19	SCENEWORK CONSULTING L	754.28	CAD	754.28	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5046	Commercial Equipment Not Elsewhere Class	STRAND OUTLOOK SINGLE BUTTON STATION	
ECONOMIC DEVELOPMENT & CULTURE	4169-1	2016-08-23	2016-08-24	CINE-SOURCE LTD	-180.80	CAD	-180.80	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5046	Commercial Equipment Not Elsewhere Class	REFUND FOR REPAIR TO STRAND PANEL	
ECONOMIC DEVELOPMENT & CULTURE	4173-1	2016-08-25	2016-08-26	SESCO/OSSO #728	85.88	CAD	85.88	CAD	2575	ELECTRICAL SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5065	Electrical Parts and Equipment	BLUE GLASS THEATRE LGHTING JARS	
ECONOMIC DEVELOPMENT & CULTURE	4178-2	2016-08-30	2016-08-31	AMAZON.CA	216.95	CAD	216.95	CAD	3099	GENERAL EQUIPMENT	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	4816	Computer Network/Information Services	CONSOLE TABLE	
ECONOMIC DEVELOPMENT & CULTURE	4178-3	2016-08-31	2016-08-31	UMBRA LTD INTERNET	67.80	CAD	67.80	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5719	Miscellaneous House Furnishing Specialty	CURTAIN ROD	
					"1,124.91"	CAD	"1,124.91"	CAD								
"PARKS, FORESTRY & RECREATION"	4139-6	2016-08-03	2016-08-04	NO FRILLS #753	26.41	CAD	26.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER BBQ	
"PARKS, FORESTRY & RECREATION"	4139-7	2016-08-03	2016-08-04	PAVAO MEATS WHOLESALE	35.00	CAD	35.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	FOOD FOR SUMMER BBQ	
"PARKS, FORESTRY & RECREATION"	4151-1	2016-08-09	2016-08-10	NO FRILL'S #1306	27.01	CAD	27.01	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER BBQ	
"PARKS, FORESTRY & RECREATION"	4162-3	2016-08-17	2016-08-18	NO FRILL'S #1306	57.32	CAD	57.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUPPER AND GAMES	
"PARKS, FORESTRY & RECREATION"	4162-4	2016-08-17	2016-08-18	PAVAO MEATS WHOLESALE	38.50	CAD	38.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	FOOD FOR SUMMER BBQ	
"PARKS, FORESTRY & RECREATION"	4169-2	2016-08-23	2016-08-24	NO FRILL'S #1306	16.89	CAD	16.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER BBQ	
"PARKS, FORESTRY & RECREATION"	4178-4	2016-08-30	2016-08-31	NO FRILLS #753	11.27	CAD	11.27	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUMMER BBQ	
"PARKS, FORESTRY & RECREATION"	4178-5	2016-08-30	2016-08-31	PAVAO MEATS WHOLESALE	38.50	CAD	38.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	FOOD FOR SUMMER BBQ	
					250.90	CAD	250.90	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4160-4	2016-08-16	2016-08-17	EXPEDIA	37.95	CAD	37.95	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	4722	Travel Agencies and Tour Operators	TRAVEL INSURANCE.	
ECONOMIC DEVELOPMENT & CULTURE	4162-5	2016-08-16	2016-08-18	AIR CAN  0141014554388	585.60	CAD	585.60	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	3009	Air Canada	Airfare	
					623.55	CAD	623.55	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4145-2	2016-08-05	2016-08-08	LIBERTY VILLAGE HOME H	30.01	CAD	30.01	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	"BOLTS, CLR, HOSE HANGER"	
ECONOMIC DEVELOPMENT & CULTURE	4149-1	2016-08-08	2016-08-09	LIBERTY VILLAGE HOME H	36.77	CAD	36.77	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	"MOP, NUTS AND BOLTS"	
ECONOMIC DEVELOPMENT & CULTURE	4149-2	2016-08-08	2016-08-09	LIBERTY VILLAGE HOME H	-14.68	CAD	-14.68	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	RETURNED HOSE HANGER	
ECONOMIC DEVELOPMENT & CULTURE	4149-3	2016-08-07	2016-08-09	CDN TIRE STORE #00600	7.90	CAD	7.90	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	HOSE HOLDER	
ECONOMIC DEVELOPMENT & CULTURE	4154-4	2016-08-11	2016-08-12	LIBERTY VILLAGE HOME H	5.63	CAD	5.63	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	NUTS AND BOLTS	
ECONOMIC DEVELOPMENT & CULTURE	4154-5	2016-08-11	2016-08-12	LIBERTY VILLAGE HOME H	7.76	CAD	7.76	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	BOLTS	
ECONOMIC DEVELOPMENT & CULTURE	4156-2	2016-08-09	2016-08-15	SOHO ART   CUSTOM FRAM	111.24	CAD	111.24	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5970	"Artist Supply Stores, Craft Shops"	SCRYLIC SPACERS APPLIED	
ECONOMIC DEVELOPMENT & CULTURE	4164-7	2016-08-18	2016-08-19	BED BATH   BEYOND 2032	26.17	CAD	26.17	CAD	2570	JANITORIAL SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	MICROFIBLRE DUSTERS	
ECONOMIC DEVELOPMENT & CULTURE	4164-8	2016-08-18	2016-08-19	BED BATH   BEYOND 2032	14.67	CAD	14.67	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	CONTAINERS	
ECONOMIC DEVELOPMENT & CULTURE	4166-11	2016-08-18	2016-08-22	CDN TIRE STORE #00150	10.72	CAD	10.72	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	COTTON CLOTHS	
ECONOMIC DEVELOPMENT & CULTURE	4166-12	2016-08-18	2016-08-22	CDN TIRE STORE #00600	50.82	CAD	50.82	CAD	2570	JANITORIAL SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	"SWEEPER, DUSTERS"	
ECONOMIC DEVELOPMENT & CULTURE	4166-13	2016-08-19	2016-08-22	CARR MCLEAN LIMITED	203.41	CAD	203.41	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5943	"Office, School Supply, and Stationery St"	"VOLARA, BOX"	
ECONOMIC DEVELOPMENT & CULTURE	4166-14	2016-08-20	2016-08-22	THE HOME DEPOT #7001	27.97	CAD	27.97	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	CASTER SW	
ECONOMIC DEVELOPMENT & CULTURE	4166-15	2016-08-21	2016-08-22	LIBERTY VILLAGE HOME H	15.81	CAD	15.81	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	STORAGE BOX	
ECONOMIC DEVELOPMENT & CULTURE	4174-1	2016-08-26	2016-08-29	LIBERTY VILLAGE HOME H	18.03	CAD	18.03	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	FINISHING WASHERS	
					552.23	CAD	552.23	CAD								
LONG TERM CARE HOMES & SERVICES	4139-8	2016-08-02	2016-08-04	WAL-MART # 3031	219.19	CAD	219.19	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3Z011	REGIONAL SERVICES-PROGRAM ADMIN	5310	Discount Stores	MICROWAVES FOR CAFE WITH DONATIONS	
					219.19	CAD	219.19	CAD								
"PARKS, FORESTRY & RECREATION"	4137-2	2016-08-02	2016-08-03	BELL TV	77.74	CAD	77.74	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te		
"PARKS, FORESTRY & RECREATION"	4143-3	2016-08-04	2016-08-05	FOOD BASICS #653	98.80	CAD	98.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04068	HERON PARK CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR CAMP WEEK #7	
"PARKS, FORESTRY & RECREATION"	4166-16	2016-08-19	2016-08-22	WAL-MART # 3111	62.13	CAD	62.13	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P07689	HERON PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FAN FOR TABLE TENNIS PROGRAM IN THE DRYPAD	
					238.67	CAD	238.67	CAD								
"PARKS, FORESTRY & RECREATION"	4133-5	2016-07-19	2016-08-01	REG T BROWN LIMITED	105.09	CAD	105.09	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00358	EDWARDS GARDENS-PARKS MAINT/RPRS	7338	"Quick Copy, Reproduction, and Blueprinti"	LOG BOOK	
"PARKS, FORESTRY & RECREATION"	4139-9	2016-08-03	2016-08-04	JASON ALEXANDER CO	75.45	CAD	75.45	CAD	2670	UNIFORMS	P00408	N-EAST-TURF&HORT	5137	"Mens, Womens, and Childrens Uniforms and"	HI VIS WORK SHIRTS	
"PARKS, FORESTRY & RECREATION"	4145-3	2016-08-05	2016-08-08	JASON ALEXANDER CO	239.33	CAD	239.33	CAD	2670	UNIFORMS	P00430	N-EAST-WINTER MAINT	5137	"Mens, Womens, and Childrens Uniforms and"	HI VIS WORK SHIRTS	
"PARKS, FORESTRY & RECREATION"	4169-3	2016-08-22	2016-08-24	CDN TIRE STORE #00192	57.60	CAD	57.60	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P00409	N-EAST1-TURF&HORT	5200	Home Supply Warehouse	NETWORK CABLE/POWERBAR/CORD	
					477.47	CAD	477.47	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4145-4	2016-08-05	2016-08-08	WESTBURY NATIONAL SHOW	"1,091.58"	CAD	"1,091.58"	CAD	4590	RENTAL - OTHER	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5200	Home Supply Warehouse	EQUIPMENT FOR BAND	
