Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre/ WBS Element / Order	Cost Centre/ WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	4269-1	2016-10-27	2016-10-31	YOUR DOLLAR STORE WITH	73.45	CAD	73.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01887	BOB ABATE CC-ARTS-VISL/PERF	5310	Discount Stores	ART SUPPLIES
					907.45	CAD	907.45	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4228-1	2016-09-30	2016-10-03	METRO #720	24.21	CAD	24.21	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"STORAGE CONTAINERS, BREAD"
ECONOMIC DEVELOPMENT & CULTURE	4235-1	2016-10-04	2016-10-05	BULK BARN	25.29	CAD	25.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	PRESERVED GINGER
ECONOMIC DEVELOPMENT & CULTURE	4235-2	2016-10-04	2016-10-05	METRO #37	12.51	CAD	12.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHIPPING CREAM
ECONOMIC DEVELOPMENT & CULTURE	4238-1	2016-10-05	2016-10-07	CDN TIRE STORE #00654	56.49	CAD	56.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	HOT WATER KETTLE
ECONOMIC DEVELOPMENT & CULTURE	4249-5	2016-10-14	2016-10-17	METRO #720	91.05	CAD	91.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CIDER VINEGAR, CURRANTS, BEETS, PEACHES, PEARS,ETC"
ECONOMIC DEVELOPMENT & CULTURE	4255-3	2016-10-20	2016-10-21	FRESHCO #9781	35.23	CAD	35.23	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHIPPING CREAM, BROWN AND GOLDEN SUGARS"
ECONOMIC DEVELOPMENT & CULTURE	4255-4	2016-10-20	2016-10-21	NELLA CUTLERY	"2,767.37"	CAD	"2,767.37"	CAD	3050	M & E - KITCHEN	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5719	Miscellaneous House Furnishing Specialty	REACH-IN COOLER/FRIDGE
ECONOMIC DEVELOPMENT & CULTURE	4258-1	2016-10-21	2016-10-24	METRO #720	14.02	CAD	14.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHOLE WHEAT BREAD
ECONOMIC DEVELOPMENT & CULTURE	4261-1	2016-10-24	2016-10-25	BULK BARN	65.70	CAD	65.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHOLE NUTMEG, CURRANTS"
ECONOMIC DEVELOPMENT & CULTURE	4269-2	2016-10-28	2016-10-31	METRO #720	125.23	CAD	125.23	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CIDER VINEGAR, MUSTARD, LAUNDRY SOAP, JAM, ETC."
					"3,217.10"	CAD	"3,217.10"	CAD							
"PARKS, FORESTRY & RECREATION"	4258-2	2016-10-20	2016-10-24	WAL-MART # 3031	22.76	CAD	22.76	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P07745	OLYMPIUM-PRGM SUPPORT	5310	Discount Stores	CLEANING SUPPLIES FOR FRONT DESK
					22.76	CAD	22.76	CAD							
FIRE SERVICES	4228-2	2016-09-30	2016-10-03	PETROCAN	1.90	CAD	1.90	CAD	2260	GASOLINE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5541	Service Stations (with or without Ancill	GASOLINE
FIRE SERVICES	4228-3	2016-09-30	2016-10-03	PETROCAN	43.45	CAD	43.45	CAD	2260	GASOLINE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5541	Service Stations (with or without Ancill	GASOLINE
FIRE SERVICES	4234-1	2016-09-30	2016-10-04	ESSO	157.00	CAD	157.00	CAD	2260	GASOLINE	FR0025	MECHANICAL MAINT-VEHICLE MAINT	5541	Service Stations (with or without Ancill	GASOLINE
FIRE SERVICES	4261-2	2016-10-24	2016-10-25	TACTICAL PRODUCTS CANA	386.23	CAD	386.23	CAD	3099	GENERAL EQUIPMENT	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5999	Miscellaneous and Specialty Retail Store	PROTECTIVE EQUIPMENT
FIRE SERVICES	4263-1	2016-10-24	2016-10-26	CDN TIRE STORE #00070	115.20	CAD	115.20	CAD	3099	GENERAL EQUIPMENT	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	PROTECTIVE EQUIPMENT
FIRE SERVICES	4269-3	2016-10-28	2016-10-31	RCSS 1077	41.94	CAD	41.94	CAD	2082	HEALTH & SAFETY SUPPLIES	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5411	"Grocery Stores, Supermarkets"	DECONTAMINATION SUPPLIES
					745.72	CAD	745.72	CAD							
TRANSPORTATION SERVICES 	4255-5	2016-10-20	2016-10-21	PAYPAL *TWEETYMAIL	6.77	CAD	6.77	CAD	4414	ADVERTISING & PROMOTION	TP0204	TRANSPORTATION SIGN SHOP OPERATION	7372	"Computer Programming, Integrated Systems"	*
TRANSPORTATION SERVICES 	4255-6	2016-10-20	2016-10-21	PAYPAL *TWEETYMAIL	6.77	CAD	6.77	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL
TRANSPORTATION SERVICES 	4255-7	2016-10-20	2016-10-21	PAYPAL *TWEETYMAIL	6.77	CAD	6.77	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL
TRANSPORTATION SERVICES 	4255-8	2016-10-20	2016-10-21	PAYPAL *TWEETYMAIL	6.77	CAD	6.77	CAD	4414	ADVERTISING & PROMOTION	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL
					27.08	CAD	27.08	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4234-2	2016-10-02	2016-10-04	PIZZAIOLO	58.58	CAD	58.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5814	Quick Payment Service - Fast-Food Restau	PIZZA
ECONOMIC DEVELOPMENT & CULTURE	4235-3	2016-10-04	2016-10-05	NO FRILL'S #1306	182.99	CAD	182.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	"COOKIES, CHIPS, CRACKERS, CHEESE, MILK, NUTS, ETC."
ECONOMIC DEVELOPMENT & CULTURE	4238-2	2016-10-06	2016-10-07	PAUL WOLF ELECTRIC   L	433.13	CAD	433.13	CAD	2575	ELECTRICAL SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5065	Electrical Parts and Equipment	BULBS
ECONOMIC DEVELOPMENT & CULTURE	4238-3	2016-10-05	2016-10-07	SHOPPERSDRUGMART1281	20.61	CAD	20.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5912	"Drug Stores, Pharmacies"	COOKIES
ECONOMIC DEVELOPMENT & CULTURE	4239-1	2016-10-07	2016-10-11	THE HOME DEPOT #7011	15.75	CAD	15.75	CAD	2575	ELECTRICAL SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5200	Home Supply Warehouse	LED60WA19SW
ECONOMIC DEVELOPMENT & CULTURE	4239-2	2016-10-07	2016-10-11	MODERN LAUNDRY	99.44	CAD	99.44	CAD	4995	OTHER EXPENSES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	7216	Dry Cleaners	WASH AND FOLD TABLECLOTHS
ECONOMIC DEVELOPMENT & CULTURE	4239-3	2016-10-07	2016-10-11	NO FRILL'S #1306	19.70	CAD	19.70	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	BOTTLED WATER
ECONOMIC DEVELOPMENT & CULTURE	4239-4	2016-10-07	2016-10-11	LAKESHORE LUMBER	55.71	CAD	55.71	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5251	Hardware Stores	"GLUE, BUCKLES, TAPE, FEBREEZE"
ECONOMIC DEVELOPMENT & CULTURE	4239-5	2016-10-07	2016-10-11	THE HOME DEPOT #7011	90.37	CAD	90.37	CAD	2575	ELECTRICAL SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5200	Home Supply Warehouse	**MORE**  13W PAR30
ECONOMIC DEVELOPMENT & CULTURE	4249-6	2016-10-13	2016-10-17	THE HOME DEPOT #7011	-49.59	CAD	-49.59	CAD	2575	ELECTRICAL SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5200	Home Supply Warehouse	RETURNED BULBS
					926.69	CAD	926.69	CAD							
"PARKS, FORESTRY & RECREATION"	4235-4	2016-10-04	2016-10-05	NELLA ETOBICOKE	228.26	CAD	228.26	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P10539	S-REC SUPER1-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	3 SHELF CART
"PARKS, FORESTRY & RECREATION"	4254-1	2016-10-19	2016-10-20	NELLA ETOBICOKE	421.49	CAD	421.49	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P10539	S-REC SUPER1-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	3 SHELF CART & PANS
"PARKS, FORESTRY & RECREATION"	4254-2	2016-10-19	2016-10-20	NO FRILL'S #1306	145.15	CAD	145.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUPPER AND GAMES
"PARKS, FORESTRY & RECREATION"	4265-2	2016-10-26	2016-10-27	DOLLAR TREE CANADA STO	11.30	CAD	11.30	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5331	Variety Stores	SUPPLIES FOR TINSEL TEA
"PARKS, FORESTRY & RECREATION"	4265-3	2016-10-25	2016-10-27	AMAZING PARTY   COSTUM	73.09	CAD	73.09	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5947	"Card, Gift, Novelty, and Souvenir Shops"	SUPPLIES FOR TINSEL TEA
					879.29	CAD	879.29	CAD							
TORONTO WATER	4252-1	2016-10-18	2016-10-19	TIM HORTONS 1621 QTH	121.16	CAD	121.16	CAD	4820	BUSINESS MEETING EXPENSES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5814	Quick Payment Service - Fast-Food Restau	MEETING EXPENSE
					121.16	CAD	121.16	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4261-3	2016-10-21	2016-10-25	AIR CAN  0142168840101	"1,438.43"	CAD	"1,438.43"	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	3009	Air Canada	AIRFARE -ISREAL MISSION.
ECONOMIC DEVELOPMENT & CULTURE	4266-8	2016-10-24	2016-10-28	AIR CAN  0142168946169	300.00	CAD	300.00	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	3009	Air Canada	COST OF CHANGE TO AIRFARE -ISRAEL
ECONOMIC DEVELOPMENT & CULTURE	4266-9	2016-10-24	2016-10-28	AIR CAN  0142168946169	5.17	CAD	5.17	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	3009	Air Canada	ISRAEL DEPARTURE TAX.
					"1,743.60"	CAD	"1,743.60"	CAD							
LONG TERM CARE HOMES & SERVICES	4237-1	2016-10-05	2016-10-06	DESERRES.CA	125.36	CAD	125.36	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5970	"Artist Supply Stores, Craft Shops"	SUPPLIES FOR RES ART THERAPY
LONG TERM CARE HOMES & SERVICES	4239-6	2016-10-09	2016-10-11	PAYPAL *BEEMUSICSTU	311.20	CAD	311.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	8299	Educational Services	DVD FOR RES MUSIC PROGRAM
LONG TERM CARE HOMES & SERVICES	4255-9	2016-10-21	2016-10-21	ULINE	87.72	CAD	87.72	CAD	2570	JANITORIAL SUPPLIES	D3K041	LAKESHORE LODGE-HK-OA	5964	Direct Marketing - Catalog Merchants	CASTERS FOR INCONTINENCE PRODUCT BINS
LONG TERM CARE HOMES & SERVICES	4263-2	2016-10-25	2016-10-26	4IMPRINT	511.78	CAD	511.78	CAD	2082	HEALTH & SAFETY SUPPLIES	D3K031	LAKESHORE LODGE-FN-OA	5969	Direct Marketing - Other Direct Marketer	**MORE**  FLASHLIGHT WITH PEN AND LA
					"1,036.06"	CAD	"1,036.06"	CAD							
"PARKS, FORESTRY & RECREATION"	4228-4	2016-09-30	2016-10-03	FOOD BASICS #653	32.86	CAD	32.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04068	HERON PARK CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES
"PARKS, FORESTRY & RECREATION"	4234-3	2016-10-03	2016-10-04	BELL TV	77.74	CAD	77.74	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	CABLT TV SERVICES
"PARKS, FORESTRY & RECREATION"	4234-4	2016-10-03	2016-10-04	MY TABLE TENNIS CLUB	238.43	CAD	238.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	7997	"Clubs - Country Clubs, Membership (Athle"	TABLE TENNIS EQUIPMENT
"PARKS, FORESTRY & RECREATION"	4235-5	2016-10-04	2016-10-05	MARCHANT'S SCHOOL SPOR	781.16	CAD	781.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	5941	Sporting Goods Stores	GYM EQUIPMENT
"PARKS, FORESTRY & RECREATION"	4245-1	2016-10-12	2016-10-13	THE POTTERY SUPPLY HOU	350.57	CAD	350.57	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04068	HERON PARK CC-SUMMER CAMPS	5970	"Artist Supply Stores, Craft Shops"	POTTERY SUPPLIES
"PARKS, FORESTRY & RECREATION"	4249-7	2016-10-13	2016-10-17	FOOD BASICS #653	14.74	CAD	14.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04068	HERON PARK CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	COOKING CLASS SUPPLIES
"PARKS, FORESTRY & RECREATION"	4249-8	2016-10-14	2016-10-17	FOOD BASICS #653	24.43	CAD	24.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04068	HERON PARK CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING CLASS
"PARKS, FORESTRY & RECREATION"	4252-2	2016-10-18	2016-10-19	MARCHANT'S SCHOOL SPOR	301.88	CAD	301.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	5941	Sporting Goods Stores	EQUIPMENT FOR GYM PROGRAMS
"PARKS, FORESTRY & RECREATION"	4255-10	2016-10-20	2016-10-21	FOOD BASICS #653	21.56	CAD	21.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04068	HERON PARK CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING CLASS
"PARKS, FORESTRY & RECREATION"	4266-10	2016-10-27	2016-10-28	FOOD BASICS #653	18.76	CAD	18.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04068	HERON PARK CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING CLASS
					"1,862.13"	CAD	"1,862.13"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4269-4	2016-10-28	2016-10-31	LOBLAWS #1010	29.36	CAD	29.36	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0054	HS-MH-COLLECTION MGMT-GIBSON HOU	5411	"Grocery Stores, Supermarkets"	FLOWERS
					29.36	CAD	29.36	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4255-11	2016-10-20	2016-10-21	LOBLAWS #1212	6.78	CAD	6.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0076	HS-MH-EDUCATION/OUTRCH-SPADINA	5411	"Grocery Stores, Supermarkets"	MINI BAKING CUPS
					6.78	CAD	6.78	CAD							
"PARKS, FORESTRY & RECREATION"	4235-6	2016-10-04	2016-10-05	ACCURATE INDUSTRIAL WA	"1,271.25"	CAD	"1,271.25"	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	P07646	DON VALLEY-OPERATIONS	5969	Direct Marketing - Other Direct Marketer	SEPTIC TANK PUMP OUT
"PARKS, FORESTRY & RECREATION"	4258-3	2016-10-21	2016-10-24	TURF CANADA	"1,638.05"	CAD	"1,638.05"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5998	Tent & Awning Shops	TINES
					"2,909.30"	CAD	"2,909.30"	CAD							
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	4266-11	2016-10-27	2016-10-28	ONTARIO SHORES CENTRE	"3,236.32"	CAD	"3,236.32"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	F01521	BIRKDALE RES - PROGRAM DELIVERY	8062	Hospitals	STAFF TRAINING - MENTAL HEALTH
					"3,236.32"	CAD	"3,236.32"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	4242-1	2016-10-11	2016-10-12	PARKING AUTHORITYOFTOR	12.00	CAD	12.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0165	ER-INF-TECHNOLOGY SUPPORT-CENTRAL	9399	Government Services - Not Elsewhere Clas	PARKING
ECONOMIC DEVELOPMENT & CULTURE	4245-2	2016-10-12	2016-10-13	METRO #109	201.43	CAD	201.43	CAD	4820	BUSINESS MEETING EXPENSES	ED0165	ER-INF-TECHNOLOGY SUPPORT-CENTRAL	5411	"Grocery Stores, Supermarkets"	MEETING
ECONOMIC DEVELOPMENT & CULTURE	4252-3	2016-10-17	2016-10-19	ECONOMIC DEVELOPERS CO	84.75	CAD	84.75	CAD	4118	TICKETS AND ADMISSION FEES	ED0165	ER-INF-TECHNOLOGY SUPPORT-CENTRAL	8699	"Organizations, Membership - Not Elsewher"	TICKET REGISTRATION
ECONOMIC DEVELOPMENT & CULTURE	4258-4	2016-10-21	2016-10-24	PRECISE PARKLINK INC	5.00	CAD	5.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0165	ER-INF-TECHNOLOGY SUPPORT-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING
					303.18	CAD	303.18	CAD							
"PARKS, FORESTRY & RECREATION"	4235-7	2016-10-04	2016-10-05	KOTYCK BROS LIMITED	258.24	CAD	258.24	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	1520	General Contractors - Residential and Co	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	4235-8	2016-10-04	2016-10-05	KOTYCK BROS LIMITED	-88.86	CAD	-88.86	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	1520	General Contractors - Residential and Co	IRRIGATION SUPPLIES RET'D FOR CREDIT
					169.38	CAD	169.38	CAD							
"PARKS, FORESTRY & RECREATION"	4261-4	2016-10-24	2016-10-25	BAHNAIR OF CANADA LIMI	"1,124.35"	CAD	"1,124.35"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07706	PLEASANTVIEW CC-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	FILTERS
					"1,124.35"	CAD	"1,124.35"	CAD							
"PARKS, FORESTRY & RECREATION"	4245-3	2016-10-12	2016-10-13	LOWES #02633*	36.47	CAD	36.47	CAD	2730	LOCKS	P01668	OCONNOR CC-PRGM SUPPORT	5200	Home Supply Warehouse	"**MORE**  1-9/16"" (40MM) BRASS 2"" SHACKLE"
"PARKS, FORESTRY & RECREATION"	4246-1	2016-10-12	2016-10-14	CDN TIRE STORE #00030	13.54	CAD	13.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01668	OCONNOR CC-PRGM SUPPORT	5200	Home Supply Warehouse	FACILITY SUPPLIES #616071
"PARKS, FORESTRY & RECREATION"	4246-2	2016-10-12	2016-10-14	WAL-MART #3159	126.96	CAD	126.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06074	OCONNOR CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES #615435
"PARKS, FORESTRY & RECREATION"	4269-5	2016-10-28	2016-10-31	WAL-MART #3159	186.46	CAD	186.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06074	OCONNOR CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES #612575
					363.43	CAD	363.43	CAD							
