Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose		
					"1,589.95"	CAD	"1,195.00"	USD									
ECONOMIC DEVELOPMENT & CULTURE	4049-1	2016-06-01	2016-06-03	SOBEYS 718        QPS	21.83	CAD	21.83	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0114	HS-MH-RETAIL-TODMORDEN	5411	"Grocery Stores, Supermarkets"	DAIRY AND ASSORTED TEAS		
ECONOMIC DEVELOPMENT & CULTURE	4068-1	2016-06-14	2016-06-15	WINNERS 379	14.68	CAD	14.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5651	Family Clothing Stores	BAKING SHEET		
ECONOMIC DEVELOPMENT & CULTURE	4068-2	2016-06-14	2016-06-15	ROB'S NO FRILLS STORE	13.16	CAD	13.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	COOKIES		
ECONOMIC DEVELOPMENT & CULTURE	4068-3	2016-06-14	2016-06-15	SHOPPER'S DRUG MART #1	16.00	CAD	16.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5912	"Drug Stores, Pharmacies"	CONDENSED MILK		
ECONOMIC DEVELOPMENT & CULTURE	4070-2	2016-06-15	2016-06-16	WINNERS 379	11.29	CAD	11.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5651	Family Clothing Stores	BAKING SHEET		
ECONOMIC DEVELOPMENT & CULTURE	4076-1	2016-06-20	2016-06-21	PHARMA PLUS #0257	6.90	CAD	6.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5912	"Drug Stores, Pharmacies"	BANDAIDS		
ECONOMIC DEVELOPMENT & CULTURE	4082-1	2016-06-22	2016-06-24	SOBEYS 718        QPS	30.51	CAD	30.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	COMPOST AND EARTH FOR GARDEN		
ECONOMIC DEVELOPMENT & CULTURE	4088-1	2016-06-28	2016-06-29	ABOVEGROUND ENTERPRISE	140.15	CAD	140.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	7333	"Commercial Art, Graphics, Photography"	"CONSTRUCTION PAPER, MARKERS, GLUE GUN, ETC."		
					254.52	CAD	254.52	CAD									
"PARKS, FORESTRY & RECREATION"	4047-2	2016-06-01	2016-06-02	FIESTA FARMS INC	49.69	CAD	49.69	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COMPOST FOR PLANTERS		
"PARKS, FORESTRY & RECREATION"	4049-2	2016-06-01	2016-06-03	STAPLES.CA	304.43	CAD	304.43	CAD	3310	FURNISHINGS	P06753	MAIN SQ CC-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	METAL CBINET		
"PARKS, FORESTRY & RECREATION"	4054-1	2016-06-07	2016-06-08	SCHOLAR'S CHOICE	19.21	CAD	19.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01959	BOB ABATE CC-SOCIAL PRGM	5949	"Fabric, Needlework, Piece Goods, and Sew"	PRESCHOOL DIPLOMA		
"PARKS, FORESTRY & RECREATION"	4066-1	2016-06-13	2016-06-14	FIESTA FARMS INC	15.47	CAD	15.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"GROUND COFFEE, MILK, CREAM"		
"PARKS, FORESTRY & RECREATION"	4068-4	2016-06-14	2016-06-15	NOFRILLS PETER'S 3926	15.66	CAD	15.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01959	BOB ABATE CC-SOCIAL PRGM	7999	Recreation Services (Not Elsewhere Class	"PLASTIC FORKS, SPOON, PLATES"		
"PARKS, FORESTRY & RECREATION"	4086-2	2016-06-27	2016-06-28	NOFRILLS PETER'S 3926	25.05	CAD	25.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	7999	Recreation Services (Not Elsewhere Class	"ORANGES, MUFFIN, BAGELS"		
					429.51	CAD	429.51	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4045-2	2016-05-30	2016-06-01	SHOPPERSDRUGMART0862	45.18	CAD	45.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5912	"Drug Stores, Pharmacies"	SUNSCREEN		
ECONOMIC DEVELOPMENT & CULTURE	4045-3	2016-05-31	2016-06-01	FRESHCO #9781	95.99	CAD	95.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"SUGAR, BUTTER, BLACK PEPPER, LEMONS, EGGS, ETC."		
ECONOMIC DEVELOPMENT & CULTURE	4053-1	2016-06-06	2016-06-07	FRESHCO #9781	10.42	CAD	10.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	EGGS		
ECONOMIC DEVELOPMENT & CULTURE	4064-1	2016-06-10	2016-06-13	NELLA CUTLERY AND FOOD	589.86	CAD	589.86	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	ICE CREAM MACHINE		
ECONOMIC DEVELOPMENT & CULTURE	4066-2	2016-06-10	2016-06-14	CDN TIRE STORE #00654	249.80	CAD	249.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	"PRUNING SHEARS FOR GARDEN, COTTON, STRING, ETC."		
ECONOMIC DEVELOPMENT & CULTURE	4066-3	2016-06-10	2016-06-14	CDN TIRE STORE #00654	72.25	CAD	72.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	STORAGE CONTAINERS		
ECONOMIC DEVELOPMENT & CULTURE	4070-3	2016-06-15	2016-06-16	METRO #720	67.79	CAD	67.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"STRAWBERRIES, WHIPPING CREAM"		
ECONOMIC DEVELOPMENT & CULTURE	4072-1	2016-06-15	2016-06-17	CDN TIRE STORE #00273	95.96	CAD	95.96	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	FOOD STORAGE CONTAINERS		
ECONOMIC DEVELOPMENT & CULTURE	4072-2	2016-06-15	2016-06-17	CDN TIRE STORE #00654	83.54	CAD	83.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	FOOD STORAGE CONTAINERS		
ECONOMIC DEVELOPMENT & CULTURE	4072-3	2016-06-16	2016-06-17	METRO #720	114.70	CAD	114.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"STRAWBERRIES, WHIPPING CREAM, CREAM AND CONTAINERS"		
ECONOMIC DEVELOPMENT & CULTURE	4074-2	2016-06-17	2016-06-20	GREAT CANADIAN DOLLAR	12.43	CAD	12.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5310	Discount Stores	CAKE PANS AND PLASTIC LIDS		
ECONOMIC DEVELOPMENT & CULTURE	4078-2	2016-06-21	2016-06-22	METRO #720	55.57	CAD	55.57	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BROWN SUGAR, STRAWBERRIES, WHIPPING CREAM"		
ECONOMIC DEVELOPMENT & CULTURE	4080-1	2016-06-22	2016-06-23	METRO #720	28.69	CAD	28.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"STRAWBERRIES, WHIPPING CREAM"		
ECONOMIC DEVELOPMENT & CULTURE	4082-2	2016-06-23	2016-06-24	METRO #37	50.38	CAD	50.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHIPPING CREAM		
ECONOMIC DEVELOPMENT & CULTURE	4084-2	2016-06-26	2016-06-27	SOBEYS 934        QPS	14.38	CAD	14.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHIPPING CREAM		
ECONOMIC DEVELOPMENT & CULTURE	4084-3	2016-06-26	2016-06-27	METRO #720	12.58	CAD	12.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHIPPING CREAM		
ECONOMIC DEVELOPMENT & CULTURE	4084-4	2016-06-24	2016-06-27	METRO #720	40.67	CAD	40.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BLEACH, WHIPPING CREAM"		
ECONOMIC DEVELOPMENT & CULTURE	4088-2	2016-06-28	2016-06-29	LOBLAWS 4.2	26.02	CAD	26.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHIPPING CREAM		
ECONOMIC DEVELOPMENT & CULTURE	4090-1	2016-06-29	2016-06-30	METRO #720	58.69	CAD	58.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"STRAWBERRIES, WHIPPING CREAM, FREZZER BAGS"		
					"1,724.90"	CAD	"1,724.90"	CAD									
TRANSPORTATION SERVICES 	4070-4	2016-06-13	2016-06-16	ECE CANADA	122.97	CAD	122.97	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	5046	Commercial Equipment Not Elsewhere Class	NEEDLES FOR PAINT MACHINE		
TRANSPORTATION SERVICES 	4076-2	2016-06-20	2016-06-21	PAYPAL *TWEETYMAIL	6.60	CAD	6.60	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL		
TRANSPORTATION SERVICES 	4076-3	2016-06-20	2016-06-21	PAYPAL *TWEETYMAIL	6.60	CAD	6.60	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL		
TRANSPORTATION SERVICES 	4076-4	2016-06-20	2016-06-21	PAYPAL *TWEETYMAIL	6.60	CAD	6.60	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL		
TRANSPORTATION SERVICES 	4076-5	2016-06-20	2016-06-21	PAYPAL *TWEETYMAIL	6.60	CAD	6.60	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL		
TRANSPORTATION SERVICES 	4086-3	2016-06-28	2016-06-28	AMAZON *MARKETPLCE CA	-31.31	CAD	-31.31	CAD	4804	WIRELESS DEVICES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	4816	Computer Network/Information Services	REFUND FOR STYLI FOR TOUCH SCREEN TABLETS		
					118.06	CAD	118.06	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4057-1	2016-06-08	2016-06-09	LOWES #03096*	23.68	CAD	23.68	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5200	Home Supply Warehouse	**MORE**  GREEN WORKS DISH LIQUID ORIGINAL		
ECONOMIC DEVELOPMENT & CULTURE	4064-2	2016-06-11	2016-06-13	GOURMEATS	73.40	CAD	73.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5422	"Freezer, Locker Meat Provisioners"	WHOLE CHICKEN		
ECONOMIC DEVELOPMENT & CULTURE	4070-5	2016-06-14	2016-06-16	PAYPAL *AVSHOP CA	78.94	CAD	78.94	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5732	Electronic Sales	"AV ADAPTERS, CABLE, PLUGS"		
ECONOMIC DEVELOPMENT & CULTURE	4072-4	2016-06-15	2016-06-17	SHOPPERSDRUGMART1281	41.25	CAD	41.25	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5912	"Drug Stores, Pharmacies"	COOKIES		
ECONOMIC DEVELOPMENT & CULTURE	4072-5	2016-06-16	2016-06-17	LOWES #03096*	47.43	CAD	47.43	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5200	Home Supply Warehouse	SURFACE BLT SB/PB		
ECONOMIC DEVELOPMENT & CULTURE	4074-3	2016-06-16	2016-06-20	CDN TIRE STORE #00070	137.16	CAD	137.16	CAD	2710	GENERAL HARDWARE	AH0008	AS-PR-PROGRAM SUPPORT-METRO HALL	5200	Home Supply Warehouse	"ROPE, UTILITY KNIVES, GLUE, DISHTABSL, BOLTS"		
ECONOMIC DEVELOPMENT & CULTURE	4082-3	2016-06-23	2016-06-24	LOWES #03096*	60.75	CAD	60.75	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5200	Home Supply Warehouse	**MORE**  DRP 16 OZ GOO GONE		
ECONOMIC DEVELOPMENT & CULTURE	4082-4	2016-06-23	2016-06-24	LOWES #03096*	-47.43	CAD	-47.43	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5200	Home Supply Warehouse	RETURN SURFACE BOLTS		
ECONOMIC DEVELOPMENT & CULTURE	4084-5	2016-06-20	2016-06-27	MODERN LAUNDRY	40.68	CAD	40.68	CAD	4419	LAUNDRY SERVICES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	7216	Dry Cleaners	WASH AND FOLD TABLECLOTHS		
ECONOMIC DEVELOPMENT & CULTURE	4088-3	2016-06-27	2016-06-29	SOBEYS 741        QPS	67.78	CAD	67.78	CAD	4820	BUSINESS MEETING EXPENSES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	SANDWICHES		
					523.64	CAD	523.64	CAD									
"PARKS, FORESTRY & RECREATION"	4047-3	2016-06-01	2016-06-02	DOLLAR TREE CANADA STO	46.61	CAD	46.61	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5331	Variety Stores	PRIZES FOR JUNE BBQ		
"PARKS, FORESTRY & RECREATION"	4047-4	2016-06-01	2016-06-02	PAVAO MEATS WHOLESALE	121.50	CAD	121.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	FOOD FOR JUNE BBQ		
"PARKS, FORESTRY & RECREATION"	4080-2	2016-06-22	2016-06-23	NO FRILL'S #1306	84.75	CAD	84.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR SUPPER AND GAMES		
"PARKS, FORESTRY & RECREATION"	4080-3	2016-06-22	2016-06-23	NELLA ETOBICOKE	37.26	CAD	37.26	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08495	HORNER SENIORS-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	SUPPLIES FOR SUPPER AND GAMES		
					290.12	CAD	290.12	CAD									
TORONTO WATER	4051-1	2016-06-03	2016-06-06	OWPSACSTATE	"1,132.08"	CAD	848.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	8398	"Organizations, Charitable and Social Ser"	OPERATIONS & MAINT. MANUALS		
					"1,132.08"	CAD	848.00	USD									
LONG TERM CARE HOMES & SERVICES	4074-4	2016-06-16	2016-06-20	ACTIVITY CONNECTION.CO	189.07	CAD	143.40	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	D3K083	LAKESHORE LODGE-PS-PS	5999	Miscellaneous and Specialty Retail Store	ANNUAL SUBSCRIPTION - ACTIVITY CONNECTION ONLINE		
					189.07	CAD	143.40	USD									
"PARKS, FORESTRY & RECREATION"	4049-3	2016-06-02	2016-06-03	BELL TV	77.74	CAD	77.74	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	SATTELITE FOR YOUTH LOUNGE - 292 MANSE ROAD		
					77.74	CAD	77.74	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4080-4	2016-06-22	2016-06-23	FABRICLAND DISTRIBUTOR	56.50	CAD	56.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0074	HS-MH-EDUCATION/OUTRCH-MACKENZIE	5949	"Fabric, Needlework, Piece Goods, and Sew"	FABRIC		
					56.50	CAD	56.50	CAD									
"PARKS, FORESTRY & RECREATION"	4054-2	2016-06-07	2016-06-08	CENTRAL FAIRBANK LUMBE	133.34	CAD	133.34	CAD	2531	LUMBER	P00264	E-CENTRAL2-TURF&HORT	5211	"Building Materials, Lumber Stores"	ROUGH PINE BARN BOARD		
"PARKS, FORESTRY & RECREATION"	4070-6	2016-06-15	2016-06-16	TURF CARE	352.02	CAD	352.02	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	PARTS		
"PARKS, FORESTRY & RECREATION"	4090-2	2016-06-28	2016-06-30	MISTER SAFETY SHOES IN	76.12	CAD	76.12	CAD	2665	PROTECTIVE CLOTHING	P00264	E-CENTRAL2-TURF&HORT	5661	Shoe Stores	SAFETY VEST		
					561.48	CAD	561.48	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4053-2	2016-06-06	2016-06-07	ENVILLE EVENT DESIGN A	"2,993.37"	CAD	"2,993.37"	CAD	4116	CATERING SERVICES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5811	Caterers	CATERING EVENT		
ECONOMIC DEVELOPMENT & CULTURE	4064-3	2016-06-09	2016-06-13	ST. LAWRENCE MARKET TE	282.50	CAD	282.50	CAD	4116	CATERING SERVICES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	8398	"Organizations, Charitable and Social Ser"	MARKET KITCHEN EVENT		
ECONOMIC DEVELOPMENT & CULTURE	4072-6	2016-06-16	2016-06-17	TORONTO PARKING AUTHOR	6.75	CAD	6.75	CAD	4770	PARKING EXPENSES (INTOWN)	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	7523	Automobile Parking Lots and Garages	PARKING		
ECONOMIC DEVELOPMENT & CULTURE	4072-7	2016-06-16	2016-06-17	THE PRINCESS OF WALES	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	7922	Theatrical Producers (except Motion Pict	PARKING		
ECONOMIC DEVELOPMENT & CULTURE	4072-8	2016-06-16	2016-06-17	THE PRINCESS OF WALES	5.00	CAD	5.00	CAD	4770	PARKING EXPENSES (INTOWN)	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	7922	Theatrical Producers (except Motion Pict	PARKING		
ECONOMIC DEVELOPMENT & CULTURE	4074-5	2016-06-17	2016-06-20	BECK TAXI	12.75	CAD	12.75	CAD	4452	TRANSPORTATION-TAXIS-CLIENTS	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	4121	Limousines and Taxicabs	TAXI		
ECONOMIC DEVELOPMENT & CULTURE	4080-5	2016-06-22	2016-06-23	ENVILLE EVENT DESIGN A	322.87	CAD	322.87	CAD	4116	CATERING SERVICES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5811	Caterers	BALANCE OWING FOR CATERING		
					"3,638.24"	CAD	"3,638.24"	CAD									
"PARKS, FORESTRY & RECREATION"	4047-5	2016-05-31	2016-06-02	CDN TIRE STORE #00126	118.60	CAD	118.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09707	GOULDING CC-INSTRL	5200	Home Supply Warehouse	GARDENING SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4076-6	2016-06-19	2016-06-21	YOUR DOLLARSTORE WITH	37.57	CAD	37.57	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13270	SUMMER CAMPS - MCNICOLL CC	5999	Miscellaneous and Specialty Retail Store	CAMP SUPPLIES		
"PARKS, FORESTRY & RECREATION"	4076-7	2016-06-19	2016-06-21	WAL-MART #3195	99.34	CAD	99.34	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P04600	GOULDING CC-SPORTS CAMPS	5411	"Grocery Stores, Supermarkets"	FILE CABINET FOR SENIORS GROUP		
"PARKS, FORESTRY & RECREATION"	4082-5	2016-06-23	2016-06-24	J  J CRAFTS	377.23	CAD	377.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04600	GOULDING CC-SPORTS CAMPS	5970	"Artist Supply Stores, Craft Shops"	SUPPLIES FOR CREATIVE MOVEMENT PRGM		
					632.74	CAD	632.74	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4051-2	2016-06-02	2016-06-06	SHOPTRN*HOME HARDWARE	38.40	CAD	38.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0055	HS-MH-COLLECTION MGMT-ZION SCHOO	5964	Direct Marketing - Catalog Merchants	ROLL OF PICNIC TABLE PAPER		
					38.40	CAD	38.40	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4084-6	2016-06-23	2016-06-27	PAYPAL *AOLE	218.64	CAD	218.64	CAD	4760	MEMBERSHIP FEES	ED0167	ER-INF-INFO PUBLICATION-CENTRAL	8641	"Associations - Civic, Social, and Frater"	MEMBERSHIP		
					218.64	CAD	218.64	CAD									
"PARKS, FORESTRY & RECREATION"	4045-4	2016-05-31	2016-06-01	JENCO EQUIPMENT	926.60	CAD	926.60	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	P07645	DENTONIA-OPERATIONS	7394	"Equipment Rental and Leasing Services, F"	PUMP OUT WASHROOMS		
"PARKS, FORESTRY & RECREATION"	4054-3	2016-06-07	2016-06-08	TURF CANADA	934.30	CAD	934.30	CAD	2470	FERTILIZERS	P07646	DON VALLEY-OPERATIONS	5998	Tent & Awning Shops	WETTING AGENT		
					"1,860.90"	CAD	"1,860.90"	CAD									
