Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3456-2	2015-04-13	2015-04-14	RABBA 177            Q	10.98	CAD	10.98	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	MILK AND CREAM	
ECONOMIC DEVELOPMENT & CULTURE	3460-7	2015-04-15	2015-04-16	FRESHCO #9852	50.43	CAD	50.43	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	WATER AND GRANOLA BARS	
ECONOMIC DEVELOPMENT & CULTURE	3467-4	2015-04-16	2015-04-20	MODERN LAUNDRY	72.32	CAD	72.32	CAD	4995	OTHER EXPENSES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7216	Dry Cleaners	WASH AND FOLD TABLECLOTHS	
ECONOMIC DEVELOPMENT & CULTURE	3467-5	2015-04-18	2015-04-20	NOFRILLS TIM SUES 1352	23.84	CAD	23.84	CAD	2570	JANITORIAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	DISHWASHER TABLES AND TISSUE	
					231.22	CAD	231.22	CAD								
TORONTO WATER	3448-2	2015-04-07	2015-04-08	OWPSACSTATE	967.15	CAD	756.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	8398	"Organizations, Charitable and Social Ser"	OPERATION OF WASTE WATER MANUALS	
					967.15	CAD	756.00	USD								
ECONOMIC DEVELOPMENT & CULTURE	3441-2	2015-03-31	2015-04-01	KITCHEN STUFF PLUS #12	11.29	CAD	11.29	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5712	"Equipment, Furniture, and Home Furnishin"	DRAIN STOPPER	
ECONOMIC DEVELOPMENT & CULTURE	3443-1	2015-04-01	2015-04-02	LEE VALLEY - DOWNTOWN	180.07	CAD	180.07	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5072	Hardware Equipment and Supplies	"MAT CUTTER, BLADES, RUST ERASERS"	
ECONOMIC DEVELOPMENT & CULTURE	3450-2	2015-04-08	2015-04-09	CURRY'S ART STORE	23.46	CAD	23.46	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5970	"Artist Supply Stores, Craft Shops"	PASTELS	
					214.82	CAD	214.82	CAD								
LONG TERM CARE HOMES & SERVICES	3443-2	2015-04-01	2015-04-02	EMPIRE MUSIC CO LTD	12.41	CAD	12.41	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5733	"Music Stores - Musical Instruments, Pian"	MUSIC EQUIPMENT	
LONG TERM CARE HOMES & SERVICES	3469-9	2015-04-21	2015-04-22	AVRON FOODS	241.13	CAD	241.13	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5199	Nondurable Goods Not Elsewhere Classifie	MOBILE SENSORY ACTIVITY CART	
LONG TERM CARE HOMES & SERVICES	3474-1	2015-04-23	2015-04-24	CHUBB EDWARDS	"1,124.01"	CAD	"1,124.01"	CAD	2082	HEALTH & SAFETY SUPPLIES	D3K144	LAKESHORE LODGE-NS-NA	7393	"Detective Agencies, Protective Agencies,"	INSTALLATION AND EQUIPMENT CHARGES	
LONG TERM CARE HOMES & SERVICES	3475-5	2015-04-24	2015-04-27	4IMPRINT	252.56	CAD	252.56	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5969	Direct Marketing - Other Direct Marketer	**MORE**  VALUE NON-WOVEN TOTE	
LONG TERM CARE HOMES & SERVICES	3478-3	2015-04-28	2015-04-29	TORONTO STAMP INC	65.20	CAD	65.20	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K011	LAKESHORE LODGE-PA-OA	5943	"Office, School Supply, and Stationery St"	TYPE BAND DATER	
					"1,695.31"	CAD	"1,695.31"	CAD								
"PARKS, FORESTRY & RECREATION"	3444-2	2015-04-02	2015-04-06	BELL TV	74.35	CAD	74.35	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	BELL TV	
"PARKS, FORESTRY & RECREATION"	3478-4	2015-04-28	2015-04-29	G   G ELECTRONICS	600.30	CAD	600.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	7629	"Appliance Repair Shops, Electrical and S"	MUSIC BOXES FOR GYM/YOUTH AND FITNESS PROGRAMS	
"PARKS, FORESTRY & RECREATION"	3481-1	2015-04-29	2015-04-30	FOOD BASICS #863	110.91	CAD	110.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07689	HERON PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"GROCERIES FOR ACTIVE 8 PROGRAM-CHICKEN,JUICE,FRUIT"	
					785.56	CAD	785.56	CAD								
TORONTO PARAMEDIC SERVICES	3467-6	2015-04-17	2015-04-20	SOFTCHOICE CORPORATION	111.95	CAD	111.95	CAD	3410	COMPUTERS - HARDWARE	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5111	"Stationery, Office Supplies, Printing an"	**MORE**  CABLES TO GO SERIAL EXTENS	
TORONTO PARAMEDIC SERVICES	3481-2	2015-04-28	2015-04-30	SOFTCHOICE CORPORATION	119.67	CAD	119.67	CAD	3410	COMPUTERS - HARDWARE	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5111	"Stationery, Office Supplies, Printing an"	CABLES	
TORONTO PARAMEDIC SERVICES	3481-3	2015-04-29	2015-04-30	DATA INTEGRITY INC.	115.83	CAD	115.83	CAD	3410	COMPUTERS - HARDWARE	B31100	COMMUNICATIONS SYSTEMS SUPPORT	7372	"Computer Programming, Integrated Systems"	CABLES	
					347.45	CAD	347.45	CAD								
"PARKS, FORESTRY & RECREATION"	3475-6	2015-04-24	2015-04-27	THE HOME DEPOT #7001	145.50	CAD	145.50	CAD	2710	GENERAL HARDWARE	P00170	PARKS SUPP - SC	5200	Home Supply Warehouse	**MORE**  LUBRICANT	
					145.50	CAD	145.50	CAD								
"PARKS, FORESTRY & RECREATION"	3441-3	2015-03-30	2015-04-01	WINTERGREEN LEARNING M	41.45	CAD	41.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04325	GOULDING CC-HOLIDAY CAMPS	5111	"Stationery, Office Supplies, Printing an"	ASSORTED SHAPES AND SPOTS	
					41.45	CAD	41.45	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3441-4	2015-03-31	2015-04-01	DAVE AND CHARLOTTE'S N	25.62	CAD	25.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	EGGS	
ECONOMIC DEVELOPMENT & CULTURE	3467-7	2015-04-16	2015-04-20	CDN TIRE STORE #00600	17.94	CAD	17.94	CAD	2570	JANITORIAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5200	Home Supply Warehouse	"ANT TRAPS, SURFACE CLEANER"	
ECONOMIC DEVELOPMENT & CULTURE	3474-2	2015-04-23	2015-04-24	NOFRILLS CHRIS 273	21.84	CAD	21.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"EGGS, CORNMEAL, MILK, BAKING POWDER"	
					65.40	CAD	65.40	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3443-3	2015-04-01	2015-04-02	LOBLAWS #1010	23.96	CAD	23.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0070	HS-MH-EDUCATION/OUTRCH-GIBSON HOU	5411	"Grocery Stores, Supermarkets"	APPLE CIDER	
ECONOMIC DEVELOPMENT & CULTURE	3444-3	2015-04-02	2015-04-06	MICHAELS #4910	18.69	CAD	18.69	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0096	HS-MH-PUBLIC/COMMUNITY-GIBSON HOU	5945	"Game, Toy, and Hobby Shops"	KNITTING YARN	
ECONOMIC DEVELOPMENT & CULTURE	3450-3	2015-04-08	2015-04-09	MICHAELS #4910	12.84	CAD	12.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0096	HS-MH-PUBLIC/COMMUNITY-GIBSON HOU	5945	"Game, Toy, and Hobby Shops"	KNITTING YARN AND PIPE CLEANERS	
ECONOMIC DEVELOPMENT & CULTURE	3460-8	2015-04-14	2015-04-16	PAYPAL *ONT SEED	68.75	CAD	68.75	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0096	HS-MH-PUBLIC/COMMUNITY-GIBSON HOU	5261	Lawn and Garden Supply Stores	SEEDS	
ECONOMIC DEVELOPMENT & CULTURE	3464-1	2015-04-16	2015-04-17	LOBLAWS #1010	4.97	CAD	4.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0070	HS-MH-EDUCATION/OUTRCH-GIBSON HOU	5411	"Grocery Stores, Supermarkets"	MILK	
					129.21	CAD	129.21	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3478-5	2015-04-28	2015-04-29	LOBLAWS #1212	33.62	CAD	33.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5411	"Grocery Stores, Supermarkets"	"CURRANTS,EGGS,MILK"	
					33.62	CAD	33.62	CAD								
"PARKS, FORESTRY & RECREATION"	3443-4	2015-04-01	2015-04-02	TURF CANADA	793.99	CAD	793.99	CAD	2470	FERTILIZERS	P07646	DON VALLEY-OPERATIONS	5998	Tent & Awning Shops	LIQUID FERTILIZER	
"PARKS, FORESTRY & RECREATION"	3460-9	2015-04-14	2015-04-16	CDN TIRE STORE #00030	41.79	CAD	41.79	CAD	2710	GENERAL HARDWARE	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	"1/4"" ROPE"	
"PARKS, FORESTRY & RECREATION"	3467-8	2015-04-16	2015-04-20	SEARS CDA FAIRVIEW MAL	790.99	CAD	790.99	CAD	3025	M & E - JANITORIAL	P07646	DON VALLEY-OPERATIONS	5311	Department Stores	VACUUM	
					"1,626.77"	CAD	"1,626.77"	CAD								
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	3477-4	2015-04-27	2015-04-28	THE 519 CHURCH STREET	565.00	CAD	565.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	F01521	BIRKDALE RES - PROGRAM DELIVERY	8398	"Organizations, Charitable and Social Ser"	LGBTQ TRAINING	
					565.00	CAD	565.00	CAD								
LONG TERM CARE HOMES & SERVICES	3441-5	2015-03-31	2015-04-01	MR PRINTER	97.41	CAD	97.41	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	7338	"Quick Copy, Reproduction, and Blueprinti"	RESIDENT ACTIVITY CALENDARS	
LONG TERM CARE HOMES & SERVICES	3444-4	2015-04-05	2015-04-06	AMAZON.CA PRIME MEMBER	89.27	CAD	89.27	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5968	Direct Marketing - Continuity/Subscripti	AMAZON MEMBERSHIP	
LONG TERM CARE HOMES & SERVICES	3450-4	2015-04-08	2015-04-09	PARTY CITY #2010	285.93	CAD	285.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5947	"Card, Gift, Novelty, and Souvenir Shops"	PARTY CITY	
LONG TERM CARE HOMES & SERVICES	3454-4	2015-04-09	2015-04-13	GUILDWOOD VILLAGE ANIM	52.86	CAD	52.86	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	0742	Veterinary Services	ANIMAL CLINIC GUILDWOOD	
LONG TERM CARE HOMES & SERVICES	3467-9	2015-04-16	2015-04-20	CANADIANA FLOWERS	59.83	CAD	59.83	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5992	Florists	FLOWERS FOR RESIDENT GALA	
