Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3333-1	2015-01-13	2015-01-15	CDN TIRE STORE #00654	410.12	CAD	410.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5200	Home Supply Warehouse	"HAND MIXER, KETTLE, MICROWAVE AND FRIDGE"	
ECONOMIC DEVELOPMENT & CULTURE	3337-2	2015-01-16	2015-01-19	LCBO/RAO #0217	366.56	CAD	366.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5921	"Package Stores, Beer, Wine, Liquor"	"RED AND WHITE WINE, BRANDY FOR BALL"	
ECONOMIC DEVELOPMENT & CULTURE	3337-3	2015-01-15	2015-01-19	METRO #720	111.54	CAD	111.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"PLASTIC CUPS, CURRANTS, ALMONDS, MILK, CREAM, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3347-1	2015-01-23	2015-01-26	METRO #720	47.78	CAD	47.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"APPLE AND ORANGE JUICE, ORANGES, CARROTS, BREAD"	
					"1,176.96"	CAD	"1,176.96"	CAD								
TRANSPORTATION SERVICES 	3341-1	2015-01-20	2015-01-21	PAYPAL *TWEETYMAIL	6.14	CAD	6.14	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3341-2	2015-01-20	2015-01-21	PAYPAL *TWEETYMAIL	6.14	CAD	6.14	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3341-3	2015-01-20	2015-01-21	PAYPAL *TWEETYMAIL	6.14	CAD	6.14	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3341-4	2015-01-20	2015-01-21	PAYPAL *TWEETYMAIL	6.14	CAD	6.14	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3345-1	2015-01-22	2015-01-23	CARSWELL	180.81	CAD	180.81	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	7338	"Quick Copy, Reproduction, and Blueprinti"	HEALTH & SAFETY REFERENCE BOOKS	
TRANSPORTATION SERVICES 	3353-1	2015-01-28	2015-01-29	TRB WEBINAR	114.98	CAD	89.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	8398	"Organizations, Charitable and Social Ser"	TRB WEBINAR	
TRANSPORTATION SERVICES 	3353-2	2015-01-28	2015-01-29	TRB WEBINAR	114.98	CAD	89.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	8398	"Organizations, Charitable and Social Ser"	TRB WEBINAR	
TRANSPORTATION SERVICES 	3353-3	2015-01-28	2015-01-29	TRB WEBINAR	114.98	CAD	89.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	8398	"Organizations, Charitable and Social Ser"	TRB WEBINAR	
TRANSPORTATION SERVICES 	3353-4	2015-01-28	2015-01-29	TRB WEBINAR	114.98	CAD	89.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	8398	"Organizations, Charitable and Social Ser"	TRB WEBINAR	
TRANSPORTATION SERVICES 	3353-5	2015-01-28	2015-01-29	TRB WEBINAR	114.98	CAD	89.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	8398	"Organizations, Charitable and Social Ser"	TRB WEBINAR	
					780.27	CAD	205.37	CAD								
							445.00	USD								
ECONOMIC DEVELOPMENT & CULTURE	3319-1	2015-01-05	2015-01-06	AMAZON *MARKETPLCE CA	-21.98	CAD	-21.98	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	"RETURN FOR REFUND, EARPIECE HEADSET"	
ECONOMIC DEVELOPMENT & CULTURE	3325-1	2015-01-08	2015-01-09	NOFRILLS PETER'S 3926	5.62	CAD	5.62	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7999	Recreation Services (Not Elsewhere Class	TISSUE PAPER	
					-16.36	CAD	-16.36	CAD								
"PARKS, FORESTRY & RECREATION"	3337-4	2015-01-15	2015-01-19	WAL-MART # 3031	256.14	CAD	256.14	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12049	NEW TORONTO-COMM CTR-PRGM SUPPORT	5310	Discount Stores	"HEATERS, RADIO"	
					256.14	CAD	256.14	CAD								
TORONTO WATER	3351-1	2015-01-26	2015-01-28	MOE-HWIN WEB	66.19	CAD	66.19	CAD	4760	MEMBERSHIP FEES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	9399	Government Services - Not Elsewhere Clas	MOE HWIN RENEWAL	
					66.19	CAD	66.19	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3327-3	2015-01-09	2015-01-12	THE SPICE ROUTE RESTAU	520.00	CAD	520.00	CAD	4820	BUSINESS MEETING EXPENSES	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	5812	"Eating Places, Restaurants"	RECOGNITION WINTERLICIOUS TICKETS	
ECONOMIC DEVELOPMENT & CULTURE	3345-2	2015-01-21	2015-01-23	ITAC	90.40	CAD	90.40	CAD	4118	TICKETS AND ADMISSION FEES	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	7399	Business Services - Not Elsewhere Classi	TICKET FOR EVENT	
					610.40	CAD	610.40	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3335-1	2015-01-15	2015-01-16	LARSON JUHL #1	73.22	CAD	73.22	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5970	"Artist Supply Stores, Craft Shops"	ACRYLIC GLAZING	
					73.22	CAD	73.22	CAD								
LONG TERM CARE HOMES	3355-1	2015-01-29	2015-01-30	EB INFECTION PREVENTI	75.00	CAD	75.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	D3K083	LAKESHORE LODGE-PS-PS	7399	Business Services - Not Elsewhere Classi	TRAINING & DEVELOPMENT	
					75.00	CAD	75.00	CAD								
"PARKS, FORESTRY & RECREATION"	3329-2	2015-01-12	2015-01-13	BELL TV	73.15	CAD	73.15	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	BELL SATELLITE FOR ARENA LOBBY/YOUTH LOUNGE	
					73.15	CAD	73.15	CAD								
"PARKS, FORESTRY & RECREATION"	3325-2	2015-01-07	2015-01-09	MISTER SAFETY SHOES IN	50.75	CAD	50.75	CAD	2665	PROTECTIVE CLOTHING	P12856	RAVINE & WATERCOURSE MAINTENANCE	5661	Shoe Stores	GLOVES	
					50.75	CAD	50.75	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3337-5	2015-01-15	2015-01-19	CDN TIRE STORE #00600	18.06	CAD	18.06	CAD	2710	GENERAL HARDWARE	AH0026	CD-AM-FACILITY MGMT-ZION SCHOO	5200	Home Supply Warehouse	"BOOT TRAY, EXTERIOR LIGHT BULBS"	
ECONOMIC DEVELOPMENT & CULTURE	3337-6	2015-01-16	2015-01-19	SANAGAN'S MEAT LOCKER	39.99	CAD	39.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0086	HS-MH-PROGRAM SUPPORT-ZION SCHOO	5422	"Freezer, Locker Meat Provisioners"	SHEEP ORGAN MEAT & COW INTESTINE	
ECONOMIC DEVELOPMENT & CULTURE	3345-3	2015-01-22	2015-01-23	FABRICLAND DISTRIBUTOR	167.64	CAD	167.64	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0096	HS-MH-PUBLIC/COMMUNITY-GIBSON HOU	5949	"Fabric, Needlework, Piece Goods, and Sew"	"FABRIC, TWILL TAPE, SEWING THREAD"	
					225.69	CAD	225.69	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3345-4	2015-01-22	2015-01-23	ONTARIO PROFESSIONAL P	727.40	CAD	727.40	CAD	4760	MEMBERSHIP FEES	ED0116	BUSINESS ADVISORY AND SUPPORT SERVICES	8699	"Organizations, Membership - Not Elsewher"	**MORE**  MEMBERSHIP	
					727.40	CAD	727.40	CAD								
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3345-5	2015-01-22	2015-01-23	YOUNG PEOPLES THEATRE	87.50	CAD	87.50	CAD	4118	TICKETS AND ADMISSION FEES	F01530	BIRKDAEL RES CHILDREN'S PROG EXP	7911	"Dance Halls, Schools, and Studios"	CLIENT- DEPOSIT FOR CHILDREN MARCH BREAK EXCURSION	
"SHELTER, SUPPORT and HOUSING ADMINISTRATION"	3353-6	2015-01-28	2015-01-29	HOTEL FUN 4 KIDS	748.06	CAD	748.06	CAD	4608	REPAIRS & MAINT - FURNITURE &FURNISHINGS	F01524	BIRKDALE RES - CLIENT SERVICES	5947	"Card, Gift, Novelty, and Souvenir Shops"	CLIENT - CRIBS FOR MOTEL PROGRAM	
					835.56	CAD	835.56	CAD								
LONG TERM CARE HOMES	3313-1	2014-12-31	2015-01-02	LEDUCINTERN	209.61	CAD	209.61	CAD	2010	STATIONERY AND OFFICE SUPPLIES	D3A011	BENDALE ACRES-PA-OA	5719	Miscellaneous House Furnishing Specialty	SNAP DISPLAY FRAMES	
LONG TERM CARE HOMES	3337-7	2015-01-16	2015-01-19	PARTY CITY #2007	84.67	CAD	84.67	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5947	"Card, Gift, Novelty, and Souvenir Shops"	RESIDENT PARTY SUPPLIES	
LONG TERM CARE HOMES	3337-8	2015-01-18	2015-01-19	MICHAELS OF CANADA #34	95.81	CAD	95.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5945	"Game, Toy, and Hobby Shops"	RESIDENT ACTIVITY SUPPLIES	
LONG TERM CARE HOMES	3348-3	2015-01-22	2015-01-27	HUNTS HEALTHCARE INC	340.00	CAD	340.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3A083	BENDALE ACRES-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	OCCUPATIONAL THERAPY EQUIPMENT	
					730.09	CAD	730.09	CAD								
EMERGENCY MEDICAL SERVICES	3341-5	2015-01-20	2015-01-21	TORONTO PARKING AUTHOR	5.25	CAD	5.25	CAD	4770	PARKING EXPENSES (INTOWN)	B46830	PAN AM GAMES	7523	Automobile Parking Lots and Garages	PARKING-PAN AM	
EMERGENCY MEDICAL SERVICES	3355-2	2015-01-29	2015-01-30	155 QUEENS QUAY	12.00	CAD	12.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46830	PAN AM GAMES	7523	Automobile Parking Lots and Garages	PARKING-PAN AM	
					17.25	CAD	17.25	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3348-4	2015-01-26	2015-01-27	ECONOMIC DEVELOPERS	676.87	CAD	676.87	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	ED0116	BUSINESS ADVISORY AND SUPPORT SERVICES	8699	"Organizations, Membership - Not Elsewher"	"REGISTRATION - HAMILTON, ON"	
					676.87	CAD	676.87	CAD								
"PARKS, FORESTRY & RECREATION"	3323-1	2015-01-07	2015-01-08	AVRON FOODS	657.20	CAD	657.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06074	OCONNOR CC-SOCIAL PRGM	5199	Nondurable Goods Not Elsewhere Classifie	BREAKFAST PROG SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3325-3	2015-01-08	2015-01-09	AVRON FOODS	381.96	CAD	381.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06074	OCONNOR CC-SOCIAL PRGM	5199	Nondurable Goods Not Elsewhere Classifie	BREAKFAST PROG SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3335-2	2015-01-14	2015-01-16	WAL-MART #3159	220.34	CAD	220.34	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	P06074	OCONNOR CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PROG SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3351-2	2015-01-27	2015-01-28	SOUND CONCEPTS   TAYLO	194.70	CAD	194.70	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P01668	OCONNOR CC-PRGM SUPPORT	7392	"Consulting, Management, and Public Relat"	OFFICE SUPPORT	
					"1,454.20"	CAD	"1,454.20"	CAD								
CITY CLERK'S OFFICE	3355-3	2015-01-28	2015-01-30	MYPLACETOLEARN INC	125.55	CAD	96.25	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	GV7200	REGISTRY SERVICES	7399	Business Services - Not Elsewhere Classi	"TRAINING-RE: FUNERAL,BURIAL & CREMATION"	
					125.55	CAD	96.25	USD								
PUBLIC HEALTH	3345-6	2015-01-21	2015-01-23	PLURALSIGHT LLC	633.83	CAD	499.00	USD	4760	MEMBERSHIP FEES	PH1051	INFORMATION TECHNOLOGY	8299	Educational Services	MEMBERSHOP	
PUBLIC HEALTH	3348-5	2015-01-26	2015-01-27	"LYNDA.COM, INC."	"4,970.94"	CAD	"3,900.00"	USD	4760	MEMBERSHIP FEES	PH1051	INFORMATION TECHNOLOGY	8299	Educational Services	MEMBERSHIP	
					"5,604.77"	CAD	"4,399.00"	USD								
EMERGENCY MEDICAL SERVICES	3347-2	2015-01-24	2015-01-26	HOLIDAY INN DOWNTOWN-S	675.30	CAD	530.81	USD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	B46776	MANGERS - HUB ADMIN	3501	Holiday Inns	ACCOMODATION FOR NAEMSP CONFERENCE	
EMERGENCY MEDICAL SERVICES	3347-3	2015-01-24	2015-01-26	HOLIDAY INN DOWNTOWN-S	675.30	CAD	530.81	USD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	B46764	MANGERS - DISTRICT 3	3501	Holiday Inns	ACCOMODATION FOR NAEMSP CONFERENCE	
EMERGENCY MEDICAL SERVICES	3347-4	2015-01-24	2015-01-26	PRECISE PARKLINK 6B	72.00	CAD	72.00	CAD	4254	CONFERENCES/SEMINARS - GROUND TRANSPT	B46776	MANGERS - HUB ADMIN	9399	Government Services - Not Elsewhere Clas	PARKING AT GTAA WHILE AT NAEMSP CONFERENCE	
					"1,422.60"	CAD	72.00	CAD								
							"1,061.62"	USD								
ECONOMIC DEVELOPMENT & CULTURE	3333-2	2015-01-14	2015-01-15	PAYPAL *CANADIANCOU	50.85	CAD	50.85	CAD	4118	TICKETS AND ADMISSION FEES	ED0057	BUSINESS & PROFESSIONAL SERVICES	8999	Professional Services - Not Elsewhere Cl	TICKETS FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	3341-6	2015-01-20	2015-01-21	THE GABARDINE	74.07	CAD	74.07	CAD	4823	MEALS-OUTSIDE LOC'S	ED0057	BUSINESS & PROFESSIONAL SERVICES	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	3351-3	2015-01-27	2015-01-28	ROTMAN MAGAZINE - UOFT	111.87	CAD	111.87	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	ED0057	BUSINESS & PROFESSIONAL SERVICES	8220	"Colleges, Universities, Professional Sch"	SUBSCRIPTION	
					236.79	CAD	236.79	CAD								
"PARKS, FORESTRY & RECREATION"	3333-3	2015-01-14	2015-01-15	BOLTS PLUS	31.64	CAD	31.64	CAD	2710	GENERAL HARDWARE	P12136	ALNESS YARD-FORESTRY-PRUNING REMOVAL	5085	Industrial Supplies Not Elsewhere Classi	"GLUE,TAPE, MEASURE TAPE"	
					31.64	CAD	31.64	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3331-4	2015-01-12	2015-01-14	PAYPAL *ARTSADVOCAT	111.87	CAD	111.87	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0035	CD-RP-PROG & COMMITTEE-METRO HALL	8999	Professional Services - Not Elsewhere Cl	SUBSCRIPTION - ONE YEAR RENEWAL	
ECONOMIC DEVELOPMENT & CULTURE	3347-5	2015-01-23	2015-01-26	INDIGO ONLINE	19.06	CAD	19.06	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0035	CD-RP-PROG & COMMITTEE-METRO HALL	5399	Miscellaneous General Merchandise	BOOK	
ECONOMIC DEVELOPMENT & CULTURE	3351-4	2015-01-27	2015-01-28	INDIGO ONLINE	22.52	CAD	22.52	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0035	CD-RP-PROG & COMMITTEE-METRO HALL	5399	Miscellaneous General Merchandise	BOOK	
					153.45	CAD	153.45	CAD								
"PARKS, FORESTRY & RECREATION"	3325-4	2015-01-07	2015-01-09	CURRY'S - MISSISSAUGA	75.21	CAD	75.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06535	ELMBANK CC-SOCIAL PRGM	5970	"Artist Supply Stores, Craft Shops"	CRAFT SUPPLIES FOR ART ATTACK	
"PARKS, FORESTRY & RECREATION"	3325-5	2015-01-07	2015-01-09	RONA # 55090	82.52	CAD	82.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06535	ELMBANK CC-SOCIAL PRGM	5251	Hardware Stores	CRAFT SUPPLIES FOR ART ATTACK	
"PARKS, FORESTRY & RECREATION"	3329-3	2015-01-12	2015-01-13	FORTINO'S (QUEEN'S PLA	68.51	CAD	68.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06535	ELMBANK CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES - KIDS IN KITCHEN	
"PARKS, FORESTRY & RECREATION"	3335-3	2015-01-15	2015-01-16	STAPLES STORE #255	45.18	CAD	45.18	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P06776	ELMBANK-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	STORAGE BOXES	
"PARKS, FORESTRY & RECREATION"	3339-3	2015-01-19	2015-01-20	FORTINO'S (QUEEN'S PLA	26.47	CAD	26.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06535	ELMBANK CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES - KIDS IN KITCHEN	
"PARKS, FORESTRY & RECREATION"	3348-6	2015-01-26	2015-01-27	FORTINO'S (QUEEN'S PLA	28.93	CAD	28.93	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06535	ELMBANK CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES - KIDS IN KITCHEN	
					326.82	CAD	326.82	CAD								
LONG TERM CARE HOMES	3319-2	2015-01-05	2015-01-06	GLODEN CARE DENTAL SER	"1,188.00"	CAD	"1,188.00"	CAD	2830	DENTURES	D3B011	CASTLEVIEW WYCHWOOD-PA-OA	8021	"Dentists, Orthodontists"	LOST DENTURE REPLACEMENT	
LONG TERM CARE HOMES	3329-4	2015-01-12	2015-01-13	LOBLAWS #029	10.34	CAD	10.34	CAD	2741	FOOD COSTS	D3B032	CASTLEVIEW WYCHWOOD-FN-RF	5411	"Grocery Stores, Supermarkets"	CATERING	
LONG TERM CARE HOMES	3355-4	2015-01-29	2015-01-30	LOBLAWS #029	99.99	CAD	99.99	CAD	*****	MISCELLANEOUS MATERIALS & SUPPLIES	*****	UNASSIGNED	5411	"Grocery Stores, Supermarkets"	**MORE**  FLOWERS AND FOOD FOR CATERING	
					"1,298.33"	CAD	"1,298.33"	CAD								
"PARKS, FORESTRY & RECREATION"	3321-1	2015-01-06	2015-01-07	ALPINE LAWN   GARDEN E	448.91	CAD	448.91	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	"CHAIN SPROCKET COVER, BRAKE HANDLE"	
"PARKS, FORESTRY & RECREATION"	3325-6	2015-01-08	2015-01-09	ALPINE LAWN   GARDEN E	191.63	CAD	191.63	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	HANDLE FRAME	
"PARKS, FORESTRY & RECREATION"	3327-4	2015-01-08	2015-01-12	COLLINS AUTOMOTIVE PAR	156.28	CAD	156.28	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	BATTERY	
"PARKS, FORESTRY & RECREATION"	3327-5	2015-01-08	2015-01-12	COLLINS AUTOMOTIVE PAR	119.34	CAD	119.34	CAD	2401	LUBRICANTS	P10186	C-REC SUPER2-PRGM SUPPORT	5533	"Automotive Parts, Accessories Stores"	OIL FILTER	
"PARKS, FORESTRY & RECREATION"	3327-6	2015-01-09	2015-01-12	COLLINS AUTOMOTIVE PAR	104.41	CAD	104.41	CAD	2401	LUBRICANTS	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5533	"Automotive Parts, Accessories Stores"	DIES FUEL OIL	
"PARKS, FORESTRY & RECREATION"	3329-5	2015-01-12	2015-01-13	ALPINE LAWN   GARDEN E	127.57	CAD	127.57	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	CARBURATOR	
"PARKS, FORESTRY & RECREATION"	3329-6	2015-01-12	2015-01-13	ALPINE LAWN   GARDEN E	7.65	CAD	7.65	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	HANDLE MOLDING	
"PARKS, FORESTRY & RECREATION"	3329-7	2015-01-12	2015-01-13	TURF CARE	336.26	CAD	336.26	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	WHEEL	
