Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element / Order 	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3653-2	2015-09-03	2015-09-04	ROB'S NO FRILLS STORE	4.49	CAD	4.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	POPCORN	
ECONOMIC DEVELOPMENT & CULTURE	3667-1	2015-09-13	2015-09-15	CDN TIRE STORE #00150	22.58	CAD	22.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5200	Home Supply Warehouse	PRUNING SHEARS	
ECONOMIC DEVELOPMENT & CULTURE	3673-1	2015-09-16	2015-09-18	SOBEYS 718        QPS	122.30	CAD	122.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"CLOVES, RAISINS, VANILLA EXTRACT, CORN SYRUP, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3673-2	2015-09-17	2015-09-18	TAP PHONG TRADING CO.	18.81	CAD	18.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5046	Commercial Equipment Not Elsewhere Class	DISPOSABLE CUPS	
ECONOMIC DEVELOPMENT & CULTURE	3674-1	2015-09-18	2015-09-21	SHOPPER'S DRUG MART #1	6.76	CAD	6.76	CAD	2590	EMERGENCY SERVICES SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	7395	"Photo Developing, Photofinishing Laborat"	BAND-AIDS	
ECONOMIC DEVELOPMENT & CULTURE	3674-2	2015-09-18	2015-09-21	SOBEYS 718        QPS	19.43	CAD	19.43	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	MILK AND CREAM	
ECONOMIC DEVELOPMENT & CULTURE	3678-1	2015-09-22	2015-09-23	ROB'S NO FRILLS STORE	6.86	CAD	6.86	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	MILK AND CREAM	
ECONOMIC DEVELOPMENT & CULTURE	3680-1	2015-09-23	2015-09-24	STEPHENSON'S RENT-ALL	651.78	CAD	651.78	CAD	4590	RENTAL - OTHER	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	7394	"Equipment Rental and Leasing Services, F"	PORTABLE GENERATORS	
ECONOMIC DEVELOPMENT & CULTURE	3682-2	2015-09-24	2015-09-25	ROB'S NO FRILLS STORE	2.88	CAD	2.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	SUGAR FOR FOOD DEMO	
					855.89	CAD	855.89	CAD								
"PARKS, FORESTRY & RECREATION"	3664-3	2015-09-10	2015-09-14	DAILY BREAD FOOD BANK	200.00	CAD	200.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06753	MAIN SQ CC-PRGM SUPPORT	8398	"Organizations, Charitable and Social Ser"	FOOD FOR AFTERSCHOOL CLUB	
"PARKS, FORESTRY & RECREATION"	3664-4	2015-09-11	2015-09-14	MARCHANT'S SCHOOL SPOR	235.92	CAD	235.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5941	Sporting Goods Stores	SPORTS EQUIPMENT	
					435.92	CAD	435.92	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3651-1	2015-09-01	2015-09-02	SOBEYS 938        QPS	11.29	CAD	11.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"FLOUR, CHEDDAR CHEESE"	
ECONOMIC DEVELOPMENT & CULTURE	3653-3	2015-09-03	2015-09-04	METRO #720	49.62	CAD	49.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"SALMON, MACE, CURRANTS"	
ECONOMIC DEVELOPMENT & CULTURE	3657-1	2015-09-06	2015-09-08	FRESHCO 9750      QPS	11.19	CAD	11.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BELL PEPPERS, CUCUMBERS, BEETS"	
ECONOMIC DEVELOPMENT & CULTURE	3661-1	2015-09-08	2015-09-10	METRO #720	32.70	CAD	32.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BLACK PEPPERCORNS, PEARS, CAULIFLOWER, CELERY,ETC"	
ECONOMIC DEVELOPMENT & CULTURE	3669-1	2015-09-15	2015-09-16	METRO #720	108.25	CAD	108.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CRACKERS, CURRANTS, GROUND BEEF AND PORK MILK,ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3673-3	2015-09-17	2015-09-18	METRO #720	17.56	CAD	17.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"GROUND BEEF AND PORK, MILK, CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	3678-2	2015-09-22	2015-09-23	FRESHCO #9781	84.03	CAD	84.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BROWN SUGAR, STEAK, PARSNIPS, DATES, HONEY, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3682-3	2015-09-24	2015-09-25	METRO #720	44.67	CAD	44.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CURRANTS, GROUND BEEF AND PORK, CARROTS, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3684-3	2015-09-25	2015-09-28	FRESHCO #9781	55.36	CAD	55.36	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CREAM, MILK, EGGS"	
ECONOMIC DEVELOPMENT & CULTURE	3686-1	2015-09-27	2015-09-29	METRO #720	101.67	CAD	101.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	FRUIT PLATTERS	
					516.34	CAD	516.34	CAD								
AFFORDABLE HOUSING OFFICE	3664-5	2015-09-11	2015-09-14	ONTARIO NON-PROFIT HOU	"1,163.90"	CAD	"1,163.90"	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	REGISTRATION-ONPHA CONFERENCE & TRADE SHOW	
					"1,163.90"	CAD	"1,163.90"	CAD								
TRANSPORTATION SERVICES 	3669-2	2015-09-15	2015-09-16	AMAZON *MARKETPLCE CA	38.34	CAD	38.34	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	4816	Computer Network/Information Services	PURCHASE ERROR	
TRANSPORTATION SERVICES 	3674-3	2015-09-20	2015-09-21	PAYPAL *TWEETYMAIL	6.79	CAD	6.79	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3674-4	2015-09-20	2015-09-21	PAYPAL *TWEETYMAIL	6.79	CAD	6.79	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3674-5	2015-09-20	2015-09-21	PAYPAL *TWEETYMAIL	6.79	CAD	6.79	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3674-6	2015-09-20	2015-09-21	PAYPAL *TWEETYMAIL	6.79	CAD	6.79	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3674-7	2015-09-18	2015-09-21	AMAZON *MARKETPLCE CA	-38.34	CAD	-38.34	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0204	TRANSPORTATION SIGN SHOP OPERATION	4816	Computer Network/Information Services	REFUND FOR PURCHASE ERROR	
					27.16	CAD	27.16	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3653-4	2015-09-03	2015-09-04	PAUL WOLF ELECTRIC   L	55.64	CAD	55.64	CAD	2575	ELECTRICAL SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5065	Electrical Parts and Equipment	"BALLAST FOR LIGHTING (NOT ON CONTRACT, SPECIAL)"	
ECONOMIC DEVELOPMENT & CULTURE	3657-2	2015-09-04	2015-09-08	AMAZON *MARKETPLCE CA	108.89	CAD	108.89	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	4816	Computer Network/Information Services	FUJI WIDE INSTANT FILM INCLUDING FREIGHT	
ECONOMIC DEVELOPMENT & CULTURE	3657-3	2015-09-04	2015-09-08	LOWES #03096*	60.75	CAD	60.75	CAD	2575	ELECTRICAL SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5200	Home Supply Warehouse	SYL LED DECORATIVE  FLUTE LAMP	
ECONOMIC DEVELOPMENT & CULTURE	3661-2	2015-09-09	2015-09-10	AMAZON *MARKETPLCE CA	194.36	CAD	194.36	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	4816	Computer Network/Information Services	HP LASER JET PRINT CATRIDGE	
ECONOMIC DEVELOPMENT & CULTURE	3682-4	2015-09-24	2015-09-25	NOFRILLS SUMMERHILL'S	4.49	CAD	4.49	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	TISSUE	
					424.13	CAD	424.13	CAD								
"PARKS, FORESTRY & RECREATION"	3664-6	2015-09-11	2015-09-14	WINNERS 278	94.80	CAD	94.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12049	NEW TORONTO-COMM CTR-PRGM SUPPORT	5651	Family Clothing Stores	YOGA BLOCKS	
"PARKS, FORESTRY & RECREATION"	3680-2	2015-09-22	2015-09-24	WAL-MART # 3000	110.49	CAD	110.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12049	NEW TORONTO-COMM CTR-PRGM SUPPORT	5310	Discount Stores	EUCHRE CARDS FOR HUBB GAMES/GREEN TAPE FOR PICK UP	
					205.29	CAD	205.29	CAD								
TORONTO WATER	3657-4	2015-09-05	2015-09-08	WEF WYTHE	67.78	CAD	50.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	8699	"Organizations, Membership - Not Elsewher"	BOOKS	
TORONTO WATER	3664-7	2015-09-12	2015-09-14	WEF WYTHE	284.57	CAD	210.50	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	8699	"Organizations, Membership - Not Elsewher"	BOOKS	
TORONTO WATER	3676-2	2015-09-21	2015-09-22	WERF	47.40	CAD	35.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	8398	"Organizations, Charitable and Social Ser"	BOOKS	
					399.75	CAD	295.50	USD								
ECONOMIC DEVELOPMENT & CULTURE	3676-3	2015-09-21	2015-09-22	LIBERTY VILLAGE HOME H	10.72	CAD	10.72	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5251	Hardware Stores	BATTERIES	
ECONOMIC DEVELOPMENT & CULTURE	3676-4	2015-09-21	2015-09-22	CARR MCLEAN LIMITED	157.66	CAD	157.66	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5943	"Office, School Supply, and Stationery St"	"DECORRODER, PH PEN, WATER BRUSH"	
ECONOMIC DEVELOPMENT & CULTURE	3676-5	2015-09-21	2015-09-22	BROUGHTONS	258.44	CAD	258.44	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0082	HS-MH-EXHIBITIONS-YORK MUSEU	5942	Book Stores	"CASSOCK, MISSAL STAND"	
					426.82	CAD	426.82	CAD								
LONG TERM CARE HOMES & SERVICES	3664-8	2015-09-11	2015-09-14	AMAZING PARTY   COSTUM	90.94	CAD	90.94	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5947	"Card, Gift, Novelty, and Souvenir Shops"	"RIBBONS, BALLOONS PARTY SUPPLIES"	
LONG TERM CARE HOMES & SERVICES	3684-4	2015-09-25	2015-09-28	HUNTS HEALTHCARE INC	"1,996.00"	CAD	"1,996.00"	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3K083	LAKESHORE LODGE-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	"BURE STAND TALL WALKER, GAS CYLINDER"	
					"2,086.94"	CAD	"2,086.94"	CAD								
"PARKS, FORESTRY & RECREATION"	3652-1	2015-09-02	2015-09-03	BELL TV	74.35	CAD	74.35	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	SATTELITE SERVICE	
					74.35	CAD	74.35	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3651-2	2015-08-31	2015-09-02	ARTIK	339.00	CAD	339.00	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0118	HS-MH-RETAIL-MACKENZIE	5699	Accessory  and Apparel Stores - Miscella	BUTTONS	
ECONOMIC DEVELOPMENT & CULTURE	3652-2	2015-09-02	2015-09-03	VALHALLA CARDS AND GIF	183.56	CAD	183.56	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0118	HS-MH-RETAIL-MACKENZIE	5947	"Card, Gift, Novelty, and Souvenir Shops"	POSTCARDS	
					522.56	CAD	522.56	CAD								
"PARKS, FORESTRY & RECREATION"	3649-1	2015-08-28	2015-09-01	CDN TIRE STORE #00030	28.24	CAD	28.24	CAD	2710	GENERAL HARDWARE	P00409	N-EAST1-TURF&HORT	5200	Home Supply Warehouse	EXTENSION CORD	
"PARKS, FORESTRY & RECREATION"	3669-3	2015-09-15	2015-09-16	SPORTS TURF ASSOCIATIO	423.75	CAD	423.75	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	P00264	E-CENTRAL2-TURF&HORT	8398	"Organizations, Charitable and Social Ser"	ONTARIO FIELD DAY - REGISTRATION FEES	
"PARKS, FORESTRY & RECREATION"	3687-1	2015-09-29	2015-09-30	FAIRGREEN SOD FARMS	364.48	CAD	364.48	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	SOD	
					816.47	CAD	816.47	CAD								
"PARKS, FORESTRY & RECREATION"	3657-5	2015-09-03	2015-09-08	CDN TIRE STORE #00087	20.31	CAD	20.31	CAD	2715	PAINT SUPPLIES	P04600	GOULDING CC-SPORTS CAMPS	5200	Home Supply Warehouse	SPRAY PAINT	
					20.31	CAD	20.31	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3676-6	2015-09-18	2015-09-22	CDN TIRE STORE #00654	37.15	CAD	37.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0093	HS-MH-PROGRAM SUPPORT-COLBORNE L	5200	Home Supply Warehouse	STORAGE BOXES	
ECONOMIC DEVELOPMENT & CULTURE	3678-3	2015-09-22	2015-09-23	DAVE AND CHARLOTTE'S N	22.52	CAD	22.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0075	HS-MH-EDUCATION/OUTRCH-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"SUGA, FLOUR, EGGS, BUTTER"	
ECONOMIC DEVELOPMENT & CULTURE	3680-3	2015-09-22	2015-09-24	CDN TIRE STORE #00654	159.23	CAD	159.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0075	HS-MH-EDUCATION/OUTRCH-COLBORNE L	5200	Home Supply Warehouse	KITCHEN SUPPLIES AND LAUNDRY HAMPER	
					218.90	CAD	218.90	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3651-3	2015-08-31	2015-09-02	NUSSO TEXTILES	126.11	CAD	126.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0076	HS-MH-EDUCATION/OUTRCH-SPADINA	5719	Miscellaneous House Furnishing Specialty	VINYL TABLE CLOTHS	
ECONOMIC DEVELOPMENT & CULTURE	3664-9	2015-09-13	2015-09-14	LOBLAWS #1212	14.16	CAD	14.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0076	HS-MH-EDUCATION/OUTRCH-SPADINA	5411	"Grocery Stores, Supermarkets"	EGGS AND BUTTER	
					140.27	CAD	140.27	CAD								
"PARKS, FORESTRY & RECREATION"	3659-1	2015-09-08	2015-09-09	TURF CANADA	940.26	CAD	940.26	CAD	2499	OTHER CHEMICALS	P07645	DENTONIA-OPERATIONS	5998	Tent & Awning Shops	FUNGICIDE	
"PARKS, FORESTRY & RECREATION"	3663-1	2015-09-09	2015-09-11	ALLTURF LTD.	908.93	CAD	908.93	CAD	2499	OTHER CHEMICALS	P07646	DON VALLEY-OPERATIONS	0780	Horticultural and Landscaping Services	FUNGICIDE	
"PARKS, FORESTRY & RECREATION"	3664-10	2015-09-11	2015-09-14	GREEN TRACTORS - PORT	57.00	CAD	57.00	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5599	"Miscellaneous Automotive, Aircraft, and"	CABLE	
"PARKS, FORESTRY & RECREATION"	3671-2	2015-09-15	2015-09-17	G C DUKE EQUIPMENT LTD	338.02	CAD	338.02	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5046	Commercial Equipment Not Elsewhere Class	WIRING HARNESS	
					"2,244.21"	CAD	"2,244.21"	CAD								
LONG TERM CARE HOMES & SERVICES	3652-3	2015-09-02	2015-09-03	AATEL COMMUNICATIONS	158.20	CAD	158.20	CAD	4435	C. SERV - SECUR SYS	D3A061	BENDALE ACRES-MT-OA	4814	Telecommunication Service Including Loca	HEAD CONTROL FOR CALL BELL SYSTEM	
LONG TERM CARE HOMES & SERVICES	3663-2	2015-09-09	2015-09-11	GROUP ERP PROD.PROF.LT	61.14	CAD	61.14	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3A083	BENDALE ACRES-PS-PS	8099	"Health Practitioners, Medical Services -"	REHAB EQUIPMENT	
LONG TERM CARE HOMES & SERVICES	3667-2	2015-09-14	2015-09-15	ALYPSIS INC	100.88	CAD	100.88	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5977	Cosmetic Stores	ESSENTIAL OILS FOR RESIDENTS	
LONG TERM CARE HOMES & SERVICES	3673-4	2015-09-17	2015-09-18	NETFLIX.COM	8.99	CAD	8.99	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5968	Direct Marketing - Continuity/Subscripti	NETFLIX MOVIES	
LONG TERM CARE HOMES & SERVICES	3676-7	2015-09-21	2015-09-22	COSTCO WHOLESALE W545	189.09	CAD	189.09	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5300	Wholesale Clubs	CAKES/BBQ SUPPLIES/DVDS	
LONG TERM CARE HOMES & SERVICES	3682-5	2015-09-23	2015-09-25	TORONTO PUBLIC HEALTH	96.30	CAD	96.30	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	9399	Government Services - Not Elsewhere Clas	FOOD HANDLER COURSE	
LONG TERM CARE HOMES & SERVICES	3682-6	2015-09-23	2015-09-25	TORONTO PUBLIC HEALTH	96.30	CAD	96.30	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	9399	Government Services - Not Elsewhere Clas	FOOD HANDLER COURSE	
LONG TERM CARE HOMES & SERVICES	3684-5	2015-09-24	2015-09-28	TORONTO PUBLIC HEALTH	96.30	CAD	96.30	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	9399	Government Services - Not Elsewhere Clas	FOOD HANDLER COURSE	
LONG TERM CARE HOMES & SERVICES	3684-6	2015-09-24	2015-09-28	TORONTO PUBLIC HEALTH	96.30	CAD	96.30	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	9399	Government Services - Not Elsewhere Clas	FOOD HANDLER COURSE	
LONG TERM CARE HOMES & SERVICES	3684-7	2015-09-24	2015-09-28	TORONTO PUBLIC HEALTH	96.30	CAD	96.30	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	9399	Government Services - Not Elsewhere Clas	FOOD HANDLER COURSE	
LONG TERM CARE HOMES & SERVICES	3686-2	2015-09-28	2015-09-29	COSTCO.CA   *ONLINE	835.06	CAD	835.06	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D6A500	CSS-BENDALE ACRES-DC	5399	Miscellaneous General Merchandise	DISHWASHER OF ADULT DAY PROGRAM	
					"1,834.86"	CAD	"1,834.86"	CAD								
TORONTO PARAMEDIC SERVICES	3671-3	2015-09-16	2015-09-17	TORONTO PARKING AUTHOR	10.00	CAD	10.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46830	PAN AM GAMES	7523	Automobile Parking Lots and Garages	PARKING	
					10.00	CAD	10.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3671-4	2015-09-15	2015-09-17	"TPA/GREEN ""P""      QPL"	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	ED0165	ER-INF-TECHNOLOGY SUPPORT-CENTRAL	7523	Automobile Parking Lots and Garages	PARKING FOR MEETING	
					15.00	CAD	15.00	CAD								
"PARKS, FORESTRY & RECREATION"	3651-4	2015-09-01	2015-09-02	IMPACT TOOLS   SUPPLIE	142.82	CAD	142.82	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5599	"Miscellaneous Automotive, Aircraft, and"	"CHISEL, BULL POINT BIT, SCALING CHISEL"	
"PARKS, FORESTRY & RECREATION"	3664-11	2015-09-10	2015-09-14	LOCK UP SERVICES	25.54	CAD	25.54	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	7399	Business Services - Not Elsewhere Classi	PLUMBING SUPPLIES	
					168.36	CAD	168.36	CAD								
