Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3378-1	2015-02-13	2015-02-16	LOBLAWS 4.2	41.99	CAD	41.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BLEACH CLEANER, APPLE JUICE, ORANGE JUICE"	
ECONOMIC DEVELOPMENT & CULTURE	3378-2	2015-02-13	2015-02-16	METRO #720	28.72	CAD	28.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"EGGS, PLASTIC CONTAINERS"	
ECONOMIC DEVELOPMENT & CULTURE	3384-1	2015-02-18	2015-02-19	FRESHCO 9841	24.32	CAD	24.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"EGGS, LEMONS, LIMES"	
ECONOMIC DEVELOPMENT & CULTURE	3386-2	2015-02-18	2015-02-20	THE PRINTING HOUSE #55	495.99	CAD	495.99	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	2741	Miscellaneous Publishing and Printing	PRINTING OF PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	3388-1	2015-02-20	2015-02-23	FRESHCO 9841	64.03	CAD	64.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CLEMENTINES, ORANGES, GRAPEFRUIT, LEMONS, MILK ETC"	
					723.86	CAD	723.86	CAD								
TRANSPORTATION SERVICES 	3364-1	2015-01-28	2015-02-05	THE TRANSPORTATION RSR	-455.82	CAD	-356.00	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	5942	Book Stores	TRB WEBINAR	
TRANSPORTATION SERVICES 	3388-2	2015-02-20	2015-02-23	PAYPAL *TWEETYMAIL	6.41	CAD	6.41	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3388-3	2015-02-20	2015-02-23	PAYPAL *TWEETYMAIL	6.41	CAD	6.41	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3388-4	2015-02-20	2015-02-23	PAYPAL *TWEETYMAIL	6.41	CAD	6.41	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3388-5	2015-02-20	2015-02-23	PAYPAL *TWEETYMAIL	6.41	CAD	6.41	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					-430.18	CAD	25.64	CAD								
							-356.00	USD								
ECONOMIC DEVELOPMENT & CULTURE	3378-3	2015-02-14	2015-02-16	NOFRILLS TIM SUES 1352	14.17	CAD	14.17	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	WATER AND COOKIES	
ECONOMIC DEVELOPMENT & CULTURE	3380-1	2015-02-16	2015-02-17	AMAZON *MARKETPLCE CA	23.59	CAD	23.59	CAD	2570	JANITORIAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	DIRT DEVIL VACUUM FILTERS	
ECONOMIC DEVELOPMENT & CULTURE	3386-3	2015-02-18	2015-02-20	CINE-SOURCE TORONTO	180.80	CAD	180.80	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5946	Camera and Photographic Supply Stores	"PARTIAL PAYMENT FOR ETC 19"" LENS"	
ECONOMIC DEVELOPMENT & CULTURE	3386-4	2015-02-19	2015-02-20	AMAZON.CA	64.64	CAD	64.64	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	TEA	
ECONOMIC DEVELOPMENT & CULTURE	3386-5	2015-02-19	2015-02-20	AMAZON.CA	28.64	CAD	28.64	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	TEA	
ECONOMIC DEVELOPMENT & CULTURE	3392-1	2015-02-20	2015-02-25	CINE-SOURCE TORONTO	180.80	CAD	180.80	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5946	Camera and Photographic Supply Stores	"ETC 19"" LENS"	
ECONOMIC DEVELOPMENT & CULTURE	3392-2	2015-02-24	2015-02-25	THRIVE ORGANIC KITCHEN	241.82	CAD	241.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5812	"Eating Places, Restaurants"	CATERED FOOD	
ECONOMIC DEVELOPMENT & CULTURE	3392-3	2015-02-24	2015-02-25	SHOPPERSDRUGMART0903	17.98	CAD	17.98	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5912	"Drug Stores, Pharmacies"	MILK AND CREAM	
					752.44	CAD	752.44	CAD								
PUBLIC HEALTH	3394-2	2015-02-24	2015-02-26	THE HINCKS-DELLCREST I	"1,070.00"	CAD	"1,070.00"	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3092	MENTAL HEALTH	8398	"Organizations, Charitable and Social Ser"	CONFERENCES/SEMINARS - REGISTRATION	
					"1,070.00"	CAD	"1,070.00"	CAD								
"PARKS, FORESTRY & RECREATION"	3384-2	2015-02-17	2015-02-19	WMT SUPRCTR #1095	75.69	CAD	75.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12049	NEW TORONTO-COMM CTR-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR BUS TRIP	
					75.69	CAD	75.69	CAD								
TORONTO WATER	3394-3	2015-02-25	2015-02-26	WEF WYTHE	183.99	CAD	144.00	USD	4760	MEMBERSHIP FEES	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	8699	"Organizations, Membership - Not Elsewher"	WEF MEMBERSHIP	
					183.99	CAD	144.00	USD								
LONG TERM CARE HOMES & SERVICES	3368-1	2015-02-05	2015-02-09	HUNTS HEALTHCARE INC	48.75	CAD	48.75	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3K083	LAKESHORE LODGE-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	REPLACEMENT FUSE	
LONG TERM CARE HOMES & SERVICES	3378-4	2015-02-12	2015-02-16	PAYPAL *RESHANDBOOK	220.35	CAD	220.35	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	D3K083	LAKESHORE LODGE-PS-PS	5942	Book Stores	RESOURCE HANDBOOK	
LONG TERM CARE HOMES & SERVICES	3388-6	2015-02-20	2015-02-23	EMPIRE MUSIC CO LTD	249.74	CAD	249.74	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3K083	LAKESHORE LODGE-PS-PS	5733	"Music Stores - Musical Instruments, Pian"	MUSIC EQUIPMENT	
					518.84	CAD	518.84	CAD								
"PARKS, FORESTRY & RECREATION"	3359-2	2015-02-02	2015-02-03	BELL TV	74.09	CAD	74.09	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	BELL SATELLITE FOR ARENA LOBBY/YOUTH LOUNGE	
					74.09	CAD	74.09	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3392-4	2015-02-24	2015-02-25	ABOVEGROUND ENTERPRISE	19.88	CAD	19.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	7333	"Commercial Art, Graphics, Photography"	CALLIGRAPHY INK	
					19.88	CAD	19.88	CAD								
"PARKS, FORESTRY & RECREATION"	3376-3	2015-02-11	2015-02-13	SETON	196.59	CAD	196.59	CAD	2792	"BANNERS, FLAGS & SIGNS"	P00272	E-SOUTH2-TURF&HORT	5099	Durable Goods Not Elsewhere Classified	CLEAR LANGUAGE POSTER	
"PARKS, FORESTRY & RECREATION"	3378-5	2015-02-13	2015-02-16	SETON	79.53	CAD	79.53	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5099	Durable Goods Not Elsewhere Classified	HANDBOOK	
					276.12	CAD	276.12	CAD								
"PARKS, FORESTRY & RECREATION"	3368-2	2015-02-07	2015-02-09	D L STEVENSON   SON AR	142.07	CAD	142.07	CAD	2710	GENERAL HARDWARE	P09707	GOULDING CC-INSTRL	5970	"Artist Supply Stores, Craft Shops"	PAINT	
"PARKS, FORESTRY & RECREATION"	3376-4	2015-02-12	2015-02-13	AVRON FOODS	169.88	CAD	169.88	CAD	2610	KITCHEN SUPPLIES	P09707	GOULDING CC-INSTRL	5199	Nondurable Goods Not Elsewhere Classifie	DRYING RACK	
					311.95	CAD	311.95	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3361-1	2015-02-03	2015-02-04	DAVE AND CHARLOTTE'S N	18.02	CAD	18.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0075	HS-MH-EDUCATION/OUTRCH-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"EGGS, MILK, CELERY, CARROTS, RUTABAGAS, ONIONS"	
					18.02	CAD	18.02	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3364-2	2015-02-04	2015-02-05	CURRY'S ART STORE	15.24	CAD	15.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0071	HS-MH-EDUCATION/OUTRCH-ZION SCHOO	5970	"Artist Supply Stores, Craft Shops"	INK	
ECONOMIC DEVELOPMENT & CULTURE	3388-7	2015-02-20	2015-02-23	PAYPAL *GEOFF	88.74	CAD	88.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0086	HS-MH-PROGRAM SUPPORT-ZION SCHOO	8999	Professional Services - Not Elsewhere Cl	REPORODUCTION LABELS	
					103.98	CAD	103.98	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3382-1	2015-02-17	2015-02-18	GAWCK	890.44	CAD	890.44	CAD	2792	"BANNERS, FLAGS & SIGNS"	ED0150	EDC MARKETING TACTICS	7333	"Commercial Art, Graphics, Photography"	BANNER STANDS & CARRYING CASE	
					890.44	CAD	890.44	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3376-5	2015-02-12	2015-02-13	FEDEX OFFICE CANADA LT	132.89	CAD	132.89	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0076	HS-MH-EDUCATION/OUTRCH-SPADINA	7338	"Quick Copy, Reproduction, and Blueprinti"	COLOUR COPIES	
ECONOMIC DEVELOPMENT & CULTURE	3386-6	2015-02-19	2015-02-20	LOBLAWS #1212	27.36	CAD	27.36	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5411	"Grocery Stores, Supermarkets"	COOKIES	
					160.25	CAD	160.25	CAD								
"PARKS, FORESTRY & RECREATION"	3366-1	2015-02-04	2015-02-06	GREEN TRACTORS - PORT	723.55	CAD	723.55	CAD	2401	LUBRICANTS	P07646	DON VALLEY-OPERATIONS	5599	"Miscellaneous Automotive, Aircraft, and"	"OIL FILTER, BALL BEARING"	
"PARKS, FORESTRY & RECREATION"	3386-7	2015-02-18	2015-02-20	CDN TIRE STORE #00192	53.86	CAD	53.86	CAD	2570	JANITORIAL SUPPLIES	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	"KLEENEX, DUCT TAPE"	
					777.41	CAD	777.41	CAD								
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	3368-3	2015-02-06	2015-02-09	ACT*TDSB PERMITS	830.19	CAD	830.19	CAD	4830	PERMIT & LICENSE FEES	F01530	BIRKDAEL RES CHILDREN'S PROG EXP	7399	Business Services - Not Elsewhere Classi	CLIENT-PERMIT TO USE RECREATIONAL FACILITIES	
					830.19	CAD	830.19	CAD								
LONG TERM CARE HOMES & SERVICES	3361-2	2015-02-03	2015-02-04	MR PRINTER	97.41	CAD	97.41	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	7338	"Quick Copy, Reproduction, and Blueprinti"	RESIDENT ACTIVITY CALENDARS	
LONG TERM CARE HOMES & SERVICES	3376-6	2015-02-11	2015-02-13	GUILDWOOD VILLAGE ANIM	466.08	CAD	466.08	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	0742	Veterinary Services	VETERINARY SERVICES FOR RESIDENT CAT	
LONG TERM CARE HOMES & SERVICES	3388-8	2015-02-20	2015-02-23	WAL-MART #1029	149.35	CAD	149.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5411	"Grocery Stores, Supermarkets"	RESIDENT ACTIVITY SUPPLIES	
LONG TERM CARE HOMES & SERVICES	3394-4	2015-02-25	2015-02-26	PARTY CITY #2010	118.99	CAD	118.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5947	"Card, Gift, Novelty, and Souvenir Shops"	RESIDENT PARTY SUPPLIES	
					831.83	CAD	831.83	CAD								
TORONTO PARAMEDIC SERVICES	3394-5	2015-02-24	2015-02-26	AIR CAN  0146774739587	863.46	CAD	863.46	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	B46810	BNICE - NON-SALARY	3009	Air Canada	N/A	
TORONTO PARAMEDIC SERVICES	3394-6	2015-02-24	2015-02-26	AIR CAN  0146774739588	863.46	CAD	863.46	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	B46810	BNICE - NON-SALARY	3009	Air Canada	N/A	
TORONTO PARAMEDIC SERVICES	3394-7	2015-02-24	2015-02-26	AIR CAN  0146774739589	863.46	CAD	863.46	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	B46810	BNICE - NON-SALARY	3009	Air Canada	N/A	
TORONTO PARAMEDIC SERVICES	3394-8	2015-02-24	2015-02-26	AIR CAN  0146774739590	863.46	CAD	863.46	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	B46810	BNICE - NON-SALARY	3009	Air Canada	N/A	
TORONTO PARAMEDIC SERVICES	3394-9	2015-02-24	2015-02-26	AIR CAN  0146774739591	863.46	CAD	863.46	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	B46810	BNICE - NON-SALARY	3009	Air Canada	N/A	
TORONTO PARAMEDIC SERVICES	3394-10	2015-02-25	2015-02-26	SKYLINK	230.00	CAD	230.00	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	B46810	BNICE - NON-SALARY	4722	Travel Agencies and Tour Operators	TRAVEL TO SUFFIELD	
					"4,547.30"	CAD	"4,547.30"	CAD								
"PARKS, FORESTRY & RECREATION"	3374-1	2015-02-11	2015-02-12	BEST BUY #965	124.28	CAD	124.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11584	OCONNOR CC-SPORTS	5732	Electronic Sales	DVD FOR MOVIE NIGHT- YOUTH LOUNGE	
"PARKS, FORESTRY & RECREATION"	3376-7	2015-02-11	2015-02-13	WAL-MART #3159	135.13	CAD	135.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11584	OCONNOR CC-SPORTS	5411	"Grocery Stores, Supermarkets"	BOARD GAMES - YOUTH LOUNGE	
					259.41	CAD	259.41	CAD								
"PARKS, FORESTRY & RECREATION"	3357-3	2015-01-30	2015-02-02	CANBE FOODS	28.25	CAD	28.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11225	MCGREGOR PARK-SPORTS	5812	"Eating Places, Restaurants"	SAMOSAS	
					28.25	CAD	28.25	CAD								
TORONTO PARAMEDIC SERVICES	3392-5	2015-02-24	2015-02-25	STERLING MARKING PRODU	149.81	CAD	149.81	CAD	2010	STATIONERY AND OFFICE SUPPLIES	B46754	OPS - SERVICE DISTRICT 5	5943	"Office, School Supply, and Stationery St"	LEGAL EMBOSSER	
TORONTO PARAMEDIC SERVICES	3396-1	2015-02-26	2015-02-27	IMPARK00090442U	18.00	CAD	18.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46754	OPS - SERVICE DISTRICT 5	7523	Automobile Parking Lots and Garages	PARKING	
					167.81	CAD	167.81	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3366-2	2015-02-04	2015-02-06	PAYPAL *BELGIANCANA	60.00	CAD	60.00	CAD	4760	MEMBERSHIP FEES	ED0057	BUSINESS & PROFESSIONAL SERVICES	8999	Professional Services - Not Elsewhere Cl	MEMBERSHIP	
ECONOMIC DEVELOPMENT & CULTURE	3372-1	2015-02-09	2015-02-11	THE SHORE CLUB - TORON	83.17	CAD	83.17	CAD	4823	MEALS-OUTSIDE LOC'S	ED0057	BUSINESS & PROFESSIONAL SERVICES	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	3388-9	2015-02-19	2015-02-23	PAYPAL *CANADIANCOU	50.85	CAD	50.85	CAD	4118	TICKETS AND ADMISSION FEES	ED0057	BUSINESS & PROFESSIONAL SERVICES	8999	Professional Services - Not Elsewhere Cl	TICKET FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	3388-10	2015-02-20	2015-02-23	PAYPAL *CANADIANCOU	50.85	CAD	50.85	CAD	4118	TICKETS AND ADMISSION FEES	ED0057	BUSINESS & PROFESSIONAL SERVICES	8999	Professional Services - Not Elsewhere Cl	TICKET FOR EVENT	
					244.87	CAD	244.87	CAD								
"PARKS, FORESTRY & RECREATION"	3357-4	2015-01-30	2015-02-02	BOLTS PLUS	134.11	CAD	134.11	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12136	ALNESS YARD-FORESTRY-PRUNING REMOVAL	5085	Industrial Supplies Not Elsewhere Classi	COATED CABLE & COTTER PINS	
"PARKS, FORESTRY & RECREATION"	3357-5	2015-01-30	2015-02-02	BOLTS PLUS	22.60	CAD	22.60	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12136	ALNESS YARD-FORESTRY-PRUNING REMOVAL	5085	Industrial Supplies Not Elsewhere Classi	1/8 SWAGE SLEEVE'S	
"PARKS, FORESTRY & RECREATION"	3388-11	2015-02-19	2015-02-23	CABLE CRAFT LIMITED	465.38	CAD	465.38	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12136	ALNESS YARD-FORESTRY-PRUNING REMOVAL	5039	Construction Materials Not Elsewhere Cla	SLINGS FOR CRANE TRUCK	
					622.09	CAD	622.09	CAD								
MUNICIPAL LICENSING & STANDARDS	3376-8	2015-02-12	2015-02-13	NORTH TORONTO ANIMAL C	"2,421.65"	CAD	"2,421.65"	CAD	4087	PROFESSIONAL SERVICES -VETERINARIAN FEES	PH5036	TAS WEST REGION	0742	Veterinary Services	ANIMAL SERVICES CLINIC	
					"2,421.65"	CAD	"2,421.65"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3394-11	2015-02-26	2015-02-26	AMAZON MKTPLACE PMTS	72.75	CAD	56.94	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0035	CD-RP-PROG & COMMITTEE-METRO HALL	5942	Book Stores	BOOK	
					72.75	CAD	56.94	USD								
"PARKS, FORESTRY & RECREATION"	3357-6	2015-01-30	2015-02-02	SHOPPERSDRUGMART0857	12.00	CAD	12.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P06535	ELMBANK CC-SOCIAL PRGM	5912	"Drug Stores, Pharmacies"	TTC TICKETS	
"PARKS, FORESTRY & RECREATION"	3357-7	2015-01-30	2015-02-02	WAL-MART # 3740	45.13	CAD	45.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13059	GEN INTRST & CLUBS - EY YOUTH REC STRAT	5411	"Grocery Stores, Supermarkets"	TIMERS FOR EVOLUTION BASKETBALL	
"PARKS, FORESTRY & RECREATION"	3359-3	2015-01-30	2015-02-03	CDN TIRE STORE #00294	39.47	CAD	39.47	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13059	GEN INTRST & CLUBS - EY YOUTH REC STRAT	5200	Home Supply Warehouse	WHISTLES FOR EVOLUTION BASKETBALL	
"PARKS, FORESTRY & RECREATION"	3359-4	2015-01-30	2015-02-03	ECO COIN LAUNDRY AND W	12.43	CAD	12.43	CAD	4419	LAUNDRY SERVICES	P13059	GEN INTRST & CLUBS - EY YOUTH REC STRAT	7216	Dry Cleaners	UNIFORM CLEANING FOR EVOLUTION BASKETBALL	
"PARKS, FORESTRY & RECREATION"	3370-2	2015-02-09	2015-02-10	FORTINO'S (QUEEN'S PLA	52.91	CAD	52.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06535	ELMBANK CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES	
"PARKS, FORESTRY & RECREATION"	3384-3	2015-02-18	2015-02-19	FORTINO'S (QUEEN'S PLA	44.90	CAD	44.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06535	ELMBANK CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES	
					206.84	CAD	206.84	CAD								
LONG TERM CARE HOMES & SERVICES	3372-2	2015-02-10	2015-02-11	LOBLAWS #029	76.57	CAD	76.57	CAD	2741	FOOD COSTS	D3B032	CASTLEVIEW WYCHWOOD-FN-RF	5411	"Grocery Stores, Supermarkets"	RESIDENT MENU - COTTAGE CHEESE	
LONG TERM CARE HOMES & SERVICES	3384-4	2015-02-18	2015-02-19	LOBLAWS #029	95.47	CAD	95.47	CAD	2741	FOOD COSTS	D3B032	CASTLEVIEW WYCHWOOD-FN-RF	5411	"Grocery Stores, Supermarkets"	RESIDENT MENU - COTTAGE CHEESE	
					172.04	CAD	172.04	CAD								
"PARKS, FORESTRY & RECREATION"	3357-8	2015-01-30	2015-02-02	SNAP ON TOOLS LTD. 600	407.48	CAD	407.48	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00830	TECH SERV. 1-FLEET EQUIP	5251	Hardware Stores	SHOP TOOLS	
"PARKS, FORESTRY & RECREATION"	3364-3	2015-02-04	2015-02-05	COLLINS AUTOMOTIVE PAR	59.80	CAD	59.80	CAD	2401	LUBRICANTS	P00830	TECH SERV. 1-FLEET EQUIP	5533	"Automotive Parts, Accessories Stores"	OIL	
"PARKS, FORESTRY & RECREATION"	3366-3	2015-02-05	2015-02-06	ALPINE LAWN   GARDEN E	209.88	CAD	209.88	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00830	TECH SERV. 1-FLEET EQUIP	5261	Lawn and Garden Supply Stores	FLYWHEEL	
"PARKS, FORESTRY & RECREATION"	3368-4	2015-02-06	2015-02-09	TURF CARE	"1,849.54"	CAD	"1,849.54"	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00830	TECH SERV. 1-FLEET EQUIP	5261	Lawn and Garden Supply Stores	WING DECK	
"PARKS, FORESTRY & RECREATION"	3370-3	2015-02-09	2015-02-10	INTERLINE WHOLESALE HA	49.55	CAD	49.55	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00830	TECH SERV. 1-FLEET EQUIP	5072	Hardware Equipment and Supplies	SHOP TOOLS	
