Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Tr Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3482-1	2015-04-30	2015-05-01	FRESHCO #9781	14.14	CAD	14.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MILK, CREAM COCONUT"	
ECONOMIC DEVELOPMENT & CULTURE	3486-1	2015-05-04	2015-05-05	LOBLAWS 4.2	53.85	CAD	53.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BLEACH CLEANER, SUGAR, CUPS, ICE, APPLES, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3493-1	2015-05-07	2015-05-08	LOBLAWS 4.2	5.58	CAD	5.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	EGGS	
ECONOMIC DEVELOPMENT & CULTURE	3501-1	2015-05-12	2015-05-13	METRO #720	9.37	CAD	9.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	MILK	
ECONOMIC DEVELOPMENT & CULTURE	3504-1	2015-05-14	2015-05-15	METRO #720	8.38	CAD	8.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"OATMEAL, ASPARAGUS"	
ECONOMIC DEVELOPMENT & CULTURE	3509-3	2015-05-19	2015-05-20	SOBEYS 938        QPS	18.65	CAD	18.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BRAN, APPLES, BUTTERMILK, POTATOES"	
ECONOMIC DEVELOPMENT & CULTURE	3512-1	2015-05-21	2015-05-22	METRO #720	34.43	CAD	34.43	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"ASPARAGUS, MILK, WHIPPING CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	3518-6	2015-05-26	2015-05-27	SOBEYS 938        QPS	12.32	CAD	12.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BREAD, MILK, APPLES"	
					156.72	CAD	156.72	CAD								
AFFORDABLE HOUSING OFFICE	3506-1	2015-05-15	2015-05-19	YMCA GREATER -JOHN ST	283.63	CAD	283.63	CAD	4820	BUSINESS MEETING EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	YMCA FUNCTION	
					283.63	CAD	283.63	CAD								
FIRE SERVICES	3482-2	2015-04-29	2015-05-01	CDN TIRE STORE #00654	351.32	CAD	351.32	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	WORK PLATFORM WORK BENCHS AND TABLES	
					351.32	CAD	351.32	CAD								
TRANSPORTATION SERVICES 	3510-1	2015-05-20	2015-05-21	PAYPAL *TWEETYMAIL	6.28	CAD	6.28	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3510-2	2015-05-20	2015-05-21	PAYPAL *TWEETYMAIL	6.28	CAD	6.28	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3510-3	2015-05-20	2015-05-21	PAYPAL *TWEETYMAIL	6.28	CAD	6.28	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3510-4	2015-05-20	2015-05-21	PAYPAL *TWEETYMAIL	6.28	CAD	6.28	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					25.12	CAD	25.12	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3483-1	2015-05-02	2015-05-04	SOBEYS 741        QPS	146.92	CAD	146.92	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5411	"Grocery Stores, Supermarkets"	CAKE	
ECONOMIC DEVELOPMENT & CULTURE	3486-2	2015-05-04	2015-05-05	YORKSHIRE PUDDING INC.	"2,237.40"	CAD	"2,237.40"	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5811	Caterers	CATERING SERVICES	
ECONOMIC DEVELOPMENT & CULTURE	3486-3	2015-05-04	2015-05-05	FRESHCO #9852	6.95	CAD	6.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	COOKIES	
ECONOMIC DEVELOPMENT & CULTURE	3495-1	2015-05-07	2015-05-11	Y C CHAU AND SONS PIAN	723.20	CAD	723.20	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5733	"Music Stores - Musical Instruments, Pian"	EMERGENCY REPAIR FOR GRAND PIANO	
ECONOMIC DEVELOPMENT & CULTURE	3501-2	2015-05-12	2015-05-13	AMAZON *MARKETPLCE CA	32.94	CAD	32.94	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	MOUNT FOR MONITOR AND MINI DISPLAY PORT CABLE	
ECONOMIC DEVELOPMENT & CULTURE	3502-1	2015-05-13	2015-05-14	LOWES #03096*	25.97	CAD	25.97	CAD	2715	PAINT SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5200	Home Supply Warehouse	877ML BLACK CHALKBOARD PAINT	
ECONOMIC DEVELOPMENT & CULTURE	3506-2	2015-05-11	2015-05-19	MODERN LAUNDRY	99.44	CAD	99.44	CAD	4419	LAUNDRY SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7216	Dry Cleaners	LAUNDRY SERVICES	
ECONOMIC DEVELOPMENT & CULTURE	3510-5	2015-05-19	2015-05-21	PIZZAIOLO	51.60	CAD	51.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0015	AS-PS-EXHIBITIONS-ETOBCC ART GALLERY	5814	Quick Payment Service - Fast-Food Restau	PIZZA	
ECONOMIC DEVELOPMENT & CULTURE	3512-2	2015-05-21	2015-05-22	FONTS COM	73.99	CAD	59.00	USD	4995	OTHER EXPENSES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	7372	"Computer Programming, Integrated Systems"	TRUE NORTH FONT PURCHASE	
ECONOMIC DEVELOPMENT & CULTURE	3514-6	2015-05-22	2015-05-25	FRESHCO #9852	23.98	CAD	23.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0015	AS-PS-EXHIBITIONS-ETOBCC ART GALLERY	5411	"Grocery Stores, Supermarkets"	"COOKIES, FRUIT AND CHEESE"	
ECONOMIC DEVELOPMENT & CULTURE	3520-5	2015-05-26	2015-05-28	SHOPPERSDRUGMART0903	7.96	CAD	7.96	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5912	"Drug Stores, Pharmacies"	WATER	
ECONOMIC DEVELOPMENT & CULTURE	3520-6	2015-05-27	2015-05-28	SHOPPERSDRUGMART0903	7.96	CAD	7.96	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5912	"Drug Stores, Pharmacies"	WATER	
ECONOMIC DEVELOPMENT & CULTURE	3522-1	2015-05-27	2015-05-29	Y C CHAU AND SONS PIAN	"1,322.10"	CAD	"1,322.10"	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5733	"Music Stores - Musical Instruments, Pian"	GRAND PIANO TRUCK DOLLY	
					"4,760.41"	CAD	"4,686.42"	CAD								
							59.00	USD								
ECONOMIC DEVELOPMENT & CULTURE	3489-1	2015-05-05	2015-05-06	YORK APPLIANCES O-P	20.34	CAD	20.34	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5722	Household Appliance Stores	REPLACE ELECTRICAL CORD	
ECONOMIC DEVELOPMENT & CULTURE	3491-1	2015-05-06	2015-05-07	ERIC   SUSAN CUSTOM LA	110.74	CAD	110.74	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5719	Miscellaneous House Furnishing Specialty	REPAIR OF TWO LAMPS	
ECONOMIC DEVELOPMENT & CULTURE	3518-7	2015-05-26	2015-05-27	CURRY'S ART STORE	10.55	CAD	10.55	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5970	"Artist Supply Stores, Craft Shops"	PASTELS	
					141.63	CAD	141.63	CAD								
LONG TERM CARE HOMES & SERVICES	3482-3	2015-04-30	2015-05-01	JOERNS HEALTHCARE	370.85	CAD	370.85	CAD	2690	BEDDING	D3K144	LAKESHORE LODGE-NS-NA	5047	Laboratory/Medical/Dental/Ophthalmic Hos	MATTRESS SIDE STOPS	
LONG TERM CARE HOMES & SERVICES	3522-2	2015-05-27	2015-05-29	CONCEPTS DU SABLIER	72.21	CAD	72.21	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	8099	"Health Practitioners, Medical Services -"	TRIVIA BOOKS AND SHIPPING	
					443.06	CAD	443.06	CAD								
"PARKS, FORESTRY & RECREATION"	3486-4	2015-05-04	2015-05-05	BELL TV	74.35	CAD	74.35	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	BELL TV	
"PARKS, FORESTRY & RECREATION"	3486-5	2015-05-04	2015-05-05	THE POTTERY SUPPLY HOU	252.67	CAD	252.67	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05202	HERON PARK CC-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	"WHITE CLAY, BLUE,MULBERRY,ORANGE GLOSS GLAZE"	
"PARKS, FORESTRY & RECREATION"	3509-4	2015-05-19	2015-05-20	G   G ELECTRONICS	-84.74	CAD	-84.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	7629	"Appliance Repair Shops, Electrical and S"	MICROPHONES	
"PARKS, FORESTRY & RECREATION"	3520-7	2015-05-27	2015-05-28	THE POTTERY SUPPLY HOU	307.93	CAD	307.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05202	HERON PARK CC-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	"WHITE CLAY, BLUE,MULBERRY,ROSE PINK GLOSS GLAZE"	
					550.21	CAD	550.21	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3522-3	2015-05-27	2015-05-29	CDN TIRE STORE #00600	18.06	CAD	18.06	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0092	HS-MH-PROGRAM SUPPORT-MACKENZIE	5200	Home Supply Warehouse	DUSTMASK AND SAFETY GOGGLES	
					18.06	CAD	18.06	CAD								
"PARKS, FORESTRY & RECREATION"	3518-8	2015-05-25	2015-05-27	CDN TIRE STORE #00030	406.77	CAD	406.77	CAD	3099	GENERAL EQUIPMENT	P12542	EAST YORK CURLING-SPEC FACILITIES-OPS	5200	Home Supply Warehouse	ROUTERS FOR INSTALLATION OF CURLING ICE CIRCLES	
					406.77	CAD	406.77	CAD								
TORONTO PARAMEDIC SERVICES	3483-2	2015-05-01	2015-05-04	BRADFORD RENTAL SALES	155.94	CAD	155.94	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	7394	"Equipment Rental and Leasing Services, F"	CORDLESS DRILL	
TORONTO PARAMEDIC SERVICES	3483-3	2015-05-01	2015-05-04	BRADFORD RENTAL SALES	593.11	CAD	593.11	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	7394	"Equipment Rental and Leasing Services, F"	PLUG SOCKETS	
TORONTO PARAMEDIC SERVICES	3510-6	2015-05-20	2015-05-21	BRADFORD RENTAL SALES	480.19	CAD	480.19	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	7394	"Equipment Rental and Leasing Services, F"	SLIT TUBING	
					"1,229.24"	CAD	"1,229.24"	CAD								
"PARKS, FORESTRY & RECREATION"	3495-2	2015-05-08	2015-05-11	SPORTS TURF ASSOCIATIO	915.30	CAD	915.30	CAD	4424	CONTRACTED SERVICES - GENERAL	P00170	PARKS SUPP - SC	8398	"Organizations, Charitable and Social Ser"	TURF MAINTENANCE	
"PARKS, FORESTRY & RECREATION"	3516-1	2015-05-25	2015-05-26	HIGH TECH COMMUNICATIO	96.05	CAD	96.05	CAD	4424	CONTRACTED SERVICES - GENERAL	P00170	PARKS SUPP - SC	4812	Telecommunication Equipment Including Te	CELL REPAIR	
					"1,011.35"	CAD	"1,011.35"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3510-7	2015-05-20	2015-05-21	DAVE AND CHARLOTTE'S N	35.26	CAD	35.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"VINEGAR, EGG, MILK, TEA, DISHCLOTHS"	
ECONOMIC DEVELOPMENT & CULTURE	3510-8	2015-05-20	2015-05-21	LOBLAWS 4.2	14.77	CAD	14.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	RASPBERRIES	
ECONOMIC DEVELOPMENT & CULTURE	3520-8	2015-05-26	2015-05-28	CDN TIRE STORE #00654	152.53	CAD	152.53	CAD	2570	JANITORIAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5200	Home Supply Warehouse	"STORAGE BOXES, KETTLE, DISHWASHER DETERGENT, ETC."	
					202.56	CAD	202.56	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3495-3	2015-05-07	2015-05-11	DAVID'S TEA	112.50	CAD	112.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0096	HS-MH-PUBLIC/COMMUNITY-GIBSON HOU	5812	"Eating Places, Restaurants"	LOOSE TEA AND FILTERS	
ECONOMIC DEVELOPMENT & CULTURE	3501-3	2015-05-12	2015-05-13	LOBLAWS #1010	35.92	CAD	35.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0070	HS-MH-EDUCATION/OUTRCH-GIBSON HOU	5411	"Grocery Stores, Supermarkets"	BUTTER	
ECONOMIC DEVELOPMENT & CULTURE	3502-2	2015-05-13	2015-05-14	FIVE STAR ENTERPRISES	494.38	CAD	494.38	CAD	2670	UNIFORMS	AH0070	HS-MH-EDUCATION/OUTRCH-GIBSON HOU	5137	"Mens, Womens, and Childrens Uniforms and"	T-SHIRTS	
ECONOMIC DEVELOPMENT & CULTURE	3512-3	2015-05-20	2015-05-22	DAVID'S TEA	18.90	CAD	18.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0096	HS-MH-PUBLIC/COMMUNITY-GIBSON HOU	5812	"Eating Places, Restaurants"	LOOSE TEA	
ECONOMIC DEVELOPMENT & CULTURE	3516-2	2015-05-22	2015-05-26	CDN TIRE STORE #00600	24.00	CAD	24.00	CAD	2570	JANITORIAL SUPPLIES	AH0086	HS-MH-PROGRAM SUPPORT-ZION SCHOO	5200	Home Supply Warehouse	"YARD WASTE BAG. DISH SOAP, MURPHY'S OIL"	
					685.70	CAD	685.70	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3486-6	2015-05-04	2015-05-05	LOBLAWS #1212	232.38	CAD	232.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5411	"Grocery Stores, Supermarkets"	"FLOUR, EGGS, BUTTER, CHOCOLATE, CHEESE, SUGAR, ETC"	
ECONOMIC DEVELOPMENT & CULTURE	3489-2	2015-05-05	2015-05-06	LOBLAWS #1212	35.96	CAD	35.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5411	"Grocery Stores, Supermarkets"	"WALNUTS, DATES, LEMONS"	
ECONOMIC DEVELOPMENT & CULTURE	3491-2	2015-05-06	2015-05-07	LOBLAWS #1212	8.58	CAD	8.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5411	"Grocery Stores, Supermarkets"	TEA	
ECONOMIC DEVELOPMENT & CULTURE	3495-4	2015-05-09	2015-05-11	LOBLAWS #1212	6.00	CAD	6.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5411	"Grocery Stores, Supermarkets"	DONUTS VARIETY	
					282.92	CAD	282.92	CAD								
"PARKS, FORESTRY & RECREATION"	3482-4	2015-04-30	2015-05-01	TURF CANADA	848.87	CAD	848.87	CAD	2470	FERTILIZERS	P07646	DON VALLEY-OPERATIONS	5998	Tent & Awning Shops	LIQUID FERTILIZER	
"PARKS, FORESTRY & RECREATION"	3491-3	2015-05-05	2015-05-07	ALLTURF LTD.	621.50	CAD	621.50	CAD	2499	OTHER CHEMICALS	P07646	DON VALLEY-OPERATIONS	0780	Horticultural and Landscaping Services	FUNGICIDE	
"PARKS, FORESTRY & RECREATION"	3495-5	2015-05-08	2015-05-11	TURF CANADA	507.69	CAD	507.69	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5998	Tent & Awning Shops	MACHINE PARTS	
"PARKS, FORESTRY & RECREATION"	3506-3	2015-05-15	2015-05-19	U OF G - RIDGETOWN WEB	84.75	CAD	84.75	CAD	4760	MEMBERSHIP FEES	P07646	DON VALLEY-OPERATIONS	8220	"Colleges, Universities, Professional Sch"	MEMBERSHIP	
"PARKS, FORESTRY & RECREATION"	3520-9	2015-05-27	2015-05-28	VANDEN BUSSCHE IRRIGAT	158.48	CAD	158.48	CAD	2199	MISCELLANEOUS PARTS	P07646	DON VALLEY-OPERATIONS	5719	Miscellaneous House Furnishing Specialty	IRRIGATION PARS	
"PARKS, FORESTRY & RECREATION"	3522-4	2015-05-28	2015-05-29	PRECISION TURF TECHNOL	409.63	CAD	409.63	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P07646	DON VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	EQUIPMENT REPAIR	
					"2,630.92"	CAD	"2,630.92"	CAD								
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	3502-3	2015-05-13	2015-05-14	SQ *DANIEL TAPING SERV	60.00	CAD	60.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	F03524	DOWNSVIEW DELLS-DIRECT PROGRAMS	7399	Business Services - Not Elsewhere Classi	EDUCATIONAL CD'S	
					60.00	CAD	60.00	CAD								
LONG TERM CARE HOMES & SERVICES	3482-5	2015-04-28	2015-05-01	SEARS CANADA DIRECT	-161.34	CAD	-161.34	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3A061	BENDALE ACRES-MT-OA	5999	Miscellaneous and Specialty Retail Store	CREDIT REFUND FOR SHEERS FOR DINING ROOM	
LONG TERM CARE HOMES & SERVICES	3482-6	2015-04-28	2015-05-01	SEARS CANADA DIRECT	-976.22	CAD	-976.22	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3A061	BENDALE ACRES-MT-OA	5999	Miscellaneous and Specialty Retail Store	CREDIT REFUND FOR SHEERS FOR DINING ROOM	
LONG TERM CARE HOMES & SERVICES	3482-7	2015-04-28	2015-05-01	SEARS CANADA DIRECT	"-1,153.18"	CAD	"-1,153.18"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	D3A061	BENDALE ACRES-MT-OA	5999	Miscellaneous and Specialty Retail Store	CREDIT REFUND FOR SHEERS FOR DINING ROOM	
LONG TERM CARE HOMES & SERVICES	3483-4	2015-05-01	2015-05-04	MR PRINTER	97.41	CAD	97.41	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	7338	"Quick Copy, Reproduction, and Blueprinti"	RESIDENT ACTIVITY CALENDARS	
