Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS element / Order	Cost Centre / WBS element / Order Description	Merchant Type	Merchant Type Description	Purpose
ECONOMIC DEVELOPMENT & CULTURE	3574-1	2015-07-07	2015-07-08	SHOPPERS DRUG MART0807	22.58	CAD	22.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5912	"Drug Stores, Pharmacies"	COMPRESS
ECONOMIC DEVELOPMENT & CULTURE	3578-2	2015-07-10	2015-07-13	ABOVEGROUND ENTERPRISE	345.92	CAD	345.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	7333	"Commercial Art, Graphics, Photography"	CRAFT SUPPLIES
ECONOMIC DEVELOPMENT & CULTURE	3588-2	2015-07-15	2015-07-16	PHARMA PLUS #0257	8.63	CAD	8.63	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5912	"Drug Stores, Pharmacies"	INSECT REPELLANT
ECONOMIC DEVELOPMENT & CULTURE	3596-1	2015-07-21	2015-07-22	ROB'S NO FRILLS STORE	13.51	CAD	13.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"FOIL, WAX PAPER AND SANDWICH BAGS"
ECONOMIC DEVELOPMENT & CULTURE	3600-3	2015-07-22	2015-07-24	CDN TIRE STORE #00150	271.13	CAD	271.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5200	Home Supply Warehouse	FOLDING TABLES
ECONOMIC DEVELOPMENT & CULTURE	3600-4	2015-07-23	2015-07-24	FOOD BASICS #880	13.47	CAD	13.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	DRIED BEANS
ECONOMIC DEVELOPMENT & CULTURE	3605-1	2015-07-28	2015-07-29	ROB'S NO FRILLS STORE	18.79	CAD	18.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"FRUITS, HONEY"
					733.51	CAD	733.51	CAD							
PUBLIC HEALTH	3577-1	2015-07-09	2015-07-10	FACEBK *DXDT982JM2	30.74	CAD	30.74	CAD	4414	ADVERTISING & PROMOTION	PH3521	HL - SEXUAL HEALTH PROMOTION	7311	Advertising Services	FACEBOOK ADS
PUBLIC HEALTH	3577-2	2015-07-09	2015-07-10	FACEBK *HBJRF8EJM2	60.64	CAD	60.64	CAD	4414	ADVERTISING & PROMOTION	PH3521	HL - SEXUAL HEALTH PROMOTION	7311	Advertising Services	FACEBOOK ADS
PUBLIC HEALTH	3578-3	2015-07-10	2015-07-13	FACEBK *RAZT682KM2	300.21	CAD	300.21	CAD	4414	ADVERTISING & PROMOTION	PH3521	HL - SEXUAL HEALTH PROMOTION	7311	Advertising Services	FACEBOOK ADS
PUBLIC HEALTH	3578-4	2015-07-12	2015-07-13	TWITTER*ADVERTISING	300.00	CAD	300.00	CAD	4414	ADVERTISING & PROMOTION	PH3521	HL - SEXUAL HEALTH PROMOTION	7311	Advertising Services	ADVERTISING & PROMOTION
PUBLIC HEALTH	3578-5	2015-07-13	2015-07-13	FACEBK *BM9LE8AJM2	602.09	CAD	602.09	CAD	4414	ADVERTISING & PROMOTION	PH3521	HL - SEXUAL HEALTH PROMOTION	7311	Advertising Services	FACEBOOK ADS
PUBLIC HEALTH	3592-3	2015-07-19	2015-07-20	TWITTER*ADVERTISING	300.00	CAD	300.00	CAD	4414	ADVERTISING & PROMOTION	PH3521	HL - SEXUAL HEALTH PROMOTION	7311	Advertising Services	ADVERTISING & PROMOTION
					"1,593.68"	CAD	"1,593.68"	CAD							
"PARKS, FORESTRY & RECREATION"	3590-2	2015-07-15	2015-07-17	WAL-MART #1004	28.22	CAD	28.22	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	TIE DYE
"PARKS, FORESTRY & RECREATION"	3593-1	2015-07-20	2015-07-21	LOBLAWS #1021	65.27	CAD	65.27	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06753	MAIN SQ CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	GROCERIES - SECORD YOUTH CAMP
"PARKS, FORESTRY & RECREATION"	3593-2	2015-07-20	2015-07-21	LOBLAWS #1021	45.73	CAD	45.73	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06753	MAIN SQ CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES- DENTONIA CAMP
"PARKS, FORESTRY & RECREATION"	3593-3	2015-07-20	2015-07-21	LOBLAWS #1021	29.03	CAD	29.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06753	MAIN SQ CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES- SECORD CAMP
"PARKS, FORESTRY & RECREATION"	3600-5	2015-07-23	2015-07-24	ONTARIO SCIENCE CENTRE	10.00	CAD	10.00	CAD	4118	TICKETS AND ADMISSION FEES	P06753	MAIN SQ CC-PRGM SUPPORT	7991	Tourist Attractions and Exhibits	CAMPT TRIP - DENTONIA
"PARKS, FORESTRY & RECREATION"	3600-6	2015-07-23	2015-07-24	ONTARIO SCIENCE CENTRE	8.00	CAD	8.00	CAD	4118	TICKETS AND ADMISSION FEES	P06753	MAIN SQ CC-PRGM SUPPORT	7991	Tourist Attractions and Exhibits	CAMPT TRIP - SECORD
"PARKS, FORESTRY & RECREATION"	3602-4	2015-07-24	2015-07-27	MAD SCIENCE OF TORONTO	180.80	CAD	180.80	CAD	4118	TICKETS AND ADMISSION FEES	P06753	MAIN SQ CC-PRGM SUPPORT	7929	"Bands, Orchestras, and Miscellaneous Ent"	CAMPT TRIP - SECORD
"PARKS, FORESTRY & RECREATION"	3602-5	2015-07-24	2015-07-27	MAD SCIENCE OF TORONTO	180.80	CAD	180.80	CAD	4118	TICKETS AND ADMISSION FEES	P06753	MAIN SQ CC-PRGM SUPPORT	7929	"Bands, Orchestras, and Miscellaneous Ent"	CAMPT TRIP - SECORD
"PARKS, FORESTRY & RECREATION"	3609-1	2015-07-29	2015-07-31	TM- BLUE JAYS BASEBALL	671.00	CAD	671.00	CAD	4118	TICKETS AND ADMISSION FEES	P06753	MAIN SQ CC-PRGM SUPPORT	7922	Theatrical Producers (except Motion Pict	ADMISSION - CAMP TRIP
"PARKS, FORESTRY & RECREATION"	3609-2	2015-07-31	2015-07-31	EVERGREEN	42.00	CAD	42.00	CAD	4118	TICKETS AND ADMISSION FEES	P06753	MAIN SQ CC-PRGM SUPPORT	8398	"Organizations, Charitable and Social Ser"	CAMPT TRIP - SECORD
					"1,260.85"	CAD	"1,260.85"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	3565-1	2015-06-30	2015-07-02	FRIES INC	360.56	CAD	360.56	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7623	Air Conditioning and Refrigeration Repai	REPAIR TO COMMERCIAL FREEZER
ECONOMIC DEVELOPMENT & CULTURE	3567-1	2015-07-02	2015-07-03	FRESHCO #9781	58.14	CAD	58.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"PORK LOIN, CHICKEN, ONIONS, STRAWBERRIES"
ECONOMIC DEVELOPMENT & CULTURE	3569-1	2015-07-03	2015-07-06	FRESHCO #9781	31.92	CAD	31.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MILK, STRAWBERRIES"
ECONOMIC DEVELOPMENT & CULTURE	3574-2	2015-07-07	2015-07-08	METRO #720	13.11	CAD	13.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	CORNED BEEF
ECONOMIC DEVELOPMENT & CULTURE	3574-3	2015-07-07	2015-07-08	SOBEYS 938        QPS	24.88	CAD	24.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"PIMIENTOS, MILK, PEPPERS, POTATOES, ONIONS, ETC."
ECONOMIC DEVELOPMENT & CULTURE	3583-3	2015-07-14	2015-07-15	METRO #720	62.10	CAD	62.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CRACKERS, CORNED BEEF, CUCUMBERS, POTATOES, ETC."
ECONOMIC DEVELOPMENT & CULTURE	3596-2	2015-07-21	2015-07-22	SOBEYS 938        QPS	50.81	CAD	50.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BROWN SUGAR, MILK, POTATOES, CARROTS, LAMBS, ETC."
ECONOMIC DEVELOPMENT & CULTURE	3609-3	2015-07-30	2015-07-31	SOBEYS 938        QPS	37.42	CAD	37.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHIPPING CREAM, TABLE CREAM, COFFEE, BREAD, ETC."
					638.94	CAD	638.94	CAD							
AFFORDABLE HOUSING OFFICE	3577-3	2015-07-07	2015-07-10	MANHATTAN TROPHIES LIM	192.10	CAD	192.10	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5941	Sporting Goods Stores	PLAQUE FOR PRESENTATION
AFFORDABLE HOUSING OFFICE	3577-4	2015-07-07	2015-07-10	MANHATTAN TROPHIES LIM	45.20	CAD	45.20	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5941	Sporting Goods Stores	COURIER FEES FOR PLAQUE
AFFORDABLE HOUSING OFFICE	3577-5	2015-07-07	2015-07-10	MANHATTAN TROPHIES LIM	146.90	CAD	146.90	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5941	Sporting Goods Stores	PLAQUE FOR PRESENTATION
AFFORDABLE HOUSING OFFICE	3577-6	2015-07-07	2015-07-10	MANHATTAN TROPHIES LIM	-192.10	CAD	-192.10	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5941	Sporting Goods Stores	REFUND-RE: PLAQUE
					192.10	CAD	192.10	CAD							
FIRE SERVICES	3565-2	2015-06-30	2015-07-02	CASES UNLIMITED INC	909.65	CAD	909.65	CAD	3099	GENERAL EQUIPMENT	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5969	Direct Marketing - Other Direct Marketer	EQUIPMENT HARD CASES - PELICAN CASES
FIRE SERVICES	3572-2	2015-07-03	2015-07-07	CDN TIRE STORE #00030	76.77	CAD	76.77	CAD	2710	GENERAL HARDWARE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	"GENERAL HARDWARE: SCREWDRIVERS, BOX CUTTER KNIVES"
					986.42	CAD	986.42	CAD							
TRANSPORTATION SERVICES 	3593-4	2015-07-20	2015-07-21	PAYPAL *TWEETYMAIL	6.67	CAD	6.67	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL
TRANSPORTATION SERVICES 	3593-5	2015-07-20	2015-07-21	PAYPAL *TWEETYMAIL	6.67	CAD	6.67	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL
TRANSPORTATION SERVICES 	3593-6	2015-07-20	2015-07-21	PAYPAL *TWEETYMAIL	6.67	CAD	6.67	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL
TRANSPORTATION SERVICES 	3593-7	2015-07-20	2015-07-21	PAYPAL *TWEETYMAIL	6.67	CAD	6.67	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL
					26.68	CAD	26.68	CAD							
ECONOMIC DEVELOPMENT & CULTURE	3574-4	2015-07-07	2015-07-08	PAYPAL *INPRINTCOLL	430.50	CAD	430.50	CAD	4085	PROF & TECH-MGMT	AH0006	AS-PR-PROGRAM SUPPORT-ETOBCC	8999	Professional Services - Not Elsewhere Cl	SILKSCREENING SERVICES
ECONOMIC DEVELOPMENT & CULTURE	3577-7	2015-07-09	2015-07-10	LOCK UP SERVICES	26.67	CAD	26.67	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	7399	Business Services - Not Elsewhere Classi	PADLOCKS
ECONOMIC DEVELOPMENT & CULTURE	3578-6	2015-07-10	2015-07-13	RABBA 177            Q	8.97	CAD	8.97	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	MILK AND CREAM
ECONOMIC DEVELOPMENT & CULTURE	3581-2	2015-07-13	2015-07-14	RJ ROBERTSON ENTERPRIS	152.89	CAD	152.89	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5137	"Mens, Womens, and Childrens Uniforms and"	TABLE CLOTHS AND TABLE COVERING
ECONOMIC DEVELOPMENT & CULTURE	3581-3	2015-07-13	2015-07-14	LOCK UP SERVICES	40.00	CAD	40.00	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	7399	Business Services - Not Elsewhere Classi	PADLOCKS
ECONOMIC DEVELOPMENT & CULTURE	3588-3	2015-07-15	2015-07-16	LEE VALLEY - DOWNTOWN	116.96	CAD	116.96	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5072	Hardware Equipment and Supplies	DECOY OWLS FOR PEST BIRDS
ECONOMIC DEVELOPMENT & CULTURE	3590-3	2015-07-16	2015-07-17	HARVEY S PAINT	171.71	CAD	171.71	CAD	2715	PAINT SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5251	Hardware Stores	PAINT
ECONOMIC DEVELOPMENT & CULTURE	3592-4	2015-07-16	2015-07-20	CINE-SOURCE TORONTO	395.50	CAD	395.50	CAD	2715	PAINT SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5946	Camera and Photographic Supply Stores	THEATRE PAINT GELS
ECONOMIC DEVELOPMENT & CULTURE	3596-3	2015-07-21	2015-07-22	LEE VALLEY - DOWNTOWN	-32.21	CAD	-32.21	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5072	Hardware Equipment and Supplies	RETURN ONE DECOY OWL
ECONOMIC DEVELOPMENT & CULTURE	3600-7	2015-07-23	2015-07-24	LOWES #03096*	35.61	CAD	35.61	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5200	Home Supply Warehouse	"**MORE**  WHT 4-1/2"" DOOR PULL"
					"1,346.60"	CAD	"1,346.60"	CAD							
TORONTO WATER	3577-8	2015-07-09	2015-07-10	OWPSACSTATE	785.20	CAD	604.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	8398	"Organizations, Charitable and Social Ser"	BOOKS
					785.20	CAD	604.00	USD							
ECONOMIC DEVELOPMENT & CULTURE	3565-3	2015-06-29	2015-07-02	PIZZAIOLO	171.90	CAD	171.90	CAD	4820	BUSINESS MEETING EXPENSES	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	5814	Quick Payment Service - Fast-Food Restau	INTERNAL BUS MEETING
					171.90	CAD	171.90	CAD							
ECONOMIC DEVELOPMENT & CULTURE	3565-4	2015-06-29	2015-07-02	GOODHEALTH   SAFETY	310.98	CAD	310.98	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5085	Industrial Supplies Not Elsewhere Classi	"ACETONE, ETHANOL, HAZZARD MATERIAL"
ECONOMIC DEVELOPMENT & CULTURE	3577-9	2015-07-09	2015-07-10	WOOD ESSENCE DISTRIBUT	33.95	CAD	33.95	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5131	"Piece Goods, Notions, and Other Dry Good"	SHELLAC FLAKES
ECONOMIC DEVELOPMENT & CULTURE	3578-7	2015-07-07	2015-07-13	SOHO ART   CUSTOM FRAM	77.39	CAD	77.39	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5970	"Artist Supply Stores, Craft Shops"	CUSTOM CUT UV FILTERED ACRYLIC
ECONOMIC DEVELOPMENT & CULTURE	3583-4	2015-07-14	2015-07-15	BROUGHTONS	152.44	CAD	152.44	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0134	HS-MH-BD COMM SUPP-COLBORNE	5942	Book Stores	CLERGY SHIRTS
ECONOMIC DEVELOPMENT & CULTURE	3593-8	2015-07-20	2015-07-21	FABRICLAND DISTRIBUTOR	23.67	CAD	23.67	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5949	"Fabric, Needlework, Piece Goods, and Sew"	FABRIC DYE
					598.43	CAD	598.43	CAD							
LONG TERM CARE HOMES & SERVICES	3581-4	2015-07-12	2015-07-14	WAL-MART #3130	121.99	CAD	121.99	CAD	*****	KITCHEN SUPPLIES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	5411	"Grocery Stores, Supermarkets"	MICROWAVE AND POWER BARS
					121.99	CAD	121.99	CAD							
"PARKS, FORESTRY & RECREATION"	3567-2	2015-07-02	2015-07-03	BELL TV	74.35	CAD	74.35	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	SATTELITE TV MTHLY BILLING - YOUTH LOUNGE
"PARKS, FORESTRY & RECREATION"	3577-10	2015-07-08	2015-07-10	WAL-MART # 3111	30.44	CAD	30.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07689	HERON PARK-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	4-CHEESE SHREDDED
					104.79	CAD	104.79	CAD							
TORONTO PARAMEDIC SERVICES	3578-8	2015-07-10	2015-07-13	BRADFORD RENTAL SALES	481.15	CAD	481.15	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	7394	"Equipment Rental and Leasing Services, F"	BLACK SPLIT LOOM
TORONTO PARAMEDIC SERVICES	3578-9	2015-07-10	2015-07-13	BRADFORD RENTAL SALES	455.25	CAD	455.25	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	7394	"Equipment Rental and Leasing Services, F"	BLACK SPLIT LOOM
TORONTO PARAMEDIC SERVICES	3578-10	2015-07-10	2015-07-13	BRADFORD RENTAL SALES	210.46	CAD	210.46	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	7394	"Equipment Rental and Leasing Services, F"	"SAWBLODE, DRILL CHUCK, WRENCH"
					"1,146.86"	CAD	"1,146.86"	CAD							
