Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	4195-1	2016-09-08	2016-09-09	METRO #720	60.51	CAD	60.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"RAISINS, LEMONS, APPLES, WHIPPING CREAM, MILK"	
ECONOMIC DEVELOPMENT & CULTURE	4202-2	2016-09-13	2016-09-14	METRO #720	26.05	CAD	26.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"APPLES, MILK, CHEESE, WALNUTS"	
ECONOMIC DEVELOPMENT & CULTURE	4203-2	2016-09-14	2016-09-15	FRESHCO #9781	36.56	CAD	36.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WALNUTS, BACON, POTATOES, ONIONS"	
ECONOMIC DEVELOPMENT & CULTURE	4204-1	2016-09-15	2016-09-16	METRO #720	22.04	CAD	22.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	CHEESE	
ECONOMIC DEVELOPMENT & CULTURE	4206-3	2016-09-17	2016-09-19	CHEF'S DEPOT	138.92	CAD	138.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"FOIL PANS, PLASTIC COVERS, ROLLING PINS"	
ECONOMIC DEVELOPMENT & CULTURE	4206-4	2016-09-17	2016-09-19	KITCHEN STUFF PLUS #3	101.62	CAD	101.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	ROLLING PINS	
ECONOMIC DEVELOPMENT & CULTURE	4211-1	2016-09-20	2016-09-21	METRO #720	41.06	CAD	41.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"LEMONS, ORANGES, CHEESE"	
ECONOMIC DEVELOPMENT & CULTURE	4213-1	2016-09-21	2016-09-22	KITCHEN STUFF PLUS #15	149.44	CAD	149.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	"ROLLING PINS, PARING KNIVES"	
ECONOMIC DEVELOPMENT & CULTURE	4213-2	2016-09-21	2016-09-22	GREAT CANADIAN DOLLAR	14.13	CAD	14.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5310	Discount Stores	CANDLES	
ECONOMIC DEVELOPMENT & CULTURE	4214-1	2016-09-21	2016-09-23	SOBEYS 938        QPS	85.03	CAD	85.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"PIMIENTO, BROTH, VINEGAR, EGGS, MILK, PEPPERS, ETC"	
ECONOMIC DEVELOPMENT & CULTURE	4216-2	2016-09-24	2016-09-26	FRESHCO #9781	17.11	CAD	17.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CREAM, MILK"	
ECONOMIC DEVELOPMENT & CULTURE	4228-1	2016-09-30	2016-10-03	METRO #720	24.21	CAD	24.21	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"STORAGE CONTAINERS, BREAD"	
					716.68	CAD	716.68	CAD								
FIRE SERVICES	4211-2	2016-09-20	2016-09-21	STAPLES STORE #32	26.06	CAD	26.06	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5943	"Office, School Supply, and Stationery St"	FILES FOR CBRNE EXERCISE	
FIRE SERVICES	4218-3	2016-09-25	2016-09-27	PETROCAN	71.68	CAD	71.68	CAD	2260	GASOLINE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5541	Service Stations (with or without Ancill	GASOLINE	
FIRE SERVICES	4224-1	2016-09-28	2016-09-30	PETROCAN	66.94	CAD	66.94	CAD	2260	GASOLINE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5541	Service Stations (with or without Ancill	GASOLINE	
FIRE SERVICES	4228-2	2016-09-30	2016-10-03	PETROCAN	1.90	CAD	1.90	CAD	2260	GASOLINE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5541	Service Stations (with or without Ancill	GASOLINE	
FIRE SERVICES	4228-3	2016-09-30	2016-10-03	PETROCAN	43.45	CAD	43.45	CAD	2260	GASOLINE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5541	Service Stations (with or without Ancill	GASOLINE	
					210.03	CAD	210.03	CAD								
TRANSPORTATION SERVICES 	4211-3	2016-09-20	2016-09-21	PAYPAL *TWEETYMAIL	6.79	CAD	6.79	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4211-4	2016-09-20	2016-09-21	PAYPAL *TWEETYMAIL	6.79	CAD	6.79	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4211-5	2016-09-20	2016-09-21	PAYPAL *TWEETYMAIL	6.79	CAD	6.79	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4211-6	2016-09-20	2016-09-21	PAYPAL *TWEETYMAIL	6.79	CAD	6.79	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4220-1	2016-09-26	2016-09-28	INKTECH INTERNATIONAL	384.20	CAD	384.20	CAD	2090	GRAPHIC DESIGN SUPPLIES	TP0204	TRANSPORTATION SIGN SHOP OPERATION	7399	Business Services - Not Elsewhere Classi	INK FOR SIGN SHOP	
					411.36	CAD	411.36	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4202-3	2016-09-13	2016-09-14	SESCO/OSSO #728	85.88	CAD	85.88	CAD	2575	ELECTRICAL SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5065	Electrical Parts and Equipment	THEATRE LIGHTING JARS	
ECONOMIC DEVELOPMENT & CULTURE	4206-5	2016-09-16	2016-09-19	LAKESHORE LUMBER	54.50	CAD	54.50	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5251	Hardware Stores	"HOOKS, HOLDERS, SCREWS, NAILS,BRUSHES, DRILL BIT"	
ECONOMIC DEVELOPMENT & CULTURE	4211-7	2016-09-20	2016-09-21	RABBA 177            Q	37.87	CAD	37.87	CAD	4116	CATERING SERVICES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	"CAKE, NUTS, MILK, CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	4216-3	2016-09-23	2016-09-26	CINE-SOURCE LTD	67.80	CAD	67.80	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5046	Commercial Equipment Not Elsewhere Class	REPAIR TO SHURE PGX1 BODY PACK	
					246.05	CAD	246.05	CAD								
"PARKS, FORESTRY & RECREATION"	4192-1	2016-09-07	2016-09-08	NO FRILL'S #1306	5.16	CAD	5.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR BBQ	
"PARKS, FORESTRY & RECREATION"	4202-4	2016-09-13	2016-09-14	NO FRILL'S #1306	27.31	CAD	27.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD-WELCOME BACK CORN ROAST	
"PARKS, FORESTRY & RECREATION"	4213-3	2016-09-21	2016-09-22	FORTINO'S (QUEEN'S PLA	39.90	CAD	39.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	CORNS	
"PARKS, FORESTRY & RECREATION"	4213-4	2016-09-21	2016-09-22	FORTINOS HWY 7   ANSLE	23.94	CAD	23.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	CORNS	
"PARKS, FORESTRY & RECREATION"	4213-5	2016-09-21	2016-09-22	PAVAO MEATS WHOLESALE	68.00	CAD	68.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	HOTDOGS	
"PARKS, FORESTRY & RECREATION"	4214-2	2016-09-22	2016-09-23	DOLLAR TREE CANADA STO	32.49	CAD	32.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08504	HORNER SENIORS-SOCIAL PRGM	5331	Variety Stores	FRAMES	
"PARKS, FORESTRY & RECREATION"	4214-3	2016-09-22	2016-09-23	METRO #493	109.18	CAD	109.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4214-4	2016-09-22	2016-09-23	NO FRILL'S #1306	42.70	CAD	42.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"CHIPS, BUTTER"	
"PARKS, FORESTRY & RECREATION"	4223-1	2016-09-28	2016-09-29	NO FRILL'S #1306	135.79	CAD	135.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4223-2	2016-09-28	2016-09-29	BEST BUY CANADA #938	136.44	CAD	136.44	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P10539	S-REC SUPER1-PRGM SUPPORT	5732	Electronic Sales	SPEAKERS FOR FITNESS CLASS	
"PARKS, FORESTRY & RECREATION"	4224-2	2016-09-28	2016-09-30	WAL-MART # 3031	18.75	CAD	18.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	"HERBS, OLIVE OIL, CHEDDAR"	
					639.66	CAD	639.66	CAD								
TORONTO WATER	4220-2	2016-09-26	2016-09-28	MOE-HWIN WEB	"1,649.00"	CAD	"1,649.00"	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	9399	Government Services - Not Elsewhere Clas	HWIN FEES	
					"1,649.00"	CAD	"1,649.00"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4220-3	2016-09-27	2016-09-28	KIMPTON SCHOFIELD HOTE	343.49	CAD	255.14	USD	4210	BUSINESS TRAV - ACCOMMODATION	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	7011	"Lodging - Hotels, Motels, Resorts - Not"	ACCOMMODATION	
					343.49	CAD	255.14	USD								
LONG TERM CARE HOMES & SERVICES	4184-1	2016-09-02	2016-09-06	WOW WHAT A DEAL	141.13	CAD	141.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5310	Discount Stores	SUPPLIES FOR RESIDENT GALA	
LONG TERM CARE HOMES & SERVICES	4214-5	2016-09-22	2016-09-23	SQ *EPI FIRE PROTECTIO	"1,478.51"	CAD	"1,478.51"	CAD	4431	CONTRACTED SERVICES - FIRE ALARM SYSTEM	D3K061	LAKESHORE LODGE-MT-OA	8999	Professional Services - Not Elsewhere Cl	FIRE PANEL SERVICE CALL	
LONG TERM CARE HOMES & SERVICES	4214-6	2016-09-22	2016-09-23	SQ *EPI FIRE PROTECTIO	"1,403.60"	CAD	"1,403.60"	CAD	4431	CONTRACTED SERVICES - FIRE ALARM SYSTEM	D3K061	LAKESHORE LODGE-MT-OA	8999	Professional Services - Not Elsewhere Cl	FIRE PANEL SERVICE CALL	
LONG TERM CARE HOMES & SERVICES	4220-4	2016-09-27	2016-09-28	COSMETICS N'MORE FOR L	113.00	CAD	113.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3K083	LAKESHORE LODGE-PS-PS	5977	Cosmetic Stores	SUPPLIES FOR RESIDENT PROGRAM	
					"3,136.24"	CAD	"3,136.24"	CAD								
"PARKS, FORESTRY & RECREATION"	4184-2	2016-09-02	2016-09-06	BELL TV	77.74	CAD	77.74	CAD	4441	CONTRACTED SERVICES - CABLE TV	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	CABLE TV	
"PARKS, FORESTRY & RECREATION"	4228-4	2016-09-30	2016-10-03	FOOD BASICS #653	32.86	CAD	32.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04068	HERON PARK CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES	
					110.60	CAD	110.60	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4208-1	2016-09-19	2016-09-20	METRO #759	11.03	CAD	11.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0074	HS-MH-EDUCATION/OUTRCH-MACKENZIE	5411	"Grocery Stores, Supermarkets"	SUGAR AND BUTTER	
					11.03	CAD	11.03	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4186-1	2016-09-06	2016-09-07	LOBLAWS #1010	19.36	CAD	19.36	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0054	HS-MH-COLLECTION MGMT-GIBSON HOU	5411	"Grocery Stores, Supermarkets"	"VINEGAR, SEALER JARS FOR PICKLES"	
ECONOMIC DEVELOPMENT & CULTURE	4218-4	2016-09-26	2016-09-27	LOBLAWS #1010	5.98	CAD	5.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0054	HS-MH-COLLECTION MGMT-GIBSON HOU	5411	"Grocery Stores, Supermarkets"	ICE	
					25.34	CAD	25.34	CAD								
"PARKS, FORESTRY & RECREATION"	4198-2	2016-09-09	2016-09-12	NATURE'S CALL	254.25	CAD	254.25	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	P07646	DON VALLEY-OPERATIONS	4900	"Utilities - Electric, Gas, Sanitary, Wat"	PUMP OUT SEPTIC SYSTEM	
"PARKS, FORESTRY & RECREATION"	4206-6	2016-09-16	2016-09-19	ACCURATE INDUSTRIAL WA	423.75	CAD	423.75	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	P07646	DON VALLEY-OPERATIONS	5969	Direct Marketing - Other Direct Marketer	PUMP OUT SEPTIC SYSTEM	
"PARKS, FORESTRY & RECREATION"	4223-3	2016-09-28	2016-09-29	BENNETT EQUIPMENT SERV	"1,017.00"	CAD	"1,017.00"	CAD	2130	PARTS - MOBILE EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5599	"Miscellaneous Automotive, Aircraft, and"	WINDSHIELD	
"PARKS, FORESTRY & RECREATION"	4224-3	2016-09-29	2016-09-30	PAYPAL *PUMPS PLUS	473.13	CAD	473.13	CAD	2199	MISCELLANEOUS PARTS	P07646	DON VALLEY-OPERATIONS	8999	Professional Services - Not Elsewhere Cl	IRRIGATION PARTS	
"PARKS, FORESTRY & RECREATION"	4224-4	2016-09-29	2016-09-30	TURF CANADA	814.71	CAD	814.71	CAD	2470	FERTILIZERS	P07646	DON VALLEY-OPERATIONS	5998	Tent & Awning Shops	FERTILIZER	
					"2,982.84"	CAD	"2,982.84"	CAD								
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	4220-5	2016-09-26	2016-09-28	KDL LOCKSMITH	158.20	CAD	158.20	CAD	4463	CONTRACTED SERVICES - LOCKING SYSTEMS	F01523	BIRKDALE RES - PROPERTY SERVICES	7299	Other Services (Not Elsewhere Classified	BIRKDALE RES SAFE REPAIR	
					158.20	CAD	158.20	CAD								
"PARKS, FORESTRY & RECREATION"	4204-2	2016-09-12	2016-09-16	JJ DOWNS INDUSTRIAL	189.31	CAD	189.31	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	IRRIGATION SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4216-4	2016-09-19	2016-09-26	JJ DOWNS INDUSTRIAL	279.63	CAD	279.63	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	IRRIGATION SUPPLIES	
					468.94	CAD	468.94	CAD								
"PARKS, FORESTRY & RECREATION"	4186-2	2016-09-06	2016-09-07	I D N CANADA	176.05	CAD	176.05	CAD	2730	LOCKS	P00853	ALNESS YD-TRADES	5999	Miscellaneous and Specialty Retail Store	LOCK SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4192-2	2016-09-06	2016-09-08	THE HOME DEPOT #7078	56.76	CAD	56.76	CAD	3080	M & E - HAND TOOLS	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  HEX KEY	
"PARKS, FORESTRY & RECREATION"	4211-8	2016-09-20	2016-09-21	BERNARDI BUILDING SUPP	53.90	CAD	53.90	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00859	ALNESS YD-YARD OPERNS	5211	"Building Materials, Lumber Stores"	BLDG SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4213-6	2016-09-21	2016-09-22	CENTENNIAL PLUMBING SU	148.87	CAD	148.87	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YARD OPERNS	1711	"Air Conditioning, Heating, and Plumbing"	PLUMBING PARTS FOR REPAIRS	
					435.58	CAD	435.58	CAD								
"PARKS, FORESTRY & RECREATION"	4202-5	2016-09-13	2016-09-14	M.K.RITTENHOUSE   SONS	445.71	CAD	445.71	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00070	S-WEST-PRUNING/REMOVAL	5261	Lawn and Garden Supply Stores	COMPOST TEA CATALYST	
					445.71	CAD	445.71	CAD								
"PARKS, FORESTRY & RECREATION"	4192-3	2016-09-07	2016-09-08	CLEANOL	200.01	CAD	200.01	CAD	4424	CONTRACTED SERVICES - GENERAL	P01668	OCONNOR CC-PRGM SUPPORT	7349	"Cleaning and Maintenance, Janitorial Ser"	PROF SERVICES	
"PARKS, FORESTRY & RECREATION"	4206-7	2016-09-16	2016-09-19	MICHAELS OF CANADA #49	121.79	CAD	121.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06074	OCONNOR CC-SOCIAL PRGM	5945	"Game, Toy, and Hobby Shops"	ART SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4206-8	2016-09-16	2016-09-19	WAL-MART #3159	218.82	CAD	218.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06074	OCONNOR CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PRGM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4213-7	2016-09-21	2016-09-22	ALCO OF CANADA01 OF 01	559.34	CAD	559.34	CAD	3310	FURNISHINGS	P06074	OCONNOR CC-SOCIAL PRGM	5943	"Office, School Supply, and Stationery St"	PRESCHOOL RUG	
"PARKS, FORESTRY & RECREATION"	4216-5	2016-09-23	2016-09-26	WAL-MART #3159	111.29	CAD	111.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06074	OCONNOR CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD	
"PARKS, FORESTRY & RECREATION"	4224-5	2016-09-29	2016-09-30	MICHAELS OF CANADA #49	63.62	CAD	63.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06074	OCONNOR CC-SOCIAL PRGM	5945	"Game, Toy, and Hobby Shops"	ART SUPPLIES	
					"1,274.87"	CAD	"1,274.87"	CAD								
CITY CLERK'S OFFICE	4206-9	2016-09-16	2016-09-19	WESTJET*0001015655897	409.34	CAD	409.34	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	GV0016	ELECTION OPERATIONS	3180	WestJet Airlines	"Flight to Ottawa, Voting Round Table Conference"	
					409.34	CAD	409.34	CAD								
AFFORDABLE HOUSING OFFICE	4192-4	2016-09-07	2016-09-08	LIMO AND TAXI SERVICES	12.00	CAD	12.00	CAD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	4121	Limousines and Taxicabs	CAB FARE TO ATTEND MEETING	
AFFORDABLE HOUSING OFFICE	4195-2	2016-09-07	2016-09-09	BLUE LINE 1521 TAXITAB	30.71	CAD	30.71	CAD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	4121	Limousines and Taxicabs	CAB FARE TO ATTEND MEETING	
AFFORDABLE HOUSING OFFICE	4198-3	2016-09-09	2016-09-12	BLUE LINE 1472 TAXITAB	33.50	CAD	33.50	CAD	4220	BUSINESS TRAV - GROUND TRANSPORTATION	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	4121	Limousines and Taxicabs	CAB FARE TO ATTEND MEETING	
AFFORDABLE HOUSING OFFICE	4198-4	2016-09-09	2016-09-12	HMSHOST OTTAWA AIRPORT	24.27	CAD	24.27	CAD	4230	BUSINESS TRAV - OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5812	"Eating Places, Restaurants"	DINNER- MEETING OTTAWA	
AFFORDABLE HOUSING OFFICE	4198-5	2016-09-09	2016-09-12	DELTA OTTAWA CITY CENT	44.07	CAD	44.07	CAD	4230	BUSINESS TRAV - OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	3581	Delta Hotels	DINNER - MEETING IN OTTAWA	
AFFORDABLE HOUSING OFFICE	4204-3	2016-09-14	2016-09-16	ONTARIO NON-PROFIT HOU	446.35	CAD	446.35	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	REGISTRATION FOR CONFERENCE	
AFFORDABLE HOUSING OFFICE	4216-6	2016-09-23	2016-09-26	PAINTBOX BISTRO	"3,000.00"	CAD	"3,000.00"	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5812	"Eating Places, Restaurants"	FOOD - TORONTO HOUSING SUMMIT	
AFFORDABLE HOUSING OFFICE	4223-4	2016-09-27	2016-09-29	PAINTBOX BISTRO	973.42	CAD	973.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5812	"Eating Places, Restaurants"	FOOD - TORONTO HOUSING SUMMIT	
					"4,564.32"	CAD	"4,564.32"	CAD								
