Divison	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	4035-1	2016-05-24	2016-05-25	FRESHCO 9750      QPS	41.44	CAD	41.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
					302.59	CAD	302.59	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4012-1	2016-05-05	2016-05-09	SOBEYS 718        QPS	15.75	CAD	15.75	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0114	HS-MH-RETAIL-TODMORDEN	5411	"Grocery Stores, Supermarkets"	DAIRY AND DRINKING STRAWS	
ECONOMIC DEVELOPMENT & CULTURE	4043-1	2016-05-29	2016-05-31	SOBEYS 718        QPS	34.93	CAD	34.93	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0114	HS-MH-RETAIL-TODMORDEN	5411	"Grocery Stores, Supermarkets"	BOTTLED WATER FOR RESALE	
					50.68	CAD	50.68	CAD								
"PARKS, FORESTRY & RECREATION"	4010-1	2016-05-05	2016-05-06	PETSMART INC 2172	40.66	CAD	40.66	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5995	Pet Shops - Pet Food and Supplies	"FLITER, LIGHTS"	
"PARKS, FORESTRY & RECREATION"	4016-1	2016-05-09	2016-05-10	PADDON PIANO SERVICES	135.60	CAD	135.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	7699	Miscellaneous Repair Shops and Related S	PIANO TUNING	
"PARKS, FORESTRY & RECREATION"	4016-2	2016-05-09	2016-05-10	METRO #442	6.43	CAD	6.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	SHREDDED BAGS	
"PARKS, FORESTRY & RECREATION"	4023-3	2016-05-13	2016-05-16	METRO #720	26.49	CAD	26.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06753	MAIN SQ CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	MOTHER DAY TREATS	
"PARKS, FORESTRY & RECREATION"	4023-4	2016-05-13	2016-05-16	YOUR DOLLAR STORE WITH	178.20	CAD	178.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5310	Discount Stores	MOTHERS DAY CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4043-2	2016-05-28	2016-05-31	WAL-MART # 3105	123.08	CAD	123.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06753	MAIN SQ CC-PRGM SUPPORT	5310	Discount Stores	FANS	
					510.46	CAD	510.46	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4004-2	2016-05-03	2016-05-04	FRESHCO #9781	42.69	CAD	42.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CREAM, LARD, DATES, STORAGE CONTAINERS, SYRUP"	
ECONOMIC DEVELOPMENT & CULTURE	4010-2	2016-05-04	2016-05-06	NELLA CUTLERY AND FOOD	23.07	CAD	23.07	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	SPOONS AND SKIMMER	
ECONOMIC DEVELOPMENT & CULTURE	4010-3	2016-05-05	2016-05-06	FRESHCO #9781	37.17	CAD	37.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CHICKEN, ONIONS, CHOCOLATE MILK, COFFEE BEANS"	
ECONOMIC DEVELOPMENT & CULTURE	4020-1	2016-05-11	2016-05-12	METRO #720	60.23	CAD	60.23	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CURRANTS, BACON, CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	4021-1	2016-05-12	2016-05-13	FRESHCO #9781	38.94	CAD	38.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MILK, EGGS, GROUND BEEF, STEWING BEEF,STRAWBERRIES"	
ECONOMIC DEVELOPMENT & CULTURE	4027-2	2016-05-17	2016-05-18	FRESHCO #9781	23.85	CAD	23.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"STRAWBERRIES, OATS"	
ECONOMIC DEVELOPMENT & CULTURE	4029-3	2016-05-18	2016-05-19	METRO #720	48.02	CAD	48.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"FLOUR, APPLES, CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	4037-1	2016-05-24	2016-05-26	SOBEYS 938        QPS	16.80	CAD	16.80	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CLEANER, EGGS, MILK"	
ECONOMIC DEVELOPMENT & CULTURE	4039-2	2016-05-26	2016-05-27	METRO #720	57.96	CAD	57.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CURRANTS, LEMONS, STRABERRIES, EGGS, CREAM, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4041-1	2016-05-27	2016-05-30	METRO #720	17.94	CAD	17.94	CAD	4116	CATERING SERVICES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WATER FOR EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	4041-2	2016-05-28	2016-05-30	SOBEYS 938        QPS	56.00	CAD	56.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CLOVES, MACE, SPINACH, RHUBARB, LEMONS, BEETS, ETC"	
ECONOMIC DEVELOPMENT & CULTURE	4041-3	2016-05-27	2016-05-30	METRO #720	34.59	CAD	34.59	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"LEMONS, RHUBARB, STRAWBERRIES, CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	4043-3	2016-05-30	2016-05-31	BULK BARN	75.28	CAD	75.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CURRANTS, ALLSPICE, PEPPERMINT OIL, MIXED PEEL,ETC"	
					532.54	CAD	532.54	CAD								
FIRE SERVICES	4020-2	2016-05-10	2016-05-12	THE HOME DEPOT #7012	313.69	CAD	313.69	CAD	2082	HEALTH & SAFETY SUPPLIES	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	**MORE**  DECONTAMINATION SYSTEM SUPPLIES	
					313.69	CAD	313.69	CAD								
TRANSPORTATION SERVICES 	4033-1	2016-05-20	2016-05-24	PAYPAL *TWEETYMAIL	6.73	CAD	6.73	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4033-2	2016-05-20	2016-05-24	PAYPAL *TWEETYMAIL	6.73	CAD	6.73	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4033-3	2016-05-20	2016-05-24	PAYPAL *TWEETYMAIL	6.73	CAD	6.73	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	4033-4	2016-05-20	2016-05-24	PAYPAL *TWEETYMAIL	6.73	CAD	6.73	CAD	4813	INTERNET	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					26.92	CAD	26.92	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4000-1	2016-04-29	2016-05-02	MODERN LAUNDRY	45.20	CAD	45.20	CAD	4419	LAUNDRY SERVICES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	7216	Dry Cleaners	WASH AND FOLD TABLECLOTHS	
ECONOMIC DEVELOPMENT & CULTURE	4004-3	2016-05-03	2016-05-04	AMAZON.CA	63.60	CAD	63.60	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	4816	Computer Network/Information Services	PROJECTOR LOCKS	
ECONOMIC DEVELOPMENT & CULTURE	4004-4	2016-05-03	2016-05-04	BLACK GOAT CAFE	23.73	CAD	23.73	CAD	4820	BUSINESS MEETING EXPENSES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5462	Bakeries	MEETING	
ECONOMIC DEVELOPMENT & CULTURE	4004-5	2016-05-03	2016-05-04	4IMPRINT	"1,920.29"	CAD	"1,920.29"	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5969	Direct Marketing - Other Direct Marketer	**MORE**  BAMBOO  AMP  STAINLESS TRA	
ECONOMIC DEVELOPMENT & CULTURE	4012-2	2016-05-06	2016-05-09	LAKESHORE LUMBER	57.21	CAD	57.21	CAD	2710	GENERAL HARDWARE	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5251	Hardware Stores	"GLUE, FUSES, BRUSHES, HOOKS, PLATES"	
ECONOMIC DEVELOPMENT & CULTURE	4020-3	2016-05-11	2016-05-12	RCSS 1077	139.98	CAD	139.98	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0008	AS-PR-PROGRAM SUPPORT-METRO HALL	5411	"Grocery Stores, Supermarkets"	CAKES FOR RECEPTION PUBLIC EVENT	
ECONOMIC DEVELOPMENT & CULTURE	4025-1	2016-05-16	2016-05-17	ABOVEGROUND ENTERPRISE	53.52	CAD	53.52	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	7333	"Commercial Art, Graphics, Photography"	CLOTH TAPE AND ADHESIVE	
ECONOMIC DEVELOPMENT & CULTURE	4027-3	2016-05-17	2016-05-18	NO FRILL'S #1306	15.88	CAD	15.88	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	"MILK, CREAM, PASTA"	
ECONOMIC DEVELOPMENT & CULTURE	4030-1	2016-05-19	2016-05-20	NOFRILLS TIM SUES 1352	142.29	CAD	142.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	"FRUIT, CHIPS, COOKIES, CHEESE, CRACKERS, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4041-4	2016-05-27	2016-05-30	NO FRILL'S #1306	63.29	CAD	63.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0128	AS-PR-PROGRAM SUPPORT-LAKESHORE A.H	5411	"Grocery Stores, Supermarkets"	"FRUIT, CHIPS, CHEESE, COOKIES, CANDY"	
					"2,524.99"	CAD	"2,524.99"	CAD								
"PARKS, FORESTRY & RECREATION"	4008-2	2016-05-04	2016-05-05	NO FRILL'S #1306	76.62	CAD	76.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR FASHION SHOW	
"PARKS, FORESTRY & RECREATION"	4008-3	2016-05-04	2016-05-05	COSTCO WHOLESALE W524	121.61	CAD	121.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5300	Wholesale Clubs	FOOD FOR FASHION SHOW	
"PARKS, FORESTRY & RECREATION"	4008-4	2016-05-04	2016-05-05	DOLLAR TREE CANADA STO	49.44	CAD	49.44	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5331	Variety Stores	PRIZES FOR FASHION SHOW	
"PARKS, FORESTRY & RECREATION"	4012-3	2016-05-06	2016-05-09	COSTCO WHOLESALE W524	85.64	CAD	85.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5300	Wholesale Clubs	FOOD FOR AFTERNOON CRAFT AND TEA	
"PARKS, FORESTRY & RECREATION"	4012-4	2016-05-06	2016-05-09	DOLLAR TREE CANADA STO	22.60	CAD	22.60	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5331	Variety Stores	PRIZES FOR AFTERNOON CRAFT AND TEA	
"PARKS, FORESTRY & RECREATION"	4012-5	2016-05-07	2016-05-09	IKEA ETOBICOKE	112.89	CAD	112.89	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P08495	HORNER SENIORS-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	SUPPLIES FOR CRAFT GROUP	
"PARKS, FORESTRY & RECREATION"	4035-2	2016-05-24	2016-05-25	MORE THAN PIES BAKING	117.00	CAD	117.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5462	Bakeries	FOOD FOR SUPPER AND GAMES	
"PARKS, FORESTRY & RECREATION"	4039-3	2016-05-25	2016-05-27	WAL-MART # 3031	61.83	CAD	61.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5310	Discount Stores	FOOD FOR FLEA MARKET	
"PARKS, FORESTRY & RECREATION"	4041-5	2016-05-27	2016-05-30	NO FRILL'S #1306	19.94	CAD	19.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR FLEA MARKET	
"PARKS, FORESTRY & RECREATION"	4041-6	2016-05-27	2016-05-30	NO FRILL'S #1306	32.30	CAD	32.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR FLEA MARKET	
"PARKS, FORESTRY & RECREATION"	4041-7	2016-05-27	2016-05-30	PAVAO MEATS WHOLESALE	104.50	CAD	104.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08495	HORNER SENIORS-PRGM SUPPORT	5422	"Freezer, Locker Meat Provisioners"	FOOD FOR FLEA MARKET	
					804.37	CAD	804.37	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4021-2	2016-05-12	2016-05-13	VAN DYKES RESTORERS	"1,067.79"	CAD	808.69	USD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	5719	Miscellaneous House Furnishing Specialty	LOCKS	
					"1,067.79"	CAD	808.69	USD								
ECONOMIC DEVELOPMENT & CULTURE	4020-4	2016-05-10	2016-05-12	STARKMAN SURGICAL SUPP	102.43	CAD	102.43	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	8071	Dental and Medical Laboratories	FORCEPS AND SCISSORS	
ECONOMIC DEVELOPMENT & CULTURE	4030-2	2016-05-19	2016-05-20	CURRY'S ART STORE	63.28	CAD	63.28	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5970	"Artist Supply Stores, Craft Shops"	VARNISHES AND MOLDING PASTE	
ECONOMIC DEVELOPMENT & CULTURE	4033-5	2016-05-20	2016-05-24	THE HOME DEPOT #7001	48.61	CAD	48.61	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5200	Home Supply Warehouse	**MORE**  CASTER	
					214.32	CAD	214.32	CAD								
LONG TERM CARE HOMES & SERVICES	4020-5	2016-05-11	2016-05-12	PATTERSON MEDICAL	70.83	CAD	70.83	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3K083	LAKESHORE LODGE-PS-PS	5047	Laboratory/Medical/Dental/Ophthalmic Hos	COMFORT GRIP UTENSILS FOR RESIDENTS	
					70.83	CAD	70.83	CAD								
"PARKS, FORESTRY & RECREATION"	4002-1	2016-05-02	2016-05-03	BELL TV	77.74	CAD	77.74	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07689	HERON PARK-PRGM SUPPORT	4812	Telecommunication Equipment Including Te	"APRIL 18 BILL , BELL TV SERVICE"	
					77.74	CAD	77.74	CAD								
"PARKS, FORESTRY & RECREATION"	4033-6	2016-05-19	2016-05-24	THE HOME DEPOT #7012	242.15	CAD	242.15	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	5200	Home Supply Warehouse	**MORE**  SND PAPR 150	
					242.15	CAD	242.15	CAD								
"PARKS, FORESTRY & RECREATION"	4004-6	2016-05-02	2016-05-04	SUTTON'S DRICOCRETE	885.92	CAD	885.92	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00409	N-EAST1-TURF&HORT	5261	Lawn and Garden Supply Stores	COLD PATCH	
"PARKS, FORESTRY & RECREATION"	4016-3	2016-05-09	2016-05-10	MARK'S WORK WEARHOUSE#	25.98	CAD	25.98	CAD	2082	HEALTH & SAFETY SUPPLIES	P00264	E-CENTRAL2-TURF&HORT	5651	Family Clothing Stores	GLOVES	
"PARKS, FORESTRY & RECREATION"	4029-4	2016-05-12	2016-05-19	CUSTOM COVERS BY ROBER	480.25	CAD	480.25	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00409	N-EAST1-TURF&HORT	5999	Miscellaneous and Specialty Retail Store	TRUCK TARPS	
"PARKS, FORESTRY & RECREATION"	4033-7	2016-05-20	2016-05-24	CDN TIRE STORE #00192	8.09	CAD	8.09	CAD	2710	GENERAL HARDWARE	P00409	N-EAST1-TURF&HORT	5200	Home Supply Warehouse	WIRE ROPE	
"PARKS, FORESTRY & RECREATION"	4035-3	2016-05-24	2016-05-25	MARK'S WORK WEARHOUSE	25.98	CAD	25.98	CAD	2082	HEALTH & SAFETY SUPPLIES	P00264	E-CENTRAL2-TURF&HORT	5651	Family Clothing Stores	GLOVES	
"PARKS, FORESTRY & RECREATION"	4037-2	2016-05-25	2016-05-26	MARK'S WORK WEARHOUSE	-25.98	CAD	-25.98	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00264	E-CENTRAL2-TURF&HORT	5651	Family Clothing Stores	RETURN - GLOVES	
					"1,400.24"	CAD	"1,400.24"	CAD								
"PARKS, FORESTRY & RECREATION"	4016-4	2016-05-09	2016-05-10	BEST BUY.CA # 899	158.18	CAD	158.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09707	GOULDING CC-INSTRL	5732	Electronic Sales	KEYBOARDS	
"PARKS, FORESTRY & RECREATION"	4023-5	2016-05-13	2016-05-16	MARCHANT S SCHOOL SPO	188.05	CAD	188.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09707	GOULDING CC-INSTRL	5941	Sporting Goods Stores	"TENNIS BALLS, PING PONG NETS"	
"PARKS, FORESTRY & RECREATION"	4037-3	2016-05-25	2016-05-26	FOOD BASICS #843	40.14	CAD	40.14	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09707	GOULDING CC-INSTRL	5411	"Grocery Stores, Supermarkets"	"FLOUR, BAKING SODA, SALT"	
"PARKS, FORESTRY & RECREATION"	4039-4	2016-05-26	2016-05-27	J  J CRAFTS	171.32	CAD	171.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09707	GOULDING CC-INSTRL	5970	"Artist Supply Stores, Craft Shops"	"CANVASS BOARDS, CONSTRUCTION PAPER"	
					557.69	CAD	557.69	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4012-6	2016-05-05	2016-05-09	CDN TIRE STORE #00600	13.53	CAD	13.53	CAD	2570	JANITORIAL SUPPLIES	AH0087	HS-MH-PROGRAM SUPPORT-GIBSON HOU	5200	Home Supply Warehouse	"SPRAY BOTTLE, MURPHY'S OIL, DISH SOAP"	
					13.53	CAD	13.53	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4008-5	2016-05-04	2016-05-05	LOBLAWS #1212	22.36	CAD	22.36	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0076	HS-MH-EDUCATION/OUTRCH-SPADINA	5411	"Grocery Stores, Supermarkets"	"PUNCH, BAKING CUPS, LEMONS"	
					22.36	CAD	22.36	CAD								
"PARKS, FORESTRY & RECREATION"	4000-2	2016-04-28	2016-05-02	ZANDER SOD CO LIMITED	668.96	CAD	668.96	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P07645	DENTONIA-OPERATIONS	0780	Horticultural and Landscaping Services	SOD FOR BOWLING GREEN	
"PARKS, FORESTRY & RECREATION"	4002-2	2016-04-29	2016-05-03	CDN TIRE STORE #00192	49.69	CAD	49.69	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	CONTAINER AND ABSORBANT	
"PARKS, FORESTRY & RECREATION"	4004-7	2016-05-03	2016-05-04	SAFETY KLEEN CANADA IN	113.00	CAD	113.00	CAD	4440	CONTRACTED SERVICES - WASTE DISPOSAL	P07646	DON VALLEY-OPERATIONS	7399	Business Services - Not Elsewhere Classi	WASTE REMOVAL OF OIL	
"PARKS, FORESTRY & RECREATION"	4010-4	2016-05-02	2016-05-06	BROUWER SOD FARMS LTD	487.50	CAD	487.50	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P07646	DON VALLEY-OPERATIONS	5261	Lawn and Garden Supply Stores	SOD	
"PARKS, FORESTRY & RECREATION"	4012-7	2016-05-05	2016-05-09	VANDEN BUSSCHE IRRIGAT	56.58	CAD	56.58	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07646	DON VALLEY-OPERATIONS	5719	Miscellaneous House Furnishing Specialty	IRRIGATION PARTS	
"PARKS, FORESTRY & RECREATION"	4016-5	2016-05-09	2016-05-10	GREEN TRACTORS - PORT	640.25	CAD	640.25	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07646	DON VALLEY-OPERATIONS	5599	"Miscellaneous Automotive, Aircraft, and"	HYDRLOIC CYLINDER PARTS	
"PARKS, FORESTRY & RECREATION"	4030-3	2016-05-18	2016-05-20	ALLTURF LTD.	472.34	CAD	472.34	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P07646	DON VALLEY-OPERATIONS	0780	Horticultural and Landscaping Services	TEA TOWELS	
"PARKS, FORESTRY & RECREATION"	4030-4	2016-05-18	2016-05-20	CDN TIRE STORE #00192	54.21	CAD	54.21	CAD	2665	PROTECTIVE CLOTHING	P07646	DON VALLEY-OPERATIONS	5200	Home Supply Warehouse	IMPACT GLOVES	
