Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	GL Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	3144-4	2014-08-28	2014-09-02	MISSISSAUGA HARDWARE C	50.68	CAD	50.68	CAD	3080	M & E - HAND TOOLS	P00656	CENTENNIAL PARK-PRGM SUPPORT	5072	Hardware Equipment and Supplies	SAW BLADES FOR CIRCULAR SAW	
					"1,581.46"	CAD	"1,581.46"	CAD								
"PARKS, FORESTRY & RECREATION"	3144-5	2014-08-27	2014-09-02	CONVAL EQUIPMENT	169.50	CAD	169.50	CAD	2535	PLUMBING SUPPLIES	P07726	NORTH TORONTO-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	ASCO VALVE	
					169.50	CAD	169.50	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3151-1	2014-09-04	2014-09-05	SOBEYS 938        QPS	10.19	CAD	10.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	FLOUR	
ECONOMIC DEVELOPMENT & CULTURE	3160-1	2014-09-10	2014-09-12	METRO #720	47.94	CAD	47.94	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"PORK, CORIANDER, MILK, BROTH / BRUSH, STARFRIT VAR"	
ECONOMIC DEVELOPMENT & CULTURE	3162-2	2014-09-12	2014-09-15	LOBLAWS 4.2	85.18	CAD	85.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	"LNDT BR COCO, JAM, WHIPPING CREAM"	
ECONOMIC DEVELOPMENT & CULTURE	3168-3	2014-09-16	2014-09-18	METRO #720	61.70	CAD	61.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	"JELLY, VANILLA, MILK, CREAM, COCONUT"	
ECONOMIC DEVELOPMENT & CULTURE	3171-5	2014-09-21	2014-09-22	SOBEYS 938        QPS	21.94	CAD	21.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CABBAGE, CARROTS, MILK, ONIONS, TURNIPS"	
ECONOMIC DEVELOPMENT & CULTURE	3175-1	2014-09-23	2014-09-24	LOBLAWS 4.2	88.72	CAD	88.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	"FLOUR, SUGAR, VANILLA, WALNUTS, SYRUP"	
ECONOMIC DEVELOPMENT & CULTURE	3175-2	2014-09-23	2014-09-24	FRESHCO 9841	35.01	CAD	35.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	"9"" GARDEN MUM, DUSTER KIT, BLEACH CLEANER"	
ECONOMIC DEVELOPMENT & CULTURE	3177-3	2014-09-24	2014-09-25	PLACEWARES	80.23	CAD	80.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5719	Miscellaneous House Furnishing Specialty	"COOKIE CUTTER, SPATULAS, COOKIE SHEET"	
ECONOMIC DEVELOPMENT & CULTURE	3179-2	2014-09-24	2014-09-26	CDN TIRE STORE #00654	124.16	CAD	124.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5200	Home Supply Warehouse	"STORAGE CONTAINERS, BATTER BOWL"	
ECONOMIC DEVELOPMENT & CULTURE	3181-2	2014-09-26	2014-09-29	EVENT RENTAL GROUP LIM	651.56	CAD	651.56	CAD	4590	RENTAL - OTHER	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	7394	"Equipment Rental and Leasing Services, F"	RENTAL - CHAIRS	
ECONOMIC DEVELOPMENT & CULTURE	3181-3	2014-09-27	2014-09-29	SOBEYS 938        QPS	9.00	CAD	9.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	CELERY	
ECONOMIC DEVELOPMENT & CULTURE	3181-4	2014-09-24	2014-09-29	METRO #720	88.01	CAD	88.01	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	"MILK, CREAM, CRACKERS, CURRANTS, APPLES"	
					"1,303.64"	CAD	"1,303.64"	CAD								
"PARKS, FORESTRY & RECREATION"	3171-6	2014-09-18	2014-09-22	WAL-MART # 3031	40.51	CAD	40.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07745	OLYMPIUM-PRGM SUPPORT	5310	Discount Stores	CRAFT SUPPLIES	
					40.51	CAD	40.51	CAD								
AFFORDABLE HOUSING OFFICE	3157-1	2014-09-09	2014-09-10	CITY OF TORONTO	154.81	CAD	154.81	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	9399	Government Services - Not Elsewhere Clas	EMS TRAINING	
AFFORDABLE HOUSING OFFICE	3162-3	2014-09-12	2014-09-15	LORD ELGIN HOTEL	444.16	CAD	444.16	CAD	4252	CONFERENCES/SEMINARS - ACCOMMODATION	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	7011	"Lodging - Hotels, Motels, Resorts - Not"	ONPHA CONFERENCE	
AFFORDABLE HOUSING OFFICE	3162-4	2014-09-12	2014-09-15	ONTARIO NON-PROFIT HOU	"1,356.00"	CAD	"1,356.00"	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	2014 CONFERENCE AND TRADE SHOW	
AFFORDABLE HOUSING OFFICE	3166-1	2014-09-15	2014-09-17	PAINTBOX BISTRO	253.00	CAD	253.00	CAD	4823	MEALS-OUTSIDE LOC'S	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5812	"Eating Places, Restaurants"	PARTIAL PAYMENT RE: INV#COTO91815	
AFFORDABLE HOUSING OFFICE	3175-3	2014-09-22	2014-09-24	PORTER AI	218.37	CAD	218.37	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	4511	"Air Carriers, Airlines - Not Elsewhere C"	ONPHA CONFERENCE	
AFFORDABLE HOUSING OFFICE	3179-3	2014-09-24	2014-09-26	PAINTBOX BISTRO	247.93	CAD	247.93	CAD	4823	MEALS-OUTSIDE LOC'S	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5812	"Eating Places, Restaurants"	PARTIAL PAYMENT RE: INV#COTO91815	
AFFORDABLE HOUSING OFFICE	3181-5	2014-09-25	2014-09-29	PORTER AI	252.27	CAD	252.27	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	4511	"Air Carriers, Airlines - Not Elsewhere C"	ONPHA CONFERENCE	
AFFORDABLE HOUSING OFFICE	3181-6	2014-09-27	2014-09-29	FLUIDSURVEYS	230.52	CAD	230.52	CAD	4038	PROFESSIONAL & TECHNICAL SERVICES - IT	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	5734	Computer Software Stores	SOFTWARE FOR WEBSITE	
					"3,157.06"	CAD	"3,157.06"	CAD								
FIRE SERVICES	3159-1	2014-09-09	2014-09-11	CDN TIRE STORE #00654	105.69	CAD	105.69	CAD	2710	GENERAL HARDWARE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	DUCT TAPE FOR TRAINING EXERCISE	
FIRE SERVICES	3177-4	2014-09-24	2014-09-25	PATLON AIRCRAFT   INDU	"1,327.75"	CAD	"1,327.75"	CAD	3045	M & E - PROTECTIVE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	1799	"Contractors, Special Trade - Not Elsewhe"	DOSIMETER CALIBRATION	
					"1,433.44"	CAD	"1,433.44"	CAD								
TRANSPORTATION SERVICES 	3159-2	2014-09-10	2014-09-11	BEST BUY.CA # 899	33.89	CAD	33.89	CAD	2575	ELECTRICAL SUPPLIES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	5732	Electronic Sales	RCA 75-WATT DC INVERTER WITH USB	
TRANSPORTATION SERVICES 	3159-3	2014-09-10	2014-09-11	FUTURE SHOP #612	33.89	CAD	33.89	CAD	2575	ELECTRICAL SUPPLIES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	5732	Electronic Sales	RCA 75-WATT DC INVERTER WITH USB	
TRANSPORTATION SERVICES 	3159-4	2014-09-10	2014-09-11	BEST BUY CANADA #932	203.33	CAD	203.33	CAD	2575	ELECTRICAL SUPPLIES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	5732	Electronic Sales	RCA 75-WATT DC INVERTER WITH USB	
TRANSPORTATION SERVICES 	3160-2	2014-09-11	2014-09-12	MOSHI MOBILE SOLUTIONS	39.55	CAD	39.55	CAD	2575	ELECTRICAL SUPPLIES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	4812	Telecommunication Equipment Including Te	TABLET COVERS AND BLUETOOTH KEYBOARDS	
TRANSPORTATION SERVICES 	3160-3	2014-09-11	2014-09-12	MOSHI MOBILE SOLUTIONS	158.20	CAD	158.20	CAD	2575	ELECTRICAL SUPPLIES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	4812	Telecommunication Equipment Including Te	TABLET COVERS AND BLUETOOTH KEYBOARDS	
TRANSPORTATION SERVICES 	3162-5	2014-09-12	2014-09-15	BESTBUY.CA #898	94.76	CAD	94.76	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	5732	Electronic Sales	BALLPOINT STYLUS COMBO PEN	
TRANSPORTATION SERVICES 	3162-6	2014-09-13	2014-09-15	AMAZON.CA	110.08	CAD	110.08	CAD	2575	ELECTRICAL SUPPLIES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	4816	Computer Network/Information Services	"AUDIOVOX POWER INVERTER, 75 W"	
TRANSPORTATION SERVICES 	3164-1	2014-09-15	2014-09-16	BEST BUY.CA # 900	135.55	CAD	135.55	CAD	2575	ELECTRICAL SUPPLIES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	5732	Electronic Sales	RCA 75-WATT DC INVERTER WITH USB	
TRANSPORTATION SERVICES 	3171-7	2014-09-20	2014-09-22	PAYPAL *TWEETYMAIL	5.63	CAD	5.63	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3171-8	2014-09-20	2014-09-22	PAYPAL *TWEETYMAIL	5.63	CAD	5.63	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3171-9	2014-09-20	2014-09-22	PAYPAL *TWEETYMAIL	5.63	CAD	5.63	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3171-10	2014-09-20	2014-09-22	PAYPAL *TWEETYMAIL	5.63	CAD	5.63	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					831.77	CAD	831.77	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3144-6	2014-08-29	2014-09-02	PIZZAIOLO	67.63	CAD	67.63	CAD	4820	BUSINESS MEETING EXPENSES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5814	Quick Payment Service - Fast-Food Restau	PIZZA-FOR STAFF TRAINING	
ECONOMIC DEVELOPMENT & CULTURE	3144-7	2014-08-29	2014-09-02	PIZZAIOLO	-9.00	CAD	-9.00	CAD	4820	BUSINESS MEETING EXPENSES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5814	Quick Payment Service - Fast-Food Restau	PIZZA - REFUND - FOR STAFF TRAINING	
ECONOMIC DEVELOPMENT & CULTURE	3166-2	2014-09-16	2014-09-17	RABBA 177            Q	14.47	CAD	14.47	CAD	4116	CATERING SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	COOKIES & FRUIT FOR MEETING WITH EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	3169-1	2014-09-17	2014-09-19	CHRISTIE LITES LTD	683.76	CAD	683.76	CAD	3099	GENERAL EQUIPMENT	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5719	Miscellaneous House Furnishing Specialty	"LEKO-ETC LIGHT, CONNECTORS & CABLE"	
ECONOMIC DEVELOPMENT & CULTURE	3169-2	2014-09-18	2014-09-19	RABBA 177            Q	10.98	CAD	10.98	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	MILK & CREAM	
ECONOMIC DEVELOPMENT & CULTURE	3171-11	2014-09-20	2014-09-22	ABOVEGROUND ENTERPRISE	12.20	CAD	12.20	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7333	"Commercial Art, Graphics, Photography"	PLASTIC SELF ADHESIVE HANGERS	
ECONOMIC DEVELOPMENT & CULTURE	3173-1	2014-09-23	2014-09-23	ULINE	44.68	CAD	44.68	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5964	Direct Marketing - Catalog Merchants	CIRCUIT BREAKER LOCKOUT-STANDARD	
ECONOMIC DEVELOPMENT & CULTURE	3181-7	2014-09-26	2014-09-29	VALUE VILLAGE 2038	14.65	CAD	14.65	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0015	AS-PS-EXHIBITIONS-ETOBCC ART GALLERY	5931	"Second Hand Stores, Used Merchandise Sto"	KNITTED SCARVES	
					839.37	CAD	839.37	CAD								
PUBLIC HEALTH	3173-2	2014-09-22	2014-09-23	APHA ANNUAL MEETING	836.94	CAD	740.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3614	SCHOOL AGED CHILDREN	8641	"Associations - Civic, Social, and Frater"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3179-4	2014-09-25	2014-09-26	5028-EDITHVALE CC	137.57	CAD	137.57	CAD	4530	RENTAL OF PROP. (OTHER THAN OFFICE)	PH3614	SCHOOL AGED CHILDREN	9399	Government Services - Not Elsewhere Clas	RENTAL OF PROP. (OTHER THAN OFFICE)	
					974.51	CAD	137.57	CAD								
							740.00	USD								
SOLID WASTE MANAGEMENT	3144-8	2014-08-28	2014-09-02	THE HOME DEPOT #7078	97.41	CAD	97.41	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW361-14-04	2014 INGRAM T.S.	5200	Home Supply Warehouse	**MORE**  GREEN TAPE	
SOLID WASTE MANAGEMENT	3146-2	2014-09-02	2014-09-03	CERMIC TILE WORLD	43.83	CAD	43.83	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0830	SCARBOROUGH TS OPERATIONS	5713	Floor Covering Stores	W/O 304273	
					141.24	CAD	141.24	CAD								
"PARKS, FORESTRY & RECREATION"	3168-4	2014-09-17	2014-09-18	SHERIDAN NURSERIES EST	131.29	CAD	131.29	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00114	CENTENNIAL-PLANT PRODUCTION	5261	Lawn and Garden Supply Stores	PLANTS	
					131.29	CAD	131.29	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3159-5	2014-09-09	2014-09-11	SUPER HAKKA RESTAURANT	64.98	CAD	64.98	CAD	4116	CATERING SERVICES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5812	"Eating Places, Restaurants"	MEETING WITH EXTERNAL CLIENTS RE:PROJECT	
ECONOMIC DEVELOPMENT & CULTURE	3162-7	2014-09-13	2014-09-15	GUILDWOOD VALU-MART #2	57.39	CAD	57.39	CAD	4116	CATERING SERVICES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5411	"Grocery Stores, Supermarkets"	"RECEPTION, WATER, APPLE JUICE, ICE TEA, COOKIES"	
ECONOMIC DEVELOPMENT & CULTURE	3166-3	2014-09-14	2014-09-17	METRO #808	33.83	CAD	33.83	CAD	4116	CATERING SERVICES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5411	"Grocery Stores, Supermarkets"	"RECEPTION, COKE, VEGGIE AND FRUIT PLATTER"	
ECONOMIC DEVELOPMENT & CULTURE	3168-5	2014-09-16	2014-09-18	SUPER HAKKA RESTAURANT	62.04	CAD	62.04	CAD	4116	CATERING SERVICES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	5812	"Eating Places, Restaurants"	MEETING WITH EXTERNAL CLIENTS RE:PROJECT	
					218.24	CAD	218.24	CAD								
TORONTO WATER	3159-6	2014-09-10	2014-09-11	SHOPPERS DRUG MART #07	12.20	CAD	12.20	CAD	4805	POSTAGE	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5912	"Drug Stores, Pharmacies"	REGISTERED MAIL	
TORONTO WATER	3164-2	2014-09-12	2014-09-16	CDN TIRE STORE #00175	157.14	CAD	157.14	CAD	2710	GENERAL HARDWARE	TW4090	WW TREATMNT:  HIGHLAND CREEK TP - ADMINI	5200	Home Supply Warehouse	LEAKSEAL & TAPE	
					169.34	CAD	169.34	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3166-4	2014-09-17	2014-09-17	WWW.CANADIANCLUB.ORG	75.00	CAD	75.00	CAD	4118	TICKETS AND ADMISSION FEES	ED0170	ECONOMIC DEVELOPMENT GENERAL MANAGER	8398	"Organizations, Charitable and Social Ser"	TICKET FOR EVENT	
					75.00	CAD	75.00	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3146-3	2014-08-31	2014-09-03	FABRICLAND DISTRIBUTOR	9.26	CAD	9.26	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5949	"Fabric, Needlework, Piece Goods, and Sew"	CANVAS	
ECONOMIC DEVELOPMENT & CULTURE	3153-3	2014-09-05	2014-09-08	CARR MCLEAN LIMITED	63.56	CAD	63.56	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5943	"Office, School Supply, and Stationery St"	MOUNTING STRIPS	
ECONOMIC DEVELOPMENT & CULTURE	3160-4	2014-09-10	2014-09-12	THE BAY #1519	40.68	CAD	40.68	CAD	2580	LABORATORY SUPPLIES	AH0056	HS-MH-COLLECTION MGMT-98 ATLANTIC	5311	Department Stores	PANTY HOSE FOR MOUNTING UNIFORMS	
