Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Decription	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2939-2	2014-04-01	2014-04-02	IKEA NORTH YORK	160.11	CAD	160.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05988	EARL BALES-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	CUTLERY FOR STAFF TRAINING	
"PARKS, FORESTRY & RECREATION"	2943-1	2014-04-02	2014-04-04	METRO #401	26.64	CAD	26.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CEREAL, MILK, BROCCOLI, EGGS, BREAD"	
"PARKS, FORESTRY & RECREATION"	2954-2	2014-04-09	2014-04-11	METRO #853	33.37	CAD	33.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"WATERMELONS, GRAPES, PINEAPPLES, TURKEY"	
"PARKS, FORESTRY & RECREATION"	2962-1	2014-04-15	2014-04-17	METRO #853	28.20	CAD	28.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"JUICE, DISH DETERGENT,PILLSBURY BREAD,BANANAS"	
"PARKS, FORESTRY & RECREATION"	2962-2	2014-04-15	2014-04-17	METRO #853	35.96	CAD	35.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"FLOUR, VINEGAR, CORNSTARCH, YEAST, PEROXIDE"	
"PARKS, FORESTRY & RECREATION"	2971-2	2014-04-23	2014-04-25	METRO #401	41.08	CAD	41.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CELERY, RAISINS, TORTILLA, COOKIES"	
"PARKS, FORESTRY & RECREATION"	2973-4	2014-04-25	2014-04-28	SHOPPERS DRUG MART0804	10.16	CAD	10.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11408	EARL BALES-SOCIAL PRGM	5912	"Drug Stores, Pharmacies"	ALKA SELTZER - SCIENCE PROGRAM	
					335.52	CAD	335.52	CAD								
"PARKS, FORESTRY & RECREATION"	2939-3	2014-03-31	2014-04-02	MR METAL(ETOBICOKE) IN	50.76	CAD	50.76	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	HR PLATE	
"PARKS, FORESTRY & RECREATION"	2942-1	2014-04-01	2014-04-03	MR METAL(ETOBICOKE) IN	74.47	CAD	74.47	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	HR ANGLE	
"PARKS, FORESTRY & RECREATION"	2943-2	2014-04-03	2014-04-04	HONIG INDUSTRIAL EQUIP	322.40	CAD	322.40	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5969	Direct Marketing - Other Direct Marketer		
"PARKS, FORESTRY & RECREATION"	2950-2	2014-04-04	2014-04-09	PRAXAIR #756	118.46	CAD	118.46	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	7692	Welding Repair		
"PARKS, FORESTRY & RECREATION"	2951-2	2014-04-08	2014-04-10	THE HOME DEPOT #7080	64.21	CAD	64.21	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  GALVAN SPRY	
"PARKS, FORESTRY & RECREATION"	2960-2	2014-04-14	2014-04-16	MR METAL(ETOBICOKE) IN	55.95	CAD	55.95	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	2962-3	2014-04-15	2014-04-17	NOBLE 1010	52.32	CAD	52.32	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5251	Hardware Stores		
"PARKS, FORESTRY & RECREATION"	2964-1	2014-04-16	2014-04-21	MR METAL(ETOBICOKE) IN	94.25	CAD	94.25	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	2970-1	2014-04-22	2014-04-24	MR METAL(ETOBICOKE) IN	632.80	CAD	632.80	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	2975-2	2014-04-25	2014-04-29	MR METAL(ETOBICOKE) IN	478.25	CAD	478.25	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices		
"PARKS, FORESTRY & RECREATION"	2977-1	2014-04-29	2014-04-30	ROMA FENCE LTD	751.11	CAD	751.11	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5211	"Building Materials, Lumber Stores"		
					"2,694.98"	CAD	"2,694.98"	CAD								
"PARKS, FORESTRY & RECREATION"	2946-3	2014-04-04	2014-04-07	BUNNING SPLICING   RIG	234.76	CAD	234.76	CAD	3099	GENERAL EQUIPMENT	P00656	CENTENNIAL PARK-PRGM SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	TIE DOWN STRAPS FOR EQUIPMENT	
"PARKS, FORESTRY & RECREATION"	2946-4	2014-04-04	2014-04-07	DULUX PAINTS #142	608.35	CAD	608.35	CAD	2715	PAINT SUPPLIES	P10960	CENTENNIAL STADIUM-OPERATIONS	5231	"Glass, Paint, Wallpaper Stores"	"PAINT-STADIUM WALLS, LONG JUMP BOARDS"	
"PARKS, FORESTRY & RECREATION"	2956-3	2014-04-10	2014-04-14	THE HOME DEPOT #7011	369.55	CAD	369.55	CAD	3099	GENERAL EQUIPMENT	P10960	CENTENNIAL STADIUM-OPERATIONS	5200	Home Supply Warehouse	**MORE**  ROUGH PINE	
"PARKS, FORESTRY & RECREATION"	2956-4	2014-04-10	2014-04-14	THE HOME DEPOT #7011	146.78	CAD	146.78	CAD	2590	EMERGENCY SERVICES SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  IRON HOOK	
"PARKS, FORESTRY & RECREATION"	2956-5	2014-04-11	2014-04-14	TECHNICAL STANDARDS AN	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	P10910	CENTENNIAL SKI CTR-OPERATIONS	1799	"Contractors, Special Trade - Not Elsewhe"	SKI LIFT MECHANIC CERT RENEWAL	
"PARKS, FORESTRY & RECREATION"	2960-3	2014-04-14	2014-04-16	BRAFASCO / MISSISSAUGA	70.85	CAD	70.85	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P10960	CENTENNIAL STADIUM-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	REPAIR PARTS FOR HURDLES	
"PARKS, FORESTRY & RECREATION"	2964-2	2014-04-17	2014-04-21	THE HOME DEPOT #7011	135.00	CAD	135.00	CAD	2570	JANITORIAL SUPPLIES	P10960	CENTENNIAL STADIUM-OPERATIONS	5200	Home Supply Warehouse	**MORE**  BROOM	
"PARKS, FORESTRY & RECREATION"	2970-2	2014-04-22	2014-04-24	JACK WATSON *12666	978.20	CAD	978.20	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P00608	"TURF, HORT, SPORT & GS - EY2"	5941	Sporting Goods Stores	TENNIS NETS FOR WARD 3 COURTS	
"PARKS, FORESTRY & RECREATION"	2973-5	2014-04-24	2014-04-28	THE HOME DEPOT #7011	64.14	CAD	64.14	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  FORGED STEEL	
					"2,682.63"	CAD	"2,682.63"	CAD								
"PARKS, FORESTRY & RECREATION"	2950-3	2014-04-07	2014-04-09	THE HOME DEPOT #7078	555.92	CAD	555.92	CAD	*****	GENERAL EQUIPMENT	P00859	ALNESS YD-YARD OPERNS	5200	Home Supply Warehouse	**MORE**  STORAGE BOX	
"PARKS, FORESTRY & RECREATION"	2954-3	2014-04-10	2014-04-11	CENTENNIAL PLUMBING SU	79.28	CAD	79.28	CAD	2535	PLUMBING SUPPLIES	P00859	ALNESS YD-YARD OPERNS	1711	"Air Conditioning, Heating, and Plumbing"	PLUMBING FITTINGS	
"PARKS, FORESTRY & RECREATION"	2956-6	2014-04-11	2014-04-14	BRAFASCO / VAUGHAN	630.51	CAD	630.51	CAD	3080	M & E - HAND TOOLS	P00859	ALNESS YD-YARD OPERNS	5085	Industrial Supplies Not Elsewhere Classi	TOOLS	
"PARKS, FORESTRY & RECREATION"	2971-3	2014-04-24	2014-04-25	RTA ELECTRIC MOTOR COR	897.22	CAD	897.22	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P07726	NORTH TORONTO-OPERATIONS	7538	Automotive Service Shops	PUMP REPAIR	
					"2,162.93"	CAD	"2,162.93"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2946-5	2014-04-03	2014-04-07	METRO #720	19.31	CAD	19.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"VANILLA & LEMON EXTRACTS, BEANS, TOMATOES, CELERY,"	
ECONOMIC DEVELOPMENT & CULTURE	2954-4	2014-04-10	2014-04-11	SOBEYS #938        QPS	13.57	CAD	13.57	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BEANS, TOMATOES, CREAM CHEESE, RASPBERRY JAM"	
ECONOMIC DEVELOPMENT & CULTURE	2964-3	2014-04-17	2014-04-21	FRESHCO #9841	29.62	CAD	29.62	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MILK, MAPLE SYRUP, SOUR CREAM / ZIPLOC FREEZER BAG"	
					62.50	CAD	62.50	CAD								
AFFORDABLE HOUSING OFFICE	2938-2	2014-03-31	2014-04-01	ONTARIO MUNICIPAL SOCI	293.80	CAD	293.80	CAD	4995	OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8699	"Organizations, Membership - Not Elsewher"		
AFFORDABLE HOUSING OFFICE	2942-2	2014-04-01	2014-04-03	YMCA GREATER -JOHN ST	32.15	CAD	32.15	CAD	4995	OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"		
AFFORDABLE HOUSING OFFICE	2942-3	2014-04-01	2014-04-03	YMCA GREATER -JOHN ST	128.65	CAD	128.65	CAD	4995	OTHER EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"		
AFFORDABLE HOUSING OFFICE	2964-4	2014-04-16	2014-04-21	YMCA GREATER -JOHN ST	32.15	CAD	32.15	CAD	4820	BUSINESS MEETING EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	FOOD FOR MEETING	
AFFORDABLE HOUSING OFFICE	2964-5	2014-04-16	2014-04-21	YMCA GREATER -JOHN ST	32.15	CAD	32.15	CAD	4820	BUSINESS MEETING EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	FOOD FOR MEETING	
AFFORDABLE HOUSING OFFICE	2964-6	2014-04-16	2014-04-21	YMCA GREATER -JOHN ST	32.15	CAD	32.15	CAD	4820	BUSINESS MEETING EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	FOOD FOR MEETING	
AFFORDABLE HOUSING OFFICE	2973-6	2014-04-24	2014-04-28	YMCA GREATER -JOHN ST	32.09	CAD	32.09	CAD	4820	BUSINESS MEETING EXPENSES	H20001	AFFORDABLE HOUSING OFFICE-HSG DEV ADM E	8398	"Organizations, Charitable and Social Ser"	FOOD FOR MEETING	
					583.14	CAD	583.14	CAD								
TRANSPORTATION SERVICES 	2964-7	2014-04-20	2014-04-21	PAYPAL *TWEETYMAIL	5.67	CAD	5.67	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	2964-8	2014-04-20	2014-04-21	PAYPAL *TWEETYMAIL	5.67	CAD	5.67	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	2964-9	2014-04-20	2014-04-21	PAYPAL *TWEETYMAIL	5.67	CAD	5.67	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	2964-10	2014-04-20	2014-04-21	PAYPAL *TWEETYMAIL	5.67	CAD	5.67	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
					22.68	CAD	22.68	CAD								
"PARKS, FORESTRY & RECREATION"	2938-3	2014-03-28	2014-04-01	CDN TIRE STORE #00654	93.17	CAD	93.17	CAD	2715	PAINT SUPPLIES	P00152	C-WATERFRONT3-TURF&HORT	5200	Home Supply Warehouse	PAINT	
					93.17	CAD	93.17	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2938-4	2014-03-31	2014-04-01	FRESHCO #9783	36.47	CAD	36.47	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	"CHEESE, CRACKERS, GRAPES, STRAWBERRIES"	
ECONOMIC DEVELOPMENT & CULTURE	2938-5	2014-04-01	2014-04-01	AMAZON *MARKETPLCE CA	116.77	CAD	116.77	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	STEREO AMPLIFIER FOR TECH BOOTH MONITORS	
ECONOMIC DEVELOPMENT & CULTURE	2939-4	2014-04-01	2014-04-02	RABBA #177	8.97	CAD	8.97	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	MILK & CREAM	
ECONOMIC DEVELOPMENT & CULTURE	2943-3	2014-04-01	2014-04-04	FLOWERS AND MORE	12.50	CAD	12.50	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5992	Florists	COOKIES & SUPPLIES FOR MUSIC CLUB PROGRAM	
ECONOMIC DEVELOPMENT & CULTURE	2946-6	2014-04-04	2014-04-07	MODERN LAUNDRY	81.36	CAD	81.36	CAD	4419	LAUNDRY SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7216	Dry Cleaners	WASH & FOLD TABLECLOTHS	
ECONOMIC DEVELOPMENT & CULTURE	2950-4	2014-04-08	2014-04-09	PAUL WOLF ELECTRIC   L	293.57	CAD	293.57	CAD	2575	ELECTRICAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5065	Electrical Parts and Equipment	SPECIALIZED THEATRE BULBS (NON-CONTRACT ITEM)	
ECONOMIC DEVELOPMENT & CULTURE	2954-5	2014-04-10	2014-04-11	AMAZON.CA	15.92	CAD	15.92	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	4816	Computer Network/Information Services	BOOK	
ECONOMIC DEVELOPMENT & CULTURE	2964-11	2014-04-14	2014-04-21	MODERN LAUNDRY	108.48	CAD	108.48	CAD	4419	LAUNDRY SERVICES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	7216	Dry Cleaners	WASH & FOLD TABLECLOTHS	
ECONOMIC DEVELOPMENT & CULTURE	2971-4	2014-04-24	2014-04-25	RABBA #177	10.98	CAD	10.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5411	"Grocery Stores, Supermarkets"	MILK & CREAM	
ECONOMIC DEVELOPMENT & CULTURE	2977-2	2014-04-29	2014-04-30	LAKESHORE LUMBER	20.86	CAD	20.86	CAD	2710	GENERAL HARDWARE	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5251	Hardware Stores	"SCREWS, HOOK & WHITE VINEGAR"	
					705.88	CAD	705.88	CAD								
PUBLIC HEALTH	2942-4	2014-04-02	2014-04-03	VIA RAIL INTERNET #500	65.54	CAD	65.54	CAD	4253	CONFERENCES/SEMINARS - AIR/RAIL/BUS TRAV	PH3614	SCHOOL AGED CHILDREN	4011	Railroads	TRAVEL-CONFERENCE	
					65.54	CAD	65.54	CAD								
SOLID WASTE MANAGEMENT	2939-5	2014-03-31	2014-04-02	THE HOME DEPOT #7114	65.09	CAD	65.09	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	CEILRAN933	
SOLID WASTE MANAGEMENT	2943-4	2014-04-02	2014-04-04	THE HOME DEPOT #7027	130.18	CAD	130.18	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0830	SCARBOROUGH TS OPERATIONS	5200	Home Supply Warehouse	CEILRAN933	
SOLID WASTE MANAGEMENT	2946-7	2014-04-04	2014-04-07	THE HOME DEPOT #7027	260.35	CAD	260.35	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0830	SCARBOROUGH TS OPERATIONS	5200	Home Supply Warehouse	CEILRAN933	
SOLID WASTE MANAGEMENT	2948-2	2014-04-07	2014-04-08	MCGOWAN FENCE   SUPPLY	130.54	CAD	130.54	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0820	VICTORIA PARK TS OPERATIONS	5051	Metal Service Centers and Offices	W/O 302997	
SOLID WASTE MANAGEMENT	2950-5	2014-04-07	2014-04-09	THE HOME DEPOT #7027	130.18	CAD	130.18	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	CEILRAN933	
SOLID WASTE MANAGEMENT	2951-3	2014-04-08	2014-04-10	THE HOME DEPOT #7078	109.36	CAD	109.36	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	**MORE**  EGGSHELL UPW	
SOLID WASTE MANAGEMENT	2954-6	2014-04-09	2014-04-11	THE HOME DEPOT #7078	41.78	CAD	41.78	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	EGGSHELL UPW	
SOLID WASTE MANAGEMENT	2960-4	2014-04-14	2014-04-16	THE HOME DEPOT #7114	67.95	CAD	67.95	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0805	DISCO TS OPERATIONS	5200	Home Supply Warehouse	**MORE**  BLADES	
SOLID WASTE MANAGEMENT	2964-12	2014-04-16	2014-04-21	THE HOME DEPOT #7078	42.65	CAD	42.65	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW361-14-04	2014 INGRAM T.S.	5200	Home Supply Warehouse	SAKRETE MORT	
SOLID WASTE MANAGEMENT	2964-13	2014-04-17	2014-04-21	RONA # 55090	340.50	CAD	340.50	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0805	DISCO TS OPERATIONS	5251	Hardware Stores	W/O 303132	
SOLID WASTE MANAGEMENT	2973-7	2014-04-24	2014-04-28	THE HOME DEPOT #7129	180.74	CAD	180.74	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW361-14-04	2014 INGRAM T.S.	5200	Home Supply Warehouse	**MORE**  SCREWS	
SOLID WASTE MANAGEMENT	2977-3	2014-04-28	2014-04-30	THE HOME DEPOT #7134	66.22	CAD	66.22	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW361-14-04	2014 INGRAM T.S.	5200	Home Supply Warehouse	4X8X5/8 FIRE	
